[00:00.000] 张先生。
[04:53.460] 您咋没看到这张是受司机吗？喂真是错了，你说早几年说大家S级司机开，现在真不至于，现在就把也是客户端买自己开。
[05:05.140] 对。
[05:05.980] 你现在S级有一些这种
[05:09.020] 合适的折扣，然后各位你看350，这是350的商务的商务现在优惠完办齐了大概99 90出头。
[05:23.360] 6缸的。
[05:26.030] 发动机跟他450一样的在电机
[05:31.160] 00T的话。
[05:32.540] 这里对待您的话。
[05:35.160] 你们要是350。
[05:37.740] 怎么奔100去了得。
[05:39.230] 对。
[05:40.780] 看您5号，我觉得现在S合适。
[05:43.410] S贷款的利率还比较低，
[05:45.980] 所以有什么比较好一点的，就派出所刚上车没有背驰车买的时候一般不会卖，短时间内因为咱们的配置一直可以
[05:55.320] 满足客户的用车需求，而且刚更新换代的车型，
[06:00.600] 刚一年你说客户拿来卖不合适，你说对吧？
[06:04.000] 这个听都是二手车是吗？
[06:05.460] 不是，现在看瓜二手车牌是二手车。
[06:07.920] 可以。
[06:11.150] 没有老款咋卖没了，停产了多少年了，去年6月份
[06:17.430] 开始卖这款。
[06:18.520] 满一年了都。老板这怎么你说现在算得一年半两年了。
[06:22.740] 三两年。
[06:27.000] 又是3.07的，就是起价是88，对884,800。
[06:32.550] 大概有多少钱？如果真的
[06:35.200] 有100对你这购置税的75,000左右。
[06:39.840] 75,000对吧？保险还得备换个27,000。
[06:43.930] 9万块钱对几万块钱车不计，加上就这100去，您怎么在不好弄，再弄个钉子贴膜啥乱七八糟的。
[06:51.280] 还是
[06:54.340] 350是2.072人。
[06:59.020] 得公示。
[07:00.460] 你可以看上面的电子盘参数，20参数也不低，
[07:05.190] 主打经济实惠。
[07:07.400] 我们这种大的厂商他送国际汽联这种曰规定它。
[07:12.420] 点下边的。
[07:13.830] 大的那种国际汽联，也像那种大的厂商引领这种消费者走向。
[07:20.950] 小排量那种节能环保趋势。
[07:23.730] 对吧？只有厂商生产小排量的Q没得选，只能买小排量。
[07:29.180] 没招。
[07:30.380] 跟着节能减排去，你看着油耗特别低，
[07:33.560] 对吧？工信部7.4，咱们往上加1个由8个油，
[07:36.800] 够了，你这么大个说原来交易老板的应该你开
[07:41.490] 老板交易大概13~14个油，这都算省的了。
[07:45.230] 要省下接近多少家一半，您说是吧？
[07:54.090] 王川收到。
[08:01.840] 谁知没事了我给讲一下等于是假。
[09:02.990] 稍等。
[09:06.440] 归你了，对我到时候办专业发展的各位
[09:28.200] 刚刚说看看。
[10:14.670] 你把手机给
[10:17.910] 什么给人拿走了，拿走。
[10:20.640] 我主要用到客户，
[10:21.960] 等你找多少元，原来你赶紧车可能功能和
[10:25.940] 开通革命。
[10:29.760] 你这里有没有充电器，我手机没有。
[10:33.530] 我们这有充电宝。
[10:35.060] 你可以介绍他跟手机没关系是吧？
[10:38.880] 开通那个什么你说。
[10:41.270] 你身上带数据线了吗？没有没来收。
[11:04.240] 我说
[11:22.370] 直接了。
[11:23.600] 可能。
[11:33.200] 你不是3点吗？
[11:37.640] 陛下我这早点，你现在干啥，你讲究他们快点，有点先进。
[11:43.290] 先证明我。
[11:43.980] 先去了。
[11:45.170] 你会洗了一下，对，那能喜欢的话签字现在。
[11:50.160] 不是那个里边，我在外边那也不行。
[11:53.520] 造型你们家里头在外边，你哥心里你坏了我找你。
[11:59.090] 好了，这两天就抽这个了，
[12:02.840] 化着妆咱别动了，模型里面咱们坏了。
[12:08.870] 另外一点客户，
[12:13.490] 这个想法我知道
[12:17.770] 比较快一些。
[12:20.620] 他一把
[12:23.950] 远远
[12:26.670] 场
[12:29.030] 的
[12:32.070] 场、
[12:37.790] 场
[12:41.390] 完了给
[12:49.010] 隐私玻璃
[12:55.100] 后
[12:58.300] 没意思。
[13:00.440] 出现了没有？
[13:12.310] 就可以了。
[13:13.550] 你在历史这里面叫什么？
[13:16.670] 都听不到，往后听。
[13:19.710] 13715235汽车。
[13:24.190] 看记录仪我不知道，第71523
[13:30.620] 交通
[13:33.260] 值得用这么想的，所以这里面那等着都没弄。
[13:37.180] 没给我行了，我肯定不给你讲过了，明天后来谁知把肯德基给你讲一下是吧？从里面的东西说说
[13:46.250] 给我垫了吗？感觉错了，4000多不好了。
[13:50.560] 你待会出去能出去吗？
[13:53.110] 不用干什么，不用再少了是吧？
[13:56.500] 你别让人家不让
[13:59.420] 那么你还要把首饰上对把手回到玩，一会儿叫中原过来给你讲课，完了我给你对这些手续
[14:06.420] 数据。
[14:08.090] 数据、
[14:10.010] 数据、
[14:12.350] 场
[14:13.190] 场
[14:18.070] 场、
[14:19.720] 场、
[14:23.060] 场、
[14:28.030] 场、
[14:29.370] 场
[14:33.310] 场
[14:35.440] 五
[15:23.750] 数据、
[15:26.140] 场
[15:30.430] 场
[15:31.970] 场
[16:00.710] 安排一个行程门口
[16:07.240] 数据。
[16:11.410] 交通厅门口了，
[17:08.560] 三
[17:21.380] 记录仪说
[17:27.330] 这怎么弄？
[17:30.780] 这就完了。
[17:33.150] 多多打开进去了。
[17:37.100] 怎么夜？
[17:38.750] 你这干什么？
[17:49.870] 多难看一打开，我说那边
[17:52.330] 你把你这干嘛打不来，你看那做的事能行吗？
[17:57.520] 怎么不行怎么了？
[17:59.390] 哪儿？
[18:00.360] 这折腾了是贴上去的，对，怎么这么走着好了。
[18:05.700] 应该怎么样？50~180百应该。
[18:09.960] 我看他的贴合度也就大概是这样，是立体包围的。
[18:13.820] 看然后100~200的差不多都不够两个
[18:17.920] 的
[18:18.920] 了。
[18:24.350] 打到车。
[18:29.240] 装修
[18:30.040] 下来也有这样。
[18:52.040] 这是您投保的车是吗？
[18:53.600] 好的，一会儿往下着车走。
[19:25.740] 我们记录仪已经16个字了，3个小时路。
[19:29.620] 木马然后总覆盖
[19:31.410] 三大油饼不掉了，3个小时这才16个G对你最大规划32米，
[19:36.770] 咱这交费了
[19:40.410] 1000多块钱，
[19:42.320] 这东西那些都能买。
[19:44.750] 行车记录仪它只能录这一块，你发生碰撞那段时间下来就行了，这么长时间他们没必要。
[19:52.140] 你看对。
[19:53.600] 然后这个车里面反正我
[19:56.570] 好了，如果不接了，
[19:59.120] 他们可以停掉了，上班你们厂，但是今天就是三个小时，我今天要跑长途跑8小时，他是什么？你当初比如说你有什么需要吗？
[20:08.770] 这段好你就可以直接拿手机这样。
[20:13.610] 我们看到
[20:16.520] 你也不可能。
[20:17.560] 我觉得
[20:18.970] 要
[20:20.310] 我打了你手机就了。
[20:24.450] 回去了。
[20:25.340] 回来怎么行呢？
[20:26.760] 说是好我无线，
[20:30.850] 然后连一个ks
[20:49.450] 然后联系
[20:51.100] 加入35，
[20:53.630] 然后怎么画句号之后再进行软件。
[20:57.770] 他每次都需要的不就是需要看书来看，
[21:00.960] 然后要走路。
[21:06.960] 然后找借口，
[21:10.620] 短。
[21:13.840] 我简单一下。
[21:15.360] 然后他现在10 10了，你要看回放的话，脸上暂停红色的，
[21:23.140] 然后再按下边的文件查，
[21:26.720] 刚才录了点开就能看，然后点一下下载就让它的保存不会点。
[21:31.280] 是吧？他不愿接下，对你就看发生事故那段就行了，其他的事情基本正常覆盖，那些视频一点意义都没有，您说对吧？
[21:41.110] 有什么文件，对，然后我现在有个什么小鹿想想看，可能我手机我这边开车怎么弄得？
[21:49.560] 不是，你比如说现在出现交通事故了，你得要这证据了，你就连着他
[21:55.400] 把这边找个店下载了，我还这边后天不行，对，你得别人写刚才局域网打车。
[22:03.010] 完了，
[22:05.190] 然后杀掉了。
[22:07.730] 了。
[22:08.880] 对修仙修先生。
[22:10.900] 你们聊我这是我妈妈，
[22:14.160] 如果好点药量好大，
[22:16.480] 滑动摩擦片。
[22:18.060] 他脊背
[22:19.200] 拿来来看一下，好意思来教导对我们交通人员田健，马上先生你来委托书，
[22:26.130] 给她爱人来陪着车辆。
[22:27.940] 贵州行。
[22:28.860] 由来前方的路，对，不是车不是您开是吧？是吗？下面？
[22:34.320] 他跟他爱人开车一块，
[22:37.280] 先给你讲车讲车找工作还是注意事项，行咱先去，完了临牌都已经办完了以后再上手机要留下来，你别拿走。
[22:45.610] 我得帮你高坡交通费，我就把临牌临牌品牌在那，就搁着这手机给我们快要验车，
[22:53.730] 到时候是什么时候给压完车再给人两轮车拿走也使不了。
[22:59.240] 里边很多手机念完之后这里面就没了，要不就重新收回留档案了，都归档案来了，就变成一个形式本身的地方，两个样的给了，完了给后放在庭院客户走就行了。
[23:10.050] 发票的方式吗？诈骗到时候会给我，这样发票发票就剩一年，那不得盖章了，行你知道吗？
[23:16.930] 对。
[23:18.630] 要求。
[23:21.460] 现在罚款分公司来说，
[23:23.490] 最后到您手里边就剩两年了，一张抵税了，一张发票里面，
[23:27.190] 其他的那些被。
[23:31.410] 看看。
[23:32.280] 开始搞搞，现在要贴上是吧？达不到。
[23:40.190] 要不要？
[23:41.400] 但是我现在跟我讲述讲对周边的，然后把大众家族化。
[23:46.810] 对，你刚才说的话有说明书吗？有在后背上。
[23:51.600] 你这个是吧？
[23:55.230] 主要的这样这里是吧？对有个小白的文章。
[23:59.050] 这边。
[24:00.310] 在这里过来。
[24:04.830] 不知道。
[24:05.540] 差点沙发。
[24:07.060] 看好。
[24:08.420] 是吧？然后
[24:09.850] 自动家务管理
[24:11.280] 一个然后搬走了。
[24:14.050] 那不是更加直观，我下午要上其他区域网，又不是你这个开关人神话就不应当你连别的了。
[24:21.180] 还有一下
[24:22.110] 国家连跌了，下回你就等着车点那一块，
[24:26.160] 对吧？
[24:27.960] 开不开不用他也不用了，为什么？
[24:31.430] 其他的假如我要上上家，回家里不自动将回家的，是这个
[24:37.380] 跟别的没有关系，所以我现在要开车上路距离的加大，
[24:41.930] 不用制动单元自主占上联上，谁知
[24:46.000] 换了现在就拍。
[24:47.530] 不用了是吧？
[24:48.840] 开关。
[24:51.810] 打开了吗？
[24:54.150] 他不给我聊。
[24:55.470] 还有。
[24:58.310] 出来了。
[24:59.590] 就是。
[25:01.850] 对是一个的，不是长的。
[25:06.300] 行，您先忙，就这个东西一个乐器核实一下，我说在干什么，对有事的话您下来一下，对那么小的东西，你说那个盘头我从哪都在右边，记录仪的右边有个黑色的小伞看看。
[25:20.530] 你给他下载你给我开点说一下，这是他的书，你跟我说。
[25:28.730] 行，没别的事，我就说我去忙去了。
[25:31.330] 了客户完了你直接出去。
[25:33.790] 好没事。
[25:35.670] 主任打电话。
[25:37.670] 做个出来。
[25:51.520] 数据。
[25:54.750] 数据。
[26:00.690] 了
[26:03.530] 的。
[26:10.790] 的
[26:15.650] 大
[26:45.800] 张先生称。
[26:53.810] 喂听见吗？
[26:56.710] 摆着荔枝的销售顾问王超，刚才我接待您在哪了？
[27:07.890] 手机号是您微信。
[27:10.310] 行行，我加您微信，回头咱们再约看车这样的好吧？
[27:15.460] 好。
[27:19.960] 可能现在客户一半，刚才还没能讲课。
[27:25.070] 客户来提车刚安排好，完事，
[27:29.670] 客户这边着急有事，刚打完电话也有录音。
[27:32.770] 你找公司找你有事回去了，
[27:34.940] 我这加微信下次再约。
[27:53.730] 我说
[27:55.640] 三
[27:56.890] 0。
[28:02.800] 月
[28:03.990] 进来。
[28:09.360] 基本上。
