[00:00.210] 2020年7月23号将下客户卢振教授录音，您贵姓？
[02:55.360] 手动的简短关闭，可以冬天会用的很多，
[02:58.770] 这个文件是附加调节，
[03:00.960] 点亮以后，
[03:02.940] 我在动作以示您的位置是方便司机帮助优厚调座位的，不亮灯条，自己亮灯条副
[03:09.980] 这样的状态，
[03:11.240] 这些跟其他车辆的区别没有太大。
[03:14.450] 所指探索中控
[03:16.280] 上面面授镜子洗车机坐车的时候，你可能需要手动去调整一下，
[03:21.700] 量左侧咱们调节的是左边镜头的视角，4个小镜头上下左右调位置，
[03:27.900] 对应的右侧的量条件是右边的也是一样的。
[03:32.290] 4个门的玻璃咱们都是一键升窗的1个控制，
[03:35.670] 两瓶随时调整就可以了。
[03:39.420] 最下面这个案件您点亮了，
[03:41.730] 后排的乘客两边的玻璃动不了，单独拉小孩的时候一定想着点测试就可以了，亮了对那辆他就动不了玻璃了，对这样的状态还可以。
[03:51.520] 后备箱最下面金属件往后蹬一下是打开。
[03:56.060] 对，看见了往前长按是关机，因为本身是电为您不用下车，
[04:02.160] 直接摁住了他就直接关上了。
[04:04.730] 了按住了关了。
[04:07.470] 这个座椅记忆您记一下，不光是调座椅，您首先把座椅位置调完了，包括方向盘的位置，
[04:14.620] 两边镜子位置都一次性调好了以后，
[04:17.420] MN数字同时存储的。
[04:19.880] 对。
[04:21.780] 咱这车的大灯位置是左手圆圈区域，
[04:25.430] 小竖线指向AUTO的位置代表自动挡，
[04:29.200] 只要光线不够大，灯会自动开启，不管车进隧道下第一步忘了擦黑大灯都不需要操作，他量是吗？
[04:37.800] 能左拧着就关了。
[04:44.340] 左侧这个案件是雾灯，雨雪天您得摁一下，开的同时仪表盘上
[04:49.870] 橙色的小灯会进行提示您。
[04:52.740] 右边这个小旋钮上下旋转代表的是这两个屏幕的亮度调整，商量下
[04:59.210] 手刹车。
[05:01.160] 最下面这根箭式手刹，
[05:03.410] 它是电子的，平常您不用控制，
[05:06.250] 放仪表盘上红色圆圈屁事，手下标识，
[05:10.030] 现在是上锁状态。
[05:11.880] 咱们看一下我挂档的话，
[05:15.450] 手刹会自动解除，
[05:18.280] 停车以后您摘为P档，
[05:21.830] 在您灭车或者是主驾开门的同时，您看手刹
[05:26.710] 它是自动上的，所以以后大灯和手刹都不做任何操作，都是电子，
[05:31.640] 不用管对手杀都是电子的，
[05:34.410] 挂档自动解除，停车灭车后开完自动就上。
[05:38.260] 方向盘的左侧咱们有两个胆敢，第一个长首先集成的功能，
[05:43.890] 转向灯左右，
[05:46.800] 比刷是分前后的，左侧三角代表的是全运刷。
[05:52.220] 那么后来的
[05:53.540] 您看见了吧？看过。
[05:55.620] 指向零的位置现在是关闭，下不下雨都不刮，刷上面这两个虚线代表的是感应党，首先往上拧指向均线，
[06:04.580] 雨刷会刮一次，
[06:06.300] 不下雨不刮刷，下雨自动刮刷，这是感应式开启，它是通过雨量传感器识别的。
[06:12.660] 第二个曲线比下边的速度要快一些，灵敏度更高一点，
[06:16.710] 单实现双实线强制慢速度一枝花，
[06:21.500] 快速移植方案根据需求去选择。
[06:24.400] 前风挡的玻璃水，咱们就是侧面金属键，您摁住碟刹手又出现，
[06:30.080] 边上小红线是车辆的后雨刷，
[06:33.150] 指向零的位置也是关闭上推到红线的位置。
[06:37.270] 后雨刷开一小会依次
[06:39.880] 最下同样有两个字水标志位置，这个横线指向上下字水标志位置的同时，
[06:46.150] 后两和社会独立出现，
[06:48.870] 黄人是不是都回来闪两下？
[06:51.160] 对吧？
[06:51.910] 眼光推出去，这是一身的。
[06:53.880] 同时这个车的方向盘也是电动调节，左边第二个短板感，一个是前后，
[07:00.010] 一个是高低，这也是电控。
[07:03.080] 校长还对特别短这个道理。
[07:08.860] 中控的话说一下，首先看这组测的三个按键，
[07:13.880] 控制左侧仪表盘，这三个是控制右侧仪表盘的，
[07:17.960] 小房子都是主界面，按一下
[07:20.700] 出现文字列表，
[07:22.460] 中间黑色的按键，他是一个触控键，您直接在上左右滑动去选就可以了。
[07:28.050] 选好了按一下相当于确认。
[07:31.060] 保养里面首先
[07:32.790] 行驶一段时间会有4个轮胎的压力值缺气也会有提示，
[07:37.090] 保养快到期的时候也会有提示，包括您这车冷却液机油缺失都会有中文提示告诉您不用进来，
[07:44.430] 它在界面进行蹦出一条信息点确定就能看到了。
[07:48.420] 形成理事您这台车的基础信息，包括里程18.5上下滑动，
[07:55.310] 白色的剩余油量续航还可以跑112公里。
[08:00.130] 再有咱们车辆平常的驾驶习惯记录，
[08:03.660] 以及百公里油耗平均速度驾驶时间公里数，
[08:07.730] 总里程优化价值实现公约束，还有就是当前速度，
[08:11.380] 这一圈会赚回来。
[08:13.060] 导航、收音机、媒体电话这4项和右边屏幕是同步状态，我待会回家又做介绍。
[08:19.680] 样式指的是您仪表盘的风格，现在是运动黄色的，根据喜好您可以切换成经典
[08:27.190] 蓝色或者是前卫红色，喜欢哪个界面您自行去切换就行，内容都差不多。
[08:33.550] 岗位的变化最大，首先怀档的设计是在
[08:38.050] 提示的话在
[08:39.790] 方块内的白色字母代表是当前档位，这个案件变成驻车P档任何档位夏天一下他就是堵车，
[08:48.060] 以后这个案件就是灭车之前一下其他时候用到了
[08:51.940] 挂档跟其他车一样必须踩刹车，
[08:55.120] 我帮你挂不上档，
[08:56.650] 踩刹车咱们往下。
[08:59.400] 等位跳转手刹解除雷达会在屏幕弹屏出现。
[09:04.190] 前面随着咱们的距离接近，您看一下它就蹦出来了。
[09:08.740] 颜色黄橙红您离得越近，小哥的颜色会越深，
[09:14.320] 红格亮的同时警报响，
[09:17.440] 现在离那个车还有30公分，
[09:22.070] 您就记住了红歌量咱就不动车了，
[09:24.670] 倒等杆往上推到底，
[09:28.230] 同时倒影会出现。
[09:30.130] 最下面黑色的牙是您的后保险杠，
[09:33.490] 这条红线是车辆停车的临界点，
[09:36.890] 这两个内侧的大宽限是咱们车辆轮胎的行走位置，轮胎会压着一大块夜走，但是您动方向盘，
[09:43.550] 他会告诉你怎么拐弯。
[09:45.560] 左右的戏黄线是车宽，你看刚才个人理解了，他就提示了，
[09:51.330] 因为这地上有一个地追我停不了，那么靠后什么时候
[09:56.140] 到时候您就不能往后倒了，后边红格亮，
[10:00.990] 同时比如说是强的话，红线就上到食物上了，这红包就亮了。
[10:06.200] 这个车左右4个门的位置，两边一进来也会有雷达提示，
[10:10.230] 说白了就是这一圈，
[10:11.760] 您记住了哪一进了红跟两个那不动车就可以了。
[10:15.110] 停好车您直接按一下驻车P档
[10:19.180] 就可以了，直接灭车看手刹，
[10:22.480] 自动就上了，
[10:24.390] 然后锁车离开就结束了。
[10:28.350] 右边这个大屏幕，首先开关是第二个案件，您按一下打开。
[10:34.210] 这地方有操作的话，刚才说了这三根箭，
[10:39.520] 还有中控板都是控制右边的小房子和这个小房子，就是现在当前的主界面，
[10:47.360] 左右滑动点击确定这也是一致的。
[10:53.430] 这和证我拿回来哥的身份证
[10:57.110] 来给我办临牌用。
[10:58.660] 保守。
[11:00.240] 委托书写了是吧？
[11:01.640] 委托书有，好委托书。
[11:04.740] 爱情人签字了吗？你出完保险才千。
[11:12.390] 好勒。
[11:13.240] 您跟我们的销售员给您讲着行。
[11:19.590] 刚才说了这左右滑动这也是一致的，这也是出行控制。
[11:23.930] 同时这大屏幕又是触屏，您把您电话拿出来，我先把联系电话给你列，
[11:30.410] 设置您开个蓝牙就行。
[11:34.530] 对。
[11:35.300] 然后打开蓝牙。
[11:36.880] 您看一下您的名字，
[11:39.060] 您iPhone这个是触屏直接点就行了。
[11:42.960] 这样连接设备，
[11:44.830] 车辆就开始查找您蓝牙，这是您的选中以后再点确认，它会提示您的手机做一个配对。
[11:57.140] 减配，
[11:58.720] 然后允许
[12:00.470] 稍后手机的通话记录电话本就都同步在车内了。
[12:04.740] 电池电量移动信号是您的，这里是您手机所有的通讯录忽略就行了。
[12:10.870] 您看
[12:11.940] 这就是您通讯录就进来了。
[12:16.860] 这是您儿子。
[12:18.060] 在您手机存着叫什么名字？
[12:20.760] 就加上
[12:22.970] 我儿子就是儿子是吗？我告诉您这个车有声控系统以后打电话会非常方便怎么来用？
[12:29.760] 首先看一下这个案件，
[12:31.360] 往上推有一个说话的标识，咱们再联玩蓝牙以后，首先这个案件上推，您听一下我这一命令，
[12:39.580] 上推，
[12:42.110] 呼叫
[12:44.560] 请告诉想要拨打的号码或者联系人的名称，儿子
[12:51.300] 正在呼叫儿子，
[12:53.470] 他就直接喝了，
[12:56.240] 马上就过了。
[12:58.820] 同步的。
[13:00.400] 我就这个是挂断，我给您做了个演示，您就记住了事。
[13:04.840] 首先上推这个系统会嘟一声，他开始识别语音命令，一说呼叫就激活了电话这一块，
[13:11.130] 然后他就问您找谁，然后您直接说您电话本里的名字就行了，像它就一个电话号码就直接付出了，如果是两个号码他就在那蹦出来了，你就点一下就
[13:21.580] 呼叫加名字，这就是电话
[13:23.950] 导航一样可以上推。
[13:28.990] 导航
[13:31.370] 请告诉我您想输入的目的地金融街，
[13:38.010] 请选择一条记录，多个记录，找您自己需求的点一下路径导航就自动开启了，跟着
[13:45.370] 路线走就可以，取消的话点小叉子
[13:49.930] 就可以了。
[13:51.680] 呼叫加名字，导航加目的地。
[13:54.430] 除此之外这个声控还能干嘛？
[13:56.890] 收音机调频都是存好的，
[14:00.030] 左右滑动快速去切换，这都一样找到自己喜欢的调频，想存储，点击小加号
[14:07.180] 就存进来了，清除选项、删除、音量、上大下小这也是一致的。
[14:15.470] 上大下小或者咱们用声控，
[14:20.800] FM94.5，
[14:25.730] 然后直接切过来。
[14:27.640] 还有就是手机临汾蓝牙了，
[14:30.830] 如果您想听歌就选择媒体，
[14:33.430] 它现在默认的就是您手机的蓝牙歌曲，然后如果您想放歌手机的任何播放器放歌都没有问题，你可以试试随便找一个
[14:41.680] 酷狗QQ什么都行。
[14:44.600] 喜马拉雅之类的东西OK
[14:55.880] 都在南阳。
[14:58.240] 随便整了，然后放那就行了。
[15:03.130] 分析什么？
[15:04.880] 咱试一下用手机放歌什么车载转偷了，
[15:08.790] 上下一首点，这两个可以，左右滑也可以，这也都是一身都没问题，你就记住
[15:15.270] 听手机歌曲，
[15:16.750] 选择
[15:18.160] 媒体
[15:20.200] 没问题，除此之外这个声控系统还能做哪些事儿？
[15:24.890] 比如说咱们看一下现在空调的温度是低温状态，咱们去调整一下空调上推
[15:31.760] 这个检是吗？
[15:32.970] 对这边上这检，对，上次一说话表示我先取消一下上推，
[15:40.790] 请将空调调整为20度。
[15:44.990] 好好的生活，把驾驶员的温度调到20度，
[15:49.770] 你看我调过来了，
[15:51.230] 或者说这个范围中
[15:52.920] 蓝色的换个颜色，
[15:56.880] 请将环境氛围灯调整为绿色，
[16:01.240] 好的。
[16:02.750] 我来改变周围照明颜色，或者说
[16:05.970] 座椅加热，
[16:07.530] 还有就是天张开几张连都是可以的，开启了我看看。
[16:14.910] 请打开这张
[16:18.090] 很抱歉我无法操作该功能，抱歉。
[16:21.850] 您命令我说的什么不对？
[16:27.820] 开启天窗，
[16:30.600] 很抱歉没有。
[16:33.620] 加热是可以的，肯定
[16:37.310] 请打开座椅加热，
[16:40.790] 好的。
[16:41.760] 我来打开座椅加热就可以了。
[16:45.830] 除此之外，我想想抽空还能干嘛？
[16:49.640] 基本上就是电话导航，改变温度，改变氛围，灯调频，
[16:56.010] 座椅加热都是可以的。
[16:58.560] 咱们看一下最后一个大象，
[17:01.900] 车辆也首先
[17:03.840] 4个主要大项辅助项里都是您这个车的主动硬件安全配置，它是默认开启的，不做任何的关闭或变更。
[17:11.480] 第二个车辆里对应的都是一些小功能，比如说
[17:15.700] 轮胎第一个不用管，因为咱们不是集团地带不换充气胎，
[17:20.660] 方便出入三种状态，第一种方向盘如果是高位的状态，下车的时候它会自动退缩，同时做以后撤，
[17:28.290] 给你一个相对大的驾车空间。
[17:30.570] 第二种只是方向盘溃缩或者是什么的互动，
[17:34.280] 到时候跟您的需求去调整一下就可以。
[17:38.240] 安全带系的时候他会勒你一下，有预警，遇到紧急情况的时候他就直接把您固定在那个位置上了。
[17:44.600] 除此之外的话，锁车喇叭会响一声，就提示做好车辆，
[17:49.440] 车速1~15公里，中控它会自动所致，不用管，
[17:54.350] 以及锁车这镜子让它自动收回。
[17:57.880] 然后再有加油站，缺油的时候会有自动提示附近的加油站。
[18:02.490] 照明里第一个就是氛围灯颜色首先64种，喜欢哪个颜色直接去在这组电机它就见面了，
[18:11.580] 这样一个状态。
[18:13.060] 亮度就是氛围灯的明暗变化，
[18:16.340] 其实有一半就够了，晚上就很亮，白天光线强不是很明显。
[18:21.960] 再有就是锁车走的同时，咱们让这大灯照亮一会再自动熄灭，建议15秒一般够用，
[18:29.190] 以及车内盐水也可以用的。
[18:31.540] 还有晚上您停车左右，镜子下边可能在
[18:35.630] 但有照地灯出现。
[18:38.130] 系统里的话，时间我给您核对一下，
[18:44.170] 时区对车内的表全自动的都不做任何调整。
[18:49.410] 咱们再看一下这一行金属件全是车辆空调的手动调整，首先
[18:54.880] 左右的蓝红箭头代表温度，左右往上是加，往下是减，根据需求去调整。
[19:01.750] 第二个是风向的选择，您吹什么位置？
[19:05.050] 前锋档证明脚下自行去切换。
[19:07.560] 风量第三个
[19:09.300] 最大的是七关这根箭，你要一直关到头，你用这个试一下，首先这上推这块
[19:21.690] 可以了，为
[19:23.670] 医院吃饭。
[19:25.310] 我估计得到家一点了。
[19:27.890] 这几个人俩人
[19:30.880] 不认识就不回去吃了，不在上班了。
[19:35.500] 先挂了。
[19:36.840] 干活咱们
[19:38.850] 这就上推接听下被挂断，关了，对往下去挖对。
[19:44.250] 然后再有
[19:46.840] 自动空调，您可以在车里设定一个自己适宜的温度，然后咱们点亮O to，这个案件彻底会一直保持温度。
[19:54.780] 雨雪天起雾的话，前窗后窗除雾点亮这两个线就可以了。
[20:00.020] 夏天制冷咱必须开AC，否则只是自然风并不
[20:04.420] 现在是外循环亮灯，内循环雾霾扬尘这种开空调建议内循环状态，
[20:10.870] 右侧的风向和温度调整，
[20:13.330] 出风口您看一下小竖线冲上都是开启，
[20:17.740] 水平状态全是关闭，角度，咱们就是上下左右去调整就可以了。
[20:24.110] 这些全是快捷，电话已经接入，
[20:28.570] 包括导航，
[20:30.440] 蓝牙音频和收音机是一个按一下是蓝牙赞一下就切换成收音机了。
[20:38.280] 车辆
[20:39.400] 你刚才进入过了。
[20:40.820] 这个小星星您看一下，
[20:43.100] 它是可以图标跟您自己的喜好去排重新排列的，根据个人习惯来定。
[20:49.210] 双闪子在这儿有事故警示后方启用，
[20:52.760] 这儿有两个杯托，不用您盖上就可以了。
[20:57.040] 这个案件金属件事代表您车辆的驾驶模式，咱们这个车一共有5个驾驶状态，首先对应的是这儿蓝底方块的C字模，
[21:06.370] 上下选择这个旋钮由低到高，分别是节油一状态，
[21:11.340] 舒适C运动S和运动家，您记住这4个模式由低往高涨，
[21:16.980] 每上一档功率都放大，越往上调这车提速快，动力越强，
[21:21.860] 但是相对于话也会越高，
[21:23.620] 一般的建议用C输出就够。
[21:26.270] 第二个雷达关闭，我刚才演示离近了黄橙红的小根据，
[21:30.940] 键点亮全车雷达，
[21:34.520] 什么时候用到洗车机，自动洗车机上去以后刷车非常近，它就一直预警，临时关一下。
[21:40.760] 手动挡。
[21:42.560] 这个是洗车的时候关上还是洗车的时候，您N辆离近了他就不报警了。
[21:49.470] 你要是这样开始，他不是一直离得很近，它就一直预警。
[21:53.200] M是手动挡，
[21:55.970] 我刚才教您挂档，D的状态是自动
[21:59.230] 晃开手挡的时候您看一下M
[22:01.670] 它会变成手动状态，
[22:03.420] 这时候换挡的话，咱们驾驶员方向盘左右各有一个播片，
[22:08.530] 右侧按一下，它是家长
[22:11.560] 左侧摁一下，
[22:13.550] 减挡，
[22:14.620] 否则手动挡的状态下，不管您给多大油，他都不换挡，
[22:18.640] 发现这个不对了怎么办？按一下M希望成正常模式开就可以。
[22:25.570] 这个是自动启停，您车辆每次启动的时候，小灯会默认开启，
[22:31.060] 在您开车一段时间以后，这个车的水温由于进入工作状态，同时会出现什么情况，就是这个车
[22:36.770] 只要杀停一不动了，
[22:38.790] 一静止这时候发动机就会自动灭车了，她的目的是交箭牌，但是你一给油它会增大着，
[22:45.270] 本身是个结构装置，不堵车用正常用，如果说堵车，那就是走一点就停在那里，停，代表了您的发动机会频繁地启动列车启动列车。
[22:55.330] 其实这样挺不好，咱们摁灭
[22:58.140] 平面灭以后，停车发动机永远是一个空的状态，不会出现熄火的情况了。
[23:04.160] 上面这一排全都是灯光对应的，都简单试一下，阅读灯左侧一个，
[23:11.390] 右侧一个，
[23:13.080] 这儿设了一个开门亮灯，
[23:16.040] 4门关好自动熄灭，晚上会很有用。
[23:19.260] 前排的照明，
[23:22.070] 这个是后排的两侧都能独立开启控制。
[23:25.970] 重点介绍这两个文件，这个叫梅赛德斯me who言，首先
[23:30.460] 这个车里有一个电话卡已经内置完了，
[23:33.440] 跟您那手机又没关系，但激活这两个文件以后，
[23:37.400] 这两个案件您只要
[23:39.340] 它会自动接到奔驰的服务后台，
[23:41.710] 同时是人工接电话的，
[23:44.160] 三年免费使用周期，
[23:46.070] 右边那个me标识能帮您干嘛，比如说订机票、酒店餐厅，
[23:50.970] 查询兴趣点，
[23:52.410] 包括您出去玩旅程的咨询服务，还有一个重要的就是车如果有问题抛锚了，道路救援，
[23:58.490] 都是右边这一个。
[24:00.040] 中间这个紧急呼叫，
[24:02.270] 假设行车过程中遇有人员受伤或是紧急情况，
[24:06.520] 按红色的理念，除了连接后台，120都是自动连接的，尽量不去专用，
[24:12.610] 天窗和遮阳帘一个往后递一下，
[24:17.090] 掀开
[24:18.410] 想停随时按一下考场就行了。
[24:21.290] 高速使用，如果想换气开点以后往上推，
[24:26.570] 撬起个缝来，如果想开这大平方，咱们第二下再往后
[24:32.520] 找到合适的一个位置一样去调整，否则一样开到最大。
[24:38.590] 反之就是往前关两下，
[24:41.200] 第一下关穿，
[24:51.050] 再关一下这样点关闭。
[24:55.470] 它是电子防炫目后视镜，您正常手动调整到后风挡的视角就可以了，晚上眼光是不刺眼的。
[25:03.400] 座椅的位置，
[25:05.050] 您摸一下这个位置右侧
[25:07.750] 跟前的位置一个圆钮，
[25:10.000] 这圆角上有前后上下4个小凹槽，您摁住钱别撒手。
[25:16.320] 腰拖会有卖顶，上下前后调整，对跑长途特别有用，
[25:21.850] 就不用垫了，
[25:24.510] 它会减少腰部很大的疲劳感的。
[25:27.710] 这下边是不是还有一个金属件，这个件是你后排控制上面的章联的，你可以按一下。
[25:36.110] 一下打开一下关闭，反正我回去关机。
[25:42.820] 然后那两个按键是控制副驾座椅的，你往前推。
[25:47.110] A
[25:48.040] 往后也可以说
[25:52.640] 其他的也就没什么了，所有的都在。
[25:55.590] 你录好了是吧？
[25:57.150] 行。
[25:58.040] 我待会给您留电话，后期用车，如果先生不明白了，随时沟通都可以，行行。
[26:04.700] 然后因为您后期
[26:06.340] 验完车来贴膜，可能也是您先生的还是您来信，对，他如果说有什么不明，到时候再找我沟通就可以，您把我电话先存着。
[26:15.690] 行，您说139。
[26:20.380] 139
[26:21.740] 1098
[26:24.050] 10986961。
[26:26.880] 966郭建。
[26:30.350] 灭车咱按一下就可以。
[26:33.360] 对，然后一下
[26:36.960] 在乎的里面，
[26:39.310] 然后您添加就行。
[26:43.550] 叫什么？郭晋。
[26:49.910] 哪个晋？山西的简称。
[26:55.900] 然后没问题，咱下车我跟您说说，这要是在外面使用注意事项，还有后备箱有点东西，我给您做一清点。
[27:02.480] 真锅劲对。
[27:11.510] 是不是功能？
[27:12.740] 还是专业挺多的。
[27:14.940] 怎么咱们也得开个。
[27:16.970] 10天半个。
[27:17.540] 月才能适应过来。
[27:32.800] 我跟您说一下，咱这车首先有无钥匙进入，用钥匙锁车上门见见一下，
[27:40.300] 有身转动量三下就锁上了。
[27:43.190] 如果您这车
[27:44.840] 有需索的状态，您所
[27:47.470] 这种情况下您锁车是没有声音，盏灯不亮的，看到了吗？明显区别这是。
[27:52.910] 以后的话，
[27:54.430] 要是您只要拿着装在身上包里带着就行，左车4个把手作揖小凹槽一下，
[28:01.730] 火车站向就算对开锁这钥匙离车一米的距离，手往中间一个看着锁头，
[28:09.640] 自然就开了，锁就是单N
[28:12.090] 开就搁着，
[28:13.950] 开锁以后，油箱盖您摁一下就打开了，
[28:17.550] 直接拧开加95号。
[28:19.970] 如果是锁车的状态，
[28:22.400] 它是锁死的人动不了。
[28:25.360] 后备箱
[28:27.560] 本身也是感应式的，
[28:29.500] 钥匙在这前提下，这个位置中间前后做一个踢腿。
[28:35.150] 就打开了。
[28:36.460] 要是不在您踢不开，
[28:39.550] 这个车没有备胎，三脚架，红色的在下边，
[28:43.780] 工具也没有。
[28:45.360] 这里是您随车的东西。
[28:47.800] 荧光救生衣有一个跟交警的反光背心这一次，
[28:51.310] 急救包放在上面，剪刀脚107应急的
[28:54.390] 保养您得在这边网友信息
[28:57.120] 说明书，
[28:59.640] 最后的这本道路救援指南一书连介绍都在这里。
[29:03.500] 还有一个东西我得给。
[29:08.400] 马上
[29:10.610] 这个是这台车的三包，570202这台车的生产是7月9号，
[29:16.610] 开票，今天7月20，
[29:18.400] 质保期三年不计里程，今天开票开始算，
[29:21.720] 质保期内不管您这车开多少公里，这些大件出现质量问题全款，
[29:27.280] 底下每一个易损件都有对应条供述条件限制出了条件基本建不再质保您别丢。
[29:33.830] 能带走就行了，完事。
[29:35.780] 我马上就完事。
[29:36.860] 要不你要下周就下。
[29:38.150] 你留你一会儿了。
[29:39.990] 我代不了了，怎么还有交不是。
[29:43.820] 他们全让带，他们都没回来。
[29:46.340] 什么到再说。
[29:48.340] 这两个文件您
[29:50.400] 右侧按键按一下，是连关后备箱在锁车。
[29:54.950] 左边如果您4门是开锁的前提下，按他只关并不
[30:00.400] 如果4门是这所的，按他也是灵魂在，所以
[30:03.620] 同时您尾箱的高度可以调节，现在是最高位可能
[30:08.070] 构成太费劲了，按左侧按键先下调合适位置，
[30:12.230] 这合适就按
[30:13.880] 停住以后长按按键，您听懂的声音，
[30:19.040] 听到了一声就记在这了，
[30:21.760] 想回到最高位，按住它两声，当然就回到最高位了。
[30:26.280] 高度和中心自行可以调整。
[30:34.310] 行，咱就进屋
[30:35.960] 把后边的手机给您办完。
[30:51.730] 用完了吗？路上了吗？咱们办理对。
[30:56.550] 来您坐着不在我？
[31:00.300] 对
[31:02.570] 了，这是还有稍等等。
[31:08.550] 刚才说了四五点，您把您的身份证。
[31:12.610] 原件给我，社交支付101，因为咱这个功能它是实名制认证的，我一会给您拍一照片。
[31:20.400] 小孩还有其他的
[31:25.950] 5年之内不应该出问题。
[31:28.440] 5年之内大家没有，但是正常了。
[31:33.310] 你在干嘛用？就是车上那两个案件我得给您激活，实名认证才能激活了是吧？没有。
[31:41.610] 还没认证证件。
[31:44.010] 以后谁开这个车都提供服务不限了。
[31:48.200] 一会儿的话。
[31:49.710] 根据国家的要求。
[31:52.880] 这个刚才车里所有的。
[31:54.960] 数据信息，您明天在自己手机上都能看到了。
[31:58.190] 比如说这车跑多少公里，是不是由。
[32:00.560] 玻璃杯中缺失，轮胎压力什么？
[32:02.760] 保养包括。
[32:04.660] 车停哪什么，
[32:07.110] 有的放假对豆油一牛牛，
[32:10.840] 已经电话调调，我先我们电池直接你先回去了，您打开您手机下载软件我
[32:18.420] 您交的费用交什么费用？
[32:23.010] 谢谢您，英文您。
[32:25.310] 搜索。
[32:26.500] MI
[32:28.140] 给我买的不喜欢，我想开两会，
[32:31.590] 这是什么的？还有不对？有一个客户端
[32:36.490] 符号就是
[32:38.280] 所以我们在做一个出来了，第二个任何一下可以问不能销售他都知道够不够。
[32:46.770] 好对保险公司费这些都是钱，但本身出了他也说咱们这边网有点慢了，
[32:54.440] 所以这车你这票了，
[32:56.870] 您看司机看的是满足，为什么特别离家很近，陈女士留过您的电话号码，
[33:03.390] 而且名流卡片不用辽宁的000136921367多了，3672012
[33:12.030] 6点。
[33:12.660] 13693673590. 
[33:14.940] 没想到的过去告诉您不是军人好勒。
[33:18.550] 给您的手机马上会发一个短信，里边有一个6位数字激活码收到您告诉。
[33:23.840] 直接给您加进去。
[33:26.580] 照您这个的话，你要给您一会儿，中国整体中文身份证上都没变，短信您要收到马的话您告诉我。
[33:34.270] 行什么吧好吗？你们要吃饭了，你身上听完两位回来，102没有我会在。
[33:41.510] 点这3.65。
[33:43.360] 我还继续咱们县情这个三天吗？
[33:46.930] 然后开张到客户，然后咱们就不需要注册难受的给这样为什么工作最后
[33:52.970] 反正考虑一点，你要这车您再考虑开一点行，然后这个就可以先特殊的原因。
[33:58.470] 你要是开4年五六年的话，我在分时来您坐motor用的药这东西使用套餐的，另外。
[34:07.000] 那是售后套设备这一块的跟车。
[34:10.390] 号多少没有关系，他这么说车太多。
[34:13.600] 刚才我难受了。
[34:16.070] 没有，那哥们保养也差不多，我说你要是说他每次保养3万户。
[34:21.560] 543886吗？
[34:23.780] 是没交。
[34:25.490] 你着急了，不解决你的多少这情况。
[34:29.310] 25早就
[34:32.060] 了一声。
[34:34.990] D我让你说说他就说今天赚多少，我那不他那装饰是吗？
[34:41.290] 不是你都不要那行，你搁这了。
