[00:00.000] 明天的电话都打出来吗？
[02:19.950] 主要是取决于您得说出您的购车需求来，包括到店里边给您申请的现金优惠、综合优惠、售后服务、保养验车上牌油卡电视，
[02:29.810] 这些东西都可以申请，但是说句什么需要您到展厅来给您出单子列出来，因为我。
[02:36.720] 这样一个便宜的，
[02:42.190] 但是他还有一个优惠的，
[02:47.940] 35的话
[02:49.870] 会有一个
[02:52.960] 你好奔驰店的。关注吗？
[03:04.390] 我现在正好都是您这边不小咨询S当时陈朝华的吃药特别什么。
[03:10.830] 二指导价73.8。
[03:14.260] 年轻时在一起有点。
[03:16.270] 可以。
[03:16.600] 350. 
[03:17.730] 石墨灰正好符合用车。
[03:19.390] 都有。
[03:26.920] 人心是吗？564504驱的现在也有些。
[03:31.040] 动力不一样，而且。
[03:32.550] 只是技术。明白。
[03:34.630] 配置也不太一样。
[03:35.400] 您看看应该好。K应该得的，对。
[03:39.470] 辅助系统、驾驶系统、
[03:41.550] 操作系统包括舒适度肯定没有，如果您自己开的话，260豪华或者300动感比较符合您性价比高一点的车，也是客户常选的车。
[03:51.530] 车
[03:57.050] 对。
[03:58.460] 可以不喜欢最好了吗？应该计划吃一些了。
[04:03.530] 没事拜拜，您先有
[04:11.520] 我刚才把现金的权限是5万到两天找经理才能申请。
[04:17.200] 您就这样，咱们就尽快把车型定好之后，咱们价格好了，你比如我就想要加一连着还得车。
[04:26.130] 对您。
[04:27.890] 我是给您报的原价，因为成交价格网站上面的都是二经销商的维护的，他给您报8万，您到了两天没有车，
[04:34.730] 定不了也没有意义。
[04:36.520] 25,000. 
[04:37.920] 对，因为今天好多客户投诉了，因为向菲籍一节他报的太低了，
[04:42.800] 8万9万10万的这种的价格会影响我们现在市场，因为我们现在店里价格跟网上报的价格是有出入的，
[04:50.080] 网站上面价格没有时效性就是他报的价一展厅里有没有车是一二他即使我们店里边能做到也不可能一直是这个价格他没有及时更新，所以我们投诉也在协调当中，所有的价格就我刚才跟您说了，不管您来不来咱们家，我都必须得告诉您价格，只要他给您出书面形式，黑纸白白纸黑字的报价单了，这是跑不掉的。
[05:11.430] 哪怕我对你的价高不满意，我要让你再去给我申请，你再去给我二次申请，也是你今天能给我的价格，网站上都是仅供参考，他电话里给你报了7万，你到了展厅他说我们主要是价格，今日您来我给不了您了，你说是你说是不是折腾？
[05:25.990] 明白吧？
[05:27.390] 好吧对。
[05:29.580] 对确实是。
[05:30.660] 二非常让
[05:35.080] 没有想这样多留两个。
[05:38.240] 刚刚您发短信了，您这边可以按照咱们那个地址过来，那天136的手机号就可以好吗？不好意思。
[05:58.920] 您上班你牌照是不是？
[06:01.340] 无视您找的是网站，他会跟经销商合作，然后经销商就会瞎登记这个价格吗？所以如果您要买车就直接下到展厅，因为货比三家好几十万的车不可能电话里询价，
[06:12.570] 就给您算了底下了对吧？
[06:14.340] 网店方面只有在网站关注公司车，
[06:17.970] 有。
[06:19.550] 定是有优惠的，而且价格相对于来说上个月肯定是给高了。
[06:23.470] 我们上个月没有给过这样的价格。
[06:25.870] 全。
[06:27.400] 跟去年卖的不是这车，去年卖的标准。
[06:30.490] 行先。
[06:31.580] 去年这车刚上市，杀更新的新款，带L的车。
[06:37.920] 答好谢谢。
[06:42.730] 明白。
[06:43.800] 对他老款的车到现在来讲，他现在这个车肯定是当初那时候给的优惠多的，您不用担心，
[06:51.940] 而且咱们家也是西区的总店，还是取决于您，因为我再说咱们那个概念没有落到鄙视，或者说没有面对面，你可能比较迷茫，
[07:01.630] 就没有说到点上，您琢磨琢磨，如果是觉得距离允许的情况下，您可以随时来展厅找我，我给您出个报价单了。
[07:07.760] 的话我给您看一下，这边的话有计划的要过来话到店的话最快也得。
[07:15.140] 可以没问题。
[07:15.890] 了，你还过来了，你说是吧？
[07:19.040] 可以收。
[07:19.850] 对的。
[07:20.800] 要不您留个电话然后就了。
[07:24.040] 行，您看您时间，如果您这周末要有空的话，您再随时跟我联系，我帮您做预约好吧？
[07:29.240] 您听说
[07:31.460] 行，我给您发个短信到手机上边，我姓侯有什么不懂的，或者说您要再想问张女士，您可以打我手机，或者说给我发微信都可以好吧？
[07:40.550] 行，期待您的光临，好拜拜。
[07:45.840] 你打电话。
[07:48.560] 反正你看三什么。
[07:51.750] 客户又不黑。
