[00:06.420] 燕化您说一下。
[05:48.600] 我靠她就那一个电话，我之前打也没人接，后来在咱就一直打。
[05:54.570] 因为你到了是吗？
[06:00.760] 他什么就到什么婷来着。
[06:06.630] 我看一下。
[06:08.930] 我看一下。
[06:24.600] 不用什么大厦。
[06:36.800] 叫什么？首席南路。
[06:38.750] 东三里河。
[06:48.770] 这好像叫什么格？
[06:51.280] 你看看能不能知道叫什么格的？
[06:54.700] 什么煮熟煮什么阁，你搜一下。
[07:01.530] 了
[07:04.420] 你没走了是吧？
[07:07.040] 你这样我。
[07:09.700] 我给你查一下。
[07:15.700] 的。
[07:20.440] 行行好的，你这样我给你搜一下。
[07:26.700] 了
[07:30.610] 稍等一下。
[07:32.230] 二
[07:44.850] 数据、
[07:45.560] 数据
[07:46.810] 的
[07:57.750] 数据。
[08:03.410] 赏格、
[08:08.480] 句。
[08:17.560] 场。
[09:29.610] 这几个项目数据、
[09:32.030] 数据、
[09:33.200] 数据
[09:35.200] 数据
[09:41.790] 场
[09:42.860] 数据、
[09:48.000] 三
[09:50.730] 的。
[09:53.480] 找着了吗？
[09:55.030] 打通了吗？
[09:57.650] 赏竹阁上市。
[10:00.230] 赏花的。
[10:02.140] 竹是竹子的歌，
[10:03.750] 然后竹是竹子的竹，然后阁是阁下的阁。
[10:07.880] 赏竹阁你搜一下就那。
[10:11.390] 对。
[10:12.740] 赏竹阁。
[10:16.840] 对他第是这个地。
[10:19.120] 到了以后直接停那就行了
[10:21.090] 吗？
[10:23.630] 就给他打电话，这有。
[10:26.090] 有你给你的那地方
[10:28.190] 的。
[10:30.310] 没事走吧。
[10:32.240] 我说就那不行就一直打，今天我也打也是没人接。
[10:38.030] 我连打三四个也没接，后来就停了，我再打有人接着。
[10:41.880] 说。
[10:47.560] 边走边打没事，当然不收停车费。
[10:58.610] 那行，那你就等会吧。
[11:00.920] 那就等会。
[11:01.980] 得勒好勒。
[11:09.750] 走
[11:15.020] 坏。
[11:15.990] 机油三滤，然后机舱线束养护，
[11:18.930] 全车滑到
[11:21.210] 还有底盘悬挂养护，
[11:23.250] 火花塞，
[11:24.480] 清洗发动机积炭。
[11:26.660] 这是基础没有？
[11:30.770] 这不是技术，这是基础的。
[11:32.720] 国内一个是基础班。
[11:34.480] 这是三类，369是简写，它里边包含机油机滤，空气里叫空调就行。
[11:39.010] 对普通的三类一个月机油几率空。
[11:42.870] 空利空压力。
[11:45.080] 关注的是多少钱？
[11:47.440] 看
[11:54.160] 的
[11:58.850] 稍等一下，系统有点慢。
[12:06.630] 为
[12:25.370] 你说是套餐，
[12:27.930] 你说三分之。
[12:29.880] 那里边没有，他这个不包含套餐。
[12:32.310] 那套餐里面不包含那些东西，套餐里头他本来都不对，套餐里面就包含这东西说了一项
[12:39.610] 的，
[12:40.560] 那不是一项，那里边是简写的一项。
[12:43.840] 一
[12:54.690] 的
[12:59.760] 现在我这车有什么问题，把空调
[13:05.570] 效果不如以前稍微差一点。
[13:08.960] 先把滤芯换了。
[13:11.170] 对，先把律师换了，三家里面包括那些。
[13:15.460] 包括
[13:18.580] 把滤芯换了，把空调清了，把前面水乡清了。
[13:21.820] 应该差不多了。
[13:25.940] 如果
[13:27.350] 谁知
[13:30.730] 三
[13:33.150] 三
[13:36.230] 三
[13:40.190] 1586. 
[13:41.960] 对吧？三可能
[13:58.910] 这个不是我问问孩子做哪样？
[14:04.580] 行没问题。
[14:06.720] 我们的。
[14:13.170] 没事不着急。
[14:14.340] 我就什么，我今天肯定得开会一下。
[14:19.780] 先开走完了不用定，现在有货订不了货。
[14:22.520] 你什么时候来什么时候再打电话？
[14:25.340] 我接电话肯定就放了，对，今天肯定得放着，而且你就明天过来的话，你除非说你早晨一早
[14:31.970] 你只要不找人一点来的话，来的时候也得放着，当天走不了。
[14:35.210] 那么我现在能定吗？现在定不了，现在有货不用定。
[14:39.220] 现在有货不用订。
[14:40.920] 定了库房那边也不给您定。
[14:43.020] 因为他现在有货，他为什么要订？
[14:45.160] 压库存。
[14:46.720] 他现在有配件，现在有。
[14:49.260] 对。
[14:49.940] 我们今天通过车型。
[14:52.440] 用车你就先开走。
[14:54.220] 我弄个程序员能不去吗？
[14:56.460] 你什么时候来准备？
[14:57.970] 为什么？
[15:00.270] 我们这边弄。
[15:02.150] 礼拜三来之前讲哪些话。
[15:04.940] 对，要没有的话到时候你还得。
[15:07.290] 得我当天明天先走。
[15:09.320] 开步走一走了开不走了，早晨除了你明天到明早晨一早早点来。
[15:15.040] 来了之后下午能让你开走，对。
[15:18.530] 那也行，本身就晚了那也行也不行。
[15:22.600] 没时间到我上次在别的了，网友没问题。
[15:25.650] 没问题，这一块都做了什么东西？
[15:28.870] 我要是换了说那块一块保养就够了。
[15:31.590] 差不多你要做伴的话，你要是说我那个项目全做的话，当天也起不了。
[15:37.510] 也取不了。
[15:38.850] 对，够呛。
[15:40.520] 因为
[15:42.560] 火花塞积炭。
[15:47.490] 一早来9点到差不多两人干的话差不多对。
[15:52.510] 我等会儿没问题，好谢谢了，您看一下。
[15:57.660] 45都去是吧？
[16:00.290] 一前面三个码，要不出去收停车费了，前面三个码。
[16:03.200] 五具体。
[16:04.940] 了，前面你扫个码，要不出去该种停车位了，对。
[16:08.120] 445
[16:19.600] 的
[16:23.870] 坏
[16:26.260] 的。
[16:27.830] 的
[16:31.280] 差
[16:34.520] 折腾我半天，
[16:39.460] 场
[16:40.440] 坏
[16:44.280] 0
[16:46.210] 场。
