[00:02.000] 谢谢帮我开张卡，开张是吧？对电话1368133。
[15:21.730] 然后拿他觉得会因为他挣不了多少钱，他父母那会儿给他说那谁
[15:28.610] 看我那个模样，但是我在
[15:30.540] 不算，我每次都三五千，这不是都是从头我原来大众保养一回，小宝还要我1500，
[15:38.690] 咱小宝也就才1500，所以我就说你肯定两个姐姐跟比如说你这钱一点都不便宜，
[15:45.680] 我这好多年都在商量，因为
[15:52.050] 在这里告诉
[15:54.470] 被上诉。
[16:16.000] 主要我看还有什么杀毒什么的那些东西你没必要做。
[16:39.880] 这孩子还特别爱车。
[16:42.110] 我俩关系挺好的。
[16:43.750] 男孩女孩特别爱车上回车上电动三轮给挂了，给我打电话就哭。
[16:51.310] 气死
[16:52.860] 吗？他还赔不起了，还得走我保险，你说我管他要多少钱，我
[16:59.250] 不是你要点得了，你就走保险，我给他问问保费上涨得上涨多少，他们说出一次保险就上涨不了，出两次保的话上涨到2000块钱，
[17:09.140] 他这个伤我说不行，你问问他要一两千得了，我说人家可能也不是故意的。
[17:15.880] 我心疼死亡了。
[17:18.910] 给我打电话我
[17:21.570] 完了我能确实是
[17:24.450] 这个人
[17:29.690] 好的，等会你看至少我们跟只有截图，
[17:37.040] 我看看你说。
[17:39.560] 我是等那个指标有了以后我再来找你们，不用您等指标出来，你就给我发一个pdf照片，不行，我得要pdf版本，
[17:49.450] 然后我一打印，
[17:50.700] 然后您
[17:52.640] 你就能把信用卡给我寄过去了吗？
[17:54.900] 不验车那边去，我们师傅在那验车，你得开车去一趟就到车管所那回，
[18:00.460] 你得去一趟中间像什么交税，包括我们去做工商验证，还有环保检查，都是我们带着手续去各地跑，不用您
[18:09.460] 最后一次车得不是得到车管所验车上牌拍照片什么的，那次我会提前跟您约的，因为我身上也必须出现
[18:17.590] 不用身证原件，但是这个就不行了，就得真正有信息的那种。
[18:23.120] 风险不着。
[18:35.070] 你就看看你跟他说都做最基础的就完了。
[18:41.990] 的
[18:43.290] 场。
[18:55.070] 场
[18:57.190] 的
[18:58.650] 的
[19:03.970] 数据
[19:08.460] 数据。
[19:12.070] 26592645
[19:18.660] 的。
[19:26.580] 奥特办公室。
[19:35.550] 花
[19:43.870] 小，
[19:46.760] 谁知
[19:50.000] 全部完了。
[19:54.070] 了
[20:01.570] 了
[20:05.150] 给
[20:18.450] 三
[20:19.240] 说。
[20:56.320] 三
[21:08.260] 的
[21:38.800] 到咱们再刷刷382,000多，
[21:41.810] 我把明细打出来到咱们看一下号码，
[21:47.810] 举报应该
[21:49.050] 当天。
[21:50.660] 明天谁知
[21:52.820] 谁知
[22:13.030] 无线局域网了，
[22:17.090] 刚才
[22:18.850] 水上
[23:31.270] 改变夜市。
[23:32.250] 三
[24:35.370] 过来。
[24:37.750] 应该
[24:39.950] 的。
[25:19.100] 数据
[25:21.630] 数据、
[25:26.200] 场
[25:28.900] 场
[25:35.230] 场
[25:38.390] 的
[25:45.500] 远远
[25:49.210] 半天
[25:58.330] 你便宜点，
[26:03.010] 然后我说你就做最基础的就得了，我跟他说，
[26:09.430] 因为他
[26:11.170] 在一个什么车友群里边，
[26:13.830] 你说的怎么你都明白了，然后他现在这孩子倒是挺好的，但是春游群里面说什么都有，
[26:21.980] 所以他就意思就是你看看能不能再便宜点，我们你就做最基础的。
[26:33.310] 他那300少他这气氛就少，他没有套餐是吧？
[26:38.110] 刚才那就跟他说，
[26:44.280] 给他打个折，打个折得坐地铁得了。
[26:51.770] 没招了，那系统里面没有没办法
[26:55.760] 帮我跟他说
[26:57.260] 了
[27:03.950] 了。
[27:07.540] 行，谢谢了，拜拜。
[27:12.550] 真是不能买这个太偏的错。
[27:19.540] 好像不是不好修，他买一个两次保养那种套餐
[27:24.750] 都没有。
[27:31.270] 你发给我，就是说
[27:36.630] 这帮你发。
[27:39.490] 打打了。
[27:41.330] 你发我
[27:51.340] 所以
[27:58.490] 谁知
[28:00.640] 还有了看见了
[28:03.450] 可能
[28:08.000] 所以他想过来过来我想他买个套餐不合适点能打折，结果这是没有。
[28:15.560] 远
[28:35.590] 数据
[28:37.270] 的
[28:38.520] 的
[28:53.840] 因为咱们最后交车的时候，审批的各部门经理太多了，
[28:57.860] 不光是我们经理，
[29:00.890] 研究这么一系统用了3000万，
[29:15.640] 自个再养一个专家，
[29:17.520] 有百得利就是养了这么一个公司，
[29:21.140] 一个团队。
[29:24.170] 给我们上了好几套系统，然后厂家还有
[29:28.550] 需求学习，
[29:31.070] 什么都是我们配合他们，就说是我们一线人员各部门应该配合我们，但是我们
[29:39.310] 求爷爷告奶奶的去哪部门都那样。
[29:55.170] 奔驰什么原因呢？
[29:57.280] 他有的他现在便宜了，想咱AA20万20多万元来买迈腾了，人家就考虑这车
[30:04.700] 了
[30:05.800] 了。
[30:10.380] 首先
[30:23.610] 6
[30:25.990] 的。
[30:33.090] 的
[30:36.460] 了。
[30:40.810] 的
[30:43.420] 三
[30:44.320] 的。
[30:51.030] 坏
[30:55.230] 的
[30:58.450] 远。
[31:02.750] 数据
[31:04.600] 数据
[31:40.550] 的
[31:41.670] 场
[31:46.430] 数据
[31:47.320] 数据
[31:48.870] 的
[31:51.360] 数据
[31:53.710] 的
[31:55.140] 的
[31:59.720] 的
[33:29.970] 的
[33:33.050] 的
[33:35.080] 的。
[33:39.170] 给领导打个电话，还没审批，
[33:48.570] 也
[33:50.180] 有时候他确实也忙不过来了，
[33:55.760] 都够了。
[33:56.880] 数据
[33:58.760] 场。
[33:59.760] 数据
[34:12.280] 之前说过等打电话。
[34:19.040] 等着10多分钟的不会。吗？
[34:28.120] 的
[34:56.510] 来
[35:01.690] 远远
[35:04.490] 数据
[35:07.130] 数据
[35:11.440] 五
[35:12.840] 场。
[35:20.670] 我看看跟之前的一样不？
[35:25.480] 我们
[35:26.690] 这东西
[35:34.270] 因为我们这审计要求
[35:51.630] 这个行一样，跟之前
[35:56.740] 然后给您翻译弄，刚才过去一个您就别多了，咱说这心。
[36:16.190] 929500。
[37:33.450] 买的时候
[37:34.990] 的。
[37:38.190] 然后
[37:43.310] 我这走的下，
[37:45.240] 用不到我估计再有一个小时，
[37:48.440] 您在这吃个饭吃饭，咱办10牌就完事。
[37:52.630] 我就在这都能带对。
[37:56.110] 全部。
[38:00.440] 就不用跑外边了，要不然得去交通队。
[38:08.470] 但是咱这店里的系统跟交通会是一个
[38:13.120] 咱就祈祷那深圳没事，
[38:15.340] 你现在没事过户都拿这个板子，就是说之前的应该就没事，就是而且似乎坐过高铁，
[38:28.340] 了。
[38:29.770] 应该除了一些行不行？
[38:31.960] 上海
[38:33.720] 可以验，验车不行，您别册大胆不到也就7点多钟您就去，那要不行他又折腾一会又得大早上7点多钟。
[38:42.740] 丰台。
[38:47.720] 欢迎
[38:49.620] 场。
[38:51.770] 没准。
[38:53.950] 要不然您这没问题就能回来。
[39:02.520] 多
[39:04.790] 情，
[39:07.720] 而且喜欢
[39:11.590] 的
[39:12.720] 花
[39:16.600] 花
[39:17.580] 的。
[39:52.550] 的
[39:54.210] 的
[39:57.400] 数据
[40:02.310] 有点
[40:06.560] 的
[40:07.840] 当时
[40:48.620] 这是因为今儿刷的还是那张。
[40:50.320] 所以您还是在店铺搬迁的。
[41:02.670] 两张。
[41:10.760] 然后这个是咱们的
[41:12.640] 养护礼包1+1D都有，然后您把
[41:16.840] 抄一遍，可能也充分了解以后所有条款确认无误，您签字车上了。
[41:22.430] 对，抄在横线上就行，咱们市政府一签就是一年跟1万哪个先到哪个为准，
[41:29.150] 何必讲我村民
[41:32.690] 超期就无效了是吧？三年之内都有效，咱养护礼包就是说我9000或者11,000不来也没事吗？
[41:41.200] 但是咱这不就是两次，所以您怎么着也是头两次都是
[41:46.740] 今天是24号7月24日，
[41:52.160] 这个单子咱交完车再签。
[41:59.600] 主要是天上没来，我看看
[42:04.720] 还行到了不难模仿。
[42:14.890] 了
[42:27.200] 怎么
[42:32.330] 场、场、场、
[42:36.000] 场、
[42:50.360] 坏
[42:51.710] 数据
[42:55.240] 的
[42:57.380] 号。
[42:59.600] 花
[43:07.710] 的
[43:10.040] 场。
[43:13.560] 没事。
[43:18.390] 坏数据
[43:21.350] 场
[43:22.200] 数据
[43:30.870] 五
[43:44.450] 经理。
[43:55.710] 的
[43:57.060] 的
[44:02.810] 的
[44:03.880] 的
[44:16.030] 这里
[44:18.700] 你赶紧出发能玩什么？
[44:31.110] 来
[44:47.720] 9
[44:48.580] 从海角
[44:51.440] 的
[45:00.480] 你去上班吗？
[45:04.510] 的。
[45:06.290] 你又来到跟你说，现在你那么懂不懂，你就带着把你看出来，
[45:12.630] 看人看景都进入，
[45:15.670] 三岁之前在这里开发非常强，
[45:18.680] 你想出来的
[45:22.150] 都那种
[45:25.150] 跟照片要印在哪里，结果大家给他指着看不懂，今天
[45:30.460] 我看到那边有一个什么岛，hello倒不是孩子了，
[45:35.120] 这个的特点，但是没
[45:40.250] 对。
[45:47.750] 我们现在培养你们，
[45:52.410] 首先
[45:53.230] 小时候去玩，现在爸妈去
[46:00.670] 的
[46:05.600] 我回头去我不知道我说那地有多远，到怕在里面，
[46:15.560] 谁知
[46:21.370] 我上次去当天往返，
[46:24.350] 他的兴趣三个人觉得
[46:28.110] 好像
[46:33.880] 因为去的快不是
[46:37.660] 就换玻璃的时候直接去了，然后再放完了。
[46:41.520] 吃了个饭还是不好的知道的。
[46:47.350] 会不会有吃饭？
[46:51.520] 不能半点
[46:54.360] 的
[47:03.990] 对
[47:07.830] 你还有
[47:13.870] 这样子
[47:23.220] 你给他银牌我也可以
[47:28.500] 就是说去了
[47:46.870] 五
[47:51.690] 场
[47:54.130] 的
[47:59.470] 的
[48:03.730] 行。
[48:38.330] 好
[48:43.660] 的。
[49:41.210] 拿
[49:42.000] 现在
[50:37.080] 我拿做过
[50:37.880] 开了一年，
[50:39.880] 再慢慢研究，
[50:41.660] 都是想的30多年还
[50:47.930] 他们的
[50:49.160] 很多
[50:52.160] 的
[50:53.970] 其实到了
[50:56.170] 9月，所以
[51:08.030] 百
[51:31.440] 对。
[51:32.950] 这样人造胶能不能去
[51:36.680] 通话？
[51:40.720] 有没有家用？
[51:43.620] 加上是他想到课程不是问题，对。
[51:53.890] 千万。
[51:57.350] 那就是把
[51:58.440] 的
[52:00.070] 而且
[52:04.030] 的
[52:07.030] 的
[52:08.240] 原因
[52:09.340] 说
[52:10.470] 应该
[52:11.540] 了。
[52:15.090] 具有管理
[52:16.670] 以上效率，
[52:18.080] 需要更新升级的。
[52:20.200] 资金没事儿，
[52:22.170] 这说明你不错。
[52:23.930] 一个上市公司叫公共资源，
[52:28.990] 然后他们在占美国收一个公司，
[52:34.090] 然后他手里有放有放权框框，就在矿石在尴尬他们公司。
[52:40.640] 然后就说起来
[52:42.360] 融资的事情，
[52:43.730] 我印象咱们转发都有，本院业务，我现在中国100万，
[52:49.180] 还好公司哪个
[52:53.420] 胖胖的抵押的。
[52:55.620] 放权施工最终到什么？
[53:03.890] 你那不一样业务不知道境外的
[53:08.790] 对于其他的
[53:17.880] 工具
[53:20.710] 这两个
[53:31.710] 说。
[56:42.480] 你是张
[56:46.040] 谁知
[56:48.050] 在2000
[56:51.240] 还有一句车辆这里助援服务，他没看着蜂蜜，然后比较强，看到这里中国人的
[56:58.990] 福建的
[57:00.190] 大概40公里。
[57:02.110] 这是主要是里面
[57:05.750] 我深有
[57:07.370] 带着这样的关于合理的
[57:13.390] 他们没有
[57:15.650] 他去办保险，
[57:19.080] 说
[57:20.610] 到底
[57:27.960] 的
[57:36.350] 他打电话。
[57:46.690] 的
[57:48.780] 二
[57:54.270] 的
[57:56.000] 能
[58:08.920] 数据。
[58:12.810] 的
[58:27.640] 想
[58:29.280] 数据
[58:30.610] 数据
[58:32.900] 数据
[58:33.960] 数据
[58:35.050] 坏。
[58:36.370] 花
[58:44.760] 五
[58:46.990] 数据。
[59:10.310] 今天
[59:23.990] 数据、
[59:25.910] 数据、
[60:22.540] 要
[60:25.500] 交互，
[61:30.360] 能打吗？
[61:35.330] 几分钟行，完事给我打电话。
[61:40.530] 这些能不能再不行就这么多了。
[61:42.810] 这是您的购置税和保险，
[61:44.880] 到最后购置税都有公司退票，然后保险有保险的发票。
[61:49.230] 对面。
[61:50.150] 对，这边要您签了算了2500给咱们。
[61:54.680] 统一我最后跟他交接，然后把钱连收条小孩都是在那了。
[62:00.200] 他这一块不多，
[62:04.610] 过几分钟10分8分咱们就能讲课了。
[62:07.530] 本来说要吃饭都是很好，
[62:10.130] 跑车大概讲了半小时左右，然后把系统已经激活了。
[62:14.030] 然后您的身份证能拿过来吗？方便，待会儿。
[62:19.160] 待会被保险人改成您。
[62:24.440] 说保险人
[62:27.900] 有多大事。
[62:30.000] 什么还有一个扣子条哪的？
[62:38.960] 小数据告诉昨天你卖的后面
[62:41.580] 在我觉得也不告诉你，您那得我那个房产我也就算
[62:45.980] 然后被保险改成结果以后，他晚上都出现方便了。
[62:50.180] 这好好之前改了。
[62:53.150] 老外对6000了避开了。
[69:51.560] 财务这边手续都齐活，
[69:57.380] 现在真正的对在我
[70:01.160] 到办临牌需要用就先在
[70:03.840] 然后您身份证我要改被保险人的身份原件给。
[70:12.370] 那就是出险。
[70:14.360] 对，就成分。
[70:19.400] 他们有销售就懒得给您倒。
[70:21.910] 我一想您现在老出差还是
[70:24.960] 没弄，就长期在外地不用开过去，
[70:32.800] 让您多多少少方便点。
[70:38.470] 级别
[70:39.650] 不是该打扫激烈的时候打掉，该谢谢联系。
[70:56.800] 刚才收据找不着了，我说不用着急，我肯定丢不了了。
[71:01.320] 我问你有时候跟客户说，我不建议他把收据拿走上，咱们这隔天还行丢不了，有的订那种汽车好几个月才来，的收据拿走之后这个到时候得抵车款里老弄丢了，我们补这套手续得
[71:13.340] 各个领导部门去签字回来跑这一趟，麻烦，我就跟客户说，我说你照个照片，这个跟我们这儿的丢肯定丢不了。
[71:20.870] 然后刚才说找不着这数据，我说我这个合同他没给我定合同上，我说他肯定是指定跟谁合同订一块了，
[71:28.800] 完了我说但是肯定丢不了，我不用着急，你先给我开个票，然后这边我跟行政，因为我跟各个部门关系还行，我不行谁都有个稍微舒服点儿地儿，我知道肯定多不了，
[71:41.730] 咱主要一共就15个订单，
[71:43.790] 我的数字在那里边找，总能找到来，
[71:46.740] 等那一会儿就给我送回来了，找着。
[71:50.360] 但有的人他不知道多少人目前要您知道吗？
[71:54.040] 有的也好犯个错，
[71:56.480] 问都很困惑的，反正他们对我还不错，也有时候包括宴车主是集团的，
[72:03.650] 我要是稍微晚发点加上30什么时候给他打电话，也同意要别人，他们也
[72:09.630] 不管说的，
[72:11.800] 我觉得这都是心将心比心，
[72:16.000] 要说什么真犯什么不可弥补的大错误，该急事得急，谁都得长个记性那种是吧？是
[72:25.160] 你们受的增多了，
[72:26.950] 一开始教门口的，
[72:29.070] 您这鸡都脑一顿又能吃，有时候吃不了饭的，
[72:53.410] 咱现在就等着交车专员那边讲完了，还给我打电话了，咱们就过去。
[72:57.790] 听课的是吧？对听课的。
[73:01.120] 好。
[73:13.170] 上
[73:24.450] 谁知
[73:40.870] 你要对黑车、黑车、红座椅我昨天整备的，
[73:44.340] 因为我们卖完车之后，谁卖得谁得整备去，
[73:47.440] 然后他们给挪进来，就是我们也分三个组，A组、B组、C组，然后
[73:53.190] 一个月30天，
[73:55.120] 要是赶到最后一天了，没办法就飞速辛苦点多挪一点。
[74:01.440] 然后我们基本上就天天都在
[74:05.710] 我刚来这店的时候就特别邪性，我总卖这边第一个说，如果卖这边第一个车倒后边车全都靠边，然后从这儿有一升降机，
[74:15.260] 那么这来回倒那会他们就说对不起，可能他说你不行，你能不能别卖第一个车，你哪怕往后卖后边这的车，
[74:25.580] 一说挪车就大工程一一组总共就七八个人，这么大工程一摩罗完了又9点了，
[74:33.630] 因为我们整个要求标准越高不齐肯定不行。
[74:38.760] 我说我也不想买第一个，我也不想买什么东西转车，我妈哭里的车直接一冲，
[74:45.400] 一脚不比这城上
[74:49.820] 但是我们店好多客户确实是
[74:52.800] 卖我展出你们的展车都翻个一年半载了什么的，我说我们铲车
[74:58.530] 我说超过一星期的
[75:00.630] 都少，除非就特偏AM地区，可能时间长了一点，所以为什么那个区域一直都是锁着车的状态，
[75:07.810] 也是因为一个车就一台，
[75:10.330] 但是有我们必须得摆出来，
[75:12.980] 但是还不能让谁没事上都玩去弄，因为看着瓜子送
[75:21.200] 好多家里有宝宝的，就真的挑战车，因为我们卖这么多年，
[75:26.300] 好多客户因为谁没事天天卖，天天换车是吧？所以人家有
[75:31.340] 问题，人很诧异，就是说你展车你都别人摸做过，你怎么着不得给我便宜个一两万什么的，
[75:38.240] 但是我只有我们，所以我们也能理解客户当时提出这疑问来，我说但是确实是展车没有一点优惠，
[75:45.150] 然后
[75:46.710] 但是咱后边提车可能等的时间也比较长。
[75:51.090] 好。
[75:52.930] 行，马上过去拜拜。
[75:57.080] 过去
[76:19.120] 要求
[76:20.100] 这件事
[76:30.730] 我们都砸了
[76:34.320] 的。
[76:37.500] 行
[76:39.240] 的。
[76:42.530] 的。
[76:43.620] 因为看剩下不了小钱，事儿不少，
[77:24.290] 还凑合，没有那么闷。
[77:26.640] 就头几天下雨闷劲，现在一出来一身汗，那会我们家客户税后边库房看车的时候，我
[77:42.610] 行稍等，教会人员在等。
[77:54.280] 我里找你。
[77:56.610] 我过来找你。
[77:57.600] 行。
[78:00.370] 刚才给我们规划，
[78:01.880] 可是现在我看
[78:04.730] 汽车特别多，我这行两条好看，
[78:11.590] 反正我20块钱那行。
[78:13.810] 但是咱没有
[78:35.850] 因为发现现在的销售卖的更多。
[78:40.850] 对。
[78:41.970] 决定了
[78:44.970] 所以就是说怎么说，
[78:48.030] 保值平角来说，大街上跑的车越多的，
[78:53.830] 到这
[78:55.560] 大饼。
[78:56.740] 我去给您出保险，您这边稍等一下一会，但是保险不可能。
[79:02.230] 然后北京没有参加，老外也没有了，没有，然后他们一块去电梯口下来的。
[79:11.510] 方便不方便？
[79:12.440] 平安你们对平安卡都可以。
[79:17.840] 首先刚才保险
[79:20.030] 通过去掉之后
[79:22.340] 知道。
[79:24.340] 社会没事，你给我待会他给他一个链接，因为保单以后都在相同的活动，还要警察如果说只有车险是吧？没有的。
[79:34.030] 这里边他也因为我看过的这边
[79:38.040] 我也有。
[79:41.070] 没事没关系，我就按照他做就完了。
[79:43.670] 完了一下子就知道，如果保险上的是中国人寿的对不对？中国平安的吗？
[79:50.150] 我不用没关系无所谓，让他来了再说。
[79:56.140] 就像个松树是的标的向上的风貌，
[80:02.110] 平安的不知道我记错了。
[80:05.610] 早晨那样的，网上那个是
[80:09.290] 明天
[80:14.010] 明天他进来了。
[80:16.210] 我先打扰您，谢谢在这全在涨了。
[80:22.460] 稍等一会我们同事给您讲车，然后一会您回来的时候，我再给你交接咱们的
[80:28.890] 保养和保修。
[80:30.980] 他的东西
[80:39.880] 它的一个过程中发展的话，所以这块谁知
[80:48.130] 谁知
[80:50.030] 谁知
[80:51.520] 北京
[81:03.160] 一定高兴。
[81:04.610] 因为现在
[81:10.890] 你们那边的探头，
[81:13.820] 谁知
[81:17.080] 然后
[81:23.220] 看
[81:42.120] 电厂
[81:47.230] 五
[81:54.530] 三
[82:03.280] 希望
[82:07.150] 开发的
[82:16.530] 如果
[82:19.250] 用
[82:21.550] 号。
[82:27.400] 数据、
[82:28.450] 数据、
[82:30.400] 数据、
[82:37.130] 这块的话
[82:43.990] 点
[82:49.230] 所以
[82:50.640] 你考虑一下。
[82:57.530] 因为我自己他也不一样和孩子
[83:01.780] 刚刚
[83:02.720] 我这边上结束了，然后注意吃饭这块不行。
[83:07.660] 从维修工具电轮胎，
[83:10.650] 您得到那边走，我车后边走走。
[83:16.670] 对，
[83:20.480] 还是说
[83:27.980] 数据、
[83:43.970] 要
[83:59.430] 的
[84:01.240] 数据
[84:03.490] 的
[84:06.030] 数据
[84:08.030] 的
[84:13.070] 远
[84:15.130] 的。
[84:27.030] 做。
[84:28.940] 如果综合礼包店没有企业什么
[84:33.190] 好，
[84:35.750] 我是来找小太子是打仗的，
[84:40.850] 保险它
[84:42.800] 20号了，临床根据保险了，临床上。
[84:45.820] 账号没错。
[84:48.390] 他当时说了一下。
[84:50.890] 好的那种。
[84:52.530] 他离开了。
[84:54.640] 说这个部分
[84:58.350] 没有了。
[85:02.810] 还有
[85:06.100] 他的保险，
[85:41.280] 后面
[85:45.950] 远
[85:50.720] 数据
[85:51.830] 数据
[85:54.210] 后
[85:55.910] 数据
[85:57.870] 的
[85:59.430] 数据
[86:02.030] 数据
[86:07.830] 数据。
[86:12.120] 坏
[86:21.130] 场
[86:22.160] 的。
[86:47.390] 我得去
[86:51.450] 明显
[86:56.440] 多大
[86:59.350] 一点？
[87:04.480] 远
[87:06.550] 点。
[88:04.370] 两个账，
[88:07.060] 谁知
[88:09.130] 要不得
[88:10.280] 知道看见你。
[88:12.930] 我在国外
[88:17.690] 在这点上，
[88:19.100] 我一看这个学生其实是挺有印象的。
[88:23.730] 然后最后
[88:25.540] 那意思就是说什么？
[88:27.780] 还是觉得有点贵，
[88:29.790] 然后一下有点怎么回来三
[88:34.430] 一下就拿了一个什么的，觉得他帮他朋友也可以认可，
[88:38.660] 说省心弄一合适。
[88:40.840] 但是车主来就说如果还是不太想什么
[88:44.530] 7000块钱的，
[88:46.270] 然后后来他朋友家给贷款了，
[88:48.720] 说他没走，因为他到时候还没结婚，他结婚时候肯定半年打车，男孩
[88:55.370] 两三块，
[88:56.800] 这个时候没聊上。
[88:58.910] 没见过。
[89:00.610] 没找着人。
[89:01.950] 吃饭了吗？
[89:03.400] 没有，我来的时候我记得是三人，咱都是两人，我以为你带着那个人叫。
[89:10.390] 然后裸车的plc300顾客，
[89:16.070] C300
[89:20.360] 的
[89:25.560] 我看看。
[89:30.070] 的
[89:33.880] 9
[89:37.700] 三
[89:39.400] 场。
[89:43.680] 手机
[89:53.920] 花
[89:55.880] 坏。
[89:57.440] 好
[90:00.670] 的。
[90:08.130] 吗
[90:11.540] 不是
[90:13.310] 谁知
[90:22.810] 平常的
[90:27.270] 5月份。
[90:47.000] 以前
[90:48.230] 否认的，
[90:49.710] 没有人它删掉去打他们的。
[90:54.990] 昨天晚上应该把它
[90:57.720] 都卡转账了。
[91:37.170] 拿过来了。
[91:39.120] 没有发现人家没在手里，肯定是办了。
[91:45.120] 车主要
[91:47.940] 不让没事儿。
[91:49.610] 办公哪儿？
[91:50.560] 主要
[91:54.780] 一会干吗？
[91:59.070] 我的天注意点，我都快把碗里
[92:24.110] 忘记
[92:33.760] 坏
[92:38.080] 数据。
[92:44.300] 数据
[92:47.170] 的
[92:56.930] 的数据
[93:02.290] 数据
[93:07.120] 数据
[93:09.520] 花
[93:14.340] 手机
[93:16.480] 133
[93:18.920] 10
[93:56.360] 510
[93:57.520] 510510702702197019700430
[94:05.010] 0948来不及。
[94:33.440] 农村每二马
[94:34.910] 今天你说这话的，
[94:36.440] 行冯。
[95:22.570] 那个地方
[95:28.880] 在
[95:36.200] 我妈就喊
[95:39.130] 用的电话
