[00:10.910] 市场。
[16:12.440] 然后用车牌2500，这里边都包括什么是武将，一是去税务局交购置税，20办临牌，30工商认证测试，国内环保APP检查之后，以后到台湾选民车上牌都在这2块5里边，
[16:24.000] 保险给您一共是全险大概在1万多200左右，谁知平板但是就是说咱们这个车。
[16:32.490] 第一年都是83年，全国都是统一的，第一年都是83年，它不像过去保健协会。
[16:39.010] 不怎么管4S店做完之后的打个折95折，
[16:42.270] 弄的也可以，但是现在不行了，
[16:44.400] 现在全国都是统一的，今年保险这是愿景，然后19,000钱打发太多了。
[16:49.190] 不是打完折之后医院就2万加上交强车船税2万块钱左右了，
[16:54.060] 到时候会给您算出名气，而且我们也不保证全险现在
[16:57.490] 比如说您就觉得我就放几号竹简也可以。
[17:00.920] 然后都下来这车是69万多不到70。
[17:04.010] 装饰我们也没有强制消费，捆绑这辆车里边什么都没有是吧？对，您比如说怎么也想贴个膜做个记录。
[17:12.930] 对，这车只有这一一台地来一年就来三左右。
[17:17.690] 都会。
[17:18.500] 因为很小就
[17:21.120] 修车一会麻烦了，那就不舒服，配电的话还稍微好点，但是您要说真是这棚子坏了的话，我做硬件就是不见长，不过就是咱中国有
[17:33.290] 当个大库，它只保的什么？
[17:36.080] 三年不算工作。
[17:37.640] 您要说质保的话基本上就13个大战。
[17:41.130] 所有空间反正
[17:42.600] 得了稍后13块钱，第5个肯定发动机变不了那些，但是你要说棚子应该是不赶紧的，为什么？
[17:49.870] 前期投入了，
[17:51.680] 然后底下给您算了一个分析方案，首付70%带百百，30%在70%的为什么给您手术算这么低？因为现在奔驰他不收贷款手续费，
[18:02.090] 所以对于消费者来说肯定带的越多越合适，
[18:04.900] 但是这个批贷他最后给您批多少，还得看咱们自己平常流水资质什么的。
[18:09.680] 来。
[18:11.140] 比如说咱账面上流水覆盖不了，每个月月中的话，他可能就得给您P少点，
[18:16.790] 就这样。
[18:18.240] 一个月下来有8万块钱。
[18:20.020] 应该身上还有负债是吗？
[18:22.880] 他得把给您算进去，我身上不到1000多万。
[18:26.970] 反正他就到时候看咱那个资质去。
[18:29.640] 因为咱们现在贷款利息确实低，贷款的话因为奔驰金融对于这款车的贷款利率是高的，差不多得7点多个点那么高，但是给您算的是我们跟工商银行谈的，工商银行原来我们是3.5，现在是基本上
[18:43.590] 在3.1左右，年还是5年，
[18:45.600] 年化3.1。
[18:47.480] 所以我给您算一个三年期的，给您算15年期的，因为大多数客户觉得车费也得开个三五年。
[18:53.590] 所以您可以对比一下三年期的话，
[18:56.010] 您带了40多万，然后每个月还13,000多，然后三年一共多还了47,000多的。
[19:04.680] 算还比较低的，因为没有手续费，
[19:07.320] 然后给他算了15年期的5年期年每月就还8000多，然后总期的话是67,000，
[19:12.970] 收付60%达到多少？
[19:15.020] 60%，那就是。
[19:18.760] 3030多万已经成为已经够
[19:22.840] 三年11%的理解吗？
[19:30.640] 每个月
[19:33.530] 60大概3。
[19:34.790] 对，应该是在6000左右。
[19:39.320] 一个总共408,000。
[19:43.890] 还有客户首付一半带一半那种，我。
[19:47.400] 61721万也不用嘱咐你要手续6
[19:52.930] 67就算70万，然后3030万的话。
[19:56.330] 30万的话除以除以3年，一年除以5年，5年一年61,000，一个月合6000多块钱，也就大概6000多块钱。
[20:05.390] 6000块钱左右，谁能提前还吗？
[20:07.980] 工行现在可以我给您算可以提前还款，没有违约金之前。
[20:12.840] 对，之前工行是收剩余贷款额三个点违约金，
[20:17.230] 现在从这个季度开始他们不收费，因为是另外现在的日子保护。
[20:22.720] 所以跟我们谈我们还挺配跟我们谈的还挺美丽的，之前做工程一直都是年化04，
[20:28.280] 其实有些应该瞎聊，你们4S店在网上评论并不好，我也不知道为什么评不了多。
[20:35.280] 确实是我们为什么我也不知道，我来之前都打鼓你知道吗？
[20:39.450] 全是一颗星，
[20:42.860] 习惯就好了，我也不知道为什么别的环境还好点，
[20:47.230] 说你们价格还是什么，咱这5:30。
[20:50.580] 没什么，5:30平常我们都走不了。
[20:53.250] 您直走知道也一样的。
[20:59.230] 反正这园区里4S店倒是挺多的，你都可以转转。
[21:02.940] 都是的例子是吧？
[21:04.540] 摆脱地震有一个一庄有一个一专那是没有奔驰，只有奥迪跟保洁。
[21:10.130] 这个车就稍微便宜点60我估计也就
[21:13.790] 牌子。
[21:14.560] 我写的是4000。
[21:16.080] 应该是个散的是四驱，要是两驱的话基本上有个
[21:20.370] 不到60。
[21:26.050] 一下我家来
[21:27.970] 重点点三比较多，后来发现了
[21:31.230] 今天讲的刚才楼上有一个白的，您看见了，
[21:36.350] 反而配额相对要比多得多。
[21:40.740] 完了那个车就是他们挣钱的时候，就像SS属于跑量的，
[21:45.600] S也跑不了的量，现在也没车好多。
[21:49.110] 现在就是C燕角、C这3
[21:52.220] 是跑量，然后一系列
[21:54.720] 一气偏商务一点，电商40多万，办完了40多万。
[22:01.990] 反正这车确实好看，我有一个客户这两天的纠结是还是
[22:06.600] 因为办其实这俩车差的太多好的。
[22:11.960] 也挺好看的还是有的。
[22:15.380] 后排空间稍微一点，后排其实真正做进去，我感觉好像还比那痛快点。
[22:21.580] 别看它是两门，但是后头还行空间。
[22:25.500] 大概都是什么？这是几区的。
[22:28.030] 这是百度是4。
[22:29.410] 区，我觉得这是四驱，
[22:31.040] 楼上的房子里面有两。
[22:33.020] 对楼上白的就是两区的。
[22:34.920] 我说的就是这个的两驱跟咱们看，
[22:39.400] 跟咱们看厂房那两句差不多都办齐了，差10万块钱，
[22:42.880] 不赚钱。
[22:45.190] 不好看的话肯定是盘敞篷拉风好看。
[22:49.180] 口，而且白车黑底挺酷的我觉得。
[22:55.200] 而且我就。
[22:56.560] 基本上这几台小门桥我卖，
[22:59.070] 这厂门我一开始就那会儿，从去年开始，我以为招毛毛一冲不好冲的，结果去巡航，
[23:06.390] 就走那洗车机充就瞎了。
[23:08.560] 不像我想象中的那么难伺候那边的样子。
[23:13.150] 也都是什么都有，但是没有衣服配，那边有交oc，
[23:18.110] 叫2B-S。
[23:23.830] 还不知道。
[23:25.500] 对，咱得绕，因为那还是只出不进，要是能正好赶上人出来，咱没准能
[23:35.270] 我们商量一下没问题的。
[23:38.320] 行行，我带您过去咱再站上去吗？
[23:41.360] 也行，那走咱转一下看看。
[23:45.530] 反正因为正常反应不是周末好多。
[23:49.790] 非颜色一般别的地方还都没有。
[23:52.280] 一般表面都是180，
[23:53.830] 跟180块边上反正都没啥，因为女士很少注重和动力给游得开多快，
[24:01.030] 我觉得他们开发完成
[24:02.950] 应该安排动力方面。
[24:05.210] 原来现在就是说那个女人开始
[24:08.140] 跟你的讲课就跟刚进来小张一样，我也不知道干嘛。
[24:12.840] 这样怎么样？
[24:16.170] 奔驰的安全性能。
[24:17.420] 还可以有主动，谁知
[24:19.950] 现在68。
[24:22.500] 68. 
[24:23.710] 现在平衡进口的到40
[24:27.420] 是多少？500 500。
[24:30.040] 63线没车。
[24:32.640] 63周加68。
[24:34.410] 的
[24:36.720] 进口的话差不多40，
[24:38.660] 原来评审和有30差不多像也变了，现在在世界上了。
[24:43.110] 办完了200多。
[24:44.530] 在270 270，因为现在500来的就跟保时捷镜头
[24:50.780] 哪个车配置都不一样，然后都得加个10万8万的配置。
[24:55.550] 是这样。
[25:01.730] 同时
[25:02.680] 加上又说是一个世纪。
[25:05.320] 还有一个是迈巴赫。
[25:07.310] 莫拉克现在评价。
[25:09.110] 45045040560还一样。
[25:11.800] 然后现在咱们奔驰GLE家rs也一样，都是比指导价高，
[25:17.250] GRE还加强了，对。
[25:27.410] 不都是工行大连吗？
[25:29.520] 不对。
[25:31.450] 这个地方我们刚在那谈的
[25:34.600] 日子看来，因为我们店基本上每个月能卖到300是对这是两驱的。
[25:41.300] 有两个04。
[25:43.110] 后边对。
[25:44.160] 都过去，其实两区的不怎么用在北京。
[25:48.370] 女士我觉得两根男士他不大，咱要是看SUV就肯定一定要买个全时四驱，
[25:55.360] 稳定性好一些，因为它底盘高。
[26:00.600] 女孩谁知我觉得女孩一般都可以很多的
[26:09.560] 从
[26:29.600] 12了。
[26:46.920] 450我们一般50很少，
[26:49.750] 450大家看的比较多，
[26:52.330] 就是L对J家STIC
[26:55.960] 然后家电
[27:06.360] mg包围了，
[27:08.200] 这个是GRE要不要叫rs速腾豪华，
[27:16.340] 比如说轮毂，
[27:23.390] 这可能是对中国影响的很大。
[27:26.530] 好多朋友他们都是平行进口，但是基本上买完了凭证号的全后悔，
[27:32.690] 买的时候便宜，休闲的时候太贵
[27:35.610] 了，咱这原来过去
[27:37.540] 像咱们这些正规4S店都可以做个PDA检测什么的，找配件都可以给修，
[27:42.390] 现在统一都不给修了，因为他玛他美归纳编码跟咱们编码不一样，就看因为一个小零件引起的这些不是，
[27:52.020] 然后到时候引起大麻烦，所以现在都不敢
[27:54.840] 就得回他那去，我回他那修的话，人家就只这些售后挣钱，对7座车这车7座
[28:02.120] 汽车就是个人汽车，
[28:04.350] 这车没有武装的，这车程是7座的交易输入。
[28:25.620] 我听我自己是10年那会儿买的平进口车，将二次
[28:31.320] 开了有个两年多，
[28:33.880] 换了一遍头圈花了20万。
[28:37.040] 这个阶段
[28:39.490] 好的，
[28:40.950] 拿
[28:48.240] 没事，你们先赶紧的我看一下，没。
[28:55.610] 没想到，但是
[28:57.180] 没出来。
[29:07.760] 看着。
[29:09.240] 对，这是标配的角色。
[29:11.880] 办齐了40出头。
[29:16.160] 5
[29:19.020] 贵个
[29:20.420] 23W58应该得个44万吨。
[29:29.390] 确实是因为太少了。
[29:44.760] 价格还有。
[29:48.030] 我只能超过权限，我只能去申请。
[29:51.530] 具体经历给多少，反正一般情况也就是大概3000块钱左右。
[29:57.470] 千。
[29:59.790] 他现在便宜了，120下巴还在车，这裸车123块，这裸车现在是1,456,800。
[30:08.010] 这样过来，
[30:11.160] 他就是一个后排空间加大，
[30:13.400] 加长轴距。
[30:17.670] 170 170 170 370。
[30:25.220] 这车现在卖的也不错，
[30:28.110] 原来想卖8克没被喷漆收购的时候基本上都300多，
[30:32.650] 现在空间也有了，舒适度也有空气墙快。
[30:37.660] 谁知
[30:39.750] 那个是豪华150%，动感的话100。
[30:48.210] 行我们先了解一下，然后有什么你找我给你打电话行没问题，完了不仅仅
[30:52.590] 我不能出去，反正是还去奥迪转转吗？
[30:57.650] 您现在
[30:59.080] 还有什么见面应该还能有我觉得
[31:03.550] 能够。
[31:04.310] 奥迪又一下行吗？
[31:07.710] 好几昨天咱们您车停在。
[31:10.270] 哪个位置车里面。
[31:13.650] 在外边还在里边，昨天。
[31:17.040] 这边
[31:19.360] 反正奥迪得走到那头，不行您就开着车转到那边去，那边有一出口方面，
[31:25.300] 然后您到奥迪那边接着扫一个停车券，
[31:27.970] 因为从我这扫完了10分钟就得出去，咱园区用的是一个马，
[31:33.410] 然后咱们这边只能这么顺着绕到
[31:37.750] 不让运行。
[31:45.160] 没事您客气了，有问题随时给我打电话。
[31:49.570] 没过去了。
[31:54.890] 您慢走行了，有。
[32:12.190] 有伴在这里不要982。
[32:29.090] 的。
[32:30.120] 什么眼神？
[32:34.620] 号
[32:37.680] 满天4号就咱4个。
[32:40.830] 号。
[32:42.080] 真是不要4号牌秀。
[32:46.770] 我知道你们要不去我就说了你们要很。
[32:49.690] 组的话，我就直接回到家了。
[32:51.700] 我姥姥最近状态不太好。
[33:05.290] 正好了，我就跟张鑫说了，
[33:12.160] 让张欣喝死。
[33:16.140] 买喝死了，
[33:18.250] 买U他也开不了车，
[33:20.750] 他也开不了车，
[33:22.780] 多么不开车。
[33:24.340] 没有我
[33:25.610] 喝的也不我真喝不了，我
[33:29.370] 这天上午不好的。
[33:31.020] 真不你说啥？
[33:33.460] 你再说一遍。
[33:35.340] 不喝酒就不要我了，你们这都什么人呢？
