[00:00.000] 60。
[12:33.820] 厂家给的不是这个政策，厂家给的是60%，首付60%，
[12:40.570] 待40%两。
[12:42.080] 一联系。
[12:43.040] 等于是中国银行。
[12:44.530] 这是自己贴息。
[12:51.650] 30多万T5四驱的
[12:54.690] 开走了。
[12:55.850] 您再把您旧车的衣袍。
[12:59.140] 车价多少钱呢？
[13:01.090] 车架29万多，你看落地价。
[13:04.710] 33。
[13:09.240] 虽然3万
[13:11.490] 这是装备的高品质，
[13:13.940] 原来。
[13:14.780] 这算是中饭，因为他下边还有第4个，
[13:17.660] 其次的就别考虑了，T4的跟着看不了个两三万块钱。
[13:23.460] 沃尔沃安全配置都是有的，自动刹车，自适应巡航，
[13:26.960] 自动加上辅助，还有车道保持
[13:29.910] 紧急避让这些都有。
[13:31.890] 前后雷达、倒车影像、电动尾门，
[13:36.010] 这都是有的。
[13:37.520] 改我的配置权贷款的话，还有
[13:41.040] 这车本不是我的是吧？是您的。
[13:44.000] 到底是属于抵押的不抵押。
[13:46.100] 不抵押，车本就是您的。
[13:48.700] 你要给全款买的车。
[13:50.930] 对，跟全款买的车没区别。
[13:53.590] 原来说贷款的那本，
[13:55.310] 原来跟你贷款不一样，你这怎么拿我的贷款，车本也是我的
[13:59.900] 信用贷款。
[14:02.390] 不抵押。
[14:03.740] 信用在吗？跟车没关系是吗？跟车有关系，但是我们不抵押您的东西，
[14:09.250] 您自觉还款就行。
[14:11.070] 不是跟您全款买的车是完全没区别，我不太理解这怎么可能这个车里边放。
[14:16.420] 追踪器吗？不怕。
[14:18.940] 原来兜兜您说的是原来的到期以后也不用办解押手续，不用就还完了就行了。
[14:26.290] 您信用贷款吗？现在都是这样的，所有的都这样，基本上如果是跟银行做，有的是第三方。
[14:31.430] 金融公司他就需要抵押，
[14:34.620] 因为肯定。
[14:35.890] 你这风险是挺大，我没有和能力还款怎么办？
[14:40.700] 跟我没关系，你就变成了你相信他既然说给您批下来，您征信肯定比它贵。
[14:47.770] 肯定它值钱。
[14:49.120] 他要审批我的，他肯定得查征信，不可能说专业不通过他给贷，
[14:54.400] 这个弹完了影响以后再做my。
[14:58.220] 买房子贷款吗？这有啥冲突？
[15:02.600] 我也不太懂。
[15:04.440] 比方您贷款，您看这个月还是多少钱？9000就算1万块钱9700多吗？
[15:10.910] 你在贷款你收入覆盖月还就行，
[15:14.560] 比方你在待一个月还1万的，你只要收入能覆盖的。
[15:18.550] OK了就没问题，这个是一个月还1万，
[15:22.310] 24个月。
[15:24.570] 可不是是不是？
[15:26.490] 手续费是什么时候是打的这个月供？不是，手续费是前期交付，对一次性的就一次性交。
[15:34.150] 然后您慢慢还您的。
[15:38.010] 除了手续费之外没有额外。
[15:40.170] 的任何费用了吗？没有。
[15:42.270] 为什么现在买车都买都分析了，没有很少有厂房。
[15:48.190] 但不是所有的车都有这个政策。
[15:50.600] 肯定要你沃尔沃现在厂家给的是这种，
[15:53.880] 你要买宝马买奔驰，
[15:55.510] 包括奥迪这几个他肯定有一些。
[15:58.490] 手续费的
[16:00.730] 利息应该是如果您在两年的话。
[16:03.490] 2.69 3.99了，然后再收您一个服务费。
[16:07.800] 利息对肯定是有的，去年设置的点。
[16:14.610] 你这个价格现在还。
[16:15.950] 能优惠多少？
[16:17.640] 这样
[16:20.970] 已经收到手里的权限了，就是这样，因为这个大概是一个。
[16:26.520] 采购都这么一个报价。
[16:29.770] 置换。
[16:30.930] 还有补贴吗？之后。
[16:32.920] 谁知。
[16:34.340] 已经讲了，对那肯定。
[16:37.310] 不能说那个药不一样，你就可以这么理解，它整个都是厂家的优惠。
[16:43.110] 对，97,000不要没有置换车的话，肯定是没有被
[16:49.000] 你要是指标购买，他肯定就不是他1万，谁知标你也可以弄，你买个贷车买花1万块钱买个车，
[17:01.330] 比方您买了。
[17:02.460] 了他得在。
[17:06.190] 您置换的车必须得挂满半年以上。
[17:10.860] 挂了半年。
[17:12.820] 对自己名下那肯定。
[17:15.470] 比方您
[17:16.820] 你现在控制一指标，然后你就买了一车挂上去了，他得逛满半年以上去，不是。
[17:23.130] 你还不是乐趣，你还要把这桩他在贴膜这些东西还得怀疑。
[17:27.490] 那天我不强制，我知道我说起码也得小1万块钱的。
[17:33.670] 但是千块钱起步期，
[17:36.320] 你们不吗？我们不强制你要觉得合适你就可以到我们这里做。
[17:43.370] 你那些比如贴膜这些东西。
[17:46.330] 看贴不完。
[17:47.880] 你看我们这有普通的跟类似于sm之类的，
[17:54.470] 我们都是大班做到摩尔记录仪你这套吗？就是说的吗？等一会儿再给您打电话，6800都包含什么？天马。
[18:05.710] 张家口下面让。
[18:07.600] 重新三点行车记录仪。
[18:10.270] 行了。
[18:11.820] 你要是跟别的地方对比，这肯定是最便宜的，对。
[18:15.480] 你要是说然后还有好玩，
[18:19.350] 这是一般的。
[18:20.810] 然后还有维护。
[18:22.260] 不能玩。
[18:23.240] 你要是说贴威固的马关于号码就得。
[18:26.970] 那倒下来了。
[18:28.650] 那套东西也小于1万块钱差不多。
[18:32.310] 对。
[18:33.140] 暗示就看你自己需求了，比方你要是说
[18:36.400] 我想弄那个。
[18:40.130] 我们6000多的这边靠擦地膜肯定也是好的，基本上跟。
[18:46.160] 你现在抗表有个别的品牌的车。
[18:50.320] 比方说到奥迪来说，奥迪不是捆绑15,800，
[18:53.710] 这是一个等级。
[18:54.720] 了。
[18:55.850] 跟他一样的，他就是贴这种
[18:58.760] 他就是kiss这种模式，它主要是整治能挣钱。
[19:01.980] 我们反正你要是在我们这座面上也好看，
[19:06.840] 有个面，
[19:08.130] 但是你要说天为顾的，你15,000就下不来了。
[19:12.360] 你得单加钱就得照着2万以上玩微博的模式贵。
[19:16.660] 还有一个。
[19:18.180] 沃尔沃
[19:19.070] 他们售后维修。
[19:21.480] 这个贵些。
[19:23.980] 不是你得什么时候。
[19:26.480] 现在讲您担心的问题两个，
[19:32.590] 一个是最早之前的车Volvo，他微博还是比较贵的，
[19:39.060] 基友用的多，现在他是1万公里保养一次，
[19:43.460] 一年或1万，就像您这种开车频率基本上就是1万一次。
[19:49.310] 没有增的。
[19:50.760] 不错。
[19:52.130] 绑一次是1200。
[19:55.650] 配件。
[19:58.790] 后续维修。
[20:00.290] 你们做个同期对比。
[20:05.790] 整个流程比大概是13。
[20:09.740] 可以。
[20:11.800] 都是1:61:7的公证的问题，现在怎么样？公正完全不用担心。
[20:18.240] 而且公认的问题是什么时候？19年到20年会。
[20:22.440] 还款的时候。
[20:23.790] 去年大概在个对我这去年。
[20:27.150] 我想想下半年不是五六月份那会儿，
[20:31.950] 比今天早一点。
[20:33.640] 然后那会儿。
[20:34.330] 二话。
[20:35.400] 说的比较多，但是实际我们店里面卖的那些车，
[20:40.200] 没有说客户反馈这个问题的，基本上就是
[20:43.380] 也是在客户在网上了解，
[20:46.340] 然后拿这问题来店里边，但是一般我。
[20:49.310] 是怎么着的？
[20:50.480] 我们有私家车，对你可以试乘试驾感受。
[20:54.060] 第二一个
[20:55.300] 在您比方成交了。
[20:57.220] 也不一定是各搞各的，不。
[20:59.530] 你听我说比方您。
[21:01.470] 成交了。
[21:02.420] 了，你确定哪个配置那个车，我给你分车。
[21:05.660] 在您签合同之前，然后我们会让你坐到车里面去感受。
[21:10.880] 没有问题之后咱再继续往下进行。
[21:14.220] 所以您这边的权益不会是有损失。
[21:17.290] 而且工程问题如果说
[21:20.500] 您坐在车里边三五分钟，如果有的话就会有感觉，那也不一定说
[21:26.760] 开上就有。
[21:28.610] 万一半年的费用这不可能。
[21:32.220] 这都是新车的有的，您因为他并不是说一种声音，它是什么，它是一个类似于殷波。
[21:41.130] 那种。
[21:41.940] 您是听不见的，你只能感觉得出来打了几折，相当于20多点，
[21:47.550] 二十几个点23。
[21:49.830] 23:00
[21:51.270] 2:40。
[21:54.810] 回去晚了。
[21:56.690] 住哪儿？
[21:58.280] 还在上课。
[22:01.880] 25二。
[22:03.150] 不是85,000上市，还是这个是2三个0 855852350，你看
[22:07.800] 你就这么算。
[22:09.280] 85000÷39090
[22:14.190] 22。
[22:16.780] 2222点。
[22:20.960] 22个点，然后
[22:23.200] 还有报道26个点，厨艺
[22:25.550] 多少？26个点。
[22:33.760] 26个点。
[22:35.800] 有成这样子。
[22:37.410] 有过多少钱？10万。
[22:43.730] 201
[22:50.520] 你们这个月有。
[22:51.460] 什么活动吗？有店庆这个就是已经开始了吗？开始这不就是吗？
[22:56.660] 你今天你这个价格里面有什么活动，请天津您这价格有点多，他3000块钱
[23:06.840] 还是不含住房补贴，那么的没戏。
[23:10.630] 肯定弄不了。
[23:12.500] 我说你今天电信有什么活动在电信也做不到，也是有价格，
[23:17.880] 你的价格还低，你看说平白无故跌了15,000块钱。
[23:21.960] 对吧？有5000块钱多少个点了？
[23:25.070] 将近4个点。
[23:26.630] 就40万的车，
[23:28.490] 先回去感觉那边东西给我。
[23:34.450] 你看我
[23:40.470] 别的软吗？
[23:41.930] 不太远。
[23:43.550] 子路那边。
[23:45.960] 您要是有时间明天过来，对活动也继续，像平时确实是，因为时间比较紧。
[23:51.600] 还有。
[23:53.000] 好，谢谢你回来。
[23:54.490] 吗。
[24:12.510] 你完了。
[24:13.440] 别管了。
[24:23.790] 太多了。
[24:24.960] 我跟你这边没关系，不是带着我们，
[24:29.560] 我扫了我从这边过来了，要找一个提升马在哪，然后
[24:35.330] 我们这边20小时的会打一块，好借鉴一下给打个电话，好。
[24:40.670] 行勒好慢点。
[25:06.600] 应该去找老师。
