[00:00.000] 不是高峰。
[06:30.940] 挺好。
[06:35.050] 刚开始演出都刚刚回来是吧？刚回来我说那就要
[06:39.740] 丰满了。
[06:54.190] 反正我们头黎市长强这车
[06:57.030] 不乐意以前卖便宜。
[06:59.940] 你主要是
[07:01.160] 早晚上我下班卖了一个
[07:04.760] 你说上午来你没来吗？
[07:07.370] 上午卖。
[07:08.600] 小黑。
[07:09.700] 这妹俩给你挣钱吗？我说跟扣子说好了，人家要了你别挣钱了，
[07:15.920] 对吧？
[07:22.200] 我说咱这就是
[07:23.970] 咱们又是老客户，
[07:34.850] 他哪儿来的？
[07:37.690] 知道吧？
[07:39.640] 还喜欢。
[07:41.200] 还没回来。
[07:42.470] 还没回来关。
[07:45.960] 不能新的感觉新的表扬，
[07:49.560] 心里反正就没车了。
[07:52.930] 完了里边一半我拿过来了，一般什么情况？
[07:56.450] 这块就快一个礼拜。
[07:58.700] 我跟他说了我就慢慢休息，不着急，别
[08:01.860] 敲实了汗也不是。
[08:10.760] 看你还送礼
[08:12.860] 方便，
[08:14.640] 还经常开车不方便，
[08:17.960] 也不吃也没有什么吃。
[08:24.950] 高调了，你看那边在夜
[08:30.950] 容易抽，一般也就是一样对。
[08:34.360] 你在丑了你在认识我也认识吧，那不也是奥迪。
[08:39.420] 你就开个亿大力标大奔，
[08:44.830] 品牌样板都不一样。
[08:54.430] 这位不能采信，让他换了。
[08:56.880] 你说了三年了，该货了你们那边也人口快来要钱了，
[09:02.590] 给他开始特别少的地方还不吓跑，那时候很少出去吗？
[09:07.820] 四哥丝绸还没是正常人，3000多4人必须肯定换两根了。
[09:13.330] 至少有两个圆罐，对。
[09:16.130] 有最惨的是刚出包不是空白，1万多一根，
[09:22.950] 他们说是1万多元还不到换个强势，
[09:26.240] 换换完挺贵的，工时费贵。
[09:30.750] 反正都说说1万块钱生活费不知道，反正医生说1万一根，
[09:35.920] 看得少又不去那些什么。
[09:39.540] 第二
[09:40.490] 还行。
[09:41.670] 他不就有那一天，
[09:44.190] 而且他还不去也不开这车。
[09:50.930] 这边出去用给
[09:53.280] 没出去回来。
[09:55.130] 我俩开始不容易混淆。
[09:59.940] 多少公里？
[10:02.640] 可10万
[10:03.880] 或
[10:05.460] 也不少。
[10:09.110] 不少，比你的车是嫌少，
[10:12.940] 我那个车一年，
[10:17.760] 去年7去年还没那么多，前年是
[10:22.200] 就算俩车我加一块，
[10:26.450] 跑了多少？
[10:28.430] 64万。
[10:35.040] 另外你全国哪的
[10:40.000] 我说我
[10:41.840] 国产车我说
[10:43.740] 出去两趟车费了。
[10:46.320] 每天开开叫
[10:51.090] 长城，好像长城有什么C几的数，小丫头，
[10:58.660] 首脑
[11:00.470] 从天津开到了
[11:02.160] 我忘了是武汉长沙了。
[11:03.780] 前几天
[11:04.860] 到了之后车速店里人说对不起你变成废了。
[11:08.530] 前天晚上说是一档叫从哪到哪开到江苏，
[11:16.190] 妈挺狠的，看着觉得有点了，
[11:20.220] 当然差不多了好多年开七八年了，说那车不是你这一档发动机那么大声，你感觉不出来吗？就嗡的，
[11:29.560] 关键它还是自动挡这首词，地铁好像是奥迪什么忘什么车了，
[11:36.670] 还等大型露迪，反正这碰了一下，又碰到这手自一体那了，
[11:42.610] 他脑子你就再说，我就觉得你不会用。
[11:47.080] 你开车出来车PAD大一阵，你不觉得车有问题吗？还开？
[11:51.510] 你警察也拉近了吗？
[11:56.490] 我觉得应该是个不错的车，
[11:58.840] 只要是4辆车他已经废了，
[12:01.830] 完了都冒凉了，觉得冒烟了，
[12:29.280] 就差了。
[12:30.280] 谁知
[12:39.210] 行业
[12:46.110] 我那个卡点又要废了，
[12:49.080] 出花园说新车
[12:53.570] 行也不行？
[12:55.010] Bye bye。
[12:56.140] 这个时候
[12:57.150] 那会明天好吧，我在睡觉，他家吃饭去了。
[13:00.680] 瞎聊，人过来喝酒，我过来得去出门。
[13:04.300] 我去广州那不远一天到了，
[13:09.540] 真喜欢要叫你去
[13:13.990] 2000多每一天开到
[13:16.470] 开不了。
[13:17.600] 开不到湖州能开，但是如果你按正常的限速开，
[13:27.040] 你那开不了。
[13:28.960] 他高速限速，你要怎么贱怎么来你是看不到了，因为你算
[13:34.710] 1000公里平均比如说1000公里，你经常开，比如我让自己开连着跑，
[13:41.280] 我快的话也得13个小时，
[13:44.200] 因为你得跑去13条时间，
[13:46.140] 那时候还得歇会，这算少的，
[13:48.950] 有两人倒着开还能再快点，12小时或11个小时不到，
[13:53.220] 这是正常限速2000多公里，就两人看也没谱，因为人根本受不了了已经
[13:59.250] 坐车也做完了。
[14:01.140] 你坐高铁多长时间了？
[14:03.880] 对吧？
[14:08.280] 以上开到海南是多长时间？
[14:10.820] 开到海南上周开了三天半，2000，
[14:18.210] 应该是2000，上到三亚是3000，到韩打一个2600 2500，
[14:25.060] 人过还得当耽误好几小时。
[14:28.760] 坐那船是吧？得上传。
[14:31.850] 然后三天半上次
[14:34.660] 他自己
[14:36.840] 我还觉得
[14:38.390] 可以，还是你说去哪自己？
[14:42.990] 去新疆，谁知
[14:45.820] 你看看你那些聊天去将自己开的，
[14:49.680] 就去新疆那一圈回来自己开的。
[14:51.880] 去新疆之前我是为了整个中国，从西部从宁夏
[14:56.280] 从宁夏那边转到沿海，
[14:58.900] 整个东部沿海沿都一样，所有手段给抓回来了。
[15:02.600] 高速不是量的，对整个他你告诉春节也他整体后来也算明白了，
[15:08.830] 改成国家G大G积极全串明白了，然后严整个营销高铁济高速走，
[15:16.180] 有人用圈，
[15:17.670] 因为你可以直接回来，但你得走这条高速，就得绕沿着高速上绕，
[15:23.440] 然后出去自己跑了
[15:25.890] 14天，我歇了2000
[15:28.790] 了11,000公里，去年8
[15:31.460] 年前几年去去年我估计跑不了。
[15:35.470] 现在你再往后你待这么，你说玩意清出去了，完了就说随便跑了，你跑人家受不了，
[15:41.930] 受不了，现在
[15:46.190] 多年吃
[15:47.720] 不要投机头开始，原来就在那出去跑去，
[15:50.820] 但是跑怕D不知道吗？起码两天不睡觉，
[15:54.560] 好好的跑那干什么去就跑。
[15:57.930] 没事儿，人回来没事，晚上要睡8小时，16小时睡醒了没事就行，就跟我是那天我一客户也是
[16:05.530] 后来我说买迈巴赫开始说，
[16:08.220] 我说这车他说现在车跑的不多了，
[16:10.870] 他说不像以前我们奥迪跑几十万公里，
[16:13.410] 他说以前一说去哪办事什么都开车，
[16:16.220] 说去哪都开车，说现在说动车高铁方便，基本上都不开车了，都是直接什么直接
[16:23.550] 坐动车去就完事。
[16:26.300] 他说您说的对，他说前几年跑的特多，他说前几年老是从哪就跑。
[16:31.800] 开什么，
[16:33.080] 现在用用不着那么好，都是坐火车方便。
[16:37.720] 对，比飞机还包括。
[16:39.680] 他们应该是做什么污水处理的好吗？
[16:43.010] 我弄了跟你们那不一样，它们的污水处理可能都在城里头点去，我们
[16:49.400] 每天做专门做投诉，你这就等于是他就说在那跑，你说我做东高速高铁学，
[17:00.760] 后也等于就是划车一样，这信号测试测试是的，反正又没事，好了，反正你就得跑了
[17:08.230] 了。
[17:09.300] 就跟那打卡是的，到这儿打到那儿打，不是沿途所有原图，
[17:14.640] 他看车的路况，你把所有点走到，然后走轨迹，
[17:19.000] 走这条高速轨迹，咱走了路况，
[17:21.950] 水文气候全要看，全要记录的。
[17:26.090] 你必须就是说
[17:28.020] 你说这个桥高那个高度上我能查的地方有问题你得到桥边上看，
[17:33.910] 到底瞧怎么着了，我说你预算确实不对，
[17:36.550] 真有误差，就是说也不是太有时候有些桥它没有名字，没有记录的，你也比较近了。
[17:43.710] 因为
[17:44.990] 说白了，
[17:46.280] 包括客户的他们做
[17:49.650] 让人地方做的
[17:51.620] 什么都买了，
[17:54.070] 什么东西根本找不到，而且他这个东西涉及到全国各个省，他在搁在个省份地方的，
[18:00.130] 也没法查，你还不如自己，你跑去可能一个礼拜半个月你事解决了，
[18:05.930] 你要查一下跟你说半年，你干完事儿
[18:08.590] 半年一下没有
[18:11.190] 费他妈死劲了，还不如开始去，这是第一看这玩意就得了
[18:16.910] 了。
[18:18.110] 从这事就这样，
[18:19.580] 为什么说我干事儿，
[18:21.630] 这新闻太不行了，其实茶壶创新就完了，
[18:25.090] 没事干也查不到新没了。
[18:30.690] 也是
[18:31.890] 对吧？
[18:32.380] 10天半个月，然后直接去了，到时你看到那一看照模式了，这点事吗就走了。
[18:38.110] 就跟你上回说的是的吗？说是第层标准与机场到哪里去的菜地，
[18:43.340] 看他
[18:44.560] 机场大楼还在。
[18:47.640] 这块觉得不对，肯定好，但是
[18:50.320] 在包里看好不必，
[18:52.480] 里边机场跑道知道吗？还在是块广告，除了跑这草坪吗？全是菜地，蚊子、礼炮达令吴高峰出彩，
[19:01.670] 你估计肯定征完地之后你不见，人家又回去继续种，对。
[19:07.960] 然后什么，后来我把这个新闻给找
[19:11.670] 全给浇了，
[19:15.290] 也没法弄，其实一和一头一
[19:17.600] 起码都有钱数新多少钱了，
[19:20.400] 到时候投资多少钱，谁出D谁出钱，该那么机场该机场去了，一看还是肥的，都可以开始问，
[19:29.070] 你都在做调研，然后曾今个人打一份人道帅die，人找哪了？没有汗我迷路了，
[19:36.370] 机场什么打印留
[19:39.290] 没走军用机场，后来人不对不用了吗？也不是不对，他在这了。
[19:44.730] 他在部队大院为的不是颜什么数，
[19:48.320] 村民知道咱看看不出来，
[19:50.790] 然后那说明你检查看完了，
[19:52.800] 我就来介绍没干，说干没干，他怎么毕业是二年了，好多年了得年知道了，
[20:00.350] 喂得太狠了。
[20:06.160] 你说。
[20:07.270] 说不好听，他其实有你钱，
[20:09.460] 不能搞你的钱。
[20:11.000] 都是纳税人的钱，对。
[20:13.630] 在美国就业社会上都在想，
[20:16.750] 在中国有人我也没人敢报，
[20:22.810] 明天简直什么？
[20:24.420] 每年中央新中央新闻爆料，中国企业在非洲投资一项目，
[20:29.420] 投资也是铁路是公路项目，它最终因为什么？因为证据原因损失了40多个亿，好像是按人民币算的。
[20:39.710] 我这里还抱着
[20:41.550] 他说那钱是谁的钱？
[20:43.260] 以前出钱谁来说损失？
[20:45.770] 这本书挣钱不？
[20:48.640] 中国铝业你买的股票都什么样的？2块多钱好像。
[20:54.160] 中国铝业和那时花
[20:56.080] 还有一股中国石油，
[20:57.680] 股票跌，
[20:59.560] 还有一个什么呢？
[21:01.470] 就不要理他们，听还小，谁比他们还喜欢中国好，买几个篇大户，
[21:07.560] 都是海外投资。
[21:09.390] 海外投资
[21:10.580] 头都可以海外去。
[21:12.830] 我说你看了没有？
[21:15.400] 都没了。
[21:16.340] 不还政局动荡那都活动。
[21:19.480] 对不？上非洲头现在对。
[21:24.050] 别说处长不同意，
[21:25.710] 中东那边打仗了，
[21:28.220] 他们那里的码头
[21:30.870] 有当官的那种
[21:32.510] 轮都是项目，
[21:34.310] 中央台新闻自己报的，
[21:36.190] 然后装在自己心里报道，
[21:37.840] 到那傻子
[21:39.610] 不小问题。
[21:43.190] 的
[21:44.190] 有点
[21:48.200] 咱纳税人的钱
[21:50.880] 不想出去，媳妇儿啥回来呢？
[21:57.990] 媳妇儿啥回来呢？
[21:59.780] 不知道吗？
[22:01.230] 媳妇儿头头有一个礼拜了，
[22:06.030] 所以
[22:07.290] 你丫带没了，
[22:21.640] 同时杀查到动物园玩去了。
[22:24.640] 心真大的今天
[22:27.120] 今天全行，明儿明儿别去了，
[22:30.050] 明儿动物园让我看，
[22:32.050] 两块打上去就过不去了，全堵一到周末巨堵。
[22:36.030] 我不知道他去的是野生动物园还是什么动物园的。
[22:39.480] 我这样应该是野生动物园干嘛有数。
[22:46.280] 你吃过那鹿肉吗？
[22:47.900] 鹿肉。
[22:53.750] 明天我们家一饭店专门卖着鹿肉吃的还行。
[22:58.970] 我觉得花老头不
[23:02.840] 我看他没有养，真是一点特别残忍和去年入学
[23:07.550] 就跟那鹿茸咖聚了，聚了他可能还涨，涨的太剧，他就那样。
[23:13.470] 谁知对是挺残忍的是不是？
[24:01.450] 你这块能回家了吗？
[24:03.560] 应该快了这周末。
[24:06.570] 我估计下周下周下周末I就周一周五，
[24:10.940] 下周末的是月8月初二了。
[24:21.160] 这两天事哪有车展？
[24:24.040] 收录。
[24:25.120] 我说的这两天这奔驰的新车卡
[24:28.020] 卡卡在网上报，今天成都车展
[24:32.930] 你看A45也上市，
[24:35.940] 还没那么点钱没有。
[24:58.010] 可能那边还是一行不那么严重。
[25:00.390] 还敢开。
[25:02.610] 一直
[25:04.960] 外地
[25:06.440] 都比较好。
[25:08.280] 现在新疆大学然后北京
[25:11.990] 恢复
[25:13.340] 我们家那儿都没人戴口罩，我回去戴口罩觉得有点另类。
[25:20.970] 没有那种眼光看，
[25:25.320] 后来回去我也不带都不代表
[25:28.150] 随大流。
[25:29.920] 是随大流行了。
[25:31.380] 因为我还是40。
[25:33.420] 你说不戴不行，我带上。
[25:35.220] 但是
[25:36.300] 能不带着我
[25:38.150] 自己没有病了，
[25:43.150] 突然你的体型可能不太允许，
[25:47.680] 觉得本来传统的肺心病，
[25:50.800] 我跟新人沟通饭了，
[25:54.080] 我靠那气管炎高度犯了，要不这日子不好吃，
[25:58.500] 我估计没撒过nothing。
[26:01.260] 以前多种。
[26:02.960] 你先多吃了。
[26:04.920] 胖了估计没有。
[26:08.760] 了。
[26:11.840] 不说斤数了，
[26:15.880] 100亿你自个琢磨去，118，
[26:22.570] 因为我们这有21对，但是最沉的时候109~102之间，
[26:28.990] 然后109
[26:31.270] 感觉还没有这个感觉，胖这都有这样。
[26:35.040] 我觉得我都被你玩你
[26:38.080] 半年多呆着，
[26:40.200] 你要没有疫情，你老是出去那么好天，
[26:43.080] 我说跑车
[26:45.100] 逗号，
[26:46.460] 为什么？
[26:47.360] 吃饭没规律，他白天睡不着，晚上回来太饿了还得吃完，你你也我说没事就只有睡觉了，
[26:55.350] 也是一天24小时10个小时在床上，12个小时在车上，
[27:00.490] 那会儿出门go
[27:02.730] 出去一圈半个月，后来跑了9000多，
[27:06.440] 母亲说出一句话旅游去了，
[27:11.880] 没事的，暴饮暴食，
[27:18.070] 尤其在就从东南沿海中间跑还没事就
[27:22.100] 不写，
[27:22.960] 最明显就是往往西不往西南，
[27:26.840] 这边跑到西北，西南这一圈跑的时候特明显，你开始你觉得我不说不吃了，到后来你看着办你不是你是
[27:34.940] 现在你吃不了就没饭，你根本吃不了饭，你夏天100 200公里的人都没有人，然后要么有人要不说到这儿吃，在广西是的。
[27:45.200] 王新好多所谓的服务区里面只有个加油站，有房子房子里什么车都没有，
[27:50.580] 然后有个小卖部没有开始给
[27:53.050] 就买点饼干，
[27:55.240] 有的小孩不怎么拍，你看陕西
[27:58.360] 那就是延安那一带，
[28:00.810] 什么
[28:02.290] 什么
[28:05.030] 服务区厕所都不堪，因为没有水边风。
[28:08.190] 那么缺口不是吗？当然去了，
[28:11.080] 将来夏天旅游旺季有时候玩的当然不去
[28:14.710] 了，他们厕所
[28:15.800] 那图聊
[28:16.880] 那个土建东西，然后那边土窑
[28:20.030] 后面都是这么
[28:22.760] 旁边有大姐过去了，可能吓一跳，阿爷们去你憋的不行了已经，你回去后来我给搞红了，
[28:30.750] 都等会比较
[28:32.080] 才能看见。
[28:33.520] 我就在这拉大就是看不清脸了，是不是？
[28:36.490] 讨论部门看那时候就蹲那个人，
[28:38.660] 一会起来一看剩女，
[28:40.640] 你怎么办？你不拉你不来你别
[28:42.980] 反正钱不能再走走，一一要有礼还这样。
[28:47.000] 他说你去的那地都草草草，
[28:49.820] 好多部长的那样对到陕西红土高原连草都没有，
[28:58.810] 吃东西根本吃，
[29:01.230] 广西人就吃虫子，
[29:03.170] 昨天他主要吃虫子，
[29:04.870] 人根本吃不了。
[29:06.930] 行，反正你国外再拓展业务，
[29:12.860] 开始了尼泊尔，
[29:16.370] 我看到时候邮寄开车去，从西藏出去了，从尼泊尔之后再往那边穿
[29:22.300] 农地了，他那天我估计
[29:25.680] 应该是之前真会玩那种
[29:28.560] 有经验的，他们研读是找当地的向导，
[29:33.640] 谁知
[29:36.220] 不是开车坐里面穿，根本穿不出去，
[29:39.070] 鹿你也认识不了，你也穿不出去。
[29:41.790] 当年香港当地人带上带着拖走，
[29:47.650] 去年6月。
[29:50.570] 那挺狠。
[29:52.080] 我把
[29:53.330] 那天哈雷
[29:55.480] 今晚high怎么样那样的摩托车？
[29:58.170] 他说是谁的？
[30:01.250] 摩托车，就是说后面贴了好多旗子，那些东西大概骑着车就从我那边穿越去过尼泊尔，
[30:09.000] 穿过的和他们都要吃东西，
[30:11.760] 拿过来天穿贴身，
[30:14.910] 这都是经历。
[30:17.350] 这都没有。
[30:19.970] 你们给我钱让我去我都不去了。
[30:22.110] 反正那就那么玩的主，
[30:25.400] 说实话都不是有钱人玩掉了。
[30:29.390] 可能是这种。
[30:30.760] 第一是有得有过，比如说国内或者这些地方旅游的经历，而且能认识人，你这个圈子还特别广，
[30:38.950] 然后你本身身体素质还必须得好，超级好，有钱有没有还有胆我哪对你反正就是综合各种素质最好你才能去一趟。
[30:48.430] 我觉得
[30:49.790] 我想中国这么大，
[30:51.510] 我想将来要有这种机会，我走这地方我再去扬州玩，你不都去过了吗？我没玩过。
[30:59.220] 为好不说？
[31:00.580] 咱说
[31:01.960] 去年前年不是有一个媳妇发什么朋友圈里就是点
[31:08.050] 你去过你就点一下城市省份，你点一下他驼背小，你点不点你想点个几个点那首给包上了吗？
[31:16.090] 然后就说你点后来我就甭点了，你就除了系统点火点点大，从西藏没亮全亮了，
[31:22.730] 那么nb
[31:24.390] 因为他那样，最北边到过齐齐哈尔，
[31:28.490] 最南边到过那个就是三亚吗？
[31:33.370] 是吧？
[31:34.400] 往西到了西宁，
[31:36.000] 再往西北走到过乌鲁木齐，
[31:39.500] 往往南边走到广西挨着北海了已经，
[31:44.410] 北桥再往那边就出国了，我开高速上有个路牌，前面只是路标上写的越南，
[31:51.860] 路牌上只有越南的字样，就那边往那边拐，再出去走越南了，
[31:56.560] 就可以出国了，给小圆出去玩了，反正有段距离你到哪去，他是高速那个方向能到。
[32:03.200] 广西就编那个城市，我忘了就边境的城市去那个城市，然后你可以从陆路出境
[32:09.340] 了，怎么走的？
[32:10.830] 你往东边到过，你看山东还是朝鲜，
[32:14.280] 还是那边是
[32:16.790] 延吉。
[32:19.210] 延吉市
[32:22.170] 那边。
[32:23.210] 都去过。
[32:25.830] 东南沿海高级了，一圈都转了。
[32:28.390] 我说完了你要8.81.8出去I西藏地区往这边进去，
[32:35.200] 西藏业务可能不太好开展，不太好开始。
[32:38.500] 跟那边人没法打交道，
[32:41.210] 就我们去了没有回来了。
[32:47.680] 说。
[32:50.880] 对。
[32:52.520] 西方有点太
[32:55.060] 了。
[32:55.920] 我听我们那小手，再一个他有一个客户说去那
[33:01.480] 也不知道说的真的假的，我差点没死。
[33:04.490] 习惯对说就让老乡给救了，
[33:07.540] 多炒作里头跑了。
[33:09.090] 真是你大八开车过来一顿砸完就烧，
[33:12.590] 竟然就给砍死了。
[33:15.070] 了，你还真不知道，他们就说他们那时候去新疆的时候，
[33:19.680] 他们说说实话说背着现金
[33:22.680] 带点鞋里边就是
[33:24.820] 他们原来
[33:26.090] 他们是走过那种国道的。
[33:28.190] 国道进藏从
[33:30.320] 也是密
[33:31.900] 那阵走是从
[33:33.700] 内蒙进不去的，只能到国庆假期，当年无人区穿无人区了，无人区
[33:39.880] 其实也是我400公里网上的无人区，
[33:44.060] 他没有录，你跟别人穿就从
[33:49.250] 酒泉。
[33:50.790] 就那什么敦煌酒泉出去哈利。
[33:55.150] 那节有节沙漠，那时候说说出来，
[33:58.640] 到新疆就是说带着现金，
[34:01.090] 日本人也不是非弄死，你也不说把以前都冷光了，
[34:04.960] 而且没准就蹦了一会让给点买路钱就投一下去。
[34:09.730] 他说带点，后来我就高速，我没走没经验，我说行我告诉你，
[34:16.600] 然后我就开始高速去了，也没敢也备点现金，
[34:19.960] 想背着现金贷走，高速就好多了，别人告诉封闭车不快，
[34:26.010] 他也不敢拦也拦不住，对，他忍不住不像在不到你跑不了主要是
[34:32.310] 什么东西，这都是大沙地，看你车，你跑快车爆开了，
[34:36.550] 你也跑不了。
[34:38.180] 上次我们同事去不是新疆是青海那边去，青海湖那边对太湖县有好多这样的
[34:46.540] 碰瓷的其他的。
[34:47.820] 他们那一套
[34:49.080] 停，人家说你说你留车撞我车了，其实你自个是没撞，人家说你看怎么办？你转过车了。
[34:56.560] 而且
[34:57.940] 还看完以后就告诉你她装你了对吧？没招了赔钱8块钱给你点钱，反正给点钱。
[35:04.850] 再说他们说也不是说意思，咱不忙问怎么了，说你给点
[35:10.130] 你给点不要是你给点给几百块钱给校园。
[35:13.590] 反正咱们家哥就去了，当时就她们一块碰着了，
[35:19.890] 开始陪他去的。
[35:21.730] 他们好像同时让他到那现钟的车
[35:25.170] 出现问题应该没法是不大。
[35:29.060] 反正还要从当地公开最初的时候，
[35:32.090] 反正就说从那边住的。
[35:34.080] 好像他我不知道先到的。
[35:36.400] 反正他们开着车去青海湖，反正也说
[35:39.890] 你这撞车要赔钱，
[35:42.200] 西北人的话被强暴了，但是在你前头我是自动挡，我们溜车撞那撞了你看怎么办？
[35:50.150] 一下来一车的上北京了，
[35:53.160] 点钱完事，
[35:55.120] 热得人都太远，
[35:58.130] 就这样。
[35:59.320] 他们好多去的时候在当地租个车还好点，
[36:02.300] 就到现在回来有堵车的，
[36:04.100] 坐车还好点，
[36:05.600] 然后尤其是开自己车去
[36:08.170] 看肯定是不行。
[36:10.480] 北京牌车
[36:12.690] 你看河北反正因为我们注意到这都是一个都是
[36:16.630] 到地儿停了，出去出来是打车，
[36:20.230] 也不是说经常就开车来的很少，
[36:24.280] 一开完走的时候就开车走了一半，这边呆了。
[36:27.900] 开车，
[36:29.610] 而且我过年出去玩，
[36:32.880] 到家了打车昨天都到停车场，天上一扔弄出门打车，
[36:39.870] 出门交通不开，
[36:42.150] 你开多了你真不敢开，还这铮铮你玩教的，
[36:46.520] 看你北京牌的在成都
[36:49.550] 有关消失吗？
[36:50.670] 回到不是别说那会有钱，不是钱的事儿。
[36:54.840] 都好多年了。
[36:56.210] 他憋气，
[36:58.300] 你正规停车场我停下来我没打我，我说我也走，你们有人开门行，
[37:04.490] 找人走。
[37:06.240] 这两年
[37:07.840] 干嘛开门费？
[37:09.890] 2万元开门费你说
[37:13.010] 你说你要200，我们咱只要打一架，你妈两块钱就来气前后结也罢，爷爷年轻气盛的时候，
[37:20.370] 这不叫教教，教到最后人家爷爷俩人，
[37:23.900] 我们这有两人
[37:25.860] 开了OK，
[37:28.190] 我们讲大铁门上电梯电了你也做不开，我
[37:31.920] 给现在觉得憋气不写在旁边给
[37:36.220] 开门不废话了，跟狒狒电话了，
[37:40.700] 感觉给人两块钱开门费，你这怎么来了？
[37:47.880] 还是什么？我患者
[37:53.170] 大商场。
[37:58.510] 你知道你们这块的事，
[38:02.580] 快乐你知道怎么着？
[38:05.210] 强龙不压地头蛇，
[38:07.200] 我们在人地盘
[38:09.840] 就跟那片停车的时候，凭什么他车都停，但是我们老板
[38:15.340] 你告诉婷这么大的，他们愿在家了，停房顶上谁管得着人家吗？对谁知他家第二他想听上去，
[38:27.790] 你在咱家院里边技术不错了，对吧？你怎么着他这个臭矫情干啥，他凭什么他那呢？
[38:33.970] 你的区别对待怎么着？
[38:35.720] 这社会哪有这么公平的吗？这就是缺点找不着。
[38:40.830] 你可能没有你真烦，讲保安都无奈了。
[38:44.170] 你说你给你保安，那保安就是队长，他怎么着就怎么着，
[38:47.500] 他也不敢让你停，他经常他还罚一个这么点钱，就
[38:51.410] 在南华也没钱。
[38:53.800] 对。
[38:55.230] 挺
[38:56.950] 挺无语。
[39:07.140] 有多少？
[39:09.470] 有吧？
[39:11.190] 我现在体会。
[39:12.770] 就是说你现在还有钱有用吗？
[39:15.330] 有钱也不行事。
[39:19.030] 你不要出来跟人较劲吗？肯定不较劲。
[39:22.390] 完了吗？
[39:23.910] 随便怎么说。
[39:25.570] 你看你媳妇，老板除了跟你较劲吗？肯定
[39:29.600] 肯定不给你交进去，在家可能是你们在家也没人敢较劲，对，家没人敢惹。
[39:36.120] 就这样痹病来电话贵，
