[00:00.320] 接待客户与谁取的，订车了，然后换电话。
[05:01.400] 看他们老板
[05:02.220] 这么多钱不连电脑不能花。
[05:04.440] 后来反应谁吗？
[05:06.110] 只有几个。
[05:09.000] 老板直指奔驰的老板，我们集团的整个百丽都有都是
[05:14.940] 不扯了不了签证。
[05:16.450] 完了。
[05:17.580] 这一个为也应该别的还有直接什么多少。
[05:35.590] 东西到中国都
[05:36.820] 到国外都没我得交两遍睡。
[05:39.700] 何止两便，我们卖的交易电话，
[05:43.560] 然后咱们买的车里边就含着睡，还在交购制，他有病，
[05:49.440] 你就甭别的，就验车，您出场子都他妈合格了，你还妈上检测厂干什么呢？
[05:58.550] 现在有的4S店直接可以上牌了。
[06:01.120] 了还不行。
[06:02.240] 咱们这边还不行，
[06:03.900] 大众的我看都行了，小4S店行，他量没那么大，他说行，但实际上你如果世上好像也不行。
[06:12.170] 这个价钱没有回了，就这样。
[06:14.300] 了真没有
[06:15.600] 了。
[06:21.950] 别回头一块买了，我买贵了你放心哥你这只能填不可能会是
[06:27.490] 过两天也买了，又说能优惠了，
[06:30.920] 这批车卖完了，这就回去了，一个迈巴赫的车，
[06:35.110] 跟别的不一样，
[06:47.400] 厂家指着车挣钱。
[06:49.000] 所以他为什么控制这个车？
[06:51.420] 你脚垫是什么交待呢？
[06:53.280] 包括雷达什么立体脚垫。
[06:54.880] 不是你车的铺的那种，他一随车会带一套地毯，卖完后专用搞的还厚的。
[07:02.430] 后的现在是够的。
[07:06.860] 的。
[07:18.560] 收藏多大？
[07:23.850] 好了也收到。
[07:26.670] 爱车便宜不了，你这送的东西能多送点吗？
[07:30.510] 小东西还有什么给你找点事，你着零碎跟
[07:34.690] 雨伞妙蛙那些小鱼那种。
[07:41.160] 用得上。
[07:42.720] 现在咱车用净化器，不用觉得现在的车都了，
[07:48.870] 原来他们还真弄完了，车讯的受不了是吧？
[07:52.560] 而且这车跟车里边顶级了，但是
[07:55.470] 首保免费。
[07:56.960] 手工业配备手机。
[07:58.600] 我不动你。
[08:01.020] 首保多少？5000 1万公里对吧？
[08:11.820] 快。
[08:13.040] 行好了，你睡等一下，我这带客户交了钱马上过去，我这很快几分钟好吧？
[08:20.500] 恩
[08:22.800] 这块。
[08:28.170] 发生就刷他的卡吗？
[08:30.320] 我也不知道他们伤伤了我问。
[08:33.270] 行。
[08:35.960] 看着手了吗？谁都喝了，别。
[08:40.100] 我把它删了。
[08:41.390] 了
[08:42.240] 这次
[08:44.170] 了。
[08:45.190] 打印机了。
[08:45.850] 行。
[09:02.910] 有什么活动吗？
[09:14.450] 上哪卡？
[09:16.920] 行。
[09:27.950] 那指标你直接打出来吗？
[09:30.040] 你要是更新完了就下来了。
[09:32.270] 我跟了，但是我没敢点下一步我的特点，下一步我不知道什么是定位车吗？
[09:40.210] 让我们的员工
[09:42.430] 的。
[09:44.010] 其实车子定了，现在其实打了就无所谓了是吗？咱们把。
[09:50.590] 摇一会儿打了就出来了，来了还是你方便了，都是梦想了。
[09:55.340] 但是刚才看到
[09:58.720] 另外
[10:00.250] 来看一下
[10:07.020] 在这后边这屋。
[10:10.130] 后边。
[10:11.000] 对就是这的
[10:15.690] 屋里边。
[10:16.760] 把东西。
[10:18.840] 一块见一下吗？
[10:20.990] 全没了。
[10:22.510] 写得谈了，
[10:29.270] 拍照挤开始，他说你直接过来就行了。
[10:32.700] 我们来了。
[10:33.810] 开完钱把那东西他得弄完了，他去给你交购置税，交完了就等着验车的时候，我查的时候我才去，那我什么时候能提车呢？
[10:43.120] 他得办完了你着你。
[10:44.880] 在已经交完钱了就可以了。
[10:46.920] 当然走了，但是你
[10:48.810] 你得等着验完之后把菜给他搁这一下，可以给你做装饰了。
[10:53.170] 贴膜什么的，
[10:57.170] 行。
[10:58.760] 发挥我。
[10:59.580] 不是发10万是吧？
[11:02.230] 当我没说掉多少。
[11:04.410] 我这上没多少钱，他能给他看。
[11:08.640] 因为我的名不能那种。
[11:14.410] 密码。
[11:15.430] 一样。
[11:23.910] 的
[11:26.090] 的
[11:29.840] 的
[11:39.360] 收起来你那指标上当了吗？
[11:42.990] 登录那是。
[11:45.050] 我向你签字那不着急签。
[11:49.890] 都签车主。
[11:51.730] 书面千哪个都签字这吗？对他签字。
[11:56.870] 没在网上。
[11:58.750] 就在这一左右几份？
[12:02.200] 三份都行。
[12:08.770] 你说你回头所有的程序你来吧。
[12:12.640] 为什么？
[12:14.230] 这行，这是一个服务公约，大概意思咱们购买过程没有任何强制，只要您签字就都签了。
[12:23.840] 他这一说我不敢签了，您是车主这
[12:31.830] 这个号你得出1那。
[12:51.500] 是不是什么？你们的车卖错过现在。
[12:55.890] 450对，因为这4楼
[12:58.330] 自己有时候会能开。
[13:00.010] 所以就卖掉了。
[13:02.350] 6
[13:11.880] 三恩。
[13:14.140] 对。
[13:29.920] 116。
[13:40.230] 6
[13:51.050] 你看一下这个是不是你点过你是卖到哪儿，北京和外地没卖就过了个户过按照过户。
[14:00.010] 这个填。
[14:01.420] 包。
[14:03.190] 上行对第一个，然后身份证都得前天昨天
[14:07.180] 你上这天没上这边大概就行。
[14:11.360] 我直接复制行不行？有的能富有的。
[14:14.140] 付不了你看一下。
[14:22.460] 数据。
[14:27.340] 292
[14:36.400] 是不是这样？
[14:39.360] 的
[14:40.970] 二
[14:45.010] 二
[14:45.920] 二
[14:58.550] 然后就可以了。
[15:00.440] 确定
[15:01.890] 高尚。
[15:06.280] 谁知。
[15:08.900] 感觉
[15:10.680] 在哪？
[15:13.510] 北京市梁山。
[15:14.840] 黄山区，对，你就添一个北京房山就行。
[15:18.600] 路边随便填一个。
[15:26.290] 聊聊。
[15:39.970] 这个吧是这个号码的吗？
[15:42.420] 这圆括号是吧？
[15:48.500] 这行，这就甭看了。
[15:50.820] 用。
[15:53.350] 我拿出来一些
[15:55.920] 身份证我再用一下看车主的。
[15:58.960] 回头你拍照是吧？
[16:00.980] 你边上。
[16:02.320] 打电话那边可以编号。
[16:04.120] 妈都给你好发
[16:06.320] 了。
[16:07.090] 别编了编不知道什么号上直接拍也得。
[16:09.560] 了，你说。
[16:10.600] 你感受一下一个经A
[16:13.930] A
[16:17.450] 620. 
[16:18.690] 我给尚打过去了。
[16:21.110] 他说我觉得灰色好看，我说我绝对会。
[16:24.310] 对穿就把那灯CS690。
[16:29.550] 什么意思？谁买的？
[16:31.710] 刘烨他说他换车，
[16:35.420] 我想让他买一个小奔驰，就是小奔驰二楼交钱时10万还二，
[16:41.090] 大楼就时代。
[16:42.460] 对了。
[16:43.900] 您是按手机我什么时候办，下周这车有can play吗？
[16:50.510] 开始补了，这车好像是没有pop的，这车没有。
[16:54.270] 我着急车辆上周现在是不是就得约车子，现在不用了，你交往对相扣是一样。
[17:02.100] 你到时你反正周二不行，你除了周二下周都行。
[17:07.150] 周一收益也行，不是你先
[17:12.620] 咱哥俩行，我手机或不就给你交钱，要别的没什么别的没事。
[17:18.160] 看见车开走，
[17:19.480] 昨天也帮您办临牌就开走了。
[17:22.470] 开不开得了，下周一我给你办吗？
[17:25.950] 然后大概周四
[17:28.850] 大概是一周4天上课了，我就说要干手交钱了，
[17:33.320] 知道在哪，我让他过来我就不过了。
[17:36.700] 好，你把车开会有可以看到话说开了没开会对吧？因为你怎么讲的好？
[17:43.530] 河南中等毕业生23号的他得来是吧？
[17:48.260] 佛山中山我觉得的话。
[17:52.030] 有点像
[17:58.830] 确定你知道吗？
[18:00.810] 对，确定23吗？收钱的加上你。
[18:04.180] 中午你们休息吗？中午不休息。
[18:07.350] 完了30万。
[18:32.080] 二。
[18:32.960] 还给他们。
[18:38.730] 我们能交多少钱？10万办的有吗？
[18:51.850] 但是来说半多了
[18:54.600] 两三个小时。
[18:56.800] 你办好得了。
[18:58.290] 但是他说只要400多，真正花慢了我打
[19:03.220] 有钱那里的。
[19:08.320] 他们都开了。
[19:10.370] 对，然后当时都天津的。
[19:15.440] 好像对。
[19:17.630] 他出差的车改装，然后开什么，
[19:21.060] 他说周二办不到手机的周一或者
[19:24.020] 就周一你要弄完了，
[19:26.130] 周四周五都能验车。
[19:28.500] 上台的。
[19:31.790] 上面
[19:33.580] 我看我不能停两天在干嘛？
[19:37.100] 那意思呢？
[19:38.440] 我还得过来。
[19:40.200] 我那假货我也得跟你过去，要不咱把车开走了。
[19:44.300] 在两三个小时。
[19:46.960] 那相当于骑车时候全款的时候我再交是吧？
[19:52.750] 不是，我就说孩子有要求还是储蓄卡，别超三张就行。
[19:57.780] 储蓄卡33。
[20:00.000] 先找一下就行。
[20:01.710] 好勒。
[20:06.320] 都是一个人的卡，比如说我们大一天三河那边行，别超三张就行了。
[20:11.390] 我上完牌子把车给收了。
[20:14.960] 对上安排的下午的贴膜他就在装置。
[20:20.650] 还有一个是
[20:31.270] 他不是大地那个人都干嘛了？
[20:34.580] 肥胖对块钱你的命。
[20:51.170] 到时候谁来谁拿着这个过来那等着，
[20:53.940] 这儿给你找一个你怎么办？
[20:56.640] 前方左前方。
[20:59.020] 发型不是咱们给你一张咱俩印章，我把这事了的发条
[21:06.050] 张三号。
[21:12.770] 行等等。
[21:15.900] 领导。
[21:17.060] 对您找工号。
[21:18.950] 成。
[21:19.890] 待解，
[21:20.930] A
[21:22.240] 两两分钟我再交完钱了往这走，你是在后边那是吧？
[21:34.450] 好。
[21:37.480] 上面有我电话，你们有吗？对，到时候咱们联系行了。
[21:41.790] 开始了行了，对那
[21:45.040] 看看。
[21:49.280] 26002727万，对，三三天不想花吗？
[21:56.550] 行哥你聊天你要先看一下，我认为客户我过去筹建，然后咱们得提前联系好吧？打
[22:01.880] 电话我再挑，哪天我过的我提前给你联系，提前一天你给我打电话，我这帮您推车，其他的那些事儿，当时就说我明天过来，我昨天头一天每天两块钱，对行，那走时候扫一星期前。
[22:13.970] 行行，那吃饭在
[22:16.350] 你吃饭用的号不用了。
[22:18.190] 有事给打电话，你就
[22:20.920] 帮我推车去了，我今儿就一会没事我安排好，让他把车调过来把车洗完了，然后那摩就全是浅浅色的，咱我带你选你让他给我贴好点。
[22:30.910] 行。
[22:31.570] 我带你选这个去看一眼，明白你介绍一下。
[22:38.240] 不着急。
[22:40.050] 差不多以前讨厌的。
[22:43.040] 没送的贴膜的，你看一下。
[22:48.610] 小东越高。
[22:53.030] 一样。
[22:55.160] 你把他的
[22:56.460] 别的不了，你该给我
[23:03.230] 交换。
[23:07.850] 数据
[23:09.120] 数据
[23:13.080] 了。
[23:17.420] 让我们看一下联系。
[24:08.520] 谁知
[24:19.370] 的
[24:35.140] 我没看见。
[24:37.710] 就坐那了。
[24:44.510] 咱们坐这儿讲这电脑。
[24:54.000] 真不好意思，来两回电您等会儿。
[24:56.640] 没事。
[24:58.740] 是。
[25:00.240] 有水我给你要点帮忙。
[25:03.930] 行。
[25:06.130] 上次给您算的单子你带着了吗？
[25:08.330] 没有。
[25:09.900] 我在三
[25:11.590] 我再写一个找我们。
[25:15.420] 你刚刚订个车位就不搞活动，所以说
[25:19.390] 等一块
[25:20.750] 我去拿那个单子，然后给你拿两分
[25:25.640] 来
[25:38.010] 您好。
[25:38.860] 那个机器在二楼等着上去。
[25:43.130] 数据。
