[00:01.680] 哪个87787是吧？
[04:46.940] 您这还高配。
[04:48.980] 能指定我给你找陈哥。
[04:54.110] 要置换gl1S的话大概能估多少？
[04:59.450] 您这是哪一年这样？
[05:00.760] 17年的还有原厂延保，还有一年到17年跑多少公里？
[05:05.650] 1万多少百万？
[05:06.940] 1万多33333万多不到4万。
[05:11.410] 正常87年17年1月的车，他写的一
[05:15.500] 真的不，那怎么还会有质保，买了一台卖联保买延保也还是迈进了。
[05:21.210] 到今年年底是吧？
[05:24.570] 17年3万公里，但是我里面音响都是什么顶配柏林的那款被高费回家的那种。
[05:33.520] 冒昧的问您一下，您知道现在新车卖多少钱？
[05:37.420] 新车398,000是吧？60差不多小10万得现在又换成了46。
[05:44.560] 昨天发的几个特价车，对，为什么现在我也在推，跟好多客户都在推满意，我说性价比太高了，现在优惠很大，咱发的拍卖车
[05:58.210] 36万的
[05:59.970] 裸车一旦最高配39，
[06:03.350] 对高费的高低
[06:04.940] 印象最柏林的得多加个8000还是9000万，现在新是又增加配置了，是不通风座椅加通风多，
[06:16.360] 检查都显示
[06:20.060] 叫太多掩饰。
[06:21.200] 越来越估计这才能，所以说我就说跟您说的新的，那二手车你不有俩吗？没事就没有卡了，就给你现金形式了。
[06:31.490] 我这个分数
[06:34.280] 但是说不会高太多了，因为心在哪比着，您终归是三年三整年，
[06:40.700] 是吧？干净的西普现在是DSL
[06:45.030] S低配的是100和110是吧？
[06:48.770] 购机费就够1S是吧？
[06:51.390] 两个1对地，一个STL，一看您喜欢您要是舞团要7段老大，第二
[06:57.930] 7色是您打的S7了，但是我还是觉得性价比这块，因为我二手车的我老考虑性价比，因为买之后将来要卖旧车的时候，
[07:08.110] 买的时候就感性的没事差差不多就说说最多2万多多都没事，到外的时候我给您贴2万，就心里咯噔一下，
[07:16.570] 我这着急可多花2万，你这么还多多便宜28,000。
[07:20.840] 是什么？
[07:22.720] 所以我觉得信条一
[07:24.870] 性价比更高，
[07:26.840] 因为GRE最低配是60多万，
[07:31.200] 最高的是80，
[07:33.300] 他俩差了一个10万。
[07:35.590] 还能发哪个差不多了。
[07:38.180] 一个是2.0T
[07:39.910] 一个是3.01，您已经开过2 07了，
[07:43.850] 所以我觉得2.07应该能接受，
[07:47.170] 对吧？
[07:48.100] 所以说就没变化高开。
[07:51.320] 看您的期望，您看您就想要一个高档再高档一点，
[07:57.090] 也可以考虑，因为我给客户也是跟您一样，客户给发了视频，
[08:02.590] 我现在推荐我拍卖车，那天说我还有什么时间给他发，你给他发，昨天是不是厂家给的？
[08:11.510] 我就说这款就够用了。
[08:14.830] 为什么？首先也是空气悬挂在底盘升降，
[08:19.320] 你在里边生气，
[08:20.540] 他
[08:21.540] 后边外边也往下降，
[08:25.380] 你看后门找个销售，看看新装可以，然后
[08:30.080] 该有的新的歌唱也都有，
[08:33.000] 是吧？这就是71那款。
[08:36.680] 全都带了，我就觉得其实够用了，就是2.0T因为因真正去越野的机会不是特别多，
[08:44.050] 是吧？你还热车也舍不得，还天天起步停车，起步还不用排队。
[08:50.330] 现在起步停车，我觉得你看市里边也都有了，
[08:53.870] 该有的地方有地方充电。
[08:56.170] 现在这S跟原来的450还差了几点，对。
[09:00.990] 现在的跟怎么说完全不一样了，要不展厅有车我您看看先搁。
[09:08.980] 相对风格也变了，首先里边打平什么的，而且是氛围灯特别好看。
[09:14.750] 环抱式多。
[09:16.490] 它中间的扶手您看有没有变成一个快又有力度，我先给你拿一单子，拿单子取车用就完事。
[09:27.120] 所以我买的车
[09:29.040] 啥，看看这车为什么跑了不到3万多公里，还有什么？
[09:34.500] 还有一个都挺配，对他这个唯一有没有我要有接收。
[09:41.440] 就是说这个比较好的，
[09:43.760] 希望稍微完整好，别的地方
[09:55.160] 对着。
[10:09.130] 东西，
[10:15.610] 圆明园庙会
[10:18.890] 真的看到在后面你听送上去，
[10:25.860] 他
[10:27.870] 采购商、
[10:36.230] 的。
[10:38.980] 用
[10:40.240] 通过
[10:55.870] 轮胎换41轮胎，汽车用电话尾号5687什么时候起？
[11:01.630] 应该明天上午完事，明天中午左右应该就通知去了，
[11:06.420] 也可能今天加班得干完了，
[11:09.080] 其实这都没用，都用不着了，
[11:11.580] 都用不着了，你就带着也行，您这书停车马不要过多召回搁这儿搁着，过年不仅对明天几车，
[11:25.020] 乡村就没事儿，今天是S也换，一是小白款全打，
[11:30.790] 还是大改？
[11:32.730] 所以明年得见您的车是
[11:35.610] 变化比较大。
[11:39.720] 成。
[11:40.530] 他现在延迟为什么问您呢？
[11:50.850] 爸爸。
