[00:00.000] 认为他有毛裤，
[11:15.160] 涉水也不上，俺那边都没有什么第三方责任险，
[11:19.930] 第三方责任险的事，
[11:22.130] 三者这么着，第三方责任险3.3者，第三方第三方第三方什么概念？打个比方咱车停路边了，被人给挂了，挂了跑得不得了，他给上了。
[11:31.300] 对好像100多块钱算对，那
[11:34.240] 第三方
[11:35.920] 责任险不计免赔，车损三者不计免赔第三方。
[11:40.320] 还有一个是车上人员上吗？车上人员家里都有保险是吧？
[11:46.570] 能上那个是吧？
[11:48.130] 车上人员。
[11:49.960] 其实我们家车
[11:51.320] 你上也没打着，没找钱，小兵那天我给你算了，我们看看多少钱。
[11:58.410] 谁知
[12:01.000] 大厂没必要。
[12:03.040] 对多少钱？玻璃不上吗？玻璃不上，进口玻璃。
[12:08.730] 进口玻璃对，玻璃是全车玻璃加400米的。
[12:12.520] 不止400，你说费用。
[12:15.040] 你说玻璃险总的费用是吗？咱们人寿险玻璃险就能送了，功率是827，
[12:22.200] 但是你要是如果进口玻璃打个比方，如果是出了险或者玻璃有情况的话，那几千块钱了，
[12:28.160] 那就是国产玻璃，
[12:30.740] 只要赔就赔了，进口的国产没有玻璃。
[12:33.580] 没有不是，如果就是说
[12:36.960] 没上保险换咱们国产标准。
[12:41.030] 咱有国产玻璃吗？钱大风？
[12:43.680] 都是进口的，播放机都是经都按进口版，因为都是进口的钣金进口量的，他们不是那块钱都是进口玻璃，都是进口的，他国产没有在这边合作全是进口的，不上是吧？
[12:58.530] 我看还有什么急诊科设施
[13:00.400] 划痕不上，
[13:01.530] 设施也不上，第三方责任险不算。
[13:03.820] 就算一个车损三者100万不计免赔，第三方好勒。
[13:09.680] 我再给算一下，
[13:20.990] 有一份快件的
[13:22.910] 你没上司成有斯称这正是
[13:26.600] 司凤是我看一下，
[13:31.030] 思政保一个人保2万的，
[13:40.440] 司机陈货，
[13:42.080] 司机乘客
[13:44.380] 2万的
[13:48.240] 300好像300块钱。
[13:52.040] 也是2万。
[13:53.450] 能放吗？不长。
[13:56.330] 不算是对。
[13:58.750] 上这点。
[14:01.470] 红砖有数不？
[14:04.190] 没的就得上我是这么一个大的对，比如说2万2块钱我花了顶我，
[14:11.720] 花不起了我就得
[14:13.770] 万一少人了还在100万美金。
[14:16.730] 你未来
[14:24.840] 你看我们
[14:26.120] 老薛，
[14:27.360] 我一一直一
[14:29.180] 一直上学研一直上连。
[14:31.580] 那年
[14:32.720] 老看我不
[14:34.780] 你老公上我也不上我们那一圈买的车，然后
[14:38.700] 那天跟远远的
[14:42.040] 撞，
[14:42.800] 说自然了，你说说。
[14:44.920] 好了，咱们说认识说赶紧让保险公司钱投给典型，
[14:51.700] 也
[14:52.830] 保险这东西咱不能说的怎么样，咱不希望他颍上，但是如果万一要推什么东西，它应该保障他一直全线。
[15:00.840] 对，一直想想对。
[15:04.480] 稍等，他能重新算一个准确的数字。
[15:18.400] 我的车
[15:19.420] 船上最后打完折，后边打都打了李4折5折，
[15:24.410] 你看今年我说还多少钱？
[15:28.500] 上了四五千块钱。
[15:30.510] 对，你先不。
[15:31.840] 目前
[15:32.720] 年70。
[15:33.940] 对。
[15:35.180] 那天是4年。
[15:36.720] 今年。
[15:39.190] 等于4年。
[15:40.510] 没收到吗？
[15:42.880] 那年。
[15:44.410] 一直买
[15:45.980] 销售100多斤。
[15:47.380] 就这两天上次
[15:48.900] 是吧？
[16:09.970] 如说教孩子在这上过年，你就直接
[16:12.930] 为什么让他们直接电子版的把钱给放非洲来？
[16:17.280] 第一年就可能这得照一次什么？
[16:20.770] 身份证，然后咱们还有一个活动叫代步险，
[16:25.800] 待不显什么概念，打个比方，后续来的一年之内如果出现剐剐蹭蹭的。
[16:31.330] 不管谁的责任，甭管定损金额大小，只要来这里陪保险公司会给你2500的一个打车费，相当于
[16:37.590] 一个补偿，一年多的给两次就是5。
[16:40.240] 但是你需要的费用是1498，
[16:43.220] 需要花1498买一个代步险，但是
[16:47.910] 不要是吧？但变相的话我们也不会让你花这个钱，我会用以物料的形式来补偿你。
[16:53.770] 比如说我们会送一个
[16:55.990] 卢风叶的那种丰盛，
[16:59.430] 那也1000多了，小米的
[17:01.680] 就相当于你没有花这个钱，同样你享受两种待遇，把这个钱买保险还送一个，
[17:07.830] 那就要你风险。
[17:10.190] 你这险要不要主要风险，什么叫丰产？不是按你上这
[17:15.050] 花1400多。
[17:16.420] 等于。
[17:17.730] 拿上保险的手续送你承担，
[17:20.380] 明白了吗？都不要了，过来这两次就选一个当时要。
[17:25.450] 对，他是这样，他这属于是才推出来。
[17:28.000] 这么一个大夫写的险种，但是不写。
[17:30.790] 等会儿保险算是解决。
[17:36.250] 平安保险没平安没问题吧平台。
[17:39.800] 他肯定的，大家的就最近了。
[17:42.760] 你跟你的比我厉害
[17:46.800] 一点，就通个人大。
[17:48.610] 反过来。
[17:49.710] 有时候自己也好一点，人家像以前都给你绕进去，现在好多了。
[17:55.630] 真的人家的服务态度不是特别好。
[17:58.870] 现在都口碑了。
[18:03.550] 服务态度这么好，
[18:12.520] 我们今天主要做的就是车没有问题了，然后把合同完善了以后，
[18:17.040] 然后是确定好了，然后就交钱，交完钱以后就开发票，开发票以后我就安排给您上保险，我上保险的期间的话，然后我会安排交叉圆给你讲出来的功能使用。
[18:28.780] 还有一个面访，还有一个是开通咱们手机的一个互联维修的私密。
[18:33.640] 大概就这个鞋流程需要2~3个小时行三哪个难报，就是先什么临时牌照，没问题，今天都给您办好了，今天就让你把车能开走了。
[18:46.540] 不身份证原件您带了吗？带了就OK，不着急先拿着了。
[18:51.660] 都带了是吧？
[18:53.340] 然后上海的三成税卡。
[18:55.640] 不是。
[18:56.640] 咱见面谢欣是吧？你说不让我回去了，可以，我省点是吧？你把身份证我先给复印吧，反正等等着。
[19:18.920] 这样子就他给我买我那颗的时候不就出现这种。
[19:23.080] 我们俩滴了一
[19:25.160] 一个大的什么牛皮袋子
[19:27.480] 等。
[19:28.640] 然后我。
[19:29.510] 证件就又受不了，您旁边工商行你还是存一下，就非得二件事往那低了，到近这转过头了，就是一个我想好忧伤问了一下，
[19:38.140] 还不够麻烦。
[19:39.830] 我说你们这也忒了，
[19:41.380] 他就是属于老存到银行去，你给到我们，我们还是存在银行这么感觉，说完不存了。
[19:50.000] 要开始没说，
[19:51.580] 开始要说了他也就收了，跟那谁要说了，你不说我们那边买他没钱，他已经收了这
[19:59.440] 他就不愿给钱给他。
[20:07.790] 谁他那店也
[20:09.500] 也应
[20:10.900] 有的销售人家都那什么有留着。
[20:16.920] 他要不说不看重你买车了，
[20:19.590] 都不理你最后这个阶段
[20:23.660] 做销售不能交给别人，还有事儿有人看着可以直接去买房了，聊态度不好，最后那个女孩对他来说一下，来了后几套房噻，你看就是这样的，你看这个时候那个其貌不扬，没有天上北京，对能够我天天玩，
[20:42.230] 今天那天我见客户，然后上午我们一个同事接待的
[20:46.170] 老嘴客户试驾的时候把那客户数了，那些小区是客户说我开车都不会开了数了，我不昨天下午又来了，客户说我就听天由命，
[20:55.330] 如果换个销售
[20:56.840] 我就买了，如果还他我就不买了，后来对我就亲身经历了，后来就分没给我了，
[21:04.010] 然后就买了以后都签单了，才跟我说这个情况，他说我这来了也来两次了，
[21:09.530] 他跟我说这情况就是客户的感受还是很重要。
[21:17.030] 我聊完了以后，
[21:18.790] 我基本上还是找他来，
[21:20.400] 如果真是像他这招我生气，
[21:22.440] 我感觉都不大的店，对电视我不怕他对，免得很尴尬，低头不见抬头见的是吧？
[21:28.710] 我怎么
[21:29.650] 我第一件我先开始，
[21:32.470] 我真正我要是出去买了我照片说事，
[21:35.640] 直接就来找的是男的。
[21:37.900] 我跟你这买也是，我跟你看我都没看出来。
[21:41.580] 我在哪儿，我跟我们旁边看的是吧？看完之后明就是一进店门里，你知道
[21:49.030] 你过去
[21:50.300] 你妈的没人理我。
[21:52.450] 然后这里。
[21:53.960] 完了以后我上去都看看哪个什么工程，
[22:00.150] 条件差不多，这边有没有电子那个吗？我没打开我玩着玩我看看这看完了以后我给打电话，我说你什么
[22:09.190] 就说找你认识他们不是。
[22:12.040] 认识你吗？他那车里边买吗？
[22:14.440] 对礼拜五上午我。
[22:15.540] 上那买去。
[22:16.410] 不就完了。
[22:17.270] 对，后期还方便，后期已经度过了事或者洗个车什么的都能给您免费。
[22:24.510] 还没撤有的
[22:26.780] 了，这都是微信的吗？
[22:29.400] 谁知。
[22:30.960] 我登一下行吗？等。
[22:33.340] 我就有是上次我买了车我。
[22:36.310] 我要是发了要是还有。
[22:38.770] 哪个要上？
[22:40.860] 这车。
[22:41.820] 你那个车。
[22:42.660] 另外一个推销
[22:44.180] 你两把车钥匙
[22:45.720] 100。
[22:46.980] 完全
[22:48.480] 连马车都给你了，丫到哪了你放哪了？
[22:51.960] 这车让人给偷了，可是你的号了？
[22:55.520] 没事你干啥，你再加上战场上。
[22:58.550] 你到哪你到场上了吗？盗抢险。
[23:00.940] 大家献上全险。
[23:02.840] 是吧？
[23:04.480] 拖了那么多，相反了，黑窗户进来对。
[23:09.970] 再加点茶水吗？
[23:12.450] 妈妈快点家长调整。
[23:15.950] 他拿过来了。
[23:22.530] 马上房费就算号。
[23:24.370] 啥时候是需要钱以后发信息开。
[23:27.600] 这个东西我在这边是吧？只盼业还得等一会。
[23:31.670] 喝。
[23:32.520] 钥匙在前台的，您到前台给开一下。
[23:35.290] 我让前台给开一下。
[23:42.350] 新木板要是还在那吗？
[23:48.570] 看一下的几乎版的。
[23:58.470] 这样的。
[23:59.760] 对。
[24:04.790] 打包去打车去
[24:06.970] 的。
[24:12.190] 同意吗？
[24:13.630] 有销售在
[24:16.880] 照着前台，
[24:28.750] 对。
[24:30.810] 楼下把饺子都会先从京版。
[24:36.280] 我的
[24:49.110] 他可爱玩了。
[24:50.500] 对，小陈走往前走。
[24:56.130] 整天他在玩，他媳妇给他看看。
[24:58.620] 是吗？
[25:00.110] 现在的社会毛泽东打不甘心打工了，真的也很重要，
[25:05.850] 是吧？这需要是礼尚往来打理关系，
[25:09.100] 有应酬什么的，
[25:11.380] 他情商挺高的。
[25:13.130] 它装备情况特别高。
[25:14.410] Or俺狗屁都不能，他们这朵。
[25:16.800] 真是的没事。
[25:18.380] 退回来是到真的他认识多少年了？
[25:20.960] 对，他回来是
[25:22.830] 还挺小。
[25:24.360] 现在我在北京办什么事儿，我得让他给我半年。
[25:27.990] 原来现在咱是找我是吧？你让看了一下，
[25:31.680] 哪都成，哪个行业都成，哪个行业都有关系，都没找到，真是对一个跟你说你就认识他，你怎么有什么事，
[25:40.180] 并且发射特别力的，就是不求什么东西，您说一句话，他给你办到了没有异议。
[25:46.010] 对，我觉得特别好，我说特讲义气干嘛？
[25:49.470] 是吧？什么事都不管。
[25:51.540] 对，打一电话给你办的利落，对，赶快做饭。
[25:54.880] 对。
[25:58.200] 要是他的事我也相信。
[26:00.010] 是他说先让我这边给他都相互的，
[26:02.970] 之前配合的这一点这么年轻，社会关系打点得这么好，
[26:07.800] 情感很高，我第一次接触的时候我觉得
[26:11.050] 不小嘴，我觉得真的情商很高，通过几句话就不坏，关键是对他心特别少，有好多孩子像他这水平心眼的头发，
[26:19.750] 对这不怎么前，他什么都不认，这还行，对他是特别实在，不该要钱觉得不要没错，特别得意，救助的原则对原则。
[26:28.950] 我也是跟他勾结，我觉得特别。
[26:31.980] 感觉特别踏实。
[26:38.190] 他还挺小孩不大，比我还小。
[26:40.780] 是吧？我还小。
[26:53.740] 十几岁就跑北京来了。
[26:57.120] 所以说看到现在做成这样，
[26:59.230] 这两个现在真是现在
[27:01.930] 文化和社会经验，一方面的话，真的社会经验可能更站住脚，
[27:07.230] 是吧？
[27:08.170] 好多像大学生是有文化，但是将来走社会里面接人待物都不行，
[27:13.270] 他还是注重于单方面的发展。
[27:16.670] 对。
[27:17.620] 我身边高阅历的人多了。
[27:19.640] 所以比如说跟他要比，那就没法比，但他们都不会做人，这个所以他只能
[27:26.240] 别人问了就是正在吃那种。
[27:29.130] 对，把他们初中都没离开。
[27:31.760] 真的真看不出来是吧？真的明白。
[27:35.140] 就这样骑着小脑瓜转得真不像那个情况的人对
[27:39.480] 社会大学的事
[27:44.050] 已经算出来了什么？
[27:46.960] 交强险车船使用税加商业险一共是7693块3毛2，那就按这上了，对，你要把所有的以后咱在一块，对我就一起对一起给你交。
[27:59.760] 一
[28:10.530] 我本来
[28:11.760] 那天我跟他说了，我说你买多少？
[28:14.150] 450S
[28:15.420] 我说你给我问问。
[28:16.960] S5，
[28:19.050] 你直接跟我分手。
[28:21.380] 说你不能买。
[28:22.840] 我可以买你不能买。
[28:24.930] 呵呵。
[28:26.160] 说你这脑子转得有点快，对我说我肯定不能。
[28:29.390] 对，不能太太高调。
[28:32.240] 是吧？
[28:34.100] 那就加上这个还不是是商业险是7693.32，你要算什么？一共是
[28:40.270] 8818号382，我把这也是发给您可以先了解一下。
[28:48.910] 不给我提问。
[28:50.470] 是吧？
[28:53.480] 挺好的，大家是也没事儿。
[28:56.020] 对，可能开着车也挺适合的。
[28:59.150] 我给你发过去上他妈那留一半，你买个菜，
[29:02.730] 要不然就不出去，明天自己
[29:05.940] 这样的话，
[29:07.320] 这个车的大小也比较合适，而且是他家买这么小，
[29:11.830] 又不想要两厢的，
[29:13.720] 那就可能没有在小妹又是三厢的，
[29:16.870] 那就不协调了。
[29:26.350] 我家孩子的也要大，
[29:28.290] 孩子多大了？还到21 21了。
[29:31.890] 这大学了也。
[29:36.650] 他是不是？
[29:37.720] 今年什么？
[29:39.400] 1月在哪里转？
[29:41.200] 拿到完了以后就拍我的车，我说你用你开我的车能开着别的车都能开吗？先去你开点开车大队太小。
[29:50.540] 可以开完这一行，
[29:52.190] 专门给我买以为怎么样？
[29:55.620] 我觉得你耗对两两个人吵了半天。
[29:58.520] 您好。
[30:09.210] 差不多。
[30:11.860] 差不多。
[30:20.400] 你这样你进来就给一下前台这边，
[30:23.980] 然后我在楼上
[30:27.160] 前面转交给我都行。
[30:29.680] 我给大家说一下，打个招呼。
[30:35.770] 对那个平台现在开始感觉给我。
[30:38.430] 可以感觉给有关。
[30:40.870] 4月搞好了就可以。
[30:49.280] 不已经注意到了我这么快有时候差不多。
[30:54.890] 行。
[30:57.950] 拜拜。
[31:24.270] 远洋。
[31:26.360] 这是为什么？
[31:27.260] 贷款厂家有要求，有一个指标，
[31:30.130] 归来阐释属于叫贷款渗透率。
[31:34.320] 存在有要求。
[31:36.190] 因为所有的金融方案都是厂家这边。
[31:38.790] 给出金融方案。
[31:40.440] 他所以需要现在贷款好多不是属于售卖融资，
[31:44.740] 贷款的话拿来做融资。
[31:48.290] 多少呢？
[31:49.320] 我俩同事都是他去了不见了。
[31:52.450] 你们就这样，我们一会有吗？
[31:54.920] 您说但是开始one不代表不卖，
[31:59.940] 对不对？
[32:00.760] 这个地方。
[32:02.440] 我们不至于不卖，我们是贷款的话，尤其是现在贷款还是比较划算的。
[32:10.160] 为什么它的融资为主运费吗？
[32:12.240] 没有手续费，只有个利息。
[32:16.680] 第一个就是在那哪儿，他是。
[32:19.440] 不要利息，免的免息盖就要少一块就行了。
[32:25.410] 那就是这帮法院其实就给他放进去了，
[32:28.640] 他说不要理我能不要你业绩。
[32:30.480] 他是给他变相一个手机，它可能。
[32:33.470] 8000~1万，对那不是对刚才的对。
[32:37.810] 我说你有本身有这钱你也没用，你干嘛这个地步。
[32:41.920] 对，你看
[32:42.980] 现在为什么都愿意做分期？
[32:45.820] 因为分析它的利息也不是很高，
[32:49.250] 利息两个多点，
[32:52.050] 两两两个月调整，你看上两年的话才一个点
[32:56.550] 1.9，
[32:58.300] 一点酒他创设了银行的费率，以银行的费率它应该是1.04点，
[33:03.560] 什么概念？10万块钱才1000块钱，
[33:07.270] 这利息这10万块钱咱换了普通的银行都得3000块钱。
[33:12.070] 所以为什么现在做贷款的比较多？
[33:15.470] 是不能还。
[33:16.760] 还利息都不止，你还得挣钱。
[33:19.800] 对，所以说现在为什么做贷款？
[33:22.490] 所以为什么唯一现在怎么样这点一点几的利息吗？我们还不收你手续费。
[33:29.000] 打个比方你贷10万块钱，你一年就给1000块钱利息，两年就给2000多的利息。
[33:34.500] 不便宜吗？是你们的店跟店不一样。
[33:37.320] 一样的，分支金融都一样的，他这属于是厂家的一个金融方案。
[33:43.130] 原来的金融政策他们就在那哪买的？
[33:45.900] 朝阳叫做文件那样，他那就要两个就直接给一个手续费，不要利息，他一店应该自己收取的，
[33:54.960] 应该自己收取的，所以说分期还是合适。
[33:58.350] 变相的考虑。
[34:01.340] 还有。
[34:04.930] 你没有发朋友圈，
[34:07.870] 我把它赌命，
[34:09.290] 因为你什么谁都不让看见。
[34:12.230] 我看见电影帮我没看见吗？当然了我知道我不怪我我能看能刷到，
[34:19.770] 现在手机太强大了，真太强大了，真的是多年失去联系不上，他都能看到对是不是真事。
[34:27.880] 你看你交流。
[34:30.190] 这里边不是。
[34:33.970] 现在电子东西太强大了，不可能有。
[34:38.330] 但是微信又讲为什么看不到在动态微信。
[34:41.920] 比较动态这样，他们那么老发热了。
[34:44.350] 重点。
[34:45.280] 你放哪了？口音有没有下载作业，你赶快
[34:49.400] 好下载手机颂歌下载一个动因，
[34:52.160] 录音好玩不给他看，
[34:53.800] 都没时间来还。
[34:57.100] 所以就看了歪瓜裂枣了，他们手机上手机都特别漂亮是吧？真是
[35:03.650] 点的给你，我跟你整得倍好看，
[35:06.320] 你不需要他给弄笑了，对皮肤这就干了就等等，他特白没有真
[35:12.730] 特别自然。
[35:16.130] 真是这太强大了。
[35:22.950] 你老这么张没打，
[35:26.130] 是不是？他现在号码你自己照顾你难受了，
[35:29.690] 不能玩。
[35:32.770] 我的天
[35:33.910] 我看你老大眼睛离开了，完了了我说
[35:38.760] 所以告诉自己
[35:41.210] 你还不好意思才喜欢是吧？实际上就是人类发展的可以与时俱进是吧？
[35:47.200] 与时俱进，比方说20分，
[35:49.160] 我觉得受不了了是吧？
[35:51.300] 我是
[35:55.140] 跟你这年代时候就这样了。
[35:58.190] 像我们80后说，
[36:00.300] 现在
[36:02.570] 这个一定
[36:05.030] 这4个
[36:07.600] 过年过来，对真实。
[36:22.570] 稍等一下。
[36:23.820] 领导在审核。
[36:49.910] 为
[36:55.470] 看到我在后面二楼
[37:05.620] 您稍等一下我去哪吧。
[37:08.020] 你就从门口出来，我下去。
[37:13.680] 行。
[37:14.890] 好勒好。
[37:16.420] 稍等一下，我不给拿一个东西。
[37:18.760] 来。
[37:22.930] 你在用药的时候
[37:23.980] 开展。
[37:25.670] 拿到。
[37:28.730] 你看你发票。
[37:30.170] 发票。
[37:31.400] 现在另外你。
[37:32.480] 你专门发现。
[37:33.930] 或者。
[37:35.640] 客户数据
[37:37.010] 数据都在后面上面，
[37:39.940] 可以找一个
[37:41.370] 发现
[37:50.730] 安全期了。
[37:53.590] 这两段
[37:54.860] 恰恰
[37:56.340] 看看其他的
[37:58.110] 80没有。
[37:59.160] 说。
[38:08.680] 应该是三。
[38:09.720] 让你打
[38:33.600] 手机大哥。
[38:35.510] 达到了。
[38:39.400] 应该。
[38:45.150] 以前还不能让我们
[38:49.710] 今天开始
[38:50.790] 写的
[38:57.610] 这块
[38:58.980] 就在
[39:01.330] 永远不用。
[39:02.580] 回迁房。
[39:03.680] 回迁房为什么要排队？
[39:07.570] 他已经拆迁完了，
[39:09.160] 中间形成了今天晚上
[39:12.970] 还可以谈钱了，不对？
[39:14.640] 数据
[39:17.150] 场
[39:19.590] 场
[39:20.800] 的。
[39:26.520] 的。
[39:27.940] 的
[39:29.170] 数据
[39:30.060] 数据、
[41:07.500] 的
[41:08.650] 也是
[41:10.130] 每个客户的进度不同，所以所有都得照顾到了。
[41:18.890] 可以了。
[41:20.580] 你们多少个人，我们以前40多个，现在基本上
[41:26.400] 而且赚钱卖我们了，您签个字
[41:30.380] 就这么直接用，对谢谢。
[41:50.530] 手机号45。
[41:51.480] 要收到一个电报码。
[41:52.790] 对。
[42:09.620] 1927。
