[00:01.110] 不是
[05:47.000] 不是我提房屋给你，交新车里面都有华三比较贴黄瓜。
[06:09.620] 这是张的。
[06:11.160] 这张的
[06:12.050] 你们弄掉的时候
[06:13.990] 就烧了对吧？你想飞机对方的无形的对吧？他们不行了。
[06:20.720] 什么？
[06:23.830] 这就要再交费用还可以让您处理一下。
[06:26.890] 对。
[06:27.920] 有的处理的前面黄黄的，
[06:31.060] 前面那划痕没法处理。
[06:32.920] 也是划痕的话，他是。
[06:34.290] 他是纹路，他这真的不是本人新车那就麻烦。
[06:40.810] 因为这个事怎么说，毕竟是
[06:43.820] 在展厅当时
[06:45.630] 卖我买车的时候，你买车不是说崭新车就不走沙漠走了，
[06:51.550] 不是无所谓。
[06:53.470] 因为这也是钢琴漆面的吗？
[06:55.750] 会有一点。
[07:02.400] 一
[07:55.030] 我只能说跟上面反映一下看。
[07:57.080] 这怎么处理了？
[08:02.070] 这边发生什么？
[08:03.740] 这边还没有收到情况。
[08:33.070] 怎么弄？
[08:38.200] 我问一下这种方案应该
[09:15.890] 15三天的都是一个装修期的风控。
[09:21.450] 不算你先房产它怎么变，这个能理解。
[09:27.680] 是吧？
[09:31.890] 你在业务上面
[09:34.010] 中间的更新新的量变，
[09:49.760] 高中的
[10:20.680] 这样
[10:52.770] 我发现他处理一下是吧？
[11:03.330] 恩
[11:09.280] 行行我明白了。
[11:11.270] 好勒拜拜。
[11:21.160] 对于紧张，因为我就看到他家给您处理一下。
[11:24.230] 看能不能给处理一下。
[11:26.530] 就处理掉了。
[11:30.790] 然后分手了。
[11:31.970] 处理B料也。
[11:33.100] 也能看这个只能说给您没办法，就只能反馈一下。
[11:39.220] 就算
[11:40.160] 应该。
[11:49.110] 对，战车它毕竟是有展车，我们还一般都是不开门的，只有谁看才开门。
[11:54.890] 因为这种车它是现在好多人都想去体验一下，我们都不开门，
[11:59.150] 所以这种可能没有防护，做好防护。
[12:03.010] 因为很多客户他戴的手表是金属的，
[12:08.110] 我说不能去新车，他们都差不多。
[12:11.000] 谁叫你是吧？
[12:16.840] 我这个月我可以给你开的车间师傅说可以拿腊先处理一下，能处理只能说尽量给你处理一下。
[12:27.830] 包括后边那部分是受
[12:33.540] 快。
[13:30.760] 有些数据。
[13:32.320] 数据这块
[13:33.960] 这块也是
[13:36.030] 处理掉，这个东西肯定没法处理掉。
[13:39.990] 对，就是像那边那么大的伤痕，二。
[13:43.600] 对，那边看多深，这边是交交流。
[13:51.260] 只能说中间那块就给您处理一下。
[13:54.130] 尽量处理，能处理掉吗？只能试试看试试看，因为以前也有这种情况，
[14:00.150] 因为出去调查了，
[14:04.400] 关键是没有车话，就这一台车
[14:11.720] 车。
[14:49.220] 这边我只能给领导反馈下来这个问题。
[14:52.520] 因为后边没有车，有车还可以换车，没有车。
[14:55.730] 一台车，
[14:57.080] 咱们里边请
[15:01.890] 我只能反馈一下，我这边没有权利我执法。
[15:06.660] 反馈给你打，
[15:08.010] 他怎么给你解决？
[15:09.160] 要不就退，要不就换。
[15:15.850] 您稍等一下。
[15:17.600] 这个拨打一下。
[15:33.210] 副经理时间，
[15:35.690] 客户刚交车看车以后车有划痕就胆。
[15:39.170] 就是旁边门窗应该被钥匙。
[15:42.890] 完了这块完了中间还有一个中间高铁西站的中控台有。
[15:48.720] 读小鱼儿。
[15:50.280] 他是不是应该以后这种可能拿来给教31，
[15:55.110] 还有一个防护膜什么的，
[15:58.120] 装不了，因为你想当拖车的时候，一把钥匙全部都放在那，对，所以说大家yy的形象，
[16:05.060] 谁敢只能按你们画的，谁干谁倒霉。
[16:07.850] 对，问题就是要是怕今天往那放，谁不心疼你加上去能往里放，这可能需要一个主人翁精神。
[16:16.870] 这种事主要内容搁网上，
[16:19.070] 这种是客观原因，有时候客户看的时候他手表也会滑，
[16:22.590] 金属手表也会划印，
[16:24.090] 特别容易滑，
[16:25.240] 不存在了车漆他做了还要给你拜水了吗？忘了，对这客户不满意，我说后面没车，你就这台车。
[16:32.560] 我当时展车的时候你也知道吗？车长车。
[16:35.470] 买的不能说坏了，他挺矫情，
[16:39.830] 顶俩人还得矫情。
[16:41.870] 他用我的。
[16:44.120] 这个表情，因为你的关注你客户满意度。
[16:47.200] 知道吗？
[16:48.330] 回访的客户满意度，天早上我出去
[16:51.300] 对这种。
[16:52.310] 这种没办法这种不过你客户发生异议的情况下，可能目前来说
[16:57.970] 不能碰客户，
[16:59.260] 对手去发生这个事情，我很认同。
[17:01.950] 确实就是认同，但是你的表情就不对，你的眼神更远了，
[17:06.350] 你要咋地就这车就这样。
[17:08.190] 表情不能这样的，你的眼神要不我还得给我还给他卑微，还得你待会我给你讲讲。
[17:14.290] 我给你送你一个iPhone贴膜。
[17:16.770] 我送你一个成衣。
[17:18.000] 行都。
[17:18.820] 知道了。
[17:19.830] 就给发出来，你最后的情况下，你别看你做的这一切，
[17:24.260] 你认为当时的话，你觉得你自己完了，那个人最后夸对你来了，很好明白。
[17:30.080] 你又回到解放，
[17:32.130] 记住了职业人，
[17:34.220] 一个人不能也很成熟，真是的。
[17:39.540] 经济适用房
[17:43.160] 我知道大约是
[17:49.950] 客户号我不想谈
[17:52.680] 卖多少钱，谁知
[17:57.430] 我们就要做到系统里这么保健，我就卖了交多少钱怎么叫的声音。
[18:03.440] 现在收银mm电信上班还能创造客户吗？能唱。
[18:08.800] 可能是或者创业的加S44500。
[18:14.320] 因为照片后来觉得我们的缘分现在
[18:19.000] 不是我们孩子的保护的，只有他们的。
[18:24.030] 用100合格看着你看着给了。
[18:28.520] 他已经看到了，除了300了，
[18:31.690] 300不过300 332的那么多，咔咔都是你
[18:37.360] 别闹了多少没带孩子也解释了，扣我一分，
[18:44.480] 他妈全是我逗你。
[18:49.760] 胡说八道行不懂得怎么。
[18:51.590] 您是报备吗？谁知
[18:55.090] 是什么形态？咱现在没有别的。
[18:58.130] 现在所有的我们手上没有任何势力测量，
[19:01.790] 访谈怎么会给你出手的？
[19:04.080] 有点处理不了那
[19:06.170] 密码的成功。
[19:07.910] 一个要日常18家hello。
[19:10.990] 第二课堂我们就看看他全身有车友网的用户名和密码是吗？
[19:17.430] 问问这个项目，
[19:19.170] 也不是说你那时候买车的时候，是你的车是零几年他可能没登陆过，
[19:25.510] 但是我帮你注册时候，你今天过一次，昨天可以做。
[19:28.670] 今儿扣一块。
[19:30.520] 就靠为什么这吃早点，你说吃早点吗在哪？
[19:36.120] 这都不行。
[19:37.720] 几点吃的？
[19:39.170] 参会吃。
[19:40.690] 谁拍的了？
[19:43.310] 还有市场吗？扣两分我跟你说什么了吗？打他妈这不是今天扣我一分吗？
[19:50.670] 讲。
[19:52.060] 不就这一分吗？
[19:54.980] 对不对？
[19:56.350] 今天扣一分，昨天扣一分对吗？
[20:01.360] 谁知
[20:03.570] 怎么就咔咔全扣呢？
[20:06.180] 但是昨天怎么给？
[20:08.720] 回家干嘛？
[20:10.420] 没关系，你今天早会没带手。
[20:13.910] 两分。
[20:15.160] 一共两分，你咔咔的昨天就扣了三分。
[20:18.470] 他妈妈给他
[20:20.880] 给他两份份的师傅不是一分吗？
[20:24.210] 你想把国家的
[20:27.870] 这样怎么着，还有
[20:30.710] 有住家李国东的，完了上次比较帅，终于给车验完了。
[20:38.770] 行，你看看你们要弄注册的话，你就把账号让我明白了，就没问题吗？你告诉我。
[20:44.430] 这个问题。
[20:46.190] 这样没有，刚才我说怎么又扣我分了，副经理，我的回访表你不要给我回访吗？
[20:55.090] 你放开了那不了吗？10点之前都已经融了。
[20:59.690] 了。
[21:00.770] 三了，总裁每人两分，回访一次就两分了，
[21:05.110] 没有一分的。
[21:08.180] 你问问他昨天晚上几点5:30人家还给我发的，刘美娟我一边吃饭，我一边打着电话，客户好几跟我说什么情况，你们24小时真的吗？
[21:18.160] 我说真不是姐夫，完了我还全挑女的打扮你知道吧？我怕担心哪的回访您知道吗？
[21:22.630] 我他家庭分裂了，
[21:24.550] 完了因为我要给你俩打电话，半夜三更打电话，什么情况都有想法，真不知道买了，
[21:30.400] 我从来就不知道我全挑的大姐打的，让
[21:35.300] 这两个
[21:37.280] 你们知道了怎么办？
[21:43.060] 你这了
[21:44.520] 调查过分的，公司有规章制度，陪以前都不办而已。
[21:49.390] 就跟今天
[21:55.480] 人去哪了两个人？
[21:57.160] 不是还没领，
[22:00.560] 不是雨伞的解决的问题。
[22:06.740] 上
[22:08.120] 的。
[22:23.680] 刚才给领导说一下，
[22:25.540] 确实是有，
[22:28.030] 因为转车可能是有些防护没做好，
[22:31.660] 您看能不能等到下一台车，
[22:34.070] 这可能。
[22:35.000] 我看下载看他们因为没车了，这车确实没车了。
[22:39.010] 当时咱们买不也就一台车。
[22:41.470] 上面有没有一个道理？
[22:45.170] 谁知
[22:46.840] 号。
[22:52.470] 知道吧？
[22:53.740] 当时
[22:54.680] 他就跟做这块的
[23:00.280] 在家往上串场的老师到实验室上车了没？
[23:09.910] 到
[23:14.250] 没车了，这种车只能说厂家给你配什么车，你卖什么配给拍卖前。
[23:19.180] 现在后边我看目前连句话都没有说。
[23:24.070] C63。
[23:26.250] 463也没有。
[23:28.920] 现在AMD的只有
[23:32.480] 6653，
[23:33.920] 还有GRE3，
[23:36.090] 还有ct，
[23:37.740] ct，
[23:47.500] 还有一个G2，C63。
[23:50.040] 对。
[23:50.960] 昨天
[23:54.850] 这里来说
[23:57.280] 慢慢
[23:59.240] 有怎么办？赶车他就是这样的，有时候就是防护措施做不好的话，
[24:05.470] 这个人有方法
[24:07.870] 就买新车谁不想上没有花钱的。
[24:12.970] 对我肯定理解几百，现在客户不需要有方法，这就是展退，他有时候可能是真的是有时候避免不了了，这我理解，对，但是就跟你们能理解，我不想要有伤害一样对吧？
[24:25.650] 您是什么意思？您是有什么想法之后，或者是有什么最快能多久没有车，
[24:31.780] 没有周期，都没有车的痕迹。
[24:34.630] 或者司机比如你们这些地方吊车钓不到，
[24:38.720] 这种车你也知道紧俏资源都钓不到。
[24:42.040] 你看现在里边谁知有这几台车，
[24:46.730] 3C的以后还有
[24:48.900] C也没有。
[24:50.000] 没有，现在都是
[24:52.280] 雪峰金典啥就是一个CT
[24:55.100] ct。
[24:56.120] 对。
[24:56.960] 这P也是展车。
[25:10.340] 或者要是你们有优惠的货，
[25:13.310] 优惠可能优惠不了，我只能说看您这个东西别的什么需求没有，只能说给你争取一下，因为
[25:21.850] 这种伤势是它不像别的她可以抛一下能调的，你看尤其是右门这块调不了，
[25:27.880] 他已经产生伤了。
[25:29.380] 对我认同的，包括中间这一块，中间这块刚才我领导说了就能给你能先处理一下，看着中间钢铁气愤的然后能处理掉。
[25:38.720] 用门其实最严重就是油门的金属的身份，对到什么比较深的，那道是没法改变了。
[25:45.020] 知道只能是换觉，不然的话肯定很修复不了了。
[25:48.520] 所以那会儿是我非常认同的，那是一个双刚才跟领导说也是我说请吃那个，但是应该是
[25:53.460] 我看他的时候有个金属的手表，对他一关门一开门的，对这样
[26:00.990] 比如说有东西送
[26:10.370] 您这边需求是想要什么东西，我就只能说可以看看这个能不能给您去争取一下了。
[26:15.540] 我觉得你像保养了金融这些都可以吗？
[26:19.270] 这样就这么大了。
[26:21.460] 这么大。
[26:22.390] 咱们的那就这样了，
[26:25.850] 谁知得屈区位咱们小区了。
[26:42.680] 好了，
[27:08.680] 或者你没有全新的配件吗？能给他。
[27:13.730] 还真得我得跟您问一下。
[27:16.670] 我问一下。
[27:55.890] 感觉到
[28:15.600] 我们这样的
[28:18.290] 对金融非常
[28:20.850] 现在的最新情况
[28:23.730] 你的
[28:25.700] 因为现在
[28:28.030] 消费者现场模式
[28:32.610] 远
[28:33.710] 高兴。
[28:37.390] 二
[28:40.410] 的
[28:43.870] 商场、
[29:01.430] 你好上班了，是根据销售这边
[29:05.080] 了先休息是吧？还好好来。
[29:15.350] 开始
[29:18.830] 回来。
[29:19.960] 场
[29:31.960] 你好，我是奔驰销售这边。
[29:34.190] 是推销是吧？
[29:37.190] 我想问一下有个右门内侧有一个
[29:41.940] 的
[29:44.870] 咱们会有货吗？
[29:51.710] 地方
[29:53.050] 153。
[29:59.700] 多少
[30:05.800] 的？
[30:08.810] 您帮我查一下吗？
[30:12.620] 10546。
[30:41.680] W弟弟
[30:46.170] 一勾
[30:49.080] 6bb
[30:51.510] 7K
[30:54.980] 1054
[31:04.900] 又门又
[31:09.790] 的
[31:11.590] 的
[31:20.760] 6
[31:30.200] 对。
[31:34.600] 的
[32:24.160] 和
[32:25.720] 的。
[32:44.500] 要不我发给你微信，发个照片给
[32:52.030] 我发给你。
[32:55.970] 等一下。
[32:59.000] 数据
[33:03.870] 场。
[33:33.160] 数据
[33:35.030] 场。
[33:39.240] 场
[33:43.720] 数据
[33:46.370] 数据
[33:48.590] 场。
[34:26.460] 谁知
[36:09.720] 坏。
[36:32.510] 可以定是大户中大户没有货进口进
[36:41.090] 半个月的时间，
[36:43.430] 现在订货的话估计得半个月以后才能到，这个时间能接受吗？
[36:48.950] 比如我现在有到时候可能这算上对，如果能定的话，然后到时候货到了以后你可以过来换，
[36:56.070] 不能显示有没有记录，这车风险维修记录可能有不会的，对没有。
[37:04.170] 你要觉得能接受这个方案的话，我就跟领导说一声，领导这边得通知他们到客户，因为这个属于是跟国外的可以，最主要就是车别想没错什么东西。
[37:14.930] 你这新车不会，他是画画的
[37:17.600] 伙伴，没有机会，那不会，我让电话说一声。
[37:22.530] 然后什么
[37:24.260] 中厚房子版的话用它去车间处理一下，
[37:29.650] 他就如果处理不掉了，
[37:32.790] 处理不掉那就是
[37:38.320] 了。
[37:39.650] 要不你等下一台车，
[37:41.970] 因为那个地儿估计肯定也不错，
[37:45.680] 你必须等等两年我
[37:49.050] 等两天再还了。
[37:55.320] 我刚开店。
[38:10.580] 跟上次一样，
[38:20.470] 我就给领导反映一下这个问题。
[38:22.200] 你看这里等一下还是肯定是
[38:24.620] 怎么处理，还是因为这个东西我也是真的希望你能满意，是不是？
[38:29.100] 但这确实是打出来东西，咱不是说
[38:32.120] 很快就不能时间下台，车时间真的是给你确定不了了的，谁知
[38:39.400] 可以等一下看一下。
[39:38.390] 153。
[39:39.960] 冬天这块钢琴西面好多划痕，
[39:45.640] 然后还有门这块有划痕，这块我问大哭。
[39:49.890] 维护。
[39:50.670] 都换旧门户。
[39:55.240] 这个又没得很深的地方倒是的。
[40:00.520] 门的那边一个度过的。
[40:03.990] 庄桥
[40:05.070] 这个倒不贵，500块钱单的大户维护，
[40:08.320] 订货的话半个月起这可以订货，
[40:11.280] 但中控那块的话，它是一个好多小弯路。
[40:14.950] 通过原来门吃个馍。
[40:17.610] 你关键听说他已经伤了。
[40:21.710] 头7什么成一什么的，
[40:23.650] 他现在已经伤了。
[40:26.030] 他伤贴在里边了。
[40:28.050] 我说我等下来之后，现在什么时候没这车配什么车买车，
[40:34.050] 大家看到这车没事，
[40:37.910] 没有。
[40:40.730] 车展车他也知道他也认同的。
[40:45.320] 不是说什么欺骗这那。
[40:47.050] 认同的班主任。
[40:48.360] 因为就一台车他也笨的便宜来的，说白了，
[40:51.360] 他想要，但是他送点东西送贴膜，她肯定受不了这个东西。
[40:55.950] 我想说你别提了，你看你走我还背不回来，我上半天也不买这车。
[41:01.320] 38您没有上去还是你的？
[41:05.940] 你看
[41:12.410] 明天帮您I。
[41:16.020] 你看看。
[41:18.090] 后来就我说他考虑说到车里有味儿了，我刚刚送了一个类似的消毒清洁，
[41:24.010] 给你说的为什么的？
[41:25.460] 这东西外边两种方案都能做到，不需要就这样的态度，待会你们做的东西不需要，哎哟我说这小伙子
[41:32.870] 因为他们。
[41:34.350] 我说的问他，
[41:36.580] 后来我说你是想要怎么处理？
[41:38.980] 你送我贴膜不送就可以了。
[41:42.910] 你说你做得到。
[41:45.570] 说以前也结合了，
[41:47.450] 我的天肯定得送别的送贴膜了，成本这车背不动不来了，
[41:53.730] 怎么办？吃不了，真的不想卖给他这券，买去图便宜，明显这个事儿
[41:59.980] 当时忒便宜，买的车
[42:03.040] 保险不上精品一肯定也不错。
[42:05.570] 他现在长心了你知道吗？他一看这人就说一看就常干这事儿，
[42:09.480] 一丁点就完了占有，这有这样得很多很严重的感觉。
[42:14.540] 对咱们来说，我真的我车有烧都能交出去，着点算毛一样，
[42:18.180] 出去没准说真的掉了都可能花了大功了，而且很正常。
[42:22.520] 对这东西它就是会矫情，你能感觉出来他就故意想要杂病，因为他缺钱，应该是他拿这个来做一个补偿下自己能弄的东西，就等于台边想。
[42:31.750] 我知道我说给订货了，我给你订货你是吧半个月以后能到货，具体时间不确定也不放就行。
[42:39.330] 是吧？单位换了是能订货吗？500块钱咱自己给订货就行了吗？可以。
[42:43.770] 是吧？我这答应下来冬天上双方怎么办？收获的划分最近分不了没法放，还没有别的问题吗？
[42:51.330] 有真没拿我就不了通知。
[42:55.370] 有点。
[42:58.500] 我相信。
[43:00.250] 用不了你。
[43:04.300] 上个月
[43:05.080] 这三搜索这张脸把那车
[43:09.570] 履行它现在办下来45，
[43:12.790] 49万多，他要你调货449,000，就是40 45，
[43:18.730] 还要44万。
[43:20.900] 6
[43:21.880] 差4000个。
[43:26.120] 不是利润控制了。
[43:27.740] 刚才那个人说，但是他并不他签不下来，
[43:32.100] 80%就够了。
[43:35.120] 三。
[43:36.240] 这样你80%就。
[43:38.140] 就可以了。
[43:40.340] 对你算算。
[43:41.600] 而且你可以在的时候，在你我的
[43:44.920] 让我了。
[43:46.600] 连你看不上保险了对吧？
[43:50.530] 五。
[43:51.010] 前8天等于20多年。
[43:53.930] 5800是什么意思？
[43:56.390] 不是就是说在要4000，现在是45。
[44:02.200] 他的意思再讲再减40,446,000。
[44:07.510] 太了。
[44:08.000] 你只要够那什么就可以。
[44:10.870] 你说有80%就不怕。
[44:14.720] 对，咱们你说要是说老二说你背了吗？他飞快，这前面不要的死。
[44:23.940] 行吗？
[44:24.760] 王老师生活。
[44:27.210] 没有，首先不是在这上面，您都可以第一件已经出来了，像故宫。
[44:34.890] 这些的。
[44:36.300] 前面都推出来了，
[44:38.440] 但是优先学习今天的青年02
[44:43.270] 5号的
[44:45.850] 现在这三个啥重点行业还是元成本低一点的。
[44:54.110] 当然。
[44:58.690] 时间。
[45:01.040] 没事。
[45:02.060] 这小伙子感觉挺。
[45:04.710] 听说。
[45:06.290] 买的时候和
[45:07.910] 合体的时候他200块的
[45:11.470] 当时晚些时候求着我这感觉这来提升的时候就感觉大爷一样，
[45:15.960] 这不行。
[45:20.710] 我说你。
[45:21.700] 你支付的合并
[45:23.220] 不能在这里千那种不是协商协调那个东西，我跟他说我都说了，我说不行给你贴，我后期的话咱们用的是也会
[45:32.430] 说着我都已经划伤了，你贴在里头了怎么样？
[45:35.970] 怎么弄，实际上就是这样的，明天我问唐伟了，他说贴膜的话他没有空东西吗？
[45:42.310] 他尽量避免，因为他有好多案件到时候适得其反，明白吗？
[45:47.180] 因为尽量对别协商紧张的。
[45:50.280] 行行不行是不是？
[45:52.770] 我觉得可以稍微松一点，毕竟有点
[45:55.780] 有点。
[45:56.400] 意见什么的理赔速度成本稍微低一点。
[45:59.370] 成本一点，你能大概多少够控制多少成本，我能算越少。
[46:05.290] 我跟你说300他不干是不是？所以你跟他商量一下。
[46:10.510] 对不对？
[46:12.350] 他要一次保养，
[46:14.600] 要是保养。
[46:18.640] 他说你给他换一次，
[46:21.510] 做一次保养。
[46:23.390] 可以沟通，不是已经做了一次。
[46:26.790] 你的生活是不是不报警了？
[46:29.760] 没有。
[46:31.940] 妈妈。
[46:33.500] 你说什么人生？
[46:35.380] 这车是19年3月份。
[46:37.410] 对，咱们曾经跟我说过。
[46:39.650] 能做
[46:40.700] 这什么吗？
[46:41.760] 这样说那要做我是不要的话。
[46:46.340] 要
[46:52.170] 你跟。
[46:52.870] 说做的情况他肯定不认可。
[46:54.840] 对。
[46:57.220] 的
[46:58.720] 协商看得到。
[47:00.800] 人放到合适。
[47:03.570] 要是如果不用送
[47:06.470] 的。
[47:07.640] 数据。
[47:08.900] 成本。
[47:09.490] 高吗？
[47:10.420] 原来的还是2000万。
[47:12.700] 送什么？
[47:14.600] 剩一个一米贴膜。
[47:16.860] 他反正也
[47:18.820] 不买。
[47:19.830] 送医美。
[47:20.710] 贴膜我单独赠送了，还是总的直接走单子里面我。
[47:24.210] 已经OA了，我以为。
[47:25.970] 挺顺利的来的那题。
[47:27.880] 没想到还这么多项目又喝没睡好地方，
[47:32.390] 人家说真的有贴膜或者送人哪天快乐，
[47:41.880] 我跟他谈谈不谈。
[47:43.410] 全车都送不了。
[47:45.080] 不，他做那个事儿。
[48:39.920] 咋了？这车确实后面没有资源，
[48:42.340] 后来进去的到不了车站，5月的干不了。
[48:45.850] 所以说价格可以给您定价，定价的话，然后到时候你到货以后你再来换就行了。
[48:51.890] 然后中间那块。
[48:52.720] 相关的处理。
[48:54.220] 如果处理不掉的话，然后领导。
[48:56.100] 的意思是
[48:56.980] 送你个车身贴膜。
[48:58.870] 对，车玻璃贴膜，然后前两的话你自己吹得好一点。
[49:03.620] 前后短，然后车身的话房子房子连片的效果好一点，
[49:07.060] 如果处理不掉的话，就算一个成人摸，
[49:10.170] 我们这只能说也希望您满意，因为这东西展车他有时候真的是避免不了的，我们做的防护已经很好了。
[49:19.570] 你看你要这超声只能是玻璃还是玻璃。
[49:23.840] 我就只是两侧玻璃。
[49:25.260] 对两侧玻璃的防紫外线的完全打的话，你贴个好一点的，因为你是。
[49:29.830] 你也知道你是玩这种快车的，所以说前导特别需要蘑菇，要求更高，
[49:34.660] 我们送也不会送特别好的，说实话，所以说送你出身的
[49:38.360] 车动可能对您来说更实用一些。
[49:43.190] 你看一下，
[49:48.350] 如果这些后面又有车的话，毫不疑问我就给你换下台车，关键这没车了，因为昨天您来的时候咱们也知道吗？就一台车。
[49:56.230] 注意开车。
[49:59.440] 您看您这边的。
[50:01.940] 就是那个的话等于说边上可能就拿了就算了。
[50:05.980] 对，我这边的话我就可以让他们先给定价。
[50:08.920] 定下以后，然后他说半个月起，因为国外这些比较慢，就是说到了以后你过来换就行。
[50:15.630] 只要我们这边能承诺给您换，那肯定没问题。
[50:19.110] 要换的话都是全部免费玩。
[50:21.480] 肯定免费的，我在那里花200块钱，我说别到时候再说人工成本就这样，我在他换了干嘛话都没有意义了，对吧？反正说其实不说不会的，要话肯定是全部免费。
[50:34.360] 运行。
[50:37.290] 可以看到。
[50:38.940] 就这样是吧？我就把传真活动给您做的。
[50:49.410] 对。
[51:12.040] 可以。
[51:13.880] 声音的强度可以。
[51:26.770] 数据。
[51:30.190] 的
[51:34.490] 杨老师，
[51:37.440] 杨老师
[51:40.350] 没看的教场。
[51:49.360] 远。
[51:51.860] 好。
[52:09.790] 看看
[52:12.150] 了
[52:19.600] 的。
[52:58.410] 的。
[54:09.070] 宏哥吗？
[54:12.740] 有一个三然后叫
[54:19.800] 金属条需要
[54:25.290] 对。
[54:29.370] 还有华商，然后里面不知道，
[54:34.350] 从咱们给定的货到时候来或者电话就行。
[54:40.050] 一下。
[54:42.790] 别着急，用我的话跟你说一下。
[54:45.200] 这个零部件是挺小东西，然后是大库里面没有已经问过了，需要订货需要半个月以上，但需要从你们的订货。
[54:52.640] 他们这块属于肯定或对吧？
[54:57.230] 上
[55:02.110] 知道了是吧？
[55:04.140] 行，我就让领导给我回个电话。
[55:08.580] 好好，大家的反应。
[55:12.250] 稍等一下，就拿活动快上来。
[55:31.920] 我半小时这车。
[55:35.480] 开通好了。
[56:00.050] 中东
[56:01.310] 可以。
[56:02.960] 你先逛逛。
[56:06.240] 收到。
[56:16.040] 你好。
[56:18.000] 过来了。
[56:19.370] 在看到列车BBB咱这一有幸福，
[56:24.800] 一三百
[56:27.660] 这样GRE张印有一个450，
[56:31.210] 现车450450是时尚型的，
[56:35.400] 只有一个号上
[56:36.910] 泡茶饮的。
[56:38.730] 对，就这一台车谁知
[56:49.450] 这上面有电子水牌，
[56:54.190] 这是属于
[56:57.370] 时尚型的，
[56:58.990] 指导价是843,800那款，
[57:03.840] 还是他下面。
[57:07.430] 他下边就是350了，
[57:09.570] 他在网上就好好往上是豪华了，夏天怎么办？
[57:14.770] 它往下是这样，我现在动感马上豪华，
[57:17.700] 然后是再往下就是三毛了。
[57:20.300] 你这样你先看看我这交车，
[57:22.990] 这边很快吗？过来找您了。
[57:48.000] 模糊的模有别的可以换的吗？
[57:51.010] 别的就是合不上电。
[57:53.150] 当时能拿走的，后面这就本身都没有，他后边还有一个防水的皮革亮。
