[00:00.460] 资金链。
[05:32.230] 底盘高低
[05:33.310] 没通电，
[05:34.830] 可能因为这车没通电，
[05:37.140] 没充电他必须它是
[05:39.490] 现在还需要充电，这车没通，热电没通电，
[05:45.410] 上一票完还给人为本，平时底盘放到最低，在什么地方放到最低结构，
[05:51.490] 可能舒服一些什么，咱们玩他是不是自己适应吗？
[05:56.150] 是谁？您比如说像路况比较颠簸的话，它的悬架就会偏软
[06:00.590] 一些，对，如果正常路况他就是说偏硬，因为偏硬的话对于操控性最好。
[06:06.430] 我要是在郊区比较有副卡的话，把底盘的身高对，比如说可能有的路话正常情况通过
[06:14.830] 抹不了的话就可以把这几块调高，我在城市里跑就不用交高尚城市里跑就正常，其实这个车平常增加又怎么样？
[06:23.590] 对现在这个高度对，完了他空气研发的这种自由，
[06:29.430] 自己适应空气绝对
[06:31.520] 等的平衡，对它是根据路况，
[06:35.590] 对于部分根据城市里投放这块，
[06:38.700] 分享很多的的对这款音箱不错，一会试驾可以感受一下。
[06:42.630] 为什么？因为我们后排就是说它底盘有个空气评价，它是有一个就是说传感器的，它可以传感到地面，
[06:50.630] 就是说这个距离它根据您比如说
[06:53.850] 有个石头，
[06:54.960] 他肯定会自动就是说把这底盘升高一些，咱们过去会好一些，但是这里边是不是有一个
[07:00.710] 系统就得你得把它打开，它才能自动升降了是吧？活动。
[07:06.600] 或者不是咱们空气寻获就是高低，调高低的话，你得手动的软，硬的话它是自动调对应试制度标准，
[07:16.400] 对高低的话一般平常是用不到的，因为只有是比如说去个队出去玩儿，
[07:23.610] 跑长途，因为市区的话没有这种特殊路况，但是市区的话可能就是说有的
[07:30.050] 路井盖多电波，但是它会自动调节对着空气悬挂就是放在最底下的。
[07:35.900] 素不把它升起来，空气他也是自己空气源话自己调整。
[07:40.860] 你说这车都感动是吧？
[07:43.400] 在空气悬挂他总
[07:45.810] 舒适性能考虑对。
[07:50.200] 这是这在行车记录仪了，不带原车不带记录机，像这款车有的就说您带有空气悬架的车本身就算高配的，
[07:58.930] 但是像您说的记录仪没有，这个车是有360度的倒车影像，但是他这个影像是不带存储功能，就是没有记录，
[08:06.840] 但是这个车也有自动泊车。
[08:09.470] 对，但是他要是还得自己装一个就装一个停车记录仪的，基本没多少钱，千万，那天你跟我讲反光镜他是怎么的，他有个功能什么防追尾还是什么提示？
[08:21.630] 不是反光镜前面你看这个位置，
[08:25.160] 这个位置，
[08:26.970] 这个位置就是咱们所有的它是一个
[08:30.640] 类似于它是可以识别道路前方道路的，所以说我们这车标配的主动刹车，
[08:36.750] 根据他检测的，它是可以监测到前方车辆的车速。
[08:42.930] 对，然后本身咱们车的行车电脑是可以监测自己的车祸，他会帮您判断一个安全的距离，如果超过安全距离的话，您还没有保持踩制动，
[08:54.460] 没有踩刹车，
[08:55.620] 他会帮您主动地踩刹车，我还看介绍听着他的主动安全系统说是唯一一个就是说
[09:02.930] 能识别人对我障碍物以及动物还有动物都可以，他有的人他人和
[09:08.960] 动物它识别不出来，它只能识别车辆。
[09:11.340] 对，它只能识别车辆，他能识别人。
[09:14.490] 动物还有这也就是说在交通在路上开车，所有参与到交通过程当中都可以识别到。
[09:22.300] 都写到他关键，他能识别出人就好。
[09:25.470] 人家管理放到就怕，比如说和斑马线，突然前面这边还有车，突然出个人，对，就怕这种情况，有时候你人反而卖了。
[09:36.640] 但是他这是要求应该在行车速度多少以下，如果针对行人的话，一般来说肯定还是市区吗？
[09:46.350] 它的速度是比较低的，在绝对速度是在45，时速在45就可以。
[09:51.640] 但是如果的话就在60它也会踩刹车，但是不会完全刹停，
[09:57.180] 但是也可以尽量的避免
[09:59.850] 比较大的谁知。
[10:01.970] 他就说尽力地减小一下算式距离的。
[10:06.240] 谁呢？
[10:07.670] 为。
[10:11.560] 我没在家，京东快递让他放假你放货架上。
[10:22.010] 你放我家门口吧，
[10:24.170] 放你在我们家门口就放我家门口，楼上不能摔着把得
[10:29.940] 拿胶带粘一下粘到把
[10:35.360] 对8号楼910我我再过两小时。
[10:39.400] 谁知
[10:42.660] 对。
[10:46.110] 对行，你看着它掉不下来就行。
[10:49.950] 行，谢谢你，行好。
[10:52.600] 现在试着进去的，原来是直的，对，原来可能看得更漂亮一些吗？
[10:58.340] 对，而且没那么大。
[11:04.110] 这个看的稍微就是说圆润了一些。
[11:07.740] 对。
[11:10.700] 这多少公里保养111万公里。
[11:14.960] 防撞谁知
[11:19.600] 差不多。
[11:22.110] 长基本上属于还是
[11:25.840] 什么？
[11:29.010] 没有什么
[11:31.600] 同样的黑色。
[11:33.190] 这些场外的话就是白色这种的，要不大街他就是隔音的油皂，对您可以摸摸，一般上面是带这是软的，而且
[11:44.870] 包括我们隔音棉的材料厚度，您都可以看一下，里面这非常的厚。
[11:51.330] 这个就是咱们单独拨出来的防撞梁，您可以从里面摸一下，厚度非常这就是铝的，它这个钱不够。
[11:58.110] 没问题。
[11:59.630] 对。
[12:00.480] 防撞梁是哪里的？因为我这个是一个吸铁石。
[12:05.040] 对。
[12:06.500] 能吸收白天对着吸不上吗？
[12:10.320] 包括这都不是对都行，他等于就这一块都已经家庭了，加强了他的房造型，这是属于一个第二层保护的，因为正常的环状这是在这个位置上，对一个防撞梁之后，是在我们多单独多出来的一个防撞梁，
[12:27.630] 要说都说什么欧洲人这款车对人的
[12:32.720] 种种你人为本，
[12:34.800] 就是说他目前世界上安全性就是最好的，这是一个前摄像头，摄像头对向倒车的话，他会把车辆四周所有的信息都会显示，
[12:53.150] 这个车辆在30米半径在30以内以内的信息，它都可以监测到，如果您要保持在0.8米
[13:00.600] 不踩刹车的话，他会你
[13:02.570] 把你踩刹车，就是以防怕咱们造车的时候分心撞上什么障碍物这种。
[13:08.110] 我遇见过一次，说完我一想
[13:11.670] 倒车我就看这面镜子了，那边来个车我没注意，
[13:15.670] 然后他不是木茶停了吓一跳。
[13:25.210] 就喜欢这大蚂蚁。
[13:26.460] 跑高速的话不吃，
[13:28.560] 告诉他打出一脚油，花生是主料，
[13:31.800] 还是碰上，
[13:33.770] 而且这款车还不是很费油，还有高速
[13:38.720] 石油
[13:40.680] 油耗比同级车D对现在车的技术都比较成熟，对是技术先进，
[13:48.680] 以前的技术都非常先进，
[13:50.930] 是吧？
[13:52.230] 他能开一会一会你再打4假，咱们一会
[13:56.610] 出门的话再按照四全跑一下，走一小圈走辅路。
[14:01.400] 我是想让我用下您驾照给
[14:05.860] 给
[14:08.650] 你也来一圈。
[14:09.980] 我先看看。
[14:11.220] 你开不开都行，都好说。
[14:17.490] 我等会找一下微信。
[14:21.440] 用
[14:22.360] 要
[14:27.440] 只要你能开，
[14:29.540] 不要快慢，
[14:33.280] 刚才的思路。
[14:41.450] 你是黑龙江吗？
[14:42.760] 放心上去放的，在工业园大学生毕业的大学生。
[14:48.310] 你刚看看形象，对，放心是学机械，我们还想去哈尔滨招生的，谁知
[14:57.100] 然后再加上行二三天不好了，你前一天以前那个东西三
[15:03.150] 不用
[15:04.220] 在游戏的一定。
[15:09.400] 您说一下这句。
[15:11.070] 看着也太小了，你看看看不清楚。
[15:14.370] 首先第一点就是咱们整车的气动避震，
[15:17.820] 这款车我跟你说说，
[15:21.650] 启动听清了360行业
[15:25.660] 3月初3603，
[15:28.000] 我这是一个想到的，环视一下合理。
[15:32.610] 是可以连笔吗？可以都没问题。
[15:36.920] 这个
[15:39.370] 短时间
[15:42.560] 中
[15:58.080] 应该给客户到了找你拿身份证了。
[16:13.590] 晨哥。
[16:44.350] 好，等我拿钥匙他们看一下。
[16:47.910] 抬头显示系统。
[16:50.430] 平时前方咱们正常开车看路的话，它就
[16:55.350] 前面就是说有一些比如说像
[16:58.730] 支付，比如说一些车站在风岗上显示对
[17:05.030] 10家一下车漆90，有点像飞行员
[17:08.630] 抬头显示系统这种飞行员的要求，明白了吗？现在咱们都有，但您开一圈感受一下。
[17:16.130] 然后先是成我，您先坐着体验一下行。
[17:21.320] 我就说这是灰真是灰，我觉得颜色挺
[17:26.230] 这颜色。
[17:28.000] 灰色
[17:29.580] 不可做的对。
[17:30.680] 我走了。
[17:31.880] 看了
[17:36.520] 越快也较黑，
[17:38.780] 有点像做胸灰色的，
[17:44.210] 但是黑色也行。
[17:45.870] 对。
[17:47.050] 黑色也是好几种是吧？行，刚才咱看您两两遍，对，因为下雨我们一起车，没事，我先上车坐在感受。
[17:56.070] 你坐前面，你看你黑不是要先开一会儿，让咱先试乘一下，
[18:02.020] 先是成熟悉一下，熟悉一下，咱们这个暑假了放线，好好，然后你再在我自己上我自己。
[18:09.910] 对好。
[18:11.280] 吃饭。
[18:29.350] 车就不错了。
[18:30.800] 对，说些安全带这车。
[18:37.270] 然后着车是在这个位置，
[18:39.370] 这是一键启动，
[18:40.930] 踩住刹车。
[18:42.610] 一流。
[18:44.980] 这就是咱们的一箱，你可以感受一下，我比如说给您整个
[18:49.310] 声音响一点，
[19:02.060] 正在连接电话，他们的对联营品牌
[19:05.120] 成为当时外国人这些就是咱们车辆的功能，像全景影像的话，平常也可以手动的就全检，
[19:13.180] 它出现4个摄像头，你就可以点前后左右都可以，对，如果不点的话，它目前就是说整个车辆的4周相对
[19:21.820] 现在其实看他开车的话就是低速的话没问题，基本上这个也看不到前方有没有账户都能看到吗？
[19:30.410] 对。
[19:31.110] 你看这是
[19:32.040] 显然是好景不长，
[19:34.300] 也就是平时开车的这种模式，它之后的近30年时间，这就是低速，因为低速的话可能向前方有障碍物，不知道能不能通过就可以看他，你看这个角落头，比如单独看左侧也可以离这边有多近了，比如说有个车大多转行做了，
[19:52.340] 只是偶尔在家偷偷的买路走蓝这个态度行，适合哪个抬头显示。
[19:58.050] 在您那边看不见，只能我在这看，一会他有个投影，这是投影。
[20:03.960] 到向北京商报
[20:06.340] 中国最大的方向的
[20:08.280] 这挺先进的，抬头显示原来飞行员头盔就像它风景A类，对飞机上的
[20:16.910] 技术
[20:19.110] 飞行员
[20:25.710] 都说是北欧小坦克
[20:30.030] 254毛利的推动，它其实也赋予了
[20:33.190] 了，但是最好还是320码，这就320毛利，这就是咱们石家也带一个推背的，
[20:39.770] 然后现在必牵扯进了他会有钱，在我抬头显示就有一个警示，就是说这包比牵扯太近了，如果您在近的话，它就会把你采取制，这抬头显示这不错，
[20:55.250] 然后咱们在
[20:56.810] 桥下掉头，
[21:03.850] 翻盘也挺轻的师兄。
[21:11.600] 然后正常的话这个车会有一个自动驾驶，
[21:15.520] 我现在就可以大概给你讲。
[21:19.120] 现在就可以，现在我定个4
[21:21.120] 50，
[21:21.860] 然后基本上它是识别这个线路，可以识别的线路，看着方向盘。
[21:28.820] 它会自动了。
[21:31.010] 有问题了，
[21:31.910] 它会自动的发生房子。
[21:33.810] 如果有车了，你
[21:35.840] 你看他帮踩刹车了，
[21:39.240] 但我一般不用这个制度。
[21:41.160] 市区的话其实一般还好，主要就是高速，对。
[21:45.160] 因为高速车比较少。
[21:49.900] 现在就是空气悬架。
[21:52.030] 对，还是自己调节适应是吧？
[21:59.210] 下车少的话，一会前面有一段路是可以进驻录像，你要是想时下我们动力
[22:05.430] 就可以适当的体现，
[22:07.940] 有动力了，这详细。
[22:09.940] 这320马力没问题，
[22:14.720] 折一给油的推背感上去，
[22:23.680] 道理。
[22:27.640] 他在这儿是可以进主播，
[22:29.320] 我就不进逐步走好，车上的话可以适当的
[22:34.570] 目前就是80了已经
[22:38.330] 更快提升
[22:39.800] 了。
[22:45.580] 这种推背的是吗？
[22:54.930] 还得马力大。
[22:56.100] 拉力小不行，
[22:57.990] 还得大马力。
[23:06.450] 现在市区一般的这种情况下百公里多少呢？
[23:10.270] 如果正常开综合情况的话，得是一个由12个油，你要说堵车这种，
[23:16.220] 平常开起来的话，像高速就七八个油就可以了，
[23:21.720] 它比同级的车油要少他油耗，
[23:26.150] 但是只要堵车什么车都费用，
[23:30.170] 但是他还有启停功能，我一般不用的不用，这个都可以给它关了，对8起厅官有时候
[23:36.910] 他有时候都对启停止，有时候很尴尬，用的听说的冠。
[23:42.230] 对自动启停，没必要省那点油干嘛。
[23:45.770] 他几天有个反应时间，他是在自己对。
[23:49.340] 而且有时候吓吓一跳，他自己
[23:53.340] 分自己就着火了，
[23:57.430] 一给油它就着火了，对。
[24:00.750] 您这边稍
[24:02.780] 那是推背感力量是
[24:05.480] 可以的。
[24:06.850] 这个力量，而且噪音控制我看静音
[24:11.910] 也可以。
[24:13.020] 也还行。
[24:14.280] 一个由是刚才他一给油的时候，
[24:19.740] 出门就真诚。
[24:24.840] 对，我给您调一下。
[24:28.290] 我就不下去，
[24:30.320] 就不孝。
[24:36.010] 门开了。
[24:45.970] 你找个舒服姿势，
[24:47.900] 前后
[24:49.360] 前后可以是这样的。
[24:51.330] 宝贝也就这样，你看翻牌没问题，先着车。
[24:56.230] 后视镜应该调查一下，先找出踩刹车这边是吧？
[25:03.730] 没事，您看看两车的政策可以，镜子内侧那边稍微。
[25:09.730] 这个是条N多U然后拨动了1.3米吗？对往里一点。
[25:15.400] 在2点好了，行这边
[25:19.610] 这边
[25:20.970] 还可以。
[25:22.060] 可以，然后窗户I
[25:28.220] 慢点长大点快慢。
[25:30.770] 在介绍自己
[25:35.000] 高低行
[25:37.540] 好，没问题的对。
[25:43.060] 按照这地了，刚才下车对高坐到地上，现在是找到
[25:49.220] 你看图标图标会变大，现在是真的。
[25:52.610] 这就是现在是地地。
[25:56.230] 双。
[26:04.290] 你看后视镜上它一直闪灯了。
[26:07.190] 后面有车我看看现在
[26:12.800] 没钱没势
[26:18.640] 我一直在想
[26:24.520] 开除肇事能看到吗？看看。
[26:27.980] 功能，
[26:32.450] 包括限速，就是说这段路比如限速70都不显示了，现在50 52，
[26:40.220] 等等。
[26:42.960] 没问题，跟他迈腾差不多是感觉非常对，他大不了多少的习惯，主要是量
[26:50.270] 前后左右量，拐弯的时候，
[26:52.990] 上下班能开就行。
[26:56.700] 没问题。
[26:58.550] 感觉没有像我咱俩换迈腾的时候那种感觉，刚换没疼我都不敢开了那是。
[27:05.630] 没有感觉了，因为我在前期开一小车，菲亚特的小车就庞大的，然后快唛头net长4米8多，
[27:13.950] 快4米9了都不习惯，晚上我带她去6成，
[27:17.430] 但是迈腾开习惯跟他这个比以前好，对，你以后再看看换哪个车的事。
[27:24.430] 刚刚开的迈腾不敢开，这么大太大懵了，你看现在他就找到感觉了，他就开车送，
[27:32.480] 稍微熟悉一下，然后把车的功劳熟悉一下就行了，对。
[27:37.580] 你这直接开过去我就不用试了，我再相信你还是一下您感受一下，不用我不要了，现在我就知道。
[27:46.200] 我坐车的感觉我都
[27:48.540] 感觉出来都行，主要你开心，
[27:54.320] 不要拿超车那个线都没问题。
[27:57.080] 对，辆又一辆反光镜管不着左右我没事。
[28:02.940] 功能先进，
[28:05.770] 你走神了他会替你刹车的。
[28:17.000] 前面桥底下掉头开学，
[28:20.940] 还可以。
[28:22.110] 没问题，我感觉他跟迈腾差不多是吧？
[28:25.110] 没有笔没有，我觉得可能也就是倒车停车的时候会有点区别，
[28:30.980] 但是开起来好像区别不大。
[28:33.830] 主要是倒车
[28:35.720] 前后左右，但你学会自动泊车了，
[28:39.850] 它会自动帮你找车，
[28:45.910] 看点路我都忘了在哪拐，没事我跟你说。
[28:49.050] 我认识。
[28:50.400] 车是高比迈腾高多了，小车
[28:55.760] 在我这跑高速吗？不吃亏。
[29:05.650] 反应灵敏。
[29:11.010] 富强和小龙天你们都变了的是吧？
[29:28.830] 现在就是空气悬挂它起作用是吧？对。
[29:31.960] 在这接着就一下。
[29:39.800] 压井盖的感觉，
[29:42.410] 咱们mic舒服，
[29:49.470] 的
[29:52.020] 车。
[29:57.960] 两
[30:01.380] 简直还行。
[30:03.450] 不是说特别硬，没想那么远。
[30:07.100] 对，我不喜欢太软的。
[30:10.120] 太软的减震，现在一般像好车，就目前来说这个价位的车基本都是偏硬的。
[30:18.400] 他一做码他一有人就满负载了，
[30:22.430] 他就能好一些。
[30:25.250] 它不是，而且这种叉车怎么样可以
[30:28.900] 因为
[30:30.380] SUV的他没有太软的，
[30:33.600] 减震太软了。
[30:40.520] 而且现在不也有空气宣教队，
[30:44.330] 他左右软硬调节都可以调都可以吧。
[30:49.530] 咱没调。
[30:50.970] 慢点快。
[30:52.960] 行放心。
[30:53.840] 看你还行，赶上这车。
[30:57.480] 比我想象的好。
[30:59.330] 我以为你不敢开呢。
[31:01.940] 开庭流了。
[31:04.520] 包括你看以前这进了他们有一个出个小店，你牵着这个就是防碰撞预警防控专一行，
[31:11.370] 现在这里就有对抬头显示器怎么走，对调头，
[31:16.590] 你还开不开，我开我就停边上，我不开了，我这可以不支持我，不是吗？
[31:21.360] 我不是说先生其实开车开得特，我现在心里就有腐败，
[31:26.110] 是什么车他都能开，你刚才给油推背感，
[31:31.070] 你让我干320马力，这完全不用。
[31:34.520] 然后开会下来开不行，我主要让它思想，
[31:38.720] 我主要是让他开，他能开了这车就好说了。
[31:42.840] 因为不可能老我开车我开的。
[31:47.020] 是不是？他偶尔也开，
[31:49.360] 以后万一我喝点小酒，晚上回来，
[31:51.850] 刚
[31:53.550] 这行，你看他也挺好的，他就说上次给您买着上下班用的，对。
[31:59.270] 他两年退休了。
[32:01.160] 分开就完了。
[32:03.430] 我上班也在这边吗的？
[32:06.340] 我们住的离这儿不远，然后我上班在卢沟桥那边。
[32:11.380] 就走那4门是吧？对。
[32:16.380] 这避震可以，
[32:18.360] 轮胎也宽，
[32:22.320] 所有的车没有完全十全10美，包括奥迪Q7奔驰什么的，
[32:26.520] 所有车都没有，完全是看你倾向于哪一头，发动机技术，基本像这款高豪华版都过关。
[32:33.220] 就像你刚才说的现在技术先进，是不是有的可能像奥迪就相对来说可能对科技一些对它的追求科技是不是得到门口停下，你开进去都行，
[32:44.690] 可以非常近吗？
[32:46.480] 不需要再测体温的，需要测怎么开私家车测？
[32:55.190] 快。
[32:56.420] 这推背感
[32:58.970] 这后面明显
[33:01.160] 提出太灵敏，反应很灵敏，
[33:04.220] 开着感觉怎么样？
[33:05.600] 拍的挺好的。
[33:06.620] 挺舒服的。
[33:07.670] 小心眼。
[33:09.560] 而且我这人脾气急，我就讨厌这种肉车在前面，
[33:13.300] 放量上去是这样超过。
[33:16.180] 这车就核实到了吗？没了，前面我跟你说了。
[33:20.380] 快点过来。
[33:22.120] 快点慢点完善干嘛去，别太快，就这种路况你慢点，
[33:26.740] 别开那么快，减少该结束了拍到了。
[33:30.200] 前面有辆卡车钱不知道，
[33:33.920] 再往前这个是出货，这个车您是从哪个口进的？我从这进去的。
[33:39.520] 不是，我咱那是从这进去的，这是出口，应该前面这是出口往前走，前面
[33:45.310] 这书生我在那量了体温，
[33:49.950] 我们俩没开车坐地铁过来的，坐地铁坐三站还是从那口进来，对，就从这口进来的。
[33:57.840] 就走是吧？
[33:59.320] 不是在远大陆的道路。
[34:02.180] 这对。
[34:04.730] 这一提示我再加上乘乘用车，
[34:07.360] 好几辆车，
[34:09.790] 咱们彻底我也不着急，慢慢
[34:11.830] 开得不错，比我想象的好，还得
[34:14.440] 我以为你又在那迈腾的时候不敢开，找不着差距太大了，跟我们原来菲亚特跟迈腾差距太大了。
[34:21.710] 这会开过mic以后，我觉得销售你看这个车没问题，
[34:27.340] 而且高低什么的都没问题，上下班行了，还有两年开两年退休也得开车上下班，
[34:33.550] 我就出去玩了是吧？
[34:35.990] 也磨合差不多的这车
[34:38.360] 以后完了有什么。
[34:40.930] 不熟悉车况，可能这随时都可以问，夏天也都咱们东北人，
[34:48.840] 这也东北人。
[34:50.540] 我辽宁的。
[34:52.520] 不过他来北京已经30年
[34:55.110] 了，商人多年是吧？
[34:57.200] 我来北京三年了，
[35:00.180] 喜欢北京吗？
[35:01.920] 压力挺大。
[35:03.160] 哪都有压力。
[35:04.900] 就东北没什么东北人口外流，但是。
[35:07.920] 东北不挣钱不挣钱，人口的外流，黑龙江人都跑光了了，不需要了吧不行。
[35:13.370] 像你这壮劳力在黑龙江这都是前边右转第一个路口。
[35:20.090] 第一个路口右转这强险，
[35:22.180] 好多大学同学都你要是现在还在家里就完了，
[35:27.230] 在家里窝着你就没什么发展，你还得出来为什么不建设黑龙江？
[35:32.440] 他还是对他一个是国家的政策，
[35:37.150] 对于东北的政策的制定上沈阳也不行，还有一个关键的对，你看东三省
[35:42.700] 发展的都不好，咱就说最开始解放的时候，那时候你不能那么比了，
[35:49.670] 慢慢先把车停好，然后怎么走着走，就等到咱们沃尔沃门口还是门市这停下车行吗？
[35:57.510] 行。
[35:58.410] 就量主要是反左右反光镜。
[36:05.680] 这车他按静音性行给油的时候没有那么还是这里是吧？我看一下。
[36:11.060] 没车对，还是前面这人怎么解决到那里得到了。
[36:16.330] 得到。
[36:19.550] 到车上看看怎么着。
[36:22.720] 看到了对。
[36:25.160] 看到。
[36:42.960] 可以看这个。
[36:45.740] 我没看我就看的是。
[36:47.890] 我看的是两边反光镜，谁知没事再往前上的。
[36:54.240] 行，就这样一下，我来看看好了行了吗？烦你还可以。
[36:59.480] 都没看，看着两边反光镜，你还可以看着以后看现在宽着这边是我这本杂志没。
[37:09.040] 没问题的，喜欢什么喜欢往回拧，不含橡胶，
[37:14.490] 对吧？
[37:17.720] 没什么，你今天表现太好了，比我想象的
[37:21.890] 我就是没戏，他现在我忘了刚才王提醒。
[37:26.620] 不是我开车，我还记我老弄一插片，然后这老先生一上车他就把照片给我拔了，还是应该去尝试。
[37:34.030] 尤其倒车，你的比我想象的好手册就拿到手上看一下，
[37:38.790] 我好像到了还应该再往后倒一点，没有一个第一我但是
[37:43.430] 我来着这样停车野外是吧？因为他不是说咱们听到yy往前看是直的，这车电话都快坐车，
[37:52.970] 你要注意。
[37:54.530] 也就是第一看他这个车位，他是往这边行的，车位是往这边钱，对他不是直到后面。
[38:01.430] 还行也在线。
[38:03.060] 所以在现在你比我想象的话，
[38:07.220] 案例
[38:08.480] 我对你有信心。
[38:10.110] 魅力，谢谢，其实还是黑的好，不要这傻还要黑的，所以的看着还是说比较大气，做也比较多，
[38:18.440] 而且更沉稳一点。
[38:20.990] 像我们这个年纪就不要再挑颜色，他看看D颜色也有好几种是吧？看看黑的，现在玛瑙黑是清醒的，并且的话比较硬，他的话不像白漆这种，
[38:37.580] 这个是什么7？
[38:39.730] 这个就是玛瑙配金属基础契合，因为咱们从外面的话，本身今天阳光那种阳光，而且收过来，
[38:48.830] 这跟我刚才试驾颜色一样的，其实目前还可以金属系统和
[38:55.410] 行。
[38:56.200] 您坐我给你倒杯水来。
[38:59.440] 我想上班就到门口，首先跟他聊，
[39:04.120] 我到门口专门
[39:06.500] 我给先到位是不用了，你行。
[39:11.160] 你现在坐着我跟他抽烟。
[39:15.520] 行，你这全开的还真不错，
[39:17.740] 你比我想象的好。
[39:19.900] 不错挺好看，看看我看的挺溜。
[39:23.530] 非常好看是吧？
[39:25.320] 这辆
[39:26.440] 你高是吧？
[39:28.750] 不行你要先再垫个垫。
[39:31.640] 别挤，我觉得你头上还有1000多距离，就头顶，
[39:36.490] 你坐在上面我看看到哪，我做的也可以坐上我看看到哪。
[40:15.870] 用钱折还有两米。
[40:17.450] 你说现在我跟前车还有三米，
[40:21.090] 你不用老看车头应该没事，刚才我看从咱们这个路口，刚才您说有个车，
[40:26.620] 就说刚才其实离前车就进了距离，我觉得把时代还挺不错的
[40:32.030] 的。
[40:35.880] 我觉得这车里还是有点儿没法儿跟着，你您好，皮子话应该是你要说是甲醛含量这些，我们这个车做的非常不错。
[40:46.730] 进口车你就放心，我们同事买了一辆，那时候买的是国产的，
[40:52.800] 然后我坐在他那车里面我都头疼，
