[00:00.000] 今晚上到3点了，整个一个停车检查，然后第二个我想收集一下我的电脑，
[03:59.780] 对，我没法说事，我明天拍个照片发到厂家了，搁一天明天取车吗？还是后天去估计得？
[04:06.370] 后背后天的。
[04:08.350] 我这里要不懂，这两天消化消化再来这么多车太多，这两天一百五六十台，
[04:16.190] 保养排队。
[04:19.360] 什么情况的？
[04:21.750] 我从来没有见过在你这儿修搞得也不觉得这么麻烦。
[04:28.430] 你要看我确实想说你就放着明天晚上，
[04:31.860] 您看我这单子这些还没出来，
[04:34.640] 这店能开了你看
[04:37.440] 都没出来了。
[04:38.920] 双方市场这个样子的不？
[04:41.360] 确实车比较多的，如果周三我。
[04:47.110] 明天给。
[04:48.250] 预约部门打电话就行，你说我周三我现场不要过日子，
[04:51.720] 现场预约的话也是让他们给打电话。
[04:54.480] 您约公元打电话。
[04:56.530] 这是售后的部门在楼上给他们打电话，好谢谢您，没事慢点。
[05:02.380] 太吓人了，你一说完。
[05:05.800] 100多台
[05:08.260] 坐在
[05:09.320] 的。
[05:24.410] 场
[05:31.590] 的
[05:33.350] 的
[05:35.850] 的
[05:39.420] 的
[05:46.750] 数据
[05:49.040] 远。
[05:51.950] 的
[05:55.460] 坏、
[05:57.420] 坏、数据、
[06:03.680] 场
[06:05.870] 场
[06:07.450] 场
[06:14.470] 五
[06:18.570] 数据
[06:22.760] 的
[06:27.080] 场
[06:29.180] 场、场、
[06:35.850] 场
[06:41.420] 的
[06:46.950] 场
[06:51.280] 远
[07:01.280] 张姐您好，百得利奔驰。
[07:04.220] 然后您那车发动机灯亮查出来了，
[07:08.830] 是空气流量计和碳罐电磁阀坏了。
[07:13.920] 三。
[07:15.730] 空气流量传感器，
[07:17.500] 测量空气的。
[07:21.370] 还有一个畅快电磁板。
[07:25.820] 对，要。
[07:29.920] 我给您看一下。
[07:34.630] 说。
[07:36.150] 的。
[07:40.260] 场。
[07:41.000] 的
[07:42.780] 的
[07:46.750] 三。
[07:48.110] 7000多。
[07:49.960] 对。
[07:53.810] 什么时候听完，这个得给您定见。
[07:59.230] 了。
[08:02.560] 这种东西都是不是常备的店有库存有
[08:07.570] 有。
[08:11.650] 但是碳罐电磁阀没有得给你定价，你流浪记有。
[08:19.360] 什么病的东西大概多长时间？
[08:24.650] 后天据说。
[08:26.580] 对。
[08:32.380] 电话。
[08:33.320] 然后还有一个问题，就是说您仪表盘上小电瓶也报警了也。
[08:39.130] 对，我知道那个是700那是750块钱，那倒不会。
[08:45.540] 要天天那么抱着。
[08:49.090] 那没啥，就把那两个给您换了。
[08:53.310] 换了。
[08:56.240] 时间长的话对发动机有影响，
[08:59.160] 完了就把这两给您换了。
[09:03.050] 好勒，再见。
[09:09.830] 人。
[09:11.970] 选。
[09:24.200] 数据、
[09:28.080] 数据、
[09:29.550] 数据
[09:31.190] 数据
[09:36.690] 的
[09:44.680] 远
[09:48.330] 五
[09:51.130] 的
[09:54.760] 数据。
[09:57.960] 坏数据坏了。
[10:03.490] 行业。
[10:15.450] 焕吗？
