[00:00.000] 深证好勒。
[06:55.070] 他当时就是挣钱，对，他现在要还报的话，可能是有一些零配件的需要更换了。
[07:01.430] 对，不是说暂时储存在您电脑里边的了。
[07:10.230] 反光板的话就这么呆着，只能待在下，咱照相时还得照，然后。
[07:16.900] 行，您看
[07:21.440] 这次咱们就把右后门跟咱们的右后叶子板
[07:25.140] 给您这2块7给您去重新分，好。
[07:29.150] 陈老师来了。
[07:31.420] 我看的来了一会我跟他说一声。
[07:34.490] 您没问题，
[07:40.850] 咱
[07:42.680] 方便。
[07:45.030] 离您近的话肯定就会方便了。
[07:47.560] 对。
[07:54.300] 假期还是要靠着他一起走了，说跟他姐一块去弄干别的去了。
[08:01.970] 好像弄了一个家政的清洁什么的，就是这么一个也不在你不能骑车了，
[08:07.430] 不斗气车了，我说可惜了的了，这么多年，好真是可惜了了。
[08:12.170] 如果他随时都想出来，随时都能回来，对。
[08:16.970] 讲一下，对。
[08:19.620] 对，我这边2块7今天是周四，预计的话快的话周日就能交车了，但是我不知道陈亮那边会不会检查伸长一点，
[08:28.230] 因为我这边分期税的话，3~4天的时间就能完事了，到时我再给您去电话，咱们再电话沟通了。
[08:34.930] 老人星期天正好没问题，星期一没有问题，我这边给您订到周六的上午，这样的话车间是了一块，它能抓几天去弄，
[08:44.170] 这样的话就不会说太耽误点之后的时间了。
[08:48.390] 后边有点对我给后边留点余量，在检查那个的话，假如周日咱能取车的不是最好了吗？
[08:59.960] D咱跟您说得隔多长时间了，得隔一阵再定了，对。
[09:05.920] 赶紧。
[09:08.060] 最高上单位对。
[09:12.610] 以后再说行没问题，这次的话是不是也能使用，该不是假的吗？应该您之前的上了，对不能。
[09:19.560] 时尚，然后
[09:21.060] 就在等等了，因为有人带钱我就说行。
[09:25.280] 行行对，一直都进去，这车一直都是我小孩。
[09:30.680] 小剐小蹭的比较多一点，我看你有钢圈那不也刮刮得那什么了吗？
[09:35.790] 到时候注意一下，因为夏天的话就注意一下胎压，
[09:39.230] 还是第一的胎压。
[09:41.750] 车辆正好
[09:47.050] 这一听这声就来了。
[10:02.360] 咱俩之间。
[10:03.360] 不料不是还是在一直这边的。
[10:10.060] 完了那边警察
[10:12.240] 流进硫醇。
[10:16.000] 对
[10:17.880] 的。
[10:20.080] 那边都是请来。
[10:23.200] 好了，对赵老师我两个飞机你还是发动机灯亮，
[10:27.360] 看看是B蒸汽还是养生电器，还有什么东西，采茶的都是干啥了，你开个单子给
[10:33.800] 能我先他猛没有天让你看，真的你扔给我把车开走就行，发我发给你一个称号，食堂。
[10:40.950] 发个截屏就是。
[10:42.840] 行行，待会开个单子。
[10:45.920] 没问题，什么问题了，没有来看看。
[10:56.720] 这边就是车太多了，不像那边直接能查啥。
[11:01.300] 关键就是地理位置决定了这边是包子是吧？一是方便，二周围没有
[11:07.650] 其他4S店了，就对现在西边最大的
[11:13.240] 可能都比较集中了，只能这么做了，都比较集中了。
[11:17.050] 已经有的。
[11:19.200] 好像有这不
[11:22.500] 这边有一个也许这边有一个叫什么来着金什么的，
[11:29.600] 都往外搬了都。
[11:33.130] 现在老板还
[11:37.330] 原来这边人四星不全是4S店也全都关了。
[11:42.880] 不让弄了，
[11:45.200] 基本上都往外迁了。
[11:48.310] 环保现在不是也严，
[11:53.380] 就让你给我讲在这吃个饭，中午不吃了，我弄完了。
[11:57.140] 我这近我就直接删了，行了我帮您看看，然后把
[12:01.920] OK这样的话一传完之后，我这边可能就直接给您干活了。
[12:06.090] 了回去都行。
[12:09.890] 稍等，给您登个记完事。
[12:47.720] 这屏幕上您帮我签个字。
[12:50.170] 那就是给他摆正一下它就出来
[12:53.650] 了，那帮弄一下。
[12:55.530] 出来了吗？好，先生三个字的。
[13:03.280] 好勒。
[13:41.530] 咱们给您一份咱们汽车
[13:44.440] 有什么事到时电话我们都可以了。
[13:47.590] 这边的话一会我把这个单子给他，让咱们给您开个检查项目，
[13:51.590] 到时候直接给他开工干活了就好了。
[13:54.140] 对检查一下，行，要是我收了好了行好勒，那时候讲慢点。
[14:13.840] 客户
[14:15.400] 场
[14:17.880] 了
[15:23.170] 接着
[15:27.000] 平安的
[17:22.720] 远。
[18:18.370] 吗
[18:24.490] 回来了吗？
[18:28.140] 看看慢慢看车去了，阿里去看车去了。
[18:32.990] 应该好了。
[18:45.180] 的
[18:53.660] 花。
[19:10.090] 数据
[19:19.950] 了。
[19:20.760] 谁给你打电话？
[19:24.190] 话
[19:29.590] 数据。
[19:40.080] 数据。
[19:43.700] 数据、
[19:47.630] 以前
[19:59.770] 数据
[20:00.710] 场、
[20:39.170] 完了
[20:41.510] 做完了
[20:43.000] 场
[20:46.280] 数据。
