[00:00.000] 现在首次李先生是吧？
[04:59.560] 迎接来也可以，单独熬下去，这样都可以，下边是可以的，没有备胎都没备胎，奔驰都没有备胎。
[05:07.670] 个别车型是防爆轮胎，然后不是泡沫了，你看咱们所有的车型都是有梅赛德斯me互联功能。
[05:14.090] 有
[05:16.400] 不能行使或者说遇到一些渣态的故障都可以直接免费进行救援，对，这都是咱们的一个特点。
[05:23.410] 内饰颜色的话这个是黑色的，除了这个颜色还有。
[05:26.620] 五色外观颜色就比较多一些，白色、黑色、蓝色、
[05:30.890] 对，灰色。
[05:31.930] 后听的话都是皮革样板和气脉强盗时候都可以实际参考一下。
[05:35.920] 对。
[05:36.920] 然后你。
[05:38.080] 以可用手机给我算，你也可以用手机扫一下二维码，手机上都有一个它的电子车。
[05:44.510] 因为这个车刚上新的小白款，
[05:46.860] 没有纸质的车舒服。
[05:48.330] 对这边来。
[05:51.410] 其他配置方面还有什么疑问吗？
[05:55.560] 基本上没什么疑问了。
[05:57.060] 试驾过程这个车咱们也提供试驾，
[05:59.720] 要扫
[06:05.640] 用微信扫一扫就可以。
[06:12.450] 您说。
[06:15.260] 对。
[06:22.730] 您说。
[06:24.530] Gl C是吧？
[06:26.140] 我知道您说。
[06:32.510] 准备全款买。
[06:34.810] 为什么不考虑分期乐呢？
[06:38.650] 也就是在
[06:43.930] 三。
[06:45.490] 还款卡是吧？还款卡是四大银行都可以是确定就不用分期了吗还是怎么着？
[06:53.540] 行你说。
[06:57.840] 行行我跟金融说一下。
[07:00.370] 好勒。
[07:03.040] 不用，最后咱等于就直接不做分析了，就直接签署全款协议就行
[07:10.100] 了。
[07:12.640] 这个没什么说法。
[07:14.920] 这个没事，只不过说白了我们推荐分析，如果您觉得比如说有别的原因造成说我不太想分析，那就直接成完了，只是作为一个推荐，因为它利率各方面还算合适。
[07:37.400] 知道吧？行行没关系，我到时跟经理说一声。
[07:41.360] 好勒。
[07:43.190] 还有吗？
[07:52.170] 其他配置方面没又包括武断的问题。
[07:55.640] 你做的。
[07:57.000] 实际上我们这车提供有试驾，你给您安排试驾吗？不是，咱们也可以约上下列下面
[08:07.830] 价格。
[08:17.340] 车
[08:19.440] 最低能给我多少钱，我给您列一下。
[08:23.450] 保险。
[08:26.170] 您是用那part置换吗？我有一个青苗的现成的指标，
[08:31.960] 谁知
[09:49.990] 那叫什么运动？
[09:51.320] 动感情的。
[09:53.380] 考虑分期吗？还是全款？
[09:57.160] 分期怎么
[09:59.690] 分期首付20%起都可以，我给您大致地列一个，然后您看一下你
[10:06.210] 你给我弄5/100解决很多10%可以。
[10:21.230] 你这分期
[10:22.760] 利息是多少？
[10:24.240] 我给您列出来一块。
[11:06.350] 没有这块是吗？
[11:09.330] 你们要拿车置换，那个车也能在这儿。
[11:13.610] 因为你拿着置换的话，然后它会有一个额外的置换补贴，
[11:18.470] 我要拿着出租车这样还有工作见。
[11:21.900] 对。
[11:24.310] 也有收也能收车是吧？也能收车。
[11:29.520] 指标是在同一个人名下吗？
[11:31.640] 如果不是我的，那就不算置换。
[11:35.700] 那就不算置换是吧？
[11:41.130] 因为得一个指标人为准。
[13:35.000] 报价之前还是服务公约，在4个0先讲那边先麻烦，
[13:38.960] 对客户为官一地相待，诚信经营、合法得体，明码标价、公开透明配件渠道进行中信，
[13:44.970] 绝不捆绑销售，强制消费，绝不使用假假隐私，生产下为咱们监督电话4008818813一天都。
[13:52.800] 然后报价单的话咱们。
[13:54.530] 用的都是奔驰全国统一。
[13:55.830] 标准报价单，然后所有的价格都出版社都有相应公式，
[13:59.470] 也都开具正式的发票，我简单给您说一下，我们快速了解一下。
[14:03.720] 给您算的这款是GOB200的动感，厂方指导价是318,800，用完了之后是268,800，
[14:11.550] 就是优惠了5万的现金。
[14:13.350] 对，然后购置税大概差不多在23,700，验车2500，保险大概在1万左右，已经实际上的为准。
[14:21.140] 这样的话总共累加起来是30万跟5000，
[14:24.260] 305,000，然后这有一个最优的方案，就是首付18期的，
[14:29.060] 首付一半带一半18期，每月就只用还110块钱，
[14:35.090] 110块钱最后带的尾款咱们相当于待了13，首付134,000，贷了134,000。
[14:42.230] 这134,000最后在第18期的时候再一次循环，
[14:46.140] 这样的话首付合计是177,000一年半，对，相当于17万这车直接开回家，
[14:53.040] 然后每月还110块钱，总共18期18期您总共多还了
[14:59.400] 2000块钱。
[15:00.660] 1995块8毛4，总共都花了这么多钱。
[15:04.080] 分期跟全款
[15:05.900] 总共10差就差这么多钱，
[15:09.170] 全款30万，
[15:10.790] 分期多花了2000块钱，
[15:12.800] 都得休息。
[15:15.270] 所以说分期还是相对划算的，方案是现在最优的一个方案，利率相对是最低的，宝马的
[15:22.310] 是吧？
[15:23.110] 什么宝马也弄了，
[15:29.320] 我根本就端
[15:31.630] 了对。
[15:32.880] 对，大概报价这方面还有什么疑问都想明白了吗？1万是吧？基本上没什么疑问，下面有一个二维码的话也可以对他。
[15:41.370] 包括公约做一个有序。
[15:42.380] 要监督
[15:44.090] 考虑今天定下来吗？
[15:46.410] 我可以回去还得再对比一下，看看没关系。
[15:51.500] 其他方面还有。
[15:52.760] 什么疑问顾虑吗？
[15:58.000] 其他哪方面看还有需要帮您解答的？
[16:01.130] 这款全办齐45。
[16:13.010] 那是一系列。
[16:37.330] 差不多的。
[16:41.810] 260是1.51.5T+48伏电机，
[16:48.020] 正常明后天的话利息也会有回访，到时您简单接听一下。
[16:52.300] 最佳联系时间一般什么时间不打扰你那地方？
[16:55.840] 平时都可以。
[16:57.580] 在家里放电话，
[17:01.650] 谁知
[17:11.950] 我哥他说429,800，如果之后我大概差不多在37块钱，
[17:20.070] 的
[17:39.120] 这空间就大一些，
[17:40.520] 也算是一个商务车。
[17:43.270] 大问题，
[17:54.990] 所以不再重复。
[17:57.250] 只是打孔座椅。
[17:59.450] 对打孔这里面。
[18:46.800] 确实还是现在比较火的用途，
[18:49.160] 就是一个最新款的设计。
[19:09.920] 46个。
[19:23.080] 很多。
[19:49.710] 其他车型还是都在您给您介绍一下吗？您先随便看看。
[19:54.050] 你先这个看看有什么需要的话得随时喊我。
[19:58.850] 发现这就是你说。
[20:05.050] 行，感谢光明。
[20:22.610] 这么快把
[21:07.960] 不让咱们
[21:09.360] 因为你们
[21:10.890] 都干了。
[21:12.560] 都不太。
[21:16.830] 都想的那种。
[21:18.510] 建行比较方便。
[21:23.250] 他俩晚上说出去实际事情，
[21:26.340] 然后咱们就不用去了，然后
[21:28.880] 可以说
[21:42.370] 张校
[21:44.100] 摸不着。
[21:54.290] 账号再发电话。
[21:58.730] 吴鹏出来
[22:00.660] 默认问我半天，后来未来
[22:04.560] 的
[22:13.880] 介绍
