[00:00.000] 火力。
[05:54.370] 打算是mao患，
[05:56.310] 打算什么换，我们现在等这套流程捋顺了换。
[06:01.120] 他那好拿过来先把我公司那车买了，买完之后我那号出来了，我就买这车
[06:08.100] 了，这个流程铁块对吧？然后正儿八经要开始办的，有一个星期就完事了。
[06:13.870] 对，你要300块办一下，但我那不是还有一个涉及一个
[06:17.190] 公司回款，还有银行怎么导师，这是对贷款有没有什么条件，他属于个人消费贷是吧？
[06:25.830] 您是用的用您自己个人名义带来的，我公司现在我自己的房产有抵押，
[06:32.790] 我在银行我们做经营用的贷款，
[06:36.570] 完了以后他的公积金也是贷着款，
[06:40.030] 所以我其实也想主要问问
[06:42.800] 我们那些贷款跟买车贷款有冲突有冲突，负债比较高相当于是。
[06:48.900] 对，反正有两笔都在贷着款，大概接多少钱？
[06:53.250] 银行现在
[06:54.860] 就拿到手里的钱是吧？
[06:56.880] 您现在负债手里经营的。
[07:01.750] 我们那房子当年也是贷款的，现在应该还有10来万。
[07:05.660] 公司那边银行能可数的大点收入七八十万，也就这样了，应该问题不大。
[07:11.570] 问题了肯定出来。
[07:14.290] 不知道
[07:15.960] 他一般拿什么贷款的？
[07:18.440] 拿我个人名义。
[07:20.210] 谁的谁带都行，我带着公司，我老怕他会跟是串一块说。
[07:24.950] 你明白我的意思，我知道我的意思是不是？
[07:28.460] 比如说跟公司他的贷款拿他的什么代可以没问题可以现在都按什么带？
[07:36.890] 咱们贲总咱们奔驰的贷款是分了银行贷款，然后咱们奔驰自己金融贷款，
[07:44.060] 自己的两种是吧？
[07:45.960] 你像一般的客户，比如说
[07:48.900] 咱们贷款流向，我刚才刚给我发微信，说我这个车通过我的客户的分期，通过刚发的，
[07:56.580] 这不是11:39刚发的，
[07:59.680] 提供一身份证就行。
[08:01.460] 这就他查一下。
[08:04.760] 真信谁知。
[08:07.680] 就这么简单，其实挺简单
[08:10.280] 的。
[08:14.270] 都是
[08:15.890] 这种SUV的话，除了这个车还有市里边是不是还有比如说预算就40多40多万，还有一lc在里面。
[08:23.620] 带您看一眼。
[08:28.320] 这个是叫肩痹。
[08:30.210] 对于哪方面要求高，比如说动力配置方面之类的。
[08:34.920] 其实我觉得这事儿
[08:36.850] 就是三方向，
[08:38.760] 只能说没太大的要求。
[08:40.660] 其实我
[08:41.480] 觉得这方面根据这整车的价格，谁知
[08:45.860] 对区别
[08:47.130] 这个世界MC
[08:49.450] 这个是指导价393,8004800，对优惠完了373,800。
[08:55.370] 40万左右这对。
[08:57.310] 稍微贵点，这80多了。
[08:59.900] 乐坏了多大？
[09:01.210] 交易。
[09:02.690] 一般现在北京家庭的就是说门口对这辆车会卖稍微居多一些，尤其车大街上开得尽这车
[09:13.100] 达标，
[09:14.080] 看好几个lc角C
[09:17.490] 问一下，
[09:21.880] 您点开水牌就能看到。
[09:25.370] 对。
[09:36.250] 把
[09:38.030] 数据
[09:44.770] 数据。
[09:46.840] 对。
[09:47.870] 20多万。
[09:48.920] 三天。
[09:49.960] 对这车A180的本来就便宜。
[10:00.430] 是这个原因，就是
[10:07.160] 这车跟那车什么区别？发动机电箱就不一样，这是2.0TO那个是1.3347度双离合这边
[10:15.850] 不太一样，那车的里头好像感觉比较稍微时尚，对，也是信赖的一个屏幕了。
[10:23.900] 您的孩子觉得那里的判断好看一点，他就吸引年轻点的
[10:30.350] 两这车那边还有孩子，那车卖了比较对不对？
[10:35.630] 这种的比较平时咱们就是这么
[10:40.400] 对大部分时期对偶然出去玩玩也免不了，对这两车都不行都还行，这车就
[10:49.310] 发动机肯定会大点2.0，T的发动机2.0的，然后那个是1.33G冰箱这是9数的7度装修和辩解。
[10:58.310] 缅甸矿区
[10:59.420] 疗程方式都一样，
[11:00.940] 贷款不一样，贷款方式就首付30%起，然后
[11:07.600] 利息比稍微高一点。
[11:10.880] 这合下来二点多的利率，为什么两个车的贷款方式还不一样，不是两个车，咱奔驰所有车型贷款方式都不一样，
[11:18.570] 每个车型都不一样，车都不一样，你要这个车就只能走银行，
[11:24.510] 车型都不一样。
[11:26.870] 那车型不一样，贷款方式跟价格有关系，跟车型有关系。
[11:32.350] 为什么贷款对跟贷款跟车型有关系？
[11:35.880] 不一样。
[11:39.650] 像利率的时候相对来说在奔驰里面算比较低的例子，比如说那种方式，
[11:45.390] 这种对里面有
[11:47.160] 什么东西？
[11:49.400] 彩页的。
[11:50.640] 您看哪个车了？
[11:52.330] 我稍微拿一下，现在不太好找。
[11:57.190] 对，您可以用手机扫描一下上面的二维码，扫描那时候用手机就能看了。
[12:04.010] 现在好多都电子版。
[12:10.180] 他扫描完了以后，全奔驰全系车型就都能拍。
[12:23.470] 扫描完了收藏家到时候回家看，就知道奔驰全系车型都能挑，都能挑选了。
[12:30.370] 全系车型奔驰
[12:34.000] 收藏完了以后就回家看一下，要不然退出就没了。
[12:37.670] 其实我现在心里头买的车有三个方向，第一个就是冷着
[12:44.300] 孩子三次方的这车，另外一个就是
[12:48.550] 好像还是差三宝马川三，完了就是Q
[12:51.870] 他Q我现在不是降价的多吗？
[12:54.880] 就是说一降价到这儿，你觉得就变的品牌力有点下降了，所以Q5现在
[13:01.210] 待会一边又傲迪也得看一眼，但是其实我心里头偏向于可能它都已经就满足了
[13:07.250] 了，因为他一下来价格就开始留下，
[13:09.990] 它是减配了好多东西，最主要的点比如说你的四驱系统。
[13:15.520] 对，就是简配好几个变速箱也减配，
[13:18.300] 得要提减配了点东西了，再下去没啥意思，他以前是奥迪的四驱系统，以前跟ps cc系统都是一样的，全时四驱，后来他变成那种电子乐分10次去了，限滑能力都不够，
[13:32.470] 没什么用。
[13:34.010] 然后以前变速箱
[13:35.850] 奥迪烧机油的车您应该都知道对吧？
[13:39.090] 烧机油的车一般百分之八九十都是7速双离合的变速箱，手机有以前奥迪Q5很少会有听说过烧机油，因为它是冰箱用的是
[13:49.090] 在加固8速的变色，现在它把变速箱剪拍了也换成7速双离合变速箱，
[13:54.670] 各方面的配置都下降了一点，它核心的东西简派乐见，
[13:59.980] 所以他不能便宜，对。
[14:01.810] 现在奥迪不是您在网上应该能看到销量排行榜，你知道吧？都能看第一吧？
[14:06.960] 奥迪客户对，因为他便宜了。
[14:09.600] 没有吧？
[14:11.750] 我不知道是今年去年的波说了一下，说现在
[14:15.300] 就是说我那客户昨天过来定在教C的时候，因为我没关注这销量发码，昨天客户跟我说的
[14:23.920] 搜出来一看奥迪下滑落挺多，
[14:27.130] 他划了挺多，但是他在排行上有可能在前面，因为他一下降价，你现在奥迪
[14:34.160] 最普通的标配Q5才21 31万我知道，但是现在你想他这过去原来是买二
[14:41.990] 124万加28万的车就1.2米，所以散了，
[14:47.520] 它的整体销量都下滑了，但他现在谈多少应该平反评价说
[14:52.860] 奥迪就靠降低价格，
[14:55.760] 占市场当然你也能走多远，
[14:57.860] 这样
[15:00.180] 其实他原来的如果不剪的话，其实跟差不多了，就一个的区别是吧？
[15:06.540] 在奥迪卖不过公司，宝马叉切多了，它越增加越不清，对，尤其奥迪你向旁边奥迪4S店，我们一个月卖300多台，
[15:15.410] 那边旁边奥迪他卖70多台，能差多少
[15:19.220] 的？
[15:22.700] 谁知
[15:25.700] 行谢谢，就是一个角C一个G2B基本就这样。
[15:30.870] 对的，差不多三十八九。
[15:34.400] 三十一二。
[15:35.870] 优惠完了20多万，因为289就30万的车车优惠能给您优惠5万，又完了26万多的。
[15:44.530] 26万吨。
[15:46.000] 特合适6万多更对这车
[15:49.390] 这车优惠完了30多万得36。
[15:53.550] 363。
[15:55.070] 30。
[15:56.360] 36。
[15:57.740] 1万。
[15:59.520] 内科的配置跟奥迪客户有什么大区别？一样，发动机变速箱不一样，主要是发动机并不相，其他的东西也常和什么，比如说咱们家里面有车，然后平时上班代步什么的，偶尔带老人出去玩之类都行。
[16:15.560] 因为有7座是吧？对那车有7岁的不要7座，那是5座跟7座两款
[16:22.090] 也挺严格，价格不一样，价格差了1万多年了，到差额并不是特别大。
[16:29.020] 两座。
[16:30.140] 对，就两桌两做的。
[16:32.800] 差两个。
[16:35.230] 你们怎么样？咱们在这儿。
[16:37.460] 你要喜欢哪个车可以给您做个介绍，让您了解一下吗？
[16:41.020] 但是这样其实对于我们来讲，把这几个先看一遍，脑子里头基本上就是这几个车
[16:49.090] 确定一下，因为我们时间还不是特别紧，还是宽松一点，您确定哪个确定这车型可以带您试驾一下，您不是对比着Q5根叉3。
[16:59.870] 对我可以带您把这车试驾去，好歹感觉知道这个车效果。
[17:07.980] 你先看看先转转是吧？
[17:10.210] 行没问题，您后期有什么需求您再过来，小时假随时过来，对，可以随时问咨询叫宝在哪楼上。
[17:18.290] 对没事。
[17:20.300] 二楼。
[17:22.250] 行时间随时过来，到时候明天小时假道曰上午10点之外都行。
[17:26.870] 好，确定哪款车以后也可以给您做一个详细完整的报单，来看看。
[17:33.410] 前期我说一下给您打电话，估计这里头有哪些区别，技术
[17:39.190] 参数性的指标晕了，或者有一些问题没问题，
[17:43.230] 我这边明天得给您做一回访，咱们一般电话短信都方便，没问题，您再打我电话，行，时间方便吗？上午方便一下。
[17:50.270] 可以都选择了。
[17:51.560] 行，您慢了闪光里，拜拜。
[17:57.790] 我这一上午都接的什么客户两两分钟一个。
[18:07.390] 张军。
[18:16.640] 张军、张娟，
[18:24.410] 后天客户
[18:29.430] 三波客户，
[18:36.560] 的
[18:39.120] 谁知
[18:41.520] 的
[18:44.550] 上班上学，
[18:46.320] 希望。
