[00:00.000] 尤其是现在感觉这些东西
[14:35.080] 了
[14:37.620] 两
[14:51.240] 号。
[14:55.180] 远、
[15:00.200] 的
[15:11.410] 走。
[15:16.700] 好
[15:22.740] 了
[15:28.570] 数据
[15:34.550] 号
[15:35.560] 场
[15:37.930] 的。
[15:41.280] 数据。
[15:56.000] 的
[16:13.990] 的
[16:24.090] 的
[16:26.570] 场。
[16:27.720] 场
[16:29.240] 花
[16:30.540] 数据。
[16:35.740] 数据、
[16:42.590] 好
[16:44.430] 好。
[16:49.960] 工作多少？
[16:53.560] 有没有？
[17:01.800] 的
[17:06.760] 家
[17:07.800] 的。
[17:09.270] 三
[17:12.030] 三
[17:13.750] 三
[17:25.500] 数据
[17:28.470] 的
[17:31.090] 的。
[17:36.560] 你现在有了事了吗？
[17:38.050] 数据、
[17:39.970] 数据、
[17:43.210] 数据、
[17:46.130] 数据、
[17:46.940] 数据
[17:48.780] 数据
[17:50.860] 要
[17:55.840] 到
[18:13.770] 的
[18:17.620] 如果把开会
[18:21.710] 相关工作
[18:23.700] 虽然还是开始
[18:28.950] 我就把它
[18:29.840] 跟做支架的
[18:33.110] 然后
[18:34.160] 休息。
[18:35.610] 我在想
[18:42.870] 没有问题。
[18:44.360] 学生
[18:46.720] 数据
[18:51.790] 的
[18:52.540] 数据
[18:58.190] 场
[19:03.290] 坏
[19:05.480] 的
[19:07.520] 数据。
[19:15.350] 好
[19:16.860] 坏
[19:18.680] 的
[20:59.510] 商场
[21:02.090] 做
[21:05.730] 有24。
[21:06.810] 28号。
[21:10.140] 后备箱不是头发波浪条不。
[21:13.290] 你交了是吧？
[21:14.700] 好勒多写东西。
[21:17.510] 好勒。
[21:26.930] 帮我去调度那边看找一个车，看那车交没交。
[21:40.600] 要
[21:42.600] 光电
[21:58.440] 2411
[22:03.170] 吗
[22:09.250] 车牌号？
[22:10.860] 号？
[22:12.960] 又往哪走？
[22:15.090] 刹车。
[22:16.520] 一个大气。
[22:17.770] 倒计时。
[22:24.490] 给。
[22:27.850] 在袁京生。
[22:29.370] 白色认识人家是吧？不是白的绿的，
[22:33.390] 绿的一个备胎，后边没有盖的青M92583。
[22:37.990] 问一下他交没有？
[22:50.940] 一
[22:53.960] 检查
[22:55.840] 不对，
[22:56.850] 一个是
[23:00.300] 副驾驶安全带是吧？
[23:02.680] 好是吧？
[23:03.800] 您直接开走就行了，在那边。
[23:05.890] 循着出门这边弄完了好了。
[23:08.400] 扫不用扫，我这边弄完了直接走就行了。
[23:13.870] 的。
[23:18.960] 来
[23:22.050] 帮我看一下京Q782S3路车出厂了。
[23:27.130] 78
[23:29.050] 782S3。
[23:30.860] 好了，谢谢。
[23:35.530] 检查副司机侧安全带收不回去，
[23:48.090] 检查右后门，
[23:50.810] 开心消共振，
[24:02.400] 检查发现
[24:04.030] 副司机侧安全带收不回去，
[24:07.710] 又厚，
[24:18.640] 右后门
[24:20.380] 营销
[24:21.680] 共振，
[24:28.710] 检查副司机侧
[24:32.430] 安全带收不回去，
[24:35.220] 安全带收不回去，
[24:37.520] 右后门开音箱共振，
[24:54.590] 然后我跟您说一下您这次的保养，
[24:57.920] 3万公里，
[24:59.540] 一个是咱们正常要做A保养ABAB胶T的3万公里是A
[25:04.940] 然后还有一个就是您的刚才检查一下您水箱冷凝器太脏了，需要清一下，
[25:10.930] 然后您的后刹车片什么报警什么来换就行了。
[25:14.310] 然后刹车片
[25:15.860] 稍有点薄，什么报警什么再换就行。
[25:22.690] 天窗的情节，
[25:24.880] 现在我们电视提供保养套餐的就跟您去年买保险送达
[25:31.870] 有吗？
[25:32.830] 有纸有吗？
[25:34.710] 就这么一张A4纸上面写着A保一次保养你们应该有底，没有底，保险人保险公司的跟4S店没关系，它只是保险公司跟4S店合作，
[25:44.720] 我问保险公司保险对您把纸拿过来，我给你冲进去就能抵一次A保。
[25:56.470] 还有您这车的刹车油是需要换的，您的车生产日期是18年的5月28号。
[26:01.310] 上周是每两年一换，
[26:03.370] 更换刹车油就行。
[26:05.200] 然后您去待会去保险公司那边，你知道先吃饭去。
[26:09.660] 我刚才回去上班了，您就问保险公司那边把纸条的时候给你的情况下，
[26:16.160] 我现在取出来给你取之前也行，行，我先给你做。
[26:21.650] 你给你坐着。
[26:23.410] 除了A宝这次需要负担的是1486块钱里边什么东西？
[26:27.760] 里边你的刹车油，
[26:29.850] 还有一个是
[26:31.440] 前边的发动机的线路养护，包括你水箱冷凝器电子扇的情节，还有一个田川的存清洁润滑。
[26:37.470] 运用了这些我都自己做。
[26:39.100] 哪个不要了，这些我都不用刹车也不换是吧？行。
[26:46.190] 快乐。
[26:47.720] A宝友圈免费没圈是1200 1128。
[27:06.840] 建议更换刹车油。
[27:09.630] 一清洗水箱冷凝器。
[27:32.250] 谁
[27:36.510] 怎么样？
[27:37.540] 烧焦了是吧？行。
[27:42.180] 02。
[27:43.920] 1103。
[27:45.800] 然后取车时间待定。
[27:47.710] 因为明天去不了你这检查你
[27:52.680] 我估计
[27:54.480] 五
[27:56.950] 换周日。
[27:59.770] 快了也得周日。
[28:01.650] 我打电话提前约了好几。
[28:06.260] 天我问是不是第二天能取。
[28:08.220] 我才卡是周五来的，您。
[28:11.370] 眼针器应该能取，但是你还是其他检查。
[28:13.620] 其他的收钱的我当时都跟他说了，我包括保养跟他说了，
[28:17.540] 是吗？等我问问宝石我问一次，所有的都说完以后，因为当时说这个东西可能打扫来，如果只是一个节目是的话打倒了拿掉争取，如果有乱七八糟别的东西肯定是第二取，再明天看过吗？就争取吧，别看看吧，你给我个准号。
[28:35.470] OK。
[28:42.010] 我这减震器召回约的还有一个show。
[28:47.880] 雅一想休息一想和一个。
[28:51.350] 安全带回不去，什么时候能交车？
[28:56.490] 的
[28:59.630] 这一个车
[29:02.050] 13点。
[29:05.090] 十几天。
[29:06.070] 三四天，你们三个人三
[29:10.860] 这是约过来的，预约那边跟人说明天晚上就能完事，
[29:15.780] 死了得了。
[29:17.760] 玩不了车间这边玩不了快乐，我跟你说快了也得。
[29:22.680] 周日
[29:25.040] 你们客服约的时候这张嘴就来有时间
[29:32.500] 客服电话多少？
[29:38.710] 三
[29:42.500] 的
[29:49.570] 的
[29:50.600] 待会
[29:53.270] 的。
[29:58.830] 谢谢往下。
[30:02.790] 个我这一车市看看是谁约的，精EFZ17。
[30:11.740] 什么？
[30:13.370] 夏明。
[30:16.250] 过去。
[30:19.690] 听EFG170
[30:27.660] 约了一个减震器和。
[30:29.890] 保养还有一个音响有问题，
[30:32.070] 然后
[30:34.770] 还有一个是什么？安全带年代收回去，
[30:38.250] 这跟人说明天下午能取出，现在共出不来。
[30:42.460] 不是我说的是你们的
[30:45.400] 来。
[30:49.360] 马
[31:04.320] 前面30多个牌子，
[31:08.590] 句。
[31:12.760] 首先车主号你们那边车间出不来三天，
[31:22.780] 车间直接跟我说。
[31:25.320] 对。
[31:35.070] 对，现在是这样，除了保养以外，所有的维修都是三四天。
[31:39.380] 对。
[31:42.230] 下午
[31:45.960] 好了。
[31:47.000] Bye bye。
[31:47.700] 你出不来。
[31:50.970] 您看您时间这大哥的车好几天了，5天了4天了。
[31:55.800] 比如说看时间上，包括营销跟安全带，那时候是我去年来的，甭管您去年因为之前不是我接的，这次音响和安全站是这次我一下都给你解决了。
[32:09.300] 因为现在你音响不是音响的问题，是你后门有共振的问题。
[32:13.600] 可能是里边什么卡子松了。
[32:15.680] 您看时间要不然。
[32:18.300] 应该是
[32:23.180] 这些我先给您做着，然后什么时候取车我给你打电话。
[32:27.680] 还是没负担。
[32:29.660] 对，因为检查现在真没谱。
[32:31.730] 你刚才给调度打电话，下午
[32:33.660] 不管了您。
[32:37.530] 您相不弄了？
[32:38.970] 安全带也不弄了。
[32:40.360] 不安全我也拍了一年的音箱，安全带是一个是。
[32:43.820] 都是这样。
[32:48.200] 是不是检验今天就能水减震。
[32:50.850] 取不了简直也许不来一个事儿就是一个试试三个月时间，两个是也三个月时间。
[32:57.890] 我因为是给一个技师，我问你你们当时客户打电话时候是以什么来分步骤来的保证时间吗？因为当时客服打电话不知道现在车间的现在状况，刚才我打电话说头头昨天从昨天的时候，
[33:14.440] 中间隔了差不多半个月，因为现在车间车太多没办法，
[33:18.380] 我不能保证您的取车时间这一块，
[33:21.070] 是把客人约定好时间，我们耽误时间他给你反馈，然后这个时间首先是这样，可以说你们政府来说，你要说A宝，A宝当时就能让你去。
[33:30.030] 比方说A。
[33:32.120] A宝我下午现在几点了？
[33:34.250] 12:46。
[33:35.800] 我2:30就上班去。
[33:38.570] 您看反正时间现在就这么一情况，我也没办法，我只是把您接车接进去。
[33:44.420] 给车间技师、
[33:49.010] 一个是减震器，一个保养，一个是您这俩毛病。
[33:58.520] 不是它放这一下子给解决了吧。
[34:01.400] 完你再解决。
[34:02.820] 因为我经常接了半个月了，我月时间我就。
[34:06.020] 把这个结果上后来折腾你知道吗？然后我看着我周日。
[34:09.750] 或者是你要是。
[34:11.980] 你懒得来，我给你送回去不知道了，来个问题我爸去时间，比如说刚才干嘛把我随时打断，
[34:18.470] 现在没有办法去保证这时间干嘛，
[34:24.150] 所以我就纳闷这不是我保证的，没办法。
[34:26.790] 曰说不是你保证最起码我这么说你们是一个单位的人。
[34:29.790] 现在是这样，现在我不说这之前你看了一小7年没弄好，其他的我也。
[34:35.710] 不弄。
[34:36.580] 你就不行。
[34:37.900] 对不行。
[34:39.000] 那就是我做不动了就行了。
[34:40.540] 你现在是这样，A宝和减震器我问你什么都出来。
[34:48.890] 数据、
[34:58.510] 远。
[34:59.790] 关于保险神器什么用处？
[35:05.400] 对。
[35:06.640] 车
[35:09.600] 数据
[35:10.920] 的
[35:17.960] 的。
[35:23.360] 明天下午是吧？
[35:25.270] 好。
[35:31.400] 我也没招了，我在脑子里头行。
[35:36.480] 我知道。
[35:40.860] 光A保险燃气明天下午。
[35:43.040] 几点？
[35:44.330] 3点多。
[35:45.550] 中午之前行吗？不行出不来。
[35:47.690] 感觉我全都弄了，我州这拿行了吗？
[35:51.370] 好好我说了算，不是你们说了算，就是。
[35:54.620] 因为你这是走保修话是能说出来的，别说到你这不是一个。
[35:59.210] 来
[36:00.150] A。
[36:02.110] 又要A宝减震器，然后还包括刚才那两两个检察官。
[36:06.110] 啥周日晚上有戏吗？我没说晚上。
[36:08.850] 什么时候周四周五周日中午。
[36:12.500] 你清楚吧？好勒。
[36:14.810] 住宅出不来，现在你们说这话你们都能保证，现在收回来，我一下子给你推上去协调，你说还是不行，你要怎么样？
[36:23.330] 车间就这情况下车身就这么多车，我知道现在你们三个部门在创世前台说的话，你不。
[36:29.130] 你说的话我想说现在说不是我只能现在先管我这个部门。
[36:34.900] 你管。
[36:35.440] 预约部门解决问题问题，其实根本解决我的问题，预约部门我保证我管不了人家，现在我只能说您需要如果说茶，
[36:44.360] 明天后天我都不能保证您。
[36:46.660] 然后如果说您作为A宝回减震器，明天下午3:00 3:00能出来。
[36:51.670] 这是调度给我的惩罚。
[36:53.980] 爸爸回来，
[36:55.740] 您看您时间。
[36:57.800] 你不用说看我前面打电话预约所有都是看到了结果时间。
[37:02.630] 买好了还是不行。
[37:04.010] 要不是你就别折腾了好吧？折腾来了，你别说前面的话打你们说别的部门脸，
[37:09.780] 完事你跟我说跟他协调，其实他说的钱给你报。
[37:12.180] 之前还是不能质押。
[37:13.800] 分别让我在家着我妥协了，你听听听多少，现在我现在跟您说就是A宝减震器，明天下午3点能给你车。
[37:20.910] 车型吗？就这么一事儿。
[37:23.510] 其他的你休息一下，我保证不了您该去车站你这么说，剩下的两个东西。
[37:27.860] 我需要多。
[37:29.150] 公司能完成。
[37:30.520] 说不好。
[37:31.940] 检查什么叫检查？不是说我一拍脑袋就能完事的。
[37:36.280] 我一拍脑门完事我给你叫什么，我跟狒狒这就是说说说半天说什么。
[37:44.140] 可是这台。
[37:45.270] 垃圾。
[37:46.710] 招收新交通。
[37:48.640] 现在走了是吧？这样好好没过来，过来取来了。
[37:53.690] 还没走。
[37:55.300] 数据。
[37:58.670] 等下等下，
[38:01.640] 等下我等
[38:12.010] 夏明你好。
[38:14.710] 的。
[38:22.110] 那车什么他是这样，您为什么报警？是因为里面那就召回的那根线断了。
[38:30.520] 对那根线断了，线现在订货明天就能到。
[38:34.760] 对。
[38:37.360] 管理。
[38:38.940] 对影响你的锁门，影响你的玻璃升降，影响气囊报警，他那两根线断了，为什么召回？就是因为线的问题召回。
[38:50.210] 行行，再到这了已经。
[38:54.210] 我们等着汽车。
[38:56.190] 货没到，货明天到。
[39:02.800] 算了，您看您
[39:06.740] 这样标准，就是说剩下的两毛病不确定，我不确定检查我确定不了那两个毛病，你不确定为什么能告诉我三天后能出去，如果一起弄的话。
[39:15.850] 如果是这样，因为你这走保修，
[39:18.910] 保修，如果说需要更换东西，
[39:22.520] 需要订货，你取车不单我订货也不耽误你换，
[39:26.640] 你可以先取，到时候再过来换来。
[39:28.970] 你现在是能确定需要通过需要换吗？我不能确定车间确定不是我确定我也没拆那门里板，
[39:35.190] 当时给我的所有东西都休，这三天时间是从哪推出来的？
[39:39.100] 您看您是修当时有两个东西你也给不了我时间，我说所有在一块收集到能给我时间了。
[39:46.500] 你们我觉得前我到有人查，我先连查都没人挑，我上哪给你们，那夏老师我没说现在立马show，我可以立马提前预约或者怎么样都行。
[39:54.430] 可以，你得时间约我先给你带俩行不行？我预约的时候你能给我保证就是说跟约部门说。
[40:01.770] 曰部门给话，那个部门说完了，到这又不是一个时间约，现在不可能跟你说了。
[40:07.640] 有两部门了，我现在给您做A保和减震器，明天三下午3点取车行不行？
[40:13.700] 行，你给我发一个通知过来，明天下午3点通知行吗？通知单位不用，就是你的短信吗？我没有短信我直接给你打一单子写着，
[40:25.420] 明天把A宝卷给我。
[40:28.160] 给
[40:29.440] 谢谢。
[40:31.080] 的。
[40:32.760] 内容上来，
[40:41.130] 介绍
[40:42.040] 数据。
[40:49.440] 这块
[40:50.720] 的。
[40:55.840] 的
[40:58.680] 坏
[41:03.110] 花
[41:09.880] 多少？
[41:11.220] 马上谁知。
[41:14.380] 号
[41:23.570] 6
[41:25.390] 的。
[41:41.080] 明天下午25号至24号2号下午13点，
[41:45.560] 15点
[41:47.960] 拿着取出来就行了。
[41:52.580] 行，我这边没事了，忙您的事。
[41:55.650] 拜拜车里面又拿了。
[42:02.750] 说。
[42:09.840] 你妈跟人说他们能出来，出不来你怎么啦？
[42:16.340] 约的跟人说了。
[42:28.200] 毛病的。
[42:30.400] 车
[42:31.750] 号。
[42:32.680] 数据
[42:34.730] 场
[42:36.250] 花
[42:41.790] 也
[42:43.000] 花
[42:44.160] 远。
[42:48.000] 场
[42:50.290] 数据
[42:52.460] 主场
[42:57.160] 场
[42:58.280] 数据
[43:01.630] 场、
[43:08.500] 场、
[43:11.070] 场
[43:12.760] 五
[43:16.170] 场。
[43:20.910] 场
[43:21.870] 场
[43:28.230] 远远
[43:41.970] 要
[43:46.730] 也
[43:47.750] 的。
[43:54.230] 要
[44:08.160] 后
[44:11.010] 也没有拿到。
[44:13.570] 有没有？
[44:15.780] 没有拿到。
[44:17.200] 拿到块就可以拿走。
[44:24.330] 电脑怎么
[44:25.400] 做管理？
[44:30.530] 谁知
[44:32.120] 这两天车太多。
[44:34.230] 今天我们都没预约预约的。
[44:36.050] 总共钱之前那100多辆车，今天30个城我们都不约了，晚上约了。
[44:42.440] 你知道。
[44:44.620] 主要是他这还有一个检修问题。
[44:47.580] 他们拍脑门能耗。
[44:49.560] 跑也行，那好不了。
[44:57.070] 对吧？
[44:59.260] 能。
[45:00.780] 觉得。
[45:01.900] 各种毛病的时候还
[45:06.130] 谁知
[45:12.050] 你肯定还来了。
[45:16.270] 出来。
[45:17.690] 我不过去了。
[45:22.270] 2012
[45:33.010] 快。
[45:39.860] 2月份
[45:41.760] 说
[45:46.940] 数据了。
