[00:01.860] 京N5跟P31，
[03:46.400] 那就甭管那个了。
[03:47.600] 那就把什么后座椅那事儿看怎么写好了，因为我是站在后标志，然后根据上衣其实
[03:56.220] 对着看
[03:58.170] 还真没看出来，反正就是别的4S店，他那小子个挺高，1米9的个儿将近
[04:04.310] 上门拿手一摸，两边说什么，你要说这还是问题，来这么一句话，我也没听明白啥意思。
[04:15.590] 后排座椅就完了。
[04:17.260] 后排座椅
[04:23.010] 后来得打开，让他怎么着还是怎么着。
[04:25.550] 我现在录不行，现在这东西
[04:28.180] 用不用撤了？
[04:29.480] 不是他一楼不是往前倒，
[04:32.620] 往一楼往起来，
[04:36.130] 我们起来
[04:37.360] 等于那座椅在那个位置上，
[04:39.830] 还这么着起来。
[04:41.230] 你说这就是一个第三排这个队起不来。
[04:46.130] 好，
[04:50.500] 咱正好打一下看一下。
[04:53.230] 咱们就这点事儿还得的。
[04:55.820] 天。
[04:56.660] 刚才这么着，昨天我都不签完了，不再你看我从前门街道
[05:02.050] 不用去咱就颗粒就行，没事。
[05:04.900] 他
[05:05.840] 调查非常搁后座上的。
[05:10.920] 等于搁地上不那什么没事。
[05:13.280] 你过来的老婆没事。
[05:17.920] 快一点。
[05:18.860] 观点
[05:22.120] 上面。
[05:24.610] 这是后排了，这俩都是吧？
[05:31.950] 这回我能起来了，我猜
[05:34.570] 这天起不来这就更细了，自己又长本事来，没事让他再给咱试试，
[05:40.710] 是不是？
[05:41.690] 关上了。
[05:45.270] 你还吊些什么东西？
[05:47.730] 不好意思。
[05:48.540] 不动脑子，你看
[05:50.090] 赶紧捡起来，猫眼路远
[05:53.490] 送到地点。
[06:02.730] 别放地上了就。
[06:04.320] 没事。
[06:05.500] 来你给我。
[06:07.080] 跟厚一点没事。
[06:09.280] 车辆信息什么的把手给我功亏一篑，
[06:15.060] 又能取了，我拿这片往往里
[06:19.550] 我不懂了。
[06:21.710] 真的吗？小弄好使了行甭记差了，我还是话后段歌后的哥号码，我让他当时检查的时候什么监事没事，你可以说这个东西行吧？
[06:31.990] 呦呦呦
[06:41.230] 这个好使了，行行。
[06:43.100] 没事。
[06:44.610] 我从不把这行车去，那都不怕脏，没事。
[06:52.250] 好多看一眼，要不瞎报给你。
[06:54.960] 人事可能就是看一眼，
[06:57.550] 调取故障的时候low。
[07:04.590] 那没事儿，就不用记这个
[07:20.870] 干活的工具。
[07:23.530] 靠什么呢？
[07:24.660] 装修。
[07:26.680] 找装修的。
[07:29.780] 堵着。
[07:31.000] 咱们跟人类一样，就跟咱们说说点什么，现在不知道中年男人说没有容易的，没错。
[07:42.530] 咱们这都是什么？
[07:43.880] 上有老下有小，然后再
[07:46.520] 工作还得干什么？
[07:49.850] 这后果的要没事儿了，你刚才跑
[07:52.750] 这回来还挺高兴，刚才在给咱露了，到时再试一下。
[07:56.980] 别到时候那什么
[07:58.510] 刚说了什么，有没有这反复性是不是？
[08:02.700] 你既然尚未那什么扣他不动，我那可能
[08:05.690] 结合没准就存在问题。
[08:08.200] 这能修吗？这不能修得换。
[08:12.880] 那他在保修能换吗？这不在保修范围。
[08:17.340] 这种刮伤都得走保险或者什么，就是你经验没点东西吗？
[08:22.330] 要不然你就回家抹点的皮鞋油，
[08:25.430] 你这样我正好给你搭一句你G点是吧？
[08:28.100] 那是人家给我碰了不是吗？马上
[08:31.110] 就随时我他已经走直赔了，我随时到随时能修，让他就宿舍把这连着给我搭一点，这时候
[08:38.260] 上头到时候跟你当然没关系，对下的，到时候要不然就是什么皮鞋油蹭点会好一点，因为
[08:45.570] 我们曾经原来找过那种合作单位，就说喷一层，
[08:49.300] 疼完了我才没法看。
[08:50.820] 特恶心，别喝了，那就上面这一点我弄一下就行，然后好像还有一块记一下，
[08:58.680] 一块拉伤，
[09:00.360] 也不是孙子给我拿钥匙划的，
[09:03.710] 跑哪去了？到这呢？
[09:06.290] 你看这是拿药划了一看就人太了。
[09:09.090] 好好查了，这掉漆了这事就这仨。
[09:13.940] 这块正常给你抹去。
[09:17.120] 你这怎么弄我也不知道吗？
[09:20.150] 我就连着三个一块弄，你说反光镜咱搭着你这后半杠一个整个的造型，
[09:26.670] 就修了一块不行吗？不行。
[09:29.080] 这跟那小孩尿这房是的倒是恶劣。
[09:32.530] 人也看不出来这些，你搁我哥什么，你有时候在路上跑上，你看这供出租车有时候那什么
[09:40.850] 一股子一块紫，
[09:44.170] 你说这天不休的，对，但是他没这个技术的什么，你这就专门打着他这一弄就这么一大片。
[09:50.410] 但是你先
[09:52.250] 后杠先不弄了以后再说，他就把那案子对你说让我把这反光镜你说说咱这说明对。
[10:00.990] 那也就这样就没什么事了，这点事儿都不叫事儿。
[10:04.570] 完了要是
[10:06.260] 怎么着，
[10:07.220] 我就超供述。
[10:08.770] 开开着开我应该我开。
[10:19.710] 这儿看还有多少公里做保养，17,736，
[10:24.160] 不用列托了，这儿我就走。
[10:31.610] 还差两两千公里是吧？对，原来整数算的话
[10:35.490] 应该是多少年？
[10:37.920] 因为你两就是1万或者说一年
[10:44.190] 一直就是1万一年。
[10:47.760] 这车验车是多少年见？
[10:50.260] 新车6年以内的。
[10:52.930] 我这车也6年吗？
[10:55.430] 但是上怎么说这车两年一年一变，是不是？我没说全
[11:00.960] 新车6年以内的，就是每两年去
[11:05.200] 车管所或交通队提交一次交强险的什么进行不用上线的，
[11:11.270] 领个
[11:12.430] 领之后每两年一次。
[11:14.830] 对你把一个拿着小日本拿着你的身份证，
[11:19.320] 然后交强险保单，因为交强保单它是不是有睡着就交税了，我那检字我看了一下到2022年。
[11:26.940] 02年去一趟，对，然后或者说是什么，就是说
[11:32.310] 现在也又提出了一个网上办理，就是交管局有一个12123
[11:38.970] 上也可以办理了，对，但是基本上就必须得车主本人操作，本身没问题没问题。
[11:47.070] 就这么一个过程。
[11:59.670] 基本上前杠
[12:02.020] 右后门
[12:06.840] 对右后门口巴那是一事儿，应该能给报修一下。
[12:22.110] 你这直接提交还用给我吗？
[12:24.680] 我这个对你不把车你的意思你把车开走是吗？
[12:29.430] 他们要看你车
[12:33.290] 车要鉴定，要是需要厂家过来人鉴定或怎么样过来我再过来。
[12:39.710] 没问题。
[12:40.830] 可以过来，他要非要看一眼，我可以过来。
[12:43.330] 离这不远处。
[12:46.300] 这两天没事随时过来。
[12:47.960] 熊。
[12:50.240] 你估计他能怎么着也就送保养了。
[12:55.690] 就在SOHO。
[14:11.150] 我想修车的时候就下次做保养就过来连着一块去。
[14:15.920] 右后门
[15:07.760] 按照本职车
[15:09.120] 大一点，它全基本甚至有这种问题。
[15:31.310] 4S店
[15:34.640] 完了弄完就回去。
[15:38.940] 就百得利。
[15:44.290] 我这就有点缺陷那几个地儿。
[15:47.100] 耳朵不是也输了。
[15:48.480] 您看一下这烧点。
[16:00.720] 白醋快点上边
[16:02.510] 都马上完事了，刚刚结果。
[16:04.510] 给我发个微信，
[16:05.410] 你往那走，
[16:06.870] 客户要
[16:29.060] 这个人让他给你查一下，
[16:36.470] 这都不怕。
[16:48.480] 真狗操tmd怎么不能做平，你说这种东西
[16:52.560] 他对
[16:55.110] 那边也这样。
[16:56.690] 再加一行。
[16:59.110] 两边都那样。
[17:01.140] 上
[17:04.760] 我用
[17:23.850] 旁边没笑毕竟。
[17:25.100] 对了。
[17:36.010] 上楼里边签个字，
[17:37.560] 具有着车签完字，你不是拿什么先走吗？这宁乡吗？
[17:43.290] 然后
[17:51.520] 咚咚咚
[17:52.680] 屋里他连冰水都没有。
[17:55.320] 不知道为什么，原来我们丰田还配制冰机，真是这好家伙，
[18:03.120] 没过云冰棍又什么
[18:06.340] 饮料有什么事？
[18:08.830] 应该是。
[18:10.390] 没错。
[18:32.540] 现金权益为什么每次最高2500万，应该他有的客户它这个软件。
[18:39.600] 不对，对是很现实返现，就是有的客户，比如你要走一次保险的保费不是涨了吗？
[18:45.840] 然后就那什么
[18:47.350] 上这是单独的一个险种，因为险种对上了这个险种，不管是你自己走保险，还是别碰你了，做保险，
[18:56.870] 这到店修车每次
[18:59.860] 2500返2000对现金。
[19:04.400] 你这10万
[19:07.100] 1万1万，他就是说你的车维修损失达到10万了，保险公司就一次赔付
[19:13.190] 1万。
[19:14.020] 上就来了。
[19:19.930] 这种上涨的仅有
[19:23.080] 我这边先反馈，然后就有事马上联系一下。
[19:28.680] 行行，明天就打仗了是吧？
[19:31.880] 提交上了，然后您那边要是有事那什么，目前人家你
[19:37.000] 他们这有一小公司，你比如像奔驰这车管一块不是4000多吗？
[19:42.400] 有小公司叫什么我也不蜇伤还是什么玩意，我不出有这么车上现场直接给你钱，
[19:48.890] 现场就直接给你返40 4000吨就给你4000多，他有一个条件，他就是说什么不超过4000多的头条应该是5000不超5000，对直接给现金了就
[20:02.580] 都合适，我觉得也高兴，他也有条件不是完全干什么的，反正那哥们说可以那么干那个，
[20:11.260] 他说的时候，咱们有时候宣传的时候他都不
[20:17.000] 他都不说这细节，
[20:18.640] 他们少年听说那什么，你们现在这人保钱
[20:24.430] 总是好像行，你忙着行这样。
[20:28.040] 他那桌子上面有一个什么有一个二维码，你扫一下就不收停车费了。
[20:37.730] 数据、
[20:45.960] 9
[20:49.430] 9
[20:56.350] 坏
[21:08.770] 服务协议。
[21:12.270] 打
[21:23.330] 谁知。
