[00:02.390] 你好。
[10:17.570] 比如说。
[10:22.020] 知道你们这边我也问了不少电了，不是过来给你开玩笑明白，然后有时候确实是这么说的，券您肯定不可能自己过来搀我，想把这个价格赶下来，我知道你们这价格。
[10:33.400] 目前来说可能是你们这边的底价，
[10:36.140] 然后你们厂家管控得也比较厉害，对吧？然后我现在意思就是说咱们有没有什么办法。
[10:43.470] 既然你们这边也。
[10:44.940] 舒服，我们这边也好，把车买走。
[10:48.250] 没有办法。
[10:50.420] 我们不是你们沃尔沃的什么，我知道我找她跟她没关系，真的没有任何办法。
[10:56.190] 有办法咱就告诉你了，这些东西我走二级，我作为咱们这儿不走二级，现在
[11:02.600] 我们店上个月卖了100多车，没有一台上二级，
[11:06.180] 全都是支付，
[11:08.030] 就客户进店中买的。
[11:09.720] 对。
[11:17.660] 你百得利作为地理位置环境啥的，周边的各种客户像奔驰、宝马、奥迪过来客流量也比较大，所以说一般的我们每个月的任务，
[11:27.290] 基本上用不着说是通过
[11:29.460] 别的方式去完成，也用不着那你说
[11:32.920] 7200。
[11:36.490] 能不能优惠点？
[11:38.840] 正常的全国范围内，现在的所有的保险的话都是83折，
[11:43.060] 然后您不管在哪上海北京算下来的话，
[11:46.190] 您大概估价我们平时想办法补上，
[11:50.280] 不可能就咱们走这么多车，我帮你多食量，以。
[11:55.970] 以下。
[11:57.480] 我不要你这价格10辆以上。
[11:59.890] On，我要价格没有这东西都没有商量。
[12:04.560] 然后保险这东西的话是正常您投保的话应该是。
[12:10.040] 我们一般算是9000来块钱。
[12:12.380] 昨天我算了一下，简单的三者
[12:18.830] 车子不计免赔，然后。
[12:22.360] 是你要是要算这几条线，差不多应该有个7000多应该是够了。
[12:26.450] 应该是现在保险公司他们算费的话都是
[12:29.900] 直接就按折扣完了给你算出来的。
[12:32.610] 所以说他折扣你也不用管了，新车正常保险都这么着，都这么样子，其实我们你自己回去也得上保险对吧？
[12:40.560] 其实我们是做自媒体的，我们专门是帮网友们想办法把这个价格做下来，但是我们
[12:48.260] 我们知道咱们这边网络这边要求比较高，
[12:52.260] 然后还可以我整体的现在围绕的优惠力度，我觉得在
[12:56.570] 所有品牌里边算是优惠力度比较大的，你像好多品牌说什么送保养什么的那种，
[13:02.950] 其实沃尔沃来说车架现在优惠这么多少，优惠点钱，其实保养这些东西也都错了，明白，但是现在你所有店都是这一个家综合性价比还不错，我必须我给大家团购，我稍微有点优惠，
[13:17.520] 研究会历史对不对？
[13:19.350] 我明白你的意思，不能说是你跟你来一个家，我来也来加我，所以说咱们在一开始我就告诉您了，其实
[13:28.150] 对于您这种情况，我建议是您可以联系一下，
[13:32.270] 找帮我看看试试。
[13:34.580] 其他渠道您都不用想，肯定没有。
[13:36.940] 你们这边不知道我们要来什么，就是我们要来看见。
[13:42.470] 两。
[13:43.290] 不是现在是这样的，所有的新汽车销售，因为现在市场环境你像隔壁的奔驰，
[13:48.920] 它G2C现在整个优惠完了话，现在全办完在40多D功率1.5T的，
[13:55.160] 拿叉C60跟那个车比的话，你想便宜个10多万，整个相当于交期300的整个动力，
[14:01.130] 而且那车属于是国内主张，
[14:03.290] 而且还是商标，国外高标准国内低标准，
[14:06.090] 叉C60的话是全球整个生产标准全市统一的，
[14:09.430] 你基本上把那些性能给客户说完了以后，整个是不是现在这个问题，但是您说的这个事真的做不到到真的是
[14:19.270] 带着团购我没卖的意思一个人过来的，我要是说没有人我也不来这打开给你打这个厂，对，我知道你不能说这个一点都不给我绕，那跟我所有家电都谈到这个价格。
[14:33.300] 我跟你说正常咱这边卖车的，其实客户有点可以送点小礼品什么的，别的没什么东西。
[14:41.880] 所有家电都是一个店，别的家电我不知道她们怎么卖的，我们家肯定都是这样的。
[14:48.280] 北京因为店也挺多的，现在北京应该有12家差不多。
[14:58.030] 您现在了解到的
[15:00.510] 北京都是这个价吗？
[15:03.590] 我估计差不多，你估计是。
[15:08.070] 没两个北京对，基本上这价格已经很低了。
[15:16.690] 您都去过哪个店现在？
[15:19.630] 基本上都去了。
[15:21.240] 都去过。
[15:24.490] 想把这个假看了吗？
[15:26.400] 这我倒能您能明白。
[15:28.360] 我其实就是帮忙就做我们这一章。
[15:31.100] 成以后做比其他Y公司更好。
[15:33.950] 而且这不光是。
[15:35.680] 我其实是借着查C60过来谈嫁人还要买茶，C90。
[15:40.320] 肯定所有人不可能都是一个车型的需求，他所有全车系的应该都会有一定的，所以说我现在想的是这个价格能不能稍微给我让一点，
[15:49.550] 哪怕从其他地方补一下，或者说我跟网友说这钱我给大家。
[15:56.150] 投入称号。
[15:57.680] 但是你从其他的价格，其它车型价格上能不能给我找不。
[16:01.890] 拉我这些费用。
[16:03.800] 没戏。
[16:05.300] 又是说咱们做不了。
[16:06.210] 了，对是的。
[16:08.930] 肯定做不了。
[16:12.280] 没别的办法，你们是不是
[16:14.260] 不是专门。
[16:15.810] 对我不对付你们干嘛真是的。
[16:19.700] 我感觉所有的加尔，现在咱们4S店有一个什么特点？
[16:25.390] 对所有的客户都一视同仁，你会发现个大家买的东西什么都差不多的，不会说是
[16:30.800] 你买的比他都便宜多少钱什么的，回头你可能你心里会不。
[16:34.880] 舒服了。
[16:35.800] 对吧？
[16:37.180] 没有，我是团购，您在E团购，咱们这边现在你这大客户咋做呢？
[16:43.050] 大客户。
[16:44.200] 物、
[16:44.920] 大客户一般的话是跟他上班的单位，比如像央企，有些国企或者大型的国营单位，
[16:51.450] 咱们厂家会跟他们有些总对总去签约，我这种
[16:56.240] 您这多少量跟这个量没关系，对明白，你们是一个合同制的是吧？对，比如说相当于那种大连公司，像什么比如说什么百度什么京东，
[17:08.320] 从大典的，而且它的固定的
[17:11.490] 单子的话也都有要求东西。
[17:16.420] 车方面都不送给你，不需要给您介绍什么？
[17:19.730] 吃从事架也都是过，也不用说，
[17:23.630] 传不掉了。
[17:25.890] 这么累行没事。
[17:28.310] 喜欢走了。
[17:31.190] 好了。
[17:32.900] 那就不用给您介绍别的事，谢谢您，没事您客气。
[17:41.210] 要不要开上一圈之前试过是吧？
[17:44.800] 过来。
[17:46.550] 行，你回头那边有一个24小时播放电话，有空直接下就行了，开车了吗？
[17:52.780] 去扫一个停留圈。
[17:54.470] 反正有个三小时免费停车，
[18:04.950] 你用微信扫一下码420。
[18:07.660] 直接往东开，暂时别了。
[18:10.240] 好。
[18:39.710] 直接网上看。
[18:40.930] 用好的。
[18:42.620] 好的。
[18:44.170] 行，那就慢点。
[19:02.570] 你说厂家修。
