[00:00.000] 守客流量，
[04:03.470] 第二种为什么好多都会考虑来北京问问车价，就是因为北京本身价格要比外面便宜的多，
[04:10.120] 你像有些车型的话大概都能查出来。
[04:13.120] 一
[04:14.240] 一我记得前段时间也是咱们一河南老乡鹤壁的，
[04:18.430] 当地是优惠35,000 4万还没有现车，一三百书想搁北京的话，那时候高的时候优惠到77除72,000，
[04:27.230] 对吧？他车有时候北京跟老家之间来回跑，
[04:33.350] 然后也有北京牌，但是想到挂个外地，
[04:37.080] 最后选择上个北京牌，然后说挂个一年两年，然后真是说北京用的少，再直接
[04:43.050] 过去。
[04:45.280] 我们就管用。
[04:46.660] 对吧？说你有个北京指标能搁北京买车，
[04:49.720] 开两天，
[04:50.860] 这车我觉得不好，我卖了，
[04:53.120] 这个是没有任何规管的。
[04:56.480] 对，所以说
[04:58.450] 车是在哪用车，如果在老家用，先问问老家什么价格对比一下，我们是卖车的，
[05:03.400] 但凡能卖我们肯定愿意卖给你出10万个招肯定愿意卖了，你在这台车才有。
[05:09.030] 还有工资还有提成，这是肯定有道理。
[05:11.780] 但是确实是存在这么多的周折的问题。
[05:15.600] 然后您在北京，比如说有没有亲戚朋友有现成的指标可用的？
[05:21.330] 能存到吗？
[05:22.790] 租到的话这不就是风险问题了吗？
[05:25.570] 对吧？租的话说白了，你不管用谁的标我们都无所谓。
[05:29.750] 对。
[05:30.510] 然后你比如说差价差得多，比如我这优惠6万，当地优惠2万优惠3万，
[05:36.310] 你搁北京租一个标一年才1万多块钱，
[05:39.640] 现在是这个道理，对我只能说到这儿了，对，现在是忧或者汽车优惠66,000。
[05:45.560] 260。
[05:47.300] 优惠完是多少，优惠完了优惠完全办齐大概差不多3232万左右，260L
[05:57.030] 你说下面看配置他那个是运动版本，
[06:01.980] 你看这个是您说是高配吗？
[06:04.500] 那个版本吗？
[06:07.800] C260这个是标准，
[06:10.860] 这个是标准，318,800也不是这个价格了，您这看的都不是一款RL给的。
[06:17.010] 你看346,800
[06:20.600] 是实际在售的新款车型3468，
[06:26.120] 3468您看这个价格我们不做解释，对，你可以看一下，
[06:31.730] 这个里边所有的报价，只要是4S店，基本上报的都是厂方指导价，
[06:36.000] 然后经销商都是报的各种价格都有，但是这个价格我们不做解释，我们能给您解释就是我们家优惠多少钱，实际就优惠完现在是26。
[06:46.560] 多少。
[06:48.830] 咱算算，
[06:52.380] 咱就拿正常北京指标346,800，你减去66,000，
[06:58.410] 最后百36。
[07:09.750] 本地的是优惠8万吗？
[07:11.920] 本地的也优惠不了8万。
[07:14.320] 本地的优惠比较高了。
[07:16.320] 280,800，这是66,000的价格。
[07:20.540] 价格我说的难听一点，您作为一个参考，
[07:24.820] 您最终肯定还是得跑到4S店去买，还是得问人家最终价格。
[07:28.920] 您不想想你看看那里边报价的话，你会发现有原价报价的，
[07:33.540] 有低价报价的那些原价报价的人是傻子。
[07:37.720] 对是这道理，原价报价你一看就知道全都是4S店，因为4S店他是有约束的，
[07:44.630] 有厂家的约束，你不能瞎报价格，我上面报挂了6万是不是？你我来到店里你是不是26万能卖？
[07:50.890] 你不能说报了26万，你告诉我是抱着玩的，是这道理，但是抛开4S店经销商的报价，说白了人家的报价单
[07:59.610] 就是为了让你联系人家，
[08:01.590] 4S店报29，他报28，我报25它能报24，要不你为什么会联系她？
[08:07.750] 是这个道理吗？但是你联系他至于说怎么说这个东西怎么绕的，这些东西我就不过多解释，我不能说人家骗你，
[08:14.190] 但是这个价格是我没法跟您解释。
[08:17.610] 对，我没法跟您解释，能给您说的就是说咱家这车正常金牌大概全办清哥。
[08:23.140] 这时候
[08:24.190] 最低的时候老款的时候优惠到7万多的时候，7万多，也基本上综合各种全办起来也得31万多。
[08:31.360] 你算算26万全办齐了30
[08:33.730] 够26,000 26万的话，你的购置税差不多在22,000左右，保险咱打1万，这3万到29万多上牌2500，
[08:41.590] 不到30万办齐了，你自己信吗？
[08:46.340] 这价格一说就明白怎么回事，我跟你说无力不起早，是这道理吧？
[08:52.010] 无利不起早。
[08:54.160] 你好多经销商就是这个套路，比如说你在他那26万
[08:58.900] 坐装置，
[09:00.100] 对吧？你有附加条件，他能把这钱背出来，但是你在4S店不行，我不能给你瞎放。
[09:06.350] 对路边停车罚单吗？
[09:08.630] 最好是别停在院里能停最好开进来。
[09:11.370] 我们是在路口全是咱们员工的车，因为没地儿停，
[09:15.640] 院里边没这么多车也不让停，所以说基本上停业调整，员工尽量往里开，院里的话是三小时免费的，
[09:21.920] 我们会有停车券，临走的时候有的时候开店你就直接开进来就行，要不是这样就直接开进了，你先加个微信，价格也聊得差不多，问题不大，其他方面车
[09:31.870] 车这方面还有给您介绍，咱们盯着车过来的。
[09:35.210] 现在等于您是人在北京上班了，
[09:40.420] 人在北京生活，现在说不来，想想买个车，然后车实际等于在老家附近用也不一定对，您就按我说的这两种情况先考虑一下，猪排的话，我们不参与个人之指标的租户，然后联通租赁和议会资本，然后暂时先停了，
[09:59.560] 这段时间有可能牌照少或者各方面，但是他们仲裁的话主要是为了挣你的分期的钱，挣你的利息，
[10:05.590] 他们不是纯粹为了那什么，而且公户租赁公司的话最大的优势是没有风险，
[10:11.330] 他给你签的是租赁协议，就类似于你买了车，我把这车整租给你，所以说他的合同是受法律保护的，你们之间是不存在财产风险的。
[10:21.350] 但如果个人的指标我们是不参与的，然后店里也不允许个人参与，最主要的原因就是风险是不可控的。
[10:28.530] 我就说个难听的，我就把我亲弟的不要租给您，
[10:32.310] 我就把我的标注给您，
[10:34.140] 对吧？我出事了不照样从法律上讲，这个车就是我的车，
[10:38.020] 说这种风险是不可控的，
[10:40.540] 所以说基本上不参与，没兴趣合作做出来的话，什么
[10:44.850] 什么不是跟他有合作吗？跟谁之前把
[10:48.440] 你刚才说的意汇资本联通租赁那种基本上都是2000 2200。
[10:53.140] 他们要贵，对他们要跪他们。
[10:55.400] 但是做他们的话，他们的首要条件是没有分批。
[10:59.430] 因为对人家不是政的，您拍照的钱人家
[11:03.810] 人家就挣得努力，以前因为现在牌照和北京这种多数的都是公户注册多，因为功夫说白了人家
[11:11.730] 有钱人家不人最怕的是风险，对吧？你合同只要是在合规范围内都可以，个人的话说白了，
[11:18.650] 这个就是你自行考虑了。
[11:22.350] 车试驾过吗？用给你安排个试驾什么的吗？
[11:26.470] 实际上现在不行。
[11:27.840] 可以。
[11:28.980] 我紧张可以操作，对我那手机号活性高，然后名字就是我的电话号码。
[11:34.520] 马队大概反正就这么一个就没事，我就盯上外面去了，你把车开进来就直接开进来就了。
[11:41.090] 我在前面不开进来这没用，我听到公交站牌那块让我绕回来了，挺麻烦，等到公交站牌装一下也是。
[11:47.930] 你凭啥代表不能干？
[11:49.180] 前面绕过去到奥迪右转，那边有个门，我不太知道路，我就现在过去。
[11:57.310] 没事，这手里叫说是吧？交警过来接他们，那人到底已经坐着，明天没事。
[12:02.240] 他们贴条的时候一般我们保安都会喊一声，因为我们这都在外边，
[12:07.500] 全是在外面，这门口停了一块咱也不见是吧？
[12:13.250] 反正平时说实话，这门口要是贴条的话，好一般会拿我们
[12:19.120] 我跟他先昨天客户也可以，谁知
[12:25.320] 北大方便的我走吧。
[12:26.960] 你跟我签我不知道吗？
[12:30.480] 是国家秘密。
[12:32.040] 就这一条路没别的路。
[12:34.060] 我给你说了就知道。
[12:35.900] 您车是在保时捷口是吧？你就顺着路往前走到前头，路口右转，转过来之后就是这条路。
[12:44.830] 正对着那个门了是吧？
[12:48.640] 正对着这个口，
[12:52.450] 你不就在这路边上了吗？你看了吗？看那个门看到了吗？
[12:56.800] 没有。
[12:58.000] 开了吗？你往前走右转不就照到了正对那个门了，然后可以进来，对。
[13:03.870] 这不就这一个弯，我下载驾驶证先给我，我先给您去登记，
[13:10.230] 然后您回来咱们这边直接就可以去试驾了。
[13:18.290] 然后我在这边前台等您，好。
[14:17.790] 对，你是机构部室安排监护吗？
[14:23.520] 前台分没事吧？
[14:26.460] 是不是前面身体客户接受不了了，
[14:37.140] 数据。
[14:42.630] 的
[14:46.230] 的
[14:55.160] 的
[15:20.530] 说话。
[15:23.250] 坏
[15:26.960] 我打电话
[15:32.210] 的。
[15:35.290] 了
[15:41.160] 面、
[15:51.080] 远
[15:52.030] 的。
[15:59.500] 水饺。
[16:05.950] 的
[16:13.740] 的
[16:16.570] 也
[16:19.120] 了
[16:22.000] 的。
[16:31.550] 数据
[16:33.380] 用
[16:35.760] 句
[16:40.870] 了，
[16:47.240] 场
[16:51.970] 数据。
[17:07.850] 场
[17:27.660] 了
[17:32.320] 了
[19:04.480] 感觉到没劲，
[19:08.650] 他们死了。
[19:16.840] 一点
[19:20.660] 干
[19:27.190] 的
[19:30.190] 第一天是端午
[19:33.090] 装
[19:41.310] 远。
[19:55.690] 远
[20:00.380] 号
[20:01.440] 句
[20:03.680] 句
[20:23.130] 坏
[20:26.380] 场
[20:28.120] 的
[21:36.590] 帮我签个字。
[21:39.020] 信息我帮您填完了，然后
[21:41.700] 上市。
[21:43.860] 然后下边是咱们的试驾协议，
[21:47.280] 咱们是公共道路驾驶，一定注意行车安全，别超速别违章好吧？然后试驾里程大概9公里15分钟左右，先只能投诉下。
[22:03.430] 需要放哪去？
[22:17.890] 形势下提供平衡水，我给你拿一下。
[22:20.950] 走走
[22:23.920] 停进来了，我忙碌了再上路。
[22:27.200] 没事，如果您担心的话，您试乘一下也可以，我开一下。
[22:32.730] 车停下来了，我们不能这里就行了。
[22:35.410] 也可以简单的说这个没问题就行，咱园区咱园区的肯定不行，园区的车太多，
[22:42.840] 路上车不挣。
[22:44.420] 对，在路上起码他正常咱们车都有保险什么。
[22:47.870] 车。
[22:52.330] 没事，你要是担心的话，咱可以什么？担心您先坐副。
[22:57.500] 担心的话您可以试乘一下，我给您驾乘您体验一下也可以。
[23:14.450] 在停着就行，待会
[23:17.710] 一秒钟
[23:19.700] 有时候没还来劲。
[23:22.400] 怎么样？
[23:23.480] 双
[23:24.400] 语言特别好，你听不忙，哪有时间动作磨牙凹凸了，我指的是小线段线的业务，现在
[23:33.710] 装上
[23:35.360] 三瓶财政美腋窝都是新鲜的，都很高妙，能够的保养起来。
[23:41.850] 现在有更多人小兴奋，有些概念全国性
[23:54.550] 作为基本上想到
[23:56.180] 生产的产品，这是联创经历平台，致力于3~12岁少儿美术美誉培养所有的教学内容，在充分尊重孩子创业的同时
[24:06.030] 和兑换知识的学习，通过开放本身思想给予的10方法，让孩子能够更加专业的表达自己的生活。
[24:18.850] 0071要求要求他的1.5T=是取代之前老款的2.0T低功率那款发动机，1.5G加48伏电机，其实日常动力还可以，
[24:31.450] 百公里加速比之前老款20T低功率快乐应该20秒，所以说之前就200，现在叫260，
[24:37.650] 就这么来的数越大，就是咱们本质所有的车都是这个数越大，它的加速能力越强，但是你看不出来，
[24:44.740] 看不出来他的排量，
[24:57.890] 然后四环的
[24:59.730] 竹，然后到南坞桥下掉头的时候帮您来开。
[25:04.890] 行。
[25:08.160] 要不我就别开车了，不开的话我就给您看一下，您驾乘体验也可以。
[25:14.490] 要是对车不太熟悉，有担心什么的，
[25:17.400] 简单的给您看一下，您可以体验一下。
[25:22.720] 这车的话还是挺的。
[25:26.010] 对。
[25:26.720] 这车还不错。
[25:28.070] 还给您绕过项圈，然后向他C型条比较多，
[25:32.110] 感受一下。
[25:38.090] 好一般多少？
[25:39.520] 油耗的话，那就是他的强项，不常上高速的东西。
[25:43.180] 市区里日常使用基本上就七八个油。
[25:46.710] 对，因为排量在这放着。
[25:48.860] 当你说完动力扭头再说排量的时候，那就是它的优势。
[25:52.620] 现在不等于整个汽车行业的大方向，就是节能减排，
[25:57.030] 又想要动力，
[25:58.340] 然后又想排量尽量的小，油耗尽量的低，对吧？
[26:02.510] 所以说现在所有新技术带来的都是这方面的优势，
[26:10.770] 1/2油门
[26:12.330] 3000转，现在已经80
[26:14.840] 了，也就是100
[26:18.210] 远场。
[26:19.920] 而且数据
[26:24.400] 行业市场、
[26:29.210] 您是在北京上班吗？还是在北京？
[26:31.730] 在北京上班。
[26:33.450] 如果就是我们搞到牌子的。
[26:35.700] 对，然后金卡直接转写，然后需要看社保。
[26:39.280] 比如说买车的。
[26:40.950] 不需要看商场，
[26:43.250] 没有指标，你搞到指标就是在北京可以
[26:48.810] 可以上牌的一个类似于许可证，
[26:51.690] 对吧？有它就行了。
[26:54.150] 对，跟其他的手说我的身份证是河南的，然后社保什么这跟那都没关系，
[27:00.900] 到处都写换盆，
[27:03.010] 换换还家里的，
[27:05.080] 换成家里你就直接过户，就是类似于买卖过户吗？接客户交代。
[27:09.510] 不交付没什么正常过户费就行了，没多少钱1000块钱一里，外迁这数里外千可能也就1000多块钱。
[27:17.820] 那也花不了多少钱。
[27:19.890] 类似于说白了，比如说你找了一个朋友的指标，对吧？一开始上了他的
[27:25.820] 然后后来这车你要迁回老家，就是类似于过户买卖过户从他名下。
[27:31.950] 直接把这车卖给了你，然后你是回到了你的原籍地去上牌，然后在北京等于有一个过户，然后再提档外迁，
[27:40.920] 把这车签出去了，类似于窗外给到北京这边，比如说
[27:45.530] 我们今天把车买。
[27:47.590] 对，你过个月就完了，一个月就够了是吗？对，只要正常把你的保修手续上传完了就行。
[27:53.890] 你别今天过完户，明天拿到牌子明天就去不了，你明天也拿不到牌子，怎么着你也得差不多一周多才能拿到牌子，你拿到牌子去过户，
[28:02.090] 你手续也办不了，他总说没有你的档案到我们退档。
[28:05.970] 他档案归案当中你就差不多一个月左右这个时间就全撞开了。
[28:11.050] 对这个对于我们来说说白了，
[28:14.470] 你已经在规则范围内
[28:17.080] 了对吧？
[28:20.480] 我可以要求得买，但是没法要求你卖，说这时候就买完了，我就不喜欢我卖了咋的。
[28:25.820] 对你没人管。
[28:27.840] 他只是对你卖的时候。
[28:30.430] 好吧？
[28:31.280] 行吧，知道现在怎么操作了吗？
[28:33.880] 对，大概就这意思，再多了我也没法说了，对。
[28:38.640] 说你得明白这个意思是吧？
[28:42.500] 而且反正车是您自己用吗？只是说一种无所谓的说过了一次，或者对他来说其实没什么，他这个不行。
[28:49.430] 对之前的那个人有印象吗？你之前对他的妹子
[28:52.740] 有啥意思？
[28:55.280] 对吧？对他们
[28:56.560] 也是给买车我买完都行，完了有啥影响？
[29:00.610] 指标腾出来了，
[29:03.440] 如果本地的就是有金牌的话，
[29:07.420] 有66,000。
[29:09.570] 没有我们就有，对没有牌你咋买？
[29:15.350] 这是外地的吗？外地就是公示价就3468吗？
[29:21.290] 对他
[29:22.600] 说的难听一点，这个东西不就是说白让你觉得不合适买不了。
[29:26.480] 是这道理吧？
[29:29.980] 因为北京
[29:32.480] 整体来说，他还是因为市场大
[29:35.980] 厂家给的支持，
[29:38.120] 它的利润成本低，价格便宜，
[29:41.160] 对吧？
[29:41.570] 你反过来讲，你对于其他你比如说河北整个河北省很他不到才6他6家店，
[29:48.570] 北京有24家店，
[29:50.620] 你想这个比例范围市场规模就是北京给的优惠力度大，就造成了它的成本低。
[29:58.430] 但是你反过来讲，全北京都来北京买。
[30:03.000] 他经销商怎么办？是这道理吧？所以整体来说内部还会是有一些规范，
[30:08.970] 一样。
[30:09.930] 你不一样，你在河南的时候，我买了之后，我要上河北的牌子肯定也有区别一个道理，
[30:16.530] 只不过可能外省就没那么明显，因为毕竟大家的可能整体
[30:20.410] 给的折扣成本各方面差不多，只有像北上广就这些明显市场
[30:26.150] 力度大的，确实是他优惠的优惠，
[30:29.680] 优惠的力度大肯定是有原因的，
[30:31.940] 对吧？谁也不干赔本的买卖，
[30:35.790] 肯定是因为北京整个给的厂家的力度要大，完了之后它的成本低，
[30:41.510] 是这个道理吗？
[30:42.550] 觉得
[30:47.330] 然后自动泊车也都可以给您演示一下。
[30:50.550] 咱们只需要速度慢，经过这个车位。
[30:53.190] 然后就能
[30:54.600] 如果有车然后确认
[30:56.520] 对吧？
[30:57.510] 确认，然后直接挂一挂一道。
[31:00.410] 这个时候咱就不用管了，整个泊车过程全都是车字出来了。
[31:11.800] 结果这个东西其实很好。
[31:29.720] 郑州应该其实。
[31:32.220] 应该还可以，应该不会有太大的差价。
[31:35.460] C我没问我，但是E我知道，
[31:38.620] 反正是查出来还挺多。
[31:44.330] 正常这种情况完全没问题。
[31:50.230] 不用管。
[31:51.740] 所以说这就已经很符合实际的一个
[31:54.690] 一个用车的情况，然后稍微剪掉了门就可以了。
[32:06.200] 因为他的破车就很符合像刚才这种情况就很符合实际的情况。
[32:10.850] 前面有车看大概能过去了，他也想走。
[32:14.080] 对，他也能自主刹车什么。
[32:17.120] 吃了别的方面基本上大概没什么问题。
[32:22.490] 价格还详细的给您算一下。
[32:24.710] 救援下也没什么意义了，好风险。
[32:27.510] 对别的方面看还有什么能帮您解答的？
[32:30.950] 基本上其他没什么。
[32:33.580] 正常明后天的话例行也会有回访，到时候您简单接听一下。
[32:37.530] 最佳联系时间一般什么时间不打扰您，平时都可以周日在家联系方式电话。
[32:44.570] 行，别的没事，我带你嫂子出门前。
[32:47.620] 还看别的品牌吗？
[32:50.390] 看了是吧？
[32:52.520] 因为这园区里的话像
[32:55.920] 奥迪，然后保时捷，然后隔壁沃尔沃都有里它不外售，
[33:01.210] 是吧？
[33:01.930] 他就直接说，所以说你看这就解决。
[33:09.080] 出门条是这样，出门条是15分钟有效，
[33:12.920] 如果您直接走了就直接扫就行，如果想看看别的品牌转一圈什么的，你就最后临走再扫。
[33:19.360] 您的情况。
[33:20.630] 去别家店也是这样一样的，然后这园区都是我们摆的例子，然后各家门口也都有，你车不就在这停了吗？你待会您走的时候也可以来咱门口走都可以，对，或者您简单转转，
[33:32.550] 记得临走扫一下输入车牌号就可以了，行有什么需要的随时的问题。
[33:50.400] 这歌那点不好意思。
[33:57.590] 还有生产系统
[33:59.600] 的
[34:07.170] 不过不用卖。
[34:08.560] 有人去吃饭吗？
[34:10.330] 应该。
[34:12.380] 宝贝。
[34:36.300] 那个谁呢？
[34:38.660] 那个男的咱们组来一个，
[34:41.070] 后头休息一下。
[34:42.640] 休息，我看装修
[34:45.600] 我看show都没分担的名字了，
[34:48.080] 谁能给
[34:50.670] 打个电话。
[34:55.270] 等
[35:00.150] 现在
[35:02.480] 客户
[35:29.610] 明天是周六是吧？
[35:33.320] 做生意
[38:12.760] 您看周六，
