[00:03.430] 行。
[19:12.490] 转头。
[20:01.920] 一会儿回来。
[20:02.680] 这方面10我问一下下午有时间过去了，站点你要说
[20:09.590] 没时间了吗？
[20:10.990] 行行，我现在有时间。
[20:13.840] 好了开始这样，然后。
[21:38.870] 现在我
[21:43.360] 自己足够坚强了。
[21:47.360] 说的是我没有你想象那么坚强。
[21:51.030] 就这么难。
[21:54.920] 成年人懂得取舍和
[22:00.120] 放射之间我跟你说，
[22:02.670] 取舍之间通过打击了，
[22:05.990] 不要跟命运做抗争，不是你在下午就开始跟阳台上涮羊肉涮到漆黑的。
[22:13.610] 的时候真的不喜欢。
[22:15.090] 说明说。
[22:21.930] 来。
[22:23.690] 要两个人回来了。
[22:26.090] 集结了吗？
[22:27.600] 原来我。
[22:28.520] 没看。
[22:29.670] 没开是啥谁？
[22:31.540] 上一个你上面是善良，咱主要发生刚刚给他们说我怎么样，
[22:38.110] 我早上打了一上午了打，我说你修不了了。
[22:44.620] 对。
[22:47.900] 那就拿那个人拿走。
[22:49.170] 没有，他们都自己。
[22:51.070] 什么东西他们的客户。
[22:55.170] 另外
[23:15.920] 感情
[23:16.640] 都不一样。
[23:18.810] 等着。
[23:20.930] 他妈每天不。
[23:22.450] 五轻松，我说今天没不想回来了，
[23:26.080] 要是这么做，我什么礼物？
[23:27.800] 了进不了拿到数据
[23:31.690] 极端，这是一个10。
[23:36.150] 来下午出两车就回家。
[23:40.200] 要
[23:41.440] 了。
[23:43.360] 五
[23:44.430] 其他的
[23:55.580] 我说像小馋
[23:56.820] 收养不挣钱的车就下班了。
[23:59.720] 臭脸。
[24:01.030] 要不要下小肠缠着的蟾蜍完了
[24:04.210] 销量
[24:05.280] 我什么都没有了。
[24:06.960] 养胃要为你这个是不是时间够了可以结一下了。
[24:11.250] 对了，只要一下下天天的下行，然后明年。
[24:18.650] 好勒。
[24:19.890] 我们啥别说发现要抓紧，
[24:23.880] 完了没看着蟾蜍的还是没有这笔钱。
[24:29.910] 这文化杂志
[24:32.810] 对客户的暗示行也行不行了是吧？
[24:38.380] 觉得和行不行？
[24:40.350] 我说不行你就去我要我怎样你
[24:52.670] 都掉。
[25:16.510] 拖回来了。
[25:17.480] 再见。
[25:19.230] 对。
[25:20.800] 回来了给你了。
[25:26.440] 晚上我把车开了出来，
[26:30.600] 来他叫我下去怀导演，我没钱简单没事。
[26:34.350] 我上车你
[26:35.970] 你得坐那边给我看着。
[26:39.960] 它肯定没错，对。
[26:43.430] 看分值看那个车，感觉他上次说的座位往前移是哪个来着这。
[26:49.970] 边上这个是吧？先来一点。
[26:54.060] 高低您条件高低就没关系了，主要是刹车。
[26:58.010] 它的刹车软，我先猜猜
[27:00.530] 开油门。
[27:03.570] 您记好，
[27:08.730] 就在这里头传一下。
[27:10.480] 可以，您上外边转不？就在停车场主要是刹车，左边刹车。
[27:16.330] 走着驾车知道刹车油门知道怀。
[27:19.250] 粑粑到锦州市前进的就是D的到点。
[27:23.360] 不是往楼上往下，它那显示对
[27:28.320] 功能地道可以了。
[27:30.840] 现在在哪儿显示那地这都是什么下面？
[27:35.600] 哎哟都看不见，我这老电影都是圈子这看看。
[27:40.810] 太早就可以走了。
[27:46.930] 咱了。
[27:47.800] 没看。
[27:49.210] 你往前走，
[27:53.130] 还真不太适应他那车。
[27:55.660] 你开起来不都一样吗？不一样。
[27:58.780] 就从这拐你们园区里转转，
[28:02.870] 踩刹车也感觉到了我这
[28:05.620] 没不太适应，还是不适应他的车不行。
[28:11.130] 我还真是不适应他那车。
[28:13.870] 你看都是用的都是自己拍过的车，
[28:16.430] 我就可以开我自个的车。
[28:19.380] 是，然后才下车买新车的话，你肯定没你买什么车都得适应。
[28:23.920] 是。
[28:25.250] 他这辈
[28:29.770] 今天主要是
[28:31.010] 还是这样。
[29:09.890] 他在点再看是刹车油，门我就找事，
[29:14.690] 看看
[29:15.950] 很快的适应
[29:17.550] 油门刹车，
[29:19.900] 当时的首要
[29:22.670] 从哪敢这边关机了？
[29:27.230] 收到。
[29:31.030] 快点好了马上到。
[29:43.030] 是这吧？
[30:25.110] 创建了您就跟他寒暄两句。
[30:27.280] 因为我这在口试驾一下，出现起点还有什么补充吗？年轻的爸爸。
[30:32.050] 好的，那道道的刚才是真的。
[30:36.170] 这应该有个点。
[30:38.610] 他P档在哪的？边上去世了，牙边结30天我还没开，我。
[30:46.260] 是吧？
[30:47.850] 点我都是看不见。
[30:50.040] 他自小。
[30:52.200] 我现在是的，我马上回事，完了什么给你挂到P不行吗？喜欢那个车这折腾怎么不会开？
[31:00.670] 小。
[31:04.640] 要
[31:07.750] 我不适应
[31:10.560] 的。
[32:16.120] 来着。
[32:19.830] 好了。
[32:25.290] 花
[32:27.620] 谁知，
[32:28.910] 谁知
[32:32.550] 谁知
[33:13.780] 两位小妹你结一下，你把你结35。
[33:43.060] 五。
[33:43.840] 你说。
[33:44.870] 这是假的，我这感觉不是特别好的感觉，可能没事您再研究，我们在琢磨我们在研究，没有想法我再给你打电话，没问题没明白。
[33:53.690] 好没问题，您扫二维码了，没事免费的我们再转在这。
[34:01.530] 好了没事慢点好勒。
[34:05.560] 谢谢没事您客气。
[34:11.770] 董建给您打电话吗？那张师傅不是。
[34:14.780] 现在看到了，行行，完事我这完事了，然后又过去找您去。
[34:20.740] 您车停哪边了？还是原来那位置还称那边，后来
[34:30.510] 我去看看你就我看看我一会过去找您加我这完事了。
[34:37.320] 是吧？对，再看一下您这车。
[34:40.150] 不想过去了。
[34:41.270] 您就展厅里十八里边修一会也行。
[34:49.240] 不麻烦了。
[34:49.930] 没事，我已经我腾出功夫来了。
[34:54.940] 您水一会我过去找他们找他们的。
[34:58.530] 的。
[35:07.080] 号
[35:09.710] 的。
[35:45.070] 因为。
[35:46.570] 鸭店开业肯定价格也都不一样，银行也得开过来。
[35:50.270] 试点评估一下合适咱就电话多是不行，我。
[35:53.780] 就卖了，谁知。
[35:56.040] 对，您合适就换，不适合您就自己卖了，这都行对吧？
[36:00.850] 我36开的。
[36:02.600] 我这边。
[36:05.570] 行，那完了咱们再联系。
[36:08.290] 还
[36:09.620] 我让我结46行，因为那两位就亏着时间好了。
[36:23.520] 然后过那出口。
[36:26.550] 好了好。
[36:34.240] 36. 
[36:35.490] 35 36。
[36:38.570] 花。
[36:42.770] 10
[36:50.000] 二
[36:56.450] 的。
[37:00.250] 号。
[37:02.430] 真。
[37:05.630] 给领导
[37:11.630] 看
[37:13.880] 的。
[37:15.430] 你是哪个车路上？
[37:17.230] 36，我得56节行。
[37:22.340] 但tmd怎么弄？
[37:24.490] 北京上访大佬帮我放大的话，
[37:27.780] 那地址那个
[37:29.070] 空调占到
[37:31.430] 7.8。
[37:34.970] 你说大哥你
[37:37.150] 你别管了，回头买不着了，到那您车了。
[37:41.650] 这个问题对我帮你找一个。
[37:44.860] 我感觉咱们怎么可能38万8万
[37:49.180] 的
[37:53.040] 老迈的吗不都亮了，他的绘画
[37:57.950] 多打了几块东西要用，
[38:00.610] 订单会多了。
[38:02.480] 会你有我给你做俩，我把账号给发。
[38:17.320] 不是我看兄弟钱没事接。
[38:36.210] 那个来了。
[38:38.180] 16月份车那来了。
[38:41.430] 了
[38:43.050] 第三百十上立标朱晓
[38:52.370] 来了他。
[38:54.430] 赌场拿了车，
[38:57.950] 然后当时就跟他说，
[39:00.500] 给他报的棕色的是7万
[39:04.340] 的颜色，什么给他报的非宗室按照75,000包的，
[39:10.310] 菲菲是按照77,000报同志，
[39:13.430] 然后他想要8万，
[39:23.480] 他事后8万当17万汽车给他送个电车来，
[39:29.690] 他现在
[39:31.680] 不想送电车，他说自己然后是到吧，
[39:46.560] 您说声就老是非得要。
[39:55.450] 我觉得
[39:57.610] 光是没涉及到还是到那个环节，
[40:01.760] 因为老张去看车去了，他来的时候他媳妇
[40:05.470] 上来就问怎么样什么的能给了吗？你不是这么跟我说，您上午您说有机会的吗？别让我白来就那样。
[40:13.690] 对低配不上我那车型，它这个车我刚才塞了一下，其实咱们推车这车正经不好卖？
[40:22.260] 正确的这车棕内对你说东北挺好卖，他想要飞那是我觉得。
[40:27.800] 明白，我觉得给他们
[40:31.960] 孙老师说咱们交费了，
[40:37.160] 没问题，你不是谁买回那个事，
[40:41.370] 又是个例标本来，黑车费那事都不好看，这个有车
[40:48.410] 有车。
[40:50.000] 没有。
[40:51.910] 没什么好的好看到了。
[41:04.670] 完了
[41:05.590] 吗？的刚
[41:09.050] 现在。
[41:11.350] 三台6月份的一台5月份，
[41:15.630] 那台4月份我看已经卖了，
[41:19.710] 那天看的时候还有一个4月份，
[41:25.180] 你看看昨天一共是四十六千一百二十六天，
[41:31.390] 的
[41:32.590] 的
[41:42.600] 手被蚊子咬了痒。
[41:45.840] 三
[41:53.230] 不要太用力。
[41:58.210] 我操痒死我了，也不要明天
[42:07.060] 怎么样回来了我就看完了，吸毒的时候胡同里面弄点药，
[42:12.780] 不是有小药膏吗？我擦点。
[42:16.080] 都说你这有可调高，这大蚊子都咬不上。
[42:23.960] 咔嚓一下，今天必须得弄两之后。
[42:26.540] 盯。
[42:28.100] 是这意思吗？
[42:29.650] 养了这一下。
[42:34.160] 的
[42:43.950] 的。
[42:45.260] 来请了。
[42:47.440] 没事我就不了了。
[42:51.450] 没事，老婆您评估了是吧？
[42:55.420] 行，咱们找一工位。
[43:32.480] 来，你坐吧。
[43:33.330] 喝点什么你？
[43:34.620] 咖啡茶馆、食品饮料店。
[43:36.920] 大型水坝要不喝点水，你吃饭没有？
[43:39.880] 咖啡茶馆谁知
[43:43.910] 过来
[44:41.300] 没事。
[44:49.410] A
[44:56.290] 行好勒，我们在AMD这儿。
[45:00.780] 好了，拜拜。
[45:02.860] 我们这张什么把他的吃饭家伙是您那车里了，
[45:06.730] 有些平板没事，他一会过来找您来。
[45:22.430] 车型基本上就定好了，是舒享的立标，黑车黑内饰。
[45:27.620] 对。
[45:28.340] 对吧？
[45:32.100] 上次您比较纠结的
[45:34.570] 到货的时间
[45:36.670] 还是想要一个6月份的是吗？
[45:39.410] 行。
[45:44.080] 另外我看
[45:45.550] 这几天价格又降
[45:47.930] 了，网上的价格
[45:49.360] 真的是没法参考，因为你实际到店的话跟网上价格完全都不是一回事儿。
[45:54.910] 网上是需要你满足他一系列成交条件的，他是等于说好多捆绑着你一块去销售的东西，但它也能体现一个趋势，
[46:02.640] 通奸趋一个趋势，
[46:04.620] 反正确实是我们这个月整体的进度，包括什么节奏都不太好，
[46:10.290] 一直都是在百
[46:13.330] 比进度要慢，
[46:16.440] 这两天人流是不恢复点了，
[46:18.730] 恢复多了，昨天这点还没上来，等到下午在3点来钟的时候，这屋就又满了，昨天
[46:24.860] 各个地方都觉得人流都上来了，
[46:31.280] 然后咱们那天看的资源，我不知道您还有没有印象，
[46:36.670] 有5月份的资源，有着6月份的资源，还有
[46:44.350] 4月30号有
[46:45.530] 卖了。
[46:46.840] 哪个卖了，对，最起码我不用考虑。
[46:50.520] 卖了。
[46:55.310] 5月几号的？
[46:56.650] 稍等我看一眼。
[47:31.520] 卖了那台是4月30号的，
[47:33.910] 他再高一个的话是5月16号的。
[47:37.210] 再往上就是您看的6月6号6月11号没差几天，其实。
[47:44.470] 5月也行。
[47:46.060] 得勒。
[47:47.070] 那就是之前跟您说的价格77,000，然后给您送一个验车。
[47:53.730] 是这件吗？
[47:54.940] 是这个就说办了吗？上次说的是77,000您走的，然后跟经理去申请的，说把这验车送去验车，咱们店里不收2500，
[48:03.310] 给您8万凑一下，凑到8万就差500块钱吗？
[48:07.730] 是这么谈吗？
[48:10.020] 当时是没有验车没送验车吗？等你走了以后又找经理。
[48:15.450] 经理有点撑着，我让您先走了。
[48:17.670] 说你
[48:18.910] 再聊聊，当时应该明天就签了，我说算了都已经走了。
[48:23.700] 现在是打一次8万，然后加黑色内饰家验车试一次77,000+2500，相当于是7，不是说因为黑色内饰降了2000，
[48:35.160] 咱们的政策里边这个车比棕色内饰就多2000，中餐那是75,000，黑色那是77,000，当时就那么给您报的。
[48:43.760] 然后您不是说要想要一个8万的价格吗？对，然后咱77,000当时是没有送验车的，
[48:49.860] 等于说您自己花2500件车，
[48:51.850] 咱们相当于还是77,000，但是把2500验车送给您了，等于说是还是给你省了一个2500。
[48:57.260] 相当于是79,500，
[48:59.030] 给您8万其实就差500块钱。
[49:02.030] 这么一打电话都
[49:03.560] 理解的意思就是已经优惠到8万，还没说什么验车的事儿，
[49:08.670] 到这车真到了，灯泡要8万，
[49:11.460] 那辆车就是你送一辆车，其实我也得去吗？
[49:14.670] 对，到那边所有的东西您不用去参与去什么把车开到再把车开走。
[49:21.650] 因为这个环节都是不管是你自费的还是赠送的，真实驾驶的行为还得是客户自己来开。
[49:29.740] 它里边涉及到代驾里边的东西太多了，
[49:32.770] 比如说是验车师傅开您这个车，
[49:35.410] 不管是自己的责任也好，不是自己的责任也好，发生这种剐蹭解决起来非常麻烦，真的。
[49:42.330] 大新车
[49:43.640] 他们那点工资说白了您大新车钥匙剐了，蹭了的话真没法什么，以前我们这儿提供代驾服务，
[49:51.310] 提供代驾服务，然后在检测场里边让别的车给蹭了，
[49:56.130] 也不是自己的责任。
[49:57.770] 最后又牵扯到又换车，
[50:00.350] 换票前面保险什么的又都出了。
[50:03.590] 对，因为客户就不要蹭了的。
[50:06.600] 你如果换新的就特麻烦，所以说这个以后就
[50:10.120] 从那以后的话，关于驾驶车辆这块的话全部都是客户，比如说你有时间没时间，
[50:16.570] 委托家人朋友什么帮您去验都行，不一定本人非得到场。
[50:20.630] 关于验车就在岳口庄，
[50:23.180] 我们是7421。
[50:25.030] 在哪？
[50:26.190] 在京良路。
[50:31.070] 六庄也可以是吧？
[50:32.540] 不是定点，咱们是都这么多年了，都是7421。
[50:36.030] 岳各庄
[50:37.690] 有不成文的规定，他就是你奔驰车到那验
[50:41.100] 特别麻烦，手续又繁琐，到那还又的岳岳各庄检测场是不怎么验奔驰车的，
[50:51.890] 旧车折算的时候能报出价格很快，反正上次的话你走了以后，他那车不是给您报了一个
[50:58.710] 妈18,000吗？
[50:59.840] 后来我跟张叔说了，说我说这个客户
[51:03.140] 对这个价格不太满意，说在外边说问说3万多，
[51:08.580] 当时我大概也有后边又碰了一下，找人说这车3万多，
[51:14.920] 不太现实，也就是外部给您报的三个，这边只能是
[51:18.390] 车价加补贴尽量凑往3万上面凑，争取跟您在外了解的差不多。
[51:25.340] 因为这车设计的补贴是5，
[51:27.580] 这车如果说现在打BS2万的话，加起来25,000，其实跟这3万的差距不是很大，差几千块钱。
[51:33.660] 他这边如果今天能再给力一点，说再给您多评点，就算超着上次是暗红，
[51:40.410] 后边他说有故障，他是说了后边是怎么着我也没听明白，他说你看他确认
[51:45.380] 没有故障，
[51:46.350] 所以当时他从报价上不上楼等着他给您报。
[51:50.060] 对，他也知道你今天过来我也跟他说了，我们
[51:53.850] 都会关注。
[51:55.930] 让他自己看着办。
[51:57.960] 他还要不要再继续验车，自己掂量着。
[52:10.270] 我上次第一次您来的时候，我给您算了一下分期，后来您自己又来过一次，说基本上不在考虑分期了。
[52:19.150] 我想这块的话您是怎么确最终确定的？
[52:22.870] 算是有点麻烦。
[52:25.060] 反正也不差这些钱就一起做旧了，你有真正算过它的利息是多少吗？
[52:30.750] 其实我是觉得挺合适的，但是非常合适，他
[52:35.000] 属于比较谨慎的人，他觉得保险里面可能有点坑什么的，觉得自己
[52:41.230] 自己避免不了。
[52:43.120] 给您算的方案，我记得应该是两头附本金，中间只还每个月几百块钱的对吧？方案。
[52:49.180] 这个方案只有奔驰有，其他品牌都没有，这方案的话等于说您可以将您的贷款的这50%
[52:55.690] 放到
[52:56.910] 两年以后再
[52:58.550] 中间过渡就是每个月这几百块钱，
[53:01.120] 真正算一下这个利息非常少。
[53:03.460] 对，他利率的话都低到不能比如说您将您的尾款
[53:08.210] 放到一个保本的理财里边去，
[53:10.490] 你就拿他的收益都比利息要合适。
[53:14.490] 基本上养车什么的，
[53:16.450] 日常开销什么的，我觉得都没什么太大问题，
[53:19.760] 是比较合适的。
[53:22.330] 收到他手续的话就需要身份证就可以提交审核了。
[53:27.170] 现在也是走这种极简的审批，你要以前做分期，
[53:30.480] 得开收入证明，
[53:32.550] 开工作证明，打流水，现在都不需要旧身份证就可以。
[53:37.740] 基本上
[53:39.940] 买这个车好多客户他够不到这个条件，不是自己的指标，
[53:44.470] 然后又是比如说征信不好，他想做也做不了，像您这种情况的话其实是
[53:50.040] 可以考虑的。
[53:57.400] 庐山我结完了，我觉得56
[54:08.490] 那个是真的合适，如果是
[54:11.280] 其他品牌的话，
[54:12.920] 又有单独要收手续费，
[54:15.030] 比如说您贷20万，还得收大概七八千块钱的手续费，
[54:19.000] 还得收稍微高一点的利率，基本上都得在4个点左右。
[54:24.760] 它这合下来才
[54:26.510] 才2点多。
[54:27.800] 真的非常低。
[54:30.580] 如果您本身自己不怎么做理财的话，
[54:33.660] 我觉得就不勉强了，你要比如说但凡说有一点理财平时在做的话，这个钱完全可以再放进去，
[54:41.910] 真的合适。
[54:44.020] 这种促销就是这种分期的目的，还是吸引说那些只有首付20多万的，然后这种人群，
[54:51.680] 这是一小部分最小的，他现在吸引的人群的话，首先说厂家目的，厂家目的是增加客户粘性，
[55:00.180] 增加客户粘性，因为你不是说交了全款
[55:03.900] 就一拍两散，
[55:05.160] 可能这车以后再卖什么的，你不会先考虑到奔驰，
[55:09.190] 回来说办一些手续什么的，也不会考虑这些，可能考虑的两年期间，因为美
[55:14.830] 每个月都在还贷，对有一点点潜在的联系，在，你始终这个车的话跟分支是有联系的，因为你有贷款没还完对吧？
[55:22.300] 可能你未来两年以后，
[55:24.720] 你需要这个过来拿个什么手续，说办个什么解抵押什么的过来，你还可以再过来看看新车，没准当时有一台车
[55:33.330] 又吸引到您了，
[55:34.550] 您还可以再去考虑它的新的车，它是建立这种粘性。
[55:38.800] 因为现在
[55:39.720] 不管是什么产品也好，还是你买车也好，他都希望跟客户建立粘性，比如在go
[55:47.090] 重构这种他都是这样，包括你到售后也是
[55:50.550] 给你好的这种体验，好的服务，就是为了让你下一次还来我这儿做保养修车什么的，
[55:57.550] 他都是为了增加体验性。
[55:59.710] 从消费者的角度来看，
[56:02.610] 现在的经济趋势
[56:04.240] 是特别需要这种产品去刺激客户的，
[56:07.840] 对吧？本身
[56:09.040] 给你足够的优惠，因为他有贴息在里边，
[56:12.440] 他贴那么多钱，为什么？
[56:14.600] 为了让客户去培养这种消费习惯，
[56:17.820] 你下一次在买车的时候还考虑分期，
[56:20.210] 对吧？
[56:21.120] 现在的经济形势的话也是什么都有分歧，你买一个像他们买个体积都有，
[56:27.470] 买个剃须刀
[56:29.310] 都有分期对吧？只要利率合适，
[56:32.470] 能接受这种方式的话，是现在主流的消费方式，
[56:37.420] 不再是那种
