[00:00.450] 2020年7月2827 29号张良客户
[00:04.340] 侨福将交出录音，
[13:56.450] 设置您开个蓝牙就行。
[14:02.520] 这样。
[14:09.570] 您这不是长安的。
[14:11.530] 那叫mate10看到了吗？
[14:14.030] 这儿选择电话系统快速搜索点确定，车辆就开始找您了。
[14:20.080] 找到了。
[14:21.400] 这是您选中点确认，
[14:23.240] 它会提示手机做一配对，
[14:26.180] 点配备，
[14:28.510] 稍厚点一个同意。
[14:34.710] 您看。
[14:36.300] 同意。
[14:37.790] 电池电量移动信号都是您的右侧着放大镜，就是您手机的通讯录，您看马上就都导入了。
[14:44.840] 这就是您的来电，季播的同时，屏幕手机都显示自己开车的时候来电了，这个文件
[14:53.350] 往上推是接听，往下是挂断。
[15:01.160] 下车你一离远了一段，开这信息自动就清空了，它不存在车上，其他人开您的车什么也看不见，下次上车你就记着开着蓝牙上车他自己就连上了，
[15:12.150] 不管了联系一次就OK了。
[15:14.540] 手机平常您听歌吗？
[15:16.570] 手机听听裂纹蓝牙选择媒体，因为这都属于外事装置。
[15:22.590] 咱给您选一下自己第一个就是手机歌曲选中了，
[15:27.130] 用手机随便放歌都可以，试一下可以。
[15:30.900] 随便找个播放器，
[15:32.800] 什么QQ酷狗，我这有QQ没问题，谁什么东西您用这也都行，是播放器都可以。
[15:43.200] 跳过。
[15:45.830] 对，你身边找一个方面。
[15:50.040] 我得点了。
[15:56.480] 直接放手机就行了，这是送给您多发了。
[16:01.820] 您就记住了，它一定是在媒体里，
[16:05.720] OK
[16:09.050] 的
[16:11.280] 没问题。
[16:13.920] 车辆里我跟您大概说一下，介绍一下，首先驾驶辅助系统里都是这个车的主动安全配置，默认开启，不能做任何的关闭或变更，
[16:22.890] 这就不动。
[16:24.130] 照明设定里这车有氛围，灯白天不是很明显，我能给您调一个颜色你就看出来了，
[16:32.020] 实际上颜色是64种，看出来这是色板喜欢什么色，您调到对应的颜色上它自动优化了。
[16:41.170] 左边这个是明暗的变化，根据需求去选择就行了。
[16:45.160] 然后再有晚上停车左右的镜子，下面对应照地灯出现，
[16:50.430] 您锁车走的同时，咱得打灯让它照亮一会再自动熄灭，建议15秒一般够用了。
[16:56.530] 车内岩石也是对应的。
[16:58.520] 还有就是设定里的一些小功能，比如说安全带系的时候，他首先会累积下预警状态，
[17:06.260] 锁车喇叭显示提示做好车辆，
[17:09.130] 锁车让人进入自动收回，包括车速1~15公里，中控都是4门自动锁的，
[17:16.750] 以及
[17:17.660] 后备箱现在是完全打开，您也可以选择只开一半的状态完全开启，反正方便点相对
[17:24.380] 方便出入三种状态，第一种方向盘，如果您是高位状态下车灭车他会自动退缩着，座椅往后撤，给一个相对大的刹车空间，或者只是方向盘可以做，所以不动，再有就是什么都不懂，
[17:40.520] 开车人多你就选第一个，如果自己就无所谓了，到时候根据需求调整一下就行。
[17:48.240] 用户手册
[17:49.840] 是车辆的电子板车叔，你要是有时间等人点击能做定律学习都没问题，时间我也给您对一下，时期应该调过了OK没问题，
[18:01.200] 都是自动的都不用管。
[18:03.600] 这一行金属件全是这个车空调的手动调整，蓝红箭头对应的是温度，左侧右侧网上世家
[18:12.850] 往下试点。
[18:14.190] 第二个是风向，您吹哪儿什么位置，前后脑正面脚下，
[18:19.590] 自营器切换就行了。
[18:21.720] 第三个是风量，网上最大是7月，网上风越大，关第三个点往下关，到头
[18:29.000] 开的话都可以无所谓。
[18:31.370] 自动空调您可以设定车里的一个合适温度，点亮凹透镜车内会一直保持温度，
[18:37.020] 起雾了，雨雪天前窗后窗除这两个键点亮就行了。
[18:42.120] 现在按键亮灯，左右温度是一致的可能吗？
[18:46.550] 灭灯变成分区，个人控制个人，
[18:51.080] 现在外循环亮灯内循环是一致的，
[18:53.840] 制冷夏天咱必须KC否则没有这种状态。
[18:57.340] 出风口小竖线充上，这都是有
[19:01.560] 往左拧水瓶就是关闭状态。
[19:04.330] 全
[19:05.580] 一共是6个，包括都是一致的。
[19:10.690] 管管这出风的什么车风口应该现在是不是有风？
[19:15.160] 这就关了两管管这俩，对那一个这儿一个
[19:21.420] 都是这都一样，这个角度您就上下走自行调就行了。
[19:29.510] 双闪在这个位置。
[19:31.320] 对这车有一个无线充电功能，您这手机如果有这功能，搁着自动车估计那比较老旧没有了，不知道没有你看
[19:41.490] 它会割着它有自动标识放这自己就冲了。
[19:45.430] 苹果的8以上都可以。
[19:49.920] 然后您这没有，咱就正常路线托市是可以哥。
[19:54.910] 倒是比较早可能就没有。
[19:58.750] 没有对，有您搁着自己充的，您工程
[20:02.390] 他也不行了，我这萋萋不行，苹果8以上
[20:07.210] 八以上才开始有配置，短期之前都没有。
[20:11.050] 然后
[20:12.560] 下面冲您就插这USB，接口就行，这个左边宽卡现在是导航的地图卡，
[20:20.270] 这根箭最后边的电动遮阳帘，
[20:29.940] 开一下关。
[20:33.360] 有浙江联其实就挺防晒的。
[20:36.640] 金属旋钮上下选择是车的驾驶模式，您对应的是C字母蓝底的
[20:44.800] 上下选由低到高，分别是
[20:47.550] 一是节油，
[20:49.280] C是舒适，S是运动以及运动家，您记住了4个模式由低往高涨，
[20:55.550] 没往上涨一档，这车动力都变强，越往上提速越快，往前推的往上下推，上下对越往上提速又快，动力越强，但是相对油耗越高，
[21:06.060] 一般建议您用舒适够用了，因为300本身是20的高功版足够饮水，
[21:12.450] 行车过程中可以直接切换，不用
[21:15.220] 用停车，
[21:17.280] 比如说您去郊区玩，都是逆向超车那种情况，
[21:21.230] 你正常舒适模式可能就是动力偏软，
[21:23.870] 你觉得提速吗？行驶过程直接上学，切换模式超车在
[21:27.330] 并回来以后切换回模式就行。
[21:29.840] 第二个这是雷达官比刚才低的最低，那叫一什么节油，对。
[21:35.860] 你要是城区开，因为你也开不起来，
[21:38.830] 用比较拥堵就用这个也可以，但是动力输出就相对软一点。
[21:44.400] 一般建议是C属实。
[21:47.360] 第二个这是雷达关闭，我刚才演示了一大离近了，他会有一圈的黄橙红小格提示，
[21:54.340] 第二个键摁亮，看到吗？这雷达关掉了看到吗？
[21:59.030] 这是开启没了，在离进来就没有黄橙红的隔了，什么时候用到？就是您上自动洗车机的时候。
[22:07.820] 自动洗车机，
[22:10.270] 你进去皮带带您一直刷车，他不得DDD一直预警吗？临时关一下，出关了适量对红灯是关闭，
[22:19.860] 出来就给降了开启。
[22:22.540] 这别忘了，回头再离近了，都没有任何提示了。
[22:26.720] 上面这些都是对应灯光，都相对简单，阅读灯左侧一个
[22:31.980] 对应您右侧一个这儿设了一个开门亮灯，
[22:37.070] 晚上很有用观好似门自己就灭了，
[22:40.540] 包括车辆的前排照明，
[22:43.920] 后台，
[22:44.950] 您上面灯都能独立开启。
[22:47.730] 天窗和张玲咱就这一个案件往后的一下掀开
[22:52.430] 跑高速。
[22:53.650] 如果说。
[22:55.160] 想换换气，开镰以后往上推，
[22:58.920] A才会露一缝。
[23:02.040] 第二下再往后是开大片，
[23:05.880] 找到合适的一个位置，您按一下调整一下大小就行了，否则他就开到最大
[23:11.910] 了。
[23:12.840] 反之咱往前关两下，第一下先关天窗，
[23:22.980] 再关一下这样聊。
[23:27.280] 合适就前边能开着，后边这对都是固定的。
[23:32.050] 您后排一共有4个案件，靠前面的2个分别是左右的玻璃，
[23:39.550] 前排两对，后边那两个，一个是最后边的遮阳帘，还有一个是咱们车顶这样恋恋不舍。
[23:46.890] 这后台都能独立控制呢。
[23:49.040] 对。
[23:50.650] 然后您也可以调节副驾，把按键点亮对点亮，
[23:55.700] 然后再推这个座椅大的。
[23:58.120] 前后推前后腿，对前您可以控制它。
[24:03.360] 是他现在自己调了，
[24:05.670] 然后你可以前后推转移，
[24:07.770] 知道吗？
[24:10.350] 长队。
[24:12.180] 但他也控制你稍等等，他松手转型在
[24:16.720] 这是老板多少，您可以调节它的位置，这个也自动就冲过来是。
[24:22.250] 您是老板做，如果他做的特别靠后，您觉得空间小，您可以对应调整的就行了。
[24:29.210] 哪样是一定
[24:31.070] 好。
[24:36.050] 车型均开走吗？快走，你给我代码。
[24:40.620] 但我没印。
[24:42.440] 没事，我拍个照片也行，我拍个照片你拿走。
[24:54.230] 这个灯就是总是这么开，对着环境氛围灯只要启动它就自动亮了。
[25:02.180] 我觉得这还挺。
[25:04.100] 对，晚上就特明显了。
[25:06.000] 对。
[25:07.260] 先生摸一下咱们座椅这个位置，
[25:09.800] 模拟就是您右边侧面与圆钮，
[25:12.840] 您这上面有前后上下4个小毛头，按住钱别撒手，
[25:19.480] 腰腿就往外顶了，
[25:21.300] 上下前后调整跑长途，这个会减少很大提到
[25:26.340] 调整腰部的劣势，
[25:31.240] 后台没有，对后下来没有。
[25:33.830] 灭车交接一下启动键就可以，启动的时候你想着踩刹车，车里基本就是这些功能，没问题，咱就说说下车，说说外边后备箱有些东西做清点钥匙的，外面您使用跟您说一下。
[25:48.050] 我待会会把电话留给您，这个灯是不是下车以后他就面对，现在开门就亮，关好它就灭了。
[25:58.950] 留个电话您。
[26:00.180] 您干嘛了？
[26:01.390] 行。
[26:07.550] 没事，待会邮寄也行。
[26:10.600] 首先说这要是火车
[26:13.390] 4个门后箱您都算好了，上面按一下锁止，
[26:16.740] 有转动量三下着再倒多好了，如果咱这车门有一个门，比如说
[26:24.560] 虚着没锁时这种情况，
[26:28.230] 没有声音转灯不亮，看到了吗？明显区别这事儿。
[26:33.920] 同时您这车又有无钥匙进入以后钥匙装在身上，包里带着不用拿出来，
[26:40.540] 4个门上都有1个小凹槽的，把手上按一下锁车，
[26:45.920] 开锁的钥匙一进来往这儿一搁，你看自动就开了。
[26:50.850] 等会儿还设置了吗？
[26:54.250] 对。
[26:56.320] 看到了吗？
[26:57.980] 所就单
[26:59.480] 快乐那一搁就行了，
[27:01.280] 4门都一样了，所以您装就行，4个门都行，都有4人都是改革就投了，这不是现在4个门都有，后备厢咱再看一下，
[27:13.400] 要是开
[27:14.950] 最下面N著了长按，
[27:17.510] 独立开，
[27:19.510] 没车的三脚架，原车自带。
[27:23.680] 没有备胎，底下有一拖车钩，剩下这空间你用储物用了。
[27:27.900] 您的东西还有哪些？
[27:30.460] 急救包重点查布剪刀。
[27:32.360] 苹果、安卓数据线各有一根，
[27:34.800] 保养您带着保险信息车的说明书，道路救援是都在这里。
[27:39.720] 这个是什么？
[27:41.490] 是一个荧光的背心跟交警的反攻每天一次，反正这种事故起到警示作用。
[27:47.250] 还有是什么东西是
[27:49.940] 您这台车的三包涉及商智宝一定别丢。
[27:53.700] 这台车554588生产是7月7号生产的，开票今天。
[27:59.310] 月29号。
[28:00.350] 这个车的质保期首先是三年不限里程，是从今天开发票开始算，
[28:05.990] 三年内这个车不管您开多少公里，
[28:09.170] 这些大件如果出现质量问题，全都
[28:12.550] 后边
[28:13.860] 每一个易损件又有天数公里数的条件对应限制，
[28:17.420] 除了这个条件，
[28:18.930] 易损件如果您再坏了，咱就是自费项目了，都您自己带走是吧？
[28:25.290] 的。
[28:26.040] 还有一个功能是什么？感觉是后备箱
[28:29.000] 要是已经在这位置，大概在这个位置做一个权衡的劈腿，
[28:34.190] 您记住是这个位置，
[28:37.220] 中间
[28:38.630] 批一下开一下关都是一致的，油箱盖咱是在右边的，
[28:44.000] 一定记住4门是开锁的前提下，
[28:47.430] 按一下
[28:48.570] 把这打开了，
[28:49.840] 直接拧开95号
[28:52.200] 锁车的状态下，
[28:55.650] 这就是锁了就不能动了，
[28:58.910] 一定是开锁才可以打开。
[29:01.100] 这街里头咋开，我要加油，主驾门上那4门开锁键，
[29:06.960] 来
[29:08.120] 中控开锁，
[29:14.750] 你看
[29:16.310] 就开了，因为您这车
[29:18.780] 基本上给一脚油4门课，咱们没有厂里的操作，它自动就打，对，他没有车内没有单独的邮箱开底线，都是4分钟都没动的，都没有。
[29:29.490] 行，咱就近了吗？看后面好。
[29:32.760] 还有一把钥匙到时候您取过来来。
[29:43.890] 车已经都跟咱们那车太贴了都没事儿。
[29:48.040] 没事。
[29:49.710] 正常。
[29:51.430] 周老师
[29:53.230] 咱们讲的客户上了不得了，你以后了解功能，客户说不用等家里人这车
[30:00.080] 的
[30:01.100] 什么你这边有没有其他秘密也不开。
[30:05.190] 家里人看今天交钱的事是没关系，你激活任何人都可以用。
[30:10.840] 怎么了？要不就把你开通了，把手机号告诉他，您家里人也行也可以吧，您身份证没能。
[30:17.150] 谁生证是个人身份，没有指标人你不要指标人先上来就先生用先生的开，
[30:23.540] 欣赏之后还可以拿来用。
[30:25.740] 你把这个激活了，谁开这个车都能用，您等我几分钟好吗？
[30:31.010] 手Q给你放着，你先
[30:33.260] 让先生拿着也行，或者搁那边抽屉里，我待会完事，第几次第二下次来拿车就开始停。
[30:39.320] 回去我们等
[30:42.090] 这就是一个边上
[30:43.840] 沟通不了。
[30:44.460] 拌匀您下午什么来？
[30:47.110] 你车还我知道您什么时候来，一个多星期。
[30:50.920] 不行，这厂家三个工作日觉查对您等几分钟好吗？
[30:56.800] 把这手机给您明白。
[30:59.160] 您水坐一下，我马上过去找您，一会儿让客户过来找你不就完了，行我完事我找他什么？
[31:05.290] 不用。
[31:13.090] 还有
[31:18.760] 的
[31:20.050] 的。
[31:23.630] 先生您不是军人吗？
[31:26.310] 不是好勒。
[31:27.970] 的，因为
[31:31.070] 然后留个您的电话。
[31:32.980] 1360您说邀您说9688，好。
[31:38.640] 13651279688给您手机马上发一个短信，里边有一个6位数字的激活码。
[31:46.210] 收到您告诉我一声。
[31:47.540] 没用，我就直接给您激活OK8800。
[31:56.970] 以前。
[32:01.510] 686您说09好。
[32:05.380] 回头这新车您刚开始别太快，车速咱们
[32:13.210] 不超120，发动机的转速不要超3000，
[32:16.620] 前1500公里尽量做到平稳驾驶，咱们少急加速急刹车，
[32:21.760] 出了1500公里正常用就行，车您也基本就是北京用。
[32:26.570] 对北京的话咱们加油95就够了。
[32:30.570] 如果说您比如说跑外地，有的时候外地有些
[32:36.840] 油站的油品不太好，或者说有乙醇汽油，咱们家就稍微的高一点，97或98的。
[32:47.680] 奔驰车的保养，咱们是一年或1万公里做一次保养，哪个先到算哪个投保也是1万。
[32:56.670] 投保人对。
[32:59.560] 你吃了还想我的手机
[33:09.020] 最后
[33:10.420] 说
[33:12.760] 先在这里干，最后下面使用的。
[33:18.350] 但是我觉得
[33:36.070] 知道了。
[33:39.930] 还比以前变大了。
[33:43.630] 还变贵了吗？
[33:45.110] 是三了。
[33:46.960] 空间小不是
[33:49.790] 31。
[33:53.990] 把您的微信打开。
[33:55.770] 我给您
[33:56.750] 装一软件，回头您自己这车
[34:00.380] 车跑多少公里，剩多少油，玻璃水师傅缺失轮胎压力，什么时候保养，手机上都看到微信扫一扫扫我这个码就行了。
[34:11.770] 然后浏览器中安装一下。
[34:14.890] 对。
[34:26.770] 不用了。
[34:28.280] 对。
[34:29.510] 来
[34:31.000] 行。
[34:32.440] 下载安装。
[34:35.390] 然后点下面下载，
[34:38.080] 然后点确定。
[34:40.320] 中心优惠，完了他是24万，他用完了是19，
[34:45.800] 完了。
[34:48.800] 上。
[34:49.790] 那不用管。
[34:51.080] 他每做一步您都会收到一封信，好勒，来正在提报成功，这些您都能收了。
[34:59.470] 89完了。
[35:01.090] 这么特别晚。
[35:03.070] 对着屋里信号不太好。
[35:10.750] 号。
[35:12.990] 你看剩下的
[35:18.140] 这时候把空白的三号给我弄没了。
[35:25.750] 正在茶叶
[35:27.320] 查阅完了之后点安装继续安装队，
[35:34.890] 您算快的，
[35:38.210] 然后直接打开。
[35:45.650] 对我同意对。
[35:48.560] 接受。
[35:49.840] 然后点最下边。
[35:51.650] 什么选择你的第？
[35:56.880] 稍等。
[35:58.420] 现在还不能登的。
[36:00.420] 能您直接点登录就行了。
[36:55.270] 马上我正在打开。
[36:56.860] 比较慢，
[36:59.080] 这屋里信号不好，
[37:10.630] 我们这客服马上会下来给您做一个面访，
[37:14.400] 待会儿的话这里首先会有自己电台黑色的一三百的车的照片，数据的话咱们快的话下午慢的话明天
[37:22.250] 这都同步到手机上了。
[37:36.280] 您刚才说什么客服给我什么做个面访，昨夜
[37:41.070] 面对面的
[37:42.770] 对我们的服务做一个问询。
[37:52.800] 您离我们这儿如果近的话，
[37:55.420] 这个厅走到头右转就是咱们的
[37:58.680] 如果您离我们这近保养的话，提前一天打一个预约
[38:03.090] 就可以了。
[38:06.440] 这个是刚才我给您三包的一个复印件，原件在您车里有一个红章，5873 4个9打电话提前一天预约，
[38:15.290] 这样的话咱们保养来的时候
[38:17.220] 不太需要排队，这样您先给我签个名字，代表所有签字都是您签的是吧？对这签名就行了吗？
[38:29.620] 这签一个。
[38:31.560] 这么慢吗？
[38:33.940] 来了。
[38:40.520] 从东走。
[39:08.750] 上外边走了。
[39:09.880] 没事，待会那放完了就行了。
[39:12.940] 行吗？
[39:14.290] 第一行是数字里的加号，86，
[39:18.990] 这是中国区的缩写，加您自己的电话。
[39:22.150] 来我给你
[39:23.990] 我给你照片没有？
[39:25.920] 是今天的事。
[39:28.010] 内心29
[39:30.790] 将C300
[39:33.470] 545883
[39:37.080] 648823怎么样？中粮大A
[39:42.210] 小A12346号公路，
[39:48.650] 指标人瞧，我们将邀请到的
[39:52.200] SAP927286
[39:55.080] 927286。
[39:58.150] 二。
[39:59.240] 1886怎么样？本人
[40:01.800] 你面子了两个电话是稍等。
[40:07.750] 1365
[40:09.510] 13651271279688。
[40:13.680] 08，好的。
[40:15.280] 行，现在我这边给您做个面向，到了吧，您看一下雨伞是赠送您的一个礼物，
[40:20.870] 咱们针对此次购车有一个满意度的评价，这几个问题根据咱们此次购车满意度进行一个评价就行。
[40:28.100] 勾选就行，加上您的名字，我整进去坐坐装置的知道。
[40:32.610] 对。
[40:36.050] 我已经忘了。
[40:37.760] 忘了。
[40:40.520] 我知道这个完了。
[40:42.920] 没问题的。
[40:45.060] 几个手机用都行，但是账户只有一个，比如说名称也这账户的密码红灯不会上当。
[40:52.030] 他同时
[40:52.840] 这都是
[40:53.950] 没有这不是的，您此次购车是朋友介绍置换还是其他？
[40:58.790] 置换的话一下就行，然后行业好写一下，签上您的名字就行，这
[41:04.880] 同一爱好如果有的话就写一下。
[41:07.660] 对。
