[00:00.000] 远远前段时间周末都
[03:21.800] 现在有一个高尔夫，有一个大众狗狗收官，我想报告不知放一块，不是15年买，15年春天买的。
[03:29.990] 为什么走路
[03:32.380] 很好，这两部有非常贵的全员。
[03:36.040] 您买的是交易吗？
[03:39.040] 这循环的吗？不是这好几年了，老款新款4年他一直在售价，用户一看就应该是没看过这车型，它的售价都比他指导价格高。
[03:51.210] 现在就是说加起来现在不要加钱了，公示价你看那边有公示牌，明码标价，
[03:57.390] 他确实售价比他指导价格要高，他这个就是时尚型是什么？第但是
[04:02.790] 我这款是东北的，
[04:05.910] 就基础配置他用是有三款动感时尚还有豪华，
[04:11.930] 动感的，时尚的话就差个9000块钱，你怕什么东西，它后排的书小套装
[04:17.790] 差异并不大，
[04:19.280] 因为本身价差也不大，就9000块钱。
[04:23.240] 您现在那车用了感觉怎么样？
[04:25.720] 有没有什么觉得不足的，在这台车上需要提升的？
[04:30.680] 都挺好就不消化的。
[04:33.390] 竞品有什么对比吗？我看吗？
[04:36.770] 那几个车你是奔驰宝马的是吧？只猫什么跳舞什么的，5Y790。
[04:44.590] 感冒觉得还是更满意一些是吗？
[04:47.740] 中国出口了也没选定车型，实在不行还可以就不定了，几乎都停了。
[04:55.690] 没事，他这边有优惠吗？这没有，不是豪华是什么？
[05:00.240] 哪个？
[05:01.240] 淘房会带他。
[05:03.430] 然后的话三次空调
[05:05.920] 地址更好，然后衣服是不是声音响，在采购现实的
[05:10.800] 有点
[05:12.010] 豪华，回归了豪华的话，您优惠完也得在90
[05:17.110] 95左右差不多。
[05:19.100] 我看看柏林之行，那音响对的是吧？对一套音响说好几万。
[05:24.950] 37吗？这个真的是。
[05:28.280] 44差不多，S级有优惠优惠多少优惠跟车型3万多4万块钱的都有差不多。
[05:36.310] 这优惠力度不大了。
[05:39.490] 消防齐全并不是很大，
[05:42.940] 如果这车型不可能潜意识的影响
[05:47.680] 他的指导性售价，现在没有
[05:51.870] 焦虑，
[05:53.420] 它是全新换代，为什么说它现在价格上确实要高一些？
[05:58.120] 因为你买完这款车的话，起码说六七年不过时，
[06:02.030] 可能说您向我们买的时候，
[06:05.000] 老款的
[06:06.200] 是它生命周期的末期，对，那就说这坐车过几年其实也是这样，
[06:12.210] 但是可能对于产品竞争力度下降了，您可能增加了。
[06:17.940] 他们设价的话应该是934,800这个车型。
[06:22.840] 就是那个钱。
[06:24.350] 咱那边的公示牌你可以看一下，
[06:26.930] 原来不都是说什么加价，现在没有了就明码标价。
[06:31.060] 这个公式出来，
[06:32.610] 双方认可就行。
[06:35.680] 下来得多少钱？
[06:37.520] 像这款您现在钱下来的话，
[06:41.610] 够路费
[06:43.720] 让很多
[06:46.520] 保险验车上牌人家得小100差不多。
[06:50.120] 咱预算是想大概控制什么价格出来？
[06:53.480] 力度80
[06:55.040] 80万左右。
[06:57.870] 350您考虑吗？
[06:59.880] 50多里不行。
[07:01.700] 2.0T733827.80玛丽号278，
[07:06.120] 190千瓦乘以1.36，
[07:10.940] 咱国内说服千瓦的多一点，
[07:13.140] 不过现在你看焦虑也好，这些工厂差5也好，10×2.0T卖的会更多，
[07:19.280] 因为现在高速限速，
[07:21.340] 区间测速很想像原来开个一百六七一百七八也没这环境了，
[07:26.860] 而且它低速扭距条的都比较大，D老大，
[07:31.160] 350的话有714,800~738,800，
[07:34.740] 还有78万多了。
[07:36.530] 股份是一样的。
[07:37.860] 有了两个里面整体设计风格也都一样，说咱们买什么车，
[07:43.470] 高配低配都是一个车壳的。
[07:45.840] 去看看去。
[07:47.190] 看了看说
[07:49.700] 就转车没那么多，
[07:52.140] 他不都一样，您看着就行，如果你原来买票用刀背之内，那车壳子这不都是一个吗？
[07:58.150] 因为车太多了，咱们可能等一下
[08:02.470] 咱这的话
[08:04.520] 多大这款是3.0的吗？
[08:07.560] 3.02直接文章才能拿到周六，但是没有吗？
[08:14.270] 不一样的。
[08:16.790] 350性价比更高一些。
[08:22.700] 有5个有7对的需求，你还讲一声。
[08:27.140] 多少钱哪个？
[08:29.250] GS
[08:30.500] 这款是从118到141的都有就两款，
[08:36.830] 这款也有7多了，我知道35688咱一般可能要10多个省。
[08:43.010] 主要是小费，对账户被香肠传统一样加上去的，对。
[08:48.470] 他动力配置乘坐人员那个是工艺宫颈癌玩三块的，请问你将近公平了。
[08:54.470] 不特别急不大，对一块他当时都。
[08:59.000] 您自己家用是吗？
[09:01.670] 三了，动力配置成功能源价格情况分出来是350，还有一个时尚型可能
[09:08.250] 空气悬挂也都有了，全景天窗配置来说性价比
[09:13.050] 比较高，
[09:13.880] 也符合咱们预算。
[09:16.540] 这款您办下来的话，优惠完办下来不到90，
[09:21.490] 当然也得80多，有点烦你说。
[09:29.490] 738,000
[09:30.840] 8优惠。
[09:32.370] 80差不多，咱这个区域这价格政策可能就这样。
[09:36.920] 指标是咱自己的事吗？
[09:38.820] 你看可以做分期的第一期贷款，而且奔驰是唯一一个没有手续费的，您刚才给您介绍服务公约，
[09:47.410] 3.72，
[09:49.400] 比如说10万块钱，一年3720了，
[09:52.850] 首付30%，
[09:54.360] 最长是5年，
[09:55.800] 这个是比较合适的。
[09:58.530] 当然前提得是自己指标，好多北京的客户想做这东西，
[10:03.490] 但是戒指要一些，有不是你自己指标07指标我们可以做这块。
[10:09.110] 对，那就可以没问题。
[10:11.480] 好吧了，您播放还有补贴交100万，差不多0636透亮什么的，你介绍一下，不，我回头看网上看的差不多了。
[10:21.610] 就350您考虑吗？
[10:23.860] 暂时不考虑是吧？
[10:26.840] 或者您要分期的话，经常说汽车不愁节能汽车
[10:30.990] 不是也没谱了，得看您要车当时的情况教育车比较少，你知道吗？就像在的话就是大别山的地方有多少钱？
[10:39.290] 有计划的话可能得两个月左右，
[10:42.320] 如果没有计划的话就可能了，行。
[10:46.830] 好，谢谢不客气。
[10:50.020] 开车来的吗？
[10:51.570] 前台可以扫二维码，免费停车费，
[10:55.830] 让你把园区里面别的车几位还看过。
[10:59.270] 我看了今天你们去了吗？太久，我看这桥了，园区都是我们集团的，
[11:05.070] 奥迪、沃尔沃、保时捷都有，
[11:07.710] 文化卧下优惠多是吧？word车24 7901户28可是？
[11:14.750] 对。
[11:16.280] 那就全下来说。
[11:18.490] 77左右吃又会多，但是你可能也不愿意买。
[11:21.930] 为啥优惠那么大，确实产品力差点。
[11:25.800] 你还不如买，我建议您买
[11:28.380] 85的等等说好的。
[11:30.910] 可是她不接你们家有吗？我们没有。
[11:34.440] 不过反正都是这房车。
[11:36.570] 麻痹就是说装场地，
[11:39.610] 明天我们这少女做一回访，您看您什么时候方便帮不了你俩回过去好吧？
[11:45.120] 搬走，感谢来电回家。
[12:03.590] 那了。
[12:05.120] 该怎么办？
[12:07.460] 咋了？
[12:10.200] 我说你成了一个大了去，我们眼前成大哥，
[12:15.360] 传承大兴庄，
[12:17.560] 承认吗？几万。
[12:19.150] 没问题吧，他还是于没事，我怕他基本满意。
[12:23.840] 差不多了。
[12:25.350] 他也想把他我现在都那什么了，
[12:28.310] 我一直都是草木皆兵了下来了，该到推广的时候今天做好联系提醒我OK，完了我给打电话，
[12:36.200] 提前一天你第二天告诉对方你要拨200亿的针对你哪知道哪天打的汇报，这算
[12:42.290] 配置7天后，天上7天到期日期，然后提前一天不吃个联系，
[12:47.360] 不是吧？今天挣个钱
[12:49.020] 不是不行了，
[12:50.610] 我休息你根本就没事干是吧？
[12:53.780] 等于4毛就走了老师。
[12:58.780] 还
[13:01.650] 他这
[13:04.040] 我结肠胶囊就接着操没户口回答。
[13:08.200] 有打了个电话我都走了，哥哥你把你电话了之后，生活我打电话。
[13:15.870] 你看。
