[00:09.230] 你好。
[10:52.080] 他其实有朋友有这款车，但不是今年新款，是几年前的货款就开车出去。
[10:59.730] 那时候当时好像也是最好多了是吧？在八九十万，
[11:03.600] 而且十分下来可能一般都是这么的。
[11:06.950] 现在还有考虑其他的东西，
[11:09.520] 确定下自己
[11:10.250] 的标准。
[11:11.890] 他也没说。
[11:13.470] 都是比较倾向，对，有可能关注一下。
[11:17.460] 对咱们价格上可能就是有区别。
[11:21.520] 没有区别就是了解一下您的购买，因为这就是不同的客户他有不同的影响，有的是刚开始看车，车型没有明确，有的是已经看完了，就是左选出两三台车在最对比，
[11:33.860] 有的是已经看完了，我就想买这款车，然后去了解一下价格和每个店的服务。
[11:39.790] 这种质量包括硬件质量，软件质量都想了解。
[11:44.290] 所以说问问你看看内部了，
[11:47.160] 他现在也还是
[11:50.120] 还是在考虑阶段，
[11:51.580] 应该是就这么两个交代。
[11:54.590] 对，这个价位基本上就这么一个价位。
[11:58.320] 其实针对于60万左右车不好，如果能做的他比较优越的时候，
[12:03.720] 安全性毋庸置疑了是吧？提到沃尔沃都
[12:09.550] 第一对。
[12:11.460] 然后其实环保，然后再有刚才我给您介绍那套系统有什么自动驾驶，
[12:18.150] 包括刹车，这个是其他品牌都需要选中的，
[12:21.800] 像有些品牌都花钱选择来，咱们这次来是be OK，也就说您像后期如果说大哥
[12:28.410] 带着咱们全家有一个远外的远郊的出行，
[12:31.290] 比如说您走个小长途什么的，他让您这个长度更轻松一点。
[12:35.540] 而且我看她后边座位后边这三个这是平的，也比较舒适，他坐在中间会比较舒服，对，而且咱们后排的座椅第二排第三排都可以往前放倒，我给你打开后备箱你多少警察？
[12:49.080] 这就是一个7座的，如果说我的第三排座椅不坐人，因为前边都有挡了，没放到可以全放倒，
[12:57.910] 可以前后的觉得可以是相当于一个
[13:03.550] 就相当于如果全放到三排，两排座椅全放倒就是一张床。
[13:07.900] 对，比如小孩什么的，对，如果说咱们真正的有这种需求，我全放倒之后，她就是港口
[13:15.340] 级可能有4个人需求也可以，我4个人的情况下，我就1个孩子睡觉，这边坐1个人，前面坐2个人，
[13:22.090] 那就得我看看我从后面走。
[13:25.500] 稍等一下，我把这个弄下去。
[13:28.200] 就是一个平的状态，把再放到就是瓶子，
[13:32.220] 这个放到上对成功的一种状态，
[13:34.690] 这个就不能放了是吧？
[13:37.070] 如果说我是说带三四个人的话，你4个人的话作业可以单独再做1个人，然后他去陪宝宝聊些天什么的，然后这样不至于他心里比较紧张对吧？对
[13:49.560] 对这种概念。
[13:50.600] 就这种状态。
[13:51.730] 有很多时候孩子在后边站着睡觉，他比较害怕，
[13:55.600] 咱们后边座位留一个人陪她聊聊天什么的，他
[13:58.720] 但是你放到他这个也是有接缝的，对，它有点风还好点，您可以简单拿个毯子一铺就可以。
[14:05.520] 座椅可以再往后调一调，然后它总之是不能像这样无缝的衔接，应该差不多。
[14:11.100] 我说你走到银行
[14:19.190] 有一点号应该是
[14:20.810] 是吧？
[14:22.220] 互相有点人已经。
[14:25.480] 对，你简单铺一个毯子就可以了，其实。
[14:28.920] 网上有卖的那种软件了，鼓掌就可以了，就可以卷起来。
[14:32.960] 总之这样放倒了，哪个成人
[14:36.710] 应该也能疼上也能躺下。
[14:39.190] 对，这个长度是够的，因为我们有买这车的老先生，他说我长度是够了，
[14:45.000] 后面还得放行李，谁都不可能一点行李不放是吧？对，然后我是
[14:51.310] 有一位老先生，然后他住外面录，他老老两口这边是60多岁买这个车里，
[14:57.810] 他说他的车带的行李不是特别多，然后之后放的时候就搬到座位底下，我前座上，然后
[15:04.100] 还可以在车上休息休息。
[15:06.460] 这可以不开车的时候不是开长途，中途要想休息会儿也行，对吧？
[15:13.380] 对她躺着跟坐着休息完全是不一样的，当然了对。
[15:19.390] 是它的空间布局都电话以咱们家庭不同的家庭来使用，对，比如说咱们平时我就打开第二排座椅，第三排座椅我就不打开，就是一个很宽大的后备箱，你像这种情况下咱们
[15:32.200] 拉个大电视
[15:33.680] 也可以一车多用，
[15:35.940] 一会要上。
[15:38.150] 如果说是这7个的话或者彰显的就更响亮，对，您打开您。
[15:46.550] 因为
[15:47.880] 这个车现在所有的7座的SUV，他的弟弟二排问题，
[15:55.380] 一个乘坐空间都不是特别充裕，因为还是SUV，
[15:59.800] 设计系统决定它的一个限制性。
[16:02.540] 如果说咱们第300多人的情况下，就要求第二排往前调调试，这会
[16:07.550] 第二排第三排还算宽一，
[16:11.050] 不能说完全特别低，但是也可以说是合作。
[16:14.150] 两个小孩，
[16:15.480] 几岁的小孩什么的，成人就太别扭了。
[16:18.600] 但是我还是不太健康，我特别看什么方便，还有很多客户们为什么
[16:26.860] 其实怎么这个作品还可以再往后
[16:29.610] 因为这是公司的是吧？然后把你当
[16:33.350] 时间情况，然后桌椅也可以往后面。
[16:36.890] 但谁知
[16:39.200] 但是我还是很多安全，如果
[16:41.620] 很多人
[16:42.800] 已经不能过去，
[16:44.180] 没有关系。
[16:46.010] 当然了，
[16:47.540] 如果说被追尾的话是吧？
[16:49.810] 后边有没有自治区，他开展之后，
[16:52.640] 腾讯从外边看，
[16:53.950] 他还是有环境的。
[16:55.670] 对，没有去管控。
[16:59.370] 所以说他还是考虑安全问题，对。
[17:04.160] 包括咱们第三分都有全部产生，
[17:06.840] 后面还是科技发展
[17:08.920] 等等。
[17:13.680] 确实真正
[17:15.060] 你要让他们觉得
[17:17.510] 平时就三口人，对。
[17:19.690] 其实跟那种
[17:21.630] 这7个座位百7个人要尝尝，
[17:24.780] 有那种小概率，
[17:26.520] 小概率。
[17:28.230] 基本上都那个点儿是这样的。
[17:32.580] 生活的成本基本上就是复制，对。
[17:37.130] 其他还有什么话其他没有，不然咱们能帮我给就弄个单单子上，对。
[17:44.330] 好勒。
[18:07.550] 说了咱们查到6昨天收了7000 63,000，收750,400现在
[18:13.540] 15万的6张856,000。
[18:16.010] 看看。
[18:18.200] 对。
[18:24.000] 这是课文的又妈批过来。
[18:26.980] 上传了，还有一个很好的
[18:31.170] 到这儿了。
[18:33.730] 他们没有说我先搞清楚的。
[18:39.650] 还有一点
[18:42.240] 后来
[18:55.570] 还给他等我一下，我列个单子。
[18:59.500] 我的版权我在
[19:14.850] 小牙签还有我的板牙吗？
[19:16.900] 前台有我的版权吗？
[19:20.290] 看到你看办公室有没有？
[19:23.550] 是一个蓝色的妈，你去办公室
[19:26.580] 8点到里边，对。
[19:28.810] 找着找着，今天晚上
[19:31.760] 成了。
[19:42.000] 还没上班，
[19:43.690] 赔了一箱可乐，
[19:46.070] 我说还没上班，我就陪了一下午了。
[19:51.000] 完了
[19:53.190] 回来咱们一块，但是如果能
[20:12.440] 大哥是做什么工作的？
[20:14.940] 他都是女生。
[20:16.120] 做律师执业律师是吗？
[20:18.400] 有律师参加资格证是吗？
[20:20.540] 格外优惠。
[20:21.840] 是吗？车是他的指标是吗？
[20:24.920] 他的明细速成是他名下的，
[20:27.740] 有额外的优惠。
[20:29.160] 除了你刚说的这些是吧？对咱们有四大客户群体，军人、医生、律师和教师，
[20:35.310] 军人、医生、律师讲就是咱们四大客户群体，但是不是
[20:40.280] 每个职业都有特殊的优惠，
[20:42.540] 向医生跟律师的话今年会有优惠，
[20:45.850] 到时候再帮您查，应该是5000块钱，我觉得行好勒。
[20:53.480] 这得手写。
[20:54.900] 没有那种表格，对，因为不同的车型你那辛苦
[21:01.150] 习惯了就好。
[21:18.570] 我记得应该是5000。
[21:20.630] 行，就是这个行业的优惠职业的用户，对这个是正常的一个优惠销售顾问的报价，然后这是二手车优惠，完了这是咱们一个
[21:30.370] 对总的一个大客户的优惠，就是那5000块钱。
[21:46.400] 明白。
[22:09.960] 其实咱们这车的律师还挺多的。
[22:12.950] 是吧？他比较低调，这个车对
[22:21.350] 考虑全款买还是分期迈进。
[22:23.950] 一会你给我介绍一下，看看怎么合适。
[22:26.910] 其实价位是一样的，就是分析有一些无息的贷款方案，
[22:33.270] 优惠的额度是一样的是吧？
[22:35.650] 但是看经理这边如果说因为这是我的一个报价，如果说大哥当时后来确定这款车了，咱们可以再找经理去聊的，就算经理可能考虑他比如说
[22:45.870] 贷款的，它可能综合的就会多一些。
[22:49.440] 就得跟经理聊，对，因为咱们还没到那步，对。
[22:55.150] 因为刚才简单跟您交流，您这边不是说按照还在考虑车型，对，如果说大哥确定下来了，能把这个车了，
[23:02.310] 咱们再去续聊，行。
[23:12.530] 然后这个是一个行业的
[23:14.830] 销售顾问的报价，然后69万钱就把车关掉，飞行模式别人打扰我。
[23:19.660] 喝
[23:20.600] 怕分心是吧？
[23:22.100] 690,900的一个车驾完了之后是优惠146,000，然后
[23:28.270] 这个二手车是在捡一个14,000补贴是吧？对不算这价格，咱的车拍出多少钱他多少钱，
[23:34.950] 完了之后这是一个行业大客户的总对总的5000块钱，然后就全剪掉之后是车价就相当于52万就叫裸车价是吧？对，然后这是购置税，
[23:44.850] 国税交给国家的，
[23:47.020] 大概多几十块钱，我少算了几块钱，零售我算一下。
[23:50.680] 然后保险我是按照一个四大保险四大主险的基础标准给您算的，如果说您出的多有可能会多点，
[23:56.770] 如果说你没选那么多，他有可能会少点。
[24:00.180] 然后这个是一个行内的验车费，就所有的包括您新车旧车整备出库全有了3000块钱。
[24:06.330] 如果说您不做其他野生业务的话，下来是587,400，
[24:10.520] 包括您上完盘了。
[24:13.540] 如果这样对，如果说你还想做一些其他的项目，比如说像咱们家的精品套装一些什么的，
[24:19.670] 它里面会有单一的像贴膜密度的贴膜，还有封釉，
[24:25.280] 还有一项车内的脚垫，后备箱垫，
[24:28.850] 包括咱们隐藏式的行车记录仪，他是一个套套，
[24:32.240] 这个就叫后期香疗，如果买车的话没有可能赠送。
[24:38.190] 如果说您简单的要一个脚垫可能用，如果说您像这种贴膜是送不了，因为咱们家的模式威固的贴膜，
[24:45.120] 像套装的正常的头装在奔驰是13,800的，咱们沃尔沃品牌比较低调，就给的价格都比较实惠，像他那套模简单，您只要贴一套膜在店里的话大概都需要6000块钱。
[24:57.300] 贴膜就6000吨，对他磨比较好，因为咱们认为这个级别的车也不可能去贴那种两三千的膜，
[25:03.980] 因为
[25:04.970] 整体车也比较大，用的比较多。
[25:07.420] 而且咱们好膜就是隔绝紫外线，对身体也比较真正的您贴是地道的模拟，像有的那车贴个膜几百块钱，
[25:15.870] 他有可能对车内的这种
[25:18.130] 是对环境也不好，隔绝紫外线面料不好，就是说要额外赠送可能赠送一套脚垫，对，其实是到后期再跟
[25:27.870] 大哥您过来再聊，因为毕竟得看活动，比如说上周六日了等节假日了，咱们店里有活动的时候有可能就好聊一点。
[25:36.510] 矫健能价值多少钱？
[25:38.450] 咱们一个脚垫一个后备箱垫应该是一个830，一个420，
[25:43.120] 也1000多了1000多家。
[25:46.600] 我现在还有啥？比如说146,000，
[25:50.920] 还有可能还有对，因为这是我的一个圈圈，但是我不能超过我的权限，为什么说有可能我找经理去不可以。
[25:58.500] 对可以协调的，但是你现在不能对他现在不能去说，因为这是我的权限报价，我只能去报我的权限报价，比如说就
[26:07.820] 每个4S店，其实咱们都是贯通的，所有代价，
[26:11.440] 比如厂家有调控了，有强控了，比如说下边假如说还有5000块钱的一个空间，
[26:17.530] 如果说后期厂家调控了上浮了3000，但是我们这个只有经理知道，
[26:23.070] 我就找经理需要我再要5000，他不可能给我最多能给你2000对吧？如果说又下调了，
[26:28.750] 有可能它就变成6000 7000了，对吧？
[26:31.220] 总之有可能就5000上下这意思，因为这个是我的一个权限，但是经理了解的是
[26:38.730] 厂家的一个权限，我明白就是说除了这以外有一个5000左右剩下的这么一个浮动幅度是吧？但那个就得单独找经理申请了，就等真正什么时候考虑订车，
[26:55.510] 详细的给姐抱一个时代驾，行行，如果那会我在找经理也好，要车，
[27:00.810] 除了还有什么有可能能聊的？
[27:04.450] 没有其他的费用了，这车上因为这个是根据您的车价来的，保险也是实际生成的，
[27:10.390] 然后这个是固定的，3000是所有沃尔沃全是一样的，它没有其他的费用可以，
[27:16.730] 它不像别的店，也就是你像只睡这事都交给国家教会，国家固定不是咱收的，对这保险也是收费员保险公司的，保险公司他是按照国家折扣是吧？
[27:28.790] 新车正常是83折83 8 83折之后的价格，对没有，原来我很新车都是83折，第二年的时候会有优惠。
[27:37.920] 不是有的听说过，有的4S店还可以赠送险种，
[27:43.870] 咱们有赠送协议，没有叉车90没有增重或减重，
[27:48.360] 像因为这个车优惠幅度比较大，像咱们车4辆之前有优惠过，丰田车因为那车再优惠
[27:54.250] 5万多块钱，30多万车优惠完车优惠的比较力度比较大。
[27:58.710] 因为这个车比如说您那车，
[28:00.980] 我没太多能证明个一两万，有可能他就能碰见，
[28:04.600] 如果一台车就证明个七八千四五千它有可能就不动了，就是说咱们这个已经是利润很低了，对看利润值的吹力了，因为您卡做生意都知道，
[28:14.800] 这个车如果好卖，
[28:16.420] 好卖就是价格便宜，他有我挣了多少钱，您在要东西我就陪了，比如这个车不好卖，但是厂家要求我们证明我这么多这个车对吧？这本来能优惠10万，现在又上一个月5万倍，
[28:27.070] 可能你有一个利润值我亏钱，为了促进成交对吧？我补一点东西明白。
[28:32.670] 还有啥比如说后期保养什么的，
[28:36.310] 后期保养咱们有没有什么优惠？
[28:39.310] 这个也得找经理聊，就真的交流这套，其他东西都没有用，不能说是完全没有，也我不能这口应您。
[28:47.350] 如果现在已经了，您到时候来了，我没有这话确实是这个也不成。
[28:52.260] 所以说您还跟大哥商量，如果什么考虑要这个车，
[28:56.320] 完了之后我在找经理去给您实际的评价，保证让你买一实惠的车去车，协助的离他们远吗？
[29:03.300] 也不近。
[29:04.370] 住东城的苏东城，
[29:06.600] 今天专程过来看车的，没有一会要去这附近一个去见个朋友顺道过来看看，对，正好喜欢大哥喜欢什么颜色的车。
[29:16.910] 像这个车队我觉得应该黑色的，黑色比较经典，对，加上律师这个职业还是比较低的，对。
[29:24.610] 灰色有点老气了，可能对他就有点不能了，其实还是小美黑小麦白大米对。
[29:32.590] 对，黑色可能比较经典一点，对，尤其是为什么我这边也有很多客户买的客户买这套，尤其是律师这个行业，它也不能买一些
[29:40.590] 奔驰太高调品牌，
[29:43.080] 因为咱们这个沃尔沃它很多意义的安全，他也会给他的客户带来一些很好的上升的事实吗？
[29:49.090] 感觉很沉稳是吧？
[29:50.980] 对您可以照一个相回头跟大哥聊一聊聊，我不能带队，对，因为这都是二次用纸。
[29:57.140] 对，后面有很多信息。
[29:59.740] 好我拍一下可以，等一下我得帮你那本抄书，行行彩页是吧？对行谢谢客气，明天找我。
[30:10.280] 然后没有厂家的正好什么的资源，
[30:21.880] 这是一本车书，好的，你回去跟大哥上来，这没写是新款这款，对，现在他这个材料是根据现款发售的。
[30:31.350] 2020的。
[30:33.310] 完了之后他跟之前的有不一样的轮胎跟老款的不一样。
[30:37.170] 你这名片别一起了，从了我先跟您沟通撤了。
[30:41.220] 对，我或者说我给你定一块没用，好了，上来您稍等，我去找我跟周基给你进去。
[30:46.300] 您给我回了，谢谢。
[31:09.630] 多谢，好谢谢。
[31:11.170] 其他还有想了解的吗？其他没有，他就让我看看简单了解，对，我感觉您应该也挺喜欢这个车的，看着都比较低调。
[31:19.850] 我挺喜欢的，但是我可能还不一定什么
[31:23.250] 这个车，
[31:24.470] 后期明天大哥过来试驾车，这个车看看其实开起来沃尔沃做的你认为真的员工
[31:30.550] 比较不错，这车看起来退出前面，
[31:33.700] 是吧？操控性不过你不会选择说太大，我看不了了。
[31:41.970] 对。
[31:47.890] 号
[31:50.800] 院长。
[32:16.270] 讲
[32:17.490] 太太外观叼上来三点不是价格，
[32:21.060] 这是要行动。
[32:22.880] 走了。
[32:25.320] 他们把头蒙
[32:26.880] 有90%会选择Volvo。
[32:29.110] 律师
[32:31.680] 有优惠，现在应该是5000万，刚走是吧？金融交易，
[32:37.770] 我就把你变成这样，还有最后一句话没跟他说，打回访说完他就可以走了。
[32:42.910] 应该诉讼这块谁知
[32:46.950] 是一个女士，
[32:48.760] 周明生。
[32:58.000] 对。
[33:14.610] 基本上没有。
[33:42.830] 刘邦还有
[33:48.240] 有点不好。
[33:49.590] 对。
[33:50.610] 为什么首先放松？
[34:22.000] 你说是我调教拓展，
[34:24.440] 4密码蜡烛都密码真不一样，义工的。
[34:44.720] 来这样。
[34:46.320] 现在
[34:49.230] 往下做一下。
[34:52.620] 行，微信扫微信扫对。
[34:55.220] 这就咱那搜藏是吧？
[34:56.270] 对08年的这牌子，还有08年行书，咱的车牌号津ks4分
[35:02.270] 已经有了是吧？对怎么可以没有大小写的，没有S
[35:06.440] 42
[35:07.540] 160。
[35:08.640] 没有，然后
[35:09.880] 确认报警就可以了，您直接往下开就行了，好勒行行，如果有时间你带他们过来。
[35:17.030] 行没问题，然后咱们这边厂家要求是您离店之后，24小时之内，我这边会给您打一个回访电话。
[35:23.470] 好的，就是回访简单汇报，行行，24小时之内你什么时间方便，别拿到您休息。
[35:30.330] 我看看明天是周末是吧？明天周六你下午打不对不行，你要是24小时是吧？
[35:39.060] 今天晚上行好吗？好好明白高一点好了，我们需要了解的可以打电话。
[35:44.750] 行了好不用了，好拜拜。
[35:50.640] 我在这扣一下你们这边。
[35:53.680] 我的号了。
[35:57.110] 算过来。
[36:01.050] 他们被告我去加油去。
[36:04.480] 梦圆万元装备搞懂吗？
[36:06.830] 你也去哪有卡了吗？我没拿我去拿。
[36:13.760] 看下一个是谁？
[36:19.350] 背不背还是
[36:24.270] 干嘛不被搞？
[36:26.060] 我认为被藏特好，因为我知道。
