[00:00.710] 你知道吗？
[15:41.870] 这是16年的轮胎，4年了。
[15:50.790] 轮胎没有换过，
[15:52.580] 轮胎最长有5年。
[15:54.630] 您这前轮比后轮严重，前轮都已经有老化了，
[16:00.160] 这个有裂纹了。
[16:04.670] 你看今年不办，明年应该就
[16:06.960] 就被换了。
[16:08.180] 它放什么款？
[16:10.030] 我能开一个房多少钱？
[16:11.880] 估计得2000多块钱一条。
[16:14.450] 这条。
[16:19.250] 您前面的玻璃石子崩了是吧？
[16:22.140] 那次
[16:23.000] 上玻璃险了吗？
[16:25.610] 我忘了，应该有。
[16:28.810] 因为冷热温差大，有可能会裂。
[16:38.040] 行，那屋里您坐您这车
[16:40.760] 是16年买的车是吗？
[16:43.640] 你肯定你的记录我都忘了
[16:50.280] 了，这是17年2月份1
[16:52.440] 17年2月份三年了。
[16:55.730] 三年半了。
[17:02.920] 上次您做的B保火花塞刹车油，这次A保了。
[17:07.040] 您是以后一直要考虑在我们这做保养吗？
[17:12.460] 方面
[17:13.910] 数据。
[17:18.700] 号
[17:21.600] 坏。
[17:25.750] 黑
[17:28.750] 马上待会再打接着说。
[17:37.600] 的。
[17:39.660] 五。
[17:47.440] 五
[17:48.400] 号。
[17:51.320] 远场
[17:53.820] 的
[17:57.480] 坏。
[18:00.520] 快点。
[18:06.450] 3万公里有一个鸡蛋清洗，
[18:09.520] 事件13万公里做一次，这次做过积炭、节气门、喷油嘴，
[18:15.170] 您这车要是做节气门、喷油嘴、三元清洗的话，应该是3000 3000多块钱。
[18:30.270] 好了，这个问题
[18:34.510] 平常不怎么跑高速，您这车。
[18:37.460] 没有就
[18:39.840] 您有机会最好能去高郊区跑跑高速，
[18:44.550] 就说对这车要老低速行驶。
[18:48.430] 就容易产生积炭。
[18:50.560] 最近准备开始放假，对您出可以出去玩玩。
[19:00.280] 天窗您用的多吗？
[19:02.510] 我看您这天窗也没养护过，因为时间长了，最近好多天窗漏水的。
[19:10.110] 不会弄爽。
[19:11.910] 那就先不动了。
[19:13.180] 就做常规保养加鸡蛋清洗。
[19:16.200] 然后鸡蛋亲戚主要是干嘛用？
[19:21.730] 减少发动机积炭，提升燃油经济性，提升动力。
[19:27.740] 你时间长了正常的一般高了建议是3万公里做一次这车。
[19:33.080] 一般客户3万公里，可能一年半就开了三，我每天也都开了快三
[19:38.440] 快三年了。
[19:39.990] 133您看一下，
[19:43.160] 正常的一个A保养机油几率是1695，然后机油油路清洗是711，这两个常规老远了。
[19:51.490] 龙华系统是干嘛？就是换机油，马发动机里边尤其清理干净再加新机油，然后清洗节气门，进气道喷油嘴是2900，这也是新型的也亲戚这种茶，这是三元就是进气喷油倒排气这两项。
[20:07.000] 这是既是清洗燃油系统跟都是清洗，这是清洗机油油路这是听起汽油是两个都有时候还青涩，对，就刚才跟您说节气门喷油嘴吗？
[20:18.240] 他就搞这个不就可以了吗？这是建议您做了，这看您
[20:24.200] 就这两天魔都不怎么好，不止。
[20:27.280] 您做个小保养。
[20:29.730] 搜索和机油机滤加基五星级的2400公里，刹车片一般多少钱？
[20:35.630] 烧电你看一下。
[20:46.520] 后刹车片打完折2400，这就是用一对一套两个轮4片加工和
[20:54.040] 一般的3万公里左右，根据您这车的驾驶习惯，因为本身您那款车就陈韵车在家，你往来副区长，然后就廉问一下
[21:04.500] 的医院，
[21:05.420] 也像现在刚才能达到一个报纸上都皇家来讲，报警是提示您必须换，我知道现在刚才其实去检查不是这个检查单。
[21:15.700] 他大概给您看了一下。
[21:17.420] 厚片是建议更换。
[21:19.890] 因为您比如说有的客户现在比如说您这车现在32来了。
[21:25.070] 结果您做完保养回去没开个两三千公里报警了，您说我这保养时候您怎么没给我吃饭是吧？对，别到时候您这开个两三天不行，发出去前轮没事，刚才我也看了，前面最近到下载都问题不大，
[21:38.960] 就是这个把东西放下。
[21:41.140] 就是了，你刚才说的为了以后有时候冲上来对，然后积炭少的话，发动机的寿命会延长，减少他的机油机滤加一个后沙县，所以全下来4850。
[21:57.990] 您先帮我检查一下行，时间的话应该中午左右。
[22:03.370] 您在这等还是待会再过来看
[22:06.880] 里边去了，但是等中午你不两个半小时三个小时差不多了，您中午吃个饭都在我们
[22:13.270] 出了多少给您发个图片来给你，等一下在我这一块钱包装。
[22:18.400] 我牵着马，他们就是认识了健儿要不要就不给往车里放了，就羚羊是这样，不要让人都体现太糟了勒好勒，这样您要中午在网上吃饭的话，我就给您发个券，
[22:35.030] 或者朱总再说。
[22:36.600] 2:30两个几个小时应该现在是9:30、10:30、11:30、12点左右。
[22:43.990] 吃饭您微信关注一下我们的公众号。
[22:48.600] 北京百得利集团。
[22:51.200] 稍等一下。
[22:56.680] 百得利集团搜一下。
[22:58.710] 花。
[23:05.200] 的。
[23:11.250] 可以吗？
[23:13.870] 单子给了别人。
[23:16.940] 做保养是吧？
[23:22.520] 在。
[23:25.280] 返回要么你接刚才我的。
[23:28.610] 你找找我们
[23:31.640] 上班登录一下，用手机号。
[23:34.520] 他刚才说我想。
[23:40.670] 因为发动机舱尽快酒店我需要检查一下查一下，明天就走不了。
[23:47.680] 这个检察院对要不不休的话1300
[23:54.130] 要注重保养。
[23:55.400] 不要简单的做保安汇报，检查过检查两码事不行马上。
[24:00.890] 稍等我车主驾motor
[24:04.100] 加起来之后。
[24:08.750] 天。
[24:10.390] 把。
[24:12.660] 好
[24:16.860] 了
[24:20.660] 了。
[24:21.400] 三。
[24:25.340] 1300. 
[24:32.310] 是您自己过来的？
[24:37.320] 是您自己了，发过去了。
[24:42.610] 三
[24:45.680] 流程冬天小狐狸千。
[24:58.940] 干嘛用顶的。
[25:06.970] 谁知。
[25:10.350] 垫片用。
[25:18.590] 对不对？
[25:24.020] 新的车限房，有的配的是防爆胎，都没有千斤顶了。
[25:28.230] 还有。
[25:31.660] 他这个不是防爆人才多的观点，
[25:34.130] 你说我天天上家建筑这块太大，愿意说
[25:49.290] 我这边就没事了，到时您等我电话就行了。
[25:51.670] 好吧？
[25:53.040] 一下。
[25:56.560] 怀疑公司花多少钱？
[26:02.470] 不到100块钱。
[26:04.280] 等会稍等两分钟，我先把他车给他填一下答复。
[26:13.920] 上。
[26:17.310] 可能不休。
[26:20.030] 我只检查发动机。
[26:22.040] 你检查就发给你，不能放弃对。
[26:25.380] 所谓的话轮胎的期待发展提供纪律活动，就像我这样的之前
[26:33.830] 然后给我打电话，我觉得不需要检查，
[26:42.910] 是的
[26:46.880] 数据。
[26:48.160] 场。
[26:53.430] 数据。
[26:57.370] 数据。
[27:00.790] 打一张。
[27:03.240] 一个灯泡。
[27:05.550] 两个小灯泡。
[27:11.260] 坏数据。
[27:12.660] 坏数据。
[27:19.670] 的。
[27:30.160] 坏数据。
[27:38.110] 82块钱。
[27:41.280] 五。
[27:42.520] 924402. 
[27:47.880] 里边有两个小的兰登号没出库帮我出一下。
[27:57.050] 对，昨天应该出错，单子的时候打一下，我看那单子给退了，但是这单子没出。
[28:04.250] 对，两个零件号告诉你吗？我这应该。
[28:10.320] 尾号是815，好勒。
[28:16.080] 马上。
[28:20.400] 数据
[28:21.470] 吗？
[28:23.100] 这是您换气囊单子免费的。
[28:28.310] 前面的情况对脸上都挂了对快乐
[28:34.070] 主驾和副驾的
[28:36.630] 画完以后您的主驾的气囊，他把喇叭触点都集中在中间那个位置了，
[28:42.380] 也就说您后期再用喇叭的时候，你得稍微往中间。
[28:45.700] 要往最边上那几个脚，有可能他不太敏感，
[28:50.920] 说
[28:52.050] 那就说用按他的宗教。
[28:54.650] 对您中间肯定没问题。
[28:56.360] 您边上的话他可能没有那么灵敏。
[28:59.550] 给您核对1391057110，对，你给我这边接个电话，行，一会给你写个电话。
[29:05.590] 电话。
[29:08.150] 宝莲灯。
[29:13.230] 反正
[29:14.120] 告诉我给送去了。
[29:17.700] 车里没有互动。
[29:20.070] 没了。
[29:21.630] 这下
[29:23.390] 前面。
[29:26.870] 名字电话。
[29:28.500] 好吧，有事再电话联系好。
[29:30.640] 大约什么时候能我估计明天差不多是多少分？
[29:34.110] 到底是哪个问题？
[29:36.110] 明天你换的话下午了，对，但是现在我车今天交给车。
[29:40.980] 需要我过来，明天上去明天下去走。
[29:43.560] 好行，但是你检查你总得讲问题之后才能决定。
[29:47.990] 不要说话放心肯定不修，您说的话不废话了，我这句话。
[29:54.460] 一句。
