[00:00.000] 2020年7月21号。
[06:06.510] 然后车辆的设置里边呢安全带预警在雷检也同时做一个轻微的调整，
[06:11.140] 锁车的时候会有一个中共锁的一个反馈声音，
[06:13.830] 然后我们呢
[06:15.560] 有一种快吗？
[06:17.530] 我先照着我先照着等会儿等会儿等会儿。
[06:20.760] 嗯
[06:44.400] 唉先生您这样拿着身份证口罩摘一下，我帮您照个照片。
[06:48.070] 嗯
[06:53.840] 你们那正经的是我。
[06:55.360] 嗯对。
[07:03.150] 唉兄弟你拿走。吧
[07:04.360] 手续要嘛手续要收掉，那待会
[07:07.180] 我这儿我尽快回来，行好，然后好好去跑了拿走。
[07:11.640] 然后呢中共所反馈声音就是锁车的时候会有1个只想一下，如果不想了，肯定4个车门也没关好，
[07:17.860] 然后呢锁车之后就会自动折叠，门锁落锁是跑15迈以上自动就落锁了。
[07:23.840] 然后还有一个方便出入，这需要帮您打开吗？拎完车之后房门会上升，所以往后走方便您上下车。
[07:30.330] 上车手通点的都不要那个不要那个不要，
[07:34.520] 然后行驶箱线位这基本上用不到，就是您停用立体停车位的时候，行驶箱可以设置到开一半，
[07:40.280] 嗯是这个意思。
[07:41.360] 然后底下这一排呢都是控制咱们空调的左边控制左边的温度，在这能显示右边控制右边的。
[07:47.890] 然后这是出风的位置，风速大小、自动空调，前边挡风玻璃的储物，
[07:54.220] 后边挡风玻璃的除雾，这个呢是空调同步看一下，两个温度计变成一，嘛
[07:59.280] 然后内外循环不亮的外循环亮起是内循环。
[08:02.840] Ac压缩机通常咱们可以把它关上，暖风就可以了。
[08:06.760] 然后这个就是E概览告诉您风怎么吹出来的，是热风，冷风还是热风，
[08:11.710] 这一排呢都是它的对应的快捷方式，就是导航咱们不带嘛说点一下直接进收音机，
[08:17.350] 然后多媒体
[08:19.580] 电话，
[08:20.940] 不能说是风扇，
[08:26.110] 啊
[08:27.020] 然后
[08:30.230] 然后这样呢是驾驶模式的切换，
[08:32.920] 嗯
[08:33.870] 车呢有无动驾驶模式有这个节能、舒适、运动、运动加还有一个自定义，一般自己开的话康复的舒适就可以了。
[08:43.150] 然后底下这个呢是所有雷达的关闭，按一下所有雷达就都不小了，
[08:48.040] 上电脑洗车记录可能会用到平时用就是那个气瓶自动启停，对对对上车您不用给关关了行了，但是没有强制关闭，每次上车都默认这个是自动泊车，但送读车的话个人建议还是自己去停吧，因为他这个东西对刹车片磨损
[09:02.580] 比较大，嗯
[09:03.750] 让我把时间给你说说一下。
[09:08.980] 我觉得这个没有以前那个旋钮的好使，我觉得选角呢还是选井号是是
[09:14.170] 那其实这个现在在这儿就能调了，所以所以说其实也比较方便。
[09:18.470] 然后呢这一排呢都是控制咱们空灯光的，左边阅读灯你看我手在这儿，呢
[09:23.590] 右边已经崩了在这边了，
[09:25.690] 然后呢这个您按量之后开门的时候车灯就都不亮了，如果不按量的话，开门的时候车灯都是亮的，
[09:32.510] 然后这是控制咱们这台灯的，这是控制后边灯的。
[09:36.310] 嗯然后这两个呢是梅赛德斯密的，两个对文件回屋之后会帮你去开通开通，完了之后这个密标识这个文件能打出奔驰24小时电话电话，通了之后订酒店订机票，
[09:48.310] 奔驰租车、奔驰tv、道路救援这些。
[09:50.880] 这个SOS呢是应急的门通之后连接后台同时连接120，
[09:55.500] 他GPS直接定位了，
[09:57.240] 这是硬体用的，这是各种太阳镜的地方。
[09:59.970] 天窗跟张良都是这一个去控制，往后录一下先开张。
[10:04.440] 张联完全打开之后，您才可以去操作天窗，
[10:08.140] 往上摁就是上校，
[10:10.190] 呃一样往后撸就是打开。
[10:13.000] 啊如果想停的话，咱们按一下就停了，不用停了开到最大了，关的话咱往下一下就关上了。
[10:19.360] 全都关好之后，同样的动作咱们再按一下，
[10:22.810] 张良就关上了。
[10:29.880] 功能就是这么多，您看您哪方面需要再了解一下的吗？
[10:33.400] 其他的咱们呃就是在您开的过程中，如果说你是可以换这个里边显示内容，
[10:41.210] 谢谢
[10:42.040] 然后如果说您开的过程中哪不明白，随时问我就行，但是我会把我电话跟微信都留给您，行。
[10:49.600] 唉这个我记得这个这个能变那种事，噢我知道小可以能变什么，
[10:55.500] 在样式里边就三种运动经典和前卫。
[10:59.930] 一般就这两个用的人比较多，
[11:02.310] 因为前卫这它是隐藏性的，你看到哪它才会显出来。
[11:05.760] 经典的时间也比较多，您看您个人喜欢那个弄这边对对这也行行吧。啊
[11:13.010] 这个是一般放到行程里面看内容就行了。
[11:17.900] 这个是
[11:18.910] 这个对对对。
[11:20.950] 这个是主主菜单。
[11:23.320] 对。
[11:24.210] 然后给我去划就行了。
[11:26.160] 你好你好。
[11:26.980] 没有。啊
[11:29.540] 确定的话。
[11:31.260] 清楚。
[11:42.190] 这个呢假如说我要调这个音质的这个音质，
[11:48.620] 噢你说挑那个
[11:50.260] 音响。吧那个嗯
[11:52.720] 对军工企业
[11:54.600] 有点调高效应高，低音这一般怎么调？啊这一般奔驰的车好像低音比较重一点，把低音稍微往上调点就行了。
[12:02.990] 嗯这看您个人喜欢对这些东西
[12:06.340] 调这个还是看您个人去写，其实奔驰的音质还可以吧够用，只能说够用，啊其实我是选选那个叫柏林是吧？
[12:15.050] 柏林那肯定是音质要比这好的多。
[12:18.900] 然后再说
[12:20.570] 我说你其实啊
[12:22.860] 如果说您不是对您不是那种音乐发烧友，就是为了在车里边听听音乐什么的，基本上够用了。
[12:28.750] 好。
[12:29.470] 也没有什么太多的交易，因为这也算是够用。
[12:32.710] 因为我当时我很
[12:34.880] 嗯行，那咱回屋给您开通一个智能互联。
[12:39.650] 半个小时左右对。
[12:41.250] 所以他们也不用我管。
[12:49.430] 哪不明白，咱后期随时沟通。嗯
[12:56.250] 身份证在你那。呢
[12:57.210] 在这边。呢
[12:58.240] 来
[13:01.830] 这个时候。
[13:03.770] 第三块。
[13:05.230] 12个小时。
[13:06.480] 嗯
[13:07.770] 谢谢大家。
[13:08.550] 来先让咱这边坐。
[13:13.980] 听完了我说。
[13:17.090] 嗯
[13:18.230] 你说完没来？啊
[13:20.150] 嗯
[13:23.890] 喝点什么？您有咖啡、茶水、饮料。
[13:26.970] 我来点。
[13:28.200] 咖啡吧呃茶。咖啡还是冰的？
[13:32.430] 吧
[13:34.370] 啊不过不是
[13:35.640] 还一人。
[13:36.770] 呢
[13:37.200] 喂你好，唉来，两杯冰咖啡。
[13:40.560] 对，谢谢嗯嗯那位，嗯您那也也和我们。
[13:46.810] 我我也给他点了杯冰咖啡。啊
[13:50.240] 确定啊确定确定。
[13:52.080] 嗯嗯嗯
[14:01.400] 提高了。
[14:08.730] 能不能忍下来？
[14:18.160] 反正
[14:19.810] 这些都是
[14:21.660] 什么
[14:23.090] 我觉得你这个
[14:24.600] 没有
[14:26.030] 我们讲的是什么内容？
[14:28.220] 他这人办事还是这个
[14:30.070] 好这一个身份证。啊
[14:32.030] 待会咱们拍照片。吧
[14:34.240] 然后我再跟您沟通一下。
[14:37.850] 一会呢您的手机上
[14:39.500] 这个文件。呃
[14:41.310] 我进国那个车里的功能以后，明天您自己在那边
[14:45.920] 就是说所有的数据都是
[14:48.510] 比如说呢就是说房子跟女人
[14:52.050] 我相信更加的
[14:53.550] 没有
[14:54.380] 你打算爱我，不想爱我这样的那个那个那个 APP。
[14:58.310] 嗯
[14:59.310] 嗯
[15:01.040] 然后
[15:02.240] 不管他从呃英文搜索还是er
[15:11.050] 12，
[15:14.280] 上面有一个数据，
[15:22.600] 那那个盒子
[15:23.540] 在那坐着。
[15:24.350] 嗯
[15:25.070] 陈女士您给我留个您电话，不是您手机号131189
[15:30.690] 3057。
[15:32.280] 我帮你们打电话。
[15:33.470] 想起来了。
[15:34.300] 18811880800电话。
[15:42.380] 啊
[15:43.640] 嗯
[15:45.300] 没事，他屋里信号不好。
[15:47.330] 稍等给您的手机数据接收短信。
[15:56.750] 那个
[16:00.940] 093。
[16:02.470] 幸福。
[16:07.040] 嗯
[16:08.080] 劳动关系。
[16:11.350] 把您的手机的那个网页打开，我帮您下一个软件。
[16:21.280] 应用商城没有。
[16:23.040] 你就打开网页就可以了。
[16:26.930] 打开点登录，
[16:28.730] 就是接受。
[16:30.240] 对对。
[16:33.550] 还在平安好车图里边。
[16:36.270] 是吧？
[16:37.330] 刚才那个我知道你保险确认。
[16:41.620] 啊
[16:42.200] 检查过不了。
[16:46.790] 这个呢合理。
[17:00.950] 啊
[17:01.820] 是哪一方面？
[17:02.770] 对，然后
[17:04.380] 行加号86的电话。
[17:11.010] 数字里那个符号的加减号的单号。
[17:19.230] 对，中国区就缩写。这个
[17:20.860] 就是家庭电话。
[17:22.790] 我们都
[17:24.360] 爸爸，
[17:28.160] 然后密码
[17:29.760] 呃
[17:30.940] 大a小a字母。
[17:41.160] 稍等再登录。
[17:42.220] 我车钱给您送过去，他们那儿车给您送过去。
[17:46.050] 嗯
[17:49.320] 那个一杯就行，刚才那个女士是不是在那边做都已经给了，对对对。
[17:54.470] 在这边放着，行你放。
[17:56.660] 是很简单的事情。
[17:58.710] 就是更有
[18:00.290] 40万，
[18:02.970] 科技化越来越高，
[18:05.240] 还可以
[18:07.240] 谢谢
[18:08.530] 嗯嗯嗯
[18:10.160] 呃被告方
[18:13.960] 科技越来越强了。啊
[18:16.380] 然后您这一说
[18:17.940] 别人开走了，小车这车再往手机一点就是了，就定位了，这车都是
[18:24.030] 嗯好的。
[18:25.250] 啊我说哪去，我开着车，
[18:27.800] 连出去出去我不出去了，他们就回来了。
[18:31.800] 说的快一点。
[18:33.510] 我再问一下第一个问题，啊
[18:36.310] 这车是不是下一软件可以远程启动，我帮您下这软件了，下就是这个啊
[18:43.870] 远程启动查看的一个情况，然后再去看，结果没反应过来的计划。
[18:49.770] 769815769815，
[18:54.010] 2006。
[18:55.370] 嗯这个您先先别登陆它这边给您付完了再通过，这里面已经有您的照片啊数据，也可以那个用手机开门，应该可以可以对。
[19:05.650] 对对对开，但是你不带钥匙一样，开不了车。
[19:08.840] 嗯
[19:09.870] 那假如说我。
[19:10.680] 这个这个这个
[19:12.480] 等拿着钥匙锁着那个那个所里边没问题，啊可以开门啊开门，对，但是您比如说我我没拿钥匙，我能启动我能开车门，但是你开不了车，一拉门没有钥匙监测到就灭了。
[19:24.510] 因为我上次那个我那个车就是把那个钥匙就它不是有一个一个。
[19:30.040] 对他所里边就挺费劲的。
[19:31.790] 我跟你说拿不出来了。
[19:34.580] 那个那个森林人。
[19:38.970] 有这个功能之后就就好得多了。
[19:41.720] 对，你就不用去再找开锁公司或者砸玻璃了。
[19:44.980] 嗯
[19:46.720] 那时候没办法，必须那么操作，要不然找开个公司。
[19:49.690] 那就是假如说我这个锁在里面了，我也可以
[19:52.700] 可以在上面点开关门，对对。
[19:55.480] 但是是这样，啊它是通过信号传输的，如果您停在地上正好没信号，那也没辙。
[20:00.220] 明白吗？他是通过信号传输的，就是您在这地方您拿出手机一看唉有信号没问题，
[20:06.460] 你一到在那个那儿没接手机都没信号，那肯定没信号，
[20:10.010] 他也通过这个手机的信号那个塔去传输的。
[20:13.880] 那个叫什么？
[20:15.760] 54万。
[20:17.120] 以后都不敢停。
[20:18.740] 就不敢停到地下车库，没事，地下车库一般地下二层都没问题，但是有的小区的地下停车库信号比较差，
[20:26.670] 一般商场的停车停车场都没问题。
[20:30.010] 嗯
[20:33.920] 嗯有一次去加油，那个
[20:38.990] 然后下车去家有个钥匙没没没带上，
[20:43.350] 进一步落实。
[20:44.400] 有车是这样，咱们的车呢是这样，咱们车不会说说一下很快落锁，但是它会监测，比如说有危他觉得有危险的时候他会落座。
[20:54.130] 但一般他是不会啰嗦。
[20:57.880] 第一个就是新车，
[21:03.480] 120。
[21:09.520] 啊
[21:10.390] 没有
[21:16.170] 我那个时候我就不知道了，没有还有一个疑难，呢
[21:22.690] 那日本那个车10年了没就没。
[21:27.370] 没怎么出国。
[21:28.880] 就换过轮胎上个月就没了，其实日本车挺新，
[21:34.350] 嗯我觉得就就开幕快乐，当然
[21:39.150] 通报一下就是他们两家
[21:41.040] 然后内部装饰的话要对比现在这个分值是稍微差一点，10年前他10年前你甭管你就不是说10年前，你说现在的日本车。
[21:50.520] 对，他只不过就是说东西比较抗造。
[21:53.000] 但是您说要豪华什么的一点没有。
[21:55.530] 中坛袋不就是日常代步，对对。
[21:58.690] 那就一直我爱人开着，有时候上个班。
[22:02.330] 啊
[22:02.820] 省油，也。
[22:04.370] 比如我回来我就我就拍那个那个这个车出发也是给你爱人开，嘛反正你开的私立人挺大的，你知道吗？
[22:11.550] 但是还是比较还是有点
[22:13.680] 一般不是特别合理。
[22:15.870] 嗯对于女生来说我觉得有点大，当时选那车的时候，就是
[22:21.740] 因为我们几个朋友他们买的全是什么后果，
[22:26.120] 那个叉不一样，
[22:28.660] 然后我说我等会我就买一个跟您什么的，但是森林好像是密封性不是特别好。
[22:34.160] 高速上风险是吧？密封性不是特别好，车里边的噪音还是什么？
[22:41.550] 对，因为他他因为车有一什么好事，
[22:44.460] 就是你假如说我们去过转转弯的时候，
[22:49.160] 很大的
[22:50.260] 嗯
[22:51.030] 89 10。
[22:52.230] 没有水的那种感觉。
[22:54.320] 千万的呃斯巴鲁4区好像很厉害，它是城市4区跟它4区还是很厉害，
[23:01.330] 他那个发动机水平在这水平位置。
[23:05.470] 说它相对的他水平对着就怕什么？呀就怕斜着走你知道吗？
[23:10.960] 那车就是唯一不好的。
[23:13.330] 就是你别画这画假如说我帮我打包，我需要换个火山，
[23:18.080] 这房子是22,000。
[23:19.840] 那个就得需要把放心，您说是今天给您开的票。
[23:24.700] 吧
[23:25.300] 今天交钱是吧？好的。
[23:29.010] 嗯
[23:33.120] 稍等会，啊等吉伟雄把单子拿过来，我给您写单子，写完单子之后签几个字就完事了。
[23:38.620] 你往这方面推一下。
[23:40.080] 那个能给登录了吧？
[23:41.970] 啊能登陆了能登陆了。
[23:43.490] 嗯是的。
[23:44.660] 今天登录完了之后，啊今天用不了得24小时之后才能这个您试着登陆一下，告诉你怎么弄。
[23:51.210] 过去都是这样，加号86数字里面加号，
[23:54.880] 中国区的缩写在哪？
[23:57.460] 加号86。
[23:59.060] 然后您的手机号码。
[24:01.480] 啊
[24:04.070]  A A
[24:07.410] 稍等1~6
[24:16.750] 怎么跟电脑的密码。
[24:19.840] 好记吗？四是密码一般都是要登录一个小时啊等等等等。
[24:24.540] 那个大一小12346这密码后期您愿意改可以改。
[24:30.250] 啊嗯
[24:31.660] 我觉得应该是这样。
[24:33.040] 对，挺好的。
[24:34.080] 咱们还是推荐身份证号码。
[24:35.800] 我们公司的电脑全是那个
[24:38.060] 可以的，但是现在的话是这上面的这个就是远程干的活，得后续那个车跑起来才24小时，吧24:00之后
[24:47.100] 做激活。
[24:48.010] 那我那个唉就刚才说那个这是远程。
[24:51.520] 呃
[24:53.440] 激活完了之后都在这边能看到在这里对对，现在只不是只写这个远程启动吗？
[24:58.980] 啊比如说什么叫户籍了？
[25:02.760] 嗯
[25:08.670] 身份证还用吗？
[25:10.060] 呃身份证不用。
[25:11.870] 我把单子给我给先生签个单子。
[25:16.400] 呃
[25:17.320] 有装饰吗？
[25:18.670] 先不做了是吧？领个200先走。
[25:22.100] 就是那个那个协议。
[25:23.160] 那个主要主要负责该给他做做什么，要不然你750990。
[25:28.490] 唉一会儿就给你念。吧
[25:30.680] 所以他想这句话，他说你帮忙，
[25:32.410] 谁知
[25:34.760] 要不然我这儿不行，不是太厉害，所以我请我吃饭没问题。
[25:40.360] 嗯一样赶紧那那那一点。
[25:42.500] 那那什么吧那就给你领28，然后开走行了是吧？然后把那个除了膜做申请东西该给人装修，今天过呀
[25:49.270] 做吧他这个保险是2点以后生效的，怎么样？
[25:53.060] 一会完事讲完了一天吃饭啊行。
[25:55.370] 啊
[25:55.960] 那到时候我就把该能做的工作。
[25:58.690] 对，从这过12层可能是得到1:30左右，这是一。
[26:04.150] 你们都知道吗？
[26:05.550] 我们也都看到了，
[26:07.410] 嗯都得嘱咐一下我们真扣钱。
[26:10.890] 扣的特别厉害。
[26:13.480] 而且而且就是比如说您对我不满意也扣他钱，对他不满意，扣我钱我俩连着的你知道吗？
[26:21.510] 没了，不用再说。吧
[26:24.190] 你们吃去吧。
[26:25.670] 都是都是。一个
[26:30.580] 您对哪不满意，那就主要是负责过人群的人都得扣减。
[26:34.910] 嗯
[26:35.790] 现在不是讲究一个服务吗？
[26:38.560] 但是吧现在就有点什么，呀
[26:41.000] 以这个服务来说就是扣钱了，你知道吗？
[26:44.120] 他得减小工资的开销，啊他得扣你点钱，
[26:49.950] 他再扣你一点钱。
[26:55.810] 你像我我讲您这一车加上后期您有什么问我什么的，这不是说一两天的事，我挣120扣一下扣500。
[27:04.320] 是吧？
[27:05.890] 有他们这还好一点，他们这就卖完车之后以后，基本上您再问工人都问我们了，
[27:12.910] 我们的电话就没有说休息，你休息的时候也天天接电话，
[27:17.560] 晚上晚上有时候有一两点钟打电话的，
[27:21.000] 但是一两点钟有可能接不着，第二天你给人家回过去，有的好的说不好意思打你有的不好说，你为什么不接我电话？我说一点了，你想想怎么接你电话？啊
[27:30.030] 那你假如说这这个车出现出现故障，路上出现出现故障的话，呢车上有救援电话，咱们说的秘密那标识，
[27:39.130] 那接完电话直接打那24小时了，
[27:41.440] 他直接就联通联通奔驰的一个。
[27:44.320] 最近的4s店就去给您服务，那你假如说在我在高速路上呢有高速服务。
[27:50.420] 嗯他是全只要不出中国都能服务你，
[27:54.470] 呃那个服务都是免费的，三年之内全是免费的，如果说过了三年之后，如果您想去呢就去，不想去呢就是保险。
[28:02.440] 保险也是免费的，一年不限次数了，没多多，只要100公里，呢明白了。
[28:08.540] 嗯
[28:09.300] 给我个单子给站着，准备给拿出来。
[28:12.580] 谢谢谢谢。那个嗯
[28:15.780] 谢谢大家。
[28:16.890] 是
[28:17.890] 我估计您开走之后，也就是前一个星期可能遇到问题多一点，可能开一个星期基本上差不多。
[28:24.860] 今天的票是吧？对对对。
[28:28.130] 当时想着给我留一个您电话。
[28:30.620] 没问题，到时候咱俩加个微信留个电话。嗯
[28:33.000] 哪不明白您随时问我。
[28:34.540] 这都没问题。
[28:35.670] 可能可能就是
[28:40.040] 嗯
[28:41.430] 就是说我们也
[28:42.850] 本人已充分了解，
[28:47.240] 充分了解
[28:48.510] 一条路，
[28:49.640] 我们共同努力。
[28:52.700] 现在这是咱们客服给您做一个简单的一个面粉。
[28:55.520] 嗯
[28:56.260] 是吧嗯张先生张先生本人
[28:58.960] 是送您的一份礼物给您做一简单面对，不，好。
[29:05.440] 谢谢您。
[29:07.080] 先生是这样，咱们就是几个简单的小问题，1~5分的一个评分标准，我们非常满意您对咱们整体销售流程您能满意吗？满意。
[29:16.480] 感谢您了，新车外观，但是您都看了吗？还满意吗？嗯其他工作小姐您您都还满意吗？
[29:22.730] 嗯那各项服务承诺兑现情况到目前的都给你兑现了是吧？那愿意向亲朋好友推荐咱们店吗？
[29:30.170] 谢谢您了，咱们再说途径。
[29:33.700] 置换的呢还是介绍的还是置换的置换的，好勒，那那个咱们是在北京用车吗？
[29:41.310] 咱们首保是一年或者是1万公里，哪个先到哪个为准？
[29:46.000] 嗯
[29:48.790] 嗯那先生方便说一下咱们的行业和爱好。
[29:52.370] 行业我们呃
[29:55.440] 我们应该是
[29:57.630] 怎么说，呢我们军企啊不是军人啊不是军人，我们是
[30:03.330] 军队的三产，呢
[30:05.000] 你就你就写
[30:07.630] 军队的下属企业，嘛
[30:12.760] 嗯
[30:14.400] 那也属于国家的这种。
[30:16.840] 嗯现在不属于了，我们现在。
[30:19.360] 你这样吧你就写你写那个日日子起的日子系日起是吧？
[30:25.600] 对，我们是外企就是外企。
[30:29.350] 确实有点难分的，那个那二号，呢比如说咱们的旅游、运动电影，
[30:38.100] 旅游旅游、啊运动、啊钓鱼，啊这都是
[30:41.970] 我经常出去，因为我为什么买那个那个还是4万那个3000元的，
[30:47.390] 就是为了出去玩的，
[30:49.280] 那个出去玩是新卖开一点，而且那个车内空间也比较大一点。
[30:58.410] 有
[31:00.150] 没有
[31:00.900] 那先生您看一下这个就是咱们简单的一个面访表了，这个3057电话尾号是你的是吧？对对对，您方便扫咱们一个二维码码，工商临时发放。
[31:10.730] 没啥没啥的。
[31:13.550] 就是生活生活中有伤口留这号码。
[31:17.740] 有的是宁静的来说，完了以后让您说，还有就是说就是要关掉了新
[31:23.920] 一样的。
[31:24.800] 能不能不要
[31:26.880] 需要。
[31:28.210] 就让您出来说里边有4个电话，到时您保存一下，第一个团队联系人，
[31:34.850] 如果那个机票我没报上来，对第一个创建联系人就想咱们的设置好了，右上角有一个完成或者对号，
[31:42.620] 咱们那个就可以保存在咱们手里的了。还有好，我这个不管
[31:48.560] 那先生这个是咱们店的那个定义的话和服务，您用手机微信扫一扫，关注一下就行。
[31:56.260] 我知道我知道。
[31:58.250] 因为您后期坏了，您也得给您都给我感觉对。
[32:03.570] 那我这边话稍后会关注一下就可以了，这个呢是咱们的和服务号的。那个那个
[32:09.630] 那不要放弃拔牙，你谁知里边都会有那个什么那个
[32:15.890] 几个电话挺重要的，保险的呀救援的都有，您看到了就给它保存起来就行，到时候用起来比较方便。
[32:22.730] 然后主要是明天吗明天对吧？第一点内容，
[32:26.450] 对吧？老这里面你让他给您看一下这个就是咱们基础资料，
[32:33.590] 这几个小问题，然后咱们的朋友和爱好没有了。
[32:37.470] 那您看一下没问题，咱们在右下角签字就可以了。
[32:40.770] 他多长时间？
[32:41.940] 这个呢是咱们的服务公约。
[32:48.240] 就之前咱们也签过一个就是没有捆绑销售和强制消费的。
[32:52.770] 呃您看一下在这个地方写合同号是写咱们的这个合同号910
[32:57.940] 751。
[32:59.350] 第二个呢
[33:00.720] 910。
[33:02.080] 751。
[33:03.790] 唉呀我等一下。啊
[33:04.880] 就是写在这里就行，对对对没关系，510751。
[33:10.870] 对，然后再在这里签名字。
[33:13.300] 坏数据。
[33:20.350] 可以。
[33:22.010] 好来感谢您。
[33:25.790] 喂
[33:26.810] 这是三角形的
[33:29.230] 数据，
[33:30.620] 然后进行采购
[33:32.060] 老板。
[33:34.440] 啊行行行好的啊好好谢谢谢谢。啊
[33:38.280] 他把这个给我。
[33:39.450] 嗯
[33:43.530] 其他来这帮我签一下。
[33:48.430] 也就是说
[33:52.430] 嗯
[33:56.170] 看一下
[34:07.410] 还有一个三包。
[34:09.760] 对呀你说。
[34:11.990] 审查双方意见。
[34:15.720] 其他的没有了。
[34:17.540] 完了。
[34:19.080] 然后您要想让客户吃饭，吃完饭回来，
