[00:01.660] 我帮您联系一下平安定子园，看他那是个什么意思。
[07:44.430] 用的话，
[07:46.400] 怎么行，前面别人开关车门给蹭了，
[07:50.490] 这有点
[07:51.640] 有点小印。
[07:53.240] 还有一个竖道吗？我估计可能旁边可能开关专门给您弄一下。
[07:57.970] 您帮我这我帮您泡醋缸好不？
[08:01.320] 没问题，您放心，这钱门道帮您曝光。
[08:21.210] 这状态下还
[08:23.000] 够厉害的，这都起来了，杠杠都移位了。
[08:27.090] 押运
[08:33.940] 这尾灯，
[08:35.280] 他们定抛光，我让我们专门修理非金属件的给您去这修复一下，
[08:41.120] 可能修完之后可能更好看一点，抛光的话我感觉用手摸着这都已经出那什么了。
[08:46.870] 您看是吧？没错，他摸的话它已经跟旁边不平，对，他已经有磨砂了，对没错。
[08:57.440] 它就相当于跟其他D都有点掉肉了，对。
[09:01.930] 这样一会我跟丁主任看一眼，能给您换新的咱就给您换新的了。
[09:07.120] 这确实摸的有点往里去了已经。
[09:10.360] 对，他看上去还行，对这触感的话肯定是往里去了已经。
[09:15.720] 你对反正修一次一次对吧？对，我肯定给您最起码咱得给您说的没问题。
[09:23.280] 因为我怕打完模之后，因为打磨的话，它是把这个面给您去抛薄饼，
[09:28.150] 它越来越往里了就改了，这模特确实就再往里去了，已经说得很对。
[09:34.610] 确实有点缺漏，对，行，来张女士对爱车给您说了。
[09:39.900] 给你摇了。
[09:41.150] 交给你了，你这还挺细心的，他必须得站在我的
[09:47.180] 角度，我是给您服务没事。
[09:50.690] 我跟杨叔说一声。
[09:53.840] 我让他先看看这尾灯。
[09:59.240] 现在让他过来。
[10:00.740] 对，我现在给打电话，因为我怕那边提交的话再追加就麻烦了。
[10:09.040] 对，刚才定了，对，他跟我说的是抛光的尾灯不是。
[10:17.280] 杨若尾灯我摸着上面都应该跟旁边不一个高度了，相当于他有点磨磨薄了都已经。
[10:27.680] 对这个剖
[10:31.570] 我就说这边你可以你过来，咱俩在一般再看一眼上车主不也在这吗？
[10:43.190] 行可以，那到时你就先别定好吧？
[10:46.430] 行了。
[10:48.370] 没问题。
[10:51.090] 对，我现在交给文亮去。
[10:53.800] 对我先这意思，我这意思好吧？
[10:57.880] 行了，好麻烦您了，好。
[11:03.200] 我先教给我们的钣金师傅拆解报价，让他帮您看一下。
[11:06.720] 完了一会他会把车开到二楼，我们先去给您抛一下，我会把抛光的一个过程给杨树拍个照片，证明我们确实给去抛，
[11:14.500] 拍完之后我会把灯
[11:16.490] 一个泡完之后什么形态再给照一张照片，
[11:19.500] 应该就没问题了。
[11:22.810] 一会您这边帮我签个字，OK在这吃个饭。
[11:28.820] 中午
[11:29.630] 一点。
[11:30.360] 现在11点了已经。
[11:33.250] 一会给您发个三圈三
[11:38.010] 定损您就不用打完了。
[11:40.260] 这边我就当天跟他们那边沟通了。
[11:43.440] 比如他刚才还不算定损，刚才只给您看一下外观，
[11:48.540] 照一下证件，办理一下咱们这些手续，他还比较正常定损。
[11:53.530] 损失的话定完损之后，您在您的平安好车主上可以看到他的定损结果，那就相当于我们开始给您干活了，
[12:01.350] 就这个意思。
[12:02.870] 我下午就能看到，
[12:05.360] 他要是快的话，他只要一省通过就能看到了。
[12:10.350] 出
[12:19.250] 要是真能把尾灯订上的话，您这个尾灯我还得去订购货，到时我随时跟您沟通取得时间。
[12:25.670] 行。
[12:42.230] 说。
[12:46.560] 坏
[12:48.890] 数据。
[12:52.010] 您帮我签字改
[13:03.350] 了。
[13:33.390] 您稍等一下，有点慢
[13:35.440] 吗？
[13:37.700] 一
[14:14.040] 反应
[15:02.320] 您打的刚才打了。
[15:38.680] 政治我把我电话给您写底下。
[15:43.380] 我说的话到时你随时给我打电话都行行，我有一样。
[15:46.840] 没问题，对给您行，手续办完了，我帮您去领个参战行。
[15:52.880] 你得帮我把车号一下。
[15:55.590] 哪个车牌号对我不开走这就是你哥上。
[16:02.640] 数据
[16:07.630] 五
[16:16.390] 数据。
[16:36.470] 我跟你讲话。
[16:41.170] 场
[16:44.880] 参照之前我们系统有点问题。
[16:50.600] 集团公众号是吧？
[16:54.570] 数据。
[16:58.150] 对，有一个百得利集团的公众号行不行？
[17:05.200] 您还得进我们百得利的集团
[17:08.370] 注册一下，
[17:09.760] 上次就不行了，北京百得利之星奔驰不行了，现在已经在关注百得利集团。
[17:16.570] 现在是登陆买的这款，对鼓动了。
[17:23.120] 艾文亮正好
[17:24.660] 说
[17:25.600] 谢谢。
[17:27.430] 夜。
[17:32.290] 北京汽车集团对。
[17:45.880] 尾灯。
[17:47.020] 又一个轮眉先咱抱着看看那边能不能给咱们
[17:55.160] 反正尾灯的话能帮我照一个抛光的过程。
[18:00.080] 也先泡一下先抛一下，但我摸着面好像有时候有点薄了，就跟登不是一个面，苹果园您给出。
[18:08.560] 不有这么一抛个照片应该就能订上是吧？
[18:15.360] 谁知
[18:31.750] 过来
[18:33.440] 过来了。
[18:39.440] 具备的。
[18:40.320] 就百得利工业化，您关注一下。
[18:44.220] 格力集团
[18:45.940] 说
[19:22.650] 没有钥匙了。
[19:29.270] 哪个量？
[19:31.790] 行，我给你写好了。
[19:46.500] 让我直接发给你发给我，我给他们传过去。
[19:53.030] 说。
[20:00.190] 号。
