[00:00.000] 你都告诉我要正常就2000来块，你换挡，
[11:02.110] 行，我没说我每天没对带那个的。
[11:06.400] 那边行行。
[11:08.920] 对，因为这回因为时间会长一点，因为你过了增量等等，我消息可以行。
[11:15.680] 中午吃饭再找我领一下转就行，你先问问他那边确认一下。
[11:22.840] 的。
[11:34.330] 你好月保养是吧？
[11:37.370] 好勒，马上把单子开一下。
[11:50.240] 欢迎
[11:53.800] 数据
[12:00.150] 坏
[12:06.280] 场
[12:09.100] 坏数据，
[12:15.160] 的
[12:23.730] 花
[12:28.310] 的
[12:29.830] 数据
[12:32.460] 一。
[12:35.020] 数据
[12:38.350] 的
[12:42.870] 坏
[12:49.400] 花
[12:54.860] 所有情况讲话的聊了有点不太三话是吧？
[12:59.560] 不知道，至少说
[13:06.160] 都做了，别人都说老师别介10人。
