[00:00.120] 欢迎。
[07:46.160] 奔驰的车辆座椅的调节都是在门市的墙后，
[07:50.670] 高低小妞前后是主驾座椅可以放长，这是靠背前后
[07:56.880] 头枕
[07:57.600] 都是电控，
[07:58.880] 条纹自己位置，这儿有自己的记忆，首先它位置M对应的数字
[08:05.120] 滴一声以后就锁定了。
[08:07.080] 这个位置如果被变化了，您长安自己存的位置自动就复原了。
[08:13.270] 设三组不需要来回老调座椅。
[08:16.530] 就做完了。
[08:17.900] 他干嘛？信厅。
[08:39.690] 比如说您存ER女士开找一个他合适的位置，
[08:43.850] 存一个二，
[08:45.070] 谁开自己位置就行了，不用然后两条前排都有加热，手动检讨关闭可以。
[08:52.010] 中间用的会有很多是副驾调节，点亮以后在动作，以示您出价为
[08:58.390] 方便司机帮助优厚调座位，附件您寄吗？
[09:04.190] 相机没有，晚上就是没眼睛向左肩样子，没有一样。
[09:09.380] 只有主驾有
[09:11.560] 4门的锁止开锁这两个文件，
[09:15.670] 上人家收镜子，洗车机坐车手动小手就可以了，N量左侧调节左边镜头的视角，4个小箭头对应位置，
[09:24.090] 梁右侧条街右边位置4门玻璃都是一件升高，下面将点亮。
[09:30.160] 后排乘客不是所值，小孩想象不可以，后备箱是金属件，
[09:36.350] 往后等一下打开，
[09:40.780] 往前长按是高密，它本身是店里面你又不用
[09:44.870] 下车了，直接按住了。
[09:50.010] 大灯的位置，左手圆圈区域，
[09:53.710] 小竖线事项OTO自动挡，只要光线不够，这大灯和自动开机进隧道下地库爆满，擦黑大灯不做操作都点不动了。
[10:02.470] 这个事物动雪天按一下开的同时，
[10:06.560] 红色小冬齐饰演的
[10:09.260] 小旋钮上下旋转式仪表盘的亮度，
[10:13.360] 手刹变成底金属件，手动上锁按一下。
[10:18.160] 这个是手招标时
[10:20.380] 解除，
[10:21.720] 不用去管它是电子手刹，
[10:24.040] 上锁状态挂，
[10:26.170] 自动就结了。
[10:28.180] 停车摘为P=
[10:31.590] 灭车货主家开门，
[10:34.170] 自动就上
[10:35.630] 了大灯手刹不管都是电子的，
[10:39.790] 方向盘左侧长单杆集成的功能，转向灯
[10:44.490] 又一样，雨刷是分前后的小三角，指向零是关闭状态，事前与
[10:51.870] 上面的两个虚线代表的感应胆开化网上指向曲线直观一次，
[10:57.590] 下雨它会自动关，下雨不刮，这两个区县都是感应，
[11:02.350] 有什么区别？
[11:03.540] 上面的灵敏度更高，速度快一点，
[11:06.580] 单是像双实线
[11:08.590] 强制
[11:09.840] 慢速度一直
[11:11.830] 快速的之外，根据需求选择，
[11:14.830] 前风挡玻璃水文件安全的撒手，
[11:18.140] 后雨刷是边上小红线，零指向林夜市关闭，推到上面红线。
[11:24.750] 后一条开
[11:26.640] 推到最下两个字水的位置，后和两湖里面出现。
[11:31.500] 黄仁是不是了？后来商量一下，远光推出去都一样，
[11:35.450] 方向盘的调整也是电控左边第二个感动，
[11:39.330] 前后高低到位置就行了。
[11:44.110] 中控、
[11:44.750] 的话，这三个按键控制是左边仪表盘这三个控制右边。
[11:50.390] 小房子是一个主界面，按一下出现文字列表，
[11:54.080] 黑色按键直接左右滑动选择，
[11:56.990] 选好了一下，相当于全身浸入保养里面首先行驶一段时间会有4个轮胎压力值，
[12:05.440] 快到保养提示1.1万公里，
[12:08.320] 冷却液机油对应缺失都有中文提示到，这是左侧返回，
[12:13.380] 形成你这个车的基础信息总里程8.9，上下滑动，
[12:18.840] 剩余流量还能跑87公里。
[12:24.100] 平常您车辆
[12:27.640] 驾驶习惯记录，
[12:29.760] 百公里油耗平均速度驾驶公里数，总里程油耗驾驶公里数，当前速度
[12:36.470] 这一圈也会传过来。
[12:38.200] 导航、收音机、媒体电话这4项，抱歉谢谢，到现在
[12:46.500] 没说我这还交着车，我都
[12:50.960] 刚86搬回了。
[12:53.810] 明白。
[13:00.550] 导航、收音机、媒体电话这4个选项和右边大屏幕是完全一样的，待会右侧的在上面。
[13:07.200] 样式指的是仪表盘的界面风格，现在是运动黄色，
[13:12.310] 可以切换成经典蓝色，
[13:14.410] 前卫红色喜欢哪个界面自己是切换的，没有固定状态，一般的建议可在行程里。
[13:21.450] 这个车最大的变化是胆敢是在这，提示都在这儿，您之前开始自动挡是吧？对。
[13:29.010] 这个案件是T档方块内的白色字母，当天档位挂档必须踩刹车，
[13:34.860] 口头挂不上，踩刹车往下，
[13:38.120] 岗位跳转给留守商会解除，雷达会在哪出现？看一下。
[13:44.760] 随着距离的接近，雷达在右边大屏又弹屏了，
[13:48.970] 你看它就蹦出来了，
[13:51.450] 颜色黄橙红咱们离得越近，这小盒颜色越深，红格亮的同时
[13:57.950] 停放想现在离那车就这么样，宏哥亮就不动车了，这一圈哪一进来都会有对应体制。
[14:05.190] 可以有主动开车吗？
[14:06.680] 主动刹车不是这个状态。
[14:09.430] 你进了没有？
[14:12.140] 了。
[14:13.120] 你问他在什么位置，你到哪个位置，咱们边上有什么？
[14:18.040] 我这有一个协调，谁知
[14:22.410] 有什么
[14:25.680] 买得利汽车集团下面是汽车新零售。
[14:28.980] 摩羯摸平台不是您边上，您边上是什么展厅？园区有4个展厅，奥迪、保时捷、奔驰、E。
[14:36.690] 沃尔沃、
[14:38.010] 我这是奔驰的感情，现在是喷泉的感觉，您现在朝哪个方向？
[14:44.530] 朝北还是朝哪？
[14:46.580] 我正对着他起一定旗帜。
[14:49.570] 正对着奥迪的旗帜。
[14:51.920] 您从哪个门进来的？
[14:55.610] 我也不知道。
[14:56.530] 到我还得给我的导航进来的，您是从南门进来。
[14:59.600] 还是东门进来的，还是北门进来？
[15:02.190] 分不清。
[15:02.960] 怎么听？
[15:04.600] 我怎么给您标识？
[15:07.510] 到现在的实时地址发给我，我按时地址在早上过去。
[15:11.770] 我跟你发行好。
[15:16.520] 的
[15:39.080] 这是咱俩这事他
[15:41.550] 我们在这他绕圈去了，
[15:46.360] 他怎么在这儿汽贸城？
[15:48.540] 我知道。
[15:52.010] 他得穿过了，这是楼。
[15:54.430] 他给这么都过来，他在这个楼这边
[15:59.530] 远是不远，但是它得绕一下。
[16:02.990] 您要开让他过来就行了，到您往上推到底又出现了最下面这灰色的是您后保险杠，
[16:12.120] 分量这条红线就是停车的临界点，
[16:16.520] 这两个大宽黄线是轮胎夜走，您动方向盘它会告诉你怎么拐弯。
[16:24.130] 这个车一圈的雷达
[16:26.320] 离近了都会有提示，都记住，不管是什么位置出现红个都不动车了，
[16:31.930] 就这么远的距离。
[16:33.570] 停好车需要做的就是按下这跟剑归打，
[16:37.390] 丕达
[16:38.420] 直接灭车就可以了，手刹都是自动上的，
[16:42.450] 锁车离开就结束。
[16:47.090] 右边的大屏幕，首先开关是这个文件，第二个问一下一手天体或断电，
[16:54.590] 操作这个屏幕的话，这三个案件中控板都是控制右侧的，
[17:01.080] 因为平常他
[17:05.780] 要不我们把它开过去能行吗？不行，你行你只能去兜圈绕去，而且他不在主路上，他是在这个楼
[17:12.830] 南侧，这是这个楼的北边，
[17:19.810] 好的。
[17:20.780] 后来他回头我看看跟他在讲。
[17:39.560] 行
[17:41.150] 好
[21:02.880] 你怎么下班还来，你得下班才来。
[21:06.330] 下了班之后才来的。
[21:07.850] 下班我没有交车关键是。
[21:10.010] 是
[21:11.920] 大屏幕的控制，这三个案件以及中控，
[21:15.630] 小房子都是右边屏幕的主界面，
[21:18.650] 这二左右滑动这是一个处空间，
[21:21.370] 这个也是一致的，好的。
[21:23.840] 然后同时这个也是触屏点就行了，把您手机拿出来，蓝牙打开联系来个电话，
[21:30.330] 设置开来先开着常常下来，然后看一下就拿命吗？
[21:35.490] 然后他看着成人，然后切出去OK，
[21:39.160] office这样点连接设备，车辆会自动查找当天能匹配到的蓝牙，这个是您的选中，
[21:46.050] 它会提示您的手机做一个对应的配对选择，
[21:50.290] 稍后咱们点一个同意。
[21:53.990] 对，咱们看一下
[21:57.230] 仪表大屏幕上
[22:00.230] 拒绝媒体音频，
[22:03.170] 区别。
[22:04.240] 媒体音频里是不是连用其它的设备先看着？
[22:08.110] 电池电量营销号是您手机的，
[22:10.440] 这里是手机所有的通讯录马上会同步到车内，
[22:16.590] 来电一波的同时，屏幕和手机是同时显示的，自己在开车的时候金属件
[22:22.430] 上腿是接听下推式挂断，
[22:24.710] 看到或者手机接听也可以选择一下手机听懂。
[22:28.560] 同时这个车咱们也有强大的是语音功能，
[22:33.170] 比如说
[22:34.900] 您
[22:37.440] 电话薄里有一个人叫保安队长，
[22:40.020] 您在连文蓝牙的前提下行。
[22:41.900] 要不然他我都不知道是谁。
[22:43.190] 你听我说没事，我给你做演示不接通。
[22:46.280] 连玩蓝牙的前提下，这个文件上推他是一个说话的标志，代表激活语音控制，首先上推
[22:55.390] 呼叫
[22:57.770] 请告诉想要拨打的号码或者联系人的名称，保安队长，
[23:04.800] 正在呼叫保安队长的手机，
[23:08.920] 我挂掉了。
[23:10.310] 上
[23:12.400] 先上推嘟一声，他开始识别您说呼叫就激活了电话这个选项，
[23:17.240] 然后他就会问您呼叫谁，你直接说电话把你的名字我还得把他调到保安队长那才行，随便哪都行，任何界面只要练完了崖上推说呼叫他都会激活这个系统，
[23:29.030] 只要说电话本里的名字能对的上就OK了，
[23:31.960] 包括导航一样上推
[23:35.790] A等行。
[23:38.180] 请告诉我您想输入的目的地金融街。
[23:44.240] 请选择一条记录记录找您自己需求的
[23:47.700] 计算路径转化词又开启了，
[23:50.350] 按照路径走就可以取消了，写了小叉就可以。
[23:55.780] 呼叫加名字，导航加目的地是激活都OK，除此之外，收音机调频都是存好的，
[24:03.560] 左右滑动快速去切换就可以了，当前调频能找到的它都会在这里出现，
[24:09.090] 这也一样。
[24:09.980] 找到自己喜欢的波段，你要想存储给那小加号，
[24:13.870] 他就存进来了，清除长按选项删除就可以了，
[24:18.680] 或者怕麻烦生送也可以。
[24:21.160] Fm94.5。
[24:26.680] 也会切过来，音量上大下小，
[24:30.320] 这也是一致的。
[24:32.350] 静音金属键往下按一下，
[24:35.450] 它会有一进行标识出现。
[24:37.740] 另外蓝牙手机平常如果想听歌就选择媒体，因为都属于外置装置，不管是U盘还是手机搁哪了歌曲，
[24:44.430] 默认的是手机的蓝牙歌曲，
[24:46.920] 想听歌直接手机任何播放器放歌，就直接送车载转出了厅堂就选择USB。
[24:53.350] 除此之外这个声控还能干嘛？比如说现在您车辆的空调温度比较低，想调整一下空调上推，
[25:02.880] 请将空调调整为20度，
[25:07.270] 好的。
[25:08.300] 我把驾驶员侧温度调到20度，
[25:11.470] 他就直接切过来了，
[25:12.980] 或者说氛围灯我想换个颜色，
[25:19.020] 请将环境氛围灯调整为绿色，
[25:24.580] 好的。
[25:25.560] 我来改变氛围。
[25:27.040] 更特意或者说座椅的加热也可以，
[25:33.720] 开启座椅加热。
[25:36.850] 好的。
[25:37.890] 我来打开座椅加热。
[25:39.500] 都可以。
[25:40.840] 再有
[25:44.560] 车辆里相对选项是最多的，它有几个大项，首先辅助项里这里边都是这个车的主动性及安全配置默认开启，咱们就不做任何的关系变更了，就不动，这里
[25:56.890] 车辆里全是对应的一些小功能的设定，
[26:00.470] 轮胎首先不用管，
[26:02.870] 因为不是冬季，不是极寒地带不贯通第胎方便出入是有三种状态的，第一种方向盘如果是高位
[26:11.770] 下车它会自动退缩，所以后撤。
[26:14.580] 第二种只是放反溃缩或者什么都不动，根据需求去调整就可以。
[26:20.210] 安全带系的时候他会拎一下有预警状态，然后锁车喇叭显示有提示，
[26:26.690] 锁车镜子自动书4车速达到15公里，4门是自动落锁的，
[26:33.790] 还有就是锁车进入自动收回，
[26:36.480] 以及缺油了加油站或者不用提示。
[26:39.810] 赵明莉第一个就是氛围灯，这个颜色实际上它是64种，
[26:44.770] 喜欢哪个颜色直接去点，它就自动去加入鸡蛋了，
[26:48.740] 喜欢什么点去调整就可以，其实他那边有暂时的，不是您那边有光线强，咱俩角度不一样，
[26:55.640] 晚上就很明显了，前后都会有。
[26:58.720] 亮度是氛围灯的明暗变化，
[27:01.520] 稍微的暗一点，然后晚上就特别亮了，
[27:04.720] 一黑了就容易看出来了。
[27:07.370] 黄边怎么着少没事，不是您自己选吗？
[27:11.580] 您自己选个颜色，喜欢什么是您去调整就行。
[27:15.230] 绿色。
[27:17.910] 也不行，有点慎得慌黄色。
[27:20.630] 绿色就是冷色调，可能白天不明显，晚上就看出来了。
[27:25.750] 然后咱们再
[27:27.360] 在您所说走的同时，一所车大灯可以照亮一会再自动熄灭，建议一般15秒就够用了。
[27:34.230] 好，车内岩石也是对应的，
[27:36.490] 还有晚上停车左右的镜子下面会有小的照地灯出现，对光线暗才有。好。
[27:42.990] 系统里时间我去给您核对一下，
[27:47.390] OK17条过了表全自动的都不用管，
[27:51.970] 这一行全是对应车辆空调的手动调整，首先左右的蓝红箭头代表温度左右，
[27:59.550] 保险点评一下，往上是加，
[28:02.670] 往下是减小。
[28:04.040] 第二个是风向，您吹位置，
[28:06.910] 钱包扔在脚下自行去切换，
[28:08.940] 风量最大是7冠，记住第三根线关到头，
[28:13.680] 开任何链接都可以，
[28:16.120] 自动空调设定一个车内的合适温度以后，点亮就要促进车内会一直保持。
[28:21.530] 雨雪天起雾了，前窗除后窗除点亮这两个案件，
[28:26.030] 我怎么看出来这是全球这时候确实前妆后之前
[28:30.410] Mike全程是不是最大？对。
[28:34.120] 他是最大处阿单形式钱庄这是后窗
[28:38.060] 制冷，夏天必须开AC，否则没有这种状态，现在是外循环。
[28:43.590] 亮灯是那句话。
[28:44.950] 右侧的风向和温度慢，牛腱是一个主界面，变成触屏控制，直接在这座点击就可以了，
[28:52.070] 都是可以的。
[28:53.580] 多了一个案件不亮灯的时候，咱们看一下，
[28:57.240] 它是分区口
[28:58.910] 电话，
[28:59.820] 对吧？
[29:00.480] 怎么又挂了？
[29:02.320] 爸爸
[29:03.670] 让他打错了，他给你挂了。
[29:05.670] 没事。
[29:08.130] 不亮灯的时候，左右温度是分区，空调
[29:11.670] 亮灯变成同步，反而会自己暑假走，
[29:14.680] 多了一键关闭空调，
[29:16.880] 内容一样，
[29:18.100] 出风口的控制，小数先充上全是出风的状态，水平的状态都是关闭。
[29:24.800] 前排5包括您这个都是可以独立控制的角度，就是上下左右自行去切换了，
[29:30.700] 这些全是快捷，
[29:32.630] 电话一键进入，
[29:34.720] 包括您的导航又来了，
[29:37.930] 揭示一下。
[29:39.990] 给接着4。
[29:42.310] 其实。
[29:43.150] 这点也行，别那也行吧。
[29:46.760] 你说。
[29:47.920] 你还没有睡觉。
[29:49.540] 没有，我等一下就回来。
[29:51.170] 了。
[29:52.000] 你想一次吃什么，我给你不用了，我们今天在街采访。
[29:57.250] 没接车你猜到了。
[30:02.050] 你不用关门了。
[30:04.700] 好拜拜。
[30:08.780] 收音机和蓝牙音频是一个。
[30:12.630] 按一下是来您先赞一下，切换成收音机号车辆一键进入，
[30:18.940] 精选就刚才对他都是快捷一键进入，
[30:23.060] 这个小的一个收藏家，
[30:25.560] 这几个图标是可以根据你的喜好去重新设顺序的，或者说您新建给它起名字也可以，
[30:31.700] 其实意义不太大，无非就是换一个个性化一点的称谓。
[30:36.410] 双闪在这个位置，对说一下这个车
[30:40.990] 不太一样的，这个车它不是USB，接口是一种小瓶口叫TPC回头咱们的手机充电可能需要您去买一个PPT的转换头才可以充电，
[30:51.070] 是这样一个状态，你电脑的信不知道？就特别小的码。
[30:57.320] 然后再有
[30:59.280] 这个案件车辆的驾驶模式，咱车5种驾驶状态，首先对应的是蓝点，C上下选择分别由低到高，一是节油状态
[31:09.340] 上推舒适，
[31:11.030] C包括运动S和运动家，记住这4个模式由低往高涨，每上一档车辆的功力都会放大，
[31:18.330] 越往上这车提速越快，动力越强，但是相对油耗也会高，一般建议舒适就够了。
[31:25.560] 第二个雷达关闭，
[31:27.960] 我刚才给您演示了雷达离近了有一圈黄橙红小格，第二个按键点亮全车一共12个探头就全部关闭了，
[31:36.480] 上自动洗车机的时候有可能会用到，平常是不用的，一定保证开。
[31:41.280] 这个车同时也有手动挡，刚才交警挂档地
[31:45.280] 自动想开手挡，
[31:48.330] 它会变成M状态。
[31:50.360] 这时候方向盘两边是各有一个播片的，
[31:53.520] 右边一下是家长，
[31:56.460] 左边是减挡，
[31:58.380] 手动模式下不管您给多大油，他都不会换挡，必须驾驶员去干预赛况。
[32:05.040] 这个状态不对了，按一下它切换成正常自动模式就会
[32:11.750] 启停发动机每次启动的时候小灯泡上开，
[32:15.120] 开车一段时间水温有关这种工作状态同时会出现什么情况？
[32:19.040] 车只要杀停一静止不动，放一会自动灭车，
[32:22.300] 目的结果减排变成走一给油就自动打着，不堵车，
[32:26.970] 开启堵车关闭，
[32:31.350] 一st防侧滑永远不要关，车辆出现甩尾侧滑状态，它会自动启动，同时纠正减少事故发生或者开启。
[32:38.700] 上面的话这些都是灯光阅读，灯左侧
[32:44.260] 对应的右侧，
[32:46.170] 这样给您设了一个开门亮的，晚上很有用观好似门自动熄灭，
[32:51.960] 前排的照明
[32:54.120] 这个是后台，两层是独立开启这两个案件，我刚才先生咱们几乎已经激活了，
[33:01.230] 他叫梅赛德斯me互联，这个车内饰有一个独立车载电话卡的，跟您这手机就没关系，咱们在激活这个功能以后，首先这两个店咱们的话会自动接上奔驰的服务后台，
[33:12.930] 会由人工24小时语音接电话，右边的me标识信息咨询建帮您可以干嘛，比如说
[33:20.420] 咱们想订机票酒店餐厅，
[33:22.760] 查询兴趣点，
[33:24.210] 车辆导航，吕程的咨询服务，或者说您这车开的过程中出毛病走不了了，道路救援
[33:31.160] 都是右侧这一个案件。
[33:32.900] 中间这个紧急呼叫建议有人员受伤，紧急情况，红色按键除了连接后台120自动连接，尽量不去占用
[33:42.340] 天窗和张连就这一个文件往后的第一
[33:46.280] 掀开帘，
[33:49.500] 如果是跑高速，咱们想放弃，打开以后往上推，
[33:54.290] 敲一个缝，
[33:55.440] 想开着大天窗打开以后直接第二章往后，
[34:01.860] 营开大天窗，找到合适的角度，一下调整大小，
[34:05.330] 否则开到最大。
[34:07.280] 后排的天窗之后固定打不开呢。
[34:09.800] 对，反之往前关两下，第一项相关穿，
[34:19.890] 在官庄点关闭，
[34:21.940] 这个是电子防空后叫正常调整一个后挡的视角就可以了，晚上远光是不刺眼的。
[34:29.150] 座椅的侧面这个位置摸一下您对您的右侧有一个缘由，
[34:33.110] 前后上下4个小凹槽，那就钱别撒手，
[34:37.920] 要突然往外顶，
[34:41.000] 上下前后调整跑长途会减少腰部很大疲劳感，
[34:46.020] 其他的也就没什么了。
[34:49.370] 然后您
[34:50.550] 拿一样，您把您手机拿出来，
[34:53.140] 把这个软件去下载世博车，我待会给您做演示。
[34:57.840] 您先把这软件下了。
[34:59.440] 我这边也没下来。
[35:01.180] 什么眼妆吗？对应的是这个车所有的数据，
[35:05.950] 好多公里剩多少油，玻璃水是否缺失轮胎压力，什么时候保养你的手机全都看到了。
[35:11.540] 微信扫一扫，
[35:23.280] 右上角浏览器打开。
[35:25.410] 你要去的，对。
[35:28.400] 然后不要是QQ浏览器，
[35:32.160] 这边信号能好一点，物理不行根本就识别不了。
[35:44.930] 不是你那什么其他方式，对。
[35:47.670] 因为
[35:48.970] 不用下来。
[35:53.080] 下完了安装一下就行了。
[35:59.640] 除了刚才说的夺取车辆数据以外，
[36:03.390] 包括车辆的定位都是有的。
[36:06.010] 对，比如你车停哪了，这是有能看到的。
[36:11.260] 我看到你找不着。
[36:14.390] 不可能
[36:15.340] 非常精确的
[36:18.000] 只要这车停在地上有信号的地方，找着车动肯定都能找着，除非您说停地下没信号没办法，
[36:24.450] 只要有信号都可以。
[36:26.890] 数据、
[36:28.160] 0
[36:31.320] 安装
[36:38.310] 速度慢
[36:40.350] 快。
[36:43.560] 安装在安装。
[36:49.420] 中国没错特点。
[36:52.640] 然后简体中文介绍，
[36:57.040] 登录，
[37:00.720] 我知道痛。
[37:03.430] 第一行加号，86您自己的电话，
[37:06.880] 加减号的加号，数字里面符号加号。
[37:11.370] 86安装完成打开应用是吧？
[37:17.770] 我同意接受服务对象
[37:19.740] 接收
[37:20.880] 众多右上角。
[37:22.860] 对
[37:23.960] 简体中文同意。
[37:25.720] OK
[37:27.120] 接受登录，
[37:30.050] 密码大A小A字母，
[37:33.000] 小A1234560，对第二个要小A123456，
[37:41.550] 真诚他们用同一个对同样账号密码登录。
[37:46.440] 我这用。
[37:47.170] 以的手机是吗？不是你用他的手机电话手机号码登录。
[37:51.060] 休克。
[37:52.490] 你看现在这个车的状态都已经读取过来了，
[37:56.040] 至于油量，
[37:57.690] 车是着着的，
[38:00.310] 泗门的车是开锁的状态，
[38:04.240] 你看这里面查看全部
[38:06.670] 这些全都能看到吗？
[38:09.130] 包括
[38:11.680] 位置，
[38:14.250] 移动、
[38:16.910] 使用期间
[38:18.430] 对确定
[38:23.080] 都是完全对应的。
[38:26.550] 没说王子吗？不行了。
[38:29.580] 读不出来。
[38:30.460] 回去登一下就行，内容是一致的，完全一样。
[38:34.580] 我在这里是在导航没发到屏幕上去吗？
[38:37.760] 这里。
[38:38.510] 我没试过，因为没有打破设定，不是他刚问我想去哪里，
[38:42.780] 谁问你，刚才我显示我车辆位置的时候，
[38:47.020] 车辆位置。
[38:49.260] 我没事。
[38:50.780] 这样是吧？比如说我是你直接把它的导航你射到上面区别是吧？
[38:55.930] 我没试过，因为到这步以后后期都是您自己操作，我们就没有权限再去操作了。
[39:01.610] 你可以输一个是嗨我这个不行了，退了重新
[39:06.950] 退到主界面里。
[39:08.370] 通用。
[39:13.730] 你不这么近你把这个出来了，OK第一行加号86，
[39:18.500] 然后把结果再加上去，三正好两对。
[39:21.610] 行，车辆发动机。
[39:25.600] 然后要是你的书要用你的了是吧？对他的电话加号发了他的电话，
[39:31.680] 这个密码是大爱。
[39:33.430] A小A。
[39:34.540] 123456123456，对。
[39:38.530] 成了。
[39:42.270] 发送到哪了我没试过，因为到这步已经发生了。
[39:47.500] 确定是吧？
[39:49.190] 确定
[39:51.590] 许可
[39:52.720] 跟对应的完全一致。
[39:57.620] 发送到哪了？
[39:59.780] 他有没有一个接受信号？
[40:01.120] 的那种
[40:02.490] 应该是自动。
[40:03.670] 是你非要把蓝牙先边上。
[40:05.830] 他才能传过来。
[40:08.220] 不对，这个应该是车载直接发送，我看看这设置有没有。
[40:15.310] 去
[40:17.470] 你这个部门多么的合适，你是有一个多么
[40:21.200] 体温的一个小朋友，
[40:22.910] 你更喜欢。
[40:33.840] 不是，这是它本身的不知道。
[40:37.040] 但是他接收肯定是在导航里，他不可能在别的设置里。
[40:41.350] 那倒是我原来用直接就发过去了，他就搜到了。
[40:49.290] 我跟你发展
[40:53.600] 我还真没试过。
[41:02.990] 电话来了。
[41:06.270] 什么青海？
[41:08.440] 这杀手电话吗？这样吗？
[41:11.880] 接收的目的地我去找一下。
[41:14.760] 不要
[41:20.560] 称我的车辆发送地址你发送了吗？着，他不是金融街不是接收。
[41:26.310] 接收的目的地是不是这个是空的？
[41:28.500] 我再发一遍。
[41:30.200] 我再发一遍。
[41:31.480] 等会。
[41:33.730] 你别连连蓝牙。
[41:35.390] 你先别登我的。
[41:37.150] 我已经发完了。
[41:38.440] 因为这两个都练过您的电话，所以您发肯定车载会对应收到。
[41:43.790] 但具体在哪我就不确定了，因为没有
[41:47.960] 没有实施这么试过。
[41:53.800] 这里显示已经。
[41:54.410] 发送了。
[41:55.660] 不知道已经吃药了吗？
[41:59.770] 这是之前的。
[42:01.310] 刚刚才学的。
[42:02.660] 晕倒的，对我知道。
[42:04.720] 我看一下，我把先手伸出
[42:10.660] 或者叫兴趣点，
[42:14.280] 为了类别，
[42:19.380] 觉得是写你先把我手机
[42:21.160] 搜索一下。
[42:21.960] 我手机。
[42:24.090] 您回头问一下。
[42:27.360] 回头可以按这个按键直接问后台也行，因为我们给您机会到这部后续的操作，我们就没有再动过了。
[42:34.950] 行。
[42:36.180] 然后车迷夜车就问一下能见
[42:40.860] 后备箱留点东西，这牛粪三包咱们进屋我去给您把这点手续办完了，稍等一下。
[42:49.720] 刚才说停车怎么听？
[42:52.600] 停车如果二位自己技术过硬，自动泊车用不用两可，如果说手潮一点都停不了，建议用怎么用快您交管队，比如说到停车场想找车位，上车自己停挂一前进档，
[43:06.450] 转完N摄像头，
[43:09.310] 它会提示前车场停车费的时候，您需要做的就是开车，
[43:12.880] 不用管车位在哪边，是横着的树上，
[43:16.080] 左边右边还有或者说地上有没有停车的标线都不重要。
[43:20.030] 您需要做的就是开车，
[43:22.960] 找到车位的同时，他会在这有对应的车位标识告诉你。
[43:31.470] 不是自动驾驶。
[43:32.990] 你看放假
[43:36.950] 看到了。
[43:38.530] 左边有一个垂直车位，看到车位想停就自己去刹停车辆，
[43:44.100] 停住以后，他会问您选择并确认，就一个车位没的选，直接决定
[43:48.870] 左右或上下是多个车位需要滑动选一个。
