[00:01.110] 电话29日李先生收到。
[10:11.790] 就这三只以外的店里有一个5000块钱补贴保养维修使用，对其他是没有的，也是5000对5000补贴。
[10:19.900] 因为我们俩去年他非要放，我都不想换，然后后来今年我就等要换就看他们了，
[10:26.710] 我觉得问题的本质选择比较高，
[10:30.000] 奔驰就是外观上大里边或者里边大连瓶好像比较吸引客户，但可能先生这边男士他更多注重就是发动机，
[10:38.060] 动力操控这方面，可能宝马占优势就是各有优缺点，奔驰好看一些，宝马就好开一些，看不出哪方面的东西。
[10:46.030] 对，但是可能更多感性一些，宝马可能就理性的人选择，就动力操控方面。
[10:55.440] 就像咱俩这技术就开奔驰比宝马好看点。
[11:02.880] 说
[11:03.830] 谁也不看着他上海路上命，比方说操控动力操纵的真挺好，我去年试乘试驾还挺好，方向盘打弯比较轻，对整体都比较好看，对
[11:15.280] 的好坏。
[11:19.190] 它的交割，
[11:20.460] 它不只是你飙车提速方面，就包括你转弯低速情况下，整体的话也是不一样的，没有
[11:26.570] 奔驰整个看的面
[11:28.570] 好看。
[11:29.560] 他这是好看，看着特干净，哪都被收起来了，这跟咱家迈腾有啥区别？
[11:37.580] 没看，因为您比的那都是健全。
[11:40.160] 看着跟飞机的看着注意着车花都亮了。
[11:50.410] 宝马B
[11:55.000] 这条
[11:58.380] 后扰流板是店里装的。
[12:00.460] 对。
[12:01.380] 要等原车没有原车没有边对后方的找刘板，碳纤维的能不能展车不展示，那种真正卖的东西都是，因为我们配件也是要卖的，也会有厂家有要求，有需要暂时配件。
[12:14.940] 对配件也是卖的，对。
[12:17.210] 家这没多少钱是吧？对您换来其他的东西全都变
[12:25.140] 了。
[12:25.920] 凌灵拍龙骨。
[12:28.550] 我真没有。
[12:31.140] 到时你拿装机看着龙骨不一样，
[12:44.500] 做垮吗？
[12:46.350] 对T字型的方向盘。
[12:50.850] 我觉得你们这宝马店真没真贱这么。
[12:54.390] 今天是交车的人比较多，这个店不比奔驰卖的差，而且宝马现在整体的口碑，包括后续的都是比奔驰好一些的。
[13:02.120] 奔驰以前就一都没有优惠的价钱，然后也加装套餐，它为什么现在说是不加装大三，
[13:08.340] 包括什么分期不收服务费，因为他之前有负面新闻吗？
[13:12.060] 就不一样，看你这种东西，有些客户就喜欢外观的没得挑，我就看顺眼买一个自己喜欢的没问题。
[13:18.290] 对，还是看你喜欢哪个东西，对。
[13:20.770] 您看看您不喜欢他，他怎么都不承认，你喜欢他他怎么都好，是一样的。
[13:25.160] 但是女士对奔驰还是比较感性，还是喜欢的外观跟内饰的也就是好看做的，但是我们这样拍还是奔驰都
[13:31.870] 男的开宝马，
[13:35.210] 其实我倒无所谓，这俩天我不是这一个之后还有一个说好，
[13:40.130] 我不开我就看那个了好。
[13:52.250] 今年其实以前也没有，咱们收银家庭价格没什么受影响，这个店每个月销量还是开票，交车在470左右。
[14:00.370] 对，这个店是北京第一家店，一年一年的销量在5000~6000之间。
[14:05.490] 对。
[14:06.510] 没有我记得有。
[14:07.630] 小伙子给我们说说好像就在郊区买，要比你们这种店要便宜点，
[14:12.420] 他不一定有资源给你，没车。
[14:14.940] 对，厂家也是根据你的销量给你分配资源的，比如说好卖车走量的3系5系插三种车型走量车型吗？
[14:23.400] 本身资源紧张也就可着你的销量，然后给你匹配资源。
[14:28.690] 那些价格很透明，基本上是品牌质量价格都不会大差不差都差不多，对，看您就是图家里就近方便以后保养维修方面，
[14:37.610] 然后有现车资源，然后价格差不多就差不多了，每个人都签得差不多，不像以前了。
[14:43.080] 信息化的时代打个电话网上看一眼，价格都透明，
[14:49.540] 导演。
[14:52.620] 宝马在三环有那个店吗？
[14:58.480] 4S店有。
[15:00.200] 那就不用上一边这来也
[15:02.960] 都行，看您自己我就开始十几公里。
[15:11.920] 的
[15:18.480] 分值为一的，就是他那不是真皮座椅，
[15:31.700] 只要你买我就得要贴膜和这家店是吧？
[15:35.170] 都得有，对，您可以不要车价就高了，不划算一样的。
[15:39.110] 对，车价就加11,000，啥也不给人家不划算。
[15:42.980] 我们现在都是套餐价格优惠，天天都是原厂膜进口贴膜，宝马原厂没有不揣摩，这都是进口贴膜，对。
[15:50.970] 大包围脚垫，包车身漆面镀膜保护漆面的都有。
[16:02.550] 这也是1110万公里做一次保养。
[16:05.850] 一次多少钱？
[16:07.020] 方便的宝马要便宜一些，它的常规保养如果是包含一个机油机滤工时费，
[16:11.640] 大概在1100左右，
[16:13.270] 全国统一的价格，
[16:15.480] 奔驰保养方面可能比宝马稍微贵一点点，
[16:18.970] 差不多，我刚问他小伙子都是1000块钱左右，
[16:22.730] 但是我也没看仔细，我都明白了，对。
[16:28.510] 反正1万1公里1万亿包养我的钱还不到1万，这一天我上班才6公斤。
[16:34.920] 那里就进家门口，对。
[16:46.040] 三
[16:46.780] 三分。
[16:48.800] 不能。
[16:51.380] 你怎么谈也就这样了，不可能再低了，是那意思。
[16:54.970] 每个店办完差不多得40七八41:40。
[16:57.800] 2万多。
[17:13.630] 保养、
[17:18.040] 但是今天买的2021款配置也增加了。
[17:22.470] ID及一贯。
[17:23.820] 表盘对去年2020款也不一样。
[17:26.850] 无线充电。
[17:27.870] 是标配的。
[17:28.970] 然后it系统仪表盘都是液晶的，都不一样。
[17:32.530] 比稍微配置高一些，对。
[17:36.200] 对。
[17:37.000] 但是高了你价钱
[17:38.900] 跟去年差不多。
[17:40.550] 武器交易是很稳定的，对，没有很大的浮动。
[18:03.200] 要
[18:04.350] 谁知
[18:36.680] 一样，
[18:40.570] 仪表盘液晶的it系统跟目前。
[18:43.860] 叉7叉5是一样仪表盘，
[18:45.600] 然后增加了无线充电，WiFi标配了
[18:51.650] 有WiFi了。
[18:53.590] 开始考虑了。
[18:55.740] 关系
[18:57.410] 谁知
[18:58.840] 联通的联通就是里边还有张现场的，
[19:03.330] 然后开通直接有它是免费的话是半个6个月加13个G。
[19:08.930] 之后你可以自己续费。
[19:10.400] 要给自己花钱，
[19:21.800] 然后拍成照片，
[19:23.360] 外观等等。
[19:24.720] 不用可以，我又不傻，我看得出来。
[19:28.030] 现在我跟说过了都没有在这条把你的打。
[19:34.590] 非常的有吗？
[19:37.920] 的。
[19:44.390] 这张脸都了。
[19:47.510] 完了这个就是带了什么可能的望着这也一分钟时髦保护东西。
[19:53.770] 前雾灯取消后雾灯还在，因为现在大灯够亮，530的话2020码增加这一个
[19:59.240] 随动转向远光自动控制。
[20:01.510] 对奔驰。
[20:03.720] 他长得过于同质，可向白白的。
[20:08.030] 对。
[20:08.860] 因为他之前的大灯是没有去年看那款没有查到登这一带的话，用的就直接弃用。
[20:14.470] 大家网上称叫勺子灯，
[20:17.110] 只要看到烧灯情况下，
[20:19.550] 对，他就是带有一个随动转向，远光自动控制都是带的。
[20:26.320] 因为前面灯的亮度够亮，所以不需要雾灯就给取消了。
[20:29.980] 但是后雾。
[20:30.590] 灯还在是没问题的。
[20:32.710] 还有问题没有？
[20:33.920] 对。
[20:40.790] 可以考虑，对您回去看一看，主要是看自己个人喜欢，就价格差不多他们俩的。
[20:46.590] 对，就看您个人喜欢，我这边也就给我优惠1万多，然后打了车可以。
[20:52.910] 对，就这意思，对。
[20:54.690] 再跟你过都差不多，浙江这个事。
[20:58.100] 目标对现在可能它比奔驰E的一个大灯多个随动转向远光自动控制，然后他依然是防爆轮胎，
[21:06.060] 然后真皮座椅材质全景中装，
[21:08.880] 再给您准备了。
[21:10.370] 就你。
[21:12.820] 网上没有都有，这车开到可能会有跟时代的，因为开辟还稍微厚一些，让他更安全一些，但他更安全一些，开辟要厚防爆轮胎，
[21:22.020] 让她更安全。
[21:23.390] 原来被纱布消费备胎的
[21:25.510] 能补，
[21:27.040] 能补你可能是有误区的，它的学名叫防爆轮胎，它的官方就是叫解讫版轮胎，轮胎被扎情况下，除非你查到侧切面，
[21:36.180] 五官影响安全情况下可能需要您更换，
[21:38.790] 正常是可以补的，比如说可能补个普通，他还花个四五十块钱，普通蘑菇钉可能大概100钱100多点，就区别能补上。
[21:46.380] 对。
[21:47.180] 你跟你的一样的，但是现在应该不用防爆胎了。
[21:51.450] 取消了，对，刚刚开他最好丁是蘑菇钉应该100 100零点好像是。
[21:58.080] 然后有80的，但是他盯不一样，对，看您自己选择。
[22:02.710] Nasa店也可以补胎100多块钱，咱俩给佩服他，谁知接缝他现在因为他如果不是到他侧面情况下，它是可以给你补的，
[22:13.000] 但是一般的您看到家门口什么洗车房什么都是能补的，没问题，
[22:18.310] 而且现在都是带胎压监测，包括有一个实时的胎压的数值。
[22:23.200] 对，都能提示您。
[22:28.310] 过来，
[22:29.490] 还是看个人喜欢看哪个顺眼，
[22:32.200] 因为毕竟40多万花了买一个自己可心的，
[22:35.950] 他们俩就各有优缺点，看你注重哪方面了，最后说哪个都让你对，就得是要这边可能10点那边，
[22:44.600] 就这个区别。
[22:52.820] 好吧？
[22:53.690] 对。
[22:54.910] 回去上比较，对您再看一看，我给你写一下没问题。
[23:01.000] 有我的名片，有什么需要你可以随时打电话联系我都是可以的。
[23:04.710] 您看你说好。
[23:07.500] 刚见面就给您名片了。
[23:11.530] 对找了我，待会你拿一张没事，对有原件其对念其没有那根，对车牌号您说一下事儿，京N。
[23:23.150] IS. 
[23:24.660] M19
[23:29.370] 那个时候
[23:30.180] 你看吗？
[23:31.350] 合伙的女孩，
[23:33.370] 他给我的那张黑的名校，谁知。
[23:36.880] 来给您好了，来给保安就可以直接出去了，对其眼。
[23:45.800] 需要我再来，对没问题，确定好之后就联系我们R
[23:50.420] 来。
[23:54.360] 希望。
[23:55.710] 对，这是840轿。
[23:58.410] 空间小不太适合家用？
[24:00.750] 快拉倒。
[24:03.040] 海边开的还行，就在咱这，你能拉风吗？
[24:06.600] 反正你带着口罩拍去巴西，现在他有双门有4门，还有厂房，也有个厂房都可以，
[24:14.260] 不敞篷那款968,000起步，这厂房这款1,198,000，
[24:18.530] 但是现在没有对了吧，非自有门口摆着这次现在便宜低配的办法也就是50左右。
[24:24.600] 092.0T的是以前3.07的，那时候咱看20标配现在也就50左右办。
[24:32.560] 这车就样的货，但真不。
[24:34.620] 实用
[24:35.520] 多使用。
[24:38.780] 张
[24:40.980] 对。
[24:42.150] 两位慢走，好，再见。
[24:52.690] 的
[24:54.740] 数据
[25:04.360] 话
[25:13.320] 给我讲
[25:15.580] 玩，
[25:17.110] 还有SUV，
[25:22.700] 网
[25:26.520] 数据
