[00:20.330] 您好，您过来了。
[17:22.660] 不行我就必须
[17:42.270] 远。
[18:16.960] 原。
[18:28.200] 你的S。
[18:29.030] S60会不会看票？
[18:30.360] 你昨晚上背的是吗？
[18:32.440] 你这边有S60是吗？
[18:35.030] 不是三，然后
[18:37.040] 然后。
[18:39.460] 的。
[18:41.330] 三。
[19:11.520] 对。
[20:00.070] 还是
[20:07.270] 看一下，
[20:08.510] 这是我们列的价格，
[20:27.300] 正常的话是9084，然后现在是5000，
[20:30.810] 然后便宜
[20:33.050] 4000块钱。
[20:34.140] 这块4000，然后这块是9万变成95,000，
[20:37.970] 5000一共是9000块钱。
[20:41.880] 手机
[20:42.910] 百分之多少？20%。
[20:45.390] 我按照最低首付给您算。
[20:47.950] 对，然后你也可以，比如因为贷款这个月供的稍微高一点，小1万块钱2000，
[20:53.830] 你手续费带多少钱都是到你的安排费，正常的话它是这些吗？正常的话它是按照贷款额的4个点来收的。
[21:02.350] 对，然后现在的话我按照最低征收也就算了一个5毛钱，
[21:09.450] 如果我带的多的话，
[21:11.910] 比如说我手术多的话，也不可能再比这个的时候
[21:15.300] 多的话，比如你首付50多万5，56,000，我要求首付比如
[21:21.350] 复古10万，这个是还会再继续，我可以睡着给我看，谢谢您问问。
[21:28.030] 能不能再低1000或怎么样？
[21:31.530] 但因为我们正常的话，可能大家都是按照这个来带，然后有一个最低的征收，
[21:36.460] 然后这边领导这边说他交流一次，
[21:42.000] 您前期准备10万块钱，
[21:44.780] 然后后续还货车一个月还给1万亏损。
[21:54.390] 我这个车的话而且不够，那么
[21:56.210] 我就能评估出来，您开过来以后给您评估大概。
[22:02.180] 半小时左右就出，结果半个小时就可以对您是什么宝马哪款？
[22:08.890] 半个小时就对这一块。
[22:11.580] 我说行好，还是要不得开车得看车，他主要是或者你要今天那啥，您就到时候来办手续的时候，您开过来给您评估，
[22:21.090] 等一会就出来了，结果挺快的。
[22:28.190] 今天
[22:37.920] 体验一下坐在后面行没问题。
[22:42.560] 但是如果要看的话，
[22:46.380] 你把我内侧一下，我能够评估一下，对，但你们的评估合适不全，题目涉及到这个钱。
[22:52.310] 对是的，这120。
[22:55.150] 对是这样的。
[22:57.030] 其他没什么，可在上班，现在就这样。
[23:00.460] 这些都是死的价值是吧？
[23:02.920] 这都死唯一就是这个价值观明确，而如果手术多一点，
[23:07.800] 这是还有点对就这两个对，其实我建议您按照这个来，其实合适也是
[23:14.920] 这样到最低首，因为前期准备的少，那个叫什么
[23:18.280] 贷款是吧？因为我当时看了去哪个4S都他会推荐贷款，都会推荐贷款。
[23:30.660] 歇会儿好行，有事您没先叫，我想要什么找你最好的选择要先一下，
[23:36.580] 或者你拿着还是开一下，先看一下。
[23:43.450] 昨天忙存款吗？
[23:45.200] 昨天。
[23:47.090] 7点多4点多。
[23:52.360] 你方便他还有下面。
[23:55.270] 非常谢谢没事。
