[00:00.000] 远远
[04:28.170] 是总感觉整个团队化，
[04:32.230] 谁知
[04:54.520] 王先生您这车我告诉您大概在什么位置，您要不就直接先看看能不能着车自己开走，行。
[05:03.400] 200在哪呢？
[05:05.020] 就在小圈里。
[05:09.710] 6
[05:23.670] 二
[05:26.480] 我这给你录完了。
[05:29.310] 出去了，对电子乐昨天您自己拆一下。
[05:35.510] 号
[05:47.080] 更换4轮刹车盘片。
[05:49.320] 对。
[05:50.320] 坏
[05:53.100] 的
[05:55.190] 数据。
[05:58.770] 场
[05:59.590] 场
[06:00.360] 场
[06:01.890] 数据，
[06:03.480] 前边是3871，
[06:08.780] 刹车盘假刹车片，
[06:10.440] 后边是2897全下来，6768
[06:15.360] 全下来，这就是联公司共同对都是打完折的。
[06:19.590] 打完折这些公司都算对60006000多6768。
[06:24.680] 7对前后盘片，因为你现在都打折，前边原来是5，
[06:29.420] 后边原来是4元，原价是9000块钱，再打到6700。
[06:34.310] 六千七百四十零四个完全不变，对这些费用我就可以提车了。
[06:39.900] 要是没有别的问题，要是说对如果光环其实这个费用
[06:46.560] 确实该换了，你得也必须得换了，那摩的太深了。
[06:54.100] 对12盘面，然后还有一周回周围是免费的，然后
[07:00.150] 预计的话明天中午左右取车，
[07:05.230] 邪龙小度斜传动前传动轴，对。
[07:09.460] 了，您说一声。
[07:13.140] 还有一个。
[07:14.930] 走动、
[07:15.690] 走动，对您。
[07:16.490] 最起码最好问问是比如说咱们就是原地。
[07:20.780] 踩刹车。
[07:21.550] 喝前进。
[07:22.330] 或者是倒档，然后能感觉到方向盘。
[07:24.860] 跟那条空战。
[07:25.960] 是这种斗还是怎么走，你要是。
[07:28.750] 这种走。
[07:29.500] 应该是发动机两个支撑脱胶可能老化了，行，而且那10多万公里也差不多该换了。
[07:36.460] 那时候多少钱来了吗？多少钱您这车不好换，您这车有可能得把发动机吊起来，
[07:46.390] 估计得。
[07:47.810] 对大几千万。
[07:49.960] 8得8000~1万了，我听。
[07:53.990] 比较鸡爪店对发动机和变速箱鸡爪垫
[07:59.060] 八几千将近1万，差不多得先让技师判断到底是不是那个的问题。
[08:08.170] 对
[08:13.140] 为
[08:15.320] 快A。
[08:21.280] 三。
[08:24.160] 是我接的。
[08:26.530] 中间扶手箱坏了是吧？
[08:38.030] 什么？
[08:39.790] 我弄了那就到时候准备修，让他们给检查一下。
[08:49.050] 新车要给他补点，
[08:54.860] 我问问他能你那边有吗？
[09:00.430] 多吗？
[09:04.770] 他一女的他啥也不懂。
[09:06.640] 行什么我待会问他一下。
[09:10.360] 好勒。
[09:13.520] 快。
[09:16.920] 三
[09:18.580] 场
[09:20.450] 的
[09:21.670] 的
[09:22.960] 的
[09:24.880] 场
[09:26.880] 的
[09:32.350] 五
[09:34.530] 数据
[09:36.440] 的
[09:38.120] 的
[09:39.050] 数据
[09:41.060] 的
[09:47.960] 的
[09:51.410] 数据
[09:55.290] 检查，
[10:06.560] 场、
[10:10.740] 的
[10:16.480] 的
[10:25.880] 五
[10:28.860] 五
[10:35.300] 10
[10:36.040] 二
[10:36.970] 的
[10:41.320] 坏
[10:46.740] 坏数据。
[10:52.220] 场
[10:56.640] 场
[11:01.790] 的
[11:03.610] 的
[11:09.160] 的
[11:14.850] 远
[11:16.300] 数据、
[11:17.720] 数据、
[11:20.720] 数据
[11:27.810] 数据
[11:29.460] 的
[11:39.430] 张女士您好，我的车保养
[11:46.400] 一个是东边咱们那首故乡是吧？您知道不知道不好开，好好，这就是中间储物箱，就是一带能旁开里边能装东西的，我不知道您又没用，他打开不好开可能有问题，
[12:01.690] 后边好像有个轴折了，
[12:05.030] 应该是能做保修，到时候我这边帮您检查走向手续，要是能多保修的话就给您定一心。
[12:13.750] 再运过来快。
[12:15.800] 对，宝就是免费，因为您这新车三年之内有任何质量问题都免费的。
[12:21.950] 这是一个问题，时间可能会稍微长一点，因为计时他这边走下车，
[12:29.440] 然后
[12:31.340] 算的时候半天，到时您安排半天时间来。
[12:35.880] 对，然后还有一个事就是您这车防冻液少需要添加，但是得需要您自费。
[12:47.570] 是在咱们这买的吗？
[12:49.610] 的。
[12:53.000] 不是您说玻璃水都说两个东西。
[12:58.790] 您说那边玻璃水这是防冻液是加到水箱里的，得需要您自费，应该是100多块钱，
[13:07.070] 出一瓶就够了。
[13:09.850] 了。
[13:11.040] 但是您那湖里边少了已经到底了，
[13:14.820] 需要添加不行，他不是一个东西。
[13:19.370] 玻璃水是喷风荡洗玻璃的防冻液。
[13:23.380] 发动机散热的不能下嫁，完了就出问题。
[13:27.270] 看到了。
[13:29.670] 对您自己只能。
[13:30.830] 加过滤水，别的您都不需要添加这些其他的油业都是到店里保养。
[13:35.270] 检查的时候如果少的话是在店里
[13:38.060] 也比较
[13:40.920] 不是露他有一个定期的正常的消耗。
[13:47.440] 我记得一瓶应该130左右。
[13:50.400] 您看行，到时候没问题，然后到时候您等我电话就行，然后他们走下保修什么的，然后订货到货以后，
[14:00.770] 到时候有点没时间。
[14:02.520] 你再问第一个36三两没到后边，他们轮胎后面轮胎对您换了，因为您帮我已经有问题了，打开不好开。
[14:11.290] 不是高少，谁知。
[14:16.420] 先这么着，行行行，大家等我电话就行好吧？
[14:20.720] 加速电视要前后播放吗？还是如果快的话钟左右网上办的话，应该是8:00，他们怎么写？
[14:27.780] 换前面的把前面换就行好吧？然后我这边到时出来给就在图片，然后现在先这样，还是离开你们这要求。
[14:37.440] 现在领导给我这些都是
[14:39.520] 谁知
[14:55.990] 的
[15:02.560] 谁知
[15:09.360] 的。
[15:10.660] 才换的。
[15:17.010] 的。
[15:28.080] 有码还是
[15:34.710] 我这里保养的时候发现中央扶手箱有问题走保修，但是这个客户描述跟发现这
[15:46.510] 改不了了，
[15:47.950] 直接。
[15:49.400] 对我这直接加上行了。
[15:52.000] 就没有什么33是了这上面。
[15:55.800] 那没问题是吧？加上了。
[15:58.750] 不是微博是什么意思？
[16:09.400] 6
[16:12.120] 谁知
[16:16.300] 模式和检查中央扶手箱打不开了一家，
[16:21.580] 一点总额才1.5之间差不多，我想跟外边差不多一千百九 1500块钱，
[16:28.330] 一千百块钱再减150，最后能统一大家，因为现在华为那边也不收费对吧？
[16:33.120] 原来13,335,000可能会贵就贵个几块钱，反正现在还
[16:40.830] 明天取车您先然后您帮我签个字是吧？已经不行了。
[16:46.390] 您问那斗了吗？那是怎么弄还？
[16:49.370] 平时不动，挂D挡了是吧？那就是刹车的话，他不对刚才说的情况是一样的，
[16:57.550] 基本80%是基本的问题，我让车间及时也在帮您确认一下。
[17:03.350] 行，然后如果要交换我再给您报价，到时候再看看show不要换好吧？
[17:09.890] 再一个就是什么发动机空调，
[17:12.960] 运行的什么车空调，
[17:14.950] 就把空调给清洗了。
[17:20.220] 稍等，您车牌号是多少类的？
[17:23.640] 今义。
[17:25.830] 2942是吧？
[17:28.390] 我好像是你要空调就得换滤芯了。
[17:34.240] 做清洗是一套
[17:36.420] 就是空调滤芯跟空调清洗。
[17:38.930] 做保养的时候，你上次做保养时候，
[17:44.460] 我看看换没换。
[17:52.150] 上次没换，您还是在
[17:58.410] 去年5月份10万公里的时候换的空调滤芯，
[18:03.390] 11万保养的时候没换，
[18:06.470] 10万时候换的，现在
[18:09.600] 12万了。
[18:12.590] 那也是112,000，您保养也还差一千几百公里该做保养。
[18:20.050] 上次112,000做的。
[18:22.390] 212,000，对，您现在是121,000，
[18:28.570] 还差几百公里不到1000公里，保养要不要一起做？
[18:32.650] 要不过过段时间还得拉。
[18:41.110] 保养，
[18:47.530] 有过先换俩化疗的话，保养您12万，理论上来说是该做一大保养了，6万公里做一次，因为两伦敦发挥基本变速箱油
[18:57.680] 该换了。
[18:59.340] 今天
[19:00.500] 能用吗？
[19:01.600] 还有刹车油。
[19:04.050] 用
[19:06.230] 然后186三个04清洗机焊960，
[19:11.180] 项目挺多的，
[19:14.250] 下午向下面
[19:17.720] 没问题，还是先换刹车。
[19:22.780] 保养到期再说。
[19:24.170] 好再说。
[19:25.330] 不错，谢谢。
[19:26.960] 那就到期再说，等仪表提示来说。
[19:30.080] 上一次不是他们
[19:32.310] 过来以后他们联系什么上保险。
[19:36.140] 走南三环上以后直接就上了保险给你送个保养去。
[19:41.430] 行。
[19:42.140] 那就额外的检查一下挂前进档和D档车车走是吧？
[19:47.490] 对检查员D挂D档或倒车走，
[19:53.420] 挂了以后不
[20:03.590] 的
[20:13.660] 反正目前的费用就是前后盘片6768，对，然后有问题联系您，如果修的话再
[20:22.670] 告诉您多少钱，要不修的话就
[20:25.120] 就交这钱就行了，行行。
[20:27.210] 然后那就见你需要带走，带走就健都带走是吧？行。
[20:32.140] 自费的酒店可以带走，召回的带不走完了吗？今天你们修吗？
[20:37.880] 不用了，今天先不管他还是原来那句话，如果你要修之前的话，你最好还是
[20:45.360] 体验下是危险，修车的话还能反
[20:49.100] 肯定也签个字。
[20:52.640] 首先
[20:57.860] 数据
[21:05.260] 数据、
[21:10.750] 花。
[21:16.890] 还有
[21:19.930] 花，
[21:33.210] 了
[21:36.680] 数据
[21:39.600] 数据
[21:41.070] 远。
[21:44.230] 你等我电话，
[21:46.800] 然后有什么问题咱们再联系。
[21:53.910] 好吧？
[22:01.650] 句
[22:08.830] 数据
[22:10.560] 坏。
[22:16.330] 接着刚刚登基。
[22:21.510] 对。
[22:23.200] 这不是我听。
[22:28.810] 的
