[00:00.170] 你要收两次那就是赚了
[04:41.320] 外面那点刮痧，大盘修的话就
[04:45.450] 了。
[04:47.150] 了
[04:51.000] 的。
[05:01.160] 休息一下可不少钱了。
[05:08.450] 不是走保险，第二年就是保费上涨一点点。
[05:16.170] 你要自己花钱修，那肯定还多。
[05:19.860] 薄空调滤清器。
[05:23.110] 绿宝空调滤清器。
[05:25.680] 得等一会儿车牌号多少？
[05:28.710] 6. 
[05:32.870] 了
[05:39.790] 骗空调滤、火花塞、
[05:43.590] 雨刷片、刹车油、
[05:49.640] 刷。
[05:55.430] 机场
[06:01.120] 北京地区的
[06:04.750] 刹车，
[06:08.590] 她空调坏了三次。
[06:13.130] 上次没换，前一次话。
[06:14.590] 这次换了，因为他分量小，跟那律师有关系吗？
[06:21.600] 对着绿心，
[06:22.910] 名字叫空调滤芯儿，冬天开暖风，夏天开冷风，
[06:27.030] 甭管开什么风，只要外循环，它都是水滤芯过滤土，
[06:31.070] 旧脏了堵了，可能这封进来的。
[06:34.950] 好像。
[06:35.730] 了就只能换不能换。
[06:38.180] 随着。
[06:39.800] 以前就是说给吹了就得了，就没吹的吹一吹就坏了。
[06:48.610] 的
[06:52.950] 谁
[07:00.410] 数据、
[07:07.400] 这是1000 2000多块钱的
[07:11.190] 7480将将
[07:15.090] 668
[07:16.440] 243过来，您看我。
[07:20.260] 下边带保修的。
[07:22.440] 这些都是不交钱的。
[07:24.080] B宝，
[07:25.320] 这是刹车油。
[07:27.270] 不是就是刹车片、
[07:28.580] 空调滤芯、火花塞、刹车油、雨刷片，这些都是不交钱的这一堆。
[07:32.920] 上面交钱的发动机的油路清洗，发动机舱和水箱的清洗，空调型企业。
[07:41.610] 2400多。
[07:42.820] 得交2400多。
[07:45.530] 怎么这么贵？
[07:47.410] 就没有打折。
[07:49.290] 对，前面都是打完折的。
[07:51.270] 您看要是多的话就不行，就把空调行行，那得去一个。
[07:54.460] 空调清洗、
[07:56.700] 空调的清洗，发动机机舱和水箱的信息，这个是必要的。
[08:02.120] 这两个是发动机的油路，行行好行。
[08:04.650] 那就把这个学校给换开，然后保养你圆不溜是吧？
[08:08.540] 您先把车上贵重东西收。
[08:10.370] 待会我给你发微信稍微等一小会儿。
[08:13.650] 那就把。
[08:14.530] 取消了不行，去掉一个空调薪水这东西。
[08:18.120] 现在说是1771。
[08:22.400] 这个都加上了3000多了。
[08:25.550] 没有2400多。
[08:26.960] 那种免费的也加上。
[08:29.530] 免费加上那多了。
[08:31.560] 3000多棵不止。
[08:32.970] 是吧5。
[08:33.500] 5000多了。
[08:34.420] 不管了。
[08:37.770] 消费。
[08:40.320] 您拿下边这点加一遍，您看一下。
[08:42.370] 400400多1000块钱。
[08:44.830] 700700多这就3000了。
[08:47.120] 1500 1700。
[08:48.800] 1万要连下班都加上那就多了，那就不是。
[08:54.120] 天左右行1000左右。
[08:55.560] 1771. 
[08:56.270] 11. 
[08:57.040] 发动机的油路清洗，还有前面发动机机舱，还有水箱的水箱毛毛的清洗。
[09:02.040] 要不要冲一下那么贵，人工那么贵。
[09:05.820] 您待会看看。
[09:07.500] 清洗完了什么样一打开机盖，您
[09:09.790] 一看一看就能看明白。
[09:11.680] 看。你们这打折了吗？
[09:16.520] 打掉了打几折你告诉我。
[09:18.380] 不是不一样，我给您打个单子，他上面有折扣，您这么看是没折扣，但实际上他。
[09:23.920] 没觉得那么贵。
[09:25.210] 它是有折扣的。
[09:26.780] 等您下一次再来，您就可以考虑办一张保养卡了。
[09:30.540] 着眼卡。
[09:32.190] 保养卡是人工人工费打折还是？
[09:35.840] 不是综合优惠，比如您平时A保多少钱，一下买4次的就便宜个几百块钱。
[09:45.690] 但他不是说存钱的事，一下就买几次保养那种的。
[09:49.210] 那钱。
[09:51.220] 教一教。
[09:51.840] 他另外刹车片。
[09:53.910] 录出声音来了是吧？
[09:56.000] 您就先撤。
[09:57.440] 好的她先登记一下，他看有没有。
[10:01.330] 看有没有货。
[10:02.200] 要有货直接给您换了，那就得下午了，好不？
[10:05.400] 他哥还是先开口。
[10:06.450] 行。
[10:07.710] 那就等会。
[10:08.870] 好，待会过来找你，就待会得来找我来。
[10:21.010] 上次买下次买像你说的
[10:23.490] 明年了差不多一年报一次。
[10:26.010] 您要开的多的话，那就1万公里。
[10:28.280] 对。
[10:29.660] 差不多我觉得一年一次。
[10:32.270] 您这一年两次。
[10:33.810] 两次谁知。
[10:35.420] 18年买的车，现在20年4万公里，一年两次。
[10:42.580] 点上了。
[10:44.710] 我那个车就一年一次，
[10:51.140] 远
[10:58.010] 的
[11:01.850] 场。
[11:05.860] 4S店喷漆跟外面喷气式，不是外面的。
[11:11.950] 就用的漆不一样。
[11:14.830] 然后它的环境比如在那无尘的，
[11:18.310] 外边可能就找点土什么的，
[11:21.870] 你看这不得克扣，
[11:23.360] 这都是不花钱的，折扣率这个位置，它每个项目有的项目打折打多全是套餐，
[11:29.370] 焙面。
[11:31.120] 接着
[11:33.200] 它全前面原价后边后边折后。
[11:36.750] 全都有多少？
[11:38.250] 每个人都不一样，对。
[11:42.350] 这个都是厂家给定了的，所以说咱就不再打折了，比如说您基础的保养，A保B保，
[11:47.800] 我刚才跟你说咱基础的一块买，这样能在这个基础上再便宜一点，就打包一块大包装。
[11:55.410] 一边是商贾的。
[11:56.180] 一一期本身一下买几次。
[11:58.730] 4次，您用2年最多6次或者。
[12:02.340] 10年前。
[12:03.570] 或者还有10次的。
[12:07.470] 两次A保2次B保两次空调滤芯，一次火花塞火花塞是4万公里换一次，所以4次里面包括火花塞，
[12:16.230] 多少钱我看看。
[12:19.920] 上。
[12:20.950] 7328 7328. 
[12:23.270] 行，下次让他买了。
[12:31.690] 这可能以后还会出什么6次8次的10次的
[12:36.420] 更多的那种。
[12:38.160] 把套餐三。
[12:39.650] 是吗？
[12:41.580] 没有，这个是奔驰厂家的，回头我们店可能后半个月我们店里边肯定会出也是2468那样的，
[12:49.440] 然后会比厂家还便宜点，现在还没有。
[12:52.760] 反正有的通知一声多长时间？
[12:56.580] 年。
[12:58.300] 比如您开的多，有的公司的车一年才能开个三五万公里的老跑。
[13:03.900] 对，他一下买14个可能用两年就用完了。
[13:07.530] 年。
[13:08.590] 有的客户一年它就开了5000公里，
[13:12.140] 然后他可能就两次。
[13:14.880] 早点都报废了。
[13:17.100] 咱们您留一份这单子就是咱们这次做的所有的项目，
[13:21.130] 反正都是正反面的。
[13:23.650] 我看我给您看看。
[13:25.360] 一样的吗？不一样吗？
[13:26.800] 对。
[13:27.680] 这一面跟这一面
[13:30.400] 一直到这，
[13:31.810] 这是不交钱的。
[13:33.440] 这一面是
[13:34.960] 然后加上这一片是交险的，
[13:37.220] 的。
[13:38.160] 对，就是这样看。
[13:39.730] 的不会骑车的时候。
[13:42.070] 对做方案好吧？谢谢。
[13:48.740] 好像走时候给您账单清单也是，只不过这就是估价单一样的。
[13:58.090] 是那个吗？
[14:04.910] 至少4个小时。
[14:06.230] 4个小时。
[14:07.470] 我的意思回去。
[14:09.550] 直接撤。
[14:11.370] 直接撤换多少东西，换机油机滤、空滤空调滤，
[14:15.290] 然后刹车有火花噻，
[14:17.400] 刹车片、雨刷片
[14:19.450] 清洗、
[14:20.790] 清洗发动机、机舱、
[14:23.510] 咱就这么一数，这10个项目
[14:25.640] 直接撤我就打清单这项目，
[14:29.030] 打了三篇。
[14:30.330] 行直接撤，这回时间长。
[14:32.880] 您看你指这个。
[14:36.110] 买车的时候给的礼包，这里边所有的项目都给您换了一遍。
[14:40.080] 这回。
[14:40.810] 现在这里边没。
[14:42.090] 没了，这就干净了。
[14:45.830] 招商、
[14:48.920] 因为你看这里边它你看包括了前刹车片，
[14:53.190] 前轮的刹车片，
[14:54.630] 您这刹车片其实特
[14:56.480] 没事儿，
[14:57.800] 但是能换一次。
[14:59.820] 就给您换了。
[15:01.050] 不换留着可以吗？下次。
[15:03.790] 不行，那就自还得返回厂家。
[15:06.420] 倒水这是对的时间了意思吗？
[15:10.260] 想要不换。
[15:12.230] 不行，您那公里数到了。
[15:16.370] 到4万公里了，您再多开一点，想换都换不了了，那不行。
[15:19.960] 您公里数少开点，啥年头算还能。
[15:24.500] 肯定在还我还有管。
[15:26.360] 您现在管管都没有了。
[15:28.160] 只能放。
[15:29.950] 时间也到了，总理也到了，
[15:32.850] 对吧？
[15:34.110] 主要是公里数。
[15:36.400] 三年之内或者4万公里之内跟着礼包是
[15:39.560] 您这腾腾两年开了4万那就完事了。
[15:43.790] 这三三年之内不行吗？
[15:46.320] 要么您为什么要三年
[15:49.190] 或4万公里，
[15:50.680] 您要是开的少一年一次，
[15:52.620] 免费做3次，你要是开的多1万公里一次，您能免费做4次，您开的多是赚一次，拍多少赔一次。
[15:59.280] 次
[16:00.700] 是这个意思。
[16:01.880] 这开多少会在
[16:06.860] 有的客户真他一年就来做一次保养，您
[16:09.540] 本来4次他只能做3次，再一次没法做。
[16:13.080] 过期了。
[16:14.160] 我每年就做一次保养，我的车4月。
[16:18.780] 这还有C级吗？
[16:21.670] 有了错吧。
[16:22.610] 了。
[16:23.440] 没事了。
[16:24.120] 到时候我打电话。
[16:25.460] 给您打电话。
[16:26.550] 咱们下午见。
[16:28.710] 行。
[16:32.000] 38我不到车回去了。
[16:35.830] 走。
[16:36.800] 为卖点的。
[16:39.220] 待会我给他弄一下。
[16:45.530] 挺过去。
[16:46.170] 行好勒。
[16:54.860] 能说了算。
[16:56.040] 马上。
[17:01.300] 说。
[17:06.000] 的。
[17:09.810] 你查查B。
[17:13.560] 有保险卡呢？
[17:16.020] 办好贪婪的套餐。
[17:19.430] 没有，之前我买了一个。
[17:22.440] 用
[17:30.220] 要顾换车，考虑办一个送一套刀，
[17:33.890] 送一套双立人的刀医生。
