[00:04.070] 美味打上上回
[07:10.880] 顺差虚拟的视频。
[07:13.910] 我们这样不行，然后我出去没事偷着乐，谢谢您，谢谢。
[07:18.720] 这是谁说？
[07:19.870] 不知道谁的名。
[07:22.290] 晚上开始
[07:24.110] 查看，
[07:27.560] 谁知
[07:50.430] 你的客户进来了，市场
[07:56.160] 到
[09:17.480] 买的车的话会不会能不能送婴儿座椅一类的东西，咱没有送的，你是跟刚才周先生一起的是吧？不是谁是就不是是吧？
[09:29.650] 你买车送什么东西就是没有什么送的，咱这也没有什么强制消费的，但是送的东西也没有什么送什么精品什么的，也没有什么婴儿座椅，对，但是咱再瘦的。
[09:40.420] 多少钱？
[09:41.190] 跟您不同年龄段应该2000多3000多。
[09:44.230] 展厅这边应该能它那儿有一个，那会儿你看一下。
[09:51.700] 先生您是他是听进去了，跟着想换哪款车？
[09:57.790] 现在还没电，认为他那个生意现在还有什么环境，您是想换一个SUV还是轿车？
[10:04.160] mic用户就交出去还是换S
[10:07.640] 你还是放宽对。
[10:10.060] 现在借款现在这款非常好，这款C是852,800。
[10:15.290] 这个不是才80个人吗？
[10:17.100] 对。
[10:17.930] 这是3.~3.0T的就是335，对350这个才80多。
[10:24.210] 对有一个会员还有优惠，一会可以给您算一下，您看您主要是说想换个轿车还是SUV？
[10:31.000] 要是SUV的话，再有7座版的就是LS然后这款的话就是5座的，
[10:36.480] 不是7有7座的，7座的话也可以选装。
[10:39.930] 你就看淡这个是-2.03.0T
[10:43.120] 区别如果他多少钱，
[10:45.000] 哪款能优惠多少钱？
[10:47.030] 内车2万左右。
[10:49.300] 450没有优惠，4没有对300350 350 2万25,000每款车型不一样，6万多
[10:57.090] 倒没有价格。
[10:59.040] 那就车费的。
[11:01.080] 这款车今天刚调的价格就这两天订车的话，就这三天我给你看一下。
[11:09.050] 这是新卡这是最新款的，后面都前期都没有老款，因为您老款的有可能一看是高配的，毕竟他不是最高配的，最高配的话是120多万的。
[11:19.880] 但是他450
[11:22.120] 对，后边有显示屏，百4 1,201,800，迈巴赫的话是140多，对，像新卡的都是几何多光束，大灯
[11:31.830] 都是全系标配的了。
[11:33.690] 现在能多少？
[11:34.870] 如果说咱就下来，我给您看一下这个车现在大概优惠多少钱，今天刚就下来了多少。
[11:41.420] 行车下来一会儿给您算一下，看看应该是多少这个环节这个价格，而且您还是同品牌置换。
[11:48.460] 对，这时候还有补贴，还有吗？
[11:50.870] 有补贴补贴还特别多，我给你们看一下。
[11:54.310] 还有补贴里面有多少？
[11:58.980] 他这个翻译
[12:01.570] 上传就不穿
[12:03.320] 恐慌。
[12:04.490] 把后面3500偷了，放在三，您同品牌置换的话，这个车的置换的保险的赠送就赠送您18,000，
[12:14.090] 非常合适。
[12:15.480] 咱就下来多少。
[12:19.030] 转车我给您算个报价带。
[12:21.560] 像您要是说今天您订这个车的话，
[12:25.390] SS350，
[12:29.980] 掌声该钢材的价格，
[12:31.920] 咱家不是真的。
[12:33.750] 对，是正常的。不对。
[12:38.790] 看着您今天订这车是直接将5万
[12:42.700] 目前完成六七千米，对千852,800就802,800。
[12:47.260] 前对你要是昨天看这款的话，最多能优惠到45,000。
[12:51.480] 这三天做活动。
[12:53.070] 三五年这款车对。
[12:54.980] 还是80802,800对。
[12:57.840] 我们全班齐再加上税，再加上保险，保险还送您1万，所以你现在没有什么睡一个其他保险多余的不多，出来那部分，再加上验车装饰什么的就这些了，没有了，产品没有，就是这样，对装饰的话一般像S级的客户一般都会贴个隐形车衣，
[13:13.780] 保护车漆的，再加上一个玻璃贴膜别的就不用了，学别的就没什么必要了，隐形车衣。
[13:19.940] 对现在一般S级这le网上的客户都会选，
[13:23.550] 你们见过有一会都可以，我们是美式的是进口的。
[13:28.300] 什么采取TPUTTPU的，还不是tp O对是双层的，
[13:34.940] 还带自动修复功能非常好。
[13:39.800] 要
[13:42.520] 13。
[13:45.450] 而且现在全新的包括您遥控它现在的所有的电动座椅腰部支撑都在系统里边就可以条的。
[13:54.120] 这里不是你的吗？
[13:55.920] 像原来的腰部支撑是在这个位置，这个是腿部支撑。
[14:00.600] 腿突破，对，现在都是在那边的案件上交，整个进入一个座椅调节的系统模式。
[14:09.350] 反正您要是说我觉得这两款车比还是S更什么一些。
[14:14.560] 后端对。
[14:18.590] 现在23 00还做了没有360了，现在最低的就是35，对03。
[14:25.910] 对，最低的就是350了。
[14:28.880] 这个道理之后，
[14:35.230] 谁知
[14:36.620] 这个车今天另车直接优惠5万，
[14:39.020] 这是今天早上刚调价，昨天是优惠45,000，
[14:41.860] 53,000块钱就算了，还包含18,000什么，不包含您置换的话，还有个18,000保险落后。
[14:49.630] 所以说您2万多车的保险怎么也得2万2万2万多减到1万对。
[14:56.830] 分期有没有什么优惠呢？
[14:58.520] 分期就是正常的了。
[15:00.260] 经常对，而且这车分期利率也很低，也没有部分题的，一会我给你列个详细的。
[15:04.540] 咱们看一下分析看一下是对，而且你看新版的利息跌了，
[15:10.350] 现在好多有的车都免息，I奔驰还真是没有免息的配套，还想找个销售，女士您到前台登一下记，然后接下来这边您从这儿过去，这边
[15:22.230] 对这个前台您跟他说一声，
[15:32.150] 人生在世环保轮胎。
[15:34.240] 哪个现在这车都不是环保轮胎也不带备胎了，都对现在都没了，对他们争吵了很多等等。
[15:43.510] 谁知
[15:45.250] 这个车旁的话，现在不太先比下来求多了，原来小是吧？您原来是
[15:51.120] 是比较深，对不是筐，然后比较深，原来有可能会深一些，然后就变成什么装备，谁知
[15:59.670] 保养没有错跟保养没有什么透明，还是您套餐的话保养套餐有卖的？
[16:08.700] 对，那有卖的。
[16:10.260] 而且这车都有延保。
[16:11.980] 什么就是这车正常质保不是3年不限公里数，他可以延长到5年。
[16:16.890] 我们跟原来一样的，对跟原来一样，这个都是厂家原厂的。
[16:27.050] 在这边文化外面便宜。
[16:31.040] 不会您同意不会您再便宜咱这么说，假如说您这车您那个车你在外面停车20万，
[16:38.410] 咱就按10万咱们好说，然后你纳税10万，您的在店里面给你9万，您看出来卖10万你肯定也是在变成合适，因为电力化工38的一个补贴，对。
[16:49.720] 就是征收项目的这款车834,800，您全麦城大概93万左右。
[16:55.620] 93万，但是滴滴说实话就是
[16:58.100] 您st跟E根据sas还是比L要高一些，您肯定都拍完了的，你知道
[17:04.330] 做里面的凶器不一样，但是这种方式他又不是特点是性比较高一些，对，但是你要说从身体上来讲，他文化程度来讲，
[17:13.090] 交通太不一样的高科技感觉。
[17:18.060] 这么说的话这个是4米对，那不是还是左右330对。
[17:23.670] 350的话是70万八八七要全面谁知
[17:28.510] 二跟就能够失业了，
[17:31.860] 事办下来的将像S
[17:34.740] 妈推荐我就行了，这简直。
[17:37.140] 稍等一会，我查你都知道，我
[17:39.420] 看着办。
[17:42.210] 这两个车的话，你要说从前面的角度说话成分，车的价格3350比他好拆机，
[17:50.130] 你要是同样的车你也是450，这个车是上午的，它发动机是一样的，都是3.0T的，
[17:56.110] 不是3.04个垃圾桶。
[17:57.810] 这个的话应该说来
[18:00.200] 因为这车现在刚上市没有什么优惠，对，我不知道传统特地的问题。
[18:07.090] 真没有，您就不用在网上看了，网上价格真的都太好了，真的太不准了。
[18:15.940] 其实你要是在网上看看，看来之后咱就没法买车了，网上说的说这不好，也没说。
[18:21.910] 还行。
[18:23.800] 就古龙
[18:25.480] 就跟Q7的感情，对必须的。
[18:31.270] 对。
[18:32.260] 为什么？
[18:33.620] 因为这个牌子的车
[18:36.480] 话，
[18:38.170] 主要是您还是吗？
[18:41.260] 你要是您看我建议您可能这种，但是我不建议那种对。
[18:48.080] 真的是那种教授X还是汽车它里面
[18:51.500] 其他的就是要包括什么？
[18:53.520] 然后特别有意思，因为这个人都想到了。
[18:57.820] 好。
[18:59.040] 前面的问题对了解。
[19:03.290] 对就500。
[19:04.630] 我觉得多少？
[19:07.650] 好的800多岁。
[19:12.000] 这就是法律。
[19:17.240] 算了。
[19:21.620] 反而如果您觉得还有
[19:23.800] 的
[19:26.290] 这样的有什么的那个时候买的话是90多万。
[19:31.440] 三当时买车是吧？没有坐摩托车。
[19:35.830] 3米，那就上一代，对，然后紧接着换代是吧？对6年了，但是
[19:42.630] 这种车6年之后的话，
[19:44.820] 互相就多了。
[19:46.200] 还有一个文化动机，这些右手看见就出来了，
[19:50.190] 这边差不多五六年就得换一车，
[19:53.480] 你不然的话你休息了，那很不好走。
[19:58.490] 所以以后新房的楼盘在一块，就感觉老管
[20:02.740] 有一个状况不一样。
[20:05.900] 您楼盘的开车有什么感觉不太满意的吗？车道就没问题，因为那个时候也是
[20:13.210] 那个出来就可以。
[20:14.790] 每个所有那个时候对那会儿您孩子真的你挺好，真的挺好了，96万。
[20:24.810] 那也是3.零七的对吧？那时候都是3.5的孩子在去年的时候其实和出了一个320S32谁知
[20:33.190] 对36现在了，那车去了。
[20:37.020] 我们除了一个32年现在出示的里面的话太太是平均了，但是
[20:42.920] 是
[20:45.820] 而且您说同级的，比方他就到别的地方，
[20:49.720] 醉花三四千，
[20:53.890] 您同级的您说A8也好，877也好，都没有S的手段高，没有他们要有，
[20:59.510] 因为利率不高，
[21:01.810] 谁知
[21:02.960] 他买了45。
[21:05.230] 你分期是怎么样说算了给您算一下。
[21:14.040] 谁知你现在买车几乎都生气了，
[21:22.610] 他是首付多少？37。
[21:24.720] 可以，首付多少？是您自己电脑的哪一个合适，我给您算一下，我给你拿张纸给你算一下，稍等我一下。
[21:30.690] 反应力还有收利息，还有什么？
[21:46.080] 回去吃。
[22:25.920] 给您送哪看出来？
[22:28.720] 算都差不多。
[22:30.440] 随便算一个人看看。
[22:35.590] 他没有产业吗？我？
[22:38.280] 产业现在都没有，现在只有电子的客户了，对产业的话现在没有印刷，没有最新的。
[22:44.570] 不用，我刚才看了两个事，
[23:05.060] 其实我们这小车开习惯了，
[23:07.050] 分开都放的那种，我们现在身边都患者身边朋友除了他，我们都放在C位，
[23:13.840] 但是说实话，反正肯定是酵素会更舒适一些。
[23:17.780] 你要是SUV的话，要是出去玩，有可能会通过性会好一点。
[23:21.720] 小时候拍的时候，
[23:23.180] 其实开高速小时候开的水平
[23:26.070] 而且坐着也舒服。
[23:35.520] 他说7座是选装是吧？
[23:42.090] 今年一型车好卖。
[23:43.860] 还可以，因为一型的话，它现在好多人都得认为都得有个车，都有私家车很重要就行，要不太安全。
[23:50.030] 他有这样的好多出来好多这种客户以前有指标都不卖车给别人用，
[24:05.970] 在家没事不着急陪我们去找你那里。
[24:11.320] 你要出去那明天。
[24:13.160] 没事。
[24:15.380] 我问问他在家吗？
[24:17.750] 好好，你是不是送到家楼下了？
[24:23.170] 好好。
[24:27.650] 您朋友是吗？
[24:29.830] 他说小哥，
[24:42.960] 刚好经过
[24:47.480] 坐在那边没事。
[24:50.360] 很近。
[24:51.600] 明白，但是我们之前买上了，我已经觉得
[24:55.880] 我们再看利息，有些势力心寒，不是我们百的之前我们在利星行买完价格就
[25:02.390] 真是有差价，新华哪个店？
[25:05.670] 武汉
[25:06.850] 方桥太远了，确实有点远，你买车便宜几万块钱，有不会差那么多了。
[25:13.210] 1万的有点不太可能差两三万怎么办？2000万也不三岔口行，你们
[25:27.060] 电话
[25:34.880] 两
[25:42.120] 都是您差你要是几千块钱这太可能了，差几万。
[25:48.200] 上次我也是买了对比，完之后几万有点太了，你过去他如果敢给你打电话，
[25:55.010] 不是手机找不到在哪，一会传媒找一下，
[25:59.160] 还有给会员
[26:01.190] 的。
[26:03.050] 他一直憋着了，你给他打电话。
[26:05.760] 没事。
[26:08.440] 他也不知道你下来没下来，
[26:10.390] 他也没上你到没到？
[26:13.930] 好。
[26:15.260] 下来之后，
[26:17.640] 咱们这边都有私家车，
[26:23.050] 也可以试驾一下。
[26:24.760] le也有私家车，然后S也有试驾车，
[26:29.520] 你要4架，
[26:31.110] 记者要是假的
[26:33.150] 可以试驾拍一下三年，上海买车不行，这几年才三天还两年三年。
[26:39.380] 你看什么？
[26:41.390] 一一个函对吧？他到了他说两三分钟就到了，
[26:45.840] 下去拿。
[26:53.810] 的
[26:59.950] 还卖多少？
[27:01.560] 对我们也是这样，没有什么今天买的过一个月卖的吗？没有太少了，得是要这种车要么就出现故障。
[27:11.370] 没有不会他撞过什么，基本上不会。
[27:20.900] 睡的教师计划用几万。
[27:24.790] 废话71,000。
[27:30.200] 远。
[27:37.650] 号
[27:42.200] 的。
[27:53.800] 这样一算哪款吗？
[27:55.500] 35350的450都行，4508350是不是60万？
[28:01.760] 三五年没有738,800，最低配的709,000千八七万吨，
[28:07.610] 你不能买就可以，不是，您得看您4。
[28:12.500] 这样一是这样的，
[28:14.030] 您看您是200ts3.0T的，3.0~30T那就是450，没有什么834,800是最低的。
[28:22.880] 然后他还可以再选择是吧？
[28:24.920] 没有，你选装你只能订车了，定制了，你这种没什么能到。
[28:29.630] 会等时间很长，你们这都有现车吗？没有现你要看哪款车，就比方3506450。
[28:35.970] 有现车有黑的吗？非的没有那什么。
[28:41.150] 等一会就给您查一下，可以的，还没有没车正好一都没车，只要一美国生产的过不来。
[28:46.760] 路上一道有的哥们都过来一起弄的，你们现在都能到期确定不了以前的时间确定不了什么时候告诉。
[28:53.630] 还都没现车，应该是有现车是吧？还是有，因为S是德国生产的。
[29:00.510] 只要一全都是没有，全都是美国生产的。
[29:04.310] 平均病的技术。
[29:07.230] 他那工厂在美国，
[29:09.260] 你们是不是跟天津港的不一样？
[29:13.580] 也要花2万也。
[29:16.780] 22万多。
[29:17.980] 优惠完了不到10。
[29:20.160] 买下来的现在是二二三十万，这是多少钱，我一下他跟咱说。
[29:34.540] 890。
[29:37.990] 哪有？
[29:42.450] 的。
[29:44.080] 可以了，而且待会
[29:53.000] 还是一个区别，就是刚才你讲的授予什么？鲜花，
[29:58.830] 第方面的安全感，
[30:01.560] 同样的
[30:06.290] 你比我觉得我
[30:08.240] 我肯定感觉的。
[30:10.100] 我能力上最低的优惠，咱不能这么长时间，你现在用的
[30:18.630] 感觉我什么都想问，今天定
[30:22.060] WiFi不卖车很少有当天练的特别多，
[30:27.200] 都看好了，价格合适，为啥不定对吧？你看我那会买的，
[30:32.160] 我三个月钢铁我就跑了几个地方是不是买的什么车，
[30:37.890] 我擦自己的，如果我还要跑那么多D
[30:43.270] 比两三个卧铺都优惠的挺多的，因为很多都不一样，套路都不一样，
[30:50.220] 奔驰没那么多坏，
[30:55.050] 他只好卖了。
[30:56.520] 对，所以说他所有东西都是明码标价的，就是该多少钱就是多少钱。
[31:04.810] 连首付50%给你算吗？也行。
[31:40.680] 视频下来怎么样？
[31:42.270] 还没公布出来了。
[31:45.330] 然后算一下分期付款。
[31:47.930] 三年前
[31:49.800] 很清楚对吧？他还没建成还没选出来了。
[31:55.030] 您看您要哪款车，然后给您查一下，给您算的是这样，1450 834,800，购置税是73,876，
[32:03.870] 艳保险的话不是保险大概是25,000，这个车您同品牌置换的补贴是1万，
[32:09.170] 验车上牌是2500左右，装饰的话是19,800的套餐，
[32:13.790] 全班齐的话大概是945,976，就是这车，然后首付50417,400%，贷款也是417,400，每个月您需要还的话是12,921，利息总额的话是49,945，
[32:27.490] 总共拟合计需要付大概就是528,576，所以你看怎么样，您看您再看下奔驰是行业内第一个不收取任何分金融服务费的，
[32:38.170] 你要正常来讲的话，你待会还有个服务费，就其他品牌都有活动费，无非是在您在广州的3个点或者是4个点，
[32:45.050] 这是不一样的，然后它还有利息有服务费，但是奔驰是没有任何服务费的，给您算的是S咱们刚才看到的那款车这个指导价是852,800，优惠完5万之后是802,800，估计是71,045，
[32:59.270] 装饰也是一样的，15,000 9800，验收上班2500，保险大概在23,000，置换的话是送您一个18,000的，也就是自己再交5000块钱左右差不多了，
[33:08.170] 全班齐大概就901,145。
[33:10.930] 5首付车款的一半401,400，贷款也是同样36期，这个利息非常的低，您贷款40万，您三年一共您的利息还是25,169，
[33:21.560] 现在S的政策非常的好，所以说为什么建议您去选择S然后这个的话每个月你还是11,849 136您利息首先就比他便宜了3万，车价又比它多优惠了5万，这就8万，下来之后您车比这车置换补贴多8000，这整体差几万块钱，
[33:39.610] 然后S就不用说，他肯定比着L1还要高一级别，我跟你说不是全车90万，我昨不才40万。
[33:47.310] 对，但是您手中的合计的话，这不给您算出来了吗？首付合计大概就是49万多吗？因为你还得加上税吗？这些不是没办法分期的吗？只有车款才是可以分期的，车房间80万可以翻车，那行他就成了。
[34:00.110] 验车是不能停车，还有保险购置税一下70左右60万，对。
[34:05.730] 去掉50万。
[34:07.240] 行没事，然后刚才我查了记录，咱们车的后边是被撞过吗？
[34:13.790] 对，这个里面在别人的话就是绿色灯等于是获得的违反了灯泡文章盖不上。
[34:20.930] 他只是设计这个空间，既然是这样先形成说一下这一下来说它就相当于这个数字的
[34:29.390] 可能你把这个结构部件
[34:31.100] 更放得下，看看这样。
[34:34.110] 没有，他们对价格影响很大了。
[34:37.280] 因为我记录里边我拿到的记录里面写的都是这种情况，
[34:41.140] 然后天空说安利收入均属于这是一个高，我都清楚这一下子打工非常大，稍等一会我看看大部分都是
[34:53.770] 那时候内饰外观看的都挺不错的，咱们就激动自己用
[34:59.360] 2000，所以说您这个肯定是
[35:03.280] 分期模式的，您40万你说咱们现在您股市也非常好，你不做股市，咱不弄股票股东基金什么这些东西，就算对你就放在银行40万的话，您咱就按4个点算，
[35:15.020] 对吧？一年还1万多，13年还是55万块钱左右，所以说您分期合适，这个的话跟您放在银行应该差不多。
[35:23.290] 对能回百分就能回本。
[35:26.860] 是吧？发现这整车下来了跟去我们差不多，他们作为一个情况。
[35:32.950] 下来行行，我记得那款S最多的，您那会买优惠多少钱？
[35:38.260] 我们很大15左右10万是吧？
[35:42.690] 我记得那会儿最多的时候S用户做到15万，但是肯定不是您12年13年那会儿已经马上换代，对16年那会儿81年13年7月份对你那会不是研究，
[35:55.830] 我也坐在那天我卖了最多的时候，谁知
[36:02.620] 奔驰一遍您放心，我记得您这个车的价格肯定是很低的。
[36:08.140] 对没事地区他这个不是等于是摆渡宝贝的力量，我那边好像是立新预期还是iPhone厉害，近差不多了番茄利息。
[36:19.240] 我们现在
[36:20.340] 你们E朝几十块，他们也方便好多的，百川桥那边有没有？我们没有，因为他也就一共20多家4S店。
[36:31.390] 这个车的话现在给您优惠的价格非常合适，所以说您要说对。
[36:37.770] 不是等于说贷40万。
[36:41.840] 男士性付款能有多少？
[36:44.630] 一样的。
[36:45.620] 一样的，对分期利率算利息这么低的贷款。
[36:51.700] 都是都贷款核是对你这样就是贷款对。
[36:56.330] 我卖的时候就全款就谢谢交给那会儿的利率应该比现在要高。
[37:01.480] 不太清楚，那时候好像没受精是辛苦的，就是想钱一次性付清，麻烦对那会儿的利率厂家贴息没有这么多。
[37:09.260] 现在贴息比较多，谢谢。
[37:13.470] 您好
[37:19.800] 没有必要。
[37:21.600] 而且辽宁的这个方面到去年
[37:26.720] 非常漂亮，
[37:28.280] 他往哪一个叫暴力，怎么当心晒？
[37:32.580] 哪有若干得到？
[37:34.260] 高到光看数据对。
[37:37.990] 原来有点自由，这个就是然后带上查查，
[37:42.060] 要记住不？这个有机体放在都用，
[37:45.680] 明天那边脑子不一样，
[37:49.730] 补补差不可能发生比例对不差你不查我发现他的
[37:55.310] 女性会产生一定好的
[37:59.080] 毫米，不断的可以打不开。
[38:01.560] 不应该是对应该是。
[38:05.570] 绿色。
[38:07.410] 然后我再想一下，如果他跟不管
[38:15.260] 他们的关系。
[38:16.540] 但是我们村那个时候我就说买的
[38:19.880] 有关
[38:22.550] 您这时候是想什么时候发言了吗？
[38:24.990] 也快了，我们保险快到了记进去了，起来到了是吧？对，反正不前方，然后他就做出来。
[38:32.870] 这个机械楼姨肯定还可以边就过来看到，然后就说那不是我就做给一个专卖店，我们就过来了，原来我们宿舍也在这边休息，
[38:42.550] 你们车里都在保养，最早都在猫眼
[38:47.160] 近对吧？延期过后就做的着，在外面进行就在外边做了。
[38:54.170] 对。
[38:54.890] 没想到。
[38:55.800] 您可以考虑这车现在还是很合适的。
[38:58.350] 对这个可以的，对S真的很合适的，而且利率贷款方案的话，它是一个每个月都有变化的，这个月是铁盒，对这个月的贴息还是比较多的。
[39:10.720] 刚才当时的话应该是今天其实减去您那车之后，您再回不到太多钱了就出来。
[39:17.070] 我知道刚才他们说后面以及后保险杠半年赚了是状是别人撞到您了是吧？等等的一个L卡。
[39:27.280] 过那边我们在写的故事不是是因为他就是修的时候一看你后边叶子板，包括钙都黑箱盖，还有对，
[39:38.920] 他记得就这种特征的话，就是说母亲我们叫做合并，我们在前面，
[39:44.880] 然后后面一个出去的太快，
[39:47.500] 我在前面不是你说我们怎么开怎么了，然后他们有说有笑，
[39:51.120] 直接过来了，他们查出来他刹不住了，抓不住，然后就直接把后然后就走走撞不成，这样是R等于说
[39:59.950] 整个出行对高尔夫的话出钱，我们把它放不教条看东西，
[40:06.790] 车头都进去，没有进去就是霍和前面，所以
[40:12.630] 他的速度肯定很慢，速度应该他应该搜索在60 68，我们在前面应该是在30多，
[40:22.570] 差距很大。
[40:24.040] 然后他那个人网站
[40:27.370] 估计话他说不行太快。
[40:30.810] 所以我真的
[40:34.290] 其他的也没什么多大，现在刚刚我们师傅也说了，说外观和电视什么都挺好的，
[40:39.720] 正常的一些事保险我们都做1万万1万个亿都这样，我自己开也没什么用，买小孩都是家用，自己他肯定都特别注意支持系统太多比较低，我们出来我们继续开开一下。
[40:54.620] 他们没有这些东西，然后带不要他们眼泪了，我也没办法。
[40:59.060] 他已经说话导演不同，这方面他都受影响，都影响，他说他就认为说实话，
[41:05.430] 你要是说小剐小蹭没动过，没换购价的这种都还行，没有这种就是怕这一换就换个什么东西，你这个没办法，你
[41:15.320] 这个车有时候就这样就没办法，现在薪酬谁也不敢谁也不可能避免的，而且谁不好一这种事儿对还麻烦，其实话包括说实话
[41:24.350] 找了好久，你看没车开，
[41:27.090] 还有谁知
[41:29.400] 还公司来说的话，再开始是你其实放在你没有车了，对确实不方便。
[41:36.910] 我没有问题，我差不多为什么
[41:39.860] 没办法跟前面认定。
[41:42.030] 什么前厅不是都一样的卖搁在那边，
[41:47.280] 然后接了也是什么这样，S没有转车。
[41:51.650] 薄好，但是那边室外8课然后再加上也
[41:56.450] 对，这都是小的了。
[41:58.980] 原来
[42:01.200] 现在没有了，它18年就停产了，谁知
[42:12.830] 要成天上下班太不太好开，对车不好开。
[42:16.480] 我开会星期四
[42:18.280] 还不太好看行，没有刹车什么的吗？送的他也是上面有没有价值观的。
[42:24.630] 不好意思就烦的话跟奥迪A8的话差不多，对到底要不要AA和七夕他们都是精品妈妈，
[42:33.190] 这没法便宜，一般的都是A怎么有10多万害怕你花多少一般最起码要买车，同样商品你要配合4，
[42:42.530] 刚才这90万还是80万？
[42:46.700] 不8毛钱都是的的。
[42:49.090] 3.0的。
[42:50.400] 宝马73 70多的，有可能是2.0的，77373070也得78813018，
[42:59.040] 牢房才能价格卖，他反正这里面有
[43:03.800] 也都是你们买的东西，有奥迪，
[43:06.550] 我给您算着价格，咱们那边有个公社旁，然后都可以带进去看一下什么叫公司，就所有价格都会公示的，谁知对
[43:17.750] 就是卖给客户的上面所有价格都是有公式的。
[43:20.460] 我觉得价格然后包括咱们所有的谁知，
[43:25.000] 谁知
[43:28.840] 到
[43:31.110] 这很重要。
[43:32.480] 确实没车少一些，现在买书的多，怎么会因为疫情现在好多人不做交通工具，而且他们那种原来有指标的人，原来有没有有指标不买车，他把指标有可能给别人用租出去，
[43:46.930] 但是他又一行了，他就觉得有几张对让回来好多遇见这种的是原来修改，然后把对，而且这一行到大家都想明白了，你说这说哪天有点什么事儿，该花花，
[43:58.570] 有好多也都是置换的。
[44:00.310] 对置换的多一些，现在原来还是重点，对，虽说一一行真是还是买车那会一行，刚有一行的时候，大家谁敢坐公共交通，现在还好，谁知两人都10年的驾本了，也有指标都给别人用，
[44:20.270] 然后就不买这房也不买车，就感觉打车特别方便，但是一行一弄的感觉就行，不敢做了。
[44:26.570] 大家就感觉看人多对太多了，那个时候我当时搞旅游开个车没事，停车位是他就这么考虑了，然后还得停车，我还在堵车，还不车老外不露看是吧？没事。
[44:39.190] 反正我早上开车上班，下午去开车出来了，光停车位比打车费还贵，
[44:44.850] 15块钱一小时，就算那是你这一天789人家100多一打车都贵了，打车以前说话我来回打车也就
[44:54.400] 五六十块钱，这几年的话100来块钱那个时期的话，
[44:59.370] 他们自己来说，然后你看对整天谈谈的对可以吗？也可以，对，所以真的是好多都这么想法很多的，然后也做得对朝廷手里这样说，
[45:13.250] 你像前两天开车一车，我们这门口这边开了给我图什么200块钱三分就没了，
[45:18.750] 所以有些人不要买单子，滴滴一块的话车的话没车的人就签。
