[00:03.750] 王惠萍女士，
[03:11.110] 来的套餐。
[03:13.140] 加油。
[03:14.450] O。
[03:16.040] 京NW0020。
[03:18.030] 有保养并影响。
[03:19.680] 不影响两码事那是。
[03:21.600] 你们都不行，有情况A保养大概也就1000块钱左右，
[03:26.530] 你看千交费是吧？
[03:28.940] 对叫K300。
[03:30.070] 的话也是1100 1000
[03:32.940] 100多，
[03:34.190] 反正大概1000 1000块钱左右，差不多有什么爆炸那一块。
[03:40.290] 玻璃水的。
[03:41.880] 喝点水澄的，中间他可能是有点我家的玻璃水特多的话，
[03:48.520] 他就中间他会弄。
[03:51.230] 刚才我就问过，但是当时说
[03:54.520] 没什么我就没。
[03:56.750] 你说的家属的感觉。
[03:59.960] 玻璃水底下不是有一个器皿，完了以后有一个管控上来，
[04:05.640] 他可能是关中驾校
[04:07.190] 查到店里了。
[04:08.640] 你们这全都是这说灭了咱们当时我说话后来就没这个东西来得什么样子，还得进入。
[04:15.540] 您说相当于是玻璃水不水湖。
[04:18.350] 我没有说白色的水壶。
[04:21.410] 还可能不是井水胡闹，没事加的少加一瓶。
[04:26.190] 有可能是喷水电机那块结果了。
[04:28.660] 他就应该在湛庄稼你得检查，
[04:32.730] 你看水壶这么早加一名也就查这也就是口头上面不够，
[04:38.910] 也可能是家庭管，所以给进行谁知
[04:42.840] 能看吗？
[04:43.800] 就看不到这就拆了，这得拆前面了猜。
[04:47.060] 不出来是吧？确实价格。
[04:49.480] 测试测不出来了，因为咱不知道家的液位是高低多少的，看不到他。
[04:53.530] 就算完了拉下来出现了，咱家两瓶肯定贵了，加一点没刷，晚上早点行，加多了，他可能我想到还是在
[05:00.820] 在平就很平静的地方，不是这个。
[05:03.210] 有可能大下边是一个大的储液罐，上面是不是有一个白颜色的也是一个短短路吗？有可能是那块。
[05:11.910] 由大变小的位置，可能会有一些。
[05:14.710] 挤压也好，存折也好，有一些渗漏。
[05:17.900] 就这样是不用管了，那就没事儿了，到时候您这边跳，但是给你这边不行，信不信我？
[05:23.600] 我这进不去，咱等等什么开完单子咱生活来说。
[05:27.250] 没问题，
[05:28.620] 谁知。
[05:31.660] 对，我不是留您电话了吗？
[05:33.520] 我往往这边。
[05:36.060] 保养花半天时间，我这边的。
[05:37.800] 话时间长一点，
[05:39.000] 反正整个一个礼拜。
[05:40.080] 怎么着也得一周。
[05:41.220] 昨天上班周六周天。
[05:43.770] 上班。
[05:44.690] 我们都上班，我们学校也上班上班都上班。
[05:48.430] 就周六周天过来。
[05:49.600] 对到时候会提前给您去个电话休息一会。
[05:52.830] 对会通知您的，到时候过来保险的不用您结账了，完了保养那边一结账就OK了，当然会提前把车给您再去清醒一下怎么得上。
[06:01.920] 行，我帮您去看一会儿。
[06:04.070] 没事慢点王律师。
[06:07.690] 我速度慢慢。
[06:19.600] 系统上不去，
[06:36.040] 不错不去。
[06:37.180] 都上不去。
[06:38.520] 慢慢不知道为什么今天
[06:41.950] 过年
[06:43.250] 不是慢的问题，现在是根本就进不去，今天晚上不是升级，你看
[06:49.160] 昨天晚上升级了是不是？昨晚我说的那就是因为升级的乱七八糟的发生气，我在那开会了。
[06:54.780] 刚开始后来事实上手机今天晚上结，对。
[07:00.450] 根本什么东西？
[07:02.470] 对点开会不说14毫升的吗？
[07:06.590] 现在又看到所有人都单子。
[07:08.890] 能看见了吗？看。
[07:10.500] 电话全店
[07:12.320] 电量都能看到的，
[07:14.600] 全面有条件，
[07:15.960] 我对我根本就进不去，点我都不知道了，又或者一个电话。
[07:21.010] 你还能进去。
[07:22.670] 我那个了我看看
[07:24.840] 是沉淀E花开，首先的所有的错，
[07:29.100] 你有权限看来是吧？
[07:31.040] 全球都有好处，
[07:35.690] 你看根本进不去，
[07:47.960] 来，先把车开走吧。
[07:55.850] 这是咱们服务器问题，这服务器问题还是咱们电网络问题？
[08:39.140] 我的妈全店关上，全店太多了。
[08:52.160] 我就想知道昨天晚上老给我发短信提醒的是哪俩车，
[08:58.480] 一个劲的给我发，
