[00:01.750] 接收
[08:29.480] 一块走一下，然后这条您到那做什么花合到一块给您看一眼多少钱。
[08:36.180] 保险对，你要是走保险有的有这想法，你上医院大夫蹇挺好的。
[08:41.580] 小划算的，我下次要进场，他关键对他关键他有一个等待期，你说下一次你就是他
[08:49.020] 他有一个等待期，你要这次上了下午你就不用等你过来修车，直接就修完就陪你。
[08:54.170] 挺好的，保险这确实是个福利院，还是中午越好越早着急，我得把这个先弄完了，是人家的钱吗？我自己写我给他我下周还得让他过来。
[09:04.070] 对，他保险您跟走你的保险跟走别人的保险没有关系。
[09:10.220] 就是说只要您来这修车
[09:12.850] 就能赔。
[09:14.040] 走保险修车自费修车是赔不了的。
[09:18.310] 走保险就行了，对。
[09:27.210] 这活动肯定是真实有效的，这么大店她天天营业，这不会骗您的，您放心。
[09:37.100] 挺好的一个活动，可能最近好多什么好多
[09:40.630] 很多客户都上，你看像走到华南眼睛，像您这小坑了，车身有伤都可以一一下修复一下，又花费我那个险也都有。
[09:49.630] 对，您要看确定有化风险的话，走在走一保险修一下车。
[09:54.510] 你等一下我就问，我看我手上这保险你在哪去的？
[09:59.270] 人保。
[10:02.160] 睡着。
[10:03.800] 您有保单，你看我现在有管，看到
[10:08.090] 什么时候去的？
[10:10.260] 去年前。
[10:12.190] 过年的钱
[10:13.750] 应该
[10:14.640] 应该是商业险。
[10:18.560] 我这是发票。
[10:27.090] 节假日意外伤害交费。
[10:30.590] 太平洋什么，我这是太平洋的，
[10:35.030] 我的太阳了。
[10:40.560] 你再返回在我看一下上面。
[11:17.160] 他怎么是这样，看您这在哪上的保险在哪续的保，我就在网上弄的。
[11:22.800] 手机上操作的。
[11:42.080] 可写？
[11:43.690] 他明明车有商业险吗？你没看明白你的保单。
[11:49.580] 没有。
[11:51.530] 发票。
[12:02.140] 想他
[12:02.880] 卖给什么？
[12:09.430] 没上划痕险，没上划痕。
[12:12.960] 您这车上了一个车损上了一个无法找到第三方，上了一个三者不计免赔，没上划痕险。
[12:19.120] 不是权限，不是权限。
[12:20.990] 没上房吗？
[12:24.360] 他说我问他后面他是能修吗？
[12:26.960] 修车损对车损您能修复。
[12:30.410] 大家这些都能不能弄完了，对，您这要没上房人选走案子比较麻烦，
[12:36.650] 明年一上一划痕再修。
[12:39.750] 你要是什么的话，你要是今年走一下，然后
[12:45.170] 什么到来年上划痕险了，您再修改其他对再修其他的这样就行。
[12:51.150] 正好保费也错开了。
[12:55.250] 我就想问你一下，这不看到这个地方等分那是
[13:00.550] 他因为这三次
[13:02.760] 对钱放给你整疯你放心。
[13:04.880] 整分这块了是吧？
[13:06.780] 对，这边又给您了，什么稍微得抹点。
[13:12.240] 过于快速处理，对一块就给您修改。
[13:16.790] 咱们这不是着吗这回事对。
[13:19.990] 3D，不过山野这不是什么蹭什么白车是吧？
[13:26.640] 她是蓝色的反正。
[13:30.210] 隔山是他们送的吗？
[13:33.560] 肯定是颜色，你看看。
[13:35.760] 他肯定够他
[13:42.630] 这个地方。
[14:01.030] 是的是这个吗？
[14:02.190] 这里特别严重。
[14:04.250] 那是我在跟保险公司看一眼，跟他说一下。
[14:09.650] 您走个报价，拆解报价看这里边有事儿。
[14:12.570] 因为拆个拆解报价，它里边有事，
[14:18.040] 修车的时间大约是
[14:20.340] 5天对。
[14:22.010] 就等于是下周不是下周三差不多周三周四了。
[14:30.370] 你这车外观商品多得这明年上个划痕险续保了来店里边去，这里边优惠活动也挺大的。行明白，返油卡这里边反映虽然不是那给您折扣，
[14:41.340] 但是返的油卡不也照样是钱，也是
[14:46.840] 您要你要是今天不办取车来了半个代步险，您可以考虑明白了。
[14:54.710] 我在徐州过来问问，不可能不是特别着急对吧？
[14:58.960] 对，您到取车了您找我我带您去。
[15:01.530] 我跟您说一下，然后你看车身小伤到一块修一下，明天上一个划痕险，
[15:07.570] 上一会您走一车损，然后修那
[15:11.060] 然后再上一个划痕，车哪有商再show一下上个2万的划痕。
[15:16.810] 划痕险划痕险就是说修起来比较方便，就说想修就修，对走保费多少钱。
[15:24.560] 那得让他给您算一下，我算不了保费。
[15:33.640] 小强的话挺多，对，你看这儿有小坑，
[15:36.780] 叶子本来也小，
[15:39.610] 所以说你要走保险一块修一下，然后正好
[15:42.800] 补偿您的带不想主要特别关什么，
[15:47.240] 待不闲着陪你钱吗？就赔钱了，不符合你的钱，对，不涉及到那不是修车的保险对走，您再往心里边讲到这里东西。
[15:55.410] 村里面有贵重东西吗？贵重东西拿走。
[16:03.590] 等于是您
[16:04.950] 车
[16:05.900] 车也修了，保险公司也给你赔了，然后逮捕险额外的大概就是说给您一个保费的上涨，给您一个算补贴，就是那意思。
[16:17.010] 这也是这关键一车也修了。
[16:21.190] 怎么持续这车比如说有商人有商会什么不都修复，不是外观不好看吗？
[16:27.370] 单独的上保险。
[16:29.420] 看看代购相关，这跟没跟代保险没关系，但保险就是返你钱，就是罚你钱。
[16:35.780] 反正他选修的你来修一次，我给你
[16:39.200] 2500块钱就是鼓励你都在修车，收盘也不能说鼓励你修车，对，他就是说也算预防性的吗，带布眼政府这前提可以去
[16:50.810] 打车，就是说保费的什么，反正他就是这么多钱就自由支配是吧？
[17:08.440] 要
[17:12.870] 您说一下您的拿下您的身份证，谢谢您的信息。
[17:17.560] 坏数据。
[17:33.080] 数据
[17:35.000] 二
[17:35.870] 句。
[17:37.740] 场
[17:39.610] 场
[17:40.490] 场
[17:41.930] 场
[17:44.060] 场
[18:03.100] 数据
[18:08.650] 数据
[18:12.070] 场。
[18:16.770] 对
[18:30.810] 这系统是新上的系统，把以前的系统都给
[18:34.420] 他以前的系统有可能上传上会有问题，所以说现在必须对信息
[18:41.290] 另外一个修车的他司机修得不对，
[18:45.230] 我媳妇司机弄得小腹信息在里面，
[18:52.190] 他谁办，这个钱是返给谁的？
[18:57.460] 身份原来就是小腹还给他的，
[19:01.840] 就谁办，你要是办就还给你，别人把钱还给别人，
[19:06.410] 什么钱就这个带保险那行，
[19:09.680] 要交这个钱才行，谁交给谁？
[19:22.220] 为什么没有？
[19:36.390] 场
[20:02.000] 数据、
[20:07.160] 场
[20:11.560] 数据。
[20:13.080] 数据。
[20:32.620] 数据
[20:34.980] 数据。
[20:41.390] 这是您电话。
[20:42.610] 1362112
[20:45.000] 25629。
[20:46.140] 5621125620。
[20:48.690] 21125。
[20:51.310] 0. 
[20:52.660] 25269是吧？不是。
[20:54.200] 136。
[20:55.520] 二
[20:56.760] 1362112。
[20:58.700] 5625629。
[21:00.960] 5629。
[21:02.790] 56
[21:05.040] 29对。
[21:16.030] 小了。
[21:18.020] 为什么没有身份证号？
[21:48.400] 数据。
[21:55.830] 数据
[21:58.480] 系统不好用，
[22:00.800] 上车。
[22:06.130] 您拿一下您行驶证用。
[22:12.990] 数据、
[22:17.900] 句。
[22:19.150] 10
[22:27.510] 坏数据
[22:29.490] 了。
[22:31.600] 我看一下。
[22:37.630] A17是吧？
[23:17.200] 1975
[23:19.590] 1127
[23:21.810] 1739。
[23:27.490] 19751
[23:29.780] 127
[23:37.130] 进去。
[23:56.210] 好的，稍等一下，我马上过去找你讲。
[24:20.480] 行行了，这个系统行了，我再给你拍外观去，你把这东西都搜一下就行了。
[24:25.640] 你等我回来拍一下外观，你刚才没保存上。
[24:28.760] 往这边来好。
[24:31.210] 什么了？
[24:35.910] 号。
[26:53.090] 十几号？
[26:54.280] 18号。
[27:11.990] 都来做瑜伽。
[27:14.290] 你走。
[27:15.390] 按回车键。
[27:16.870] 再见，舒服。
[27:19.380] 干活。
[27:23.170] 轮着来
[29:33.250] 好了走吧。
[29:34.400] 这我还行。
[29:36.050] 也聊了是吧？
[29:38.030] 走回去那边。
[29:39.730] 对那行了。
[29:46.600] 现在不用。
[30:10.450] 咱们这边
[30:11.450] 开始
[30:27.590] 这边急着
[30:29.840] 进去就遇到5天，您到时候等我信修好，我今给你打电话。
[30:35.040] 尽量礼拜四，
[30:38.480] 我能把车起来要好好看一下，因为什么？我另外奥迪车礼拜五的夏夜不行这个问题，
[30:44.910] 礼拜五车限行好行，我让他给您尽快这次礼拜四。
[30:51.030] 行了，今天礼拜六差不多。
[30:54.150] 这个里面参与了470，
[31:36.570] 这车是那些外观的商，您做了一下格力着我电话有什么事给我打电话就行了，你手机号是微信号吗？
[31:42.530] 对，待会加您一下微信，你同意一下好吧？保险你考虑一下，然后考虑好了你给我发微信，
[31:49.220] 找你说我带您一块办去好吧？
[31:51.270] 行您直接走就行，手续办完了想着把这手续让他补一下茧子，你那个车的茧子的话，
[31:58.310] 你这车检字你回去拿交警APP1212123那地方也能结，从那地方截一个屏也行，有什么吗？
[32:07.260] 行，我用他的手机的车子他车行你弄完待会加微信，然后你发给我好吧？
[32:13.790] 还有7个叫什么？三者授权，对权责那边授权。
[32:18.730] 全是授权，就这个东西对这不是一检对检字三者授权那个钱
[32:25.110] 对查全责的授权差您这边的眼袋。
[32:27.760] 好的，就这两样是吧？
[32:30.040] 行，你慢点，没事。
[32:45.180] 数据、
[32:50.030] 的
