[00:01.770] 一三百一层是吧？
[05:44.360] 按揭和全款有差别，按揭和全款没有差别，但是按揭的话您就考虑您租牌的时间，因为按揭期间您的车牌是没法过，您的车是没法买卖过户，我就暗暗对，所以说合着你要是说过段时间再转，你只能全款。
[06:00.850] 然后还有上次我好像听到你们奔驰行有金融是一年半以后付50% 1:30以后那种。
[06:08.470] 种一的话现在还有
[06:11.050] 还有吗？它这是一个移情期间的补贴，我给您确认一下，因为他这个是不是常规方案常态化的不是常规方案，它是有一个常规方案叫先享后选，等于24期或者36期，中间每月还利息，但是费用要高得多。
[06:27.770] 还有一个就是您说的18期尾款。
[06:31.200] 我当时看的是。
[06:32.500] 18期尾款的方案它是要划算的多，
[06:36.640] 但是它不作为一个。
[06:40.070] 它不作为一个常态的。
[06:42.240] 对，现在还有您看咱们先不看价格，咱们就先按4658来算。
[06:48.610] 24期，
[06:49.990] 每月还483 500块钱，然后利率才和这2.49，然后两年现在18期的已经改了，然后
[06:59.040] 合着你带的这一部分，它这是首付50%，首付50一半一半对吧？贷的这23万多，第24期再还，你那时候看的时候估计还18期。
[07:10.210] 18没有18期的，现在改成24期了，对，然后每月还483块钱，然后尾款第24期再一次性还在每个月还的利息，对，每月就相当于还利息终止，最后一次个月的时候就是还本金再一次性还借的23万。
[07:26.750] 就OK了，这个方案应该比之前18期的划算一些，18期的时候我记得应该是300多块钱。
[07:32.560] 358好像当时是我一个朋友给我介绍，他买的是C2版，上海那边买的，我不是聊吗聊近期我想在这辆车吗C还有C18期的好像才。
[07:45.760] 200多块钱，198还是多少块钱？
[07:49.280] 100多块钱，他200块钱不到对吧？7以后他说还本金就行了。
[07:55.510] 他当时是全款了，然后对140 38 700多块钱，143块钱。
[08:01.520] 他的更低0.99。
[08:03.480] 对，但是这些方案都不是常态化的方案，就是只能以您当时购车时为准，然后你像GLC就已经取消了，交C也是上个月月底的时候就直接取消了，我们这个车只。
[08:16.070] 保是多少？
[08:16.880] 质保是三年不限公里都一样，三年不见购买续保什么，如果说我当时买车的时候直接算算是续保，比如我在算上是吧，保修的话，我们现在一是有的原厂的话是只能在售后直接买就可以了。另外一种是咱们百得利集团跟
[08:35.610] 太平洋合作的，他是达5折，应该差不多千多块钱再续两年，
[08:40.480] 然后它的优势是几乎是整车质保，原厂的话是大件保修三大舰队，
[08:48.160] 然后这个还是相对有优势的。
[08:52.130] 这个还是相对有优势的。
[08:54.270] 我们现在基本上我们在销售环节中。
[08:57.510] 都是优先推荐
[08:59.560] 太平洋的整车的，
[09:01.700] 然后我们交车险。
[09:03.170] 像你们说的版的太平洋是指定的4S店是吧？对就在咱们店，然后我买的
[09:09.970] 售后质保是全国联保，如果你是买到售后就是全国的，你只要是在奔驰的4S店里头都可以，对。
[09:18.120] 车的配置各方面都了解吗？给你讲解一下吗？
[09:21.520] 都看过是吗？不用交费，不用加倍，我们没有装车要求的价格，没有。
[09:27.480] 没有试驾过吗？
[09:29.000] 用给他安排个10架什么的，今天没带驾照了，还可以改天预约，其实上午10点下午2点都可以预约，咱们店里暂时是只有260实价，
[09:37.980] 300的是假取消了，然后上新的试驾车还没到店还没上牌，对，但是这是假我觉得不是很重要的，基本上差不多准备什么时候买是有一个大概的预期吗？
[09:48.980] 用车十一之前用车你们都是现成，我建议您可以考虑我说的第二个方案。
[09:55.630] 之前的用那指标不用商量，对，再多用一段时间，
[10:00.260] 对吧？再多用一段时间，要是你要实在还行，5月
[10:06.510] 旧车是国五的，
[10:09.780] 您是等于那车那个指标暂时还用了，但是这车还在北京用着，车在北京用的。
[10:15.650] 这样的话你现在提出去了，这车都过不过来了，对我明白这意思，对，那你就只能想办法再找个标，刚好有个斜置的，对他们是。
[10:26.860] 他说是9月底到期，你就用他你当时想着我是想用了俩月3月就完了。
[10:33.580] 6.3个月。
[10:35.180] 看他因为人家对你要说价格比较便宜，那也可以，对那也可以吗？我想同事的事吗？对，而且如果同事的话，你要是关系还行的话能说明白，其实做个分期也不错。
[10:48.490] 现在分期的话虽然不是联系不愿意，这东西说明白了就行，
[10:53.980] 你啥东西都不在他手上，你跑了人家还不一般，毕竟在人家都不愿意。
[11:00.280] 其实分期你没想明白，我多说两句，我知道分期对双方来说其实都有保障。
[11:08.020] 我买个车，
[11:10.440] 车上您的
[11:12.250] 是吧？
[11:13.480] 我有时风险没有，我有风险，为什么？因为车毕竟是在你名下，从法律上讲这是你的资产，
[11:20.370] 你有没有风险你也有风险，因为虽然是你的东西，但是我在用我剐蹭可能这种无所谓。
[11:27.250] 我要是比如稍微严重点车网破位了，或者说碰到个人什么的，你担不担风险你也担风险。
[11:32.960] 其实反过来讲，如果是分期的话，其实对双方都有约束，只不过好多人咱们下意识的会觉得什么，我借你个标完之后你还让我带
[11:42.190] 咱这车02，但他不愿意是吧？
[11:45.810] 之前我买那个茶叶反而的时候就发的信用卡，他走的信用贷的好像是不影响对信用类贷款，奔驰的话现在因为都是补贴高，都是走的奔驰金融，所以说就全是抵押类贷款，看一下算一下，我给您算一下这个可以金指标上面行，
[12:05.220] 你给我打个大块，
[12:07.140] 我打个报价单，然后给您列一下，您看一下。
[12:10.800] 对，您当地问过吗？当地我估计反正跟北京肯定是多少，有些差价，我说实话，你现在看到最多的就是APP，才能看的什么懂车帝。
[12:23.160] 你跟北京肯定是有些谁知。
[12:27.570] 是哪个国家中风？
[12:32.230] 清楚。
[12:46.570] 的
[12:48.220] 的
[12:54.350] 七
[13:00.670] 的
[13:02.090] 的
[13:05.140] 数据。
[13:17.670] 的
[13:20.250] 数据。
[13:23.200] 谁知
[13:27.320] 小了点。
[13:29.480] 刚才看一下A6，
[13:31.260] 感觉该款又改又不了，
[13:34.370] 除了三块。
[13:36.730] 第六
[13:39.420] A6优惠的多。
[13:41.860] 最后的多内饰感觉
[13:44.700] 还是差一点，不是一样，没有想象中的那么科技感没那么强，
[13:51.230] 它颜色太单调了。
[14:12.150] 裸车价是多少来着？
[14:14.080] 有多少？5,393,800。
[14:17.020] 72,000的现金优惠指导价是465,800。
[14:22.720] 没事，我都给您列出来，然后详细的给您讲
[14:26.280] 的。
[14:45.910] 分期的话就给您把这个叫什么？
[14:49.050] 24期。
[14:51.000] 24期这种。
[14:53.080] 补贴方案先给您列一下，您看一下。
[16:49.530] 报价之前还是服务公约，
[16:51.830] 您别嫌麻烦，大概让你们说一下，客户为经理相待，诚信经营合法着急，
[16:57.040] 明码标价，公开透明负债渠道进行公示，
[16:59.730] 绝不捆绑销售消费消费绝不能在这里汽车了，下面有人监督电话400881889创新飞机，
[17:05.470] 报价单使用的都是奔驰全国统一的标准报价单，
[17:08.750] 所有的价格在公示板上都有相应的公式，有的开具正式的发票，我简单的给您说一下，要能快速了解一下。
[17:14.990] 给您算的这一款是一三百的时尚，然后是大标的运动，
[17:20.790] 运动的，然后厂方指导价是465,800，优惠完之后是393,800，
[17:26.840] 然后现金是优惠了72,000，
[17:29.130] 然后购置税大概差不多是34,800，
[17:32.300] 验车是2500，保险大概在12,000左右，已经实际上的为准，
[17:36.540] 这样总共累加起来是443,000。
[17:39.100] 分期方案我给他列了两个方案，一个是限期方案，
[17:43.090] 首付50%贷5024%期，每月还408块5毛7，
[17:49.120] 然后以咱们的实际价格来算，然后首付合计是246,000 246,000开回家，每月还400块钱。
[17:56.370] 然后第24期您再还这个钱。
[17:59.460] 对您再还这个钱就OK。
[18:01.340] 然后还完了之后，总共咱们两年下来多还了多少钱？都还了9800块钱。
[18:06.790] 全款44万，分期45万，大概
[18:10.200] 大概是这么一个区别。
[18:11.780] 然后另外一个方案这个是一个常规方案，正常的话应该是789三个月，基本上没什么太大变化，
[18:18.990] 也是首付50%，首付196,000 9代196,900 12247，
[18:24.720] 每月还8500块钱，
[18:26.990] 这个里边就是本金加利息了，然后首付合计也是一样，因为他俩都是带着一样钱，首富也是24万，
[18:34.710] 它等于24期下来多还了7200块钱的利息，
[18:38.770] 从利息上来讲其实少掏一些，
[18:41.490] 但是从月还款上来讲，这个是有压力，没压力就是这个方案现在还是有优势的。
[18:46.950] 您保险是在电宝是吧？对。
[18:50.550] 太平洋、平安、人保这都有夜车是好还是啥意思？验车服务费。
[18:57.830] 正常交税，工人验证验车整个流程下来2500块钱，如果您不在店里咽的话，是额外有一个1万的上牌押金，
[19:06.360] 然后上完牌之后回传您的信息，然后这个钱全额给您退。
[19:11.460] 在北京的话您就踏实的在店里说白了2500块钱，总共实际花个800多块钱900块钱。
[19:18.150] 然后人员还得去给你跑单约，然后。
[19:21.470] 上诉还有千把块钱算出来都是你们弄是吧？对上牌的话。
[19:25.670] 您最后就开一趟车就行了，得开一趟车，最后验车的时候没法代价。
[19:30.930] 这块是。
[19:32.530] 您只开一趟车剩得交税，工商验证最后去谁知见李氏一直强调没有。
[19:41.120] 没有强制消费，也没有额外赠送。
[19:43.800] 装饰套餐的话我们店里也有，您愿意做，咱店里可以给您打个折扣，然后您不愿意做事外边合适，您外边坐下，这车这个车一
[19:52.890] 通天魔车E的话，我们只有他们本身就有着色玻璃，对左侧玻璃他在上面没有
[19:59.370] 着色玻璃，原装的就是没有摩擦玻璃，没有贴膜，然后真香板的跟时尚的
[20:05.590] 能补上差别是吗？是不是？他俩差的还挺多的，配置上有差别，它俩的话比如说像AMD、轮毂、
[20:12.980] mg车轮都比大标的，因为立标的话他俩配置还不一样，A MC轮毂、
[20:19.530] 电动尾门、吊轨这个没有是吧？对低配的没有电尾，然后感应后备箱门一脚踢，
[20:28.270] 感应度为相。
[20:31.980] 柏林之声。
[20:33.970] 音箱不是标配都是柏林之声吗？不是，
[20:36.610] 是到了舒享才是标配的玻璃支撑，
[20:40.280] 然后时尚是普通音响，原装音响玻璃支撑，后排
[20:46.110] 后排电动座椅调节在
[20:50.130] 谁知
[20:52.220] 后排电调第家，
[20:54.600] 还有一个后窗后侧窗，
[20:57.290] 后窗后侧窗，
[20:59.670] 电动将
[21:02.530] 你这个造林的配置还是300300 300的，对差这么多。
[21:08.530] 他是想差多少钱，差3万多块钱的发动机一样，
[21:11.910] 还是什么东西，还有抬头显示
[21:15.870] 点。
[21:18.450] 抬头显示的。
[21:22.210] 抬头显示。
[21:25.800] 轮毂
[21:28.720] 轮毂电尾感觉时尚时尚的
[21:32.930] 还差一个。
[21:36.850] 然后如果选配的话我会选吗？
[21:40.860] 这样的话基本上很难时尚的我家桩可以加吗？
[21:46.860] 您看我给您解释一下什么意思。
[21:50.280] 厂家的话正常在咱们看配置单的时候都是空格，这个东西，比如说加2000可以增加这个东西，那个东西加3000可以增加那种就是最佳的。
[22:00.250] 但是实际上这些车都是直接生产完了之后直接批量发回来。
[22:05.420] 如果你是个性化定制，
[22:07.410] 就意味着我们向厂家报1个，比如说你要时尚强加个轮毂，加个什么柏林支撑，这种资源起码是6个月7。
[22:15.390] 对，不是说不可以选，但是基本上其实很少，你看
[22:19.940] 我这生产日期最远，
[22:22.290] 这车还没生产R8月26 8月28号，
[22:25.960] 这车我已经能确定黑车棕内厂家会给我生产出台。
[22:30.180] 还没有
[22:31.780] 计划的。
[22:33.230] 所以说就意味着厂家事实上基本上往后正常三个月的排产计划全都拍完了。
[22:39.560] 如果你要的配置厂家在排产计划里没有，那就怎么着都是三，然后书香的跟时尚的
[22:47.570] 就是观指导价差多少，指导价4998，
[22:51.920] 差3万块钱。
[22:53.680] 3万33,000。
[22:55.590] 然后再加上购置税保险什么里外里得差出来35,000，
[23:00.040] 然后优惠优惠优惠差3000，优惠现在的政策是差3000 3000是吧？这样的话里外里差小4万块钱，如果说我后面自己加的话，
[23:09.480] 影响质保不？
[23:11.180] 自己家你要改动电桩的话肯定有影响，知道比如我家店伟家电网肯定影响质保，我改改肯定有影响对吧？
[23:21.070] 这个东西不太建议，如果说你这几样东西都需要，你还不如就直接上豪华，
[23:26.750] 你是后期自己在外边改的，话说白了这个东西很多人都会觉得
[23:32.280] 对你真是有点什么问题的话，你到时候肯定是厂家肯定是往你改电路上去推，
[23:39.270] 这是必然的。
[23:40.790] 尽量是原装不要断。
[23:44.550] 然后你们这边之后我再加个天坐车E
[23:47.960] 车一的话我们是只有一种，33,000是美式的，
[23:51.170] 只做这种低端的，不做你像什么1万多2万的这种都没有是吧？对。
[23:57.170] 因为刚才能给打折，
[23:58.920] 当然就最低了，33,000是最低的，而且那3万多少36,800的特意了。
[24:04.900] 维护美是所有的北京的报价都是一样的吗？我不确定咱能保证的就是咱们家这个价格是正常可以卖的，
[24:12.930] 各个店里肯定会根据自己库存情况有调整，
[24:16.580] 你包括我们家，比如你要立标准要达标的优惠都不一样，他也是根据店里的库存情况来着会，所以说各家优惠情况的话肯定是略微有些差别，但是差别不大。
[24:27.870] 到不了，对，因为北京25千块钱。
[24:30.910] 了，
[24:31.460] 像一的话多了。
[24:32.750] 差不多。
[24:33.800] 也就2000 3000小鱼，就这点差别，对。
[24:37.320] 因为北京的话说实话店
[24:40.260] 北京24家店，这个车型其实价格很透明，
[24:43.640] 说白了差2000块钱，你有可能就直接走了，对吧？打个车出门挣1900，
[24:49.160] 喝，
[24:49.780] 所以说北京的话价格有差别，
[24:51.900] 但是不差的不大。
[24:54.110] 你们这家店
[24:55.580] 是算比较大的店，北京市单店销量体量最大的一家了，这样你像我们家你看库存情况就知道
[25:04.080] 了，我就光这一个车型，
[25:05.940] 这一个颜色起码现车基本上你能看到车架号了，
[25:09.900] 对吧？这都是现车，
[25:11.770] 你别人家基本上都是两台三台，
[25:14.400] 我们家各种基本上都
[25:17.860] 对。
[25:19.950] 所以说这还是明显，然后我走奔驰金融的话，基本上就是突然手术就OK了，对吧？
[25:24.720] 对。
[25:25.470] 当时您聊
[25:26.470] 当天基本上能批准，在当时基本上能P现在基本上都是电子审批吗？
[25:32.530] 然后我用公司买的话是一样的吗？
[25:34.780] 一样的。
[25:35.910] 平时买是一样，公司还是一样的，无非就是你公司可能提供分期的东西，马上买我就现今的什么
[25:42.840] 全款对我一样的没区别的。
[25:47.070] 上图他的是增值税发票3%的。
[25:53.530] 正常你要公布买的话正常抵扣肯定没问题。
[25:59.040] 还有123有抵扣联的东西，
[26:01.880] 看一下这个公司买，在网上说的是公司买这4点以后，
[26:05.670] 可以把它做固定资产走掉，然后再可以转到个人账户，您认为银行涉及到税务的国家费用这一块，报价这方面都跟你讲，报价基本对不适合这次是一样的一样。
[26:18.730] 对下边一个优费，反正公约做一个有钱，没有再太大的再优惠了，优惠，现在就是这种情况，然后您说您9月份10月份再买，然后以当时情况为准，这都跨季度了。
[26:30.950] 有可能。
[26:32.010] 上下偏差不大问题，
[26:34.130] 价格还算是挺稳定。
[26:36.950] 行，对应的价格其实还是挺你这手机号可以交易吗？对。
[26:43.430] 行，我等会加一下你微信，可以回头我有
[26:48.240] 到了时间我有需求了，然后怎么考虑到10月份再买，不考虑近期定下来吗？
[26:53.160] 在哪方面疑虑顾虑近期这个了？
[26:56.700] 近期定下来，明天的计划就等于到10月份，一个是车牌没下来，我没指标，我如果把过户了太麻烦，倒一把我那个车签出去了，你再迁进来就迁不进来了，对吧？迁不进来，那我要是真是非得用标倒的话，你就只能在北京，对在北京通道城市就是
[27:16.290] 他北京本地的吗？他两个排他有一个牌到期了快到期了，我想让他送给我，
[27:23.250] 我如果不发的话，我肯定就是现金的那种形式对吧？直接现款对吧？我要不然就是走信用贷的，直接是走招商或者中信那种信用卡购车的信用卡包装对吧？跟他们都不影响车贷分离，对。
[27:38.960] 别的方面它还有什么疑问能帮您解答的，没有什么，然后这个报价单您可以带着，然后作为一个预算，下边的话我也写了我的电话，有什么需要的话您可以随时联系，好，所以我这手机我回头加您微信可以别的方面暂时没什么别的问题，到时候你们如果说真的有什么这个诱惑特别。
[27:55.540] 那边会通知你知道吗？比如说你们店里做活动了。
[27:59.230] 这个价格还能有8000左右的这种大活动是吧？那肯定会通知到你吧。
[28:04.630] 好吧行，现在您肯定还是只能卖台车。
[28:08.930] 正常明后天的话利息也会有回访，到时候你简单接听已经了最佳联系时间，一般什么时间不打扰您平时？
[28:16.360] 可以平时都可以在家来画两个都可以。
[28:20.020] 然后开车来的吗？打车过来了。
[28:23.360] 我们这有冲调的电话。
[28:25.880] 行了，别的有什么需要的话您随时联系。
[28:29.070] 有点晚了。
[28:34.360] 确实也很多了，今天时间稍微少点，昨天你要这个时候估计可能接待几乎都是在等待状态。
[28:42.020] 今天感觉人还行不？
[28:43.670] 这个东西对，这就是咱们刚才说的公示板，
[28:47.540] 然后所有的价格他都有一个额外的公示价格，而这个公式价格就是针对
[28:53.640] 咱们单独的，比如说上外地牌公示价格的话，跟厂方指导价也会有区别，你比如像这种车型，
[29:00.810] 对吧？
[29:01.650] 公示价格他也不是说完全没有优惠，也是有一定优惠，对，但是E的话是一样的，
[29:07.360] 一的话跟
[29:08.680] 跟他的厂房指导价是一样的。
[29:11.880] 你这考上真的假？
[29:13.200] 假好像在家特点，对，有的是
[29:16.600] 有好多车都是公事指导价要贵出来多，你像这种
[29:20.340] 对吧？1,038,000，
[29:22.390] 控制指导价118。
[29:24.800] 好。
[29:28.600] 有什么需要您随时联系好的。
[29:37.440] 行，感谢王磊。
[29:38.610] 再见。
[29:40.860] 你好。
[29:41.620] 挺好的。
[29:42.930] 完了。
[29:47.000] 新年开始的时候，
[29:48.720] 你那8000公里收的
[29:53.230] 但你现在开到6万，它只能支持。
[29:55.680] 闹了35块钱，我现在全都是排着队买，
[30:03.240] 又接待快结束了，我这么第一波。
[30:07.270] 外地
[30:12.190] 来。
[30:14.780] 开拿过来。
[30:20.770] 二
[30:26.050] 店。
[30:28.010] 136
[30:42.790] 开朗
[30:43.980] 好。
