[00:00.000] 坏数据。
[08:56.040] 场。
[08:58.610] 的
[09:01.480] 数据
[09:04.970] 场、
[09:08.530] 场
[09:09.330] 场
[09:45.450] 数据。
[09:59.050] 达到了免费。
[10:06.800] 就相当于去年
[10:14.440] 数据。
[10:52.150] 数据
[10:54.800] 数据
[10:55.740] 场、
[11:03.940] 的考虑。
[11:08.740] 句
[11:14.800] 的。
[11:22.070] 场
[11:29.510] 的
[12:01.750] 的
[12:03.350] 句。
[12:15.320] 一
[12:17.330] 场
[12:27.230] 场、
[12:33.260] 数据
[12:38.020] 场
[12:41.090] 数据
[12:42.120] 场。
[12:49.360] 数据。
[12:53.240] 您先回我查查的时候给你打电话，
[12:57.520] 我让财务给您查一下。
[13:00.360] 查不出来他那个消息记录，因为是换到消费记录能查出来的，因为他是换了新系统更新了，
[13:09.460] 我去掉那个表格，调完之后看看还有多少钱，
[13:13.320] 对象该公告客户以前的卡掉，说那个钱没有了，你有那个表吗？
[13:19.560] 有代表了是吗？稍等一下对。
[13:24.950] 拿那上通过找还不通畅。
[13:28.150] 一般你查ct就有，sp里没有不是那么长，不过原来那么长得用卡卷1.0那里我知道。
[13:36.990] 不就是内心的那个吗？
[13:39.020] 没有查不到了，这可不行是吧？
[13:41.360] 对，我给你打一张。
[13:44.080] 来给的。
[13:46.790] 带来了
[13:49.450] NASA，对，so底盘号两边对，只能用里边放上。
[13:55.280] 远。
[14:01.780] 场
[14:02.660] 场
[14:06.050] 数据
[14:07.040] 的
[14:11.240] 场
[14:15.320] 五
[14:17.770] 五
[14:30.660] 那时候
[14:37.050] 场
[14:39.420] 上次
[14:49.690] 里面有
[14:53.720] 数据
[14:59.750] 数据、
[15:03.420] 数据
[15:05.390] 了。
[15:13.220] 您那行车本我再用。
[15:23.360] 用完了。
[15:25.780] 对，两两两个系统都给您查了，三个系统。
[15:29.960] 用完。
[15:31.520] 谁知
[15:33.220] 因为我看您这里边都用过了三次了。
[15:36.010] 了。
[15:37.300] 对，因为您免费的话，我看了也做了，也有别的项目花了钱的了。
[15:46.070] 确实没有。
[15:53.710] 远。
[16:01.880] 一次就得将近3000多块钱，我打
[16:11.260] 的
[16:21.200] 五
[16:29.320] 的
[16:35.120] 五
[16:38.560] 场
[16:39.840] 的。
[16:45.090] 行。
[16:53.440] 场
[16:55.610] 场
[17:01.080] 场
[17:02.630] 五
[17:13.320] 五
[17:15.450] 五
[17:20.730] 花了3000 3000多块钱。
[17:26.750] 应该没问题了。
[17:31.430] 谁知
[17:33.880] 之前的意思用过两次，
[17:36.950] 远。
[17:40.830] 正好意思。
[17:56.600] 数据。
[18:02.450] 的
[18:06.000] 算。
[18:06.900] 有可能明天或后天，
[18:10.980] 因为这边车比较多，
[18:13.630] 您就先回，然后我给你打电话。
[18:19.770] 数据。
[18:24.240] 数据
[18:27.150] 数据。
[18:32.080] 三
[18:38.700] 的
[18:43.240] 放下来的旧件需不需要给你画后备箱？
[18:53.280] 句
[18:58.280] 的
[19:06.110] 的
[19:09.830] 数据
[19:10.770] 的
[19:21.430] 电话。
[19:25.170] 数据
[19:28.460] 数据
[19:30.830] 数据
[19:38.190] 远
[19:40.290] 场。
[19:44.770] 的
[19:47.030] 数据
[19:48.440] 的
[19:53.770] 五
[19:59.240] 的。
[20:02.770] 场。
[20:19.760] 的
[20:21.930] 五
[20:30.230] 行那就先回，然后项目就已经这么做了。
[20:35.770] 回来慢点
[20:38.880] 了。
[20:44.430] 数据
[20:46.560] 数据、
[20:47.990] 数据
[20:50.880] 场
[20:53.680] 差不多
[20:57.840] 一
[21:02.170] 数据。
[21:09.470] 数据
[21:12.390] 句
[21:19.950] 数据
[21:23.160] 点。
[21:26.840] 咱俩谈谈心。
[21:31.470] 行。
