[00:03.460] 今天还凉快点苍苍的冒汗。
[04:38.780] 对。
[04:43.820] 他不是跟咱导航是的。
[04:46.410] 您发动机机舱给停下，只要你弃掉脏了。
[04:51.410] 还有一个这车他赠送的是一个基础保养，它不包含这些，还有一个刹车油也该换了两年换一次，只建议更换。
[05:09.040] 您这车平时停车是在地上还是地下？地上上市。
[05:14.040] 完之后再给您写说这人
[05:16.630] 越多，
[05:20.160] 这边有个
[05:24.790] 这边应该参观一下，
[05:27.350] 跟一个快递车
[05:46.790] 这车有航线吗您这事儿？
[05:49.100] 有划痕险吗？
[05:52.450] 好像有全险。
[05:54.340] 是吧？对航意险倒不一定说全险就有呈现是有基础，
[06:00.320] 到时您可以查一下，如果有发现像可以这几块就可以走进华为选择。
[06:04.660] 我不走了也得修复一下，不用这呆着调好了又刮了。
[06:09.440] 谢谢。
[06:15.680] 行，您到前台。
[06:19.050] 刹车油必须这两年换一次吗？建议的话我们没有强制说必须更换。
[06:26.160] 这样
[06:27.350] 还有发动机机舱，
[06:29.660] 线路一个线路养护，还有倾销水箱容器，
[06:33.240] 那个是影响发动机散热的，
[06:35.770] 也是建议说那是580块钱，
[06:38.810] 有一个发动机舱线路养护，
[06:42.620] 清一下水箱的空气，
[06:45.670] 坏数据。
[06:53.260] 五
[06:58.110] 场、
[07:04.430] 花。
[07:09.110] 数据。
[07:17.280] 不管坏不。
[07:21.920] 机油机滤和空滤。
[07:25.670] 只有
[07:27.200] 的。
[07:32.080] 我怕的东西不少可以不换的。
[07:36.520] 他是刹车油里边的水分。
[07:40.190] 水分多了，它就影响他倒没什么说
[07:43.560] 造成其他的严重的影响，但是它里边都是一些精密部件，
[07:49.430] 只是建议动画，你要说我等到明年再换行不行也行，但是我们厂家要求是两年更换一次。
[07:58.090] 三
[08:06.820] 的
[08:31.470] 快。
[08:32.700] 一个是后边之后我主要是紧张的，三是免费的数据。
[08:39.920] 这个东西问题自己考虑，大家大不了的，没有三
[08:44.470] 相比较，后面谁知
[08:50.010] 完了看一下。
[08:51.560] 如果后面谁知。
[08:54.480] 我刚才跟您说的就是这两项有个刹车油，
[08:59.230] 刹车油是这一下，这是9 409还是建议更换的？
[09:05.270] 叫滤芯，您用的啥？黑豆。
[09:07.680] 用空调用的也没有了。
[09:11.150] 调用这有没有？
[09:12.760] 没有，一会就先不用报了，发动机刚才还跟您说了一个
[09:18.390] 就发动机机舱的相应做清洗阜阳元气的。
[09:21.680] 这像是监狱做的，这两项给您做吗？
[09:24.580] 做。
[09:25.840] 我买车的时候，人家告诉我说保养期间不要
[09:31.720] 没事，你要说不做我就不给您做了，您就知道这事就行了，没关系，你就说那我就先不给您做了。
[09:39.120] 我不知道他保险谁跟您说的，
[09:42.100] 保险期间怎么着？
[09:43.680] 他跟您说什么？
[09:46.130] 没事，您可以再咨询他一下发动机的。
[09:53.530] 水箱冷凝器脏了，它影响散热。
[09:56.720] 单独做也行，您有时间过来做就都可以。
[10:01.320] 对，价钱都一样，对。
[10:04.790] 他指示表有什么没有提示？
[10:10.210] 对这个没有提示的时候您的水位已经高了，对有急事的时候您车出问题了已经。
[10:17.820] 保养不就是提前预防问题，行那就连刹车油一块给您做了。
[10:25.690] 对，这两个目标两个都做了吗？行，那就刹车油跟那个一块给您做。
[10:33.410] 刹车。
[10:39.400] 的。
[10:47.170] 谁知。
[10:51.080] 妈妈不是真的。
[10:53.710] 谁知
[10:55.140] 福克斯他定期他肯定也需要做一些清洗，但是没有。
[11:01.480] 的。
[11:14.500] 没有必须做，现在店对联您发动机
[11:19.730] 机油机滤都不是强制的，您愿意做这事，您的车您愿意做您就做，您不做。
[11:26.060] 您就开开着。
[11:28.560] 对，但是我们没有说必须做。
[11:31.630] 甚至。
[11:33.990] 因为
[11:34.860] 就跟您因为现在你
[11:37.640] 那就是管控我们的态度，我们不是说必须
[11:42.780] 我是为了这车好，你也知道是哪一方面
[11:46.640] 需要做，您哪一项您不明白，您可以问我吗？
[11:50.780] 但是您说我只做这个，我就只跟你。
[12:18.690] 三
[12:25.000] 的
[12:30.370] 三
[12:44.240] 三
[12:55.040] 了
[13:01.050] 确认一下钱包。
[13:08.200] 这次
[13:15.480] 的
[13:21.350] 往下
[13:24.080] 远场
[13:35.710] 数据、
[13:39.620] 数据、
[13:42.610] 数据
[13:46.960] 的
[13:50.200] 微信
[14:09.400] 坏。
[14:13.690] 数据
[14:15.800] 的。
[14:17.720] 到
[14:23.680] 市场
[14:25.800] 的
[14:29.590] 数据
[14:31.250] 数据、
[14:40.770] 的
[14:50.910] 的
[14:56.660] 号
[15:03.790] 数据
[15:10.290] 场
[15:13.080] 说
[15:17.040] 把
[15:22.630] 了。
[15:32.800] 的
[15:37.530] 花。
[15:42.510] 花
[15:52.000] 坏数据。
[15:58.440] 的。
[16:07.960] 场
[16:09.020] 场
[16:14.400] 的
[16:17.660] 数据
[16:22.170] 数据
[16:32.770] 句
[16:36.070] 的
[16:41.530] 数据。
[16:48.010] 人。
[16:52.020] 的。
[16:54.160] 对，我看着她花钱了。
[16:56.700] 谁知事儿。
[17:04.050] 第二。
[17:05.320] 小管。
[17:07.570] 那不是到圈点的需求，对差不多看一看。
[17:17.560] 车车牌号？
[17:20.630] 对。
[17:28.700] 了。
[17:30.800] 还叫京了是吧？
[17:44.900] 的
[17:48.500] 对二楼。
[17:50.470] 有客户休息室您休息一会儿，
[17:52.770] 一会儿到中午您就先吃点饭，你做完之后我给你打电话。
[17:59.380] 对，可以了。您休息会吧。
[18:06.770] 我妈你这个书我我都不会用的。
[18:14.360] 对交钱。
[18:17.650] 待水疱了。
[18:21.100] 可以。
[18:23.800] 三
[18:28.920] 的。
[18:33.250] 今儿来了是吗？没有，这在一直到门店。
[18:38.560] 谁知
[18:39.990] 卖车的新测定成本，
[18:42.970] 你要识别是
[18:45.020] 标签要销售版。
[19:01.150] 不上号不对等等这就是系统
[19:05.960] 穿
[19:11.420] 三
[19:16.120] 场
[19:18.400] 数据
[19:33.200] 指标谁知。
[19:37.990] 对您到指标，然后现在号改成手机号的密码告诉咱就行了。
[19:46.870] 你可以它系统里才能把以前注册给他修改了，因为系统后台能看出他注册的哪个车咱看不到。
[20:00.120] 不可能不会显示数据。
[20:04.630] 数据
[20:07.530] 场
[20:20.850] 快、
[20:23.620] 数据
[21:36.190] 句
[21:37.980] 的。
[22:03.510] 了
[22:15.290] 买
[22:20.970] 好
[22:32.040] 花、
[22:33.020] 场、
[22:36.910] 场
[22:38.970] 的。
[22:42.500] 数据
[22:44.270] 场、
[22:46.140] 场
[22:52.570] 号
[22:57.720] 了。
[23:03.330] 数据
[23:04.410] 数据
[23:09.330] 一
[23:34.690] 场
[23:38.890] 的
[23:45.870] 的
[23:52.170] 数据
[23:55.410] 远远
[24:07.150] 一
[24:18.370] 花
[24:33.090] 七
[24:42.010] 还有
[24:45.670] 场
[24:47.370] 五
[24:55.390] 数据
[25:28.480] 场。
[25:35.480] 五
[25:51.640] 的
[25:56.310] 三
[26:06.700] 月。
[26:11.350] 的
[26:13.760] 坏
[26:14.900] 的
[26:18.950] 数据
[26:21.150] 场、
[26:30.240] 场
[26:31.990] 场
[26:33.990] 数据
[26:38.500] 号
[26:41.410] 句。
[26:45.010] 数据
[26:47.090] 句。
[26:47.880] 卖了小弟。
[26:52.680] 你还没买地。
[26:57.010] 你还没卖掉卖了。
[26:59.800] 一个在什么上写一个两两遍。
[27:02.870] 厦门给我切了一大步，车险今早上给我打电话，到门口他给切走了。
[27:08.100] 可能他之前办过，
[27:09.940] 我这正接车大姐打电话过去办了，
[27:16.090] 我从来不
[27:18.240] 回家了。
[27:23.940] 压力
[27:28.990] 场
[27:30.880] 场
[27:31.660] 数据
[27:32.940] 场。
[27:34.750] 过去稍等马上。
[27:43.320] 不用回。
[27:48.770] 车多。
[28:18.540] 为。
[28:20.530] 您稍
[28:27.280] 对没错。
[28:29.580] 可以，您就把车放这就行。
[28:35.870] 对，您过来找我就可以。
[28:38.000] 行。
[28:40.910] 姓孙。
[28:43.510] 对了，爱好了。
[28:45.380] 好了。
[28:51.050] 为
[28:53.130] 您说。
[28:55.300] 对。
[29:00.870] 明天上午送过来，明天上午取不了。
[29:07.090] 那就别去了。
[29:09.410] 这两天
[29:12.110] 车太多，今儿140个预约，您过来您排教给您给我送过来，
[29:18.560] 明天早晨有人干上就不错了，你要明天中明天早上给我送过来，估计明天中午干啥。
[29:25.440] 就这样，他现在全都押着车，
[29:32.060] 行，您没什么事你给我送过来好勒。
[29:38.780] 现在是有气囊的，召回车太多。
[29:43.300] 我看您前面刹车片都得换了是吧？我等会再看一下后边
[29:50.780] 啥时候烦刹车片都花。
[29:53.230] 我看他那是不是要带光盘的，后边没事。
[29:56.430] 对，现在前面。
[30:01.040] 你查一下他去年，但是看他磨损的程度后边是侵犯的，
[30:06.320] 后边沙皮还这么厚的，
[30:08.320] 不说话了，4
[30:10.080] 你查一下，
[30:13.390] 他就是磨损程度不一样。
[30:15.940] 我看你轮胎老化也挺厉害的了。
[30:18.880] 还有吗？
[30:20.870] 比如说就是说
[30:24.910] 我一直想换一下科幻，
[30:27.880] 你递给人家看看，还算分持的话，您想换什么车型？
[30:33.880] 还是SUV？
[30:35.920] 小的SUV gl C或者是L
[30:39.060] 交CGLB
[30:40.760] bl B一会您可以试驾一下。
[30:46.830] 你看跟前面那个号门口。
[30:49.320] 对那是B格7座是gl B加B后排空间稍微小一点。
[30:54.860] 对就后牌，但是他只有加B有7分的加C就没有
[31:00.420] 了。
[31:02.310] 那车也还可以，一会给您可以约一个市价，您感觉一下。
[31:06.990] 怎么一直在这等吗？
[31:12.050] 045207。
[31:16.070] 别的用着没什么事儿了，80万。
[31:18.300] 我觉得没事。
[31:20.840] 三四十万。
[31:22.910] 也就是北京现在已经都是国产化了，北京的
[31:28.570] 现在都是对
[31:34.230] 三33 40万。
[31:38.390] gl，bl B plc，
[31:49.970] 是您这对我最不了解，你得了解的话，
[31:53.230] 我就想了解一下这车的性能什么的，性价比哪个更好一点。
[32:01.130] 这车也刷公里数也差不多，年头也差不多。
[32:05.090] 对。
[32:06.800] 天天对要置换能话多少钱。
[32:10.840] 这是要置换。
[32:12.850] 一会让他给您评估一下，这车还
[32:16.830] 应该现在也还可以。
[32:19.600] 说这个车就是公里数稍微多一点，对。
[32:23.790] 给您宝宝100公里。
[32:25.540] 是吧？
[32:27.620] 后边上车没问题。
[32:37.710] 上次话还是节后。
[32:40.230] 对。
[32:41.500] 前面的天还有这么厚，就是该换了。
[32:51.560] 行，您在平台。
[32:53.280] 对。
[32:54.890] 主要是我那个车要现在咱们直接能置换可以是吗？
[33:02.390] 我让她老师就得把这个车流问题还可以说话，还是是不是？
[33:07.530] 最关键的，对，他就给您评估的时候有可能
[33:11.960] 小问题就小把小烫这都属于正常。
[33:15.140] 要真是说有什么大的维修上的问题，可能他给您评估的时候给您
[33:20.120] 加强，对将鼎沸了。
[33:23.070] 车间那边交了，还有一个检验完洗车就给我交过来了。好了。
[33:29.910] 您到这边。
[33:38.280] 11:30。
[33:46.820] 还
[33:51.050] 花。
[33:57.460] 二
[34:13.990] 今天您上班吗？
[34:15.870] 我这一个是评估客户就想换车了。
[34:20.170] 您过来给看一下，
[34:22.580] 或者安排一个是
[34:27.040] 数据。
[34:30.730] 五
[34:55.590] 你好。
[34:56.500] 开心吗？
[34:58.340] 什么？这个是我正接着刹车片报警了，
[35:06.350] 客户想换车，
[35:08.840] 的确是
[35:15.320] 一
[35:17.580] 三
[35:20.120] 是2.0。
[35:25.440] 参加的。
[35:32.750] 的
[35:35.290] 刹车盘片。
[35:42.690] 的
[35:49.200] 后边第三排。
[35:52.520] 517. 
[35:54.400] 评估一下。
[35:57.090] 是这样的，您现在就是说
[36:00.780] 是说
[36:03.000] 今天是简单想咨询下，
[36:05.500] 还是说
[36:06.530] 这说说直白了，
[36:08.470] 不想修这车，想给他卖了买新车，还是说就是说进去的欲望都有？
[36:14.700] 多强烈的，您知道一定。
[36:17.400] 换车肯定要。
[36:19.750] 你要下面。
[36:24.240] 对，我就是意思说我先帮您介绍一下辛苦，我先不着急咱说。
[36:30.820] 昨天。
[36:32.350] 我要买新课本，就是推荐您刚才说的他开始了，对，再试一试说试驾一下。
[36:40.480] 对。
[36:41.720] 您前轮现在也还行，有一套餐您没事您坐。
[36:48.720] 放过一次，后边上次翻到后边在后边。
[36:52.120] 这次就换前面的。
[36:55.470] 原价4000这也合适，打完折2702，就是前楼的12万12片一块画了这一套。
[37:02.090] 行，别的就您。
[37:03.990] 我说要打算再开一段时间，反正您就有点要跑长途，你就把轮胎给她换了，所以轮胎老化的稍微厉害一点。
[37:13.090] 要说暂时就在市区里边开，那个是对您就先正常用着，我估计这段时间还是想换一换。
[37:21.470] 有可能就换了是吧？行。
[37:24.680] 我就先正常给您弄，
[37:27.000] 最后的发票给您打开。
[37:29.120] 您一会再告诉我就行，还有您就在这等中午您在这吃晚饭吗？不在。这说了是吗？
[37:36.910] 行，我就先给您打单子。
[37:38.910] 上
[37:40.450] 三
[37:44.390] 号。
[38:15.000] 您这车弄完我估计得待现在是快11点了。
[38:19.350] 12:00 1:00，
[38:21.200] 在1:30 2:00左右两边对弄，咱也不出门也不用车型。
[38:29.010] 来
[38:34.690] 前面保养。
[38:38.030] 车也多。
[39:00.320] 了。
[39:05.000] 要在市区里面开就选择JOB和角C。
[39:08.580] 就可以了。
[39:11.240] 小C应该40 40多一点，
[39:14.740] 选B
[39:16.260] 多？
[39:18.470] 国产个小时差不多。
[39:25.950] 的
[39:28.320] 句。
[39:33.240] 的
[39:45.360] 的
[39:46.840] 刹车。
[39:52.820] 的
[39:53.900] 行。
[39:55.240] 等会您也是像您也试试一下，对，你也过去看看，那就做完了再跟你联系。
[40:00.500] 化妆是吧？有什么事我再给您咨询。
[40:03.390] 行行好了。
[40:19.710] 看
[40:23.200] 开。
[40:36.500] 应该。
[40:37.330] 话
[40:40.010] 话
[40:41.680] 的
[40:42.660] 假。
[40:50.910] 好了。
[40:54.180] 的。
