[00:00.570] 好丁，我开卡这边有一块迈巴赫电话。
[02:56.770] 您二位需不需要先喝点什么茶水、咖啡、可乐、雪碧不要这次过来，正好走到这，我们有一个领导说看车，
[03:05.130] 他看到是那种车是吧？
[03:07.360] 正好我去看看那个号，要不然不简单给你介绍一下迈巴赫的，咱们不跟你合作一下品牌定位跟自己的一个理念。
[03:15.260] 简单的说就是梅赛德斯奔驰这个品牌是梅赛德斯奔驰的子骨，
[03:19.940] 梅赛德斯迈巴赫这个品牌是梅赛德斯奔驰的子品牌之一，它代表了极致的尊享。
[03:25.910] 梅赛德斯奔驰的另一个子品牌叫AM记，它代表的是极致驾驭。
[03:30.340] 那么梅赛德斯迈巴赫S级轿车是以礼待天下作为核心理念，专门为咱们顶级的用户打造，
[03:36.750] 而迈巴赫这个品牌是源自于前戴姆勒汽车公司的主设计师叫威廉迈巴赫，
[03:44.250] 19~20世纪最伟大的汽车工程师之一。
[03:48.040] 而迈巴赫先生所倡导的精神是指生产最完美的汽车，也就是说您现在看到这款
[03:53.920] 车他叫梅泰德斯迈巴赫，
[03:56.000] 他是20迈巴赫品牌在2013年由于经济危机的影响就退出市场了，因为卖得不好，2014年正式被奔驰给收购了，所以咱奔驰的旗舰车型它比S级要更高一个级别，您现在看到不再是迈巴赫了，
[04:10.710] 它叫梅赛德斯迈巴赫，就说是这个品牌在奔驰旗下是这么个定位。
[04:15.360] 汽车如果用的话是您自己用吗？你自己开，那您
[04:20.720] 您自己开的情况下主要是
[04:23.320] 私用为主还是公私兼顾？我自己刚才的时候司机他们我自己明白自己开，平时你开车多还是坐车多座城市不多，
[04:34.840] 我几乎是做这个事情，对。
[04:37.430] 坐车的时候坐那车更适合。
[04:39.520] 主要预算有要求，我们大概想在什么价位？
[04:43.360] 就想要便宜一点，越便宜越好，对。
[04:47.250] 的。
[04:47.650] 反正要买这种车是不是？没事。
[04:50.510] 您对于汽车的时间上有没有要求？因为迈巴赫咱们首先它的每个月的量是有限的，就是我们卖完了可能就断货，
[04:58.070] 就得断一段时间才会有，我不知道您对于汽车，比如说近期就想要，还是说先了解一下这个情况，先了解一下，不是这么明白。
[05:06.310] 然后上北京牌是吧？没问题，咱们时间方便的话，咱们简单给介绍一下这个车型，好，您说的车子
[05:13.430] 用户多少简单给您说一下。
[05:19.050] 您这边基本上坐右边多了。
[05:21.270] 首先你介绍一下梅赛德斯迈巴赫S级车的后排两侧的标准配备了哪些工作？
[05:27.680] 首先靠背的角度可以在19度到43.5度范围区间进行调解，
[05:33.100] 满足了我们后排乘客对数据的一个需要，尤其在长途的满足的过程当中，
[05:37.840] 可以充分的包括我们身体，如果您在副驾驶不坐人的情况下，我们可以尽量的把
[05:44.060] 副将这个位置可以尽量的往前移，
[05:47.000] 这样的话可以腾出更大的后排空间，
[05:49.650] 我们可以把腿托打开，你长时间乘坐的话可以缓解你腿部的疲劳，总的总是空着的腿对吧？
[05:56.210] 那么像类似于像飞机上的头等舱座椅的效果一样。
[05:59.440] 那么第二一点迈巴赫S级轿车的程序达到了3:365的一个程度，
[06:04.500] 超过了同级别价位内的所有的竞争对手，比如说像宾利的维持，它主句是3米066，
[06:10.880] 劳斯莱斯的古思特你别看那么贵，他也只有3米295，咱们这车
[06:16.710] 不到200万才算都已经达到3米365了，所以说它的后排的空间表现也是最好的，您坐在这个车里面，尤其在后排，
[06:24.660] 就像您住在比较大的别墅里面一样，肯定是效果会更痛快是吧？宽敞。
[06:30.730] 那么还是用过去，如果其次林梢摄像肯定要出来，还要长iPad就1020公分。
[06:38.840] 那么第三一点的话，迈巴赫S级车的后排，
[06:42.780] C柱上有一个特殊设计的三角圈，
[06:45.200] 设计细节传统迈巴赫的62系列，普通的sc轿车上面是没有的，
[06:50.080] 由于它特定的位置是我们后排乘客的面部，
[06:53.080] 正好位于三角窗内侧，就是出卖的人很难看清楚车内，
[06:57.820] 这样的话有效保证了后排成的那种专属区都会行，然后私密性。
[07:02.740] 那么第四一点的话，因为顶级的车我们应该要配备顶级音响品牌，
[07:07.840] 那么咱们这款车的全车配备了德国的顶级的国宝局的音响品牌叫柏林之，
[07:13.360] 全车一共有13个扬声器，它的总的输出功率可以达到590瓦。
[07:17.600] 他玻璃之城最大的特点是什么？对还原音乐本身的一个音色和音质，使您达到一个非常好的应用效果。
[07:24.070] 您坐在车里边您非常喜欢的这种音乐，而且它的效果非常的
[07:29.340] 贴切，就是像还原度非常好，给您带来一种身临其境的感觉。
[07:34.300] 那么第五一点的话，咱们这款车还同样配置了一块什么？一个系统叫消分，
[07:39.820] 他香粉里面有一种消费的分子叫沉香，您听说过吗？沉香被称为相同之王，它除了名贵以外，最主要沉香里边
[07:48.700] 具有凝神中静气的作用功效会分子。
[07:51.480] 当您坐在车里边的话，而且您自己用小手也不会跟您自己用的香水串香。
[07:55.570] 所以说这个车无论从皮革的那种支撑杆，还有这种材质，还有我们的空间感，
[08:02.800] 还有我们的视觉的灯光的效果，它有64种颜色的氛围灯，还有2块12.3寸大屏幕以及
[08:08.810] 全景天窗，柏林之声音响品牌，从视觉、听觉、嗅觉、触觉上面都能给您带来更好的这种
[08:15.590] 这点唇油的纯汽油的知道对。
[08:19.920] 然后还有一个车配置也非常高，
[08:23.070] 那么底盘升降、空气悬挂、自动泊车、手机遥控泊车都是标配，全车没有一个灯泡全都是LED的光源，
[08:31.450] 你随我来个性价能身价多少？三三十30毫米。
[08:38.110] 3000小时也可以是这样，可以这地步的话，他所有的位置都是量调试的，您看到所有的分寸和都是黑的，
[08:46.900] 只有迈巴赫适量调的，这也代表了奔驰最顶级的品牌。
[08:51.010] 在C路上有伞的指标。
[08:54.950] 行，咱们再进去看一眼，这款车轮毂是开发它独有的，
[09:00.480] 他是2020号的，那个是的。
[09:03.740] 原装的是总装的，
[09:05.990] 那是省城6801螺母，因为很多客户非常喜欢680的，因为gg680外观上督查农民工
[09:11.470] 觉得没有区别，
[09:12.590] 可以说
[09:13.510] 装上去感觉上自己这是好看。
[09:16.440] 行，就看您级别高是吧？对那个级别680都是这样的。
[09:21.760] 都对这没问题。
[09:23.710] 咱们漆面给一个样板你可以看一下，因为原来要有一些原则可以选择，现在没有选择，因为现在这个是典藏版，
[09:30.830] 就这一种颜色外观就这一种颜色为主。
[09:33.140] 外观类似就那种。
[09:36.620] 因为这些都是老板。
[09:38.590] 咱们可以用
[09:41.090] 前面有一个多媒体的屏幕再去看一眼安排来给演示一下它的整体效果。
[10:01.230] 我们家的车经过
[10:02.300] 买车根本都的
[10:04.300] 德国车比较不错，其实口碑还是不错的。
[10:08.110] 展示的找
[10:09.540] 老款的你
[10:10.740] 原来他有这么多种颜色，里边有黑色的，
[10:16.320] 纯黑色的内饰，还有那种深棕色的，
[10:19.290] 咱们这个是属于浅棕色，然后还有一种米黄色。
[10:22.880] 米黄色内饰。
[10:25.650] 但他只有在这种
[10:27.640] 展车我们现在已经简单介绍到这了，对于整个交易这块还有疑问或者问题没有，咱们邀请您试驾一下，试乘试驾感受一下您哪位教授带着做体检。
[10:37.900] 教授。
[10:43.850] 那天。
[10:48.870] 的一个实例。
[10:56.600] 你现在要
[11:00.960] 你看我这辆车东西就在邮政
[11:04.270] 的
[11:07.240] 远远
[11:12.050] 好，
[11:14.360] 开始。
[11:17.490] 车动得厉害，
[11:19.870] 但是没有
[11:22.010] 特别厉害，
[11:23.840] 还买了宝马，
[11:28.080] 宝马动力
[11:29.600] 滑板秋，
[11:31.430] 我觉得现在环保越来越不好看，
[11:40.760] 还不知道，我待会得看你用其他车在哪不好。
[11:45.480] 有巴赫。
[11:47.340] 我复印一下。
[11:49.270] 你哪位销售就用一下，我复印一下副本要
[11:52.860] 用哪个？
[11:54.230] 12。
[11:55.740] 不要什么都掉了，不好意思没事。
[12:01.190] 这个没说话。
[12:02.400] 这里
[12:13.620] 接下来。
[12:17.330] 你不要说了，
[12:21.120] 我希望
[12:23.790] 开心收多少？
[12:25.880] 14万了。
[12:27.450] 2000，
[12:29.350] 谁知
[12:31.490] 都不算。
[12:32.750] 不是你像50万。
[12:37.300] 谁知
[12:56.880] 他们都不行。
[12:57.960] 打工。
[13:47.410] 咱们刚才登记的电话是多少？8136。
[13:50.520] 0115261吗？
[14:41.110] 的
[14:47.400] 七
[14:50.260] 动。
[14:55.300] 话
[15:01.580] 花、
[15:04.410] 走。
[15:11.240] 稍等一会看5:30之前，反正今天。
[15:21.250] 看看。
[15:24.200] 五。
[15:28.860] 哪个那本了？
[15:30.880] 马上310 330车间三分的。
[15:41.070] 怎么办呢？
[15:44.030] 那没法出货。
[15:47.210] 叫
[15:50.560] 这样
[15:52.850] 一块
[15:54.480] 买
[15:57.520] 的。
[15:58.400] 好吧？
[16:01.970] 对。
[16:03.750] 再把车给你班车，你干嘛的？
[16:07.560] 我赶紧办一下，我把你给办。
[16:09.840] 拜拜。
[16:11.830] 拜拜。
[16:13.980] 挂。
[16:14.980] 你把箱子。
[16:18.210] 开开不？开完了我开到5.2。
[16:20.270] 20。
[16:21.670] 你充点20开始
[16:24.810] 跟你讲，
[16:41.800] 能帮我听到这个位置。
[16:46.910] 好，介绍您说话。
[16:49.270] 咱们去睡觉。
[16:52.650] 卡着你。
[16:53.840] 你说。
[16:56.380] 李总。
[16:57.490] 走了。
[17:00.640] 我开到门口了，您在这等咱们先试正在试下。
[17:04.900] 去的时候我开回来时候离开。
[17:41.170] 您坐右后座右边又好做。
[17:43.740] 等等。
[17:49.230] 稍微有点热，晒了半天，
[17:52.920] 是吧？
[17:53.730] 然后咱们先买版应该系好。
[17:58.630] 我现在连上蓝牙给您放点歌听。
[18:02.080] 一会就好了，空调冷风出来了就好了。
[18:06.420] 不到一分钟
[18:08.570] 温度就下来。
[18:11.200] 去的时候我看你主要体验一下承诺书，
[18:16.520] 咱们喜欢平时喜欢听谁的歌？
[18:18.560] 这都可以。
[18:24.220] 今天熊哥
[18:26.280] 蔡琴的
[18:56.630] 唱一个
[18:58.340] 被遗忘的时光。
[19:00.630] 好的，看看有没有
[19:03.760] 火车
[19:11.940] 的
[19:18.950] 数据
[19:21.740] 出
[19:26.960] 谁
[19:33.400] 段
[19:38.350] 光通风，
[19:44.010] 第
[19:46.970] 星空。
[19:52.510] 谁？
[19:55.760] 的火车、
[20:00.980] 10
[20:04.280] 同情心
[20:12.520] 啦，欢了。
[20:42.050] 我要带你到处去北向南
[20:47.580] 中天世界各地晚上
[20:54.750] 没有了上海
[21:35.060] 七
[21:36.180] 奔驰的特点就是
[21:39.310] 你在不知不觉中没感觉的时候，车子已经上来了，
[21:43.540] 这才是经典。
[21:44.900] 别的车你甭管说送，你说你给要穿多块没用，那不舒服。
[21:49.770] 奔驰的车这么多年口碑就是舒适，
[21:53.480] 让我们见了政策，
[21:56.230] 那个是越野车跟那感觉又不一样，
[21:59.230] 应该是一会再试试。
[22:01.540] 意思。
[22:02.240] 他们我看我就是南京涡轮
[22:06.020] 接触的时候，
[22:08.040] 一下车他离你那款应该是漆树的景象。
[22:13.380] 对起诉的现在变成9度了，
[22:15.890] 7度的时候有可能在2道B你想回答不对，尽量在加油的时候尽量
[22:22.690] 太冷了没有。
[22:24.240] 就慢慢的民宿的话应该然后踩刹车的时候，
[22:28.520] 这个是你可以睡觉，这种谎言他肯定不一样，
[22:33.670] 因为轻轻踩了到
[22:36.400] 涡轮不起了，还咯噔一下一下，
[22:38.980] 有点可怕了，对不对？
[22:41.870] 我来靠一靠头枕特别舒服，
[22:48.490] 有时候吃完饭了对吧？
[22:50.840] 困境
[22:51.820] 小眯一会儿4.9在用药上
[22:55.180] 跑长途歇一会儿，不能缓解很大的一种
[23:08.860] 二
[23:09.940] 二
[23:15.200] 企业、
[23:18.430] 三
[23:20.290] 3.0T双或怎么样
[23:23.310] 的。
[23:26.620] 应该不一样，动力应该比养4504046，那么百分
[23:34.110] 333匹马力，这367匹马力
[23:37.070] 大概多三34匹马力，
[23:39.630] 所以说动力还是有区别的，相当于4.0的排量就相当于4.5的材料。
[23:45.290] 这谁来开？领导我该你看你来看。
[23:51.190] 说
[24:20.720] 远。
[24:29.260] 看的没那么长，
[24:35.080] 你只能开车。
[24:49.910] 三是不是一直都辅助？
[24:51.440] 只要记住还要进行，天桥底下注意踩到80以内车主明天有线索，
[24:57.030] 过了几天没关系，
[24:59.720] 这还带评审
[25:07.790] 成了重要。
[25:09.340] 接下来大概要多少钱？
[25:11.240] 5年了。
[25:12.920] 多少了？5年的话年利率就相当于3.1了。
[25:16.680] 空间特别低调，总价大概多少钱？
[25:20.370] 总价的话下来是一百六十几万，
[25:24.830] 你要是全款的话是163万，
[25:28.600] 如果分期的话会要5年的话，多是
[25:32.400] 55,000的利息，不到100万的话，
[25:35.130] 合着每年的话相当于33.1万，
[25:40.230] 1万涨到百分之
[25:41.380] 53，
[25:42.730] 你出去算了。
[25:53.760] 其实如果说最划算的话，
[25:56.640] 其实还是做两年三年比较划算。
[26:01.550] 对两年的话，你比如说要带100万的话，两年的话
[26:06.560] 利息才多少？按
[26:10.270] 3.72来算的话，那还7万多的利息，
[26:14.130] 三年的话10万多的利息，
[26:19.630] 而且我们现在也有很多种选择，你要是说比如说你要还半年就不要还了，
[26:25.090] 你可以边玩绿色建行呢，
[26:27.400] 不用就没有违约金，
[26:29.250] 你要别的银行也别进，不能结婚。
[26:38.770] 工行、建行、中行应该
[26:43.540] 比较全。
[26:50.040] 怎么样感觉？
[26:51.980] 看着挺
[26:53.550] 挺要说收获是吧？你做的怎么样？
[26:58.630] 是吧？非常多，这是喝完酒的
[27:03.280] 歇会一会都行。
[27:07.380] 那头人就像家里真东西一样的，可以。
[27:13.330] 基于你一点都不夸张，三四百万以内的500万以内的没有别的特殊，
[27:17.180] 包括电力，
[27:19.310] 你看贵，包括老子，
[27:21.630] 是吧？他们主要是有一种这种公益上的，比如说比较独特或者说比较华丽这种
[27:29.030] 设计，但实际乘坐的
[27:31.180] 我们没有这个号，
[27:32.410] 而且那种K太高调，
[27:34.190] 没有特别
[27:36.200] 而且成本也高，这车你自己开商务洞洞够格够级别房子也不够，
[27:42.630] 对吧？
[28:08.960] 小重伤、
[28:13.170] 西安
[28:14.580] 远场
[28:17.440] 数据。
[28:19.410] 你不知道。
[28:25.320] 电影院都了
[28:27.730] 了，
[28:29.460] 北京外地了。
[28:35.570] 的
[28:37.040] 了，
[28:42.810] 对吧？
[28:44.590] 反正多多少少都有影响。
[28:47.400] 一会我了。
[28:49.710] 没开工，好多工程都
[28:52.300] 开，
[28:53.260] 对吧？
[28:54.510] 也是相当的强，
[28:56.160] 是吧？
[28:59.060] 要抢什么抢攻电子，
[29:00.800] 成功抢活长气抢工期是吧？
[29:04.510] 是他不让你开没用，你开了还没抢活，抢功还得跑质量对不对？
[29:09.300] 本来半年的活你们一下子到三个月，
[29:12.020] 你跟一个病人没什么，
[29:44.100] 对。
[29:50.110] 这是比尖儿的要平顺一些，加速啥的。
[29:54.850] 刹车的，对他炖的太厉害了。
[29:59.710] 等到我都不敢开了，你踩刹车就
[30:03.430] 注意一下。
[30:05.830] 就跟这种感觉他非得等一下到这种到速度。
[30:17.790] 这俩一样吗？
[30:19.470] 一样。
[31:10.250] 你到厅里稍等我一下，我以后一报价。
[31:29.160] 那就稍等我
[32:30.710] 你说要用
[32:32.090] 找你。
[32:34.050] 没事不用照吗？
[33:06.450] 的
[33:09.290] 你说说怎么办？
[33:11.400] 没有。
[33:18.120] 干嘛呢？
[33:20.360] 咱们去那边给报价。
[33:32.400] 对。
[33:35.080] 不过。
[33:36.910] 走电梯。
[33:39.770] 这边。
[33:42.070] 这边不是做一层吗？对两头。
[33:45.040] 二楼。
[34:20.990] 三类手，
[34:22.000] 路上高调
[34:23.370] 走低，
[35:23.470] 到了第二阶段，
[35:25.810] 收到过来了。
[35:39.870] 你还到专区等我自己坐到这儿。
[35:42.300] 然后这期间多少比例你算。
[35:46.330] 跟你说如果两不用动了，刚出来行。
[37:33.410] 今天这个拍照点行吗？
[37:50.500] 的。
[37:51.460] 数据
[37:52.710] 真的
[38:16.040] 数据。
[38:18.300] 的
[38:19.670] 的
[40:02.090] 房子的问题，
[40:06.040] 联系。
[40:09.640] 市场别墅的
[40:14.820] 说。
[40:16.840] 点，
[40:19.980] 大。
[40:21.930] 西安房东可能也跟他了
[40:25.710] 别墅，然后回去。
[40:38.970] 里面
[40:42.000] 上
[40:42.920] 场。
[40:48.570] 坏。
[40:52.890] 号
[40:57.630] 的。
[41:00.840] 快点。
[41:02.640] 了。
[41:05.750] 了
[41:12.270] 远远
[41:16.080] 花
[41:17.280] 花园、
[41:21.400] 点
[41:22.500] 坏。
[41:28.110] 的
[41:33.160] 花。
[41:38.360] 准备上车。
[41:43.640] 花。
[41:45.180] 消耗了。
[41:47.130] 我把我奔驰给你妈开，你妈登记报道四川去行不行？
[41:52.060] 但是我知道
[41:54.120] 我要
[41:55.220] 然后我再买一点不吃。
[41:57.420] 我这了昨晚看了
[42:00.780] 也很想开车吗？
[42:03.090] 一小屁孩，一个哥哥可以，你长大再说。
[42:07.460] 这个不是在姥姥家怎么样吗？
[42:09.920] 也
[42:12.920] 遗憾算了。
[42:18.230] 谁知
[42:21.370] 你好手段，
[42:25.440] 怎么黑了，在家里晒黑了，
[42:30.700] 数据
[42:35.250] 场
[42:38.760] 两
[42:41.740] 养车。
[42:50.480] 了
[42:55.640] 吗
[43:04.090] 好，
[43:05.460] 所以谁活笑了，谁办事
[43:13.820] 的
[43:18.100] 的。
[43:20.270] 对。
[43:22.040] 那行，我不跟你聊了。
[43:30.820] 拜拜好的。
[43:38.940] 好先生，我这边报价之前再次给你宣读一下
[43:46.270] 公约内容，以礼相待，重新经营、合法得体，明码标价、公开透明，配件渠道休息公式全部捆绑销售强制消费，谁知
[43:55.970] 400818188是我们监督服务电话，这是咱们的一个特殊资料，你看看
[44:00.570] 在报价之前咱们采用全国统一的报价单模板给您做报价是最新版，您看一眼，
[44:06.250] 车价是1,458,800，购置税是129,097，保险的话第一年应该在39,000左右个人名下，然后去代办验车上牌服务是2500，如果全办下来是1,629,000，如果做分期的情况下，我给你做了三种方案，首付都是458,800代100万整数，这样好算。
[44:25.230] 您每个月月供的话，如果24期就是两年还每个月是44,000，如果分三十六七三年还每个月就是30,700，
[44:32.270] 如果分
[44:33.300] 5年的话，67那就是19,000，这是原本带息的这三种方案。
[44:40.930] 那点5他3年146分成三个花了，
[44:45.580] 5年之后他的利息是15555,000，
[44:50.880] 就回到了
[44:52.990] 77万78万的养殖是不是对他办起了？
[44:58.360] 其实对经商来说，
[45:01.520] 我们喜欢是
[45:03.570] 严查常人，好，对没错，因为其实经商的我们有时候一下有时候虽然看我们开了好多，但我们有时候有机的实质没错，现金为王是这样的，对，而且您做工程的有的时候用起来很着急。
[45:20.110] 对我们用钱都是一个压缩，当然这可能不解渴，但是最起码手里有点零花的，他但是他有些时候虽然不接可再一猛，他会给你的压力要减少很多，对，因为我们有很多的是他压力就解释一下，因为财务我们讲像这些
[45:36.970] 我记得当时那买这辆车的时候，
[45:40.760] 我们财务就定期去教教教这些，每个月他就把那个钱往那转，每个月转兑。
[45:47.120] 可以行选择我会选择。
[45:50.740] 飞机现在有一半甚至一半多的客户都会选择，因为
[45:56.650] 因为现在越往后钱越不值钱，通货膨胀情况会比较严重，因为钱都毛了，越来越矛，美国也在印钞票，
[46:03.980] 对吧？
[46:05.850] 行行，可能需要才行是吧？
[46:09.080] 也可以跟老板
[46:12.510] 都沟通了，
[46:13.670] 说老板必须要换车，
[46:15.570] 算了做就5年做，5年下来应该就是活到了100
[46:20.810] 170万不到，180多万零四百十五55万5年一年三十睡
[46:27.950] 100万100万电商都还可以，您做工程你应该知道，如果说打个比方，比如说您介意可能比如说滥用权就1000万，我打个比方，
[46:39.320] 你就拿100万来算，我借给你100万，我的时候能还我103万吗？
[46:44.950] 肯定不能玩，你一年至少得帮我一百一二十万，是不是这么算的？这么是不是这意思？
[46:50.540] 那就不一样了。
[46:52.040] 进一步的。
[46:52.890] 实际。
[46:54.110] 就这么定刑把拿上行，一会您方便的时候帮我扫描一下二维码，做一个服务业调研，咱们这块标准比较严格型，刚才咱们留的电话是谁的事，我都是你们上班不无所谓，对谁都行，一会我给你发条短信过去，有什么需要您咱们电话联系，您大概想什么时间定下来车？
[47:13.280] 好多会要买的话应该是势在必行，
[47:18.560] 因为我那个钱开走，
[47:20.900] 至少也过两三个月过来一清彻底完事以后，因为疫情回那车回老家了，就一直没在这的话，也其实我要想8月份那都无所谓，买到时候就已经飞回来，把我车开回来就行
[47:36.950] 了，你把那个车开下去，把那个车开回来就行了。
[47:39.840] 因为我一直想把我这个车给我媳妇，我媳妇拉着，他们死活不开，我的车太大了，对女士一般不太爱开大，当时我以前他一直看我接A的课，那是人家。
[47:54.020] 这样。
[47:54.720] 以好看加了对一我就开一夜不开车，当时我那个车当时那时候我买成72，我是纯进口的。
[48:02.470] 纯进口的。
[48:03.540] 买成70万，我媳妇开的车我觉得挺好看。
[48:08.250] 因为那个车要卖我觉得也不值钱。
[48:10.990] 要在你们那底的话，我可以这几个20来万左右，哪个是吉安的课？
[48:17.590] 石头说我那纯进口的，实际上车白了就10~20万，当时我觉得
[48:23.550] 可惜了，我就想把它合肥我们四川，因为我有时候老母亲在家也想经常回去玩坐飞机，我说我就不用开车了，我把他车上的家里回去奔驰一开就行，对。
[48:35.880] 然后我一直到时候我就说，因为我一直在说买车，
[48:40.810] 因为现在好像有个政策，我们外地
[48:44.610] 不是北京户口名下，
[48:47.150] 好像是过了12月份1日名下只能一辆车，不是北京好像这个消息是传说，但是
[48:55.570] 是从明年1月1号开始，但是不支持外地的，北京也是北京人，明天有8个指标也不行，
[49:03.870] 只要你话再换车，你这辈就没有换一个少一个换一个手机就是换一个，你这边就没有了，你没有指标了，你换了车没了，指标也没了。
[49:14.330] 是这样的，因为我就想因为在这个时候，我说我现在再买一点，但是我那个车再不开在
[49:21.470] 我还可以干六七年，麻省那边开大的，
[49:25.640] 我想再买个新车，我还能开一波开到那个时候还他们就长大了，没有他们就有指标了。
[49:33.920] 因为现在我们营销是7辆车，
[49:37.820] 反正很多客户最近期都是听到这个消息了，然后都是想赶紧把车换了，烙一个差不多状态好一点的车，然后各方面都能够用的，
[49:48.710] 自己用的也舒服，然后级别也够的是吧？你干吗？如果到时候你们再商量，
[49:54.910] 在还能优惠优惠优惠，因为我们将买车160，我们当时为什么定了我第一辆车是的王室游买的，王子买房是中国卫星飞是吧？
[50:05.180] 我那会儿还现在不叫保利，我现在是终身之星，
[50:08.680] 算算办集团，当时我们在那儿买的，
[50:11.880] 其实我这辆车当时我看我是在万柳桥就我们办公室对面，
[50:18.010] 我这边卖，当时我们需要很多家坐车，你们家来买的我这辆车知道吗？
[50:24.090] 所以你看那个价格如果是要
[50:26.340] 您放心，只要您那什么您要订之前您给我打个电话能沟通一下，你说咱们什么时候来看过，然后。
[50:34.260] 对接触到时候你看现在我就想要一个车，你给我报个价行的话咱们就对过来，你要买的话，我觉得他们
[50:41.440] 8月反正8月就8月份也无所谓。
[50:44.890] 不就是钱的事，就这点钱是不是咱们玩都买，然后早点睡觉，
[50:50.670] 然后咱们这个车在那看到我可以带你去对面看一眼，那公司驾着车的攻势下，如果比如说你上北京牌1,458,800，正常我们那车对外报价150，
[51:00.130] 808，然后现在这电话不明白，因为他要准备过去，然后按照这里的要求的话，
[51:06.710] 明天我会给您打一个回访电话，一般跟你联系上午方便还是下午方便？
[51:11.030] 天直接上到下午短信电话都行了，直接转移质量都可以。
[51:16.940] 要求一下告诉对，不要看那就那样。
[51:21.550] 还有其他方面也可以把调出来。
[51:25.410] 我这边坐不错，看看我不想让他做什么，你部门标准一下，让人眼睛行车电脑。
[51:32.750] 这样的话出门弄好了，谢谢，随着科技的你看看
[51:36.720] 北京光明。
[51:45.210] 怪了。
[51:46.770] 说说外号就行了，慢点谢谢。
[51:57.720] 温肺、
[52:00.890] 走坏。
[52:02.180] 远。
[52:12.070] 交车了。
[56:01.360] 今儿礼拜二
[56:03.580] 吗？
[56:04.330] 谁知
