[00:00.000] 休息2000美金客户乐景霞教授录音也没有用。
[04:35.400] 做深长不就比较5的号吗？这个比他就会换气，这个案件您看一下是付价调节，
[04:42.850] 我点亮了我再动这个座椅是您的位置，
[04:46.550] 方便司机帮助优厚调座位。
[04:50.050] 我说5点了我来接。
[04:57.680] 为
[04:58.640] 爷爷
[05:06.370] 有18个猫，
[05:09.150] 到周丽华那18个，
[05:14.390] 我现在没在屋里，我在外边，所以我没记住他们几个人。
[05:20.070] 天儿咱们应该按照数那人头没错，到周丽华您从数字，然后他会。
[05:28.540] 一想就锁了。
[05:38.290] 恩我看一眼，你写的是18个就应该差不多，我这样我问一下王燕，
[05:44.510] 法院他给你回个电话，停完车以后什么回来就说他做一下。
[05:50.690] 不，这个是可以设定的，你可以让他不动，你可以让他自己
[06:02.540] 明天就回家了。
[06:12.040] 你回家了吗？还是怎么的？
[06:14.440] 晚上回家了，你下午过来以后，你对一下咱们退休人员明灯，咱们内部的
[06:27.070] 不包括洪军霞他们那几
[06:30.000] 知道吧？咱们市中心那边和咱们招待所的，然后包括周丽华看看是多少人，是18个人不
[06:38.250] 然后给于英语打个电话告诉他一下，对好数。
[06:44.280] 对。
[06:46.280] 好好了好。
[07:05.350] 英语。
[07:06.890] 谁王艳他要回家了，我们11点多吃饭，吃完饭就走了。
[07:13.460] 他那什么你下午行吗？不着急，我让他下午给你弄，我跟他说让他下午一上班过来给你。
[07:23.350] 行。
[07:25.430] 好好勒。
[07:28.120] A好勒就这样。
[07:34.000] 可以了好吧，我这一会讲完了，克服会有定期面粉，最后咱们签几个字就行。
[07:40.530] 刚才说了点亮在动是您的问题，对方便司机帮助U后调，
[07:46.180] 所指开锁中控都是一致的，
[07:48.680] 上面人贱一下镜子收回来，洗车机坐车的时候您手动去调，
[07:54.000] 恩量左侧左边镜子根据视角4个小镜头条件条对联，右边条街右边一样，
[08:01.470] 4门玻璃都是一键升窗，咱那车的后排有电动遮阳帘，
[08:07.170] 第一相对
[08:08.950] 比如这难关您先下，这样连在下一下它是玻璃都是两下方向，
[08:15.400] 前排的都没有，后台都有。
[08:18.510] 最下面这个按键点亮以后，后排的乘客玻璃就动不了了，小孩的时候了12点就行。
[08:26.040] 后备箱
[08:27.170] 金属件把赫敦一下打开，
[08:30.260] 往前摁住就关了，因为是电尾咱就不用下车了，对往前就是关了没错。
[08:37.870] 网上抠一下就开了，大灯是左手圆圈，这个区域，咱奔驰的车辆都是自动大灯，小竖线指向AOTO就是自动管它，对进隧道下地库傍晚咖啡都不管，
[08:50.210] 左侧这个案件是雾灯，雨雪天你得按一下开的同时，咱仪表盘着橙色小灯笼提示，
[08:57.300] 黑色的小旋钮上下转是仪表盘的量往上试炼，往下是按
[09:03.150] 手刹变成在下金属件，
[09:06.040] 它本身是电子手刹，平常你也不用控制，这个是手刹标识，
[09:10.440] 红色圆圈P您看我挂涨停，
[09:14.460] 自动就解除了。
[09:16.400] 一挂档你想想走的时候他自己就停车，您是不是也归到P档了？
[09:22.910] 以后
[09:24.000] 灭车后一开门，您看那首山
[09:27.330] 它是自动上的，
[09:28.940] 所以大灯也不用管了。
[09:33.410] 你这个停车是还按一下，这个是P档，P咱们岗位潜在着看看这是胆敢。
[09:40.520] 我待会给您具体说。
[09:42.700] 方向盘的左侧两个蓝盖，第一个长的集成的功能转向灯一样，左右雨刷变成左边的小三角了，
[09:51.300] 只向玲现在是关闭上面的两个虚线，两个实现直接您就行对往上拧，虚线是感应，
[09:58.430] 只刮一次，不下雨不刮，下雨自动关，通过雨量传感器识别。
[10:03.560] 第二个速度比下面快灵敏度更高，
[10:06.150] 单实现双实线强制三四度一直刮着是慢速度，自动的是虚线是贬值，快速度根据需求去选就选了。
[10:16.040] 玻璃水就是这案件N种别撒手，黄人是不是low回来闪两下眼光推出去，这都一样。
[10:23.050] 方向盘也是电控短暂感，一个是前后，一个是高低，根据器官调整都可以。
[10:31.350] 咱们看一下
[10:33.600] 中控，
[10:34.650] 这三个按键控制的是左边仪表盘，这三个控制，右边这小房子就是一主界面，您按一下
[10:42.360] 出现这些文字列表，
[10:44.320] 黑色文件首先咱们左右滑动去选择，
[10:47.590] 选好了按一下这个按键就相当于确认。
[10:50.530] 保养里面比如说
[10:52.260] 首先行驶一段时间会有素纹它的压力值，
[10:55.300] 您快到保养的时候保养会提示冷却液，机油确实都会有定制问题，是告诉你不用进来找。
[11:01.690] 行程里这个车的基础信息里程16公里上下滑动，
[11:07.070] 蓝色的这是剩余油量，还能跑133公里1/4的油量。
[11:12.940] 平常您车辆驾驶习惯的一个记录，
[11:15.990] 百公里油耗平均速度驾驶公里数，
[11:19.080] 从绿城的话驾驶员公里数
[11:21.020] 当前速度
[11:23.090] 导航、收音机、媒体电话这4项和右边
[11:28.480] 完全一样，待会又不多介绍，样是指的是这个车仪表盘的风格，现在是经典，蓝色的根据喜好，您可以换成黄色的运动，
[11:38.520] 或者是
[11:39.540] 这种单单仪表盘的喜欢哪个仪表盘风格你自己去切换，就这个老师
[11:45.580] 说一下档位变化最大，
[11:48.440] 首先徊荡在这儿了，
[11:50.950] 提示都在应该都知道这个案件是驻车P挡，您按一下P档以后，
[11:57.840] 挂档必须踩刹车，
[12:00.290] 不睬你挂不上，它会提示踩刹车，咱往下
[12:04.200] 档位跳转，手刹会解除，雷达会在右边大屏幕自动弹屏出现42978
[12:12.840] 距离的接近，
[12:14.940] 倒档往上推，
[12:17.670] 雷达是这样的，纯数字，
[12:20.580] 这一圈哪一进了，对，那离近了它都会有小格颜色提示。
[12:26.280] 7挂上倒档，这个是后营后边黑色的是您后保险杠，
[12:32.230] 红线就是临界点，这两个大宽限是什么？轮胎的行走位置，您动方向盘它就告诉你怎么拐了。
[12:39.260] 左右这两个小细黄线还是春，
[12:44.640] 您只要离近了，你看这人从那一过，他就
[12:48.560] 雷达自动的弹屏出现了，对，是这样一个状态。
[12:52.230] 等一会那人走了，我给您试一下。
[12:56.720] 停好车您需要做就按建筑车连接出来一个表格，然后下车就行了。
[13:04.160] 停完车一人灭车，手刹自己就上，或者你一开门，你看我现在一开门这手刹
[13:11.660] 自动就上，
[13:12.840] 停车的时候就弄好了以后一停车先问他，问完他以后再熄火，
[13:19.370] 就在那边不用弄，用电子的都是，你看前面是不是垃圾桶，我随着距离接近，你看这雷达从这儿就蹦出来了，
[13:27.690] 看到了吗？
[13:28.900] 颜色黄橙红您离得越近，颜色越深，
[13:32.500] 红格亮来了，红格亮警告想现在还有30公分，您能记住这个车4周只要红格亮，咱就别动车了。
[13:42.590] 还有这么远，
[13:48.870] 停好车，您需要做的就是按下电源键，P档，
[13:53.650] 就可以写车就走离开就可以了。
[13:57.500] 大屏幕的开关是这个案件一下断电，
[14:01.630] 咱要用就打开他
[14:03.670] 操作这个屏幕这三根箭，
[14:06.630] 还有大中控板都是控制右边的，对，这是方便附加控制着，还是司机这个和小房子都是主界面按一下，这是主界面。
[14:17.190] 左右滑动在这确定这是一致的，这上也可以，对是触屏的。
[14:23.160] 原车导航自带地图，使用的话特简单，待会给您激活这俩功能叫命苦，连激活以后
[14:31.800] 您
[14:32.720] 后台人工就接电话了。
[14:34.330] 他会问您需求哪些服务？
[14:39.360] 听着。
[14:43.380] 我得出去，我不让她别理她，一会走没谱。
[14:52.670] 先出来。
[14:54.460] 出来咱们停在
[15:05.000] 你就按照轮胎的轨迹走就可以。
[15:08.670] 看得非常清楚。
[15:18.310] 这儿一是不帅，而且不碍事，
[15:22.650] 回头完了人工就接电话了，这个me标识是个性，这个是接电话，这个这不是接电话，这两个您按它会后台就这么后台就已经付出了。
[15:33.500] 这一标识是一信息咨询件，能帮您干吗？
[15:36.850] 比如说想订机票酒店餐厅查询兴趣点，
[15:40.870] 出去玩旅程的咨询服务，包括这车抛锚了道路救援，或者说想去哪按它
[15:47.360] 人工接完电话，你就把目的地告诉后台导航就发过来了，
[15:51.130] 发完导航这就显示中文是否启用导航，一个是一个否，您选择是一点确定导航自动就开启了。
[15:57.920] 直接说就行。
[15:59.610] 左边这个SOS是一个紧急呼叫机，在您遇到人员受伤紧急情况的时候，
[16:04.970] 打开宏观基础连接后台120自动链接尽量不占用，我今天会激活，明天正式启动。
[16:13.240] 收音机
[16:14.420] 所有的调频都是存好的，上下滑动它再去切换，当前能搜到的调频它都有，
[16:20.310] 音量上大下小，
[16:23.310] 这电话就是一种地标，静音咱们按一下就可以。
[16:27.230] 然后把您的电话拿出来开开蓝牙，我给你连着打电话。
[16:36.310] 打开设置，我看一下您蓝牙名。
[16:40.290] 您看您叫您的名字iPhone吖轩中系统化搜索点确认，
[16:44.720] 车辆又开始黑点对着往下按就是确认，找到您的蓝牙暂确认，
[16:50.510] 它会提示手机配对，
[16:54.180] 点配对，
[16:56.190] 允许。
[16:57.300] 稍后手机通话记录电话本都通过车内了，
[17:00.810] 电池电量移动信号都出现了，右侧放大镜，咱们华到这看一下通讯录马上就进来了。
[17:08.200] 来电一波的同时，屏幕手机会同时显示自己开车这个案件
[17:13.910] 上推是接听下推迟挂断，
[17:17.300] 它是通过蓝牙连接的，您手机在车上开蓝牙，它读取你的数据，您下车离远了就清空了，它不存在车上。
[17:25.070] 其他人看您车开新车也没有任何信息，看到电话好多
[17:30.530] 关系。
[17:32.350] 这就过来了，也就是您的电话本
[17:35.510] 都进来了，下车他就轻松了，不存在车上你也不用担心。
[17:41.310] 车辆里说一下有些小功能，首先咱们说一下驾驶辅助系统，这里全是这个车的主动硬件安全配置默认都是开着的，您也不用改或变更他。
[17:52.640] 再有这个车咱有一个氛围灯
[17:56.710] 不太明显，我给您调个颜色就看出来，
[18:00.280] 能看出来颜色这是64种，喜欢什么颜色条，这色板他就换了，
[18:07.100] 喜欢蓝色你自己去调节。
[18:09.860] 左边这个是氛围灯的亮度越高越亮越低越暗，其实有一半晚上就很亮了现在。
[18:16.960] 再有晚上停车左右着镜子下面照地灯出现，
[18:21.240] 在您锁车走的同时，咱让这大灯照亮一会自动在熄灭，一般15秒够用了。
[18:27.300] 车内也是对应的
[18:29.450] 设定里都是一些小功能，比如说安全带系的时候，他会拎下有
[18:35.110] 锁车喇叭显示上提示，
[18:37.210] 锁车在那盯着自己收回来，
[18:39.860] 还有车速1~15公里，中控它是自动落的，
[18:44.070] 包括后备箱现在完全开启，
[18:47.480] 还有
[18:49.560] 方便出入功能三种状态，第一种方向盘如果是高位状态下车他会自动退缩，这座椅往后撤，
[18:56.720] 给一个更大的上车空间。
[18:58.860] 第二种只是方向盘溃缩，第三个就是什么都不，
[19:02.510] 根据您的需求去调整。
[19:06.280] 用户手册实际上就是这个车的电子版，车叔您要是有时间等人进去可以做对应学习都是没问题的。
[19:13.610] 时间的话我给您对一下，
[19:17.080] 应该是调过了17OK，17岁表示自动的都不用管，
[19:23.330] 这一行金属件全是这个空调，首先咱们看左右的蓝红箭头是左右的温度，往上是加，
[19:31.410] 往下是减，第二个就是风向，您吹什么位置，前方等正面脚下咱们自行去切换。
[19:39.180] 风量
[19:40.090] 最大是7冠，第三个县官到头
[19:44.590] 才能关，开的话都可以，任何一个案件都能开。
[19:48.800] 自动空调您设定一个车里的合适温度，
[19:52.160] 点亮凹凸镜，
[19:53.790] 他会一直保持温度，起不了雨雪。
[19:57.080] 前窗后窗宠物这两个县点亮，
[19:59.970] 这案件不亮灯状态，左右温度，个人控制个人的分区，
[20:05.420] 按量变成总部附加随处家走，
[20:09.080] 现在外循环亮灯内循环一致，
[20:12.320] 制冷开空调建议内循环，还有雾霾扬尘空气质量不好的时候，
[20:17.060] 制冷必须开AC，否则没有这种状态。
[20:20.430] 出风口小竖线充上，这都是有。
[20:24.500] 您登水平状态就关闭了。
[20:27.600] 前排这是6个，包括您都是一样的。
[20:32.150] 双闪的位置是在这，
[20:34.840] 有事故警示后方，您苹果几7还是8880搁着？
[20:41.270] 这有一个无线充电放平就行了，对往里推
[20:46.060] 推进去。
[20:48.370] 它就自动充了，只要你这手机有这功能，搁着自己就充电不用线了。
[20:54.510] 如果对8以上都可以，如果说您手机没有无线充电，您用线充
[21:00.950] USB接口这有一个，这里还有两个或者停留盘都可以。
[21:09.260] 两个杯托着不用咱关闭就行了。
[21:12.560] 这个案件是前排控制，最后边直营店，
[21:21.520] 这个案件是咱们车辆的驾驶模式看一下，首先对应的是蓝底C字母上下去选，
[21:31.030] 由低到高分别是一是节油，
[21:34.210] C是舒适，
[21:35.740] S是运动，还有运动家，您记住了这4个模式由低往高了涨，每上一档功率都比之前放大，
[21:43.310] 越往上这车越有劲，提速越快，但是相对会高一点。
[21:47.570] 一般我建议您就是舒适够用了，本身是300 20的高功版。
[21:53.470] 对。
[21:54.440] 第二个就是雷达关闭，刚才演示雷达一圈的黄宏小格，
[22:00.360] 量的同时，全车雷达会关闭，洗车机的时候有可能会用到，其他的时候一定开启。
[22:07.270] 刚才因为在那咱们到不了，那么靠后我再给您演示一下。
[22:11.750] 后边
[22:13.010] 倒车的过程中什么时候就到极限状态不能到了，这是后杠，红线是临界点，后边现在是强对不对？
[22:20.570] 咱们看一下，
[22:24.370] 什么时候就不能到了
[22:26.550] 红线上食物，
[22:29.120] 再来一丁点，这就到极限距离了，您这杠现在离墙就这么样，
[22:33.400] 您在贴这杠就撞了，现在是墙回头换成大树，垃圾桶你能传过来直接那就是红线跟他平齐就是整齐，只要这红根量咱就不用说了。
[22:45.450] OK
[22:46.830] 停好车刚才说了归档P档是N一下列车就可以了，手刹自动上，
[22:54.220] 锁车离开就结束，
[22:55.840] 就不用以前手上一下了，没有了，都是电子的了。
[23:00.360] 上面的话都相对简单，这一行全是车辆的灯光阅读灯左侧
[23:06.980] 对应的您右侧这儿给您设了一个开门亮的晚上很有用，
[23:13.870] 关好自动熄灭，
[23:15.510] 包括车辆的前排照明，
[23:18.170] 这个是后排两侧都能独立开，上面都能
[23:22.540] 按完了可以注意打开，包括化妆镜，
[23:25.080] 这个不能动，这两个这个是御用紧急情况人员受伤，咱们再用平常咨询类的都是右边，
[23:34.040] 他有主动跟被动，主动您是主动咱自己去呼叫他被动是什么？
[23:39.730] 假设行车过程发生了比较重大的撞击事故，通过撞击力这根线会被自动触发了，
[23:45.690] 有可能您撞了车语音电话就会直接呼入车内行车电源状态，
[23:50.160] 是这样的情况。
[23:51.920] 三节免费，待会给您手机下一个软件，
[23:55.250] 以后这个车跑多少公里，剩多少油，破玻璃水的时候缺失，什么时候保养轮胎压力，
[24:01.860] 这车停哪了，手机上全能探，
[24:05.720] 它有定位的这边车。
[24:09.160] 天窗遮阳帘，咱就这一个案件往后投递一下，
[24:12.840] 先打开连，
[24:15.280] 这是个好事。
[24:16.960] 对，往上推是换气的一个状态，跑高速，你想创造器就这样。
[24:22.800] 第二项咱再往后就开始打天窗，找到合适的一个位置，按一下调整大小，
[24:28.820] 否则他就开到最大了。
[24:31.300] 对，反之的话咱们就是往前关两下，第一下先关川河。
[24:43.970] 这两点关闭。
[24:47.890] 说说您后排前面这两个分别是左后排左右门的玻璃和遮阳帘，
[24:53.470] 后边那两个，一个是上面的遮面，一个是后风挡的张联都是能控制左右，两边都是一样，您左边也一样。
[25:02.030] 然后阿姨您摸一下这位置，
[25:04.230] 莫向右边往前摸圆钮，
[25:07.110] 这圆角上有前后上下4个小凹槽，有钱别撒手，
[25:14.130] 这腰腿就往外顶了，上下前后调整着跑长途的时候，
[25:19.190] 会减少腰部很大疲劳感，托起来对上下也能挑在哪儿？
[25:24.740] 在这自己侧面特意看，对，您看
[25:28.540] 一他一按它鼓出来了，它能调整腰部，
[25:33.280] 帮忙涂着特别有用，就不用电电了，明白。
[25:38.460] 其他的也就没什么了，然后功能相对多，说一次能消化个30%，
[25:45.910] 待会您把我电话记了，后期用车哪有不明白的直接打给我就行。
[25:51.410] 行，然后两个钥匙都给您拿过来，咱下车给您试试，要是后备箱里有些东西给您做个轻点，
[25:58.520] 列车您按一下启动键就行，行，这我给您都试一下。
[26:02.710] 来。
[26:13.290] 开始忙了。
[26:16.060] 对。
[26:17.440] 功能更多。
[26:20.840] 先说一下，您两个要是都试一下。
[26:24.140] 第一把钥匙这是锁车键按一下，
[26:26.960] 有声音转动调三下就代表锁好了，这是一把。第二把
[26:33.320] 开锁
[26:34.580] 以后这要是不用拿出来装在身上包里带着来。
[26:39.090] 这4个门把手上都有1个小凹槽，看到了吗？按一下。
[26:43.140] 锁车。
[26:44.660] 开锁的钥匙一。
[26:46.240] 一进到手往中间一哥
[26:47.950] 自然就开了，就装在小包里带着就行。好，
[26:51.750] 油箱盖必须在开锁的前提下按一下就打开了，
[26:56.810] 直接拧开加就行，95号油
[27:00.080] 如果是锁车的状态，
[27:03.440] 这叫所索了送不了，他跟开个门是一块联动的。
[27:08.480] 做卫星。
[27:10.010] 最下边的您长按独立开启，随车的话三脚架原车是。
[27:16.140] 自带的。
[27:16.960] 这车咱是没有备胎的。
[27:19.520] 第一拖车钩射影空间您储物用。
[27:23.350] 没有工具，没有这里面试，因为没有备胎就没有工具。
[27:29.170] 苹果安卓数据线各有一根直接能用。
[27:33.040] 这个是保养信息保养要
[27:35.530] 车的说明书，到了救援指南秘书连介绍都在这里。
[27:39.970] 还有的话，
[27:42.200] 急救包、绷带、纱布、剪刀、小意外临时应急使用，
[27:46.510] 荧光离救生衣，这跟交警的反光背心这次晚上有事故起到警示作用。
[27:51.860] 除此之外的话，
[27:53.640] 这个就放在这里，对随车的这都是您需要云车贷的。
[27:58.150] 和
[27:59.610] 纸质的东西在不在无所谓。
[28:01.990] 回头聊天就行了。
[28:04.070] 来咱们。
[28:04.980] 进屋
[28:05.820] 这个是电尾一下就可以。
[28:12.460] 来。
[28:22.130] 快。
[28:28.070] 的。
[28:31.330] 需要用功，你们交了吗的？
[28:37.880] 拿
[28:39.410] 现在
[28:43.030] 中心检测
[28:44.220] 所以。
[28:45.320] 这块的话第二点就是
[28:48.360] 国家一分不少，
[28:49.460] 直接拉到年。
[28:51.000] 人来这块的话您这边听一下，您说实在的，截至去年来说的话，您这块加上03年哪里行没问题。
[29:00.700] 没事。
[29:06.330] 所以我跟您说完注意事项这块，我们一会给其妻子咱们那边坐。
[29:11.040] OK我们要贯彻，只有这两台电脑可以使，等一下等背着走。
[29:18.090] 我不知道你要到哪儿吧。
[29:22.030] 说
[29:24.190] 这个应该是
[29:25.890] 然后再销售的，没事，我的手拿上那边发拿着手机上网26号。
[29:35.640] 来您
[29:37.870] 因为。
[29:42.830] 我能给您下激活那个功能。
[29:47.690] 回头咱这新车刚开始的时候不要太快，车速别超120，
[29:52.690] 发动机的转速不要超3，
[29:55.170] 前1500公里尽量做到平稳驾驶，少急加速急刹车，
[29:59.930] 出了1500公里正常用多久了？
[30:02.520] 办公机的话出场都是冷磨过的，不太需要您去磨合。
[30:08.720] 岳女士您不是军人是吧？
[30:11.590] 不是军人好勒。
[30:18.920] 留个您的电话。
[30:21.330] 138001087892。
[30:31.400] 你留下的
[30:32.520] 0.30。
[30:35.290] 给您手机马上会发一个短信，里边有一个6位数字收到您告诉我一下。
[30:53.930] 121506。
[30:56.630] 好。
[31:02.660] 的
[31:06.670] 6
[31:07.710] 三
[31:14.450] 三
[31:21.360] 据说
[31:26.340] 也
[31:59.710] 三
[32:02.280] 谁知
[32:10.780] 的
[32:14.190] 您手机发了一个机会。
[32:25.440] S直接下一个。
[32:31.410] 到
[32:42.480] 住的离这远吗？
[32:44.560] 不远那。
[32:45.850] 以后保养的话。
[32:47.900] 厅南边的一层。
[32:49.660] 走到头右转就是售后，
[32:52.880] 以后的话咱们来提前一天打个预约电话就可以，这样的话比较节省您时间。
[33:19.320] 这款正在
[33:20.700] 等等。
[33:44.060] 身份证您这样拿的需要拍个照片，口罩您要临时摘一下。
[33:48.640] 这是对实名制了这是。
[33:52.240] 数据、
[33:53.420] 数据。
[34:01.130] 数据。
[34:05.320] 打着了。
[34:09.500] 中。
[34:13.430] 可以了。
[34:19.120] 使用。
[34:21.030] 数量
[34:26.120] 场地没有
[34:29.950] 提高，
[34:32.160] 不知道做啥。
[34:34.050] 你别闹我给你的怎么没有？
[34:36.640] 偶有一个写着张勤签字金融的怎么可能没有，你看翻反面有没有？
[34:42.520] 我给你两张单子都是刚复印的。
[34:47.360] 宏哥我印完拿出来的不可能测。
[34:50.400] 我跟他们周旋，对。
[34:53.780] 谷歌你好好找找，我手把手给你的两张单子都是我刚刚从的那印的，我刚领了二把的。
[35:01.450] 我也你昨天就会了，今天要不要教会了，中间没劲了。
[35:07.320] 小凤。
[35:09.360] 1048客户来了，一会交。
[35:24.040] 面访。
[35:25.920] 行，我下午40696，谢谢。
[35:29.180] 好的，没事拜拜。
[35:33.800] 您打开刚才那女孩给您下了软件记得吗？
[35:38.390] 然后您打开那个软件就行了。
[35:41.410] 还没登陆，对现在。
[35:43.810] 登录
[35:50.820] 二。
[35:51.530] 第一行。
[35:55.240] 加号软件数字86，这是中国区将您电话。
[36:00.810] 电话对，您电话号码手机。
[36:04.480] 你抓住了是什么
[36:06.530] 了？
[36:09.790] 密码
[36:11.510] 密码。
[36:12.750] 大A小A
[36:15.570] A123456
[36:18.080] 直接登录就行了。
[36:27.770] 的
[36:33.500] 我没人家都吃饭去了，你打电话这样这个车已经进来了，明天这一行里这车所有的数据在这。
[36:42.000] 都看见了，别的没发。
[36:44.310] 明天就是后台实名，你审核通过以后数据才能同步，
[36:49.600] 现在实名还没做，我这个客户再重新下一个梅C的安卓的软件怎么下，哪个二维码在哪呢？
[36:56.130] 那就不用管他了。
[36:58.610] 对不用管了。
[36:59.300] 了。
[36:59.870] 弯了就行，退出明天就行了。
[37:02.390] 中奖
[37:10.350] 密码，
[37:11.160] A小A123456，平时不用您有需求的时候。
[37:16.970] 您可以看看。
[37:18.580] 我就放在别的软件可以
[37:28.160] 是的是为什么卖出去了，车间没电了，
[37:35.440] 你肯定给我两个单子，我都拿在手一直拿着，那不对，那肯定是一个瞧一个
[37:42.770] S680的你给我单，
[37:46.350] 绝对不可能。
[37:48.360] 我从秋哥我从哥那打印机里印，完了，我拿出来连着两张，我给了你，我出门还看了一眼，
[37:56.330] 不可能错的。
[37:58.940] 的。
[38:04.160] 还有什么客服马上下来。
[38:07.020] 给您做个面访，然后您签几个字。
[38:11.130] 脚垫什么的小店，一会我马上就给您送车间庄去了。
[38:15.480] 您不用管需要多长时间。
[38:19.620] 二罗马其实就跟变了岳女士本人吗？谢谢给您保留
[38:27.120] 在咱们的
[38:29.710] 美娟了。
[38:32.110] 刘美娟的。
[38:33.600] 所以
[38:39.550] 的
[38:46.550] 可以给您做一个简单的
[38:52.590] 人家都栋梁，咱这就缺乏的。
[38:59.670] 一个人的
[39:02.170] 当然你可以把特别大
[39:05.760] 那个人其实
[39:08.200] 非常可能情侣的或者是吧。
[39:14.020] 行女士感谢您在咱们这个车了，然后拍摄去您的名字这一下是吧？139010294124024号，自然需要购买的是300分之，然后小孩对销售本次督查咱们的谁知吗？1~5分1分都
[39:31.130] 给他们，说您说我他们也一样，
[39:33.390] 你画等等挺好的，正常的感谢下来了，这回来咱们就说是回来咱们见的还是朋友之上。
[39:42.930] 来了好几次了，都是别人介绍吗？是不是？我自己找还是得靠自己找来的，怎么要？然后平时咱们用车是一年或者是1万公里的房子直接送到为主，按照车辆就行了。
[39:56.190] 然后您平时还有什么爱好吗？
[39:57.820] 咱们去然后
[39:59.750] 旅游度假看到了，
[40:02.550] 好吗？
[40:04.910] 等等你如果要求，但是现在您对可以先写一个，因为咱们客户还有什么好活动，到时候都可以了解一下。
[40:15.510] 大学生是你是说吗？您是怎么的？
[40:19.030] 我是服务行业，越是复杂的再细一点，对，比如说咱们自己
[40:25.650] 酒店，
[40:30.040] 然后在咱们没通话，
[40:32.290] 把您可以扫描，比如说今后这个是我们的研发，比如说到了晚上的是吧？所以说一个保养不动费用方便好看，您好
[40:45.110] 也好，
[40:47.590] 在极端
[40:48.750] 右上角简单
[40:50.360] 他就要买了就吱声，然后到时候就可以
[40:53.750] 点保存，就在微信里找他就是不在微信里在手机通讯录里边了，然后在手机店他只是用微信这个途径去，
[41:01.230] 然后再放进森林资源，
[41:03.200] 谁知
[41:04.970] 对着手机东西过去了，找什么反正孩子列
[41:10.110] 往往
[41:11.420] 行没事把这两个都分别扫，所以我们可以把这是我们维持的动画最后变成了什么？动态的问题。
[41:20.920] 你俩的中别吵一个到后面。
[41:25.070] 137。
[41:27.520] 9，
[41:30.200] 但是
[41:32.160] 百得利之星这是我们店的微信30万，
[41:35.880] 我点一个就行了，好等你找一个先扫一下的发展我观众他打了
[41:41.410] 要关注的，因为我可以去
[41:44.250] 你这边先放着，我觉得还是回家吃饭。
[41:49.980] 2000万只要在这没得这2:30开始把那卡先你晓得吗？
[41:55.710] 对，等会一会再等一下安卓吗？这就是。
[41:59.520] 行着急的事，三块钱，还有两张不着急，八戒人家在
