[00:01.100] 为什么？
[07:47.290] 也是目前造车领域来说用的屈服强度最高这一块，你们可以看到后面有一个股价的一首是我们为什么想投？
[07:54.870] 因为看中了它的安全，
[07:57.680] 其次的话还有很多电子方面的安全辅助系统，像沃尔沃，
[08:01.820] 有听说过沃尔沃
[08:03.420] 自动刹车之类的吗？
[08:04.950] 听说过是吧？
[08:06.070] 沃尔沃全系标配相对是座60公里自动刹车，
[08:09.560] 这是沃尔发明的相对时速60公里，
[08:12.210] 可以最大程度避免与前车发生碰撞。
[08:14.830] 而且不仅是针对于车厢长，咱们城里边用车的话针对于行人、
[08:18.910] 自行车、
[08:19.810] 大型动物，
[08:21.110] 它都可以识别到，并且实现家庭，这是在紧急情况下可以救命。
[08:26.300] 还有很多新的黑科技什么紧密相辅助对方长城片之类的都是标配。
[08:31.800] 看到这个题目听课内容真去了，
[08:36.780] 在婷婷也是警车，
[08:38.720] 停车外警车。
[08:40.790] 整个停车位没问题，我们院里边中地位都算比较小的。
[08:45.110] 其实你看的宽畅
[08:47.910] 了，
[08:49.220] 这个车
[08:52.910] 这个整车，然后4988可能给展厅显得大，您到外边他其实没有咱们正常的家用的轿车床，因为叫他IP股，
[09:02.410] 要是给高杰了
[09:04.690] 了。
[09:07.210] 而且您在车里边坐没什么忘，
[09:09.400] 沃尔沃不是所有车里边最环保的车，
[09:11.950] 审查，
[09:13.640] 这就跟奔驰宝马完全不一样了，
[09:16.110] 向她做一个铜钱，通过车与评估全都是彩色纯植物纤维的，您家里边有小孩多大？
[09:22.370] 三三岁比我儿子大一岁，
[09:25.170] 我儿子两两两岁半了大半岁，
[09:28.980] 想给他们买衣服都知道，
[09:31.030] 最好的面料叫婴儿可直接触及别的面料，也就是咱们所谓的A级材料，沃尔沃整车的纺织物权都是采用的基本面，
[09:40.350] 沃尔沃能给您保证的就是百%车内污染，
[09:44.960] 所有的这些金属的工作圈都是通过防重金属泄漏处理过的，
[09:49.570] 座椅的皮子都是无坐收视的，
[09:52.660] 从根源上面就杜绝了污染，
[09:55.450] 更别说他什么空气过滤，话筒过去过敏源过滤这一整套的玻璃系统，
[10:04.310] 这到屏幕的Volvo，其实很多黑科技他们都
[10:08.500] 广告上面看不到
[10:09.910] 这个屏幕，你可以说可以上车感受一下，这个屏幕是目前车载屏幕里边可以看到最高的，
[10:15.180] 它的触摸的灵敏度，还有精彩程度是所有车里边做的最好的，她跟咱们用pet是一样的。
[10:21.160] 是。
[10:23.730] 而且可以给你打开发动机盖，你可以看到它的发动机舱，
[10:40.200] 因为沃尔沃是瑞典的一个汽车品牌，瑞典人他的工业设计水平是非常高的，
[10:48.630] 可以摸一下，感受一下。
[10:51.300] 很多人好玩车号改车的，
[10:53.710] 喜欢买完车之后给车辆加一个横的的，会携着稳定之感增加车身的稳定性，高速转弯侧倾会比较小，
[11:00.800] 没有一个车出厂就给你加了一圈了，顶多的是给人家一边向宝马是加一边，
[11:06.670] 沃尔沃是出厂就给你夹着一圈，
[11:08.860] 从最里边
[11:10.200] 到外边你可以摸一下多厚？
[11:12.450] 摸一下。
[11:15.000] 隐藏式的强力加强筋，
[11:17.200] 能最大程度增加车身的刚性，高速转弯侧倾比较小，而且这相当于第二道防撞梁。
[11:22.820] 因为发动机是整个车最贵的一个部件，它也能起到一个保护发动机的作用。
[11:30.500] 说这么多带驾驶本的吗？可以邀请您进行实时价，因为光看的话只能看看它的外观，看看他的设计，
[11:37.760] 不管您最后买什么车，一定要提前试一下。
[11:40.830] 在家在车里边，
[11:43.430] 如果有时间有兴趣的话，可以给您一带个私价，是的。
[11:46.920] 可以开一是吧？
[11:50.160] 优惠了4:30。
[11:53.430] 3点时。
[11:54.640] 还行还来得及。
[11:56.550] 试驾就试驾一圈，行行，我先把衣架核心要素。
[12:08.090] 我先问一下夏天见不见行了。
[12:12.840] 现行是吗？
[12:15.730] 对行行报警，好行行，咱们改天有时间再过来是吧？
[12:21.550] 我简单给您算个价格，我需要喝什么的那块把手矿泉水，让他小姐那个不用，我给你拿彩页介绍咱
[12:30.470] 采用
[12:32.050] 拿着是吗？行了，您咱找着坐一下给您查价格。
[12:39.210] 您不行就在那边。
[12:48.760] 完美的蓝莓的密采流程，有P用又不买车，
[12:54.370] 车刚
[13:30.910] 再。
[13:32.010] 我用我送过来，谢谢，可以用吗？
[13:35.960] 这座。
[13:38.520] 来看
[13:39.680] 爸爸
[13:40.840] 看。
[13:50.320] 看咱们共享算哪个配置的需要中配的还是要标配的。
[13:54.460] 看看运动款的，还有运动场的用款的比较少，
[13:58.910] 运动款的车型都比较少，
[14:01.200] 是什么意思呢？
[14:02.180] 有点儿运动款厂家产的比较少，产能比较少，
[14:07.730] 就是说它不是大众的。
[14:10.430] 对，它不像豪华款卖的这么多，但运动员也会什么意思？
[14:14.960] 薄款的还有白的，要么杀的这两个颜色居多，偶尔会有那种松林辉的，
[14:20.490] 门口松林灰的，
[14:22.080] 包括这种棕色的，偶尔也会有车。
[14:25.250] 对，棕色这是
[14:26.790] 治愈的。
[14:28.670] 不是要花费。
[14:30.350] 是的，有事说什么，谁知
[14:36.010] 我按照致远算，反正因为他号款运动款价格都一样，回头回去在考虑还要好看或者说运动。
[14:42.720] 现在没这方面对飞机能够行行我按照
[14:48.400] 最低价给您算，
[14:53.280] 现在能够汇87,000。
[14:58.470] 所以这些跟程序报案7
[15:02.860] 332900再减去个12,000，
[15:07.210] 在整个一万二五，
[15:09.890] 投票的二三120,900。
[15:12.580] 不是150一天。
[15:14.520] 12,000。
[15:15.810] 12,000它分不同的品牌，本品或者说竞品不是一
[15:21.470] 一品置换的话，
[15:24.350] 非沃尔沃的车是12,000，
[15:31.240] 这都是厂家统一的。
[16:01.630] 咱们考虑全部能考虑分期。
[16:05.670] 放权。
[16:07.300] 行，反正分期的话现在是2000.7可以首付，20%带802000%点。
[16:16.930] 这算旧车折价算准了，给您减了一个额外减了个12,000，
[16:22.990] 剪完的话开票价格是320,900，
[16:26.000] 用开票价格除以11.3是你购置税的金额，这钱是交给国家的，
[16:30.740] 保险的话大概就1万块钱左右，
[16:33.900] 到时候已经自然选择显示为准，保险都是全国统一的，都是83折第一年险种的话我们这也没有强制要求，
[16:40.650] 到时候您自个选就行了。
[16:42.490] 验证单保费这都统一都是3000，
[16:45.050] 包含您所有的后续的名牌的所有的费用都在这里边，出库费之类都全在这里边。
[16:50.550] 可用完了。
[16:51.880] 直接所有的车您肯定都得办金牌，得开车去。
[16:58.380] 前半期的话362,000，
[17:05.000] 确定不做分期，因为分期现在很合适。
[17:08.160] 那车大概到时候再对您确定好什么时候用车，因为二手车的话估值只给您保留7天。
[17:16.150] 对，您二手车它是持续在贬值的，是在再减去的时候车的钱对，
[17:26.140] 假如车值20万，那就得减20万，就是10 10 10万就捡拾了。
[17:30.820] 不太了解，想跟您说一下，想了解一下。
[17:33.620] 就是运动版。
[17:35.390] 现在豪华版我们就是说购置之后没有什么，比如说在维修没有任何区别，因为他的东西都一样，
[17:45.340] 不会说因为他运动馆出的少有的价值都一样，他所有的零配件都是一样的，
[17:51.540] 他只是说我说的这点，只是说外观颜色这种设计也不一样，
[17:57.010] 内饰的对他运动型座椅跟正常好书是硬座也是不一样的。
[18:02.380] 除了这点差别之外，其他所有东西全部一样。
[18:05.770] OK就是主要的你们其实都一样，
[18:10.800] 但是运动款买的人少。
[18:13.430] 对。
[18:16.850] 其实看每个人对车辆的需求不一样，因为它运动的它基本上都是这种蓝的。
[18:22.530] 运动版来说可能说
[18:26.000] 外观上运动变对吧？但是其实内在发动运动都一样动力，那都是一样的建设，
[18:34.060] 感觉让他就是说白了好听点，叫你花同样的钱给你第二种选择。
[18:42.070] 明白我讲
[18:44.230] 动力更强系统。
[18:46.250] 其实你要是要说买的时候看以后问题，对就投保了，颜色我觉得好看吗？
[18:56.480] 对吧？
[18:57.960] 床板傻蛋，其实说实话，我不太喜欢他里实木的那种，
[19:02.780] 所以风险高大上，但觉得特别老气，一个人一个眼光这东西也很远，您这车没
[19:10.230] 没有像就是说强制没有您说咱们隔壁奔驰或者奥迪保时捷之类的，没有咱们的沃尔沃的话是比较人性化的，如果说你有这方面的需求，可以
[19:22.370] 佳能加工什么
[19:24.480] 其他东西看您想要什么东西。
[19:27.060] 如果说您是想要贴膜，咱们膜的话有三种，
[19:30.780] 有怕累最顶级的帕雷迪的毛，可能园区里保时捷的车主或者说买奔驰高端车型的车主贴的比较多，
[19:38.270] 从15,800~36,800价格不等，价格
[19:42.110] 算是比较高非常高，也说白了怎么说拿砖头砸现不落。
[19:49.780] 那种
[19:50.760] 防护特教特种防护膜是防偷的，
[19:54.580] 那是有钱人的事，跟咱没什么关系，正常的话可能沃尔沃或者奔驰奥迪做的比较多的是威固膜，
[20:02.370] 一套Y就是我们先不说院里边多少钱，
[20:06.900] 您自个去外边贴一套微不像咱们做的比较多的效应，留7160的基本上在5
[20:13.060] 5000块钱左右，
[20:14.340] 店里面贵点七7千八一套，
[20:17.060] 但是我们套餐
[20:18.860] 7800一套模的话，会送您脚垫、后备箱垫、行车记录仪，
[20:24.640] 三封邮件。
[20:30.220] 对。
[20:31.440] 号套餐。
[20:32.900] 买膜送其他的
[20:37.430] 买车了还送
[20:39.480] 我们
[20:42.880] 看个人
[20:45.650] 就没有其他优惠了，价格对目前的价格就是这样。
[20:49.790] 你在您花假如您买个奔驰，不知道您要对比其它品牌的车友有没有对比？
[20:56.980] 您花再多的钱你买不到沃尔沃它这些核心能源科技，包括它的环保的东西你买不到的，
[21:03.310] 各有各的特色，对。
[21:06.040] 肯定选她就是看中了这些。
[21:11.030] 好让他拿过去。
[21:12.600] 回头有时间的话，
[21:14.360] 有时间咱们感到
[21:16.780] 今天是周几，今天周二，
[21:19.450] 别周二来周二限行，这段时间抓别周二来就行，您哪天有时间您再过来一趟，到时候给您安排试驾，让您深度体验一下。
[21:27.790] 贷款的价格。
[21:28.940] 贷款和全款价格是一样的，他只不过说是免息，但是免息跟免息对他有1个贷款额4个点的1个金融服务费，
[21:37.250] 最少的话6000，
[21:39.530] 大概
[21:42.400] 多加6000块钱，
[21:44.420] 用了两年两年多到6000，
[21:47.990] 但是你带的比较多，
[21:51.130] 你贷8成，
[21:52.520] 这跟中国银行的合作
[21:54.280] 必须得办。
[21:55.720] 我在8层
[21:58.630] 你带少了没有意义。
[22:00.620] 你带少了的话，因为免息的它不是有利息。
[22:11.790] 首付这块
[22:13.520] 6万多块钱。
[22:15.080] 首付6
[22:17.070] 在256,000，
[22:22.870] 月供一个月还1万多块钱。
[22:56.840] 您看一下。
[22:59.080] 首付6万多14,000，
[23:00.860] 贷款贷256,000，
[23:03.040] 直接除以24，就是一个公用的预期。
[23:06.080] 服务费的话
[23:07.600] 6000，
[23:08.700] 正常的话应该是贷款的4个点就1万多了，
[23:11.880] 可以按照最低的6000块钱的一个服务费来说去。
[23:15.590] 您首付的车款单、服务费、购置税、保险验车全办齐了，
[23:19.650] 11万一交完这个钱之后，每个月核心控就OK了。
[23:23.400] 不是等于说我比多多花多少6000就有钱。
[23:28.440] 对，您要是做个理财的话，一年的钱就回来。
[23:35.430] 这样首付11万。
[23:37.530] 就完了，对首付6。
[23:40.630] 指标人在指标在谁名下呢？
[23:43.280] 在哪里？
[23:44.380] 能问一下您二位这个是什么工作单位吗？
[23:48.730] 因为有一些特定的职业，
[23:51.000] 像三甲医院的医护人员或者说是
[23:54.560] 社区不是或者说去武汉的员额的医护人员，
[23:59.520] 没有，
[24:01.290] 还有一些特定的单位也会有额外的
[24:04.160] 政策，像中字开头的银行的，
[24:06.920] 有吗？您什么单位工行是吗？不看看。
[24:12.370] 应该有。
[24:13.590] 工行。
[24:14.840] 是工商银行是吗？对。
[24:17.720] 工商银行我看看。
[24:19.750] 我查一查。
[24:27.240] 指标在谁名下，在您名下吗？
[24:33.160] 这只跟中行的分期合作，
[24:36.710] 只有中行的
[24:38.400] 是首付20%带80%，其他银行的话，
[24:43.100] 像我们合作的有中行、有平安、有招行，
[24:49.190] 没工行就主要这三个。
[24:53.990] 然后其他的都是首付60%带40%亏的。
[25:01.840] 我觉得这句话
[25:03.870] 的
[25:05.290] 贷款。
[25:07.910] 对。
[25:12.300] 这边环境不错。
[25:18.630] 而且你还有一个景点，
[25:23.330] 工行怎么没有呢？
[25:26.790] 翻了这么多民生都有上海银行，
[25:30.500] 您渤海银行、
[25:32.960] 农行、广发、
[25:35.860] 中国、
[25:38.970] 招行。
[25:40.120] 哪三宝？
[25:41.100] 平安。
[25:46.760] 怎么就是没有中国
[25:51.820] 估计肯定就是中国大客户部号，
[25:56.630] 因为这都是作为员工福利疼，可能中行要求的比较多，
[26:02.120] 就中行没签。
[26:05.440] 工厂没有，对。
[26:08.180] 你可以看一下没事了。
[26:11.500] 没事没有就算了。
[26:13.520] 有历史跟百度位置。
[26:18.100] 这是厂家的厂家的所有的就算没给我们把这里签的，他我们这上面也会有，
[26:24.360] 还有仅限的一些这些有优惠的
[26:27.690] 5000块钱，
[26:30.200] 青田好。
[26:31.280] 你去了挺好的。
[26:33.240] 应该
[26:36.370] 有可能沃尔沃没有签，可能跟其他的品牌
[26:40.400] 相应。
[26:42.160] 因为它是品牌的，我稍等一下，我再确定一下。
[26:46.190] 等我两分钟。
[26:55.810] 王宁。
[26:57.300] 银行你送过那边云海360，
[27:02.110] 验车前那桩事都做好了，你可以取车了。
[27:06.900] 了。
[27:08.180] 云海帮我取个车。
[27:11.040] 车。
[27:20.870] A
[27:21.720] 谁有新的大户名单，工行算算帐算账，
[27:26.160] 工行算什么？
[27:28.230] 确定我办了一个了都。
[27:31.750] 5000。
[27:32.770] 总行直属别是支柱是吗？你招商是哪个红糖不对，
[27:38.690] 你还没想好，
[27:45.160] 它特殊。
[27:47.320] 幸好我问一下工行算特殊大客户也是
[27:51.050] 他没在名单里边，但是术士是大户我们同事已经做了一个了，
[27:56.230] 店面千5000 5000 5000优惠千5000，对了再减5000。
[28:01.320] 是的。
[28:03.570] 工号三口。
[28:05.510] 还要再减个5000。
[28:09.850] 工行
[28:11.130] 你车头再折点34.3。
[28:14.150] 城市
[28:15.770] 万的
[28:18.450] 换得很快的换到奥迪是他是
[28:23.310] 10点买的要慢慢的，
[28:26.970] 完了主要是4万，反正
[28:31.400] 每个车子不一样，每个品牌每个车的车况、年头、使用年限，
[28:39.310] 包括你的公里数，
[28:42.380] 都会影响你因素很大号码。
[28:45.920] 拿红色道袍卖马六对吧？马六的红色是最好卖的，它是可以跑婚庆，对，好多外地婚庆公司都专门收马自达，红色的就搞婚庆。
[29:00.980] 还行。
[29:02.000] 行行行，回头的话有时间的话咱们您再过来再试个驾，方便加个微信吗？
[29:08.850] 行，后续您要说过来叫是假的话，您到时候微信跟我说一声就行了，您看您方便那张纸，我愿给您拍照片的，因为都是本，好的，我扫您找我。
[29:19.690] 找我行。
[29:22.090] 然后正好扫一下他。
[29:24.800] 下台行一会给您发。
[29:28.220] 怎么从您来这请过去了，您先听。
[29:37.370] 您是今儿休年。
[29:39.140] 对，休息。
[29:40.360] 就送我们都从
[29:43.000] 从月月初好停车到现在
[29:45.820] 这边来。
[29:48.810] 说实话，
[29:50.020] 正常按照以往年出来或七八月份算是淡季，
[29:54.470] 传统的蛋蛋不是憋坏，但是因为是从刺激性消费，这两个月卖的都很好是吧？
[30:03.810] 谁知
[30:06.980] 出去玩的钱
[30:08.970] 还是
[30:11.330] 的。
[30:13.280] 豪华版有红色的颜色吗？
[30:18.220] 有。
[30:19.330] 不过但是这个颜色比较少，
[30:21.410] 正常的话基本上都没有这种颜色比较少。
[30:24.390] 好了，微信扫一扫。
[30:26.440] 我们看上两个就一个，要不然豪华版要不就是运动还可以用看。
[30:32.240] 反正就是说把这两颜色各有各特点，你要想个性一点，
[30:38.020] 他们很少有跟你同样的车比较少，
[30:43.310] 反正看着就行了。
[30:46.410] 把
[30:48.270] 扫完之后把存折号
[30:56.480] 早上听一下吗？好了看看。
[30:59.340] 来我们看一下，我们拍了发微信了，对没事半年了。
[31:05.970] 而且也不行，达不到刑事也可以，周日也可以试驾，那会肯定是不限行行。
[31:12.560] 慢走行行好了。
[31:17.910] 怎么了你说。
[31:20.150] 走访完就行了，关了就行了。
[31:22.560] 杰出。
[31:23.560] 15分钟之内必须得离场了。
[31:40.050] 不是里面每次交完车都会有个点评，
[31:43.150] 他全都打死。
[31:44.840] 然后民警问他为什么他就说。
