[00:00.000] 开始驾车开始教车开始倒车，还得签协议。
[08:40.140] 这是我到哪去查，我一会我帮你查行，我先跟你说保养好吧，你
[08:46.620] 明天做完了还忙着。
[08:48.690] 你上不上空间吗？
[08:52.830] 必须的，那就这么着。
[08:56.240] 从这左拐再右拐右边。
[09:03.900] 根据您的车来看，您基本上是一年也就11年报一次差不多。
[09:09.830] 谁知。
[09:14.390] 对
[09:16.630] 三。
[09:17.830] 好谢谢，好的。
[09:48.110] 2万多块钱。
[09:49.080] 没问题，不用看，这是代码不？
[09:52.480] 客户代码我选择的。
[10:53.950] 没错。
[11:02.340] 大
[11:10.490] 的
[11:13.070] 数据
[11:14.800] 的
[11:18.550] 的
[11:27.460] 五
[11:30.040] 坏。
[11:45.440] 好。
[11:49.300] 数据
[11:50.760] 数据。
[11:53.080] 这个是不是我们其他证明之前不一样？
[11:57.800] 到公司的话，
[12:01.210] 您说一下给您推荐是咱们奔驰的4次保养款，
[12:07.090] 一共是4次保养，
[12:09.080] 如果您买一张保养卡，这4次保养是免费，
[12:12.530] 包括第一次第二第三季度的，因为您基本上一年一年保养一次对吧？
[12:18.960] 然后这些项目都是基础包含项目，
[12:21.740] A宝含有两次A保，比如这次就是A
[12:25.240] 第一年第三年
[12:28.010] 第5年这种的基数都是A宝偶数的，比如说二字是属于B宝，
[12:34.080] 明白吧？宝贝，我跟你说往下说还含有两次B宝，A宝是机油或几率，必保是机油机滤跟空滤，你看他俩就差一规律，
[12:44.560] 因为空兵每次必保的。
[12:46.490] 明白。
[12:48.880] 然后空调滤芯两次，空调滤芯也没法通过，每次都是B宝宝的
[12:54.690] 2号能有4次水箱外部清洗，水箱外部接近，我们是每年都进行一次水箱，
[13:02.180] 因为他保证发动机太热，因为它水乡
[13:04.920] 可是要风冷来散热的。
[13:06.930] 还有两次空调的风道清洗，每次必保换空调滤芯同时进行经常碰到。
[13:12.140] 然后每4万公里的时候您发动机换活塞，
[13:18.050] 总共是6481块钱。
[13:20.320] 你能省多少钱？
[13:21.460] 您能省1450块钱，
[13:23.910] 明白我的意思吗？我6980 6400
[13:30.470] 14004年的就对5481那一年就是说
[13:37.720] 三年是吧？您算一下6481÷4，
[13:46.890] 三六百二十块钱，这样三六八十块钱和这差不多，不管不等的话，这个金额加1750。
[13:55.140] 您算一下。
[13:59.690] 不少差不多您4年得8000块钱左右。
[14:02.850] 20分要是一年要是我今年比如说今年的话，你就换一次。
[14:12.130] 5128。
[14:14.600] 我跟你说，
[14:16.020] 其实你不能这么算，因为他每次B保养是大保养等于保养小保养。
[14:20.680] 因为你看B保养的内容多，D保养的内容只有
[14:26.930] 在4万公里的时候还会换火花塞3万公里的时候，
[14:30.990] 所以第一次小保养，咱们建议您换一下机油机滤，
[14:34.760] 清理一下水箱外部，
[14:36.510] 是这样一个情况。
[14:38.800] 如果说您准备长期去使用这台车，也就是4年之内不换车的话，
[14:43.630] 这还是比较优惠的一个报告。
[14:45.990] 这款套餐都是奔驰厂家的，
[14:48.180] 除了这个服务之外，我们还给您提供一个免费使用车的服务，因为您已经在我们这电运行了保障卡，
[14:54.770] 比如说你不想过来做保养，我们可以待嫁给你娶回来，做完给你送过去，就再加上免费的，
[14:59.700] 让我们本之根一带大合作，
[15:01.840] 都是自己做。
[15:03.750] 跟E代驾合作，我今天如果这说您好，但是基本上没就这样的话，今年又做个小保养是吧？
[15:12.060] 对DC的，对你做一个医疗医保的机油机滤，把水箱清洗一下。
[15:18.870] 跟两项是吗？
[15:22.450] 两相对。
[15:24.350] 还有一个机器，
[15:27.240] 是不是还要看看有没有什么问题了，来了检测我们都是每次保养都给您做。
[15:33.950] 对于您来讲，因为你跑的比较少，都是基础保养，
[15:37.860] 这是最划算的一个套餐，你要是跑的多的客户就不给她推荐这个东西，因为他这个东西他可能跟
[15:43.670] 国外付其他的费用，
[15:45.690] 比如说他可能要换刹车片乱七八糟这些东西，可能会产生其他的费用知道吧？
[15:51.140] 像您这种客户基本上就是基础保养，
[15:53.460] 比如说你有额外的需求的话，你再付其他的。
[15:57.230] 是这样吗？
[15:59.100] 还有什么一般的保养，谁知。
[16:01.850] 没有，这是一个厂家的保守的，就这。
[16:06.650] 不是我看到这个东西了，还有什么别的需求，我们举个例子，比如您在
[16:12.970] 在6万公里的时候，
[16:16.400] 换变速箱油，
[16:19.560] 这得3000多块钱，
[16:21.440] 3000多的。
[16:23.120] 还有一个每两年
[16:25.570] 换刹车油，
[16:27.680] 这东西也就是制动液。
[16:30.210] 农业应该便宜460多块钱，反正468，
[16:34.600] 然后换刹车片，刹车片就因为你跑的少，可能一时半会也换不了，可能一般都在四五五万公里左右的。
[16:42.860] 反正我1000多1300多块钱前面的，
[16:46.420] 然后后边差不多有1300多块钱，
[16:49.320] 也基本上就是你用车的费用也这么
[16:53.030] 完了等再说说到七八十公8万公里了，
[16:56.570] 指不定到几年之后了都。
[16:58.770] 80公里可能换皮带，
[17:02.410] 你看您老司机应该都知道替代的，
[17:05.350] 没别的了。
[17:07.300] 有了这么多东西。
[17:09.630] 当然咱们质保期是三年，当你三年的质保期，
[17:14.030] 你也可以选择延保，我们延保也送保养。
[17:18.800] 联保新车应该有三种方法。
[17:24.040] 咱们还有意思吗？
[17:27.560] 延保质保期是你车出现问题免费给你修车，比如说你的扶手箱打不开就是个问题，
[17:34.670] 就免费给你。
[17:36.380] 还没交出来，你要改没交，没车交到我这。
[17:40.130] 你等等一会给你打电话。
[17:42.370] 免费修车这样的，然后但是质保期是三年，他可以延长，
[17:51.260] 你也可以选择延长一年，
[17:54.050] 也就是你只有4年的质保期，
[17:57.740] 延长它有一定费用，但是我们延长质保送次保养。
[18:02.440] 明白说话了。
[18:06.080] 您赔多少钱就要赔4万4万块钱5万块钱。
[18:18.280] 的。
[18:22.180] 您要换车吗？
[18:25.160] 你要换车吗？
[18:27.080] 要出三买了。
[18:29.480] 你要换C单买没？
[18:31.290] 没什么太大改变。
[18:33.060] 2.0T跟1.57的
[18:35.210] 他们别的啥也不差。
[18:38.810] 要赔这5万块钱，
[18:41.460] 何必
[18:56.140] 这最小的了，飞机吗往大点就一级了就不
[19:02.770] 这样。
[19:04.360] 你不能越换越便宜，换成A级了。
[19:08.150] 没有。
[19:10.980] 配置高了吗？
[19:12.800] 的。
[19:14.680] 没有C级，E级非所以咱买2.0G但是你现在要把这车换掉的话，你是赔钱的。
[19:23.430] 按照您不是20的话，而且配置也高，跟您这差不太多，他顶多多多1.1音响，
[19:32.850] 这块可能会更好一些。
[19:35.350] 对我来说。
[19:48.230] 花。
[19:59.170] 数据。
[20:04.700] 的
[20:06.680] 远
[20:08.380] 的。
[20:10.610] 查查都有。
[20:18.460] 你不能用手机的
[20:24.720] 停车记录仪，
[20:28.230] 机车一倒，
[20:30.230] 后边的车间
[20:31.830] 不是他已经给我碰上了，阿能用不能要找后边的车间。
[20:37.560] 我下了一个软件，你不会下载，没事，后面的车间
[20:43.170] 等取车的时候带你过去取车的时候带你去后边的车检给你。
[20:48.640] 你弄上对，突然就研究没法应该中午买东西
[20:55.490] 搞好了，不能用。
[21:00.190] 你有导航卡吗？
[21:02.450] 你没有卡。
[21:05.240] 网卡。
[21:06.320] 啥导航卡？
[21:09.280] 网卡没有。
[21:11.180] 你导航卡
[21:12.810] 买车的时候没有吗？他说这手机带，那你没买你买就有了。
[21:18.990] 我就给你看。
[21:22.000] 二
[21:23.200] 二
[21:33.240] 我的只要拉到这来了就不怕了。
[21:40.530] 现在根本就不方便您说的快，直接打电话没到。
[21:48.000] 直接打电话打客服，然后
[21:55.290] 让我下载。
[21:58.280] 上面
[22:02.560] 就
[22:14.370] 原来
[22:22.870] 数据、
[22:27.680] 花
[22:28.580] 数据
[22:30.010] 坏
[22:30.930] 坏数据
[22:37.560] 的。
[22:43.750] 场
[22:45.000] 场
[22:46.890] 场
[22:50.300] 场
[22:53.050] 句
[22:55.910] 场
[22:57.260] 数据
[22:58.030] 数据、
[23:17.360] 坏
[23:20.170] 场。
[23:26.030] 把
[23:37.130] 花。
[23:39.550] 了
[23:43.720] 场。
[23:50.370] 电话
[23:52.550] 的
[23:53.970] 就
[23:54.930] 是不是一样的？
[23:57.350] 经验对大平房
[24:01.550] 看看房子非常不好意思，一般的话买C的建议买1.5G的，买一的建议买2.0D的。
[24:09.310] 对。
[24:10.040] 你要说A级的话1.5T还行。
[24:15.200] 一年要是用的话就是一点
[24:17.900] 075588。
[24:20.020] 假如说你买一张卡的话，这次您不用付费，包括再下次一共4次都不用付费的。
[24:29.030] 他这东西也不是说特别长的时间的绑定，
[24:32.460] 也就是说两
[24:34.210] 4年被算，今年也就4年，
[24:38.730] 我今年不弄了，明年。
[24:41.460] 明天的。
[24:43.680] 你明年那行半年。
[24:46.320] 觉得
[24:48.840] 看
[24:49.910] 花。
[24:51.510] 然后再说行没问题。
[24:58.510] 听清了吗？1200。
[25:00.730] 您那水箱我们可以帮你检查一下，如果特别脏的话，咱们清洗那195块钱，如果说不脏的话就不给您清洗了，就
[25:08.680] 然后您就付一换机油的费用就行。
[25:12.040] 需求的费用是多少？不是933。
[25:16.280] 不是1100块钱吗？933。
[25:18.700] 没有那么多，九百三十三三号。
[25:21.580] 对。
[25:24.700] 然后保险带您查一下。
[25:33.210] 您是不是觉得挺合适的？
[25:35.400] 但是你得有划痕险。
[25:41.650] 接着
[25:47.550] 你上的全险我估计应该是有估计。
[26:22.310] 好，谢谢杨先生
[26:26.070] 了。
[26:31.000] 一块
[26:32.780] 我给你打分取车的
[26:37.030] 点。
[26:38.790] 查
[26:41.030] 一
[26:43.420] 聊了。
[26:48.410] 没聊
[26:50.530] 了。
[26:57.340] 我记得
[27:00.560] 为什么没有？
[27:04.110] 您这边签字，这是取出。
[27:09.760] 我们别人来买保养车。
[27:14.040] 行，您稍等一下我看看。
[27:17.230] 远场。
[27:19.940] 行。
[27:24.520] 场
[27:27.570] 五
[27:29.740] 场
[27:39.610] 数据
[27:40.840] 场、
[27:43.340] 数据
[27:52.890] 场
[27:54.080] 干活。
[27:58.530] 你没充电吗？
[28:01.020] 充满着充满着的，我怎么4%了？
[28:05.200] 为什么
[28:07.790] 的
[28:10.110] 数据。
[28:13.060] 数据
[28:21.850] 坏、
[28:25.040] 拍、
[28:34.160] 五
[28:35.730] 的
[28:39.310] 数据。
[28:46.360] 数据。
[28:47.850] 五
[28:48.680] 哗哗哗
[28:52.310] 花
[28:53.280] 坏、
[28:56.150] 场
[28:59.150] 查一下，
[29:03.520] 数据
[29:05.060] 远
[29:10.420] 场
[29:12.080] 数据。
[29:14.560] 过去
[29:20.010] 场
[29:20.880] 场
[29:31.520] 数据、
[29:32.580] 天窗
[29:35.630] 了。
[29:37.750] 场
[29:49.120] 数据
[29:52.120] 要
[29:53.520] 坏
[29:56.960] 的。
[30:20.090] 穿
[30:22.220] 数据。
[30:25.050] 数据、
[30:26.380] 数据。
[30:27.430] 五
[30:31.290] 场
[30:36.770] 昨天
[30:43.090] 5分钟等您过来找我。
[30:55.410] 点。
[30:57.060] 我给你介绍。
[30:59.640] 行茶。
[31:02.510] 我刚才去问精品的精品特色的，
[31:06.620] 他是我们分保养
[31:14.470] 在精品之间的
[31:22.930] 他说每一家的解码器解码器
[31:28.840] 需要更换解码器，解码器这2000块钱，但是你的车不一样，
[31:36.930] 还不算远，
[31:40.870] 但是基本上费用都让你你放过，也因为你做外挂的对。
[31:47.830] 这是一样的。
[31:49.480] 销售往往
[31:51.060] 今天
[31:52.120] 一
[31:53.040] 多少钱？
[32:48.670] 过来网吧别上网。
[32:59.310] 二
[33:07.350] 3862。
[33:08.800] 三。
[33:10.600] 坏数据，
[33:14.400] 数据、
[33:18.140] 场、
[33:19.360] 数据
[33:20.880] 坏数据
[33:25.840] 场、
[33:26.670] 场
[33:30.310] 花。
[33:33.960] 数据。
[33:39.920] 场
[33:41.500] 坏。
[33:50.220] 的
[33:55.510] 京东6016号。
[34:06.390] 2016
[34:09.480] 二
[34:13.990] 的
[34:19.280] 这种
[34:27.320] 系统
[34:35.160] 数据
[34:36.370] 数据
[34:40.790] 坏数据。
[34:46.030] 号
[34:47.810] 的。
[34:49.730] 场
[34:52.040] 数据
[34:55.870] 场。
[35:07.090] 的
[35:12.080] 数据、
[35:13.490] 数据
[35:14.580] 场
[35:16.300] 数据
[35:19.420] 场
[35:22.180] 数据
[35:23.180] 场。
[35:25.040] 场
[35:27.710] 场
[36:53.200] 场
[36:56.160] 数据
[36:58.540] 场
[36:59.660] 场
[37:08.830] 场
[37:51.190] 坏
[38:07.480] 数据
[38:18.020] 五
[38:19.470] 句。
[38:21.920] 三
[38:45.680] 大家做
[38:46.800] 谁知
[38:52.980] 三
[38:57.430] 中国。
[39:02.360] 生命本身
[39:07.050] 的
[39:07.930] 上
[39:12.520] 个人没有，完了。
[39:17.890] 两
[39:27.440] 的
[39:29.520] 的
[39:30.840] 了。
[39:33.630] 场。
[39:41.960] 场
[39:43.680] 坏。
[39:51.440] 坏。
[39:57.190] 数据
[39:59.040] 坏。
[40:00.240] 数据。
[40:06.990] 五
[40:09.680] 花。
[40:15.280] 谁知
[40:25.600] 的
[40:32.130] 的
[40:32.900] 的
[40:34.120] 的
[40:40.090] 数据
[40:53.770] 花
[40:59.510] 数据、
[41:02.770] 场
[41:07.480] 数据
[41:11.360] 数据
[41:12.280] 场
[41:13.630] 数据
[41:15.880] 场。
[41:19.050] 场
[41:20.200] 的。
[42:36.540] 接着
[42:38.130] 开。
[42:38.720] 为
[42:41.200] 坏。
[42:45.960] 的
[42:48.810] 场
[42:50.260] 的。
[43:09.040] 的
[43:43.360] 三
[43:52.560] 的。
[43:57.550] 腰来。
[43:59.940] 因为不一样，这边我这个要好好
[44:06.360] 装灰。
[44:47.930] 上
[44:48.660] 开始
[44:51.920] 了。
[44:57.190] 不要说
[44:58.640] 的。
[45:04.380] 非常
[45:05.880] 坏数据。
[45:10.600] 数据。
[45:18.530] 一。
[45:19.340] 数据
[45:21.710] 场
[45:22.520] 数据
[45:25.040] 的
[45:33.350] 人才
[45:40.360] 句
[45:47.980] 快
[45:50.090] 坏数据。
[45:52.610] 数据。
[45:57.970] 的
[45:59.100] 的
[46:02.680] 打电话。
[46:04.430] 太长了。
[46:09.030] 每天出单的。
[46:18.530] 第二
[46:28.470] 数据
[46:32.350] 场、
[46:34.510] 场
[46:35.320] 数据
[46:37.950] 数据
[47:15.230] 数据
[47:16.340] 拍
[47:19.180] 的。
[47:32.550] 的
[47:38.240] 的。
[47:39.280] 坏数据。
[47:40.410] 场
[47:41.230] 场
[47:43.030] 场
[47:43.920] 数据
[47:45.110] 数据、
[47:47.040] 数据
[47:48.830] 543
[47:56.050] 五
[47:57.080] 的。
[48:05.380] 数据、
[48:49.870] VF636，
[48:52.320] 切断的
[48:56.800] 的公正的
[48:59.450] 咱们这边就做了一个召回或者有点生气，给它清理了水乡，做了个B保养，
[49:07.610] 前减震器两根上
[49:10.450] 开始招呼，
[49:13.510] 就是更换两根前部的。
[49:16.720] 您这个车检查的时候发现有点老化，
[49:20.710] 算了，你发现
[49:23.160] 前面有点偏薄，
[49:25.260] 什么时候报警没什么时候换I
[49:27.300] 邮箱乱拉线，他也和了不管是高雅一点，对，当然留着荣光有点肉，有一点冷启动可能有点汽油味。
[49:38.310] 我让您先开车出发发现
[49:40.810] 先不用管他是哪个不让去，光油泵下面有高管，
[49:46.760] 暂时现在没事，过段时间邮包可能找回来，
[49:50.940] 也会稍有可能我们的儿子着急，他有可能会招回来，但是暂时现在还没开始，如果开始招回来你就过来更换就行了，或者是如果没有着我已经闻到汽油味了，
[50:01.550] 通过来找我们，
[50:02.660] 我们再给您做进一步检查，看看能不能免费通话。
[50:11.670] 的。
[50:16.770] 打电话。
[50:27.830] 稍等，需要您这边一下。
[50:33.230] 手机
[50:36.890] 可以
[50:37.790] 好。
[50:41.300] 这两个项目
[50:42.660] 起码
[50:46.640] 毛后来
[50:49.190] 293。
[50:50.960] 除了可以明天
[51:04.640] 号
[51:06.700] 的。
[51:11.330] 一
[51:13.450] 三
[51:21.080] 检查
[51:23.460] 还行了，它就相当于9
[51:26.790] 39。
[52:16.290] 要
[52:18.600] 坏
[52:19.440] 远场
[52:21.610] 场，
[52:23.690] 场、
[52:24.620] 场
[52:26.550] 的
[52:27.770] 五
[52:29.540] 数据
[52:30.950] 数据
[52:32.850] 场。
[52:37.690] 场
[52:40.720] 数据
[52:43.110] 数据
[52:57.480] 场
[53:00.260] 场
[53:02.430] 场
[53:06.020] 的
[53:10.850] 的
[53:14.060] 的
[53:19.130] 三
[53:24.690] 数据，
[53:29.660] 两次保养，
[53:33.610] 数据
[53:39.450] 场
[53:40.890] 话
[53:43.930] 场
[53:47.230] 的。
[53:56.190] 的
[54:02.850] 花
[54:09.190] 场
[54:13.630] 数据
[54:14.970] 的
[54:18.050] 我觉得这车你听着你文化程度第三天前天干嘛？
[54:24.850] 上
[54:26.020] 时间。
[54:29.290] 刚刚
[54:34.750] 的
[54:41.860] 走。
[55:02.330] 的
[55:06.870] 的
[55:10.640] 花
[55:16.490] 的
[55:20.540] 数据。
[55:23.310] 数据
[55:25.190] 坏
[55:27.780] 的。
[55:35.000] 的
[55:40.810] 说
[55:42.710] 三
[55:50.800] 的
[55:51.640] 远场
[55:53.730] 的
[55:59.310] 坏
[56:04.310] 的
[56:10.390] 数据
[56:16.330] 的
[56:17.250] 数据。
[56:26.990] 了吗？
[56:29.020] 能稍等一下这种需求。
[56:39.880] 我这着急。
[56:47.070] 明天
[56:50.200] 了。
[56:54.430] 10分钟左右的。
[57:01.430] 说
[57:03.130] 话。
[57:10.690] 数据
[57:17.330] 场、
[57:23.580] 场
[57:26.050] 场
[57:28.780] 场
[57:30.720] 场
[57:41.560] 数据、
[57:53.890] 5个，然后
[57:55.380] 后来18元工作中进行。
