[00:01.090] 接车，
[21:32.950] 原来
[21:35.610] 没啥。
[21:36.600] 换一赛道版。
[21:38.830] 拍照。
[21:41.190] 刚没事，前段分期换牌照版画原谅。
[21:48.670] 交易。
[21:51.220] 慢点。
[21:54.840] 我想说的350块钱的拆装费，
[21:57.390] 350块钱的
[22:02.990] 候家一个3395的喷漆，
[22:05.790] 是吧？
[22:13.120] 算一下。
[22:14.390] 不用上锁，一一口劲就出来了。
[22:17.770] 你看一下这是多少？
[22:22.880] 你输完数然后空在这点一下都不
[23:27.210] 你干嘛？
[23:28.200] 很好。
[23:31.840] 在他身上又还有一个广告，第三
[23:39.470] 的。
[23:44.790] 狡猾的，
[23:46.240] 上面
[23:48.490] 保险是2000。
[23:50.090] 看。
[24:40.680] 用
[25:31.140] 稍等，我现在打一块关单。
[25:33.950] 来您帮我签下字。
[25:37.000] 这外观单你先打一个，待会给他打一个估价的。
[25:42.910] 换一个牌照板，然后换一个下边的亮板，这两个东西钱包喷下漆。
[25:50.160] 办的也都算进去了，对都算进去了，然后您单位牌照板。
[25:56.310] 我拍一下照片，到时候看一下实物值。
[26:38.640] 好，您装进来。
[26:40.120] 这个要给我解了。
[26:41.940] 这个不用谢，您拿走到时候您
[26:46.060] 车管所他是不是得需要5泄行烦我你看我待会给他报完价签咱们走。
[27:11.920] 疯了。
[27:13.030] 有的了。
[27:15.140] 让跟你说结果弄
[27:19.010] 可能
[28:02.500] 还是。
[28:36.630] 这是取得。
[28:37.940] 但是给我电话也不给我打电话这一块。
[28:40.630] 然后
[28:41.800] 这个车型的一个外观方面的拍照要用做了一个标记，然后喜欢带来伙伴好吧？
[28:52.950] 来跟您说一下。
[28:54.310] 这是账单，然后前杠前段更换什么更换？
[28:59.660] 拆装更换牌照板的样板。
[29:01.850] 我说按公司的合同价收您350块钱工时费钱分期也是走了保险公司和作业3395，
[29:08.680] 然后这是单独的一个牌照板的配件，是这个价格是696问题，
[29:14.030] 然后潜藏的量块是3284没问题，
[29:17.320] 然后总共下来的话再减一个2000，
[29:22.070] 等于是5
[29:23.720] 5726行没问题，您待会交友5600多块，您稍等好吗？还有。
[29:32.680] 那个发票是一会儿开。
[29:34.620] 保险的发票您不用管，保险是直赔的，他用完我们就直接给保险公司了。
[29:40.080] 我这边什么都够了。
[29:41.760] 对，如果说5000多块钱发票您要的话，您就收一下5000 5000多的发票就行。
[29:47.560] 对你稍等，明天。
[29:51.280] 场
[29:53.970] 场
[30:04.020] 现在就让他见
[30:12.180] 预收款
[30:14.870] 我现在就让他见
[30:17.670] 另外修过。
[30:20.950] 他不也得要那什么呢？
[30:24.390] 远。
[30:33.910] 在别的？
[30:37.010] 什么号？
[30:38.280] 对，在哪儿看到的？
[30:49.200] 对
[31:00.610] 除了
[31:05.360] 我也不知道好久没预售了。
[31:11.190] 你发完了。
[31:15.700] 应该是以前那个
[31:19.690] 用
[31:42.230] 发言。
[31:44.330] 5.6。
[31:52.700] 完了事事
[32:07.790] 刚才讲完了。
[32:09.430] 不是我倒的以前了。
[32:11.990] 干什么？
[32:14.570] 东西一样。
[32:17.290] 那行吧。
[32:19.850] 客户名称一样对吧？
[32:28.670] 包括名称一样，
[32:30.580] 你要快点闹的。
[32:33.030] 走吧，我带到这儿。
[33:19.400] 昨天
[33:33.810] 场。
[33:35.610] 场。
[33:36.630] 三。
[33:44.990] 五。
[34:09.830] 谁知。
[36:13.920] 这边费用已经说完了，然后
[36:16.340] 我把孩子给你拆了，你给我弄完别让他走就行了，好的好吧？
[36:21.900] 我给您查一下牌子也行。
[36:25.620] 从这个完了说完就完了。
[36:28.410] 好好行小了。
[36:32.670] 收获了还有。
[36:36.280] 我真的我打电话要做到
[36:46.090] 你在说话。
[36:47.330] 能收到。
[36:48.700] 好，刚才听了
[36:51.850] 到。
[37:16.840] 你的腰了什么？
[37:27.520] 远场
[37:29.790] 远。
[37:31.230] 数据
[37:33.220] 数据。
[37:35.690] 越远。
[37:38.040] 数据
[39:25.770] 数据、
[39:28.480] 数据、
[39:30.480] 数据、
[39:33.300] 号。
[39:35.790] 数据、
[39:36.920] 走
[39:39.770] 坏数据，
[39:44.190] 数据。
[40:06.960] 五
[40:21.910] 的
[40:33.380] 的。
[40:36.000] 成。
[40:37.830] 数据、
[40:41.900] 这样。
[40:45.140] 的
[40:49.510] 来，你说。
[40:52.440] 你虽然占有。
[40:53.570] 代替换车牌号的吗？
[40:56.290] 开心的时候。
[40:59.660] 不见得就是坏了。
[41:01.870] 没有错。
[42:58.580] 你看一下你那边好了吗？你给我打招呼说吓我一跳，我也说不了没有，然后那个到时候你联系一下。
[43:05.840] 你要有费用。
[43:13.050] 可以评价。
[43:14.570] 你没联系了是吧？
[43:23.130] 你把他送到明天后边，然后
[43:26.820] 退出来。
[43:27.960] 你进来了。
[43:44.490] 再往下。
[43:45.400] 是这牌子。
[43:46.560] 你拿走就行。
[43:48.320] 回房间等我信号下楼给你打电话，我咨询一下，我看到网上可以操作。
[43:54.110] 报价他还给群里来个禁言群，全员禁言，我
[43:59.710] 感觉现在报不了。
[44:01.490] 你妈抱不了，你给我建议这群干嘛是吗？他说用了多少您能够我去我也没办法，待会我会
[44:09.290] 真喜欢还是
[44:14.150] 上班激动应该是两个。
[44:25.960] 你有车牌号吗？
[44:31.460] 您应该去报警。
[44:34.150] 收到刚刚上市的内张照片。
[44:38.000] 没有不知道是我这边是现阶段。
[44:47.480] 您要是
[44:48.640] 一个小包，如果一下他办公看他是去现场快，还是晚上往上看现场，我就昨天现场关系去现场，要不然这车
[44:57.580] 那么长时间也开不了
[44:59.490] 了，对您到打架不管怎么说，因为电话你不能看。
[45:06.280] 我到那边
[45:07.980] 网站您搜一下，他出现以后说完了，你不去酒店了，这车是你的吗？
[45:13.510] 对，在我应该怎么样，但是早就给销售了，还是进行
[45:18.870] 在销售那边要不是咱修的部位，就是说前三中期，然后不能用抽烟一起来拆除产业的长期，
[45:27.280] 把它给您报一下。
[45:29.190] 对其他的刚刚配置换个赛道版，关于弘扬量版。
[45:34.390] gun对的情况是整体的，好的车的侧面也有几处，然后计划您修改看一下，说的你修不了了。
[45:42.990] 说。
[45:47.080] 数据
[45:50.140] 的
[47:03.720] 有一个GM1519C
[47:08.910] 叶子板喷漆我也没写。
[47:14.550] 空气
[47:16.330] 吗？
[47:18.050] 电影也不少。
[47:24.110] 是吧？
[47:25.100] 这都是定4元给我打电话说的是吧？
[47:27.910] 啥情况？
[47:33.800] 尽管门口要不我都下单子了，那地方跟我说说茶一块题材电影你看看还差别的。
[47:52.280] 一
[51:57.830] 王俊峰不还行吗？
[51:59.480] 的。
[52:01.680] 报价报的什么玩意，蓖子男跟我说少报一点盐，少包夜的冷风机。
[52:09.230] 谁给你定的？
[52:10.980] 定死而跟我说谁？
[52:13.360] 杨志。
[52:24.450] 有点自知之明是完成了。
[52:33.250] 把
