[00:00.000] 4:51，
[03:47.570] 这两种，然后如果还有一种可能，比如我在前进挡的时候说我忘记挂P挡了，我开启车门了，
[03:54.700] 那会自动消P档拉手刹，
[03:57.020] 有一个安全保护的措施自动跳P掉了，对就是电子txt干什么用，比如说我没有熄火，
[04:04.220] 他不熄火拉手刹吗？我没有熄火，我只等着人你得到 pa牛车，我手动把拉起来，
[04:13.290] 这只是一个对功能测试，谁知
[04:18.310] 不油箱盖是你车自动停了，我就知道那个是干嘛，后备箱开启。
[04:23.100] 有多种开心D通过车门，第二后备箱，第三通过钥匙也可以都以这三。
[04:30.350] 对，另外后面我们刚才看了一下，我们一拿整体下来的，
[04:36.190] 应该是整体下来，您说扶手是吧？
[04:39.750] 这么特难看是这样的。
[04:43.240] 看着不这样对吧？我说
[04:47.870] 我说你们整体下来那个是单独比例放倒了，我们叫4:00 2 14:00不加一起百%吗？
[04:54.390] 单独放倒，你说我们有个云冈放到中间还要考虑考虑，然后还能做人，如果球包是我这破号也晚，
[05:03.270] 我就把中间放倒，你们还能做人。
[05:05.930] 收到。
[05:07.100] 该车的内饰是不是这样？
[05:10.010] 还有黑色，
[05:11.270] 还有
[05:12.990] 一坐一车这样的，黑色还是这样的。
[05:16.720] 现在的话基本上都卖，
[05:19.640] 这是新出的颜色，慢慢色，我们那天问的他说只有的咖色咖色咖色现在没有吗？
[05:28.000] 我现在的话这是新出的颜色，因为新车喜欢又出了新的黑色，
[05:32.790] 我觉得它这个还好，就是三个9这个就是对原来原装的难看，
[05:39.590] 小细杆4个，
[05:41.490] 现在他也如果真是这个车
[05:44.440] 要折了肯定更难看了。
[05:46.580] 然后就用它的尺寸上
[05:49.120] 主要的差别的，那么这两天有变化，他比他要长一点，长度46就是47，
[05:55.430] 10公分大概，那么他现行的风阻系数后边视频的他视频的
[06:03.410] 然后外观不一样，然后就屁股，然后这个是二手车第4区的，这是1.33D前驱，所以在造价方面的话，他要我们讲价格，我去找尺寸高一点，
[06:17.090] 积水建筑太高，
[06:19.280] 因为它放热看起来视觉的角度上还要高，他执着就在胡同，
[06:28.670] 技术上还有什么要求吗？
[06:30.670] 没有拿过去一些，拿假配件看好了，这个轮子是18的是吧？对。
[06:37.110] 现在这是标配没有感觉，但是很好看也不难看，
[06:41.160] 这不是根本的很多东西这东西找一个
[06:44.600] 延长，您这怎么会有特别完全没错，奔驰除了有倒车雷达之外，
[06:50.410] 侧面有一点，还有前面到，因为你拿特别早全都有全车12个是吧？
[06:55.240] 它可以觉得这种东西中对
[06:58.050] 这也有他配置比较大，地方不少，12
[07:03.610] 34、
[07:04.800] 五六前面6个五六百六，
[07:07.460] 这样这到底代表什么？打个条子，
[07:10.700] 他怕那个日子要万一高楼，
[07:13.840] 你不要顶着他停车倒车，包括往前走的时候离得近，这么看我觉得
[07:19.480] 你不是不好，你开到
[07:21.960] 不大不小？
[07:23.110] 你别老小车大车，我原来老想着买别的颜色，他们说黑的奔驰就得买黑的我觉得。
[07:30.280] 您开是吧？我觉得这车黑色的，
[07:34.150] 而且它这种车型空间特别大，我觉得您做过事故对吧？它这个空间我们但是我吃完以后感觉的空间
[07:42.110] 没，我现在开的新顺达，那时候我们家还有一个韩国进口，觉得身上拿大
[07:49.340] 的宽敞，
[07:50.210] 我们家还有路虎，开心了1 160多万更大都。
[07:58.800] 现在给我女儿开着我就开着，
[08:02.030] 我觉得操作特别灵活，一开试驾更灵活，实际我们当时不少，我还是广场6也跑车，每年都放着天天交保险。
[08:14.190] 哎哟天我就弄一个在住的，我觉得因为现在我想这样。
[08:19.140] 到新郑达
[08:20.580] 委托你们作为。
[08:22.380] 置换收据珠宝吃饭，完了以后我就买这个车。
[08:26.270] 买一个黑车买内饰。
[08:27.970] 咱们那是哪年的哪年的公里数多少大概？
[08:31.870] 公里数刀。
[08:33.840] 就09年的80万公里。
[08:35.930] 还是020年。
[08:37.970] 10年的可以的，到时候开过来给你做一个评估，咱们会有专业，比如他现在不平等。
[08:45.610] 对，我们会有其他人评估师。
[08:48.580] 怎么会在这做，还是到你的时候？
[08:50.830] 应该来我一共为好对这块的工作了，那时候这个了
[08:56.320] 好看了。
[09:00.390] 上不上我肯定不喜欢豪华满天星，都不喜欢点东西，
[09:06.320] 我就觉得不大气。
[09:08.310] 矛盾的
[09:16.920] 不错，孩子让我买最高配置，我最高配置外观我不喜欢，不是你坐在里头，
[09:22.770] 从前头看人家看有啥喜欢不行，我感觉也不好，是的，那几万块钱到没啥，但是外观感觉不敢。
[09:31.080] 你
[09:32.800] 小梁被你说
[09:35.120] 818北京要找一个大车的活动，
[09:39.380] 咱们店里有参加。
[09:41.050] 你说的是。
[09:42.930] 第三方举办，对北京是不是要搞一个大型的车展活动，其实促销。
[09:48.630] 内容大概都是噱头。
[09:50.370] 势头不管是为主都看好，你们也参加了。
[09:54.920] 参加的这些4S店，我看里面有你们家。
[10:01.110] 他是这样，第三方也会要求各个店参加，但其实更多的说白了这就是一个选择营销。
[10:06.970] 他更大的其实就是你做了活动以后，你还是来店里去洽谈。
[10:12.230] 对，肯定还是签约还是在店里签。
[10:15.520] 那就是做一个广宣更一个头往的方式。
[10:19.630] 好就是协议个人。
[10:21.100] 结果没有变化，说实在的没有他电话你这样好，你们店里目前或者你可以在上边的经理能优惠的最大幅度，你给我算一个价行，那么这第二个我就想问一下现在的黑车和这种内饰
[10:39.730] 应该有现货是吧？我给您查一下，你先调整对我得查一下，没有线号的话近期什么时候能办好的？
[10:48.120] 我就合适的话是今天可以先定下下来的是吧？
[10:52.940] 如果可以先交定金都没问题。
[10:56.020] 成本喂鸡能买到吗？拿钱全部现金全款，补偿款分期，现在低息还免手续费，
[11:03.410] 必须跌到多少？一点多。
[11:07.360] 一个月一般多少？
[11:09.590] 1点一点多一米还按年走。
[11:13.080] 但是都是无锡没有，咱都是免邮费，休息息少点。
[11:18.590] 您这指标是谁？
[11:20.530] 就跟鑫海冶金那也行。
[11:23.480] 全国统一都行。
[11:25.020] 看看行行按其要求还。
[11:29.130] 这钱你留着来，就股市对这个股市就赔钱还不如，不能最近什么最近可以管管我摸摸不超过，然后跟他们说股市有。
[11:43.310] 有找朋友的事，没有他到底，但是曼迪。
[11:48.370] 找一个慢涨，慢涨的时候你不出来急跌一下就把本全跌回去再。
[11:54.720] 再存那都是表面上的让你看着涨，然后人际网里讲完了，你还没等抛的时候。
[12:00.620] 那边咱几号，因为一个外面国际上今天
[12:05.910] 美国谁知没走了，
[12:09.920] 所以说几乎丧命，没有赚钱的环境，什么牛市就go形式。
[12:16.330] 不是我查了一下有现车，也就是说有现车的话，比如说我跟你说大概流程。
[12:23.890] 比如说如果说我们今天先交一定金的情况下，1万块钱我们在下周的时候，比如周三周四
[12:29.790] 让您付了全款或周二周三付了全款，你就能把这车提走了，
[12:34.840] 付款了全款就寄走了，分期不行了，举一下手可能
[12:39.910] 有一种钱就这样，然后我来给你倒三把价格给您看一下。
[12:44.320] 他们谢谢您算价格就是一个。
[12:47.500] 第二个我就讲什么，您的车玩具置换，还有个
[12:51.280] 还有个流程怎么走？
[12:53.170] 到时候咱们过来，比如说骑车的时候您把车开过来，
[12:57.500] 然后我们会有评估，不是我我们会有专业的评估师，他可能这车做一个全方面的评估，
[13:03.520] 做一个报告点出来以后出去，结果你看是不是何博士，那么结果可以跟听说的百得利这边反正也是我们店，
[13:12.520] 柏立兴这边的话，他是跟市场上几乎品种的价格几乎一样，反正可能一两天添加，我们相信因为毕竟店里有说好手去，
[13:21.920] 那也不会有大偏差，并且如果在店里置换在新车，可以额外赠送同一行为的保险补贴政策，
[13:28.980] 不要说6000 6000，
[13:31.660] 如果将近有百分之交吗？
[13:34.480] 没有行业行。
[13:35.760] 第一个小他是。
[13:37.250] 有奔驰老客户的政策的，没事奔驰宝马在纠结要玩秋节的一个东西，真是太方便。
[13:45.140] 等等哪些
[13:46.830] 行动还是下去，应该都是这可以
[13:50.140] 开着平稳平顺开得舒服一些。
[13:53.170] 但
[13:54.960] 也说一点就是招回多少65万，不是特别
[14:01.230] 跟这个没关系，到临走了之前的车型了，
[14:05.860] 你还会给我们开了，开怎么着回来了，
[14:10.360] 刚回去到4S店给你装的东西就完了，这升个级就是这样，那听着召回架着，可咱心里
[14:17.610] 其实没什么事，就是升级
[14:21.430] 可能
[14:22.280] 的
[14:24.150] 强调
[14:26.770] 或者非常好。
[14:28.850] 操作马上站起来。
[14:31.300] 然后房间，
[14:35.490] 那天
[14:36.600] 谁知
[14:39.120] 他不是你现在主要在西平，你看看贴的那个时候，咱们俩也做了冬天，
[14:45.970] 他心里也有展车一样。
[14:48.350] 没事。
[14:49.880] 反正都是。
[14:51.560] 我想。
[14:52.710] 先后话说，
[14:54.280] 因为我打了几个电话，
[14:56.500] 都是什么？
[14:57.950] 你说在哪儿？
[15:00.910] 好像能够接受价格不影响。
[15:04.820] 为什么2万？
[15:07.220] 谁知
[15:10.640] 我现在觉得这个东西我觉得颜色特殊的，
[15:15.960] 比如说你用不要见了，你不说话声音，
[15:19.930] 对不对？
[15:23.960] 就喜欢看看流程这个车
[15:27.690] 他的话。
[15:30.300] 应该是差不多。
[15:33.230] 还有什么？
[15:38.270] 工作文档。
[15:40.910] 有在那个层面的工作文档，然后第一个内容，
[15:46.050] 工作文档，要不有
[15:48.820] 有一个word文档。
[15:52.730] 上班去看看。
[15:54.560] 双方在加拿大看了吗？你把那些文件夹都给打开，你就只是工作文档以后，然后。
[16:00.820] 有一个word文档写就不好说了。好了没事了。
[16:08.250] 肯定不是好牌子，的不是他的。
[16:14.520] 国外的三天。
[16:17.070] 二还不太一样是吗？不太懂模式不太一样，因为毕竟有时候加大是吧，有的时候消费习惯，
[16:26.520] 还有说政策导向都不一样。
[16:29.920] 他国内人家在一个企业当的当一个什么也是一个。
[16:35.970] 中层干部到那了，
[16:38.480] 也不是了，最后。
[16:41.950] 就自己找一个这样的店，找这样的工作，
[16:57.250] 你感冒了。
[16:58.730] 做保养维修干啥？
[17:01.200] 这方面的一些位置不符合，
[17:04.580] 还是吗？你这得走南四环这儿过来是吧？不是走到人生的指南生活这样难忘的，
[17:12.680] 这就要高过5棵松
[17:15.720] 队伍中就是非洲紧张，对过了3013北京走，然后往北走是吧？
[17:23.680] 这路没走完了以后再
[17:26.550] 在昨对左转他接着就有了。
[17:29.760] 对，经常到这里了。
[17:31.730] 距离上
[17:33.750] 这是最近南三环的是第二军，
[17:38.110] 都差不多的。
[17:40.640] 南昌和交通更好走一些。
[17:44.470] 您住哪？
[17:45.680] 北门好像是都不远。
[17:49.770] 这些比如说
[17:51.880] 像车的一些公式，贴膜这些东西，车衣劲比较大等等这些东西，护板有哪些是你需要的？
[18:00.570] 我可以一起你算一下。
[18:02.670] 你
[18:04.150] 我除了在你这贴膜，其他的没有小店你不是给我送的吗？您是用一个圆场。
[18:10.030] 有点背诵。
[18:11.160] 再说在家的话给我们加大包围和要不。
[18:14.520] 他不交了交了多少钱？没。
[18:16.660] 每年验车特麻烦的事情。
[18:18.910] 是吧？咱们现在是6年免检了，您过去那去拿，因为年头很长，他虽说每年年初1年一检，你看6年以后我们还能拆吗？年三对。
[18:29.290] 然后也是你这么说，我得说是。
[18:31.540] 你要知道我当时每年年年都拆一套，
[18:36.020] 你两边踏板大概要如果加装了多少钱，8800。
[18:40.630] 8800就拿来用，我建议不要讲，你看我不相信你关系不知道，为什么？
[18:47.320] 因为上下车的时候这车他不是那么高，然后你上下车库里边奔驰家里是固定的，不是你偶像，人家露骨用自己伸缩的，就是您只固定在那里，但正好卡这个腿，对现在地方卡你要犹豫间这个比较紧张，
[19:04.580] 到家内容的，所以你讲。
[19:07.270] 一旦实际上
[19:09.190] 我现在就说你
[19:12.580] 整个给我的报价现在要的都是些什么东西，
[19:16.060] 所以说我必须在你店里要做的，
[19:19.100] 没有工地需要保险，没有什么必须的对吧？有没有车肯定是买车对吧？购置费这交付投资这么说这个不说了。
[19:26.570] 保险咱们得干仗，险种没有要求，保险也分，我们不是必须要求你一点全险。
[19:32.140] 您可以自己选，这就是对于您来说的一个保险，你不是送6000吗？
[19:36.580] 保险送对，首先应该是必须是我上的全险，你才送货就送货吗你？
[19:42.260] 看小羊说只要比如说你需要花几千块钱也行，
[19:46.070] 也送您6000，你自个选说我就说小张我就上了，主险基本险没问题。
[19:50.960] 问题不必要选中奖都不
[19:53.450] 起码有些险可以不上，可以，你比如说涉水险，涉水赵权选票，强险不用上。
[19:59.150] 自燃险不上，稍微。
[20:01.920] 今年水稍微大点，但我觉得也不会上班，北京这边见不着。
[20:05.880] 所以说这有主动。
[20:07.660] 到全部都要双峰，不稻田咱们从来没上过用过，这都是没有，从来没上过到山前挺贵的，谁知。
[20:16.160] 找到彰显不用上，以前是都没上过，好像除了生存状态最贵了。
[20:21.430] 你要说咱这车四五十。
[20:23.280] 万的车是吧？你到那也可能会在2000块钱左右，你家里要100多万的车都是你。
[20:28.220] 好贵，他们目前美的票都是11万多，没有盗抢险，
[20:34.310] 刚才可能上了就会到14,000块800块钱。
[20:37.990] 保险这是你当时说的，你说人家说的没必要告诉她，你当天等你查。
[20:43.310] 了。
[20:43.910] 等你破案了都不知道猴年马月了，对他得是车丢了以后60天以上立案，立完案才能给你钱。
[20:52.280] 还有什么上牌？
[20:54.900] 上班了我就委托你。
[20:56.490] 要给我们上牌，这说您一个费用。
[20:58.220] 本身咱们这2530。
[21:03.210] 2500，
[21:05.070] 市场的情况现在欠我三天了，大家都一个价格。
[21:08.750] 你们收的也不便宜。
[21:11.060] 人都我们问了两两个店，
[21:13.560] 要见到人完整点20的，你像
[21:18.430] 看看。
[21:19.550] 当天在上一级经理在这一大把优惠
[21:23.760] 他不就下来了吗？有的时候不算这送你们几年的给。
[21:29.210] 咱们保养也送您了，咱们现在送您两年保养一次，A保一次，两年的保养。
[21:34.820] 收益领导他们原来也是小办法不都是免费的吗？不是不你先
[21:40.070] 什么免费不免费了。
[21:42.480] 也早改了，政策怎么找到话了。
[21:44.190] 我以为
[21:45.490] 买了新车头两年全是免费的。
[21:51.640] 还有什么？
[21:53.090] 没有，这就是装饰，就是你选这些东西有没需要的有效没效的，我现在装饰我倒没什么，就是一个贴膜肯定是要搞的，我也跟机构
[22:03.570] 我们肯定要贴什么防紫外线的，但是我不要说你们推荐的那种安防所谓的有什么防炮的方式什么意思，
[22:14.040] 膜贴上玻璃碎了以后，
[22:18.070] 防爆型式的不会伤人，但是他玻璃咱说实在话，
[22:23.250] 本身他就不伤人，
[22:25.340] 敲了以后他就像个蜘蛛一样，对吧？他怎么能伤到人？
[22:29.930] 你谁去敲呢？
[22:32.190] 王导的地方。
[22:34.460] 到东北的时候再看没有污染。
[22:39.260] 脚垫如果是原装的是什么项目？就是黑色的那种丝绒的。
[22:45.490] 黑色种的，比如说早嫁人放是这样是吧？他这哭起来就这样颜色梦了。
[22:50.840] 你说了
[22:51.750] 这个要当成标签。
[22:54.210] 我能送你。
[22:56.040] 这东西没多少钱，我就自己能做主，中长款正常是不是？比如说车也没有什么期待着车没有，
[23:03.750] 这种小东西那车不带。
[23:05.200] 什么灭火器，这以后验车都有用的东西，对不对？
[23:11.430] 下面有车就来就可以在我这没有气没有那什么酒店，那些都是内容的。
[23:16.980] 这都没有了，没事小梁能作主的，我都能送给您，给我送你手脚架比我近。
[23:23.520] 如果想换其他酒店，那就得付费了，他就送不了了，这个条件你也能用，就像你说这特别简单，
[23:29.820] 这有登扣的按扣以后，
[23:32.420] 你拆也好拆，
[23:33.640] 这也行，颜色和B有远场的还是你的？
[23:37.720] 还能用吗？
[23:40.000] 您完送您的奔驰雨伞，
[23:43.700] 他可以到价格现在送东西了。
[23:45.580] 没伞放后备箱里。
[23:47.540] 平时真的是没带伞，就有时候出门没下雨，回家就下雨，开车的时候起码应急用一下，
[23:53.910] 送您维持这么大一个云散。
[23:57.750] 一会你看来看看价格，其他的你要加的其实就已经磨对吧？
[24:02.070] 不用家泡馍，咱也分普通的稍微好一点的特别好，然后
[24:07.370] 进入一个隐藏式的自由。
[24:11.100] 不一样的，你要形成就是要干嘛。
[24:14.040] 然后教练不说了，后备箱垫，
[24:17.960] 我这没有引导员有没有红相间朋友圈的，都是后配的。
[24:22.640] 那个是皮革材质。
[24:24.480] 我想需要的话，店里几百块钱就能买。
[24:27.240] 方便面。
[24:28.310] 无所谓了，我一家没电吗？没电。
[24:30.760] 后备箱
[24:32.120] 说实在话，你随时都可以买有皮的，有那种绒的，你网上买。
[24:39.260] 一两百块钱，
[24:41.090] 反正不能有污染，
[24:42.920] 不然宝贝什么的。
[24:45.360] 按理说然后还有发动机护板，
[24:50.650] 它是防托底的，
[24:52.380] 原车是有塑料护板的，黄泥的加好友是铝合金的，
[24:56.940] 那么比如说有些坑是吧？咱们一看电视互动一下走过去了，防止发动机的底部油底壳或者撞到，
[25:05.270] 就是这个意思，这个是2000瓦。
[25:07.730] 有没有渠道？
[25:09.280] 这再说还有车身的隐形车衣，
[25:13.830] 外观的保护了车漆的轻微剐蹭可以自动修复。
[25:18.020] 其次这都是名车，
[25:21.440] 它实际上就起到车模的一种所谓的保护。
[25:25.260] 比如说首先他体谅这边镀金加速丁丁吗？
[25:29.120] 您那边包了一层东西。
[25:30.650] 是透明的膜。
[25:31.990] 就不要咱的车从来都不要命，连路虎那么贵的自卑那就没啥了。
[25:37.710] 这是没有的东西，看好了其中一模了，小家伙送到规模其实。
[25:42.750] 就送什么？
[25:44.100] 两家送的就一个红包，就是一种的国际化，咱们底版的发动机底板要不要换？
[25:51.320] 电机在说的行。
[25:54.210] 你要不去夜魔的话，咱们青春补贴青春本来就隔热慢，前锋到别人两侧，后脑勺后面小三角窗全都贴膜，
[26:03.770] 稍微好一点的就是叫背部的。
[26:06.000] 你前方倒不是已经有前锋挡没有吗？没有吗？那是不是有后。
[26:10.630] 加装以后，
[26:11.510] 什么格力空调吗？不明中国家要求通过一个代表达到70%以上，咱们。
[26:18.380] 不是，原来有那个时候防紫外线吗？ no。
[26:21.510] 钱多少都是透明的，墙倒你照着面积最大的就是没有模式，
[26:25.530] 你只能说后贴，
[26:27.080] 给他们贴好以后都是透明的钱补偿两侧威胁学生，党还要贴母婴，就像
[26:32.510] 一般的车都贴了，直接看不出来。
[26:36.860] 这个好一点，你前面挡贴膜，如果小石子喷上去，会不会跟作业
[26:42.460] 模式自己的，咱们稍微好点馍品牌叫维护，应该你也听过家里这么多车了，这故事跟结合脑袋两侧单独出卖的，
[26:53.420] 咱们店里要做，没有就单独贴一块，要接汽车承接了，
[26:57.690] 那么的话一套下来是8800块钱，
[27:00.000] 这个先给您算下拉一下，
[27:02.510] 甚至稍微好一点，其实这一点在电器也降价了，以前内膜卖给他们医院，就店里面1万多一点。
[27:10.070] 为什么这么说？
[27:11.480] 所以我在不在咱们平安在您看，
[27:16.070] 大家都会。
[27:20.860] 当然如果再去外面接的话，少于8000多，如果少了1000稍微。
[27:26.120] 1000多我可能相信，但你要说更便宜，他可能外面就接不下来。
[27:47.790] 你就把贴膜水仙出来，我对我先给你签的是旁边对。
[27:52.030] 给我算一下。
[27:53.110] 拿到别把保险一下，对你该压的加购置税我给你算出来。
[27:57.300] 购置税保险都可以全覆盖，保险可以，对，咱先把6000要给我剪掉。
[28:04.190] 然后剩下都是我该交的和另外要。
[28:07.360] 另外要交的两。
[28:08.970] 一个是保险剩余的钱，对这是我必交的。
[28:12.770] 第二个就是贴膜。
[28:14.560] 其他救援队。
[28:21.670] 优惠的，特别里面都写着。
[28:29.400] 不是店里边
[28:30.960] 你上边的头还可以再优惠的负责，
[28:34.490] 应该可以再给他申请。
[28:40.330] 谁知。
[28:41.420] 保险我给你写预估1万块钱好吧？
[28:43.740] 行。
[28:44.980] 这个东西卖完了减6000，对答案吧？
[28:50.290] 买这个车就没有的消费买来以后就打了万了。
[28:55.320] 打了6年。
[29:01.110] 今年
[29:02.200] 虽然逃税了，就算
[29:04.740] 一岁的小河里水还没有明白。
[29:09.440] 没地干嘛还没。
[29:11.320] 你还没必要天天不幸福了。
[29:16.980] 车的官方配置都了解了，应该这个年纪你写上就行了，我们车的功能内容公共配置不了解了，都得慢慢再了解你现在是不是这样开了。
[29:26.890] 我想是咱们可以约你明天上午说。
[29:30.560] 他还有什么特殊的功能，他们介绍应该已经很。
[29:34.920] 详细了。
[29:35.830] 没介绍我们没听见。
[29:37.230] 的介绍，其实主要的该有都有，比如说安全性的配置，主动发声，
[29:41.410] 这种预防碰撞，
[29:43.460] 比如说你开着车走高速的时候，或者说咱们启动，您没来得及请刹车。
[29:48.980] 可能往旁边看，然后。
[29:50.380] 怕的时候前方突然出一车货急刹车了，您的车辆可以帮您主动刹车、动车、动车，这是确保的满眼睛的。
[29:59.760] 到时再说。
[30:01.420] 还需要打开什么开关吗？不休不行，你知道了，不光有多开心。
[30:05.990] 那就说你说前面开的时候突然要撞墙了，它也会自动发生。
[30:10.490] 撞墙不行。
[30:12.850] 他不行何必账。
[30:14.710] 还是有那不行，他是能识别到车辆，
[30:18.240] 一车就金属的对吧？只要车辆其次上面行人
[30:23.560] 撞了
[30:24.500] 固定的行人死了车，我能理解是金属，那行人他怎么能够
[30:31.150] 能识别它，通过超声波雷达能传感到有点横向型人，
[30:35.520] 这是全国统一政策报告单。
[30:38.270] 我这里写了一个就是清楚明了。
[30:41.670] 你说咱们30。
[30:43.310] 9 4800，交完优惠以后是348,000，占多少呢？
[30:47.770] 俺这是直降45,000，
[30:49.270] 够置税是30,956，保险预估1万块钱，咱们吃饭还送5，
[30:56.520] 上牌2500，这两种是待定没写，
[31:00.040] 全下来393,256再减6000，
[31:03.840] 就是387,256。
[31:08.400] 东方保险的上了39万多，在发布会40万没有这一毛钱。
[31:14.870] 我算这里面包含了1万的保险，
[31:17.560] 不是写这个了吗？完了减6000就说完了这里面我想说完了，在上9000面膜贴的膜完事
[31:26.150] 那就40万，但是
[31:29.190] 他不超过45套，我写不了都办了，行，这个问题咱们就解决了。
[31:35.680] 比方说
[31:38.360] 说我交了定金，说周三来交全款，
[31:43.950] 交完了我就可以把车开走了，可以开走的关键是什么呢？
[31:47.960] 名牌谁办的？
[31:49.520] 不买。
[31:50.240] 不是，我开的时候是不是就有临牌了是吧？是。
[31:53.480] 样的，它就成为办理首先和重要在店，
[31:56.580] 车子离店手续，首先和尚在咱们店里可以放心，交上款咱就能开票，
[32:02.330] 大头按你
[32:03.850] 拿合格证你出保险在办一牌我的你吃饭手续
[32:09.310] 交给我们操作，万一办理
[32:11.010] 你主要填。
[32:13.460] 都在。
[32:14.910] 上面两天都在这里头了。
[32:18.540] 对。
[32:21.920] 都在这里，然后您旧车
[32:24.600] 像您的名，您只要。
[32:26.810] 提供我们的身份证旧车过户我们帮您去办业务，身份证还没要在你这。
[32:31.890] 放在二手车部门还要办理过户U或者说你不方便的话，可以跟我们那边说过户的时候您过去，然后安排人家里谁
[32:40.060] 司机会过去一趟，就是骗我不能给到4S店，我就安排人，你给我弄完以后就拿走。
[32:46.570] 这也OK没问题。
[32:48.000] 我们都没想到了，因为其他身份证不能放在这，我们一个同事都放在4S店，
[32:53.450] 结果到年底办保险，说他们名下有两辆车4S。
[32:57.620] 拿他的身份证用的名片，我们这不会。
[32:59.840] 放心的，然后当天如果咱们交房的话，身份证你肯定带过来了对吧？我给你办完手续，您身份证当天我就给你，
[33:06.500] 你就能拿走。
[33:07.680] 当天交完钱保有银牌了，保险我们给出的是两个小时以后生效，就当天生效了，你就能开走窗口了。
[33:14.770] 那么
[33:15.590] 会给你安排全方面的培训讲解。
[33:17.890] 拿来修那些礼物，这些旧雨伞的，
[33:20.420] 往后过户我帮您办指标下来我们帮您更新，
[33:24.590] 到验车交购置税我们聚焦，最后说电车我们约上验证以后，我会联系你后来把验车去了。
[33:32.420] 有哪些方面？比如周三方面，OK咱们就是安排只有周六和周日有时间。
[33:38.630] 咱们都是周一到周五。
[33:40.240] 所以说可以请半天站在咱们10月份。
[33:43.730] 对，然后车开过去，我们还帮您卖电车，只不过说你得把车开过来。
[33:48.880] 然后怎么行，我还是保留原号牌是什么，再选一个
[33:52.600] 都行。
[33:53.360] 保留原号对原号码，因为什么呢？
[33:57.670] 一PC对都是大院的通行证，一般都通行证。
[34:04.470] 通通都是那种。
[34:05.680] 要把你都得去变更都麻烦。
[34:10.710] 行，小张那这样，
[34:13.070] 我再琢磨一下，我到底弄不弄，如果弄的话，
[34:18.010] 近几天我就来给你来。
[34:21.760] 办手续。
[34:22.790] 把手机先把定金交了，
[34:25.220] 然后你说哪天有车，下周出差回来。
[34:31.310] 这样
[34:32.440] 等于
[34:33.740] 我把旧车开到你来给我办手续，你估计大概的就是说能多少钱？
[34:40.240] 不能说了，我这个视频对我不是评估的，我这个给您。
[34:44.920] 不是很准确，我就别跟您说了，咱是新车这边我能跟你说，我说出的你们这一边那就车真不好说，不知道，咱确实不知道。
[34:54.680] 那么你是下周出差你们就走是吗？
[34:57.830] 走，明天就里边。
[35:01.370] 是什么时候没了？
[35:03.040] 三礼拜三回来您这样，今天金对于重金属。
[35:07.240] 车给你订上，我们就把这车坐第二次。
[35:10.140] 再检测一遍，确保车没问题，靓车是不是还有？
