[00:00.130] 我就是他们忙。
[08:50.010] 万1千
[08:53.230] 4:30开始，
[08:54.350] 我说那车里东西都拿齐了，
[09:16.710] 他明年
[09:17.940] 个保费能涨多少了？
[09:20.000] 一次出险涨了1000多块钱，现在出一次就那啥了。
[09:24.330] 队长
[09:25.880] 它不是长，它只是折扣，
[09:27.970] 拿不到那么多症候。
[09:29.610] 折扣相比以前还是往下再往下降，但是跟您去年比对，
[09:34.710] 就涨了差不多1000块钱。
[09:47.260] 说那就这点钱还不跟他私了了。
[09:51.000] 可能
[09:54.720] 谁知
[10:00.810] 我这车都被别人给我挂号就回了。
[10:03.180] 厂商
[10:05.030] 听了现在案发，现在这保险公司不是保险精算，
[10:09.650] 是多少钱以下比较合适的。
[10:13.720] 还是看车，
[10:16.790] 对方那个车，比如说咱们全责，对方那个车要是能走个交强险就赔了，咱们这不休，
[10:22.590] 这也无所谓，走的保险招商险2000块钱都给他培养了，总觉得教练他的
[10:27.930] 不是比如看是谁千4百，
[10:29.700] 我前天说说咱们相隔就走，咱们就走一交强险2000块钱都给赔了，都不动动商业险，
[10:35.710] 可能人家登了gun几百块钱，
[10:37.870] 首先焦点就等于是出险，退休我的是吧？
[10:41.760] 对咱们这车不修的情况下，
[10:43.880] 退休的情况下，
[10:45.550] 因为咱们这车肯定就超了。
[10:48.060] 这样
[10:51.090] 走交强险是高是两两千是吧？对。
[10:57.390] 还不如给他1000块钱。
[11:00.040] 看看他的什么车了，看他修了多少钱了。
[11:03.700] 讨论了，
[11:04.750] 估计他那样也是风格期，就没多少钱。
[11:08.810] 几百块钱。
[11:10.390] 没有了。
[11:13.190] 的
[11:15.850] 了。
[11:31.000] 您说像那种走展览馆，
[11:33.620] 只有权责的那方走全责的那方面肯定是我前段不会给患者
[11:40.780] 取车单给您，上面有我电话，有事您给我打电话就行。
[11:44.410] 这个合同对取车单咱就拿这来取车就行了。
[11:48.240] 对，消耗完以后我会通知您。
[11:50.860] 然后我明天就把这些盖章还交到后面，对给保险不就行了，这就齐了。
[11:58.390] 一下。
[12:05.120] 我这边就没事了，对您就没事了，你就回去就行了，走起了。
[12:08.870] 对，好的好，谢谢您，没事。
[12:11.340] 再打电话了。
