[00:02.210] 行驶本给我车里别搁贵重物品，我就简单看看十几分钟20分钟，
[10:11.660] 验证时间差不多20分钟左右，车里边个人贵重物品需要您全程陪同。
[10:19.000] 还有在试驾前有一个是假告知，提前给我说一下开车需要有什么注意的，有没有注意问题跟事项提前给我说一下。
[10:28.890] 这个验证完所有问题回来以后，20分钟以后会有一个
[10:34.470] 当天的成交价格，
[10:37.070] 如果确认没问题就可以签合同。
[10:40.220] 如果有异议，您可以自己再考虑一下，
[10:43.800] 但这个价格是有时效性的，我们现在的旧车价格是当日有效，
[10:48.980] 以前能保留三个工作日到一周，现在都是当日有效。
[11:02.120] 车
[11:04.430] 皇冠车还没打，回家不干。
[11:26.460] 刚刚我什么车哪个位置？
[11:29.930] 我在就你鞠躬，他车在哪了？
[11:34.600] 车载黄庭坚塔这边后厅前排往后听前台门口走，你是用户去跟着还是不跟着，要不拿钥匙去？
[11:43.180] 跟着。
[11:44.640] 跟着那就让用户往车里边走，我现在往过走。
[11:48.000] 行，这样我先在后厅门口看车了，马上过去。
[11:51.880] 走了。
[11:57.290] 好，一看车。
[11:59.900] 是叫谁赵瑞德还是你继续。
[12:05.120] 那行那就过去。
[12:07.480] 055. 
