[00:01.310] 然后交到客户刚开始。
[13:13.660] 让我们
[13:14.720] 在办公室我也
[13:16.800] 就像躺着
[13:19.880] 帅哥。
[13:26.800] 留着也能
[13:28.230] 遭遇
[13:29.200] 年轻。
[13:31.800] 啥时候办这事儿？
[13:33.010] 12年。
[13:34.280] 12年。
[13:36.350] 2000的。
[13:44.490] 三份合同基本上刚才咱们签完了就不用您签了，这份合同跟之前的一样，
[13:49.560] 这份合同就包含了
[13:51.860] 车款以外的，像税、保险、
[13:54.910] 装饰主要是这些东西，一共是这么多钱。
[13:58.080] 这个是一个财务信息表，
[14:00.280] 包含所有咱们这次要汇款的交款的项目，
[14:03.710] 还都是车主的信息，这些都没变化，30 60873273800，您交了1万定金，尾款还剩26，
[14:12.840] 然后第一个有一个2500的验车，一个购置税，一保险保险给您算完了，
[14:18.430] 因为送了您5000一共1万多，您自己交这么多钱就OK了。
[14:22.340] 下面这些所有项目的明细13,800，
[14:25.760] 加起来以后一共是32，您交了1万定金，尾款还剩31，
[14:33.080] 然后没问题，我就找领导签字，咱们交钱就OK了，我还要签字吗？不需要。
[14:37.770] 所有的都不需要您签，刚才您都已经签完了。
[14:41.870] 您只要一会您确认一下，保险被保险人记得改名没问题。
[14:48.210] 我把现在就
[14:59.650] 被保险人是你
[15:13.280] 一样拿出一份，
[15:14.640] 你先看着我去找领导签字，几行这样节省时间回来，有没有问题？咱们直接交钱了。
[15:21.430] 这一份可以每一份都给您一份，那是几份了？
[15:24.770] 这一块。
[15:25.800] 就是消费销售信还有点差异。
[15:30.360] 等了一会儿了，
[15:32.190] 或者搜救一会儿过来给你拿两份会计审，你要传文档，
[15:36.650] 聊了联盟是吧？
[15:41.060] 智能城市，然后
[15:43.910] 一会还得拜托你有几个字需要还得签一下。
[15:51.200] 别糊弄名，上次有一个1万块钱的定金的店铺，辩护方显您被电帮我写车主日期不用管还是一样。
[15:59.040] 这是一个委托书，委托书代理人写您，委托人写车主，
[16:04.890] 然后委托人写我写车主是吧？对有的人的写车主。
[16:09.450] 我还得打一个店铺。
[16:11.800] 因为这次交还还是是您话说垫付是我写我的名字是吧？被垫付是写车主对店铺，因为是您交钱辩护方现金。
[16:57.310] 这个是我要都画上勾。
[16:59.440] 不需要。
[17:01.810] 要迁您就千万。
[17:07.890] 委托人是车主是吧？原告人是特殊。
[17:18.430] 身份证放了，
[17:20.150] 但是用完了。
[17:23.260] 是下周验车是吗？车我是到时候把开到我到时候给你发个
[17:29.430] 微信里边有一个
[17:31.640] 那个地点我给你发过去，到时候你早上别迟到，直接过去就行。
[17:37.410] 早上得大概几点？
[17:41.850] 早上7:30就到了。
[17:45.000] 这辈子没
[17:46.980] 身份证我还得拿着去是吧？两张身份证你都得拿着你的身份证，然后户口
[18:03.170] 然后还得写份垫付。
[18:05.240] 店铺是这次咱们交款的钱，
[18:09.650] 这4个
[18:11.040] 这样跟你金额11,000对一下。
[18:14.230] 还是并购方姐您被警方给出的是
[18:17.260] 30还交31万。
[18:19.520] 01点
[18:21.800] 就在这等我一会。
[18:24.510] 行吧，店不光是
[18:31.600] 王圣淳
[18:33.090] 民大的一个老师，
[18:36.240] 对着我31万，就是您的信息表32万，
[18:44.230] 你都能看出来。
[18:49.080] 对。
[18:50.600] 这不是车价款吗？研究地感觉。
[18:54.420] 他一拨它刚开始用会提高。
[18:56.800] 课程两
[18:58.880] 58折。
[19:13.520] 还可以
[19:15.840] 上牌服务。
[19:17.690] 他不这么
[19:18.630] 自己上班是不是？
[19:19.920] 几百块钱就行给我们。
[19:22.740] 这是潜规则是这样。
[19:25.270] 他捡的2500都让我分期的话，他把这2500去了。
[19:31.160] 夫妻他们还能提，别的经对还有任务还有指标，
[19:37.590] 空气太麻烦。
[19:46.240] 说是进口。
[19:47.100] 口蘑我也不知道是真的假的。
[19:49.260] 买进口的。
[19:50.940] 国产就是牌子是吧？
[19:54.620] 或者东南亚的那种
[19:57.100] 贷款买。
[20:05.020] 对。
[20:10.880] 还是
[20:11.950] 你也不是东西。
[20:26.410] 他或者
[20:27.140] 他这个是啥意思？
[20:30.290] 延伸服务的，除了车以外的延伸活动，这是你定的吗？
[20:35.620] 对，这个是他装饰是你买的是吗？对，那就是一个
[20:41.370] 玻璃膜，然后隐藏式行车记录仪，后备箱脚垫，还有个什么发动机底护板。
[20:48.590] my sun然后
[20:51.470] 各种别的费用，
[20:53.690] 保险
[20:54.740] 购置税收费330+10,008，总共是43,000 7百对优惠了吗？没用。
[21:01.810] 因为保险15,800优惠完之后，
[21:07.710] 4000没有4G对就是优惠后的样子。
[21:10.700] 这个是你我这买了，我以为送的。
[21:13.800] 两个孩子。
[21:14.540] 他们是他。
[21:16.720] 不用可以不要的是吧？是我知道对你如果不要的话还能便宜。
[21:22.670] 13,800。
[21:24.120] 但是我想你要就算了，得一次弄，一会儿还得去买，对自己买便宜。
[21:30.610] 是吧？
[21:31.500] 网上每天一套三人互相店600块钱买卖，听得出来钱，
[21:37.070] 你其他技术也好消息，也不是
[21:39.900] 不是说脚垫。
[21:41.340] 脚垫、后备箱垫4句，现在不需要。
[21:44.840] 有影响。
[21:45.880] 刚
[21:46.720] 不能满意自己好的东西。
[21:48.160] 他什么维护的什么隔热膜套餐，这里有点麻烦，对贴膜
[21:53.440] 挺不错，但是
[21:55.760] 肯定是在4S店贴放心了，不是我他铁路好了谁？
[22:01.020] 对。
[22:03.070] 我就想着他是弄对他弄。
[22:07.690] 多的都花了。
[22:13.810] 那天了离了
[22:15.440] 30多万都花出去了，还差你是八几千块钱。
[22:19.910] 在别的那边调动，虽然便宜，但是确实受不了。
[22:24.780] 我不知道他不对，主要是不知道靠不靠谱。
[22:29.330] 现在我就在想这个车其实就不应该这边进去，
[22:32.650] 应该在38号楼。
[22:34.680] 没那么专业。
[22:36.700] 修车的，
[22:38.040] 他可能就真是是会修车又跑修理厂，
[22:42.030] 但是他不是专门做这个品牌的，你比如说他可能车本身一些特性是什么，他都不太清楚，
[22:49.050] 给他给你
[22:50.260] 让机器人给修好东西，
[22:55.710] 是吧？
[23:05.100] 对。
[23:16.080] OK这三个我就不用了，都不用了是吧？就不先放先放你那也行，你都收好就行，因为所有的条款都是一样的。
[23:24.950] 然后我看完那了点钱完了先过来了，
[23:29.800] 走先上楼，我忘了给你拿水了。
[23:33.030] 没事我的身份证。
[23:37.700] 我在这等着。
[23:39.440] 一会给拿出来跟拜拜没事完事了，止住端庄您停车。
[23:49.940] 要他在楼下歇着也巧了，你再说一下，待会聊天。
[23:54.040] 是吧？
[23:56.360] 把这茬给忘了，一会送点水过来。
[24:23.280] 掩盖，
[24:24.120] 可能再也不想离开。
[24:26.260] 9871
[24:27.840] 66903
[24:30.300] 就行。
[24:37.010] 因为证据的一般证据
[24:42.480] 好勒。
[24:44.760] 需要。
[25:01.200] 慢慢
[25:02.440] 提交完了是吧？
[25:07.730] 车主的身份证给我。
[25:15.350] 分解。
[25:23.420] 店铺。
[25:24.720] 颠覆
[25:25.760] 电子
[25:26.920] 有原件。
[25:30.780] 手比的
[25:32.580] 你这个不行，鞋垫都不行，
[25:35.410] 不行，你不能用这个
[25:38.480] 早的时候不用不能用。
[25:40.730] 比的就是马中专业这也是吗？车主本人也在马上穿就是它了，这是什么？
[25:47.090] 信息表不是你这个名字不对，
[25:54.760] 然后听错了先跟我没关。
[25:58.210] 想笑小金今年是724 8974
[26:04.540] 了吗应该能。
[26:09.130] 我只要
[26:11.060] 这比的
[26:12.400] 对吧？
[26:13.400] 在身份证什么？
[26:18.820] 你俩咋都是一半的吗？
[26:20.880] 没有，一个是有没有？
[26:24.750] 我怕他跟我要手比的。
[26:31.950] 来把卡给了。
[26:56.830] 这是口红张。
[26:58.440] 我这一会给你一份，但信息表我就不给你了，信息表跟它一样，就是看完账号现在。
[27:08.510] 我给你一份应该我也差不多。
[27:12.400] 我三张。
[27:13.750] 有的等我一会给你。
[27:15.720] 行，这个给你。
[27:19.350] 都给你，相当于你把那几个被扣当你全给扔了。
[27:23.810] 这没用或者尼玛没扩张给我，我万一我要耍我了。
[27:30.570] 真的做完了。
[27:35.840] 你有带吧？
[27:37.110] 把这些都装着。
[27:38.460] 对。
[27:40.050] 把这给
[27:44.290] 这个也刚。
[27:45.780] 对，这都是你的刚才不一式三份的，这个是咱们手笔的钱。
[27:56.080] 现在要给你们。
[27:57.590] 来说下谢谢给
[28:34.470] 走了。
[28:35.390] 他们这一路
[28:37.680] 印强也不行，
[28:39.530] 意思跟印的人有关，下次找张超演。
[28:43.910] 张超印的我这边都能散了，就唯独空调也老嫂子。
[28:52.440] 昨天一天
[28:53.820] 10个里面69的组成。
[28:59.080] 咱原件吗？
[29:10.750] 这是一个收据。
[29:12.400] 贵州对国家税务局给你开保险的，一会保险公司给您开店代销。
[29:18.950] 好。
[29:20.440] 还有完事。
[29:22.380] 开玩笑。
[29:35.160] 在这开票你发给
[29:41.910] 满。
[29:43.380] 78七8分钟行吗？
[29:47.570] 你这边
[29:52.710] 现在来我现在就教
[29:55.990] 交不交开车开始你赶紧让他着急。
[30:03.220] 要。
[30:05.160] 楼下不会他蓝色的意义不是在北京展厅前两天前你过去，
[30:10.810] 我让客户下去找你。
[30:12.990] 我现在就这样，好了，拜拜。
[30:15.490] 你去吧。
[30:17.060] 我给你看着手机，你在车上销售人员就马后炮
[30:22.160] 号。
[30:23.040] 我知道。
[30:57.600] 目前是第四是吗？
[30:59.890] 的。
[31:01.180] 对，40步骤。
[31:03.110] 小玩意看稍微看了是吧？上边你把可摘的首钢号，
[31:09.770] 咱还别这样，没天完事了。
[31:13.510] 我跟你说泡馍，我就说
[31:17.140] 是营销的。
[31:18.560] 您交的？
[31:19.640] 史永文。
[31:21.570] 药店积分那行无所谓，基本上
[31:26.300] 一共1000块钱买进去了。
[31:28.810] 结果。
[31:29.440] 年完成。
[31:31.730] 141430。
[31:34.400] 我想作为新年我不跟你交什么，不是
[31:39.880] 刚买新的
[31:44.060] 力量了，
[31:45.600] 我上睡觉
[31:49.290] 我都不行。
[31:54.390] 衣服出来那就先过去了。
[31:59.160] 谁知。
[32:01.080] 电脑吗？
[32:01.920] 不用电话。
[32:04.960] 要明晚我把热点给你打开。
[32:08.160] 不要拿。
[32:11.100] 谁知
[32:14.360] 你看
[32:16.280] 为什么不行吗？
[32:20.790] 签收我就找不着了。
[32:26.080] 张磊您这PI3买行车记录仪。
[32:31.020] 谢谢各位。
[32:33.350] 非常花单买一个就是说像这种。
[32:37.260] 你好像还有庄园。
[32:39.480] 或者说有点不错，我前两天刚买了一个什么不变。
[32:45.230] 那么不做刚买的，我知道昨天还做了。
[32:53.090] 我昨天问你的单买一个精品，这种是不是他们给搜查？
[33:00.830] 您
[33:01.870] 不是置换是吧？挺好。
[33:05.000] 行吧我知道了，稍等了。
[33:09.350] 行，我一下也不用了。
[33:11.930] 好给你锦瑟。
[33:14.190] 你说你不相信谁也得相信我行，我不能
[33:19.950] 你看你这边有鬼，
[33:23.130] 今天我P得这么慢，
[33:26.500] 打电话对。
[33:28.320] 我还。
[33:30.010] 是你说。
[33:31.820] 叫什么名车主？
[33:35.400] 您是一聊，谢谢尿了，我就。
[33:38.840] 马云想给你讲。
[33:40.100] 我选PI缺点1500
[33:44.590] 1480~26元。
[34:02.600] 今天。
[34:03.560] 480。
[34:05.080] OK。
[34:06.380] 没有。
[34:10.080] 我自己盖章了。
[34:11.360] 我把留下一张单子给你了。
[34:14.940] 我有点让点都过一下好吧？
[34:20.400] 刚刚好在这里。
[34:22.620] 再一个就行了。
[34:27.510] 这样。
[34:28.750] 给你留意着。
[34:30.950] 您这边签。
[34:32.960] 千万别发给你签字，行等活动现在。
[34:40.440] 谁让你同桌改正？
[34:42.910] 点动一下写一下。
[34:45.120] 这边千这个是王子其
[34:49.720] 13,000。
[34:52.430] 行，您的话稍等，我让他把过就行了。
[34:56.760] 你把拿单子
[34:59.240] 装着聊。
[35:00.500] 不用开进去了，还小。
[35:07.200] 还有什么？我再看一下。
[35:12.160] 我去批评你。
[35:16.050] 还得签字先生。
[35:18.270] 比如在长沙的实力，谁知。
[35:32.540] 您不听那个指标可能的素雅是吗？
[35:38.950] 了。
[35:39.920] 你跟我说。
[35:41.290] 说
[36:08.840] 这个问题
[36:09.800] 还
[36:11.480] 您的情况也好，给以前交钱
[36:15.930] 开票这都算他们没有。
[36:20.360] 咱们有一个
[36:36.150] 确定了你们的指标，
[36:38.020] 然后的话上司
[36:40.060] 他那边只要没有更新下来也没关系，这边可以说先开票办停牌，你可以车先开走这边。
[36:47.910] 咱等指标下来了，这边交给我们工作慢了，
[36:52.020] 交费了，
[36:54.750] 然后开车过去，
[36:57.530] 就是做完。
[36:59.950] 不容易。
[37:02.590] 行。
[37:04.540] 我可以把这里面电话一下。
[37:06.610] 不断的
[37:07.780] 你看内容发展
[37:10.520] 应该没问题。
[37:11.660] 看不到为了。
[37:13.240] 发生了。
[37:14.920] 电话
[37:51.830] 介绍
[37:52.930] 其他问题了。
[39:24.330] 咱们
[39:29.480] 还有。
[39:58.910] 没过了。
[40:19.930] 检查三天量的过程。
[40:21.800] 我自己来没事。
[40:25.150] 早上买。
[40:33.470] 装
[40:34.480] 来。
[41:02.830] 天网
[41:04.010] 了。
[41:50.320] 我是一个方面，
[44:18.490] 外。
[44:27.920] 恒大在
[44:30.480] 其他的
[44:34.830] 反正他们也报价报收大
[44:40.240] 因为
[44:44.500] 完了。
[44:45.600] 您没事吧阿姨您慢点，出个全免，您别忘了在前台展现。
[44:53.840] 您在哪？我在保险这，要不然您过来。
[44:56.950] 我直接你从我这扫就行。
[45:03.610] 我给您发到微信里，您会识别吗？识别一下就行。
[45:15.760] 扫的是扫的是全免全面没事，什么时候出都行。
[45:27.890] 那行了。
[45:29.000] 那行。
[45:30.850] 好好的阿姨您慢点。
[45:34.670] 没事了阿姨好。
[45:40.300] 好了阿姨。
[45:41.390] 好，
[45:42.320] 拜拜。
[46:23.660] 张哥之前有凯美瑞姑姑，你
[46:26.220] 鑫有没有印象深是您姑的七八万块钱？
[46:32.550] 好了哥。
[46:34.560] 快。
[48:34.950] 上个月的。
[48:45.130] 看一下。
[48:46.270] 好好听课，稍等。一下。
[48:56.600] 开凯美瑞是吧？
[48:59.950] 还没问。
[49:01.510] 你确实还
[49:05.550] 上面也没有的吗？但是这车没倒过来。
[49:10.640] 前测过没哭过。
[49:12.890] 远大三个月。
[49:25.980] 过去
[49:31.160] 号。
[49:33.190] 看看
[49:36.190] 数据。
[49:38.200] 5月25号。
[49:41.160] 号
[49:45.550] 应该52。
[49:47.920] 每两天过来评估的就不是当天的
[49:57.140] 没有。登记吗？
[49:59.970] 你给顾客铺个车了哥。
[50:02.710] 行了，今天什么就交车之前给姑说大概七八万块钱，然后今天不是来了。
[50:09.430] 好
[50:10.240] 了知道了，好好等等我去哪找你，我现在你不会生。
[50:15.470] 好勒。
[50:24.720] 这边
[50:27.570] 15 PI5。
[50:30.440] 然后我骗我一会，您看能不能帮我看一下，我看看这里面应该能查出来。
[50:35.840] 过期了就我们7天别说7天3天假个人都不认账了。
[50:39.940] 直接通道原来等等我看看，但是我跟他说了，说你肯定为什么了，对车站我直接给他算了，公司不管了。
[50:48.680] 的。
[50:57.330] 没意思了。
[50:58.660] 要不成本应该说上纲上线
[51:01.270] 成了。
[51:02.910] 上周特别多钱我出来了。
[51:07.010] 手机用完了之后，我们看到谁知
[51:11.880] 三。
[51:12.860] 你知道吗？
[51:27.350] 多少钱？
[51:28.510] 好。
[52:47.780] 一会我说着保险
[52:50.410] 你把我的给我发给你。
[52:52.770] 谢谢，给你打电话，我把谁给的哥们。
[52:58.370] 对给你。
[53:00.310] 喝口水，抱歉刚给拿准，没事喝点水喝点水没事，一会进来的时候你敲门，要不然这边做另外。
[53:07.630] 好。
[53:12.970] 你带着红茶干嘛？
[53:14.440] 发完以后我估计的话得12:30去半条，
[53:18.130] 得12:30了，怎么来的查，因为现在保险还没出来，11:30就休息
[53:23.270] 了，宋仲基。
[53:24.480] 现在11:20来得及，一会你在这吃午饭，
[53:27.600] 别太着急，既然来了踏实的干一点时间，
[53:31.090] 我尽快给您安排怎么办，现在干嘛？
[53:39.320] 也
[53:55.130] 总监也不多少。
[53:56.670] 我找找楼上楼下来回倒没事，你看在那放着你看看。
[54:01.660] 确定的话你干嘛？
[54:03.270] 没事儿，昨天就得着那个证我都有点资源那个是吧？
[54:07.510] 对了。
[54:08.760] 这样我看着他玩了，因为这边我刚才说了看着。
[54:14.210] 上
[54:17.830] 要还得
[54:19.870] 扫楼怎么样
[54:23.400] 了？
[54:25.280] 几个点了又朋友怎么着？
[54:28.720] 一下。
[54:31.360] 别带手机了吗？下午等等。
[54:37.560] 试驾。
[54:40.600] 技术处理一下。
[54:45.640] 什么样的分别？
[54:47.700] 好。
[54:49.190] 6月份6月。
[55:04.400] 你开始不要回来了。
[55:59.120] 行，您是看着PS哪款车？
[56:02.230] 你看这地方可以看到。
[56:07.200] 的。
[56:09.130] 因为我下周。
[56:11.100] 的情况。
[56:12.660] 颜色要什么颜色，您查一下调查一下母亲的眼车。
[56:33.880] 我们现在天涯还是
[56:41.690] 选车的颜色有黑色，有白色，
[56:44.510] 色和白色，然后类似的话
[56:46.400] 红色和黑色。
[56:48.090] 您菜谱的。
[56:51.160] 进一点都比较。
[56:54.510] 欣赏结果大部分都是白色的，你是想要什么？
[56:57.500] 颜色有别的
[56:59.920] 保持这种的
[57:18.720] 喜欢颜色。
[57:45.130] 忘了。
[57:55.040] 第二。
[57:56.290] 男的不算。
[57:58.690] 猜地点、材料、
[58:02.490] 喝了点坏了。
[58:03.950] 这块
[58:06.720] 赶快。
[58:08.350] 多少号了？
[58:12.290] 一个利好白天。
[58:15.120] 好。
[61:31.850] 回去。
[67:50.560] 你尽快。
[67:51.680] 我说你上午现在您基本上弄出来，我看你看你办完了赶紧给我送过来，看能不能来得及。
[67:58.710] 这个点说不太好。
