[00:00.350] 但是交通
[13:59.660] 给我上网先简单看一下，大概下来的时候，但是大概就我说道路的好像
[14:06.170] 取得了
[14:07.680] 咱们插不上咱们都到不了6万，上诉大概说下基本上我估价完了到网吧之间，
[14:14.720] 所以我看完车的系统刚刚
[14:18.530] 我55,000
[14:20.270] 上下操作这样网吧，所以我们可能达到就到了，
[14:25.460] 我们因为城镇化也大了，
[14:27.800] 的价格的妆都没
[14:29.840] 因为什么问题？
[14:30.740] 他不是车祸之类的。
[14:32.510] 农药他市场这种人要的。
[14:35.760] 明白还是没吃饭，你们怎么看？
[14:38.620] 可以在上面操作。
[14:42.260] 确实东西
[14:43.260] 我拿出来。
[14:45.180] 这是发票。
[14:47.350] 这个不说还得有一个方法，完了非常
[14:55.310] 差距，这就是在
[14:58.470] 的，还有一个是今年
[15:03.000] 对。
[15:04.230] 是一个怎样的上保险，还有三天保险。
[15:07.800] 没事，明天晚上老师告诉
[15:14.290] 我打电话，
[15:16.090] 直接到后面保险您着想我了，
[15:19.800] 商量半天，主管还能退不少钱让去动手做一下。
[15:25.650] 我因为
[15:26.780] 先生都掉了，跟他过去直接就上，
[15:32.880] 谁知好我就让他盯着收款，您就是解释了章法，投保人谁这么说行。
[15:41.340] 我明白到时候问题，因为您今天从办公桌今天开始了，
[15:46.120] 到
[15:46.840] 开始完了以后，这样子修车就叫做我又开始了三五天，然后现在不买人快咱们再找个人。
[15:56.830] 要好过户的话，怀孕之前三把身份证原件打过来，班组政府负责人回来。
[16:04.310] 等
[16:06.310] 完了一直这个
[16:08.160] 拿过来之后，
[16:15.660] 那里乱扩张是
[16:18.590] 情况。
[16:20.940] 三号我说
[16:22.200] 使用
[16:23.490] 新咱们了。
[16:41.800] 场
[16:46.130] 数据
[17:11.250] 一
[17:12.450] 的。
[17:21.530] 花、
[17:23.730] 数据、
[17:31.020] 数据
[17:35.070] 的
[17:38.330] 的
[17:40.170] 的
[17:44.790] 数据。
[17:45.880] 坏。
[17:50.650] 数据
[18:00.300] 的
[18:02.810] 的
[18:10.170] 了
[18:13.530] 作文。
[18:20.990] 不用您打电话直接他
[18:29.620] 直接有还没到，明天看到那就要看看现在可以发挥。
[18:35.980] 举手。
[18:38.330] 谁知
[18:39.950] 上来就开始了。好了，
[18:45.630] 晚点。
[18:46.520] 黄金还有咱们服务区。
[18:52.710] 三
[18:53.730] 发给
[18:55.190] 啥也没有。
[19:00.280] 然后刚才这样我刚才讲了什么事，
[19:07.440] 是还是批评，刚才已经批完了，
[19:11.660] 听完了的话，现在二第二轮的话也需要你有分期还会需要P第二轮对这个的话只有金融经理
[19:24.760] 出发到金融整理，如果是全款的话就没有这个了，刚才第一轮批完了，如果都过了，然后就可以了。
[19:32.130] 市场上之后它才会显示按钮，或者你比如说现在你批完了，
[19:37.720] 你现在他没批的时候，你是没法做更改的。
[19:41.130] 他只有这一轮批完了以后，不管它它给你拒了，还是他给你批过了，
[19:46.570] 你才能修改这个单子吗？
[19:49.170] 招商张北京的，
[19:51.090] 然后好好回味
[19:53.170] 培训班金融风暴只要你点修改了，
[19:59.860] 怎么
[20:01.510] 他们点的都点得特别好，然后现在的话距离点创建结算，
[20:07.330] 我们叫B了，
[20:08.500] 这个叫习惯了，老板就叫碧莲，然后
[20:11.980] 实际上叫创建结算。
[20:13.680] 这个就是你点完创建结算了才能带沟去财务交钱，就是你没点这个的话，财务那是没有看到这个单子的，你在创建结算之前的话是需要做采购的，
[20:25.130] 采购只有4项需要采购购置税、保险养护礼包和验车，这4项是需要采购的，我刚才已经采购了一个了。
[20:34.930] 采购怎么点，比如说事业能上门，
[20:37.860] 双击研究上牌点采购，
[20:41.550] 相关的有1000块钱，
[20:43.980] 先把所有手续您才能签字，意思你把旧车给老师，车辆不能这样了，这个书在这资金不能开，有点我这边没事，还有周边有
[20:54.380] 一部分人采购建议，这默认的就是输入一，然后这三个出来，
[21:00.740] 点这对go中就能采购成功了。
[21:03.550] 采购完了以后这样出现一个交完以后小推车是的东西，以上舰采购瓶颈对象，这个也是一样，让相关招商积下来，
[21:12.730] 签字账号输入一回车调整，然后采购这号走。
[21:18.970] 收到对我把手机你们下次做好，这张办完你找我签字就行，好了，我先坐这里好了。
[21:24.910] 一会直接找您就行了是吧？其他找我就行。
[21:27.490] 完了新车他就车有东西脑子修车去，就车我就跟他折腾门口，就是说把新车我开到你车边上就走了，就在修车看好了。
[21:38.150] 谢谢了。
[21:38.760] 我才不来。
[21:41.340] 财务那边他们看到
[21:44.140] 采购我也不知道他是什么意思，反正它的系统就是要求这4项要做采购的。
[21:49.860] 而且你在比如说这样看着，像我没采购还
[21:54.260] 创建上我点不了，
[21:56.400] 还有没有未执行的，
[21:58.790] 什么你也创建不了，你只有把这些都
[22:01.720] 都你就把
[22:03.400] 采购完
[22:04.630] 才能创建结算。
[22:11.000] 为什么没有文科？
[22:14.290] 我不在店里看车的。
[22:16.220] 不在电梯，电车你首先这里就不做，
[22:18.490] 你不做你自然而然就不需要采购。
[22:24.030] 你看采购完了，
[22:25.600] 一般都能点了，
[22:28.480] 这点完了就能盖草原，带客户去财务交钱了。
[22:34.870] 谁知
[22:54.810] 林先生
[22:56.160] 要不然用人家手机。
[22:57.990] 这里一下。
[23:00.080] 王过去那种
[23:03.930] 是吧？你说的刚才讲吗？
[23:06.180] 把字条上的后来
[23:09.600] 我家里边没有了。
[23:13.170] 链接。
[23:14.490] 还可以。
[23:15.650] 不用。
[23:17.190] 对把
[23:19.280] 的。
[23:20.490] 所以
[23:28.930] 直接转给他。
[23:30.290] 主要是我手机怎么发微信就行了。
[23:33.810] 不是，是短信短信把短信给我发过来。
[23:37.540] 今天
[23:44.070] 把我的微信里面
[23:45.910] 结束了，OT我可能网络
[23:55.960] 前天开完卡以后，你这还就能显示在OT里边，因为他前天拍的系统就是照片。
[24:02.640] 你账号就是显示正在接待吗？
[24:04.840] 然后现在介绍先生谁知
[24:09.150] 行吗？他们之间我们介绍下。
[24:12.120] 我是把这电话刚才发给他了，我说给我开卡就是发的电话，
[24:17.900] 主要我没接触到客户
[24:19.750] 贷款如果来了就开始就得开场。
[24:22.810] 然后我你要是没开卡结构不的话，
[24:25.560] 发生
[24:27.970] 然后她开始打动我，维护没信息。
[24:31.870] 一般你定理就是接客户不需要特别多的维护，只需要创建好格式的回访就可以了，在这个系统里面你只有订车的和
[24:40.770] 才会去做详细的修改，比如改名字，
[24:44.230] 从马先生改成他的名字是多少是什么，
[24:47.150] 还会维护一些地址类的东西。
[25:11.370] 伪装。
[25:35.200] 您点上来的，
[25:52.490] 超过了不会让打。
[25:55.010] 了。
[25:56.060] 过年点
[26:10.050] 甚至包括听到这里
[26:15.140] 又走了。
[26:19.700] 了。
[26:36.680] 也结束了。
[26:37.560] 中年的话您还做了我了，我正在
[26:42.750] 很快不用再跟他们确认一下，我看打手简单管理。
[26:48.890] 这儿好像
[26:50.480] 后面。
[26:54.030] 安全链接了。
[26:56.060] 晚上是吧？好的。
[26:58.820] 快来吧。
[27:03.040] 继续新房子。
[27:04.520] 把握，然后休息就行。
[27:06.040] 也可以。
[27:07.000] 首先我习惯了，
[27:10.570] 但是你的垫付什么都不行，
[27:13.720] 店铺的不能手写。
[27:15.720] 对你尽量标准统一，
[27:18.610] 都是记载的。
[27:20.240] 这样比较不用你考虑哪个应该寄到哪个应该是吧？
[27:24.480] 咱们
[27:25.600] 这边
[27:33.210] 咱们这块
[27:34.650] 小刘。
[27:49.720] 没事，您坐。
[27:50.990] 对一下。
[28:23.390] 所有的票据的话会在最后给您做交接，也就是说验完车以后，
[28:27.440] 验完车以后就是所有的手续回到我们这儿，然后我再统一一下给你做交接，像那些像办临牌，包括交税这些票据还需要这些原件，
[28:37.760] 包括
[28:39.100] 装饰的发票和验车的发票，到时候都会统一给您做交接，完饭过来也救不了，这是不是？
[28:44.980] 不用。
[28:49.320] 有保险。
[28:56.440] 不用是吧？
[28:57.460] 对着10的。
[28:59.330] 您的号想怎么玩iPod nano。
[29:06.390] 我打一张电话卡是吧？打几张我这里。
[29:10.600] 对。
[29:11.680] 图片
[29:12.560] 之后都不忘高三了移动的段
[29:16.630] 一块
[29:17.670] 在状态，
[29:19.260] 还有一些研究，
[29:51.970] 你0
[29:54.180] 是你交代吗？
[29:55.800] 怎么不是我的，没啥，我没吃饭正在查我还没回来。
[30:01.730] 大概可能100100多个。
[30:12.830] 但是
[30:14.260] 这里边就1000多个。
[30:16.680] 这就是因为你说的有点大，
[31:05.350] 包括
[31:06.710] 我别说了，
[31:37.430] 你开票了。
[31:38.240] 这都是
[31:40.800] 加上
[31:46.510] 说的清楚。
[32:03.120] 好了。
[32:07.910] 咱们这个车款都付完了，然后后面的话是安排给您
[32:12.860] 讲车和讲完车以后我这边出保险，
[32:17.000] 给您办临牌。
[32:22.210] 您要
[32:22.930] 刚刚你们讲说我反正简单点，就大概提笑脸不行。
[32:27.080] 行行，我先问问销售员，现在给人别人讲这还是
[32:31.480] 丰田。
[32:45.490] 讲着吗？
[32:47.590] 好勒，你去看一眼车站那车，他那车的话，
[32:54.100] 你什么时候看的？
[32:57.330] 对。
[32:59.620] 我刚才中午又去做了漆面。
[33:04.390] 你看也好了。
[33:07.490] 对，我现在票开完了。
[33:18.910] 好了。
[33:19.720] 看一眼来找我。
[33:22.150] 我想给你
[33:24.530] 哪来，为什么？
[33:25.870] 完了我也得去楼下，对您不行。
[33:32.480] 稍等我下去复印一下，我这没。
[37:37.750] 真的你看了吗？
[37:42.160] 这样五六分钟你这样把那车开到超市门口了，
[37:50.100] 因为山上的旧车就在交警门口，他可能一会还得找点东西。
[37:59.960] 好勒，一会你这样你把车开到那里给我打电话，我带客户过去。
[38:05.150] 好了，再见拜拜。
[38:44.850] 好玩。
[38:58.410] 等他那车开过来，
[38:59.900] 咱们就下去。
[39:10.050] 出保险他给你打电话了吗？
[39:12.690] 没有朋友。
[39:29.070] 打电话要一个验证码。
[40:57.080] 张师傅。
[40:58.320] 客户的身份证你是这两天还约不了过户，现在还是约的吗？32。
[41:07.990] 客户离得您住哪？
[41:11.000] 记住的，不你知道什么时候出的不远，对，都不知道什么时候会。
[41:16.520] 我的意思什么时候给，你的问题出在吗？
[41:21.500] 还是跟以前是一样的？
[41:24.920] 行行我知道。
[41:26.390] 那是这样，
[41:28.570] 他现在过户还是预约制的，所以说身份证您今天还拿走，他什么时候需要用到身份证配合过户的时候会再联系你。
[41:40.360] 你要是不方便过来的话，交给小宋送过来也行。
[42:10.600] 给他打电话来调查。
[42:13.600] 好勒，我让田震过去去。
[42:16.850] 好好再见。
[44:11.590] 你得办一个居住证，如果是外地身份证的话需要办一个居住证。
[44:20.120] 前期买可以，你先上来先买，然后但是你搬到后边的手续的时候是需要用到这个住院吗？
[45:55.430] 第二点保险好了吗？
[46:00.170] 给你吗？
[46:03.560] 我看一眼。
[46:07.710] 没有了，有的我发给他们了。
[46:18.130] 没我开发票没给他开过来。
[46:21.470] 我说怎么这么半天？
[46:55.750] 我这边都完事了。
[47:00.270] 好勒。
[47:01.420] 你把那车放到哪就行，我过去找你。
[47:03.800] 拜拜。
[47:21.710] 好。
[47:31.160] 对吗？
[47:36.600] 你知道了吧，一会你再给他补单子一下。
[47:40.270] 稍等。
[47:42.720] 今天
[49:06.390] 先说
[49:08.550] 何总
[49:09.800] 你有时间吗？你方便到时候又来销售行动门口第一个电脑，
[49:16.920] 巨卡，
[49:23.270] 好吧，点一些东西特别半天才能出来。
[49:27.380] 好了，还有吧？
[49:50.860] 是OTS店打印出来的。
[49:55.190] 手机
[49:55.960] 金融系统对联系桶里边，
[49:58.000] 还有一个叫下载的过程中，
[50:29.410] 了。
[50:30.350] 那么没有没问题，
[50:32.370] 这就照着对0.5元的差不多
[50:34.840] 或者什么。
[50:37.840] 对，这已经很到位了。
[50:45.060] 过几年。
[50:46.390] 对。
[50:56.720] 我怀疑他。
[50:57.900] 实践活动还是行。
[51:00.620] 从餐饮客房谁知
[51:03.530] 还有
[51:07.470] 还是新。
[51:08.370] 肯定是。
[51:09.450] 或者没事了，
[51:11.190] 看着超车，想好了您先溜达到门口抽烟，我马上就随时下去走，
[51:17.610] 然后我要操作验证码，然后再放上去，
[51:20.360] 他马上那个电话就跟过来了，他就跟你要验证。
[52:09.990] 第一办公室
[52:13.880] 你们这儿也
[52:15.390] 10
[52:16.320] 11个12个。
[52:18.300] 6
[52:19.480] 有1000个500千瓦，
[52:23.550] 但是咱们这上面有人卖24，
[52:27.160] 海南是一打的吗哥？
[52:29.550] 号。
[52:30.620] 好，为什么？
[52:32.530] 你那为啥出来了？
[52:37.320] 你
[52:38.640] 4了。
[52:46.640] 你说都是没在。
[52:48.970] 他都是一颗买的。
[53:03.270] 接不过来。
[53:51.880] 王哥你那电脑都是你微信吗？
[54:25.720] 该不会又是你打的吧。
[54:27.330] 不知道吗？
[54:28.890] 操还真是。
[54:30.870] 我都认识了吗？
[54:37.120] Hot。
[54:38.130] 你登一下微信帮我。
[54:40.200] 都高。
[54:47.140] 的it这边
[54:49.910] 我刚给小袁打电话，我
[54:52.510] 我觉得他也够。
[55:39.290] 所以
[55:40.300] 我还有一个维生素你给我打一下。
[55:57.040] 招生人不交接的
[55:58.270] 时候是需要给后台交割单
[56:00.350] 和销售通知书，
[56:01.800] 以及
[56:03.040] 我要供应链
[56:04.750] 发票放量才能开展他这个事情，
[56:10.230] 也就不一样。
[56:12.120] 不一样。
[56:48.760] 他每天会
[56:50.920] 关公我就不给你送过去了，
[56:52.900] 给你发了。
[56:55.570] 出来了。
[56:57.280] 谁是你兄弟？
[56:58.620] 你怎么老了你怎么老来？
[57:02.050] 我还见你一见不行吗？休息都来了，
[57:05.830] 而且还老穿，那么现在
[57:07.770] 我刚才也看不见这些东西，就是说这个时间就能看出来，对你老了您话
[57:18.630] 你干嘛去？
[57:20.150] 我上个临牌。
[57:21.820] 你不去交去那了。
[57:23.820] 不去消费了。
[57:27.740] 聊聊完了。
[57:29.260] 你们摔跤七八十个老大哥都交了。
[57:33.320] 刚几号？
[57:38.250] 他10号的时候当时的车
[57:40.200] 平均一天交一号，早上刷牙。
[57:43.620] 老二
[57:45.880] 是什么拨号忘了，阳光都
[57:49.670] 我他妈完了你这点只能约
[57:52.880] 后天到你了。
[57:55.610] 这边可能月后了。
[57:57.490] 没事活动。
[58:04.630] 你别花花跑路了就。
[58:06.580] 赶紧回去，完了。
[58:08.300] 你这个船你知道吗？
[58:10.990] 还烦你拿着，
[58:13.590] 你不把政策放不了，
[58:15.810] 你管工程不管什么，
[58:18.420] 你说这
[58:19.590] 可以。
[58:21.240] 怎么又变成我帮你了，不是你也不能怪我，我一直在这解决这块。
[58:26.140] 900怎么着还没解决完了，你先整明白了吗？明白了。
[58:32.180] 你再跟他要一份。
[58:35.430] 这就真的是他的吗？
[58:37.870] 知道。
[58:54.350] 他的订单。
[59:26.010] 接上头了是吗？
[59:27.120] 这样我们销售专员让他给你讲了车
[59:30.160] 了，等一下爸爸
[59:32.050] 这一块还有
[59:34.530] 有装车，
[59:35.520] 有装置，有装饰文章，装修完再放疗完他还得先生等等，他一会给你修好了，那些什么后备箱垫什么的，你在待会给您铺垫的话，还得都给您腾出来。
[59:45.790] 行吧？
[59:49.660] 咱从外观开始给您讲，我就盯着保险，一会我给你打了，完了你还拿着
[59:55.750] 老板牌要好好。
[60:20.680] 好，王大哥。
[60:24.770] 把
[60:26.320] 坏、数据、
[60:29.860] 坏
[60:31.300] 的。
[60:37.080] 坏
[60:39.880] 数据、
[60:41.680] 数据、
[60:44.890] 时间长了，对。
[60:47.250] 你把所有手续都理好了，往哪放下来了，可能记错了，对，因为手机都在你们这边。
[60:53.830] 客户那边指标只要出来了，二手车那边会把指标把你打印好。
[60:57.780] 你们是谁给打指标的？可能自己最大指标，比如说他这不是有二手车吗？刚才二哥师傅
[61:04.500] 这个都已经帮他弄好了，然后生。
[61:07.590] 占什么的，登录密码二手书那都会登记好。
[61:10.990] 然后出了。
[61:12.130] 他那还。
[61:13.300] 每天都会查出，没出，出了的话它就会给我发微信，说你哪个客户的指标出来了。
[61:19.980] 手机放这边就能交好的。
[61:23.040] 进账。
[61:24.320] 什么。
[61:26.280] 什么合力？
[61:27.780] 合力的。
[61:29.380] 证书的。
[61:30.840] 对。
[61:32.070] 完了的对。
[61:33.570] 对她不干净。
[61:34.920] 我看
[61:36.430] 搞留法的
[61:39.470] 动画有点远，为
[61:43.270] 活动形式上10分。
[61:45.940] 的
[61:46.980] 一般来讲都在前边。
[61:48.970] 对。
[61:50.080] 前面不是有那接待吗？
[61:53.020] 刚刚
[62:04.600] 的。
[62:07.220] 客户、
[62:10.690] 数据、
[62:11.770] 数据、
[62:18.040] 五。
[62:19.250] 数据
[62:20.160] 数据、
[62:24.720] 数据、
[62:28.420] 数据
[62:31.090] 场。
[62:32.970] 数据。
[62:48.570] 咱们这订完车以后，
[62:50.810] 听完车以后你能看到什么状态计划了或者现货。
[62:56.480] 还有什么？
[62:57.250] 你可以一下看他那个部位的。
[63:00.320] 在新。
[63:01.740] 或者在百分99的车基本上在心口。
[63:05.440] 然后。
[63:07.000] 你要是着急，就比如说今天签的。
[63:10.760] 你今天。
[63:11.670] 烟不是马上
[63:13.310] 它是需要做一个二次检测，也是需要做二次实验的，咱们这车收受的时候可以做第一次必然
[63:21.470] 在外执行上面是需要做二次尸检来的。
[63:25.760] 所以说不是说你干吗，客户说
[63:28.280] 我天天怎么办？
[63:29.580] 拿到问题，
[63:30.880] 你马上从时间
[63:33.560] 给云南了，
[63:36.030] 告诉你说是这样的。
[63:38.170] 让他们帮你。
[63:40.300] 他们有一个人专门
[63:43.010] 这个观点说的不管送
[63:46.620] 我们这里使用，
[63:48.570] 给他打完电话以后的话，你告诉他这车今天要开票，
[63:52.170] 他就会给你加几要这个车，
[63:54.730] 然后要回来以后，他们必须得送到车间
[63:58.220] 去做，第二次见你只有完成时间以后才能把车
[64:05.070] 如果不着急的话，
[64:08.600] 他们会有固定的。
[64:12.720] 你今天定完了，比如后天交也跟他们说一声，然后让你告诉他们每天教，让他们给你安排吊车，然后做二次ps的。
[64:23.730] 提前一天。
[64:25.610] 他是这样，你说话说掉回来就行，这边本来也就准备咱们这儿有那种车间。
[64:31.990] 有专门一部分人是负责车辆平台的，
[64:35.110] 你这车你算好这个时间，
[64:37.390] 你还得把宝贵的。
[64:38.870] 烟被空出来，一般收费的话你得
[64:41.400] 白天。
[64:42.800] 对，快的话两三个小时。
[64:45.290] 比如说你周四要交车，最好就坐300车准备，
[64:49.770] 你懂我意思吧？说你首次在准备有可能来不及。
[64:53.340] 因为咱们都是。
[64:54.490] 标准，比如说这车习近平的高消费。
[64:57.220] 第一个大家都需要特别安排，
[64:59.700] 才能交流。
[65:01.630] 然后有的都是。
[65:04.610] 那么周三就得等着。
[65:06.330] 这车的话最起码是家人。
[65:09.370] 周末
[65:10.360] 调回来坐20，就是说第二次站点这是时间也想法，
[65:16.190] 跟客户这边承诺时间的时候也是
[65:19.560] 把这些因素都考虑得不是特别快，
[65:22.990] 不能
[65:24.350] 对先进性手段先进确实会特别
[65:29.200] 就是说不是调查还得准备时间，
[65:36.940] 算
[65:38.960] 了。
[65:48.520] 元。
[65:53.140] 你要是
[65:54.540] 跟客户
[65:56.140] 这个能办的话就开票的话，
[65:58.810] 你可能会跑出去去外边吃饭，一块都耽误的预期，不这个事儿都是特别要
[66:05.570] 所以说方方面面考虑的话也是最好的作为。
[66:11.130] 的。
[66:12.250] 所以说大家都感觉
[66:14.050] 中国的。
[66:16.920] 欧洲就是结果。
[66:19.310] 人生就是这样。
[66:22.740] 也能开始感觉那种特别特殊的特别的那种就时候说的知道有时间给他希望，
[66:33.490] 但是他又开始特别忙。
[66:35.570] 的。
[66:36.530] 最好跟他说你来一下明天
[66:39.650] 在过的中间。
[66:41.580] 在上海。
[66:42.910] 谁知
[66:52.290] 下来
[66:59.600] 等。
[67:00.370] 稍等，我们的保险不都卡着
[67:07.520] 客户的发票给你打折。
[67:09.850] 不用是吧？
[67:12.680] 我在保险部。
[67:17.120] 哪个？
[67:18.620] 然后看看他们我说有用吗？有用，好。
[67:25.570] 你知道我没有。
[67:55.760] 你找其实。
[67:57.010] 娇娇娇娇。
[68:05.880] 对。
[68:07.600] 分期的特多应该。
[68:12.550] 你刚娶了个二版的去取二把钥匙的时候是需要金融签字的，忘。
[68:19.080] 我们没有。
[68:20.440] 我不要把
[68:22.520] 全款都不了，全看你领下摆要是都是凭着这张单子，因为这张单子要多打印，
[68:28.800] 你交税要
[68:30.950] 你看。
[68:32.260] 好，起来介绍。
[68:34.510] 交税要用说你交税的那套手续有需要，
[68:39.180] 你财务会留一张，开完票以后他就会留一张，这就两张了。
[68:45.290] 你要有装饰做装饰，需要一张就送到装饰车间，他要这张单子才能给客户施工。
[68:52.160] 要一张。
[68:53.570] 完了
[68:54.940] 你归档还要
[68:58.270] 取二把。
[68:59.630] 还得要一共，所以说他得需要5张。
[69:07.520] 反正
[69:08.250] 谁知
[69:10.220] 第二个要是如果是全款的，
[69:13.910] 我刚才给交通员手，就是说出租车单乱七八糟，
[69:18.070] 我刚才就应该
[69:20.060] 如果是全款的，应该说把这张给
[69:22.480] 他负责把全把钥匙也
[69:25.120] 然后装饰也是一样，他是负责送这个方式的。
[69:29.590] 所以说我现在
[69:31.220] 就得去找金融签字去，
[69:35.840] 需要我们
[69:36.960] 谁知
[69:38.880] 金融你要注意的金融必须得放完款，为什么刚才那么着急去扫描？
[69:43.960] 他扫描就是为了放款用的，
[69:46.610] 你得满足放款
[69:49.750] 才能领这，他才给你这签字，你才能有200小时，它都是一环扣一环的。
[69:55.360] 他扫描保单手头现在不扫描了，以前需要少就发票就行了。
[70:01.870] 发票和订单。
[70:04.330] 那合同的第一页，你刚才不是拿合同毕业拿了一张大票，
[70:11.850] 上海就是咱们大部分
[70:14.990] 这个逻辑我拍照特别的
[70:23.970] 特别繁琐。
[70:25.360] 咱们上门比较简单的业务的成绩，
[70:30.610] 要
[70:35.610] 远。
[70:41.980] 有的时候你这车交的挺很快，
[70:46.360] 然后都弄好了，你发现我操。
[70:49.760] 浪扫描了。
[70:51.460] 那就真是得他们那边放款的，放款其实也。
[70:54.390] 快的，但是客户这边就要把车开走，你真的就领不出来这第二把钥匙。
[70:59.940] 所以说你到哪个节点搬到哪个节点的话就马上去办，应该半个。
[71:05.510] 千万别忘了这个流程。
[71:13.480] 这个能不能车能开走，
[71:17.700] 放不上去。
[71:18.930] 他们都走了。
[71:20.990] 这车能不能开走？
[71:23.480] 全听他们那的全款都无所谓了，因为你分期的话你这必须得签字。
[71:48.070] 怎么签错了，没错。
[71:50.560] 他手里没那么多事。
[71:51.910] 是吗？
[71:55.170] 我们看
[71:56.440] 行吧？
[71:58.680] 1350凉了。
[72:02.820] 就是说有可能换E26004区的
[72:06.160] 他在
[72:07.720] 他托人在中通那边
[72:10.740] 掉了。
