[00:01.990] 沈阳接待首次现在开始。
[03:09.930] 不送了咱们这就记得了，昨天谁查的时候，
[03:13.580] 后边我自己的。
[03:19.840] 中国要完了。
[03:21.260] 这样吗？加价60回来了吗？
[03:23.690] 他走一会儿。
[03:26.910] 这个是吧？300基本没用，好了，多谢。
[03:31.070] 没有收拾过来找了这节目看看
[03:36.010] 的。
[03:38.570] 下午就走了。
[03:40.010] 客户下午过来了，不干。
[03:55.990] 给我打电话，
[04:07.390] 您好。
[04:08.670] 您好，您教C260在咱们试下260行吗？
[04:12.610] 我想看看三菱您做一个那台车现在的话它有一个情况，就是说得需要他售后报修，所以说您短时间先试不了，但是300咱们是那款也不是动感型的，是豪华性的，
[04:26.810] 但是260
[04:28.560] 所有的内饰上来说的话，跟您要的300内饰来说是差不多一样的。
[04:33.380] 尝试一下您感觉
[04:35.930] 前80公里左右来说，260跟360差不多。
[04:40.240] 就按照价格卖，
[04:42.160] 还是
[04:44.410] 就是说您上北京
[04:46.510] 原车指导价是62万元700，您现在销售价格可以按照535,700这个价格卖给您。
[04:53.580] 对，只要您上北京牌的可以。
[04:56.530] 不是您那也是我们自己的指标吗？得有北京指标，然后你可以按价格去做销售。
[05:02.340] 接下来要300最敬佩的应该是300落最顶背的那一块，
[05:08.150] 这个比300要die是小鸭，他这款就是整个进口的，跟来说流线感不一样，这款就是刘备似的，可能后排空间上舒适性没那么好，
[05:19.030] 跟谁也不能说的宝马差不多，
[05:24.080] 332也差不多，因为他俩是同级别的。
[05:28.560] 您驾驶本您给我用一下，我就给您登记一下。
[05:31.690] 要不然一会咱们等天会唱吗？您先靠一会儿。
[05:35.450] 经常
[05:55.080] 不用这块等。
[05:58.360] 行好的。
[06:01.240] 学生就是吗？
[06:02.350] 没错。
[06:03.740] 就是说我们店的，然后。
[06:05.660] 这个得我说。
[06:07.550] 什么完了我在听我说，
[06:09.950] 咱们不爱拿哪个车型再转车里边，
[06:13.270] 到底拿饭那5个人呢？
[06:15.820] 到了来了当然是吧？走有。
[06:19.360] 你找一个俩多少人抱着学也不得了吗？
[06:22.670] 不让我也去。
[06:25.440] 11:15天就是6天3五
[06:30.000] 4区28场。
[06:31.360] 就算自学成。
[06:32.890] 对。
[06:34.640] 估计差不多。
[06:46.350] 572,000。
[06:48.860] 专家。
[06:50.120] 在8月份。
[06:51.620] 这5年了大概三四年。
[06:58.100] 7年7年发展。
[07:02.570] 快对。
[07:03.670] 那个叫的意思。
[07:09.790] 但是你现在买E级车跑的便宜的
[07:12.360] 机会多。
[07:13.280] 要得，新版改了之后的新的优惠，
[07:17.370] 对吧？
[07:18.600] 这样。
[07:22.600] 我这有17个。
[07:24.690] 没错，我谁定呢？
[07:30.430] 不上了。
[07:39.990] 8月份。
[07:42.760] 没问题。
[07:48.590] 行没问题。
[07:50.800] 谁要是想教谁我。
[07:52.660] 给。
[07:53.840] 帮我结一下4号了。
[07:56.710] 下班6。
[07:57.890] 3~6个。
[07:59.600] 那本
[08:02.480] 写时间没写时间吗？
[08:05.500] 几点开始？
[08:08.200] 我真忘了。
[08:10.050] 你们现在检测看得见。
[08:13.240] 你看时间。
[08:15.140] 33 40 96分钟。
[08:18.720] 33 49。
[08:24.150] 2号。
[08:26.420] 今天。
[08:31.960] 今天不是刚买的。
[08:37.360] 不用吃饭了。
[08:40.680] 了。
[08:46.150] 句。
[08:50.740] 的
[08:52.720] 无比订完车子。
[08:53.850] 包括交车怎么样，我订车之前要发也是看见
[08:58.090] 跟吃小锅。
[09:00.390] 了还是后排这种如果说价格过来还怪，要是在当地。
[09:05.940] 还在厂里。
[09:06.740] 推进去了。
[09:07.870] 销售选都是用点功，就是SB。
[09:11.810] 一样进行。
[09:13.240] 就可以。
[09:14.100] 项目行行你手机给。
[09:16.120] OK. 
[09:17.000] 谢谢行行，好的没问题随时联系。
[09:22.850] 行行没问题，好的，谢谢你拜拜。
[09:26.560] 过去了在哪？在。
[09:30.390] 点了。
[09:33.430] 远
[09:35.670] 的。
[09:38.460] 数据。
[09:41.610] 场
[09:43.480] 场
[09:44.350] 花
[09:56.990] 花
[09:57.780] 场。
[10:10.720] 你好
[10:12.050] 你好。
[10:13.260] 帮我。
[10:14.720] 你帮我签个字。
[10:20.480] 咱们就拿那个桌子，咱们就像这个桌子来我去找那儿。
[10:24.840] 20。
[10:25.950] 阿姨您试驾过程中别超速别违章，咱这价值就OK，我跟您一块，您先是成后的价大概是9公里20分钟，
[10:34.270] 多半还是你没事帮我先做的，有的对就您的。
[10:39.840] 然后稍等，还有一个字要签，您坐。
[10:43.180] 在这儿您得签一下。
[10:45.690] 干什么就是下去，对。
[10:48.300] 是吧？签完了我就走了，您坐这儿。
[10:51.510] 然后稍等一下我送过去，然后咱就可以出发了。
[10:54.680] 好吧？
[10:55.420] 这个车现在优惠多少钱？价格300大概是4万块钱左右。
[11:02.510] 你现在越来越少了，现在我已经多处去关注这车，我从去年一直就关注这车，
[11:08.820] 你到时候一会咱再聊。
[11:13.980] 申请到了我回来
[11:17.490] 我看到我了3000
[11:21.260] 数据。
[11:24.670] 坏。
[11:26.040] 的
[11:29.430] 花。
[11:34.040] 坏
[11:36.290] 啥？
[11:37.880] 散装装车车展车价在300，咱们现在都没事，不是320.0不是跟他差不多，在对面，咱们试驾这款车跟您看这车是一模一样，到时你看看
[11:52.770] 怎么叫他们一块。
[11:56.700] 他们要不去的话，就您自己去。
[12:13.440] 然后这边有直击，您可以通过直滴上二层就行了，然后二层走连廊过就OK了，好过一点。
[12:22.880] 走。
[12:27.460] 场
[12:37.250] S还好点。
[12:42.990] 的坐车了，因为我一直开火车没开您。
[12:48.140] 就是爱情为何坐车的
[12:50.780] 区别上没再关注。
[12:53.840] 一会您在做，您先感受一下，看看感觉开起来感觉怎么样。
[12:58.720] 然后试驾路线咱们绕着四环大概9公里20分钟，
[13:03.360] 先试乘后试驾一会路线，到时候我只给您就OK了。
[13:07.060] 您先坐副驾驶阿姨。
[13:12.050] 说您坐后排，
[13:21.390] 感觉这车
[13:22.350] 都那么深的，又是的，我那是迈腾，您这是唛头，您用车感受怎么样都挺好的。
[13:29.940] 现在开断了我第一件开的是桑塔纳，第二点外头都是得汽车。
[13:35.630] 然后阿姨我跟您说一下，您来奔驰有一个服务公约，起来给你宣读一下，客户为尊以礼相待车进行合法的提名，外界公开透明，绝不环保销售销售消费全部生活家家里自动号400yy可以监督我们，
[13:47.900] 然后咱们星期好安全带，您调价做你放心，一会给您调试一下。
[14:05.320] 把我里边的大概的一个简单的操作功能，我先跟您说说，因为这款车无论是26层还是300，就里边的内饰所有这些东西来说完全都是一样的。
[14:14.030] 拿26吨300主要差在哪？第一是发动机，
[14:16.870] 然后在我来说的话就是发动机动力调得不一样，300来说可能更有劲，然后你刚才上车的时候注意到他没有踏板，那300行以上会标有侧方的一个踏板，
[14:26.900] 剩下来说基本上来的都是一样的，比如萌爹辅助车道保持，这是260跟300的区别。
[14:32.430] 但是采用的墓室都是这种成功模式，这个来说他是没区别的。
[14:36.510] 座椅调试是在这个位置，
[14:39.860] 前后往后就厚了，然后这样
[14:43.130] 抬高降低，这是做一个调试，这个是一个靠背的调节角度，就是我现在靠背的角度。
[14:50.570] 然后这个是头枕，当然因为咱们这款车没有这个壳号完成拓展，所以说这功能用不了。
[14:56.390] 下面有300也没有，
[14:58.420] 然后这个位置是一个
[15:02.370] 属于这个位置的一个调试。
[15:04.360] 那条左边他特别先减量三家左右，右边一样两左右就OK了。
[15:10.180] 然后方向盘是手动调节。
[15:12.380] 在这里边作为扣的地儿，然后敲高低可以通过它去调试就行了。
[15:17.200] 然后手刹您可能会说这车手刹在哪，是在下方有一个P
[15:22.040] 但是咱们奔驰来说比较智能，比如说您现在手上您看红色的P这不是相当于勒着的吗是吧？
[15:28.080] 踩着刹车往下摸不到底，你看手刹自动就解除了，然后咱就可以走车了。
[15:33.220] 他也是比较智能的。
[15:35.110] 然后再有不用送一下了，对，比如说您的迈腾手刹应该在这个位置，
[15:41.410] 您的需要抠一下就是那样。
[15:43.560] 您第6代迈腾老Y头应该是在这儿，
[15:48.810] 我想想还有什么岗位往往党委在这
[15:54.460] 往下拨拨到底而前进，网上播放到顶到不出按压力够劲。
[15:59.910] P挡OK了就结束了，这个位置是控制整个空调的，咱就不多说了。
[16:05.800] 然后通过旱牛可以通过它去触碰这个位置，也可以通过这样触屏也OK，
[16:12.000] 通过差也OK两种方式都可以，蛋白跟这一样完全不一样，不是是豪华的吗？
[16:17.260] 这是260号卡300号不是300的动感型的，对我想看动感型跟这里边的是一模一样，像现在这些东西都是一样，
[16:27.850] 只不过这有点不太一样的地儿，就这款车选装一个玻璃之城一小，因为玻璃支撑也是
[16:33.880] 加上这300动感这个位置，黑色的它这个是属于
[16:38.130] 银色的这种量是装束。
[16:41.490] 您看看还有什么其他问题，没问题咱就出发，明天感受一下。
[17:01.480] 之前您也了解过这款车，
[17:03.350] 一直观众从去年一直关注，那怎么回事没换，是因为价格还是价格是吧？
[17:13.850] 现在最多优惠多少？
[17:16.640] 最多现在基本上都是4万多块钱的优惠，而且现在就优惠评
[17:20.780] 四万一二我记着，但是现在优惠都没有车了。
[17:24.800] 您得需要订再等等多长时间？
[17:27.820] 一个月左右。
[17:29.360] 一个月左右时间上允许您这大概下多少什么时间扣出来，因为现在我跟宝马相比，
[17:36.820] 我估计现在
[17:38.970] 也差不多是吧？
[17:41.540] 或者是再快一点。
[17:43.640] 再man点儿您看看颜色了，颜色你倾向于什么颜色较黑的。
[17:49.140] 我今天库里有一台现车，我不知道外面卖也没卖，你可以让考虑并的话价格说你可以调，要不然那代都要卖了就没了。
[17:56.990] 什么时候出的都是最近的车七八千的车，你想咱们卖了没车了，所以说咱们店里没有任何库存车，
[18:03.790] 都是刚到了就买咱们四环辅路对四环铺路，然后这个问题你可以看一下，整个氛围都还是标配64的氛围等等。
[18:14.440] 您要去年观众要看您几月份之前。
[18:18.000] 有之前还管这个瓶子特小那瓶我不知道您看没。
[18:22.310] 还有一块小瓶子，
[18:25.170] 好像也是去年谁知还有
[18:31.830] 商务舱，
[18:33.470] 我试驾过商务舱，
[18:36.320] 最后还是选择
[18:39.350] 拿到奔驰来说的话，相信对于一个宝马奔驰来说的话，它主要因为每个品牌强调理念不一样，
[18:46.320] 宝马来说可能更加注重于什么？它的运动感对吧？然后操纵杆
[18:51.190] 可能奔驰来说的话，它就更加注重内饰的豪华氛围，
[18:54.940] 比如说中控台，包括所有的公式，包括多种装饰使用，比如说那是的话分为来说就非常好了。
[19:01.140] 然后咱们这款车的轴距刚才说是2673的轴距，像术后坐后排，你可以感受到他腿部空间各个方面来说都是非常舒适的，
[19:09.440] 本质其实更加强调以舒适为主，
[19:11.920] 宝马可能更加强调于运动为主，
[19:14.510] 这个看您构成个人选择，对。
[19:18.660] 咱们这款车采用的是2.0T的发动机，然后变速箱是9速变速箱，因为奔驰有100多年的历史，就是发动机变速箱核心技术都是本质次体验带的，
[19:28.950] 所以说你一会你可以试一下环岛的平顺性，
[19:32.170] 开起来动力各方面能不能满足你的需求就了。
[19:40.920] 然后咱们这个位置有一个动态操控选择控制器，
[19:44.340] 这个沟通是干嘛用的？
[19:46.040] 比如说您有
[19:47.500] 现在咱们最常用的是C舒适模式，咱们提供5种驾驶模式，就跟迈腾S档一样，
[19:53.630] 他可以千万到S的，
[19:55.450] 咱们现在有舒适运动运动增强，
[19:58.890] 然后还有个性化运动增强，一会你可以百度一下炒作什么的就比较有劲，
[20:04.630] 但不建议您长时间使用，为什么也耽误比较费油对吧？我们还是到可能还用，
[20:10.740] 没怎么用过，就有的时候掏出来或者我会用
[20:14.360] 有个急事儿上的，
[20:18.870] 然后咱们这款车也是一样，全是四驱的。
[20:22.050] 所以说
[20:23.520] 从综合比较，其实销售C咱们整体销量来说还是非常好的。
[20:28.460] 基本上
[20:29.600] 40~50SUV里面来说，他买的也是最多的，所以说您可以
[20:35.440] 施加了感受完以后，您看需要的产品慢慢满不满意，然后后续你可以作为参考，选择宝马也好，还是选择奔驰也好，
[20:43.910] 都可以跟
[20:46.240] 这算基本上
[20:48.070] 差不多。
[20:49.950] 说是同意
[20:51.760] 同级别的车也算是竞品车型，
[20:56.650] 但他们来说的话就开起来，
[20:58.920] 注重开的感觉应该会开的比较好看一点，因为它周期没有那么长，
[21:03.800] 咱们这款车周期会加长，所以说后排空间的舒适性来说还是比较好。
[21:09.560] 各有各自怎么说，每个品牌有自己的策略，
[21:15.330] 都不太一样。
[21:39.120] 大概也就在
[21:41.410] 厂家标注是8点多，但是实际开的话不是在16左右。
[21:45.740] 巴马
[21:47.280] 老妈也都差不多，
[21:48.760] 那么这个级别的都是20T的，
[21:51.160] 所以说你油耗上来说基本上都差不多一样，您的白头基本上也得再
[21:56.080] 您这1.87二零几的，你也8T的，
[21:59.430] 明儿8点您开怎么也得8~9个？
[22:02.280] 我要是
[22:04.090] 那时候上下班的时候就在那书记
[22:06.800] 费油。
[22:08.100] 如果我要是出去玩，对出去玩跑到河北可能就上游了，77个油左右就够了。
[22:14.590] 咱们车同样的道理，
[22:16.080] 你都这样，
[22:17.220] 你要说出去玩跑长途100 120开这车也就差不多10
[22:22.170] 七8左右基本上就报
[22:24.760] 了。
[22:29.810] 现在修的
[22:32.170] 销量怎么样？小孙一直本质里面主要卖的车型就是校长来说也非常好，这个
[22:41.150] 综合性价比来说是非常合适。
[22:49.350] 的
[22:55.070] 咱们在这个手，然后您过来感受一下。
[23:28.040] 然后我要调一下。
[23:30.160] 没关系，您先坐系好安全带，然后调一下座椅，方向盘后面调到合适的位置，咱再出发，不着急。
[23:47.560] 我要往几条这做的网起稍微调一点，从
[23:51.450] 您从这往上
[23:55.200] 还可以再调，然后靠背的角度是我先调一下，因为第一次开始说我感觉我可。
[24:01.410] 不是个I我感觉。
[24:02.970] 老小什么都想。
[24:03.580] 俺看着这么做。
[24:05.530] 然后靠背是在这儿，靠背的角度也可以调试在中间那个位置。
[24:09.890] 靠背景下还行，对。
[24:12.460] 那就先调高一点。
[24:14.630] 第一次感觉。
[24:16.770] 没事行行，这样还有后视镜，两个后视镜你也可以调一下，然后方向盘什么的，毕竟刚才是哪个了，对。
[24:26.310] 按一下，先给它点亮，然后上下左右。
[24:29.790] 时尚。
[24:33.210] 亮没亮先把下边给它剪掉，对刚才对不是这个右边
[24:39.410] 要不要？
[24:40.700] 对，你可以没事儿，你摁一下就行，只要他亮了就行。
[24:45.120] 反了。
[24:49.450] 基本行了，就这样。
[24:51.020] 没问题。
[24:52.090] 然后方向盘各位准你看书是吗？要没问题您就踩着刹车，然后往下坡到底就OK了。
[25:01.730] 行关上门就这样。
[25:04.000] 您就踩刹车往下拨，不到底不需要按着直接往下拨就行，对。
[25:09.970] OK了可以了，然后让这头走就OK了。
[25:29.620] 感觉一下加速。
[25:30.920] 没事儿。
[25:36.190] 咱们下面进入逐步
[25:38.840] 这事儿逗留两三百的话，刚开始提速，比这个还要稍微的再好一点。
[25:46.800] 等候土豆家族来说基本上就差不了太多了。
[25:50.820] 我感觉我的卖场加速的挺快的，
[25:54.020] 但你没发觉这个车跟唛头有点不一样的地方是什么吗？这车您会感觉到比较沉比较稳，您的唛头稍微给点油，
[26:03.620] 你像迈腾的话，一小楼出去就
[26:05.970] 什么了，其实最好开的是不是三号，拉萨时间真热好。
[26:10.400] 能看见车鼻子，对，而且这边都世界特别好，都不开麦头的时候，我就感觉因为他卖的怎么着好开，
[26:20.330] 但是慢慢适应了，其实现在大家都留下来不那比较小，本来我看他那会儿土豪，感觉那头太大了，我这坐着不行
[26:29.350] 了，我说还是选一小点小样的。
[26:34.370] 这车平时主要您拍是吧？
[26:40.250] 上下班代步用。
[26:42.410] 然后到初恋你这孩子的对号室换换，其实我也
[26:48.430] 我还能开，我现在给他们看孩子，我估计我也开不了多长时间，也原来机场截住了，是原来我上班的时候我开，
[26:56.800] 偶尔出去玩玩看看，接下去
[27:01.540] 淘宝就去河北老婆玩儿，
[27:04.460] 我也不太远，
[27:06.030] 而且开时间长也累，
[27:08.040] 相信这个就
[27:09.330] 别看时间
[27:15.560] 这个比没有什么好，
[27:19.230] 商务舱
[27:20.640] 226 52 60260或者为主要是这边V2对。
[27:27.190] 是比
[27:28.830] 就得die，那就是您出行完事还刚才想那个孩子还说还是
[27:35.560] 这个
[27:37.350] 那不是7座的，对面是期末。
[27:40.110] 平时就是出境玩还好点。
[27:43.880] 性能位置
[27:45.650] 哪儿都特别乱。
[27:48.690] 把咱们前面五五百米5路居出口处，
[28:14.520] 我感觉
[28:15.520] 这车子这么重，
[28:17.980] 加重不是加速，我就跟我的迈腾没有什么的，但是这样
[28:23.860] 虽说回头您300买300的话，包工率得非常好好，向速度要快，
[28:32.030] 咱直走就行，不需要斌这边直走就行。
[28:35.280] 我给您喜欢到一个S模式，你可以感受一下气魄，应该是爬坡的爬坡或者超车的时候用。
[28:44.160] 但这个就是说
[28:45.500] 你会感觉到有撑的感觉，我在当你女朋友，
[28:52.000] 给你翻了正常的收拾我，是因为这些大银行也是罪过的。
[28:56.230] 你可以你做的怎么样？
[28:58.830] 还行。
[29:00.340] 你感觉后边空间那够用。
[29:10.890] 咱从门进调成保时捷那头。
[29:13.650] 我们是从南门进来的，没有咱们从保时捷那块去，要不你先把你告诉我没过来吗？
[29:21.030] 然后咱们大概还得走个335十米。
[29:28.000] 好像是我们进都得从南边口进是吗？您是从
[29:32.840] 前面那个桥底下过来的，您从只能从哪进，不是上次都不让我们
[29:37.660] 都给我们送到那边去了一次，因为现在可能是那边修路，我还以为就必须得从那边，因为我们也可以从这进门了，这是出口咱得往前走。
[29:47.320] 前面有一口是进口，
[29:50.780] 这开起来我也没觉得这车有多大，刚开始我说的开挂了卧车了吗，开车我还觉得挺大的。
[29:58.510] 还有点，
[30:00.060] 我这不打他就比高，对，我感觉开起来好像没什么事儿，对。
[30:06.040] 我感觉没有是没什么太大区别。
[30:28.250] 屠王的头，我看跟咱们奔驰的350差不多，1350
[30:35.020] 加1356，对进口的进口那块。
[30:40.680] 上次我看了好像
[30:42.230] 是350400。
[30:45.920] 对制mv那是进口的是吧？那是进口的。
[30:55.670] 一次多少钱？
[30:56.720] 1000多块钱。
[30:59.240] 跟卖场差不多。
[31:01.360] 咱们1万公里
[31:04.010] 卖楼应该也是11万公里，是一年，如果你考不到医院，就一年咱不用三毛继续进去行了，咱。
[31:13.830] 年缴。
[31:16.120] 我们还绕到那边去了。
[31:23.270] 以后我再来这可以进是吗？后面进。
[31:26.980] 我们让我在这儿过去的，从这直接上次是给我们烘的，那边没让进，
[31:32.530] 有可能这边维修，所以没有看到。
[31:35.950] 那就回去了，对。
[31:37.320] 回来了。
[31:39.850] 我真没觉得这车的车还行，感觉还行。
[31:50.890] 因为我没开过SUV，我老觉得SUV可能
[31:54.230] 比那车要大都。
[31:55.720] 大多要是高，你做的卖点高了，这车车长没你那个迈腾要长，今天还调得都高，你看我的座位调得咱们停这个位置就行了，对。
[32:14.530] 网上吗？
[32:16.560] 对，达到。
[32:18.020] 行了吗？行了。
[32:41.610] 差不多。
[32:42.770] 没问题，非常好，您这技术正好刺激了我。
[32:47.200] 没事接着道。
[32:48.610] 慢慢行好勒，你看这红线搭在这儿就差不多按一下就OK了。
[32:54.680] 好了可以了，刹车自动就对，手刹自动就这样了，也不用您管着激活了。
[33:05.890] 了就送过来了，可以了。
[33:09.950] 对，咱再点下七火箭在这就行了。
[33:13.000] 好了可以了。
[33:20.180] 直达地方。
[33:24.520] 我就生病了，倒车雷达自己AA也不清楚了，但我很少看，基本很感觉
[33:29.230] 像雷达声音就OK了。
[33:33.970] 走了三回，但听吗？
[33:46.220] 这个要求比较大。
[33:47.950] 哪个300吗？
[33:49.440] 对比提出来各个方面稍微好一些。
[33:53.600] 上课了。
[33:56.500] 包车的话还是300来说更有劲儿的。
[34:00.730] 慢慢
[34:02.330] 比您稍微好点。
[34:06.560] 感觉
[34:09.010] 什么？
[34:09.960] 可以，本来外头那个车就特别好，真的挺好的，稍微等一下还下午。
[34:20.310] 说
[34:21.240] 说
[34:46.490] 刚才找第二艘机会还是
[34:48.620] 您算个报价去。
[34:51.070] 我们可以方向走到家
[34:54.120] 来做这
[34:58.590] 咱们在楼上。
[35:00.720] 过那边。
[35:08.970] 行。
[35:15.580] 的
[35:17.160] 三
[35:20.840] 三。
[35:22.610] 不会这个时候。
[35:26.990] 后排空间让这边教练对，后来刚才我上课完了，
[35:30.980] 刚才白了他们说这个标准不关没关好吧，也就是喜欢这个
[35:37.470] 对他什么神秘，
[35:43.950] 他喜欢
[35:45.520] 这种
[35:48.490] 的
[35:53.420] 格你给我一个最优惠的价格，
[35:55.390] 因为我也是关注这么将近一年了是吧？我也上去那个。
[36:01.220] 与宣部的南边，因为我哪一个产业。
[36:04.340] 我也跟。
[36:05.620] 他一点也比较了一下，还好。
[36:08.160] 咱们右边等。
[36:16.270] 电影、
[36:18.960] 在那个地方调解三个桥，西边那边对楼兰是吧？
[36:24.650] 我们上班去过。
[36:26.320] 也是去年去的吗？
[36:29.460] 年年年初我们这事了，
[36:43.950] 要现在订的车多长时间，
[36:45.960] 能招呼我最快乐，
[36:47.840] 所以说我得拿着
[36:49.740] 我看了我们
[36:50.940] 我们是着急真的不着急，因为我们
[36:55.000] 这边我也看那里边如果实在不行，我只能再倒一下。
[36:59.020] 我现在给我买的我已经买了。
[37:01.230] 说是指标现成的，现场到8月网上。
[37:06.180] 大概多少？8月20
[37:08.470] 来到。
[37:10.050] 你干啥呢？
[37:10.940] 因为实在不行，我就再把我哥把那个车给扣了，我就提前在网上我在就知道了。
[37:26.010] 咱们后台
[37:26.980] 他们应该快下班了，我们上下班
[38:05.120] 两分钟给你查查资源，
[38:06.820] 万一查资源
[38:08.910] 摆出来，
[38:12.630] 我们这边过来做迈巴赫的收益区就可以。
[38:16.560] 您觉得
[38:21.080] 快乐。
[38:35.600] 以后7月16号生产，
[38:39.360] 如果要快的话，
[38:42.240] 月底
[38:43.320] 慢的话下个月10号之前应该差不多。
[38:46.510] 行吗？
[38:47.410] 这是最快的了，人家想要现车有个红宝石黑，
[38:51.040] 就跟咱们试驾车的颜色一样。
[38:53.760] 这是现车这黑分款不就一款吗？就一个，但是现在有一个897叫红宝石黑，然后东侧那是
[39:02.310] 就跟咱们试驾那款车，我喜欢黑色。
[39:05.720] 你想要黑色那是
[39:08.110] 只能8月1号生产了。
[39:10.150] 咱们刚才试驾那款那是你不喜欢吗？咖啡棕色不是黑的，黑板那是有点发松。
[39:17.410] 是吧？对，但是你要外边黑里边可以
[39:20.220] 可能会有点反差了。
[39:23.260] 您要是黑车黑内咱们也有81号排产，上回咱们看的是260，那是黑的那辆车，不是那摆在那展车，
[39:32.460] 我觉得它里边亮的东西特别多，那时候我说还挺高，
[39:37.080] 您看应该是260动感的，所以说标准的不带木纹的，所以说
[39:43.050] 外边黑里边可以加点这种亮条，你可能看上去来说比较好看一点。
[39:48.500] 但是你要考虑260，咱们现在就有现车，260豪华，刚才咱们室内配置黑车黑内现在又有现车，
[39:54.950] 您就可以随时调。
[39:56.160] 260豪华的多少钱？422,800、449,800。
[40:02.330] 但优惠上来说您看看，
[40:07.800] 二
[40:11.450] 33。
[40:35.320] 你看了我去年7月份来了一个优惠44,000，你要是要加入C260动感型，我最多给您优惠到42,000，
[40:43.460] 300300我给您优惠到4万 21，C260豪华优惠到44,000。
[40:50.300] 440，对我还是考虑3008 3 00年再给我优惠一下，因为我已经都关注一点，关键是现在这个价格我给您这价格没问题，装置方面你考虑分期吗你们？
[41:01.110] 分期怎么个分期可以304050%，贷款期限2~3年这都行。
[41:06.690] 你要是做分期，我可以给您申请，看看金融这方面能不能给点支持，送您个保险什么的。
[41:12.200] 您要分期的话，我和这车价要高于多少呢？
[41:17.350] 利息方面你是现在
[41:19.880] 零利息是分值的话，第一点刚才跟您阅读服务公约是没有手续费的，
[41:27.740] 但是我们是有息的，多少钱看您首付比例之前我的客人做的话，比如这车
[41:34.170] 50%，咱们待两年大概都花8000多不到9000，
[41:37.700] 交50%，我要不然10%那就是20多万的8000 9000，对，我要交50%，那要是46万我得交23万。
[41:47.370] 对差不多这样，2323万，你给我算算利率多少行，我给你算算走走贷款。
[41:54.330] 贷款它是几年？
[41:56.640] 两年三年都现在。
[41:58.280] 年工期的，没有他现在是有利息的，没有手续费。
[42:03.620] 所以我给您算算第一次要交款50%，完了还有20多万去贷款。
[42:16.180] 你想我们现在如果作为三年，你给我做一两年，
[42:19.890] 你像我们优惠4万42,000，这个价格现在都没有说了，
[42:23.740] 真的是基本上。
[42:26.440] 没事，我有如果你们要是实在没有车，我就选宝马了。
[42:30.490] 行。
[42:32.320] 现在没车是吗？
[42:33.660] 现在没有现车，就一个红宝石黑棕色内饰的视线车，然后260路车300动感需要您病得等等。
[42:40.450] 黑车外观，然后咖啡东侧
[42:42.920] 差不多下个月的月初左右能到。
[42:53.070] 越来越多，3月3月初肯定是不行，
[42:57.210] 下月月刚7月8月发生月初我弄进了，我给弄谁知换吗？
[43:07.640] 没有置换是吧？
[43:09.310] 不吃饭。
[43:11.970] 您指标不到20多号了，这不是是我理解错，你想到现在8。
[43:17.500] 不是我还以为是到你们8月对9月初6点
[43:22.240] 来对吧？
