[00:01.040] 说说哪天几天了？
[34:20.090] 只交了4800，
[34:21.270] 您的方案36期扣除50%，就带了他的一半，
[34:25.240] 您的贷款金额21万的工资，
[34:28.040] 三天之内每月月供就是6317.30不会变，每个都是这个钱。
[34:33.220] 只要您的车型，您的车票售价，您的方案没问题就行。
[34:37.000] 然后这份是您的，我都给您留好了，一会您跟他那套购车活动，您直接搁一块带回家，
[34:42.590] 留存好就行了。
[34:43.980] 然后具体的条款你可以每条都仔细阅读一下，
[34:47.170] 然后还款您看您用哪张卡来还，工商、农业、中国、建设、农业，我给你提供的是农业的。
[34:54.260] 您是当时发的群里吗？对0113我给您看一下。
[34:59.070] 等一下10086
[35:03.560] 是622845001003这个对吧？
[35:06.980] 行，然后
[35:08.080] 胡先生您用微信关注一个微信公众号，我帮您绑定一下，以后每月的还款提醒，还有所有关于您这个车金融的合同信息，您自己通过微信就都能查了。
[35:18.200] 您右上角有一个加号，然后您选第二个添加朋友，
[35:21.770] 您搜索奔驰金融，
[35:33.530] 远。
[35:35.560] 对，然后下面有个soso
[35:39.390] 金融服务。
[35:45.330] 北京。
[35:58.990] 奔驰金融服务点关注，
[36:02.520] 然后上面会弹出一个对话，有一个点击，此处重点
[36:07.660] 开
[36:10.070] 拉到最下边。
[36:16.440] 最下面有个我认真阅读确认，输入您的姓名，还有您的证件号码，
[36:27.580] 过。
[36:38.120] 来
[36:45.850] 可以。
[36:48.920] 有OK。
[36:54.760] 160。
[36:58.360] 光源
[37:20.010] 把我的生活
[37:33.280] 行OK。
[37:35.080] 您看
[37:36.560] 你看现在状态一批复您购买的具体车型，然后我们公司名称是我的手机号或有人和金融方面问题，您直接联系我就行，然后激活完成以后，他以后每月提前3~4天会通过微信和短信同时提醒您。
[37:49.900] 然后如果您需要您看下边有一个合同查询，激活完成以后，您的还款计划什么之类的都生成了，然后具体哪年哪月哪日归还了，所有预期什么时候管了，
[37:58.990] 您自己通过还款计划就全都查了，特别方便。
[38:01.690] 然后一会儿微信公众号会给您推送一份电子版合同，就跟您申请的时候一样的，需要您登录一下，然后进去以后您看这个合同
[38:10.670] 跟着粪就完全一样，只不过现在分群就都是电子签署了，然后这份纸质完之后我给您打印出来让您留存一份的。
[38:17.490] 然后一会您签署一下，签署完成以后我们这边就可以提交放款吗？
[38:21.140] 很简单，行，一会您看您平时金融服务就行了，
[38:25.120] 公众号就给您推送过去了。然后最后一步就是新车验完车上完牌以后，
[38:31.130] 需要您的身证原件大概三个工作日去完成车辆的抵押登记，没有任何费用也不用您跑手续都我们给您代办，那就别改，您可能要坐飞机坐火车耽误您这边用的。
[38:40.750] 到时候我会提前跟您说，行我这就齐了，您先坐，然后一会给您推动，您就继续电子签署一下就行了，电子站着行不？用电子箱就行了，这个是我的是吧？
[38:52.310] 您这块很大。
[38:54.320] 谢谢没事您坐。
[38:57.980] 介绍一下。
[39:04.120] 场
[39:50.810] 数据
[39:54.770] 数据、
[39:57.070] 花
[39:59.480] 句
[40:00.920] 场。
[40:01.970] 五。
[40:23.390] 的
[40:29.880] 的
[41:18.400] 人签下合同，
[41:22.850] 老板成就。
[41:27.610] 三百十上是吧？一标配对。
[41:30.870] 苌教授您好，好的，您先让您的金融合同对，您看一下，大概说一下。
[41:35.820] 我跟您说跟说没关系。
[41:39.480] 合同。
[41:40.060] 一块三点，后边两页您愿意看就看，不要看，反正每车都一样。
[41:43.760] 打印出来携带梅赛德斯奔驰汽车讯有限公司的公章，然后我跟您说您主要活动有哪些？
[41:49.800] 您购买的车您是不是手机小？没事。
[41:52.950] 您购买的车型一三百常州时尚立标轿车，
[41:57.300] 车辆可能有点小，我跟您说一三百杭州时尚地标轿车，
[42:01.610] 车驾马车、立标校车，
[42:04.620] 车架号或座位527625。
[42:07.770] 在加号5276227。
[42:11.060] 车辆实际销售价格优惠后393,800
[42:14.830] 393,800。
[42:16.200] 在两人的车辆总价393,800，
[42:19.230] 您的方案24期，首付50%万，就贷了393,800的一半，
[42:24.320] 在这196,900。
[42:26.920] 两年之内每月月供就是408块5毛7，护卫舰这两年之内每月都408，
[42:32.680] 这408块5毛7我可以每一次付一年可以复复就是您往里存一年的它也是美。
[42:38.630] 次月。
[42:39.520] 他也不会一次扣，他也是每月到日子就扣400，要不这个卡咱们自己扣了，您现在您要愿意存钱就存一点这个知道他赚钱的。
[42:49.070] 您一会不需要给我提供一张还款卡吗？您每月到日子之前你买这408，您保证他就这409块钱就行，
[42:56.650] 到日子自己就划转了。
[42:59.960] 然后最后一期您一次一次性归还6万万166,000我
[43:05.410] 两笔款第一次出去款19万多元，还有最后一次付款，根据卡不是卡号，
[43:12.910] 不用卡就是这样，尾款到期之前。
[43:16.020] 您该回还196,000可以不可以？
[43:19.260] 你绝对可以。
[43:20.290] 包括首首付款我也是控制卡首付无所谓，但是还款尾款的话都是这样。
[43:25.640] 奔驰在您归还尾款，前两个礼拜会先给您打电话跟您说您的贷款将于谁知。
[43:32.490] 然后我回来还款。
[43:33.900] 您不用来这正常流通是您的合同卡，比如说是1234这个账号卡，他只能从您这卡里扣款，但是您可以跟他说，我用手机银行
[43:42.290] 给您那边直接转账，它会给您发一个对公账户，您您那就不限制它了，你随便我只给你卡就行，因为我跟你说，
[43:50.120] 我提供这个卡是跟手机绑定的，微信保证金里边老有钱1万8万就多少，你花20万块钱，我卡里1000块钱不可能，那到时候您就直接让他们给您发对公账户，您觉得哪个手机网银有直接给他们汇报材料，就那里连接。
[44:03.830] 接着觉得客户资信那不是那卡肯定承受，我看还款卡您发给过我吗？发过我看一下。
[44:12.510] 您金融方面有什么问题你直接问他。
[44:16.300] 您稍等给您看是工行、银行、建行、工行、农行、中行。
[44:20.400] 我给功能。
[44:24.610] 您还款卡您没发在那水里那待着了吗？
[44:28.040] 发了，那天发完了。
[44:30.930] 我看没有了，我也有印象了，10完了发一个卡号。
[44:37.070] 您是不是什么在东路的时候上面有个输入银行卡？
[44:43.220] 我看这群里发过来。
[44:47.060] 你这对咱没有是吗？
[44:53.940] 这个
[44:56.420] 身份证。
[44:58.190] 我给你拿回去，您带着卡拿过来，对抄一下，好像没什么说我发了这些，我也不想发过来，咱们再给你们。
[45:08.820] 我不用。
[45:09.970] 不是停，同样记得我不可能只是一直是我跟客户联系，他肯定记得。
[45:15.870] 你在他给你没事，您给他我也忘了，我也不
[45:19.720] 了，谢谢。
[45:21.440] 您是不是什么的时候，您当初登录确认的时候让您输过一个银行卡号？
[45:28.390] 必须记住中行农行或者谁知一般提供一个工行的没错。
[45:35.230] A应该是
[45:36.960] 好。
[45:39.160] 忘我也忘了，看一下。
[45:41.540] 搞了没有？
[45:42.520] 群里也是没有，
[45:44.320] 必须保证的。
[45:45.640] 第
[45:46.650] 谁知
[45:48.370] 可以
[45:54.690] 来好观念。
[45:58.880] 是不是？
[46:00.480] 你稍等会，我现在签合同了又过去。
[46:04.560] Bye bye. 
[46:11.630] 尾号285是不是对250。
[46:14.520] 理论的是登月。
[46:17.610] 来您打开手机微信，我帮您绑定一个微信公众号以后，每月的还款提醒，还有所有的合同信息，您自己通过手机就都能查了，特别方便。
[46:40.880] 能够帮我帮您
[46:43.810] 微信。
[46:55.840] 您这比划吗？
[46:57.300] 您来就有点高端。
[47:00.220] 您搜索奔驰金融。
[47:35.190] 不是当时申请的时候您自己确认操作。
[47:38.040] 在手机上。
[47:40.420] 到设计室，
[47:44.470] 行，输入您的姓名。
[47:55.470] 来重建号，我帮您梳理
[47:59.760] 弄了。
[48:02.190] 提供的。
[48:03.790] 你得看卡号跟预留的手机卡号，
[48:06.690] 工号卡号285尾号对视。
[48:09.820] 是我这看不见他能看见。
[48:12.260] 13609。
[48:17.620] 您
[48:29.870] 微信公众号您关注一下就行，不用您操作。
[48:32.830] 他以后每月小奔驰这种客户，
[48:35.400] 每月提前3~4天会通过微信，完了观众我都放弄完了这没事，对，会通过这微信和短信同时提醒您，在微信公众号您关注一下就行了，扣罚通知我，对他会在这边通知您将来能不能划款，然后他最后要家具也对，他要钱的时候他会提前给您打电话，对好对着奔驰客服给您打电话，他不会通过这提醒。
[48:56.710] 行，然后一会儿
[48:58.860] 我可以协助您操作一下，一会奔驰金融现在跟您申请是一样，合同签署也是在您手机上电子签署了，
[49:04.680] 您进去以后看见了河童跟着快其实都完全一样，只不过就这份我就给您打印出来，让您做一块纸，
[49:11.010] 然后一会您在手机上电子签署条就行，可以通过微信公众号给您配送过来，您打来问问看看。
[49:16.630] 一会我上去我给您推一下，行，我先洗了，然后最后我就心说
[49:21.590] 验完车上完牌以后，需要您的身份证原件大概三个工作日去完成车辆的抵押东西，没有任何费用也不用您跑手续，都是我们给您代办，那就别改，您可能坐飞机坐火车耽误您这边用。
[49:32.630] 然后我每天跟您说，行行，我要是行，谢谢您，这帮您谢谢。
[49:46.060] 一会我带您看一眼车去，然后没问题咱们就签合同。
[49:57.460] 京剧记录证实该画的是不是
[49:59.880] 有居住证我刚才都没看日期，我看一眼应该电话，可是
[50:04.350] 10月10月
[50:06.080] 平时你用不上。
[50:09.100] 很少用是吧？一般也没什么东西的缺陷，有实用。
[50:13.430] 有种东西清楚用不着，对，反正偶尔有的也就买车时候用的时候是最多的，它主要是验车上牌那一下
[50:21.290] 的。
[50:23.320] 交税那一下用的，
[50:26.000] 用别的其实就不用了。
[50:29.100] 了。
[50:49.360] A杨书记
[51:04.350] 了
[51:14.890] 我给您发。
[51:18.050] 行行送没法到付，我给您付了先到时您那什么再说就行。
[51:27.030] 行。
[51:32.570] 您给我输入一地址，然后您微信帮我转过来说。
[51:37.170] 认为
[51:38.850] 我听得见吗？
[51:41.380] 对，您输入地址，然后您给我转过来，把您的姓名手机号都输那上。
[51:46.550] 一会我给您发。
[51:48.640] 好勒。
[51:54.400] 三
[51:56.490] 下午。
[52:00.360] 谁知
[52:02.290] 谁知
[52:03.920] 3到
[52:07.110] 看看。
[52:13.860] 咱们金融告我说签完了，我给您看一下新车合同，
[52:17.760] 然后没问题，咱们签上，签上以后看看车到哪了再交钱，按照金融合同跟
[52:25.830] 今天
[52:26.690] 是什么？
[52:30.830] 不是咱们说的，我在这他也说不了，我给您算一下。
[52:36.170] 这到时候签的合同都是有您一份。
[52:40.200] 你看着就行，你们要看不清，让先生看去不去了。
[52:45.930] 应该是吧？
[52:47.560] 您看一下这样。
[52:50.940] 咱们车不是4月58吗？
[52:53.400] 我说咱们车不是465,800，
[52:57.060] 然后优惠完了是万优惠，网上是3938，
[53:02.300] 393,800，
[53:03.770] 交了一个1万定金，咱把1万定金讲去，
[53:07.800] 您看3838就是383,800，
[53:11.870] 有一个贷款，咱把贷款减去16，不是1919
[53:17.900] 2900，
[53:20.830] 然后是186900也
[53:24.020] 还得减1万定金，就是18690，明白了。
[53:28.090] 然后加演出了2500，
[53:31.120] 加一个购置税34850，
[53:36.320] 多退少补的倒是能看见票，后边写多退少补，以国家为主，34850。
[53:42.590] 然后保险
[53:44.780] 保险正好给您减完了，玻璃险之后，咱们只是盗抢和玻璃没上，
[53:51.960] 剩下的什么划痕，车损三者100万，找不到第三方涉水都有了。
[53:58.250] 然后正好咱们送不送您12,000，然后上网的是1000 11,900，
[54:04.510] 反正差几块钱就是12,000，正好全送您了，您一分钱也不用交了。
[54:10.590] 但是这些您的交强950加上一车赚200，
[54:16.150] 一共是1150，这明白吧？
[54:19.140] 一个车身，
[54:21.580] 一个交强险，950加一个200车船税，
[54:25.440] 然后加上一个精品138
[54:28.240] 00，
[54:30.400] 一共是23239200一会您要交这么多钱，239,000，
[54:38.060] 明白了金钱是什么意思？精品就是那什么？
[54:43.120] 车模。
[54:44.500] 脚垫、
[54:45.580] 后备箱垫行车记录仪那些方式，对装饰就是装饰。
[54:51.360] 就是一个精神再交，对，然后加上最后一共是239,200，
[54:58.650] 20,300多万239,000这车款都
[55:03.290] 消防车。
[55:04.920] 车款只是2万，车款是对15对10 18万都是剪完定金以后是18万多，
[55:13.140] 然后加2500+34,000的购置税加1000对加1150加一个，
[55:20.130] 所有的钱加一块就是这么多少钱，但是还有一1498那个村乡里送电视，
[55:27.450] 那个事需要一会儿单交的，也是交保险公司，但是它是单刷卡。
[55:34.170] 也就是说一会您一共要交239,000，
[55:37.560] 239,000，这上面没有显示带酒的钱，对三江以前没显示1498 100人，我带您去的时候给我
[55:49.800] 38
[55:51.450] 3 38万联系着刚才那1万，我前线医院已经减去了，你就这么想393,300，然后它的一半不就十几万，
[56:01.710] 196,900，然后减1万不就186,900，
[56:05.620] 然后186,900再往下加就得出这个数了。
[56:09.890] 对，或者说你家电话跟妈妈对一般也不会多也不会少，因为这咱们都是有一个固定算法，
[56:17.020] 用车价除以11.3，
[56:20.050] 1896这不是1869，
[56:24.090] 18680007+2500验车，
[56:31.770] 加34850 34,850。
[56:37.920] 加到哪了？3加1150 1150。
[56:45.760] 加13,800。
[56:50.360] 等于
[56:53.790] 239200对吗？
[56:56.390] 230对，然后这个字交完这个钱之后再单交易，1498咱们这车就全齐了，所有费用都包含了。
[57:06.630] 然后二手车一会他那个款项就到了。
[57:10.880] 有问题吗能？
[57:12.600] 反正肯定是按咱们谈的来的。
[57:20.280] 家政没提前。
[57:24.620] 签名对。
[57:26.110] 实际上这13,800里他是咱们打完折的价格，然后我当时不等于单给您单独申请保险，要申请了好几千万，实际上他就是到不了这个钱，但是
[57:38.990] 这里再保险力
[57:46.910] 行吧？
[57:49.210] 对，这签字得给宁夏是吧？
[57:54.270] 先您的没事那边就在那边。
[58:00.390] 谁签文章？
[58:02.870] 田田景明。
[58:11.390] 到时您适合用
[58:18.440] 了。
[58:24.530] 客户对。
[58:35.390] 明天。
[58:38.750] 我在明天有事儿了是吧？
[58:42.350] 平时还是挺自由的。
[58:45.850] 什么意思？
[58:48.400] 然后这块
[58:52.190] 这样
[58:54.040] 对于
[58:57.670] 你那字一首歌老天自有料在那图纸上的有吗？
[59:15.260] 然后我带您看看车子了吗？说？
[59:25.240] 床板上面不用成本，它上面不是都挺明白。
[59:40.360] 好，把这条给我了。
[59:42.020] 您一会就得用。
[59:50.450] 1对1万块钱尽快。
[60:09.320] 对账。
[60:11.130] 这装饰公司做的
[60:13.370] 装饰的话，就是今天除了贴膜，剩下都给您作画，
[60:17.800] 然后其他的总行原车这么
[60:22.280] 44
[60:42.390] 一个要多少？
[60:43.370] 两码。
[61:00.960] 在那。
[61:02.220] 因为我们每天交车都是10多个，所以这车就是拿到第二就听那话，整个都是交错区。
[61:16.240] 里外
[61:17.440] 您都看看，反正我都给您检查完了，
[61:20.280] 然后您再看一眼就行。
[61:23.310] 车架号、生产日期都有。
[61:26.840] 对，也该看也得露一眼，开车买车你看看车看完车交给你就放心了，对咱们那台车对。
[61:35.600] 当时那些车57 65,000您就放心了，您看这车不是什么样，你得搁上边毛三什么我尚未收到，
[61:46.880] 由车间咱人家能给我冻死吗？好行合计了，当然这点您就放心，这对从我这没别的咱们怎么谈的，肯定是怎么来他就
[61:57.610] 但是他对这不去，对，一会会有人专门给您讲车的，就是功能，
[62:03.750] 所有的功能都会给您讲出来。
[62:06.310] 对，会给您讲明白了。
[62:13.620] 看看没问题，咱们就那什么。
[62:15.680] 整个没有什么话题，对，那天都看半天了也。
[62:19.810] 完了。
[62:24.410] 走了没上他也这么的话，
[62:28.130] 包括
[62:31.910] 因为报九帽憬是这样，就是说比如有时候把玻璃砸碎了，
[62:39.210] 然后从里边把这车一抠开，
[62:41.710] 这个时候他就该报警了，平时都不想，平时就不是说我一碰他就想这拉着我的不行就比较麻烦了，那不
[62:48.540] 那小区里面那么妈的教诲着我就是一刮风一下雨了叫过去了现在吗？
[62:54.840] 现在车会不会了，这不就完了，您看那一刮风一下雨就小那个车一般都是要么就是国产，
[63:02.440] 要么就是老车，
[63:04.050] 新车没有这样了，怎么接口玩太多了，你晚上聋生叫一点对。
[63:11.910] 这都容易有时候容易想没电了。
[63:21.320] 这个车里他不管你不想，
[63:25.560] 咱们上楼。
[63:27.480] 上楼了，您哪等一分钟后面系统弄一下。
[63:33.230] 小米那种。
[63:35.290] 您是指标出来了。
[63:37.580] 感觉想法。
[63:39.070] 打
[63:42.090] 了。
[63:47.430] 我就打个指标，不你用那时候我就闭了一下好了。
[63:51.940] 今晚还没分清楚。
[63:57.560] 你先打。
[63:59.630] 喂张欢。
[64:04.010] 我就找你你在哪呢？
[64:08.330] 好的。
[64:09.480] 好了，马上给拿过去了。
[64:16.110] 你知道登录名密码是吧？
[64:18.250] 比较。
[64:22.130] 小车车
[64:28.250] 帮我点微。
[64:29.990] 什么时候刚新出来的？今天？
[64:32.620] 今天出来的。
[64:34.360] 今天出来的他点名用到水，今天到不了了。
[64:37.700] 我先给你公斤，对，那就了点了吗了吗？13736113611。
[64:44.840] 052。
[64:46.910] 二。
[64:48.120] 656523。
[64:50.710] A公司吗？
[65:02.860] 说。
[65:07.870] 对。
[65:08.660] 写一下稍等一下地点。
[65:11.330] 您好，您东周这个是吗？
[65:14.410] 看。
[65:22.650] 等等。
[65:26.170] 有限制是吧？限制但不影响我还款。
[65:34.960] 我看您这是狼房子茫茫的好事吗？
[65:39.440] 我在北京，但是我是在北京干嘛？
[65:43.650] 都行是吧？
[65:45.400] APP上不行吗？
[65:51.910] 行吧，我知道了，好了谢谢您。
[65:54.570] 这样
[65:58.030] 行好了。
[65:59.770] 晚一下晚一点我的事好了。
[66:04.070] 好。
[66:05.640] 好勒，谢谢。
[66:17.390] 好了，那一会我给您发过去。
[66:37.770] 稍坐一下，我就先去。
[66:55.160] 没事儿了。
[67:11.810] 你干嘛怎么充电？
[67:14.270] 喜欢。
[67:18.260] 想开行。
[67:20.680] 我不用我找您，我给您拿我找您。
[67:45.430] 教车是吗？
[67:46.200] 对，答案没电。
[67:47.870] 都不能用。
[67:51.150] 啥意思？你这是不是有事儿？
[67:53.930] 你帮我我弄您我就别结了，其实接那个证现在正确的。
[68:01.190] 行。
[68:03.690] 就行了。
[68:04.820] 一样的有这么
[68:08.970] 办法。
[68:09.670] 拿我的家，但是咱们什么交车数太低了，
[68:15.840] 我知道大家会累。
[68:17.190] 张经理发的使命
[68:21.220] 不过分的全屏，
[68:24.340] 你这算是他休了一天吗？
[68:27.110] 还不如把那天换过了，今天一天都没休。
[68:31.020] 然后
[68:35.280] 这还问了。
[68:36.390] 听完了吗？
[68:38.520] 都来了。
[68:39.590] 刘美君也来了，
[68:41.350] 谁梁宇也来了，
[68:43.240] 办成好一会儿来看脚气在医院拍照片了。
[68:48.200] 您好什么？
[68:49.420] 还是因为我大片，我是想大家伙都是轻松，但是有些时候可能不太行。
[68:55.010] 你想你原来卖10个车，现在要求15个，还建那么多还干那么多活，他出不了事故的，
[69:01.680] 希望大家能我
[69:03.590] 能干到13:45，然后之后能拿到钱，如果钱拿不着是我的问题。
[69:13.400] 好了知道了。
[69:47.210] 到时候
[69:48.820] 谁知
[69:50.470] 消遣的
[69:53.200] 看到
[69:56.510] 我相信您这块
[70:22.120] 一般它不会变，
[70:24.550] 光亮一点也。
[70:27.370] 平时使用的，对他这等于要什么就叫优惠完的价格。
[70:33.310] 我知道，实际上它是
[70:35.910] 指导价等于是45万多，但是优惠完了41万多，
[70:40.690] 10人左右，105,000商店卖46万块钱，
[70:45.150] 他这个叫什么？这叫优惠完的价格，就是现在标不标致老嫁不。
[70:50.440] 它上面这么写的制造价格。
[70:52.680] 写的叫裸车价格。
[70:56.100] 对，他叫裸车价格。
[70:58.280] 反正其实后来
