[00:00.430] 是吗？
[11:19.850] 上午说完了我就快点过来看一下。
[11:52.760] 这是0180306。
[11:54.420] 这样的。
[11:56.870] 这块品的大小他。
[11:58.640] 什么东西这都一样电网。
[12:00.380] 的马是马。
[12:01.620] 对，然后多了一个电动调节这事。
[12:04.590] 调解
[12:10.760] A的话，他OK在我觉得那4份人生你说对这样，
[12:15.910] 谁知
[12:20.470] 他先后怎么样？
[12:22.790] 在坐等的
[12:24.530] 摸摸着了。
[12:26.080] 等于。
[12:27.340] 来看见了，好就没有蒸。
[12:32.890] 对，反而电动的方便一些。
[12:35.930] 你看看不知道，谁知。
[12:40.430] 店面。
[12:44.140] 多少钱？
[12:46.750] 这是18082323万吨，234,800，
[12:52.480] 但是他有优惠，优惠完了这款是不到20。
[12:57.390] 不到2，对然后他还有一个A200，
[13:00.100] 这200的话是264,000张，
[13:02.920] 优惠完了基本上在21万多。
[13:06.130] 230他材料他这个材料是一样。
[13:10.360] 的他三块激动的高，那是高功率，
[13:13.730] 是吧？就当什么意思？高度就是重量。
[13:16.500] 大的就是那三咱们当时买的28万，
[13:19.630] 没买2020A就是B。
[13:21.320] 工地200就是高功率，
[13:23.350] 同样的怎么样？重量，你比如我当时我不知道这是吧，你比如说170马币。
[13:29.110] 你那个不是200 238，你明白这意思？
[13:32.720] 大小什么都一样，每个公司都一样，外观都一样吗？
[13:36.830] 有评价就200荷兰石中剑，
[13:40.720] 咱们把本拿出来。
[13:42.830] 快我没带我妈没想着来看奔驰吗？
[13:47.060] 先你我就走了。
[13:48.950] 看一下感受一下OK了，没有关系，你说颜色有需求吗？你都有什么颜色？
[13:55.860] 斑马是它是白色居多，白色红色。
[13:58.700] 然后。
[14:00.170] 刚才。
[14:00.730] 红对。
[14:03.080] 赢得红的最好不也。
[14:05.430] 因为现在他这种东西实际上
[14:08.430] 因为白色不可能老开实话实说，
[14:11.380] 你等卖的时候这种越可气的颜色越不好卖，对他有白色有黑色是吧？对还有红色，这是佛法吗？到时候印的时候给来。
[14:22.050] 还有什么颜色？蓝色就是你。
[14:24.180] 们厂对，但是一般没干什么，白色卖的最好的。
[14:28.620] 后面。
[14:29.250] 你先待会在
[14:30.640] 完了你再让他看一看那SUV那个叫什么玩意。
[14:33.690] 只要B是
[14:38.080] 这也分180和200
[14:42.840] 也。
[14:44.350] 这样零受过。
[14:47.030] 那就是贷款的手续费没有吗？
[14:49.710] 都对没有代还手续费，
[14:52.590] 只有一定第一购车税交一保险，
[14:55.690] 这是电动调节的。
[14:58.450] 这么多。
[15:02.860] 这样。
[15:04.270] 咱们年一个月完了3000块钱，
[15:09.050] 那天我给你打电话，我就说一个月三四千块钱，先把这玩意给开回去，
[15:14.240] 那个车好像是上来先交一个3万，
[15:18.290] 3万块钱就是保险您跟不如住，所有车你都得先交一个购车摇号那一样的，
[15:24.750] 连剩下什么都没有，一个月还3000块钱。
[15:27.550] 这好像4000，我记得那小姑娘跟我说，
[15:31.240] 还有啥优惠？
[15:35.990] 您现在就是现金优惠现金汇当然第一您提车时间打算在什么时候买车时间？
[15:42.560] 随时合适就能提是吧？行，那一会可以给您算一下，因为先到我们这儿搞活动。
[15:48.450] 就是现金优惠大活动，月底冲量，
[15:53.040] 用您贷款他也是优惠越多越好，对吧？
[15:58.330] 对小伙子哥们你就给我实实在在的。
[16:01.270] 是我很贱，但是前提是先选好一辆车，当然了把这两个都给我
[16:06.360] 算一下，你看看原型能够倾向于反正要说这个车，因为上回小故事大会，因为我着急有事是不是？这是第一个。第二个也没有这车，所以我们这车没有见着。
[16:18.190] 我只见过那小白。
[16:20.440] 它里边有。
[16:21.840] 是好几十种色，那叫什么？
[16:24.140] 那是文刀有好几十个，他就是4种颜色。
[16:37.300] 为什么说上回跟老田算就这玩意跟白什么似的，你开到第4年的时候，
[16:42.820] 需要付尾款的时候给你买，
[16:45.470] 二手贩子直接把你一环直接卖了一个，你老开新车一个月，谁知这确实是
[16:54.960] 我去世称加一下就在他旁边坐，因为我好多年没有开轿车，所以你把这两车都能给我做一市场价。
[17:02.370] 都坐着，因为这两个车发动机是一样，其实是一个就完全可以，您看您更倾向一点都是一点。
[17:11.930] 200万先。
[17:12.850] 好长时间没做了，可以看看。
[17:15.030] 对，如果说叫出您要觉得
[17:17.600] 这个高度没问题的话，就是建议您教授应该更适合一点。
[17:21.340] 不是，我一直在开这种下位置，咱们先试一下感觉一下好了。
[17:27.050] 我去给您登记一下，您去对面光水您登记完了，咱们在那边签字。
[17:35.510] 你BI C现在卖多少钱？
[17:38.400] 角C
[17:39.540] 什么SGSCS0 30不到40万办下来，
[17:45.020] 还得46。
[17:46.120] 对加C怎么也得跟着，不是39放假。
[17:49.760] 三九城防还是螺丝？
[17:52.040] 桥挽救。
[17:53.870] 降价对可以。
[17:56.880] 第二C其实小车不赖，其实咱说
[18:01.200] 作为你们开就很轻声，
[18:03.230] 你说的也是CI还是这种叫着CRV的？
[18:08.020] 12C
[18:10.500] 小车，
[18:11.810] A级车也挺好的，A级车真是不错，A级车我为什么不能喜欢？因为
[18:17.870] 多少年前有一次帮人摩托车，
[18:20.820] 是一个叫A180的电视AP，侧面现在的A级车市19年才出来的新车型，
[18:27.730] 所以跟您原来的完全不一样，对我这边先给您办医事件好吧？然后车型介绍什么的，这边还有需要单独给您介绍一下吗？授权。
[18:36.930] 什么东西？车型介绍配置介绍，
[18:41.180] 或者咱们对开一边这个事，
[18:45.290] 这是以前青姐重庆在20稍等一下，
[18:49.840] 要不行完了首先。
[18:51.410] 听你这一块。
[18:53.550] 车辆旁边有自己水，旁边怎么还有人马上。
[18:57.120] 对，里边还有一个清明桥可以对比颜色，我先给您办一是。
[19:18.190] 是什么时候黄瓜。
[19:19.680] 你是什么？
[19:20.780] 你是什么我就不是什么A
[19:24.440] 你先是我结算身上
[19:26.870] 薄。
[19:29.040] 你坐进去。
[19:30.830] 做晚上车没赶上，
[19:34.230] 都没测好了。
[19:36.160] 我看。
[19:37.720] 然后
[19:39.800] 明天再玩。
[19:41.480] 看回事了。
[19:43.880] 谁知。
[19:44.710] 是什么车是吧？
[19:46.600] 我不是。
[19:48.310] 你这A是一样是的11点是的要什么，然后了完善。
[19:56.690] 这不昨天的十二几号。
[19:59.470] 不是您写的日期，7月26号往下。
[20:02.870] 我好像7月26号垃圾
[20:05.800] 了。
[20:07.080] 三爸爸爸爸爸爸是不是？
[20:09.990] 三不少，用一下用办法。
[20:13.920] 天怎么都行，能不能给评估？
[20:17.840] 我这不来了吗？我头痛没听见，你大概我这来了，你还想出来我跟
[20:23.270] 一块投入。
[20:25.070] 现在埃及。
[20:26.100] 这太不了。
[20:28.100] 待会跟不在。
[20:30.260] 你说。
[20:31.200] 你问一下。
[21:04.930] 没感觉。
[21:06.220] 我们都不一样。
[21:08.470] 不大这一点。
[21:14.370] 是
[21:16.360] 看。
[21:45.660] 市场
[21:48.080] 快。
[21:55.510] 的
[22:04.370] 二。
[22:43.870] 句
[22:49.620] 数据。
[22:50.980] 数据、
[22:54.360] 数据、
[22:57.000] 数据。
[22:59.150] 场
[23:01.560] 电话
[23:13.120] 数据
[23:14.850] 坏、
[23:17.990] 坏数据、
[23:23.750] 远场
[23:26.030] 的
[24:06.990] 场。
[24:13.540] 花。
[24:14.830] 坏。
[24:22.330] 数据。
[24:25.640] 的
[24:46.630] 的。
[24:47.440] 数据
[24:48.540] 数据。
[25:27.310] 稍等一下
[25:29.690] 私家车出去了，
[25:35.310] 这是加ob。
[25:38.040] 我这交那不是这是什么叫OCR，您拿好您的版本。
[25:42.120] 我看
[25:47.960] 这个跟我刚才看的区别在哪？
[25:50.970] 级别不一样，你这个是光高级别的。
[25:55.630] 他俩区别的。
[25:57.890] 区别一个2.0T1.3T
[26:01.850] 一个四驱的两驱，
[26:03.700] 那个是多少？那是1.31.3T那点都是假说白了假城市SUV，
[26:11.180] 这是真诚是SB的，对假就是M这多少钱，
[26:16.370] 你要是买入门版全下来39万多，
[26:21.340] 这个不要紧，就要标配。
[26:23.940] 对这个没有要求就行。
[26:25.920] 加GB看板
[26:27.730] 没什么用。
[26:28.750] 对，他根龙骨不一样。
[26:31.920] 我踏板加个一踏板，还有什么玩意来着？
[26:35.370] 多了一个座椅加热的。
[26:37.690] 没用，
[26:39.350] 你放D靓相都一样，驱动都一样，那根插香高低差，
[26:44.450] 这比差较大，
[26:47.640] 而且伦比查勘车
[26:49.680] 小轮着他们一轴轮特别舒服这样。
[26:54.810] 不是我看看下午。
[26:56.680] 像都在。
[27:01.950] 稍等一下。
[27:03.220] 没车难受。
[27:04.400] 这车首付的话，如果贷款的话首付多少钱？
[27:08.770] 30。
[27:10.520] 80 30%我知道。
[27:12.950] 我就给您算一下钱，我收了。
[27:15.240] 你像现在优惠完了，成本完了39，那也就是基本上落实是35左右，
[27:21.920] 天天这么多困难，
[27:28.490] 全办齐得39代的话，最高能贷24，L439，
[27:33.720] 10月10 15。
[27:35.850] 百分百。
[27:36.960] 对。
[27:38.320] 一个月还多少？20。
[27:40.490] 24万的话86
[27:44.800] 五
[27:45.880] 6700的本金怎么也得1000左右的利息？
[27:51.560] 得7000多块钱七八千块钱，
[27:55.010] 别给自个加满了。
[27:56.720] 我就得您通过银行对，其实您网上开的，您现在已经开了，你就算开着车费不是。
[28:05.230] 两
[28:06.020] 我现在就是想找个动感车，然后。
[28:08.530] 对跟他过渡一下是吧？
[28:11.510] 但是A不是挺
[28:13.450] 应该是早期他的
[28:18.320] 2.05。
[28:19.470] 1:00~3:00。
[28:20.990] 不是，我说他刚才说的是甲丁机器一下，他说1.31.3的是吧？
[28:27.810] 像邮票吗前面很高很低，油耗基本上又有很大太好了。
[28:34.210] 他跟奥迪A4了吗？
[28:36.770] 但是他手
[28:39.400] 肯定I升油，
[28:41.520] 对比不一样工具，但是开起来的话说实话一点都不吗？
[28:46.940] 是吗？对。
[28:48.320] 一会试驾感觉。
[28:50.660] 对。
[28:54.890] 那么省油。
[28:56.600] 太好了，算了，我就这么想。
[29:01.070] 下雨您度量，
[29:03.210] 对不对？还有一个
[29:06.120] 还有一个
[29:07.940] 像真正的城里代步工具可能是不错，还有一个也不算太啥，是不是？
[29:13.510] 还有一个大杯子什么一下子，关键您是的话确实很多，
[29:18.750] 特别好看，您是画好看一会您看就能看出来的还可以。
[29:26.470] 而且他是什么？他这是谁高兴了以后高兴。
[29:30.630] 她在语音，
[29:31.920] 你开始把天生我打开驻颜，你是在试驾咱们得A吗？
[29:38.180] 干嘛行，户型门口就行，好。
[29:42.450] 你有什么需求，比如我打个天窗，它自动给哪个有你好奔驰，你有什么需求就是把你养过奶牛，
[29:49.750] 空调给打开，差的压力自个你看看就差你别人操就
[29:55.060] 比如A温泉人有点冷，给温度温度调高，对B哥他大姨这玩意儿，然后
[30:01.610] 什么
[30:03.670] 就有点阿尔法，但是的智能的，然后它就是对一个治疗的部分，
[30:10.060] 游戏我小孩让他肯定的，由于有玩的可以了，你帮我把它做了钱，
[30:16.050] 弄一个电瓶车一个月给我3000块钱来告诉你，
[30:20.240] 等到第4年发现你该给10多万的，
[30:23.630] 你得找一份卖了，
[30:27.260] 但是第二天我就去那了。
[30:29.220] 等等你这么着你不就你的手下，
[30:32.880] 我先说这就需要他说的怎么了。
[30:42.400] 行好了。
[30:46.310] 能够签个字了，不是先生签，因为去那边。
[30:52.610] 对了。
[30:54.370] 这三点
[31:07.850] A是吧？
[31:09.090] 对，然后您亲自听。
[31:12.670] 是不是一件自己安全了，谁知张有什么责任需要个人承担的，就是您解答。
[31:20.140] 我没有。
[31:23.410] 你说。
[31:24.580] 就像
[31:26.150] 远方换车时候，他放你在北京买车，谁知
[31:30.430] 他去年刚换的那些二我不知道看过吗？点前天
[31:35.970] 前面没有钱没有。
[31:39.160] 有过我感觉是吧的话大众虽然那一块儿的，
[31:47.210] 因为然后在这儿我的订单我聊聊能够
[31:52.330] 应该去年没回来什么有没有看过，所以
[31:57.260] 那天要说
[32:00.330] 没有见过B键拿着，
[32:04.000] 后来看
[32:05.250] 一会经他的专业了。
[32:08.930] 对吧？对稍等，如果昨天再想一下这边节目接不了。
[32:17.190] 最后
[32:19.760] 咱们
[32:25.170] 走吧。
[32:26.040] 回来了。
[32:27.710] 了解谢谢。
[32:30.200] 好。
[32:31.330] 也
[32:32.570] 走。
[32:36.590] 号。
[32:38.370] 现在还有。
[32:53.520] 很少看你就
[32:55.880] 提交有点不知道吗？
[33:04.640] 咱们是先试乘再试驾，您先做一下副驾驶。
[33:08.710] 好吧？
[33:11.090] 一个地方发现了，
[33:18.400] 那边不得上市。
[33:19.820] 对。
[33:25.160] 这是都调到最下边了是吧？
[33:27.940] 所谓的你跟我说22.0叫什么来着？我这儿然后所有的都是电动的。
[33:35.700] 对，是这意思吧？办公室
[33:38.970] 那个门没关上先生不是。
[33:44.930] 也是这种新款大。
[33:47.340] 对。
[33:48.240] 而且它的氛围灯对到四尾号还有4个山，你在干嘛？
[33:53.790] 跟您互斥的刚做这样包装。
[33:57.310] 这样。
[34:00.670] 他在跟你演示那灯的颜色，
[34:04.980] 其实这个颜色它相对来说在白天看到要稍微清楚一点吗？光线条来吉祥天带点。
[34:12.500] 好勒，还没有这习惯了，没事。
[34:18.570] 然后咱们奔驰能看到有奔驰是吧？都是怀岛对他的亲属是吧？行这家专利。
[34:25.540] 对。
[34:27.380] 白荡基本上都是根植用的比较多。
[34:31.730] 不怕导航这些永远都是新款的带触屏子，
[34:37.490] 一个一体式的这么一个屏幕。
[34:40.720] 然后全景天窗也这是带有张连，
[34:44.610] 今天可以打开，咱们赶上。
[34:47.310] 双旦是的一个平天窗，前后采光都非常好，你要给他演示一个大每天装那种说话。
[34:53.970] 那个的话其实分为
[34:57.110] 您好，文池。
[34:59.210] 你好，奔驰。
[35:01.390] 不搭理我了。
[35:03.840] 你好奔驰。
[35:05.180] 选
[35:06.580] 是吧？花了。
[35:10.030] 你好奔驰。
[35:11.930] 你好。
[35:13.040] 有什么可以帮您
[35:14.930] 导航去昌平，
[35:18.250] 就跟他说什么卡都行。
[35:20.840] 您需要做什么？
[35:22.650] 导航去昌平。
[35:27.030] 戴口罩不太清楚我
[35:30.700] 例如可输入导航目的地，
[35:33.410] 呼叫某人或选定电台，有什么可以帮您，我要去
[35:42.890] 那种保守。
[35:45.240] 您好奔驰。
[35:46.810] 让她管怎么还真是你好奔驰。
[35:52.790] 怎么这么不了了，还没卖奔驰你好。
[35:58.480] 不是你好你好奔驰。
[36:03.330] 你好，有什么可以帮您把天窗关上？
[36:08.000] 我可以为您做什么？
[36:10.200] 天窗关上，
[36:13.830] 关闭天窗，
[36:17.290] 好的。
[36:18.330] 我来关闭滑动天窗，遮阳帘。
[36:21.610] 对还是得什么得凶一点，优点几个词不一样，
[36:27.950] 你就搁B听说你就把天窗关，但它这个功能相对来说这个就是不用说特别死刑那比较大，他是大白话，
[36:36.290] 因为阿尔法蛋就是这样的，牛的小小机器人你说什么他说什么，
[36:42.750] 我说今天你让我不开心，你好奔驰，
[36:45.860] 你好奔驰，
[36:49.770] 9号奔驰。
[36:52.690] 你好，有什么可以帮您办？
[36:55.960] 我可以为您做什么？
[36:58.720] 灯的颜色转换一下。
[37:04.250] 这儿之前确实您需要做什么室内的灯的颜色转换一下，
[37:15.170] 有什么可以帮您
[37:17.210] 改变氛围灯的颜色，
[37:29.010] 是吧？但之前确实
[37:31.690] 没有这么迟钝。
[37:33.300] 主要是的。
[37:34.310] 天的有点迟。
[37:36.700] 没有文职。
[37:39.480] 你好我们吃。
[37:42.850] 你好奔驰。
[37:44.410] 你好。
[37:45.550] 有什么可以帮您？
[37:47.320] 空调有点凉，温度调高点。
[37:53.920] 好的。
[37:54.860] 我把温度调到最低
[37:57.290] 了，您得说我热了就可以了，
[38:02.750] 这就可以了，我热了。
[38:05.590] 你好奔驰。
[38:07.000] 你好，有什么可以帮您？
[38:11.450] 三天。
[38:15.890] 现在都是周边的，请选择一条记录。
[38:19.240] 一
[38:21.720] 一
[38:23.840] 第一条
[38:26.580] 有什么可以帮您？
[38:28.390] 第一条，
[38:31.730] 接下来您想做什么？
[38:34.630] 帮忙。
[38:37.200] 但是这种正常分流，我记得原来我跟客户在聊天，就提到奔驰两种，但是您需要做什么呢？
[38:44.130] 可能刚才电子出现点什么，比如迟钝的现象，
[38:50.020] 正常来说这种行了15万您就别挑了那么多事了。
[38:55.710] 这个词是可能卖11，但是对这是一个卖点，但是他每年是要交服务费，
[39:02.410] 我前三年是免费的，然后这个功能是不用交服务费的。
[39:07.110] 我知道他就是跟
[39:09.560] 和它人机互联，过了三年以后需要交服务费的。
[39:13.790] 一年以前别克是吧？
[39:17.020] 什么安吉星就是科技性的吗？
[39:20.420] 对，差不多，我在他公司来做是这意思的。
[39:24.400] 对，三年以后有一个续费了。
[39:28.210] 几百块钱一年。
[39:29.950] 那么今天一现在那是3000多块钱，不是1000多块钱。
[39:36.290] 然后咱们那车的动力
[39:38.260] 也
[39:39.030] 其实算是1.3代的家族的，
[39:42.950] 然后就在那里。
[39:45.210] 对，你看就是这种东西其实在同时
[39:48.120] 完全够用。
[39:49.590] 对。
[39:50.470] 然后垫子像是起诉手艺，
[39:52.990] 开展非常有
[39:57.260] 为什么省油？是因为他1.3，还有一个B方的技术，
[40:01.940] 比如说我现在60迈匀速行驶，
[40:04.850] 正常是4房车都会关闭到nb的两个
[40:09.040] 你这样的话他就要生活
[40:12.180] 剩一半了，
[40:13.160] 对吧？
[40:14.460] 他都能跑高速，反正是它能达到120对不对？
[40:18.920] 对不？就够了，就太那什么我老婆了。
[40:23.310] 然后
[40:24.140] 你给我120就行了，我老罚款就不合适吗？
[40:28.030] 我确实犯这毛病，我好等等。
[40:34.450] 我就觉得够我死了，
[40:36.170] 又省油，
[40:37.760] 对吧？
[40:44.330] 前面都是
[40:45.400] 了来去的。
[40:48.220] 现场的时候对我不敢，我们家先生只要一说提速还可以，这都没问题，然后想
[40:54.930] 您姐其实关键
[40:59.270] 我跟你这么说，我是与不是今天你给我看一下提速就行了。
[41:05.610] 我就是为了做下来感觉高低，因为老高开车越高开车的it。
[41:11.670] 对，所以我就说好几年了，我们都是也肯定家都没有太低的车了。
[41:18.210] 所以说这样感觉我就说只要你看这个范围它确实非常好看，
[41:23.850] 包括用刚才你好奔驰也可以让他换一种，这种颜色都很好。
[41:29.670] 来试一下这样。
[41:32.150] 我昨天时间还长。
[41:34.610] 快去。
[41:55.520] 对，刚开始。
[41:56.850] 刚开始肯定从小号打头，然后回过头一下开了那么大车，开完大车在，谁知
[42:05.630] 今天在
[42:06.840] 拍完饭就不一样了，人就有这种感觉，对吧？
[42:10.670] 所以我就说
[42:12.080] 能让我过度一点。
[42:15.580] 我喜欢
[42:20.990] 控制绝对没问题。
[42:22.260] 望着东西高，而且还有一种模式，咱们只是现在给我拍的不是运动模式，是不是？
[42:29.130] 不能漠视
[42:30.020] 正常模式吗？
[42:31.960] 咱们上土路，
[42:44.620] 这就是城里边开够使咱实话实说，
[42:50.610] 尤其是说句不好听的，你这无非就是带着孩子上个课什么七八糟，
[42:56.490] 够了，肯定是够使
[43:06.070] 这超车什么的。
[43:27.630] 这边还能。
[43:29.300] 餐厅是代表不是疯狂的关闭风口，出风口不像咱这是的普通的广东的有一招，他这就是这种设计，但是挺好的，
[43:41.270] 就是一个完备。
[43:42.920] 这种小车如果说全都那什么的话，也不太可能这个就够了。
[43:47.670] 对，确实然后怎么说什么，
[43:51.440] 肯定会有一点顿挫感，这是没有矛盾。
[43:54.760] 因为他毕竟小。
[43:57.520] 对，但是您现在
[43:59.470] 您就算买了分角色的，其实也要顶多少。
[44:02.870] 还有那种
[44:09.090] 我觉得这就是一个版权。
[44:10.640] 是。
[44:15.110] 做完就是你们实拍。
[44:17.040] 把爷们开走了，
[44:19.430] 就开门出去了。
[44:24.480] 你是不是觉得还可以？
[44:26.740] 我没说关键是你是吗？我不用，然后你就感觉能提速就可以了。
[44:32.340] 没问题，这在哪家做的8秒？
[44:36.150] 有没有去发展？
[44:38.230] 这不带T是吧？待机肯定是1.33T
[44:42.640] 但是在代替能不能做到这么评论，其实已经非常厉害。
[44:47.040] 1234年，
[44:49.160] 我刚才就问他，
[44:51.850] 你奥迪sl怎么样？
[44:55.280] 因为我不懂，所以
[44:58.160] 要问您首先把您开一个奔驰这个品牌，他现在跟奥迪它是有差距的，
[45:04.190] 就叫离的门只有差距了，就是从档次上。
[45:07.470] 第二来说A级车它是同级别内是做的最好看的，
[45:12.030] 没有之一就是整个那是感觉你可以自己感觉没有之一，对A4来说它就是2.0P它可能说相对来说按照0T1.8T我看真不太了解你，
