[00:00.560] 初次阶段常女士
[06:46.790] 洗手间那边吗？
[06:48.520] 首先他们昨晚上
[06:51.350] 我们就操作
[06:54.330] 都没查出什么。
[06:56.270] 散热这要是查出来，
[07:01.650] 我也没场所。
[07:06.780] 谁知
[07:15.660] 然后简单跟您说一下，咱奔驰上有一个服务公约，
[07:20.040] 咱们所有的价格都是明码标价，公开透明的，
[07:23.710] 然后配下渠道休息公式，
[07:26.470] 然后绝不捆绑销售强制消费，绝不使用假象，以次冲好。
[07:32.260] 然后这下抱个服务监督电话，4008186188。
[07:36.250] 好，谢谢咱们关系。
[07:38.330] 然后如果你要考虑做分期的话，咱们现在也是不收取金融服务费了，您先别说您那些，我想先说我先说话说完说完就完了好吗？
[07:48.140] 我想找你了解吗？有的是时间。
[07:51.080] cos那车算什么级的？
[07:54.920] 什么急的就是abc吉他算，
[07:59.720] 还有地级的有
[08:02.320] 有一小盅生B中曾说我只听过abc和ES我怎么没听说过D级，
[08:10.360] 您这说车的型S
[08:14.160] uc LASS级的CS代表轿跑的意思，
[08:20.410] 我的车身大小车身大小分ABCD这种
[08:27.080] 那车你觉得怎么样？我就有点看上那辆车了。
[08:30.570] 听话的德国进口了2.0T
[08:33.950] 20外形好看，车身长度也够了，像我这岁数开我这岁数有点老了，我够了，这样也好，
[08:41.590] 是不是有点小年轻开的车？
[08:44.480] 一般买3S基本上都是平对生活上其实挺有品位的地方。
[08:50.450] 这边北京指标吗您？
[08:52.640] 北京指标。
[08:54.360] 对，是置换房按置换什么车应该
[08:59.330] 万万没过。
[09:01.440] 怎么样用的还行吗？
[09:04.010] 行，因为人家时间长了，你看锅子价高就卖给你们脖子掉了。
[09:10.050] 沃尔沃11年12年不到08 09的，
[09:15.020] 你都得有专门的评估师待会给您估一下，一般你跟我说大概你现在说不好，
[09:20.930] 他们都坚决不说，其实你随便说一个，我们不是您要想知道就车贷有专门评估师，他会内疚，长得挺漂亮会告诉您价格，对我别瞎说了，说高了不行说到受不了，说低了您不愿意，不是你咱又不签合同，你说的我不是完了非得是有二手车的一个专门的师傅，他给您估价。
[09:39.860] 他姑就说您要想知道这样的，到时候让他看一眼那也行，他希望能帮看可以了。
[09:47.190] 我让他给您看一下，不就告诉你大概其价格了，然后大概企业因为我都是
[09:51.980] 有专门的人负责这个地方，让他看看。
[09:56.280] 是不是一般你们这评估是评估的都特低，
[09:59.730] 都价格都特别透明，并不不说D
[10:04.300] 您给您一下您自己参考的，您要合适您就卖，您觉得不合适您自己外边处理。
[10:10.360] 因为就很简单的事对吧？我也不会说给您报一个特别高的，
[10:14.360] 等您来的时候发给您，
[10:16.320] 我在往下降，
[10:17.560] 是吧？我报的特别低，你肯定不回来了。
[10:20.320] 您怎么明白就这点事吗？这够实在的对你命的事，你是刚才说的调跑SUV。
[10:31.550] 对基础款他三年260跟300，260现在没有都是300的，只有二不出，还是你们尺码没有，基本上都是300。
[10:44.290] 300盒它价格差多少？300，一个是45，一个51万多，差了将近5万多块钱，
[10:50.250] 然后优惠完了优惠幅度一样，
[10:53.820] 都是一样的。
[10:54.960] 进口都如果3万。
[10:56.550] 你300是51万，对三版车型的话指导价是517,800，你3万就是48487,800。
[11:07.150] 咱们问的刚才60
[11:10.120] 260多少？0260 457,000。
[11:14.110] 对留人45万多，我们不着急，你可以给我们弄来一个I
[11:19.360] 860吗？
[11:20.600] 不着急，你搞不行，但是不知道什么时候来，我可不敢给您定交付。
[11:27.150] 你说他不出了出，但是因为这车他是比如第一是德国生产，第二的话它生产完了之后他事故全球的，
[11:35.930] 而且现在受这一行影响的话，国外其实也是减产了，
[11:39.900] 所以不好进，所以他们都吓得都失业，下岗了还不相信。
[11:45.060] 它生产出来他只要卖不出去，他没地儿放。
[11:48.240] 慢，但那边也减产了，减产召车分过来，而且咱中国那么多4S店，
[11:54.290] 对您说是不是？所以不好定，你这300里面有三码的，有现车300的有现成的。
[12:02.110] 300和260的差别在哪？比如说侧面踏板，
[12:07.560] 侧面都是踏板，300的有踏板我们就不想要大板，
[12:13.510] 然后因为不想要踏板才没把北京奔驰的
[12:19.680] 北京奔驰又不带踏板的，260也不是黑板。
[12:22.740] 20那一会看看对他300在他
[12:26.680] 对。
[12:28.250] 然后差的什么360度影像这些东西366你2260还是倒车影相，
[12:34.180] 然后三板是360度的，
[12:36.370] 大量一样材料都是2.0T但是它马力不一样，一个190多马力，一个是250多马力，
[12:44.230] 的也不一样，
[12:45.270] 都2.0T马力还都是一样的，是调笑的，
[12:48.980] 就调教的事儿，
[12:50.610] 瞧瞧就跟手机似的，内存应该放16G的一个行业，32G的，
[12:55.590] 对吧？什么东西都一样，芯片都一样，无非就内存不一样。
[13:00.590] 刚才咱看CS马力多少，250 300的话是250多，
[13:06.790] 那也没什么。
[13:09.630] 是他叫几T2.04 2.0T就这么惨烈了。
[13:17.180] 六十几万五十几万，
[13:19.370] 如果低配的话是637,800就是589,000，然后优惠5万。
[13:26.230] 68的多少？
[13:33.690] 然后如果在高配的话，
[13:36.840] 这两白的了，
[13:38.930] 那个是68。
[13:42.470] 1800。
[13:43.520] 也就63万多，对，差5万。
[13:46.590] 高配的那些功能都是什么呢？
[13:49.370] 比如柏林之声音响，也是360影像，
[13:53.120] 无钥匙进入这些K460以上都是挺好，对吧？边上也能看到
[14:04.760] E级轿跑车就只有两个是吧？两
[14:07.920] 那么一级他就不-4，
[14:11.160] 他定位不一样，
[14:12.790] CSCLYCL代表轿跑的意思，那就是4门轿跑CL
[14:18.180] al，
[14:20.610] 然后S后边是他的级别，
[14:24.360] ps共用一个底盘了，
[14:26.280] 这cos的车子是5万
[14:29.030] 多长？
[14:30.860] 4米9多。
[14:32.240] 就对刚才说了
[14:34.120] 74米9多你还可以。
[14:37.870] 我差点。
[14:40.200] 我俩刚刚差点就错了。
[14:45.520] 怎么让他查询还是没查，他怎么跟咱们问什么，人家查什么。
[14:53.080] 都在这里，对，把水喝了咱们去看看。
[14:55.920] 没准就看着她。
[14:57.730] 20不在他房里，对，咱们展车没有，都是北京奔驰的。
[15:06.680] 这些了已经过去完了了，然后你报废的车要在你什么
[15:12.520] 阶段，就除了国家的补贴以外，没有它是针对不同车型的。
[15:16.580] 你们没有补贴有补贴，但是它分车型，
[15:19.560] 分你买的车型还是分你教自己的车子买的车型，你买什么车？
[15:25.950] 一般的这事国补贴的话都是北京奔驰的，有钱。
[15:29.650] 进口奔驰都没有。
[15:31.250] 为什么老半天发现知道，这就是你对中国搞的政策，
[15:36.930] 因为进口车也没关系，
[15:40.490] 对吧？我很少有，但是您置换的话，比如说
[15:44.090] 像您置换，比如说您要换CS，
[15:47.970] 对，除了您的正常车以外，
[15:51.410] 厂家还有一个12,000的补贴，
[15:54.370] 你说你报废回来在这核实。
[15:56.820] 不用买那个车的车，不是您打个比方说
[16:01.210] 您那沃尔沃吧，
[16:03.190] 打个比方说给5万，
[16:06.040] 对吧？但是除了这5万以外，奔驰厂家再给12,000的置换补贴，
[16:11.120] 那就相当于62,000了，它因为您这车外边给55,000，你说你卖店里合适还是买着合适？
[16:16.830] 那就只有买车型上才有对他共同车型不同的补贴不一样，比如说你买国产的lc，
[16:23.840] 那就是6
[16:26.450] 要买进口的JAC就2000。
[16:29.160] 买了。
[16:30.560] 不一样，他们的车型就单单看让师傅给看看那个车，
[16:37.250] 咱们去看看也不错，可能现在咱们开始没准还明年就依托到明年又是一个价格了。
[16:43.180] 就算不开了，您明年您的车还贬值了。
[16:47.280] 我就是说他给我看完了，我要明年再给您，您什么话？
[16:51.880] 我看好了就换了，是您说您就二手车它就送给您大旗的，他也是不是说固定好了，对。
[16:58.680] 他的二手车他跟新车一样，我就这意思，我这看好
[17:03.780] 再让他不行可以，我想看看。
[17:07.720] 我们就是想看车，要不是看图片我看不明白。
[17:17.610] 第三天
[17:18.710] 我一会看看原告。
[17:23.010] 国产没有。
[17:35.820] 认证。
[17:37.750] 因为我们专业店检测过的没有用速度。
[17:47.210] 这费用吗？
[17:49.600] 多少平米？3折13。
[17:53.050] 小孩用的时候都上来4分转，
[17:57.230] 就真的系统了。
[17:58.830] 看起来
[17:59.700] 哪个地方咱们消防
[18:03.720] 那个车差不多了，出口了就完了了，12万多。
[18:08.060] 对，然后你那就加上三点家用车我可以开吗？还是笑情况，小孩没有，谁知
[18:15.350] 没有电了可能看看那个账号的。
[18:18.560] 之后这三打开调查，所以您260不要到晚上都没有的没有。
[18:25.220] 没有，这是缘分进口的吗？我不痛苦吗？把前面
[18:30.740] 在这号码都一下。
[18:32.920] 这一块
[18:37.050] 好看，
[18:38.060] 他反而感觉太多余了。
[18:43.190] 按照的没错又有点了。
[18:46.590] 260没有脚踏板的对吧？达到怎么没有？
[18:49.750] 为什么装逼太都没有高配多少？
[18:54.910] 当时300电池。
[18:57.180] 20没有车，人家还是装备装的。
[19:03.490] 但是为什么好像还不少？
[19:07.150] 这是人家给小色上山吗？
[19:09.820] 咱也不用了。
[19:11.830] 这是给上车踩的吗？
[19:15.830] 逼着外公更美，装饰不二号不太。
[19:20.180] 第二的话，如果边上有个水坑的，他能碰一下，
[19:25.720] 花。
[19:33.870] 的
[19:35.980] 的
[19:41.790] 二
[19:48.120] 数据
[20:01.310] 用
[20:11.640] 场
[20:12.790] 五
[20:20.120] 数据
[20:23.820] 坏数据，
[20:26.660] 场
[20:28.570] 场
[20:31.900] 数据
[20:33.020] 场
[20:35.250] 场
[20:40.650] 数据
[20:41.640] 的
[20:58.990] 场
[21:04.440] 数据。
[21:10.380] 数据
[21:12.030] 数据
[21:15.590] 场
[21:16.960] 五
[21:18.070] 数据
[21:43.910] 花。
[22:03.640] 现在
[22:05.360] 的
[22:10.920] 广场
[22:13.870] 就是说没有不少了，有些人找到这个没错。
[22:24.940] 对
[22:29.190] 的
[22:31.190] 场。
[22:41.240] 五
[22:57.280] 数据。
[23:03.160] 他最近
[23:15.070] 要检查汽车，
[23:16.780] 反正这就是因为这三个。
[23:19.530] 第三款
[23:20.910] 怎么没换？
[23:23.820] 刚才真够用罐刚，
[23:27.450] 怎么能够解决这里面？
[23:30.560] 我想简单是因为
[23:33.980] 他那垫片有点太薄了，然后就到了换一个厚一点。
[23:38.410] 不对。
[23:59.520] 我们老老实实
[24:01.010] 进口的才好。
[24:10.540] 两
[24:20.030] 他们那么多，
[24:21.190] 但是能够给领导
[24:29.330] 差不多。
[24:30.420] 不也聊过。
[24:31.920] 我没听这么长的。
[24:40.570] 这产品进门的。
[24:42.570] 刚进门不有饺子，有
[24:44.800] 北京奔驰三星是多少尝试？478次。
[24:50.280] 多少钱？
[24:52.990] 62多少？
[24:54.340] 二。
[24:55.910] 武汉的开国这块的
[25:02.900] 这需要的可以。
[26:26.590] 数据
[26:28.860] 场
[26:31.430] 三
[26:34.310] 数据
[26:37.650] 数据、
[26:40.210] 数据
[26:42.960] 的
[26:44.240] 的。
[26:47.800] 他为什么而且没有那些老师他们
[26:52.940] 出来，
[26:54.250] 让好好理解这高级给还有没有看到过，所以你心里身上的
[26:59.450] 参加二楼他就没有300多元，
[27:07.930] 带着4576。
[27:17.820] 不一样。
[27:19.090] 差不多在7多一点。
[27:27.050] 每天
[27:29.730] 往往
[27:42.840] 三。
[27:44.240] 对，220元的桌上有什么的？
[28:00.150] 基本都是一样。
[28:18.890] 对
[28:21.130] 咱们看烟花原装的是2000，
[28:24.170] 这三还是
[28:25.980] 在北京的时候，
[28:27.680] 你要两箱合理，
[28:29.960] 两三个人在两边的
[28:34.630] 也都一样。
[28:38.180] 雕花零。
[28:40.430] 不妈你D老板就是这样。
[28:59.330] 把这些
[29:02.150] 就这样
[29:04.890] 的
[29:17.750] 四四十几万的谁知
[29:22.690] 真的是谁知
[29:36.450] 他是因为国产。
[29:40.170] 看前面。
[29:53.890] 马上
[29:55.040] 谁知
[30:00.690] 那天不知道被谁质量，他
[30:04.180] 今天
[30:06.650] 会看到
[30:13.070] 他这个是埃及局势主要的
[30:16.250] 上面的这型号的关系，当然车身大小我不用了，因为
[30:22.650] 观点
[30:28.790] 他就走了。
[30:30.140] 打电话找他一下还不是
[30:32.570] 等等。
[30:45.170] 现在
[30:46.040] 长毕竟有没有车长4米7多了19。
[30:52.410] 万。
[31:13.060] 你要特别晚起，
[31:14.660] 而且肠道传真
[31:20.160] 哪里去接受？待会看。
[31:26.510] 人家傻维码那个茶叶的话都不全。
[31:30.770] 号码全系的都可以，我。
[31:44.090] 我觉得C级就比较适合家庭用。
[31:48.590] 我就放在拥有
[31:51.640] 赛马的手机。
[31:55.620] 我刚才那个是报名了，
[31:57.740] 就是这样子。
[32:00.430] 然后就有了
[32:01.680] 课程
[32:03.010] 回去就能
[32:46.990] 这只对应本着
[32:49.110] 不是所有都可以，所有东西都在，所以在这说明分后面的。
[33:08.750] 这是
[33:09.720] 的。
[33:22.790] 这个车子是什么颜色？
[33:25.590] 完了的完了
[33:28.110] 黑唐嫣。
[33:30.720] 灰尘。
[33:38.640] 你这好大这地方
[33:41.990] 朝圣的车怎么开上去的？
[33:43.980] 我经常我头上
[33:47.340] 那车就不怕了，
[33:48.710] 看不上，我楼上的楼上基本上都一样，哥那车怎么开？
[33:54.030] 不要T然后
[33:58.630] 上下一心，
[34:00.480] 不看看差不多了，回家去走走要跟你联系。
[34:07.150] 巴掌明天给我一个朋友打电话。
[34:09.640] 我看看上午方便，下午
[34:12.370] 收起来了。
[34:13.560] 开始刚才不留我电话，开车来了没有了，
[34:18.420] 然后开出来
[34:20.250] 小型车马。
[34:22.790] 还有开的吗？
[34:24.970] 公交车。
[34:27.320] 谁知
[34:28.900] 我就不想找了。
[34:31.010] 上衣可以微信号。
[34:39.510] 说吃饭。
[34:41.960] 对。
[34:43.110] 对咱们
[34:44.250] 据悉二
[34:46.390] 爱情的状况，
[34:48.300] 然后
[34:49.610] 里边
[34:50.600] 不是找一个人给你们的商场读书，
[34:53.040] 下面现在走到现在，散户不可能一把手都在上，
[34:56.680] 不要被确认你是不是
[35:00.050] 也看不到。
[35:01.310] 好了，后面就自动拍照了，谢谢。
[35:13.360] 了。
[35:17.180] 这是第三方的。
[35:18.900] 第三方的其中一个人，
[35:22.790] 没有有一叫王浩主管，他是王小飞下面他叫事业就是第三趟的三三，但他们又来整治长的，
[35:30.710] 因为他就提供
[35:32.440] 他就提供了，他没让他戴口罩不让进。
[35:36.140] 它叫聚什么？
[35:43.040] 什么？
[35:44.950] 来看看。
