[00:00.790] 7月23号拜拜。
[11:50.250] 可以开窗。
[11:53.150] 固定的装饰拆不了。
[11:58.760] 这个是往上推是翘起来了下肢
[12:08.400] 怎么这么多车这块？
[12:12.420] 翘一点。
[12:13.790] 关一下。
[12:20.710] 等一下。
[12:23.200] 前排灯后排灯门灯关一般咱都开着门灯就亮了。
[12:28.900] 阅读灯了在这里。
[12:30.310] 在这儿对这样。
[12:33.090] 这两个小电话就是我刚才给您说的什名气和救援的一样，都是后台人工服务，就像咱们打电话一样，
[12:40.240] 特别紧急安排，
[12:41.920] 一边问她就好了，什么叫拖车销售员？
[12:44.900] 查天气什么茶，明天看今天申请，我只是举例子都可以，问他24小时随时给你服务。
[12:51.190] 三年免费。
[12:53.600] 你是用安卓I苹果用你手机看他推荐你下那个软件。
[12:59.350] 在哪？
[13:00.490] 你点一下。
[13:06.390] 叫MEICM12C1第一个
[13:14.770] 命，
[13:30.950] 数据
[13:32.950] 的
[13:34.290] 的。
[13:35.080] 的。
[13:35.870] 的
[13:38.930] 的
[13:40.950] 的。
[13:42.930] 这种突防喂听得进去吗？
[13:46.490] 要是出现P
[13:49.700] 不出P的话，就没找到P停车。
[13:54.150] 确定租车吗？确定
[13:56.910] 挂。
[14:01.160] 左边这边左右。
[14:09.650] 用的时候多少带点刹车，
[14:12.260] 踩着点刹车是吧？多少带那么一点一点点，
[14:15.620] 你说不带的话，
[14:17.100] 理论上它能刹停，但是撞了肯定不算扎实。
[14:22.520] 往往
[14:23.710] 哐
[14:38.120] 还有很大量
[14:40.650] 放
[14:43.200] 这样的话
[14:45.950] 一把
[14:51.920] 等等。
[14:58.210] 哒。
[15:02.720] 他自己啥你要不断杀的话，它就刷的特别紧。
[15:09.600] 你要是能用它自动格进来，还能用左手去
[15:14.510] 驶出确定，
[15:16.270] 挂到哪挂到这个也不确定。
[15:25.960] 也不太好。
[15:28.320] 具体
[15:30.080] 自个
[15:34.640] 侧方其实挺停车挺费劲。
[15:39.640] 刚才你没注意他
[15:43.170] 离强特别近，对，但是其实他这一把其实都已经能出去了，他没准还得再容易。
[15:55.220] 数据，
[16:01.340] 除了发硬盘接入
[16:04.240] 数据
[16:10.660] 的
[16:24.350] 分析，
[16:30.740] 给你。点
[16:36.350] 给
[16:37.890] 哪里？
[16:40.000] 数据
[16:42.610] 的
[16:46.730] 高科技
[16:48.550] 觉得远
[16:57.570] 近不远？
[17:07.580] 的
[17:13.130] 的
[17:15.970] 他让我留着什么？
[17:23.990] 句
[17:29.140] 葱哥后边空间怎么样打通？
[17:32.650] 看一下政府后来。
[17:36.760] 挺大是吗？
[17:44.720] 这车就是坐着肯定是舒服是。
[17:48.840] 开始
[17:51.660] 0
[17:52.940] 两把钥匙都一样，现在退休了五六千100。
[17:58.010] 对。
[17:58.880] 现在保养其实不贵，配件和维修现在一般保养一次多少钱？
[18:05.560] 一般都是A宝还是BODAB
[18:10.110] ABAB
[18:11.760] ABAB这么患者来说A是1000多百强，
[18:15.240] 闭眼市场创业6万公里，
[18:18.310] 贵点应该是。
[18:23.680] 首保是1万公里或者一年对他心脏
[18:29.390] 我以前买的
[18:31.560] 钱。
[18:39.730] 现在
[18:40.940] 比较
[18:42.530] 保养便宜，配件一样便宜。
[18:52.270] 要是你说
[18:54.640] 五六千块钱，
[18:57.560] 挣多少钱？
[19:00.470] 你看看，
[19:05.500] 用树叶
[19:08.820] 目前
[19:10.190] 数据
[19:13.230] 选。
[19:18.950] 能听之任之。
[19:30.090] 干啥？
[19:32.200] 远
[19:34.080] 的。
[19:37.320] 还有机械
[19:41.320] 数据都
[19:48.360] 远场
[19:53.040] 场。
[19:58.230] 句
[20:04.850] 场
[20:07.560] 了。
[20:23.020] 这么多车场，没有这么多车
[20:28.680] 句。
[20:32.300] 的
[20:40.490] 的
[20:42.080] 场。
[20:46.950] 使用今天
[20:54.430] 车上你看还有什么想了解的不？
[20:57.420] 没了，工程期你就这些，咱希望把给你激活。
[21:05.510] 数据线，
[21:06.860] 这也能查，但是看不到。
[21:26.500] 去
[21:32.950] 您的身份证在身上吗？
[21:35.030] 好转。
[21:36.570] 对。
[21:37.880] 远远
[21:40.090] 远
[21:47.350] 是卖的最好的。
[21:49.380] 反正
[21:51.400] 怎么说我们也是卖我们店一个月现在还卖300多台，等一会我除了保险
[21:58.790] 你把我的给我搞干净，
[22:02.190] 给他打电话，人家都是条件给他一个，
[22:06.070] 后面
[22:06.950] 晚上简单。
[22:08.730] 你知道。
[22:11.390] 我问一下你的身份证，
[22:21.370] 你再把它卖了，
[22:22.780] 办完以后我估计的话就12:30了，
[22:26.460] 得12:30了，等待13，因为现在保险还没出来，11:30到就出去。
[22:31.560] 现在
[22:32.840] 31.2。
[22:34.600] 就剩下
[22:35.970] 别太着急，既然来了10他看一下，
[22:39.460] 我尽快给您安排这个字念什么少。
[22:45.450] 好笑吗？你敢笑话也
[22:49.160] 手机号您说一下，182181062106，R9281281。
[22:55.490] 这很少见兴趣。
[22:57.880] 让我蒙一个话也蒙受
[23:00.350] 有多少电话？
[23:32.750] 可以。
[23:34.120] 618的层面，
[23:37.030] 经过跟京东一样对着积分都能多不少积分。
[23:42.590] 没有不是那车
[23:47.400] 生日买东西不得双倍积分，3倍4倍的。
[23:51.790] 的
[23:54.270] 没发现经过，
[24:01.440] 天猫我记得以前都有生日买东西都有双倍积分啥的。
[24:10.080] 对。
[24:11.440] 普天同庆。
[24:18.220] 双11就更不用说了。
[24:27.840] 是个悲催的日子了吗？过程一个成名的节日了。
[24:44.210] 一下。
[24:45.550] 要不然
[24:47.590] 等一会儿你到哪我后边等着我张军那个车前面那个车还掌握了。
[25:33.840] 12:30。
[25:36.370] 了
[25:54.360] 场、
[25:56.290] 场
[25:59.850] 句
[26:00.820] 技术
[26:07.610] 场。
[26:10.150] 人
[26:12.130] 要
[26:14.450] 坏。
[26:20.330] 职场
[26:27.640] 您做您还是需要
[26:33.230] 就这么几个人，二位做晋国用户联系谁的身上估计怎么样？
[26:40.130] 就说上网
[26:43.870] 我应该
[26:46.840] 号你们走出来就说以后谁开谁都是不一样，少半天。
[26:55.880] 说
[26:58.160] 二先给我录音要拍照结果
[27:09.270] 的。
[27:11.690] 这边还有
[27:14.740] 打开你的手机下载软件，
[27:18.930] 你对
[27:20.970] 讲完了这么又不戴口罩，
[27:24.400] 您可以去。
[27:26.760] 没有你
[27:29.970] OK，身份证我不用我说好，
[27:32.240] 英文搜索咱们眼儿爱护有些东西10这块板丢，
[27:39.440] 中国简体中文的时候，
[27:42.240] 其他的都不管，一会我让我说
[27:44.990] 我喜欢
[27:47.440] 进的货面庞
[27:49.940] 买辆车
[27:53.720] 向上。
[27:57.070] 要开店的道理。
[27:59.470] 如果你电话晚上都要去掉，给你发了个验证码，你看一下，
[28:05.330] 你不会接受对吧？就是调查
[28:08.420] 一下马上发一个数据。
[28:19.360] 你先把验证码告诉我。
[28:25.050] 短信密码验证码，
[28:28.960] 6位数字的6，
[28:31.380] 677486。
[28:34.190] OK你打刚才那个软件你看下完了吗？打开了。
[28:40.080] 车速不超120，
[28:42.130] 五召开首脑都没问题，
[28:44.280] 直接点登录就行了。
[28:47.960] 压缩下车
[28:49.310] 了1500公里，正常基本是北京油品北京加油95的地方，
[28:57.570] 有些地方面访现在马上5分钟左右得稍微高一点。
[29:03.110] 前天长行没问题，好好拜拜加油时间加一个问题。
[29:10.140] 那个弄就行，待会给你，谁知
[29:15.900] 身份证号咱们对小张2066002160着拿手机号都是吗？
[29:22.880] 加号86手机。
[29:24.710] 贾昊。
[29:26.330] 加号86部中国区那个代码吗？
[29:29.230] 密码大A小A1~6要跟次，
[29:33.160] 一个大写一小写，123456能登一下，稍等片刻。
[29:36.870] 说完了吗？点登录了吗？点。
[29:40.130] 我中间还不行，还没生。
[29:45.640] 明天平常的大小A1~6，
[29:51.260] 当然就行了，今天还不能用车跑跑才能用。
[29:56.430] 远。
[30:03.440] 数据
[30:07.880] 行。
[30:08.670] 你先不用管了，你送上不能放了，我用红色的简单的面包送一个小米，31号递送您一把雨伞，您看您对我店的整体销售流程体验满意程度低至5分的话，能听到应该是非常买的，三非常重买的。
[30:25.770] 感谢您的认可，说车辆工程张姐介绍的话肯定有流量，
[30:30.290] 待会新车外观的视频都看了吗？真心喜欢上他下食物或者服务承诺兑现的话
[30:38.090] 的，
[30:38.820] 今后愿意向亲朋好友讥笑我电脑，没关系，感谢男人了，已经推荐了。
[30:45.410] 本身做到购车的话是属于介绍吃饭还是时间正常的，所以您从事什么行业呢？
[30:54.090] 的公务员平时有什么兴趣爱好吗？感兴趣，谁知场不经常会组织一些活动，有时间可以过来参加一下，你像这些我今天这是
[31:07.210] 但是近期的话应该不会有长期的是哪个新装怎么也适应了，咱俩先商量121062931号码行吧？
[31:18.450] 效果或者厂家可能会给
[31:20.620] 打个回访电话，到时白天
[31:22.620] 一下我的回访打满分在温州在这签个字。
[31:27.680] 这方面
[31:30.150] 销售人才厂销售部隶属，但是
[31:34.160] 然后那个地方您代表沟通跟这种的话没有强制消费，没有很好销售，您的所有价格都按照您这合同编号，然后925203来执行的，年轻人没有问题的话，您这是在这停。
[31:49.090] 不是委托就别说了。
[31:53.870] 在这线上面提供吗？
[31:56.510] 今天开票给您，然后您后面写今天日期的时候，
[32:01.560] 我重点
[32:03.650] 待会给您可以关注一下我们这里的公众号后续有活动公众号的交流，同时您要改进在已经从微信在这个点多少。
[32:14.810] 对。
[32:22.950] 对这个没有问题，因为他有的时候活动，
[32:29.790] 然后我这边就没事了，就这一块。
[32:40.890] 121281电话电子厂家打电话回访打问的问题，
[32:51.200] 比我还要多。
[32:54.860] 我是这样，
[32:56.090] 当时在门边过程中，
[33:03.630] 这个宽度正好搁在我们
[33:11.350] 你是否能使花点公司点劲，对，因为太大了。
[33:18.640] 分包解释一下这台车102 3月份财产，
[33:26.310] 三年今天
[33:44.060] 网眼数据，
[33:52.010] 这本是三包原件，原件给您复印件，空白处签字，三年不限公里质保，三年之内质量问题都是退休的。
[34:03.450] 这样一会欢迎一下点完了，这张纸我给你解释一下，外公准备什么分类，我们汽车里面
[34:12.800] 计划
[34:15.680] 到20。
[34:20.100] 完了发票还有合格证都在，石羊告诉他给你书临牌办保险6万，一共两把钥匙，当时谁知
[34:27.050] 咱姐车辆有三包，红色工程互联没备胎是工具，他们都在财务交的钱。
[34:33.670] 找协调，今年不想在
[34:37.510] 的
[34:38.620] 后面
[34:43.600] 三包原件给你。
[34:46.440] 检查
[34:52.600] 的
[34:57.920] 目前来说我们检查完了，
[35:01.180] 所有必须的。
[35:05.700] 然后我要跟您介绍一下，这是我们销售经理他
[35:10.870] 给你解读一下这个不是使用细节，给你说一下这个软件，刚才那个软件能登上就行了，今天用不了，
[35:21.370] 能用的话车跑一跑就能用了。
[35:24.160] 行，你姐你说你了完事的话，
[35:28.630] 你就待会谁没给你发餐券是吧？
[35:32.090] 他这完事的话，
[35:33.630] 我喊对喊师娘给他发个铜圈，反正吃饭去了，现在还用过他吗？
[35:38.630] 没有，你今天可以感受一下工作餐社会需求，
[35:43.360] 他说不像以前似的资助了，因为你重新加他没办法
[35:47.180] 了是吧？还行，感谢您说。
[35:49.840] 数据。
[35:56.400] 数据。
[35:57.040] 送
[35:59.150] 数据
[36:00.510] 数据、
[36:02.380] 数据、
[36:09.610] 的，
[36:11.380] 遇到问题咱们再沟通。
[36:14.980] 场
[36:16.080] 数据
[36:18.980] 数据
[36:22.010] 数据、
[36:24.290] 数据
[36:27.380] 今天
[36:32.070] 352
[36:39.970] 场场
[36:46.240] 数据。
[37:33.830] 场。
[37:35.760] 数据
[37:37.720] 场、
[37:43.650] 句
[37:48.570] 数据
[37:49.530] 五
[37:50.560] 数据
[37:52.560] 数据
[37:54.330] 场。
[37:55.870] 这车今天看懂吗？
[37:58.590] 行，我先聊远场。
[38:14.610] 场
[38:17.570] 场
[38:19.740] 三
[38:20.580] 远
[38:22.520] 坏
[38:23.530] 坏。
[38:35.160] 刚才
[38:36.950] 交换。
[38:40.790] 但是
[38:42.100] 千
[38:42.980] 比较乱。
[38:45.850] 你知道。
[38:46.710] 称有房吗？完了有。
[38:48.440] 不去。
[38:49.070] 较上周。
[38:52.560] 就这样。
[38:54.530] 条件好还两圈。
[38:56.840] 的。
[38:57.650] 二。
[38:58.520] 了。
[38:59.820] 我在哪一个？
[39:01.530] 里头。
[39:02.950] 又上前面涨了又上前门这里没有。
[39:06.110] 7573048。
[39:11.730] C 300
[39:14.580] 573048。
[39:18.670] 五。
[39:28.930] 573048。
[39:31.800] 五
[39:37.010] 号。
[39:39.460] 1821062
[39:44.270] 了。
[39:47.030] 中
[39:48.170] 超行为。
