[00:02.210] 内容来了，
[06:31.150] 电动后备箱。
[06:34.800] 这车你先说。
[06:36.970] 对电动的。
[06:43.400] 可以肯定。
[06:44.670] 你真是假是不是这样的对吧？可以。
[06:48.270] 不是这样。
[06:49.540] 您说一下咱们这个车的一个给您介绍一下，咱们这车是1.5T+48伏电机的前6后6，
[06:55.930] 1.5T+48伏电机清混的，
[06:58.480] 前6后6的雷达在主动制动安全辅助系统，当您跟前车距离过近的时候，她会主动提醒您提供标准，对，前期都是标配的，然后前排座椅是带座椅加热，然后腰部支撑，
[07:10.120] 咱们那边有电子水牌，电磁屏那边有车的一些具体的配置参数，然后那边又贴个样本和西面墙，到时都可以看一下，
[07:18.340] 配置上突破
[07:20.880] 大概有1.5T其他的第300的
[07:24.780] 48万多。
[07:26.350] 算了。
[07:27.360] 对办齐了。
[07:28.460] 寒气大概45万多。
[07:30.070] 优惠一吨多少？就40指导价48万多，优惠完41万多，办齐大概45万多。
[07:37.810] 不做重点
[07:42.050] 这3个还是4个还是48？
[07:44.680] 都是4缸的。
[07:47.890] 1.5T
[07:49.220] 1.5T+48伏电机俩都应该提倡。
[07:53.120] 五开心系统算不少。
[07:55.200] 不是吗？
[08:01.850] 清楚的。
[08:03.910] C260现在也是1.5P的
[08:07.920] 他1.5T+48伏电机的，它的功它的马力是184，跟您看到您看到宝马三系的跟的马力比玛丽还要高一些。
[08:18.000] 高吗？
[08:19.450] 我看。
[08:21.000] 您看的是哪款？45。
[08:23.620] 325，那么就跟着一百四十五千一百四十五千瓦，
[08:27.240] 到玛丽大概就190 190。
[08:30.440] 差不多。
[08:37.290] 主要是您开吗？
[08:38.910] 对。
[08:39.900] 你就让他试驾感受一下，可以开始感受一下，他现在还不会开车，还没有加本是吧？
[09:27.320] 您这边还有什么需要了解的吗？
[09:30.680] 附件一吗？
[09:32.830] 行的，C2还是平方米？
[09:36.950] 200200点5不要把也是一点点
[09:40.800] 一样，
[09:44.250] 把那小拿了。
[09:45.770] 你要想试驾的话，咱们这边都可以预约的，然后价格什么的也都不需要再给您算一下了是吧？我不用。
[09:52.020] 行您慢走，感谢您光临奥迪在哪边？奥迪您沿这条路一直走，然后走到头就是了。
[09:58.640] 我溜达过去就行了，对应通过就可以，然后这边明天会给您打电话打个回访电话，到明天上午还是下午电话都行。
[10:36.420] 完了什么玩意儿了这样。
[10:38.400] 你好。
[10:41.430] 他早走我站着都站不起来。
[11:02.440] 一共接了7分钟，这种的算是有效的吗？
[11:05.440] 不错。
[11:15.640] 投标
[11:17.930] 打我电话。
[11:30.360] 好多。
[11:31.440] 不买了。
[11:33.470] 好段时间。
[11:38.360] 好打点
[11:39.220] 交流。
