[00:02.800] 稍等一下姐，我先把这桌号出来。
[12:23.110] 根本。
[12:25.670] 的
[12:27.540] 的。
[12:29.500] 看到这里谁知。
[12:33.270] 高兴，
[12:36.990] 然后我们的一样的，
[12:40.040] 行300多409，
[12:43.760] 两年一换。
[12:48.000] 需要换的东西比较多，您开的太少了。
[12:51.560] 可能没什么不好用的，但是他不会不好用，绝对不会不好用。
[12:56.610] 我想想就为什么厂家要求两年一换，首先跟你解释烧油它跟外界有接触，油的自身性质有吸水性，
[13:07.350] 吸水性就是吸收空气中的水分，
[13:09.990] 然后杀球这球它的叶因为他也是由叶类的东西，所以说跟水混合油水是不容的。
[13:17.400] 油水共融以后会导致什么？它就会都进到这个机构里面。
[13:21.340] 那么在刹车这个不是不会脏，都是其次，
[13:25.600] 在刹车系统过程中，因为摩擦会产生热，
[13:28.420] 热的话如果遇到刹车，这个馆里边有水，那水就会变成水蒸气，
[13:33.870] 那么气体和液体都是可以被压缩的，而你刹车踏板的行程就那么大，
[13:38.530] 如果这里边水多了，你先踩刹车踏板，先挤压了一部分气，但是气的作用和功作业是不一样的，
[13:46.770] 就会导致你的刹车效果会特别差，严重可能导致刹车失灵，但是当然
[13:53.370] 不会发生。
[13:55.100] 有时候开车听到刹车的时候会跟不懂一样，好像车模谁那个就是盘片摩擦的声音更高的。
[14:03.630] 跟他有关系吗？
[14:05.020] 也不见得跟这有关系，但是这个不算过。
[14:08.720] 17年常常我爸妈
[14:11.990] 我觉得现在上次臂膀都应该对，应该在19年臂膀的时候都该换那些东西，空调滤芯和刹车油都该。
[14:20.670] 但是对当时咱们确实没挂
[14:24.740] 轮胎的问题，
[14:27.100] 明天的卡号，所以就是轮胎问题的问题。
[14:30.760] 您拍照了是吗？
[14:32.410] 毕业了，刚才我没跳，咱一块看的时候我没照下来，咱一块看看。
[14:38.830] 你确定什么994,000。
[14:40.930] 对，就1000一条1099块钱吗？
[14:44.730] 顶了。
[14:46.840] 那活动就是因为检工费不讲公费，你还得掏4000块钱4000，
[14:52.160] 换一个轮换，一个轮大概就是连拆带装
[14:57.250] 再做一个动平衡是400来块钱，
[15:00.690] 那就4个人就1600。
[15:02.270] 4轮定位咱们厂家标准是5个工时，650一工时就3000多，你自己算。
[15:08.830] 我回家商量我也不懂，因为轮胎不是咱实际上看着说完他现在就老化了，
[15:17.790] 看着不太好了，所以跟您说448
[15:21.150] 公里7万它正常是两限条件，一个是四五年，一个是6万公里，看具体怎么使用公里。
[15:28.510] 86~8公里看对4~5年的时间，
[15:33.860] 基本上就跟保养一样，就是一年1万公里，哪个先到按点来。
[15:39.940] 咱们
[15:43.240] 反正车只要不卖，早晚开着走你会了，不过您看看在哪换多少，你看
[15:48.630] NASA18加一个409 1000多块钱的差价了。
[15:58.950] 完了
[16:00.700] 交费。
[16:01.550] 的。
[16:02.180] 取车再交取车叫什么吗？
[16:05.370] 不用提前。
[16:07.020] 行，我折腾来打您可以，但是轮胎那是你得提前跟我说，因为我可能得订货，到时候待订货。
[16:15.510] 反正今礼拜三。
[16:17.540] 对，你最好是今天明天的好吗？
[16:20.600] 明天我回去，晚上回去了跟我说一下，对说一下做给你。
[16:26.690] 对您这就是。
[16:28.510] 行吗？我给你留个单子就行了，要做的话您告诉我让我好给你订货，您要说不做了我就
[16:37.470] 到时候通知交车。
[16:40.210] 没什么问题。
[16:41.030] 谁知
[16:42.640] 好节省不多，还约了明天，
[16:45.180] 明天我就不用来了，你明天不用来了，你也不用取消了，你直接不来就行了。
[16:49.850] 很多人排队今天约了100多个，101个，
[16:55.750] 还行没来那么多
[17:01.490] 了。
[17:05.900] 这提车单完事拿这找我，到时候拿着我取车就行。
[17:10.910] 不需要了。
[17:12.700] 然后保险公司把对您去把那两卷给保险公司，您说我今天来做玛雅来了，然后他们都知道，因为现在开源系统升级了，必须要求他们保险部门
[17:25.240] 自己对我自己是没有权限去录。
[17:28.750] 我大概周五周六上班。
[17:32.500] 点点走。
[17:37.840] 三
[17:44.560] 号，
[17:46.900] 我们老板什么要带头了，它的功能新的作风，
[17:55.050] 数据
[18:01.400] 场
[18:06.980] 场
[18:09.320] 五
[18:12.650] 的。
[18:15.670] 的
[18:23.380] 4. 
[18:24.960] 的。
[18:27.540] 15号。
[18:30.540] 怎么这么安静？
[18:34.000] 不懂。
[18:40.150] 场
[18:41.380] 数据
[18:45.190] 数据
[18:46.270] 数据
[18:50.700] 坏。
[19:00.570] 你好
[19:01.680] 的。
[19:07.970] 三。
[19:08.950] 您说的
[19:15.510] 给您找一下，您说一下。
