[00:00.520] 2020年7月22号，
[17:03.850] 到高速如果是需要换气，咱们就往上推，
[17:08.080] 它会漏一个缝出来。
[17:10.050] 第二项再往后是车辆的大屏昌平开，
[17:13.900] 找到合适的一个位置，按一下调整空间大小，否则也是开到最大的。
[17:19.730] 反之就是往前关两下。
[17:23.380] 这下边是不是还有一个金属件？
[17:25.730] 这个也是您后排控制遮阳帘的，稍等咱父辈
[17:29.610] 在街上停了。
[17:31.180] 等会我付一下。
[17:34.320] 您赞。
[17:35.540] 它是可以控制遮阳帘，
[17:39.370] 后排控制张良的，她不能动天窗，只能控制张连队，
[17:44.850] 这个是咱们电子防炫目后视镜，正常手动调整到一个后碰到视角就可以了，晚上远光是不刺眼的。
[17:53.150] 除此之外，咱们的座椅前排都是有座椅的腰部支撑的位置，
[17:58.470] 这上面只有一个遮阳帘是吧？
[18:01.430] 没有那个车顶吗？
[18:03.460] 没有车顶吗？车顶这就粘连就是一个车顶了知道吧？咱们是盖板咱那边没有开，以前是呆板的，现在没盖板就要盖板，
[18:12.980] 窗户窗户关了，开了以后大陆连冠不上来，必须是掀开帘才能开窗，肯定的好的。
[18:21.080] 腰部支撑前后上下调整位置好伤都会减少一定的疲劳感。
[18:25.550] 对，能搞出来能改要求会顶出来吗？感觉很。
[18:30.150] 其他也就没什么，对导航有导航吗？没有导航这个车没有导航对您配置没有蛋糕裙配采用只能用手机是吧？
[18:39.230] 对手机导航灯映射过来，您需要安卓的系统需要下软件，能映射对我苹果手机还不行，苹果自带，等您是通过吗？对您苹果可以有带数据线吗？没在设计院树叶茶发源表扬数据线也不行，还差一个转接头，我告诉您用一下这特简单，苹果的手机是AC测评，
[18:59.770] 苹果的手机是自带功能设置通用，
[19:03.960] 用这一个功能叫K车载打到这一步，插上转接口tt C拿一个数据线对接，这时候屏幕会自动提示，手动自动连接，
[19:13.680] 选择一个自动点确认，
[19:15.860] 再点一个接受您手机的屏幕，他会投到大屏幕上来，但是投过来的东西只有什么？
[19:23.070] 电话、短信、音乐播放器以及导航视频类的功能都不可用，就是您比如说投完以后，喂您用高德打开高德，这会显示多头钥匙，
[19:33.960] 家里有钥匙吗？还有钥匙吗？
[19:36.140] 你自己的钥匙自己要生了。
[19:39.350] 当时
[19:40.280] 你稍微拿回来我就不上。
[19:42.980] 第下我看地下有没有，
[19:46.250] 人家这快递着急走，
[19:49.380] 你好吗？你看去拿快递去。
[19:53.100] 这没门不管怎么拿快递，你真逗，我让人先送别的，你先让他当妈妈一样就行了。
[20:00.040] 不好意思，老朋友叫找不到家里的钥匙，您先送别的，待会再给我们打电话行吗？
[20:07.400] 不好意思。
[20:08.370] 行行好的，拜拜，找到了吗？
[20:11.670] 他谁让找下行？
[20:14.270] 灭车一下就可以启动刹车，没有是吗？不用启动，要惨到P档以后对
[20:22.590] 这个车他是有档位保护的，比如说不管您是前进档还是倒退的，车的车速只要低于11公里，如果您不操作，望主驾开门了，看一下岗位，
[20:33.530] 它会切换到驻车手刹，也会往上防止好多这种误操作溜车了，对产生事故，这是有一个岗位保护的车运输。
[20:43.120] 然后灭完车，比如说您等人，
[20:46.110] 我不下车，
[20:47.510] 正常听收音机没有问题，开门就断电了。
[20:51.640] 这样一状态比较合理人性化一些，年轻，然后咱们下车说说外边要是有一些使用注意事项，然后我给您试试，后备箱有点东西做个轻点。
[21:04.250] 待会二位记我一电话，后期用车哪有问题打给我就可以了。
[21:20.570] 首先锁车
[21:22.230] 这个车4个门和后备箱，在同时所好的前提下上面按键一下，
[21:27.950] 有声音盏灯亮三下代表。
[21:30.770] 物权所，好，这是开锁。
[21:32.980] 这是第二把手。
[21:35.160] 佐指出，
[21:36.480] 开锁。
[21:37.550] 如果您的车门有需索状态，
[21:40.380] 没锁，
[21:41.690] 这种情况下锁车
[21:43.310] 他也左上了，但是没有声音，转灯也没有亮，代表有需索状态，一定记住油箱盖车里没有开，关键
[21:51.180] 开锁的前提下摁一下就打开了，
[21:54.270] 直接拧开95号油，如果您是锁车的状态，
[21:58.240] 这是连带。
[21:59.550] 移动锁死的动不了的。
[22:01.680] 后备箱最下边跟舰长是独立开启，
[22:06.910] 随车的话，首先三脚架
[22:10.120] 在下面原车是自带的，是没有备胎的。
[22:12.890] 这车。
[22:14.770] 擦了眼睛就跑了，
[22:16.160] 是吧？
[22:17.380] 不一定，然后您看看是不是防爆胎。
[22:19.850] 等。
[22:20.720] 没有避开我刚才说我看街坊说这个车子是不是不是他们刘晓洁。
[22:27.360] 很容易的是吧？但是公司不是所有车都是应该行游览不是黄包车。
[22:33.900] 馒头卖第三排，现在都是。
[22:36.350] 都是奔驰的车辆里
[22:38.850] 大的方的。
[22:40.000] G系列大越野车，还有叫S是有备胎的，设计车都没有，不管是轿车还是小于自由，那路上有问题的话，道路救援是全国免费的。
[22:48.560] 三年坐车坐B大的整个要求道路救援了。
[22:52.540] 自己没办法，对没有备胎随车的东西我跟您说一下。
[22:57.530] 保养，您带着份保险信息。
[23:00.160] 这个很重要，是车辆的三包，涉及车辆质保别丢，这台车569280生产7月7号的
[23:08.280] 开票，今天7月22号质保期都是三年不计里程数，
[23:13.930] 从开票今天开始算，质保期内这车不管您开多少公里，
[23:18.160] 这些大件只要出现质量问题全都是管的。
[23:21.550] 每一个易损件都有后边对应的天数公里数条件限制，除了对应条件，一审驾不再质保，这个您别丢。
[23:29.100] 每台车一样
[23:31.600] 卖您之前都会有对应的授权检查证书，做过整车试点达到交付标准，这也是原件您带走。
[23:38.800] 荧光救生衣，类似家庭有房工地，其实晚上有事故车辆起到警示作用。
[23:43.640] 保养这个是急救包里边是封单纱布剪刀在意外临时应急用的。
[23:48.580] 这里是您车辆的说明书，道路救援指南，还有me妇联的介绍，
[23:54.970] 后排的。
[23:55.930] 以都是可以放倒的。
[23:59.360] 用的话。
[24:00.420] 这个案件用课的一个作业，您知道左侧两个。
[24:04.890] 处连用的话拉起来。
[24:06.510] 就可以了。
[24:09.770] 这是电子赠送的东西，一会送车间才装。
[24:14.950] 您。
[24:15.920] 一交手礼包，对里边的话就是有效果。
[24:20.240] 勇气、钥匙链、燃油添加剂还有矫健。
[24:23.340] 一下就关。
[24:24.730] 了，本身是垫尾就可以了。
[24:27.610] 咱们进屋把后边手机。
[24:29.190] 办完一会车我给您送装饰。
[24:30.900] 好勒。
[24:31.780] 来。
[24:33.800] 装饰票房没事这么。
[24:35.440] 对，只能应承车展见闻，车胎漏气。
[24:39.580] 只能做不影响外观的。
[24:43.180] 来用一下工位对不对？
[24:46.050] 谁知
[24:48.680] 丢了没有，然后
[24:56.850] 那个地方
[24:59.400] 微信下去没下去，他走了，
[25:02.640] 跟着他走了，微信就下去了。
[25:08.010] 我用谁的身份证注册试用女士的话，用您的事好吧，再你的吗？
[25:15.320] 你等一下有的钥匙的吗？
[25:18.910] 你等一下他去送别的快递了，他比较着急麻烦。
[25:23.570] 找到钥匙。
[25:25.000] 拿到了，现在一点了。
[25:27.380] 2:30回去了。
[25:31.040] 好点。
[25:33.170] 这女朋友跟您电话，173358156869。
[25:39.030] 你觉得是吧？
[25:41.140] 我是军人，因为你这个号
[25:50.060] 好了，
[25:53.350] 给您手机发了一个短信，里边有一个英文数字激活码收到您报案。
[26:03.120] 652330
[26:05.950] 一
[26:09.720] 二
[26:10.940] 4
[26:18.360] 打开你的微信，
[26:20.020] 然后扫一扫，
[26:21.870] 我把那个软件安装一下，
[26:25.500] 把我这个二维码
[26:28.910] 是苹果是吗？对。
[26:31.400] 苹果不用找我没走赶紧扫这个来着，双手握着应该爱护你接下一个。
[26:37.770] 我微信扫微信，so你安卓就扫苹果不用。
[26:49.820] 第一个直接下载
[26:56.610] 电池了是吧？
[26:58.030] 赚钱的都是互联，还有
[27:01.720] 下面
[27:31.190] 你把我装完了打我电话，
[27:36.760] 查。
[27:38.500] 1:00 1:30。
[27:39.760] 这个时候你要想一定下午的
[27:44.170] 我可以想。
[27:45.880] 你认为你不好都是可以的，不是不用差不多不是不用下载APP里面有一块就算了，
[27:53.270] 在到里面终于有一个过程一样，
[28:00.920] 这个要不能看你的状况信息你们看过一样。
[28:06.490] 我都
[28:08.560] 没下载吗？
[28:11.810] 微信
[28:13.670] 没有谁知，
[28:17.110] 如果你真好看往下看我唯一一次更不用待会儿扮演行不及。
[28:26.720] 回头那个车信息刚刚开始开的时候，咱不要太快，车速不要超120分，我要登录一下注册一下，
[28:34.540] 登录刚开始造不超过120行是吧？
[28:38.810] 的。
[28:49.720] 新车需要这车吗？
[28:51.620] 这车是什么意思？以前那车启动稍微等，冬天需要明天需要是吧？为什么冬天
[28:59.690] 由叶都比较凝固，需要润滑一下，对车辆有好处，夏天基本上现在比较情绪可以走，对明白。
[29:06.530] 因为您冬天天凉水温或者说机油都比较粘稠，
[29:11.740] 这样的话就需要咱们
[29:14.120] 预热一下就可以了。
[29:18.090] 登录手机号第一行加号86您的电话，中国区的缩写加号86加您电话。
[29:25.220] 是账号，
[29:26.450] 密码是初始的，都是大A小A123456，
[29:30.730] 登录
[29:35.790] 注册登录。
[29:39.360] 登录。
[30:01.850] 出了南门。
[30:04.670] 好。
[30:08.010] 您那个车咱们在北京开的过程中，
[30:11.960] 刚刚说的出资不超122都不超3000，油的话咱们加95号一共多少大A小A12 34,000哥不给你超过三，
[30:21.630] 多少公里之内1500个1500公里，出了1500正常用就可以，1234567吗？
[30:27.470] 123456，大A小A1456。
[30:31.400] 离你用户多少？
[30:33.640] 用的是你的手机号用的手机。
[30:35.880] 这个不对吗？
[30:37.900] OK用你的手机号加号，86您电话加号不对。
[30:43.940] 那家好是大家好选数字里的小加号，
[30:48.050] 加号还在工作，对。
[30:51.570] 加号86+3米的数据号是吧？对你不用不能用S码，对注册只能是一个人。
[30:57.810] 三号你哪个电话里面？
[31:00.780] 数字里的三两套的加号。
[31:04.150] 13633
[31:06.160] 8分钟到。
[31:08.040] 早说86
[31:11.920] 13480的。
[31:13.530] 17338151869。
[31:16.430] 咱就跟我一起说一声，他别着急。
[31:21.360] 走
[31:27.350] 场
[31:28.630] 到
[31:30.550] 1331156866869。
[31:39.730] 密码。
[31:42.580] 大A小A12346面访，
[31:46.680] 面访
[31:48.200] 569280
[31:50.880] 二
[32:02.950] 没有，我表姐回去。
[32:05.270] 咱们这个车
[32:07.900] 有送两次保养吗？
[32:10.560] 对吧？奔驰的车辆保养是一年或1万公里做一次先到算哪个？
[32:20.900] 比如说您一年就开了8000公里，您按照时间来，但如果说拍得多，
[32:26.430] 开过1万公里不到一年你要过来保养，
[32:31.300] 因为送您的保养肯定来我们这儿做，这个厅走到头右转，就是咱们的
[32:36.680] 来之前提前一天打个预约就可以一年是吧？对，我在这明年7月份之前7月20号之前，
[32:44.680] 比如说用着您对您公里数不够1万的话，就按照时间来，
[32:52.730] 其实你在灯管
[32:54.280] 我给你的灯了一些孩子，
[32:56.150] 咱们一起还需要说什么吗？什么都不用，做，这个差给您拍视频认证照片，女士需要您摘掉帽子跟口罩，
[33:04.710] 身份证您这样拿着拍一个照片就可以了。
[33:08.230] 了。
[33:11.480] 好，不要动了。
[33:13.440] 介绍。
[33:14.630] 谁知。
[33:16.970] 可以了。
[33:18.120] 待会大概几分钟，
[33:20.570] 手机会收到对应的实名认证，通过短信他会提着这台车，
[33:24.930] 52956569280完成实名认证，您手机的客户端数据明天才能看到。
[33:33.580] 手机
[33:35.910] 您的手机号有什么情况再联系吗？
[33:39.030] 您记我电话。
[33:41.470] 1391131098
[33:46.460] 6961。
[33:48.880] 郭晋。
[33:52.830] 对。
[33:54.720] 山西简称晋的。
[34:00.240] 客服马上会下达面访，然后您帮我签几个字就可以。
[34:04.580] 因为东边那个是吧？
[34:09.100] 3月3。
[34:10.410] 这情况还必须跟你完了，这个是刚才车里面三包的复印件，这儿您签一个名字代表您取走。
[34:19.170] 年
[34:19.780] 空白签就行。
[34:22.880] 这个是一个交车单这签一个。
[34:26.640] 谁知
[34:29.440] 车辆的一个交接明细单，包括咱们车辆外观内饰整洁，
[34:35.530] 发票合格证保险都在小贩上，您不用管。
[34:40.320] 你先登，然后要是200也是了，功能讲完了电话留给您，后期用车有问题打给我。
[34:48.030] 三包车内保手册，车内互联是您的手机客户端，
[34:51.860] 养护礼包送给您两次保养，
[34:54.040] 没有备胎、随车工具、三脚架、急救包、原车带、灭火器车间一会给您装好。
[34:59.760] 注意事项告知您了，救援想着车顶M1单件就可以，
[35:04.600] 保养一年1万公里，售后厅走到头右转，
[35:08.630] 买方签一个名字，
[35:11.160] 今天对
[35:13.440] 这句话
[35:15.190] 本人已充分了解以上所有条款，确认无误，您抄在横线后面签名就可以了。
[35:20.930] 手续我一会都会转给小范飞本人，谢女士。
[35:32.440] 这个是咱们客服做一个面，
[35:36.000] 所有条款确认无误就行了。
[35:38.440] 这个散一会儿我就给您搁车上了。
[35:42.400] 比较大。
[35:43.790] 还有
[35:45.390] 有灭火器，那个时候车间给您装，您这有一个装饰单，他那上面有项目。
[35:51.870] 他不是有一个销售服务，这个里边按照这个东西给您装了，律师您好，我这边给您做个面
[35:58.650] 出来。
[35:59.520] 你好。
[36:02.270] 行吧。
[36:04.330] 您稍等，我先把给您送装饰，您这面房晚上回来。
[36:09.000] 我们大概还有多长时间，像因为下午还有别的事儿。
[36:13.230] 装这个东西快。
[36:16.590] 什么时候装完？对，您行车静怡。
[36:20.860] 我们交钱了，新车了是吗？对。
[36:24.600] 行车记录仪我给您看一下，因为我没看你装单，您是单装的是吗？对。
[36:30.270] 刚刚用，现在一是这么装，还装着现在贴膜是装您随意，您要说孝庄现在有装大概20多分钟，你装好吧？
[36:38.810] 因为用就行，这已经装上了，你你看完去看看这有了不用了我了。
[36:45.730] 行女士我先给您做面谈，然后您先看一下，咱们主要是针对此次购车有一个满意度的评价，
[36:52.080] 您看一下这几个问题，根据您此次购车满意度进行一个勾选就行，签个您的名字。
[36:58.240] 还有错的吗？没有出行没有吗？我有朋友是最后调查抽奖抽了5000块钱，
[37:05.290] 是吗？他那应该是以前的一个活动，然后您此次购车是置换还是置换是吧？你给我选一下就行，然后这块签个您的名字。
[37:13.640] 行业爱好可以选一下，因为咱们经常会组织一些活动，
