[00:00.510] 好
[02:42.030] 那这边的话，咱买车怎么也到了5:00八百的话要买到，
[02:48.070] 因为特别冬天有个座椅夹在里面方便一些，而且
[02:51.100] 那个全景天窗看起来好好看看看东西这样
[02:55.130] 还可能找出来的上面全部都有了。
[02:58.630] 噢
[03:00.660] 谢谢
[03:02.110] 对不对？我不懂。
[03:03.840] 这个老板买好。
[03:06.960] 好的。
[03:08.840] 这个雅光村。
[03:10.320] 你弄一反射模型，
[03:12.540] 把中国的弄，因为因为现在之前都是这样的，
[03:18.370] 自己去接，
[03:20.280] 非常的困难。
[03:22.220] 嗯
[03:23.420] 好像说话
[03:25.340] 你给我们个准价。
[03:27.340] 260就像这种白色的多少钱，您是有置换吗？
[03:32.040] 不用吃饭嗯这样的。吧
[03:34.430] 天天鼠标坐的也差不多，就是这样的。
[03:36.600] 因为置换的话就算补贴要那句话，就是说那个
[03:40.570] 拿着边
[03:42.760] 新瑶的比较美。
[03:44.240] 您是摇下的号？
[03:46.720] 哇嗯不容易。吧这
[03:49.120] 太少了，你像我们店一个月卖350台车，
[03:53.390] 能有四五个有的的就不错了，那是张晓刚上个月员工
[03:57.940] 嗯真摇不上了。
[03:59.600] 我们从事自己的就是从去年上一外地牌。
[04:02.830] 那老公能办进医院吗？
[04:04.740] 结果他
[04:06.170] 现在
[04:06.960] 关爱着他，
[04:08.120] 一个月都要开7次会。
[04:09.620] 嗯所以呢您就造成了我看看呗
[04:13.000] 干什么事的。
[04:14.590] 宣传应该不算，颜色多少有4个。嘛
[04:17.500] 因为
[04:18.990] 这个
[04:19.800] 就是32。呗就
[04:21.190] 就
[04:21.960] 奔着32。
[04:23.750] 都送什么呀里边
[04:25.680] 方式什么的。
[04:26.920] 装不装也花钱买了不够。
[04:30.520] 你像那装饰那个东西，他车送到羊毛出在羊身上，我才知道。
[04:34.860] 嗯
[04:35.800] 然后咱这也是所有的课，吧
[04:37.640] 反正现在咱们路面上看的最多的就是飞机母亲的这个白，
[04:41.070] 是买的最多的。
[04:42.340] 然后特别
[04:44.450] 但是很少很少很少，
[04:46.400] 这不是这回事。
[04:48.080] 流行的这个小题目数据就阳光一照有点像去银行不照我黑这个角色，我觉得欣赏显得
[04:55.700] 这种小车是什么？呃白色，就是有这个视觉扩张感，
[05:00.110] 然后咱们这个看到这个颜色是这个
[05:03.100] 在哪个岗位，
[05:04.250] 嗯因为宝蓝做的比较亮，
[05:06.500] 那边摆了一排异子，那小子就那个好人身上，
[05:09.820] 咱这意下来多少钱？
[05:11.210] 啊
[05:11.500]  D的话差不多，那那个是260260便宜1.260落地差不多一半。
[05:17.290] 就这样，但是实际上你说的是什么？他说了明白了，对，基本上跟那个他说了。
[05:25.260] 我觉得还是那个大平台。
[05:27.140] 意大利比他要长
[05:30.780] 这458这5米1差20多公分左右。
[05:36.350] 20分钟。嗯
[05:38.510] 就这个就。
[05:39.070] 这个
[05:39.860] 他们开始开始要孩子刚开始练手的话，他没必要买太长了。
[05:44.900] 要说咱自己家用能开好几年那您就完事了。
[05:49.940] 好像内饰这个都是黑的。
[05:51.730] 都是可以的。
[05:52.960] 还是说谁没去过，
[05:55.230] 然后再恢复两套，然后我们看看就知道了。
[05:57.810] 行好。
[05:58.980] 大哥有您现在
[06:00.650] 行那您这样吧。
[06:02.710] 我跟你说什么的，我给你打电话。
[06:04.750] 我们大家都知道，
[06:06.030] 所以看我他喜欢不喜欢我，喜欢我。
[06:09.180] 没有对吧？
[06:10.830] 这套房您自己主张培训培训这个也可以。
[06:13.870] 分期的话几年？呢
[06:15.950] 1年2年3年4年都有，反正咱是做2年都3年的都有。
[06:19.840] 就是这个先首付多少？
[06:22.520] 月供多少，首付30%，反正分钱不收手续费，为什么这几年做分配的越来越多，就是先把自己选择
[06:29.450] 不能同意
[06:30.420] 利息。呢
[06:31.550] 对基本上三点百万点。
[06:33.950] 这假如说。
[06:34.820] 啊
[06:35.100] 我我那个两年了。
[06:36.880] 我现在交多少钱？
[06:38.470] 你一个月还多少钱，一个月还多少钱，呢基本上一个月是
[06:43.640] 10万块钱。
[06:44.570] 这个不可能。
[06:46.080] 这个里面是。
[06:48.420] 比那个存款要多出多少钱呢？
[06:51.300] 这两年也可能这两年我估计您也都做了七八十的利润，
[06:56.210] 没有特别好的朋友。
[06:57.830] 有没有必要
[06:59.180] 给我7块钱？
[07:00.600] 你拿现款的吗？
[07:01.960] 能不能说唉您分期全款我们都卖，而且都不影响成交价格。嗯
[07:06.680] 现在可能更多的是因为大家一个特点，就是人民币碰到能量简单才愿意分析，啊现在看明显
[07:13.790] 全款我们也省事，
[07:15.760] 嗯
[07:18.330] 等于说
[07:19.590] 我车这不是29万多吗？
[07:22.090] 等于说你都不一样。
[07:24.040] 六百二十万八百三十四万六千八是指导价。那个
[07:28.520] 我在北京画展。
[07:30.240] 说南边那个叫什么什么局，那叫什么来着？
[07:33.460] 这外边网上优惠10万的都有。
[07:37.880] 我们就算实体店都是这样，
[07:39.920] 我自己朋友从网上给我发截图，问我一车，我们这优惠15,000的车，
[07:43.820] 那小轿跑
[07:44.960] 他在网上写的73,000，呢我说你去实体店转，吧你看有的家伙
[07:49.600] 都那样人，人家要不怎么把人家给交店里去看看去，
[07:55.670] 等那一要那电脑怕到时候没出，其实不是没车都没那。
[08:00.390] 家长很好。
[08:02.570] 好，我们看看差不多，我们商量他那怎么定好了，谢谢啊没事没事。
[08:09.730] 看一下他们这个客户啊他是明天拿来还是
[08:13.880] 怎么样把地址发给我吧发给你了，你把这个发给我的。
[08:18.160] 都能进吗？
[08:19.650] 看看吧他来得及来得及让他记，来不及明星记什么？
[08:23.690] 反正是反正是反正最晚明天
[08:31.550] 啊我们没有然后。
[08:32.930] 呢
[08:33.370] 好，那我跟他说一下ok。
[08:35.210] 嗯
[08:52.870] 时代呢
[08:53.720] 我的。
[08:53.930] 那个
[08:54.720] 杨洋、湖南都在今天能。
[08:59.910] 你发给我。
[09:00.440] 吧
[09:00.760] 嗯行，告诉你。
[10:09.820] 没有异议。
[10:27.880] 嗯
[10:29.060] 好好好
[10:30.200] 啊
[10:31.680] 40分钟。
[10:32.540] 你看你看为什么？
[10:36.200] 还有什么？
[10:37.360] 嗯
[10:40.490] 那女的今天要把车开走。
[10:53.280] 有无限号的是吗？
[10:55.490] 啊
[12:25.950] 去玩去哪玩去？
[12:27.570] 没说呀没说。呀
[12:30.300] 他们都不聊了。嘛
[12:31.980] 就想着到时候烧烤去。
[12:33.850] 那你有点气的哈哈的。
