[00:00.000] 谁知车的话应该是黑色。
[02:54.150] 对在这个基础之上，咱们店内是有新优惠的。
[03:00.480] 我电话这边看不清了，
[03:03.390] 也需要用到电工程。
[03:07.120] 就30万，也有咱们家有台拍卖车，那台车的话优惠是10万起，
[03:13.500] 那个车的话是咱们家从厂家要来的资源，它是一台车，我看
[03:19.490] 红色的，然后公里数的话是1000出点头，他是作为展车，然后有过行驶里程，但是车况非常的好，
[03:27.590] 你要说简陋的话确实还挺合适的，
[03:30.680] 优惠10万现金，他跟新车没什么区别，就99新的。
[03:35.080] 对。
[03:36.010] 再见。
[03:38.050] 你说。
[03:39.360] 没有外观大小。
[03:40.720] 对，就展车，但是它的车况非常的好，因为我们这边也是以拍卖的形式从厂家那边拍来的，然后以特价车福利赠送给我们这边的客户，
[03:50.550] 以优惠的价格，然后给我们这边准新车的客户，主要是看您是买新车也好，买也好的差不多，你要是不拆2万块钱，我就买个
[04:00.510] 新车也行，主要是现在就一台，你要说价格这个价格您能接受到店谈，我们这边还没。
[04:13.920] 好，您考虑一下，因为咱们也是西区最大的总店吗，价格来北京来说的话是非常占优势的。
[04:20.040] 支持我不能着车最少的。
[04:22.230] 因为前有一个天津的客户，北京牌儿。
[04:24.680] 确实是半个小时之内，他就赶了半个小时展厅的品牌。
[04:29.280] 他那边的话就没有提到车。
[04:31.630] 主要是看如果您觉得价格合适的话，您可以随时到展厅来，您先看这车是不是您。
[04:36.950] 这块。
[04:37.680] 包括车况您。
[04:39.150] 停车这块我们要接受。
[04:41.320] 如果能接受价格多少看，主要是看您的购车需求有没有明确下来，是说如果现在下现金
[04:48.530] 价格优惠的话，给的力度这么大，我有没有这些现在买的话肯定是简陋，因为马上月底了我们这边冲业绩，所以价格比较好谈，你要说等到下个月月初，
[04:58.480] 或者说等八九月份买车的高峰期一起来的时候，价格相对来说肯定没有，现在这个时候合适了。
[05:05.150] 1340，
[05:09.910] 3203
[05:11.360] 三人的对象。
[05:12.770] 没有太大的差别，其实如果要懂车点的客户的话，都知道新的小改款的话跟他没有太大的区别，为什么刚才跟您说捡漏，因为我们这个车其实前两天
[05:22.040] 周末之前还有八九台车周末全都卖完了。
[05:27.240] 因为他很多客户他观察到新旧款的配置差异并没有差太多去，所以他都选择来买老款车，它不算老款车，只能说是在售款，
[05:36.870] 而且新车上市的话它可能九十月份上新，然后等到年底的时候，可能新车上市两个月之内是不会有现金优惠的先生，
[05:43.800] 基本上就算保养，然后再等到2月以后，等到年底或者明年年初再买车才可能会有优惠，但是您要说新车给您8万新款坚决不可能。
[05:53.630] 所以说你要说买一级同性价比来讲的话，新旧款交替简陋，现在最合适。
[06:00.280] 行行，我给您发一个我的电话，到时候您过来就联系我好吧？对A来的时候您带来对，因为他也是下次。
[06:08.490] 对，因为他也是次顶配，相对来说所有的配置
[06:12.300] 咱们可以想象到的能用到的基本上他都有了。
[06:15.440] 而且黑色这个车的话他也保值，尤其是。
[06:17.760] 一级
[06:18.810] 相对保持一点，
[06:20.880] 也。
[06:22.720] 银琢磨琢磨，然后看看是平常工作日。
[06:25.290] 日。
[06:25.760] 对，我比较建议您如果要是工作日有空尽量工作日来，因为咱们周末的时候客户多，
[06:31.340] 然后咱们订单出的也多，工作日的话来谈价格好谈一点。
[06:36.870] 因为人少，所以说相对来说对。
[06:38.790] 你没问题有关系。
[06:41.060] 不能支撑的是吧？
[06:43.760] 对。您帮助的行，没问题。
[06:46.900] 疑难送点，我一会加您微信，我叫侯阳，然后您一会我先给您发个定位，等您确定好行程可以跟家人朋友一起来，因为咱们这边像电影院模式都有，家里人都可以带过来好吧？
[06:56.640] 准备什么时候
[06:57.370] 购买这边？
[06:58.670] 行，您先琢磨琢磨加您微信。
[07:01.400] 好勒拜拜。
[07:02.590] 是吧？您看我现车吗？
[07:04.260] 听话对吧？
