[00:00.000] 对了。
[05:35.990] 都不涉及到社保的。
[05:38.740] 因为他出场之前已经没货了，
[05:40.960] 一直在
[05:41.810] 后续虽然说只有产品，
[05:44.390] 他一般都是
[05:45.930] 的。
[05:46.740] 就在这期间的话，他有一个交流会议，
[05:50.200] 1500公里之内往转速保持在3000块以下，然后卖出保持在120迈，应该是
[05:58.080] 一时间差一段时间它会出现
[06:00.560] 1500块以后你就给他的
[06:03.550] 你想百公里100个都是变得高一点儿的，对，别超120的麦素。
[06:13.550] 只有三天半今天就可以了。
[06:17.200] 要是保修这块的话是要多少？
[06:20.730] 快到时评书有一个翻译。
[06:23.600] 是吧？
[06:24.620] 您知道吧？保修这块。
[06:27.360] 有事您跟您说了三
[06:29.790] 三年是吧？
[06:31.350] 咱车原有在的厂家，
[06:34.850] 我跟您说一下，您从其信托6月份启动，
[06:38.800] 当时就给了
[06:40.620] 从那天起往后延，三年三年内您车买了，反正出现一些质量的问题，
[06:46.190] 比如说后期咱开起来发现走动一响或者挂档不顺利，某个开关按钮不好使，开回来都是由我们奔驰去免费去修的，就给您赔付的。
[06:56.980] 是这么一个意思。
[06:59.090] 但因为今天着重给您说一下，厂家会给到人，车主当时可能
[07:03.980] 您走得比较早，没人交接到这块。
[07:06.700] 有一个5折的补贴，这个补贴是干嘛使的？
[07:10.460] 给咱车主成了3年升级到5年去世了，
[07:13.600] 类似于延长
[07:15.430] 研究两年的质保，这个肯定是在这里付费部分厂家就是相当于北京的部分，
[07:21.930] 像您这款车交1450，它原价是33600，办下来是16,800，
[07:28.710] 咱自费是三年前，
[07:30.560] 然后我的工作内容就是三年后的一个主要区别给您说清楚说明白了，包括。
[07:35.870] 我们驾驶车。
[07:36.840] 的一些事项，
[07:37.910] 您结合您自个的一个使用周期，看看有没有必要这个银行就行了，我告诉你访谈吗？
[07:43.330] 在杨桥那边再加1万。
[07:45.280] 三方对基本上像咱这种成长比较贵的交易450，
[07:50.130] 然后S的迈巴赫，大G这些
[07:53.030] 都会上的，因为他前期的亚太汇了，过去随机变量维修个小开关，
[07:58.580] 小的油坊衬垫这个钱就是我们就回来了。
[08:01.640] 我告诉您保什么？
[08:03.940] 它是类似于那种全车都是您保了，首先要发动机，
[08:08.160] 变速箱这两大核心部件，您经常开车也知道这车的一个经常帐不用说了了，不用吧，你这保三年就行了，3100家什么东西，但开不开这个东西，刚刚说就是我们现在
[08:20.650] 回来都是不知道，基本上都是在打车，第4年第5年
[08:24.000] 三年里边都属于新车厂家给您保着正常的磨损，这种概率其实是很低的。
[08:30.750] 其实5年内你像这种大的机械性比较说实在的，他的数据都是很稳定的，比如看我们开实验还有什么问题，主要就是里边的这种
[08:40.070] 机电配件，机电电脑模块，
[08:42.880] 然后还有
[08:44.470] 富媒体发声动机，以及里边像您开车知道曲后油封这种威风，
[08:50.410] 换的会比较多一些，交易40没有事先关注这个群体游戏，
[08:55.090] 因为它的位置相对来说比较特殊，基本上在您车开了5年五六年，他的高老客气都是在灵车，
[09:02.630] 三年至年期间肯定会增发的对象。
[09:06.300] 而一旦双方造成
[09:08.300] 首先就是大连大的发动机和变速箱的搭载乐，
[09:11.720] 他就在坎这边请一个连接作用力空间和变速箱回去了。
[09:16.610] 高温高压的这种工作环境中，后续就出现那种变薄，有时候那块还没
[09:22.430] 他就是说长期的使用他病人并把握分化，立功条件不好了，
[09:27.180] 出现后续可能发动机和变速箱可以小型石油和漏油，您这车你要说开个1~3年，
[09:33.320] 我觉得这个就是用什么，因为三年里面厂家给您保了，发生这种概率的
[09:38.280] 几率很低，但是你要说咱这车奔着五六年去开。
[09:42.460] 就这个钱。
[09:43.250] 我不建议您少，甭管任何一个车主，我都这么跟他说。
[09:46.440] 您可以看一下。
[09:48.120] 这两天发现。
[09:49.200] 我们这条DD5，好每个月我们会交300快车，
[09:53.660] 90%的覆盖率，这厂家也是希望我们车主去发这个东西了，为什么？
[09:58.390] 降低咱们车的一个流程比提高客户的一个满意度，你说后续反正也没上研究生，
[10:04.700] 咱这出现问题了，随着因为一两万好几万就上去了。
[10:08.720] 不造成投诉的时候划算，就这会也。
[10:11.340] 不用了没有。
[10:13.630] 你可以问一下咱们。
[10:15.150] 咱没卖你就。
[10:15.960] 就考虑它乖，这个不是坏过，我说的是一个正常磨损，你甭管你买的是。
[10:21.180] 奔驰也好，在高端一下保时捷。
[10:23.220] 安玛拉力它都会有这种正常模型的谁知
[10:28.390] 了。
[10:29.400] 对，变性了。
[10:31.600] 有钱任性。
[10:33.240] 先看一下咱们这不用看我。
[10:36.850] 知道您作为
[10:38.400] 加强多多的对您的车是打算。
[10:45.020] 开的时间短，还是说还有两三年三四年就换了。
[10:48.680] 你看迈巴赫S。
[10:52.150] 1307. 
[10:53.450] 有谁知。
[10:55.520] 而且您如果。
[10:57.010] 公司的车公司以后开
[10:59.890] 不工夫的话也可以给你开专票，回去也可以抵个税。
[11:03.450] 没有，那也开不了，11年超过了1万公里。
[11:08.240] 这个东西跟您开没什么多大关系，反正我的。
[11:11.080] 您交接这个事儿，后续您这车现在。
[11:14.090] 比如说推荐小型的问题，正常那么多死老花，
[11:16.890] 您拿钱收获是我们。
[11:18.870] 厂家都变更。
[11:20.100] 对于我们4S店来说没什么问题，反正。
[11:23.230] 都给钱不到5000。
[11:24.550] 是这么对都给我们揭产值，我们并不在于去维修。
[11:28.720] 说实在的。
[11:33.510] 然后注意事项这块我给你提几个点，您回去咱都注意些，因为确实
[11:38.250] 这两年里边人为占比挺高的，因为三年里面它的质保部不包含认为有操作的
[11:45.070] 人物，就我人家一般涉及到无操作，导致咱们这个车出现
[11:48.880] 问题需要维修，需要在受理费的，你跟法庭
[11:54.270] 没什么。
[11:55.670] 然后主要就肯定说两大点就行了。
[12:00.000] 发动机这块说量大比较贵一些，他过去
[12:03.950] 这块发动机注意油品平台就行了，代替加工有的。
[12:07.990] 然后95号
[12:10.070] 到10月份不要受到。
[12:12.760] 一天晚上133。
[12:14.370] 比较明确，
[12:15.440] 好几十万的谁知。
[12:17.950] 另外第二点就是你偶尔不是外地的，我就劝一下。
[12:22.270] 这条是。
[12:23.590] 经常去外地吗？
[12:24.810] 行，因为咱北京家了，因为不。
[12:27.190] 行，您知道对吧？
[12:28.880] 但是北京周边抓到的玉米纯气，特别是河北。
[12:32.300] 研究。
[12:32.930] 这个地方它俩最大区别就已经多了一个百分。
[12:35.280] 酒店这两个油品家跟人家，但是一定切记不要大比例的去不一样。
[12:40.440] 因为粮油品牌的燃点。
[12:42.400] 然后大学成本不一样，底层多了有1910%。
[12:45.950] 要大比分出口。
[12:48.340] 过去
[12:49.850] 我会造成它发生顶高和拉缸也就全部吐出来，但
[12:55.220] 这块的话要切记一点，从北京走，下面下游走了对吧？到外地以后跑一跑11 10，
[13:01.910] 等车里的北京游，甚至。
[13:03.570] 1/41/3的时候在浙江来旅程刘田，然后邮编有多高，油价多高，有九大的一家酒吧有97397，因为同样将海上游鳞片也注意到了一程，就是这
[13:15.750] 这不够，还要送完加乙醇能加油吗？可以加羧，就是这两样，不要把谁知
[13:22.710] 咱们Java加钢板，你加一层都不往家一村。
[13:26.410] 去往下去，对，你哪怕里边剩个三个点，还是那种没什么问题，只要一半一半就可能就。
[13:32.920] 要一放一放去。
[13:34.620] 比如我一半无限一半就
[13:36.830] 这个意思。
[13:38.130] 这不对这不好。
[13:40.100] 一他里边有10%的9，
[13:42.150] 有可能大家了一半的话，他只是酒精比例会还是比较高，但是在窝里的温度
[13:48.930] 家里的温度比较高，然后不生气，
[13:51.520] 就导致我们当时的一个饼干发光。
[13:54.340] 像您这款车顶的高，自费怎么。
[13:57.000] 都得奔着沙拉
[13:58.470] 顶两个
[14:00.080] 师傅就不用修了，没有修复性直接给您放大发生了。
[14:04.010] 这块您应该都有了。
[14:06.780] 第二个就是增长加急物流，对中石油中石化在北京家务清楚，我会牵着由于加95的就行了，对乙醇。
[14:15.050] 没有继续加9897的。
[14:17.120] 对，然后
[14:20.160] 宜春外旅游就八九千，
[14:22.890] 因为他以纯的油它百万头的酒精他这个劲儿不够，有同样在哪一方由你会觉得没钱了，
[14:30.790] 他这个地儿不够，然后使得一半快，也就是说比5000能够消耗要快一些。
[14:37.520] 这个意思你家高一些，它就稍微慢一些，孩子还这么做。
[14:42.840] 增长变速箱这块的话你就对一点，因为你先生对咱们这个车的各方面性能比女士了解一些，然后开汽车的话可能也比较急一些，着急一些。
[14:52.970] 你就记住一个
[14:54.650] 操作的时候，
[14:55.700] 停车入库货泊位的时候，
[14:58.190] 而。
[14:59.010] 和地板的
[15:01.080] 切换对吧？
[15:02.750] 这个理解吧？
[15:04.350] 不要太过于着急了。
[15:07.470] 等等，然车停稳了踩实了，
[15:10.620] 这个轮他禁止了以后，您再去切换海岛或第岛，因为好多猪肚后续回来减轻的话都是。
[15:20.940] 儿童房。
[15:22.030] 长期不注意，导致咱们这里边的繁体打了一个阀体打的话，
[15:27.630] 我就看这两天去了，还有他因为。
[15:29.870] 里边属于咱们。
[15:31.220] 变变速箱的主见。
[15:33.170] 所以这块后续用的时候，
[15:36.320] 开车不要那么着急，因为咱耽误只要一秒钟对吧？
[15:40.420] 但咱好几十万的说，所以这块我觉得能提醒一下，另外我说这个是属于。
[15:45.880] 累计可能会发生这个问题。
[15:48.000] 所以说您不用太过于考虑，
[15:50.640] 保持一个良好的驾驶习惯，有效的增加咱们车的寿命，对吧？再给您说一点就是
[15:58.110] 增压器，因为我刚听您说了，咱可能就会去到外地。
[16:01.110] 的情况。
[16:02.200] 无论参加汽车，基本上发动机在边上，小蜗牛壳打比较大小，要不然基本上可以看见它的作用，其实在城市道路上它可以启动，在您去外地高速公路上行驶1500~2000 2000万左右的启动
[16:14.960] 作用，就是网站发动机里推刺儿，
[16:17.150] 提高出了一个转速和车速，就这么点作用。
[16:20.360] 但是最近一点过去去了外地，也就是说那个时候休息的这个时候
[16:26.340] 不要立即熄火，
[16:27.800] 因为涡轮增压器它属于是在公路的温度非常高的600~800度，你只需要原地怠速不要熄火，原地怠速
[16:35.900] 一分钟左右。
[16:37.010] 等它的温度降低下来以后，在那里面说，因为一旦涉及到配件等。
[16:42.390] 俺能买到。
[16:43.270] 进口的国资产还在国内的时候，他都没有维修技术，
[16:46.860] 这个也是出现大的选择，任何问题只能换不能修，
[16:51.390] 而且一旦换无人佳绩，同样跟球通一样，肯定会动一下的发动机，
[16:57.450] 他的东西都被攻上去。
[17:00.210] 像奔驰它的一个公司是650清查单回来做保养，比如说一个公司再加上的上周几率差不多。
[17:07.410] 少1000块钱左右，你。
[17:10.030] 催一下是后续更换一个由风雨或者小的，他说20这么高，
[17:14.060] 那都是5~7个公司去，也就是说。
[17:16.880] 光公职都S型图标，
[17:19.550] 再加上睡觉一种同行的一些
[17:22.040] 随随便便我们想办上去，
[17:24.720] 是这么个意思。
[17:25.970] 在过去您开车的话，首先人为这块一定得注意。
[17:29.190] 因为这个东西他一听肯定早了，
[17:31.850] 但是5年的质保来说的话就比较好或者百。
[17:35.000] 之90车主都给上。
[17:36.620] 全车都保障了，甭管您开的还是其他的问题，
[17:40.620] 对于我们来说不追究责任。
[17:42.380] 怎么坏我们都没修，全国奔驰4S店，
[17:45.530] 竭诚为您服务，去哪都可以这样。
[17:47.960] 是什么意思？
[17:49.150] 您也主动的就考虑一下，有没有必要去盐城，最好朋友还跟家人商量一下。
[17:54.830] 因为后续家里人不要去开车，
[17:58.640] 不用打扰女士有没有可能？
[18:01.450] 您家里有女士后期的他说的如果有的话转账这块我也不认识的一下。
[18:08.270] 转向这块的话，因为咱们现在都电子版了，不是不涉及到整个自己。
[18:12.880] 跟我们整个旅游。
[18:14.160] 像以前咱们说他的说都属于机械的配件，如果晚上出问题了，玩就是吸收转让纠正，下载可能旅游他就好。
[18:23.290] 但是现在说为什么会这种
[18:25.360] 换任何问题坏了任何一个地方，
[18:28.310] 他可能给您修了直接
[18:31.220] 但是能保证它对象的
[18:34.040] 更好的一个沉重的对吧？
[18:36.120] 这块Gucci女士的话你就不用提醒一点。
[18:39.060] 不要尝试砝码，
[18:40.640] 打死
[18:41.440] 有人打着了，
[18:42.750] 遇到那种客户都会看的，人就是回去犯，
[18:46.530] 看到后面陪伴。
[18:50.180] 因为咱们男士来说的话，这块没什么问题，王女士开始
[18:54.640] 注意就是遇到抢救评语大祠堂满这种情况，主要就是这4点。
[19:01.410] 一个就是油品，一个是老板增长一个办法操作，不要太过于着急了。
[19:06.830] 另外就是涡轮增压器这个选项明确注意一些，另外您如果觉得这个东西没有必要去上的话，反正我跟您交接到了。
[19:15.530] 过去厂家给你打电话，
[19:17.240] 你跟他说我知道这个事儿。
[19:18.700] 对，然后罚我的钱，对。
[19:21.980] 您要觉得没必要，我就这边给您也放弃了，您这个项目就是34个月之内回来都可以去。
[19:28.770] 比如说后续您开的在两年9月之内，您觉得这车我还是想上一个
[19:35.400] 延长是可以的。
[19:37.690] 但首先一点是给您验车，
[19:40.090] 验车来说比较麻烦，首先需要咱们出去计费1000的营销费，看看那个车有没有大的磨损，
[19:46.990] 如果有的话就会把这个钱没拿到里边，加到咱们3分6里边。
[19:52.600] 如果没有的话，我们首先就需要等几天，其次的话就是需要注册一个
[19:58.700] 34,000的明天。
[20:01.100] 就成假加一个健康的原因。
[20:03.510] 您在。
[20:04.510] 您知道就行。
[20:05.920] 了。
[20:08.880] 您稍微等一会叫这边。
[20:10.740] 过来给您把全车的一个性能给你讲一下。
[20:13.710] 然后还有一个面谈就差不多了。
[21:01.800] 工作这个密码是。
[21:04.800] 第
[21:06.400] BL
[21:08.670] ACG2323。
[21:13.740] 还真没有开过I小写吗？
[21:22.510] 我师傅给改了，
[21:34.600] 就知道领导的车。
[21:39.970] 帅哥。
[21:41.480] 我这边跟客户交接完了。
[21:45.420] 能用车的时间不太固定。
[21:48.240] 然后你在哪呢？
[21:49.570] 晚上2.7个人。
[21:56.960] 对，从空调里边钓鱼岛别那边
[22:01.080] 也
[22:03.310] 然后一会下班
[22:06.320] 开始。
[22:08.170] 你晚上
[22:09.560] 反应就很好，地方反过来
[22:17.810] 大哥是我们交通员讲课你
[22:20.580] 车灯去了，哥哥庄
[22:23.670] 光技术
[22:26.170] 很快
[22:32.930] 山庄记录业务。
[22:34.560] 先给装上，到时候明天验完车回来，你就一贴膜要快。
[22:38.720] 贴完弄开了，不是贴完膜再装修。
[22:41.380] 他进入一根铁门不影响，他不影响天猫
[22:45.520] 技术
[22:46.520] 行车记录仪拍剐蹭什么的那些
[22:51.920] etc是跟贴膜有影响的。
[22:54.220] 你贴完膜以后，
[22:55.800] 隔一段时间再装，etc，
[22:58.200] 要不他容易把膜给占下来。
[23:03.600] 运费没问题。
[23:05.240] 具备一个礼拜就没问题，我先给您开通智能互联，因为您车不是装饰装饰吗？
[23:11.720] 这边给您看完之后，到时咱给您讲车去。
[23:15.630] 待会我应该都打过胎，什么叫什么互联智能互联它是什么意思？
[23:21.750] 手机给您下载一个APP，从这APP里边能看到您说盛多油了，跑多少公里了，
[23:27.140] 远程的开解锁车门，远程启动什么这些东西，拿手机能着车，
[23:32.190] 把那个功能给您激活。
[23:36.040] 身份证您给我用一下要讨论，没有发票身份证在卡上。
[23:41.010] 身份证在那都跟验车手续里了。
[23:44.470] 你怎么开的大哥？
[23:48.240] 我想他们应该拿走了，就草地，但没人你
[23:51.250] nothing can be了灭掉传照片，你不讲车大哥，
[23:57.370] 然后你讲你还不明天讲，
[24:00.540] 明天上课不来，没有演出，对明天演出回来讲多好。
[24:05.930] 你不是没事吗？就讲完得了，明天反正你们干什么，明天就开一个开户，连不就完了，这下子。
[24:12.640] 是不是也行。
[24:15.290] 我现在照片就是。
[24:17.120] 不是他得有张手，确实没事，明天弄也行，您把您先给我用一下身份证，我先把信息都给您录着，明天做一个
[24:24.450] 做一个实名制认证就行
[24:26.120] 了。
[24:29.580] 身份证这身份证跟居住卡都搁验车手续里了。
[24:33.830] 已经明天不是验车吗？师傅已经拿回家了，明天直接还要到检测场了。
[24:38.930] 不错，我们以为都想在身份证拿回去不能走。
[24:42.470] 出现这领导真用身份证，明天就拿回来了。
[24:46.090] 说一下您手机号。
[24:47.940] 136136712912900590059。
[24:55.220] 身份证跟居住卡都在这里。
[25:00.170] 车您在北京开还是？
[25:04.020] 两地跑两路口？
[25:08.360] 之前我开过奔驰的车没开过是吧？
[25:19.310] 我给您发了一个
[25:20.960] 明天的验车时间地点我发
[26:02.840] 压了车回来住停车模式还能成就贴个膜，
[26:06.810] 那又不是贴上来了。
[26:08.480] 两两小时。
[26:13.070] 然后再连身份证您这一块都拿走。
[26:17.150] 手机号多少？
[26:18.770] 4+号。
[26:20.230] 182037。
[26:26.430] 牌照还是原先牌照？
[26:29.140] 保留原号是吧？
[26:31.300] 是消防和这边。
[26:33.630] 我帮看没说好。
[26:37.120] 我们会选什么？
[26:38.500] 他当时好像是我反正没说王选，
[26:43.130] 反正就是两三种方式，一种是王选自己选，一种是保留原号1632035 10选1。
[26:49.420] 如果您不说，我们默认给您保留原。
[26:51.920] 是否这样？
[27:04.400] 南哥喝酒差不多。
[27:15.210] 男朋友小拓本。
[27:18.450] 您到时候您自己演讲喝茶还是在我们这儿？
[27:21.490] 看看女儿拿的多少？
[27:23.650] 我给你问问。
[27:25.330] 手机给您打。
[28:00.730] 就好吗？
[28:15.720] 没有。
[28:16.780] 我当月卖一些bl1，然后想装个脚踏板。
[28:20.100] 咱们现在为做便宜点的话大概多少钱？
[28:23.030] 三
[28:24.190] 标1450。
[28:30.480] 8折，原价多少手机给您发了一个激活码，您看您收到了。
[28:35.310] 好，您告诉我一下。
[28:39.090] 679239。
[28:44.390] 8000。
[28:45.830] 打一个8折，
[28:48.210] 6400。
[28:49.560] 店里。
[28:51.070] 然后买这个也就
[28:53.020] 3000块钱。
[28:54.490] 您老人家头了，
[28:56.680] 看跟哪庄河市哪了，反正店里边是8折，
[28:59.860] 原价8000。
[29:07.770] 等于是从哪儿能搁这说让弄这个。
[29:10.960] 他用打印的，我给您发的做着打印，您现在都弄完了以后您
[29:17.300] 安住了。
[29:19.670] 银行
[29:21.940] 搞绿。
[29:23.240] 出来以后截屏您发给我，我给您打出来，我现在就给你打，怎么您观众给人家号码等一下。
[29:29.270] 行不行？
[29:30.200] 修行。
[29:33.190] 对，这是一个。
[29:34.410] 还有一个。
[29:48.080] 输手机号验证码过去。
[30:12.760] 要复印件。
[30:13.640] 没有发生复印件了。
[30:21.440] 决定
[30:24.950] 结冰，
[30:26.380] 就这样
[31:09.640] 那东西都没用。
[31:11.340] 没有甭管。
[31:27.190] 你把你手机开锁，我给您下软件。
[32:10.340] 肯定。
[32:12.080] 我没看着。
[32:15.100] 没看S
[32:19.590] 你说记IOS是吗？
[32:22.490] 这S肯定比着急要大，但是那是7座的。
[32:27.060] 就rs7座的。
[32:28.630] 7分已经。
[32:31.410] 你要家用的话7对其实用不上。
[32:42.430] 对，然后您带着明天得带着这玻璃。
[32:46.330] 怎么这么保打掉这个得行。
[32:49.310] 这保单我也看不懂，没这些核心价格策略，因为你搁那通常不会写，明天他不要装我的直接看你有直接让你进。
[32:57.070] 没这个不让你进，我这么没什么，我想没看着那你自己
[33:02.540] 车损险。
[33:04.230] 车损险
[33:05.900] 三者保到100万，
[33:07.720] 然后盗抢，
[33:09.690] 无法找到第三方，就是车停路边被刮了背疼了，
[33:13.520] 然后加上那些不计免赔，
[33:16.130] 这不都上了吗？不计免赔我倒不是说200万多少钱就这样，没有说100万。
[33:22.460] 后来不是没说他那么高，人家说不算挺明确的，说高一高二的
[33:26.560] 是您开始制作成200万，后来我刚才那大哥不在这，我说
[33:32.750] 没必要上这么高，他那上100万得了，
[33:35.530] 就剩了100万。
[33:39.130] 这都能弄，这个事现在不用贴，因为他不是贴的吗？那不用了，就这种电子版。
[33:44.640] 不用再往玻璃上贴了，然后这个是交强险，网上查一下，车上人员司乘险就350，
[33:51.670] 这个是保如果受伤了，人受伤了保30万医药费，
[33:56.520] 在这30万乘客保3万，司机保30，
[34:04.600] 要是我给完了装出来就完了，一上给的过程卖出确实是这都什么？
[34:10.870] 和这玩意。
[34:12.370] 我们
[34:15.340] 是收了您就车得给您份合同，就证明您这个时间段这个日期，这就车就跟您没关系了，他再出现任何问题，比如违章了什么，
[34:25.230] 跟你没关系也没用，都不玩。
[34:29.160] 受这俩字他收的，这是发票装饰发票，这是汽车的。
[34:34.200] 还有双的客户。
[34:35.590] 对咱们做了
[34:37.750] 1万块装饰，
[34:39.440] 包括那些
[34:40.680] 这上面有记录仪，磨合、微笑面、脚垫、
[34:44.310] 护板、
[34:47.570] 发票分
[34:48.960] 文件有没有？
[34:50.490] 发票没事不用，我用先生的发票用一下，我撤下都是。
[34:57.660] 这一份购车合同这一份4张这都得有，以后用麦粉没有吧，车都买完了，那边也没什么大用。
[35:06.400] 除非是别人说
[35:08.530] 钱不对我多收您钱了，或者钱跟没对上去，除非是这种
[35:20.370] 倩倩那天找了欠条，
[35:22.940] 坐在车里，就车也搬到那欠条天天都忘了，
[35:28.330] 人家欠1万块钱都忘
[35:31.000] 了，我就这里翻的那天这人实际上了
[35:35.040] 那么长时间了，10年20年就在这刚买的。
[35:41.180] 这存银行1万块钱也有不少利息了，再其他的。
[35:44.610] 那天咱们就车释放出来，对，从那车里传出来。
[35:53.080] 1万块，
[35:59.410] 10年前1万块钱到现在的15,000花，
[36:02.770] 差不多20号。
[36:17.180] 我就看看车好不好？
[36:18.520] 了。
[36:45.310] 来开一下。
[36:53.040] 香港
[36:54.810] 谁知
[37:08.280] 奔驰种类太多。
[37:10.600] 对，它的型号比较多。
[37:25.790] 在屋里边正好出肉出门口都没事，他信号屏蔽。
[37:29.280] 钢筋结构，
[37:33.100] 然后打电话也不听，什么时候都没接。
[37:57.490] 没行吗？
[37:58.930] 不行，都上外边去上吗？
[38:00.770] 从
[38:02.790] 没无线网
[38:04.280] 无线网不公开。
[38:07.820] 这无线网是不要密码的，无线网
[38:11.360] 谁都能。
[38:13.000] 那上面也有出门口就行了。
[38:15.900] 咱上门口正好到时直接给你们讲车，
[38:18.620] 走上面走看过来在阜阳
[38:23.110] 合同这边
[43:17.910] 一个住院了。
[43:22.370] 一块
[43:30.310] 今天试驾了一下。
[43:32.120] 多少？
[43:33.030] 整个Y
[44:46.990] 主任谁上班？
[44:49.070] 不知道。
[44:50.190] 刘亮他们。
[44:51.780] 刘潇。
[45:02.510] 三。
[45:17.240] 那歌。
[45:18.790] 早晨杨哥说要进去，这叫回来了吗？
[45:27.710] 早晨就跟群里发的，铜哥说的，
[45:33.830] 一个IOS，车架号，我给你看一下。
[45:38.410] 三我的。
[45:40.920] 行行，给你发过去。
[45:44.170] 拜拜。
[45:56.280] 5点又怎么？
[46:54.710] 三。
