[00:00.170] 2020年7月29号张良客户林久强登录您在那吧。
[11:46.230] 这就是雷达离近了，它自动蹦出来了，颜色黄橙红您离跃进小何越深，颜色红格亮，
[11:54.390] 这35公分就这么远了，再走就蹭上了，到登上推到底。
[12:01.630] 倒影出现，喝白色的是后杠，
[12:04.910] 红线是临界点，
[12:06.700] 这俩大宽限
[12:08.340] 是轮胎压着两块叶走动，方向盘它也会告诉你怎么拐弯又变，对，跟后来大家看一下，一个是左边的红格，
[12:19.000] 一个是这条红线，什么时候您就不能走了，后边现在灰色的是不是强？对，什么时候就不能走了，红线上墙。
[12:29.100] 行这种情况杠里强纠正，
[12:33.860] 再到钢梁你怎么着已经造成了墙面，现在已经红线对他是在杠后面。
[12:41.530] 抗清看不着，白色是gun梗。
[12:45.640] 这是您的后盖变动，这是话干了，这是您后期有的牙，您再走不就撞上了，对就
[12:53.790] 这一辆
[12:55.070] 两边4周离现在都提示着一圈，哪一件都会有，只要红灯亮记录不通车了，
[13:02.020] 停好车，
[13:03.390] 您需要做的是什么？归档。
[13:06.070] 恩一下P档。
[13:09.230] 只精品车就完事了。
[13:11.240] 手刹
[13:12.440] 自动上他们不说是搁着pizza先拉手刹吗？再T我
[13:17.520] 这都是电子了，您就直接灭车手刹就自动上话头，下次起挂碰，不会。
[13:23.680] 这不他手刹就对自动了。
[13:26.640] 解除手刹也是话挡的自动检查这些功能，当然在小强手上
[13:32.590] 强势你就按一下按键，你比如说
[13:35.830] 你现在解除了，
[13:37.300] 你想强制摁一下就上了，他意思说什么？就说咱们正开始一停车，
[13:44.090] 就归的P打一开门他自己上锁了，平常不太你要说你要走了，就官人在车里愿意杀，比如说再拖上床下就拉下就一下，对往下摁。
[13:55.950] 世上提起来是近这招跟反咱们拉手刹就电子手刹以往台往下解读，
[14:02.910] 右边这大屏幕，这是开关，按一下打开AA概念
[14:09.130] 操作这三个干净，还有中控板，小房子对应的是右侧的主界面，
[14:17.490] 这儿左右滑动，点击确定这都一样，
[14:21.360] 这也是可以出庭。
[14:23.940] 导航、收音机、媒体电话、中文对应的英文、导航、收音机、媒体电话上下对应，
[14:30.380] 导航原车不带。
[14:32.860] 声音一
[14:34.220] 变成
[14:36.160] 调频都是自动存好的，音量上大下小，这也一样。
[14:41.980] 上下滑动，快速去切换。
[14:45.720] 当前有了不用收到，不用您自己去搜索，这都一样的，对静音按一下就行，把您的手机就因怎么着金属键往下，
[14:56.810] 还有一个静音标识，我没看你就行了，医院
[15:03.170] 上下传就解除了。
[15:05.980] 我放心。
[15:07.800] 怎么没感觉？
[15:09.500] 时尚网站不是这样，对咯噔一下，
[15:16.480] 手机开蓝牙连接你我的手机还有吗？来就闹了，是不是倒霉了？
[15:22.160] 有。
[15:22.390] 来我接了没有上什么光。
[15:26.380] 这头稍等一会儿就说他我就
[15:29.360] 原来跟那啥
[15:33.690] 您看为是20车，首先选择电话，
[15:38.350] 他有一个选项，系统化的搜索，这不是谁联合，是我给您取消重新找您的，
[15:44.650] 他就开始找您了，从系统开始搜索，他开始找当前能找到大家，这是您的
[15:49.520] 选中点确认，
[15:51.130] 它会提示手机做一个配对。
[15:53.490] 点配对，对。
[15:55.900] 稍厚点一个同意。
[15:59.050] 您看
[16:00.140] 电池电量移动信号，这是您的右边这些放大性，
[16:04.290] 这就是您的通讯录就都导入了。
[16:07.620] 这电影播的同时，
[16:10.200] 屏幕手机都显示聪明，都会有自己开车这根箭
[16:14.400] 上可以接听下去，挂断直接那就行了，我这一闹手机就行了，就不用到
[16:20.630] 下次上车者开蓝牙他自己就练了，下车自动断开这信息，蓝牙还是在这个是吧？刚才
[16:27.410] 找蓝牙电话就是电话电话，
[16:31.090] 我得把电压得打开，只要您现在用上车开了，原来变成看明白了。
[16:38.190] 车辆里功能选项相对多一点，首先说驾驶辅助系统，这个里都是您这台车的主动应急安全，
[16:46.530] 默认开启不做任何的关闭变更就不要动这里东西。
[16:50.420] 邵明设定里这个车
[16:53.670] 有氛围灯，
[16:55.370] 你说那边有全车都有，颜色64种，
[17:01.010] 喜欢哪个色去调整就行了。
[17:03.560] 白天光线比较强不太明显，
[17:07.880] 左边这个是环境环境的亮度有三级足够了，晚上就非常亮了，
[17:13.920] 晚上停车左右镜子，下面小罩壁灯会对应出现，锁车离开的同时大灯照亮一会延迟熄灭，建议15秒够用。
[17:22.670] 车内岩石也是对应的，
[17:24.800] 设定里都是一些小功能，比如说安全带系的时候，他会勒你一下，有预警状态。
[17:31.040] 锁车在那喇叭响声提示，
[17:33.540] 锁车镜子电动折叠，
[17:36.000] 车速1~15公里中控自己所对。
[17:40.060] 后备箱现在是完全开启，也可以选择只开一半。
[17:43.760] 什么叫开一半？
[17:46.050] 就开一半也可以完全开启，拉大点方便点，
[17:51.610] 方便输入有三种状态，第一种方向盘，如果您是高位状态，下车他会自动退缩，做以后撤给一个相对大的上升空间，对，或者您只要方向盘可以做或者什么都不动，
[18:05.230] 根据习惯或者说进去方向盘什么意思？刚才东方传说座椅不动，
[18:10.880] 他自己弄我知道。
[18:13.940] 我知道这闹得连座椅都弄开，两边第一个是三层自己都动，这一段就什么也没了，对什么都不动，三个状态。
[18:22.910] 再看一下用户手册，实际上是车的电子版撤出的动态演示，
[18:28.990] 有时间等人送学习是没有问题的。
[18:32.120] 时间我也给您核对一下。
[18:35.690] 时间时期对表全自动的都不用管。
[18:41.160] 往下
[18:44.920] 怎么了？
[18:46.260] 谁知
[18:48.840] 保险链接是吗？行我知道了我们。
[18:52.620] 行。
[18:53.360] 点下链接。
[18:56.030] 然后点一下选
[18:58.150] 就行了。
[18:59.860] 对，就可以了。
[19:01.630] 好。
[19:02.400] 对，那边保单就能打印了。
[19:04.940] 这一行金属件全是您这车的空调手动调整。
[19:08.540] 蓝红箭头
[19:10.000] 左右的温度，往上是加，
[19:12.800] 往下是减，第二个是风向，吹什么位置，前方党正面脚下自行计划就行了。
[19:19.170] 风量第三个网上最大是七关，这跟腱要一直关到头，
[19:25.840] 开的话都可以
[19:28.400] 自动空调设定一个车里的合适温度，点亮凹凸建成就会一直保持
[19:33.390] 起雾了，淤血天前窗后窗除雾点亮即可。
[19:37.220] 这个案件不亮灯，左右温度是个人控制个人，
[19:41.480] 按量变成同步状态，
[19:43.920] 分期同步，现在是外循环亮灯内循环，红白羊城制冷开空调在内循环
[19:49.960] 制冷夏天必须开AC，否则没有这种状态。
[19:53.800] 出风口小竖线充上，这都是出风口，
[19:58.400] 水平状态全是关闭，前排5个都可以独立控制，往右拧就开了。
[20:03.860] 对王总教官了。
[20:06.210] 角度您就上下左，只有这两个位置，没别的没有这一开一关再使劲对。
[20:11.920] 双闪是在这，
[20:14.870] 这儿是一个无线充电区域，
[20:17.790] 您的手机是主要有无线充电功能，只要放着他自动就充电了，可能手机没有，对，你看
[20:24.130] 比如说
[20:25.330] 它会有提示在这。
[20:30.440] 看到吗？你这界面还是哪跟。
[20:35.480] 这是主界面，对，你要想进哪个界面去选中那一张确定就进入了。
[20:42.360] 然后再有的话，
[20:45.210] 自己的手机没有无线充电线充，
[20:48.480] 这两个USB接口，
[20:50.220] 这个也可以，SD卡也行，或者您听U盘插U盘都没有问题。
[20:55.550] 这个案件是刚才您说的这什么模式，驾驶模式是这个案件，
[21:01.450] 就应当是蓝底C字母，
[21:04.000] 上下选择由低到高，分别是一是节油、舒适、
[21:10.020] 运动、
[21:11.230] 运动加，记住这4个模式由低往高涨，
[21:14.430] 每上一档功率放大，越往上提速越快动月咱们讲的车要爬坡的时候，
[21:21.950] 这个跟您爬坡也没关系，他不像过去爬坡歌剧男的剪下来，它这个是提速不一样，能理解吗？我知道，它是一个提高工具。
[21:33.450] 它的换挡间歇不一样，所以它的提速不一样，就是说这4种模式，比如你跑高速都能跑120，
[21:39.720] 但肯定S家是最短时间到120了，
[21:42.030] 一可能最长时间对是这样一个状态。
[21:45.280] 一般建议您用舒适就够用最高的就是这4个档。
[21:49.720] 最上面叫个性化设置，
[21:52.200] 不开手挡一般不用这个状态，建议就是舒适。
[21:55.960] 这个车也有手动挡，刚才咱挂倒地是自动
[22:00.180] 想开手挡方向盘两边有两个金属薄片，对按一下那推广片按一下它就变成手动状态了。
[22:07.890] 现在换挡必须通过方向盘拨片行干预，右侧暗示家长
[22:13.180] 左侧是减少，否则给多大鱼都不可能。
[22:17.200] 发现这个状态不对了，切换
[22:20.100] 自动模式拨片搂住不要动，停秒钟以后自己回去他就切回来了。
[22:26.140] 这跟什么车对，这是雷达关闭，刚才演示雷达离近了有一圈了，黄橙红小格提示了。
[22:33.110] 第二个
[22:35.430] 点亮以后全车雷达关刚才4周的黄橙红小车他就没了，
[22:41.400] 洗车机的时候有可能会用。
[22:44.010] 什么意思？
[22:45.190] 您进洗车机他怕他短路了，不是短路了，您近期择机的时候它离得特别近，他是不是会一直滴滴预警？
[22:53.470] 就想对您了就没了，出去以后想着开
[22:58.380] 停车200头怎么样？
[23:00.620] 停车。
[23:02.170] 搜房垂直。
[23:03.840] 停车往车位里怎么没事。
[23:08.900] 这个是一自动泊车，这个还真不知道，就是说自动泊车，自动泊车他能实现的功能是这个车自己找车位自己停，但是过程相对慢，
[23:19.200] 而且它是机械助力，他在打光盘自己打的时候他会有布置的凝冻，是不是？我要说
[23:25.840] 比如我前面有个车位，
[23:27.760] 我医院他自己就往着车一头，不是那个过程了，
[23:31.800] 它是需要自己先识别车位，找到以后它会提示，
[23:36.840] 然后再做对应的操作才可以。
[23:40.600] 你给我打个比方，比如咱举个例子说，
[23:44.180] 如果说您现在到停车场，想让这车自己找车位怎么办？首先你得挂一个前进档，
[23:49.520] 挂完以后按这个摄像头，
[23:52.240] 它会提示前行，查找停车位置，
[23:55.440] 看它提示我们大家都想，
[23:58.080] 现在需要做的就是正常的开车，您也不用管这车位是在左边还是在右边，
[24:03.450] 这车位无非就是几种状态，侧方左侧右侧侧风左侧是右侧配置，
[24:09.080] 你在开的过程中它会自动识别设备，他找到车位，他会在这儿有对应的车位标识，告诉你，
[24:14.820] 竖着的红从这个车载会，当然医生告诉您说找了一个
[24:19.280] 看到那车比如说这儿有一车位，这时候车位一定是在后方，
[24:23.560] 开过车位必须在后方，就算是扫描的，对。
[24:27.480] 看到以后想停就自己去刹停车辆，小控制刹车停住了，
[24:32.500] 这样就变成选择并确认车位，一个车位，
[24:36.730] 没得选就按确定，
[24:38.770] 左右上下确定哪个就管这左右或上下是多个车位，
[24:46.220] 就需要滑动到停的位置上暂确定
[24:50.680] 垂直是这样的车位对吧？
[24:53.350] 对，选完车位以后，垂直车位他会出现两个选项，一个叫前进，一个叫倒退。
[24:59.680] 倒退只车倒进去，车头冲外，前进式车头进去，车尾冲外，这也显示能这事能出来。
[25:07.070] 对，他会提示选完倒退，
[25:09.900] 按完确定它会提示挂入倒档，
[25:12.320] 挂完倒档，这时候这是倒像是咱们挂，对，就不是他自动了，挂完自己整的位置，挂完倒档以后自动泊车才完全启动，
[25:21.870] 您需要做的先找车位，在确定车位再挂到能够忙，挂完以后车就开始自动货车，
[25:28.420] 他进不去的时候它会停住自己挂前躺在上的这种功能，我知道一般不常用，那车很窄，一般
[25:36.270] 不用了。
[25:37.520] 这个过程相对慢，如果说您是新手，一点把握没有相对安全过前面，
[25:43.610] 给我往车位在前面，我是不是挂在A
[25:47.040] 在找车位。
[25:49.290] 什么叫不是你刚才说你刚说到打车头冲外，如果头往里往里面也是挂到的，他会到过以后往前站R
[25:58.570] 都是一样的都是到的，对那就到入味没错。
[26:02.940] 这个是自动启停，发动机自动熄火的功能默认开启，北京基本上用的很少，你对按灭就行了。
[26:11.790] 这只有每次都得没错，每次手动的灭没法永久关闭，就没说有激情，就让他明天起来，不用，所有品牌车都是一样的，这一排全是灯光，
[26:23.560] 阅读灯，
[26:24.630] 左侧右侧，
[26:27.040] 这儿给您设了一个开门亮灯，就推门内封面，侧门关好自动熄灭，
[26:34.000] 包括前排的照明，
[26:36.760] 这是后排的两侧能独立开。
[26:39.990] 有关这两案件重点介绍一下，叫梅特斯密互联，这个车内有一个电话卡已经内置完了，
[26:47.680] 跟您的手机没关系，待会激活以后，
[26:50.910] 首先这两个案件
[26:52.610] 您摁的话它会自动接到奔驰的服务后台，会由人工接电话，
[26:58.160] 同时三年免费使用。
[27:00.650] 右边的me标识，比如说想订机票酒店餐厅，
[27:04.510] 查询兴趣点，
[27:06.080] 出去玩旅程的咨询服务，或者说您这车行驶过程抛锚了，道路救援
[27:11.440] 都是右边那一个。
[27:12.880] 这还跟咱们奔驰中心联系，奔驰的服务后台，
[27:17.560] 中间这个紧急呼叫键行车过程中，假设遇有人员受伤，
[27:22.560] 紧急情况
[27:23.880] 暗红的
[27:24.990] 除连接后台120的重点尽量不去占用了，
[27:28.160] 一会激活明天启动。
[27:30.330] 天窗和张连就是一个N键，第一下往后是开启张，
[27:34.880] 蹬着连队跑高速小放弃，咱就往上推往上开一个窍一份。
[27:40.920] 换气是用想开大天窗，开完以后直接第二天再往后，
[27:46.500] 这是起来后在等候，不是开完连直接往后就可以分开，网上是敲击，我知道这跟那什么时候差不多一样，要这么说，只不过这一个先走量站一下再穿，那网上去就是翘起往前，往前就是两下关，相关穿厚关联
[28:05.320] 都一样。
[28:06.710] 座椅的侧面这个位置，
[28:09.220] 您摸一下您右边一圆钮，前后上下4个小头，摁住钱别撒手，
[28:16.000] 是吗？对，感觉一下腰脱是不往外顶，对上下前后调整跑长途这特有用，
[28:22.340] 他会减少腰部很大疲劳感，上下也是他就找幺位置，对美人高低胖瘦不一样，顶层位置吗着腰位置，
[28:31.030] 就这样这可以测。
[28:32.840] 倒出来还有没有？后来没有他原有44排骨焯I4按点按前面，
[28:40.250] 他往前走了后，你看按住了她就往外拱了，玩LUNA上排起来了，
[28:46.530] 留下了上下游之后倒是可以看好后就要回去了。
[28:52.400] 这好张图特别有用，因为你时间长了腰会累，才会这个顶要用。
[28:58.670] 我这只管前后上下这没有。
[29:02.110] 我能
[29:03.360] 这
[29:04.500] 这不上相这上下我是前后没有这是前后。
[29:13.380] 不能没有只有头枕，没有
[29:16.660] 这偷着干不管您这不是跟咱的作用一样，
[29:23.110] 按键能控制这个座椅，哪个作业理由，我看看这个
[29:29.930] 前后
[29:32.750] 他怕基准，它就是老板或者可以调节副驾位置，
[29:37.220] 他的主要怕人家没有谁坐，你这太往后了，几动我了，我就调一下。
[29:42.850] 他刚才鞋子掉这边，
[29:45.970] 她的服饰没有标识的都没有，这葫芦是双
[29:51.980] 杯托，其他的也就没什么了，车里都在那儿开不行。
[29:58.040] 反正这东西回去拿竖起来看看，这比较复杂。
[30:02.160] 没有多没有那么难，是看时间长就行了。
[30:05.840] 灭车推到P挡按下启动键就直接完事了，回头P的接受。
[30:12.450] 原来我们四脑这事归他P挡，
[30:15.890] 先归空打拉手刹拉手刹，然后归到淠导，把手刹松下就把那寄送给拍，
[30:22.080] 豉香怎么养完了，再把手搭送上，现在都不用了，现在控制你整个电子就有点拖，那怎么办？
[30:29.520] 坡上您看您什么状态，就是往上爬坡状态，那么把刘国婷你可以手动上
[30:35.990] 或者一直散刹车，就只有这两不是我踩刹车，我手动上，不管怎么着，我开门的自己上来就说，
[30:42.880] 首先就是两种状态，第一个就是您在坡上他能缩都在下次启动能不能挡？挂不上去我就怕不能挂不上去，所以说问您两个状态，第一个就是说您在坡上是等人不下车，
[30:55.540] 还是要灭和下车离熄火您就摘挡，熄火很长手刹都能上了，泼完咱们再找车都不存在，等放上去不可能，我自动挡的不行，还得不是。
[31:08.550] 送钻戒上来，下车说说外边。
[31:25.200] 走不过来了，老想以前老说那事，
[31:27.920] 我们把去年买的车也算可以了。
[31:31.190] 您看那车首先锁车
[31:34.250] 4个门和后备箱，
[31:35.960] 都说好了，这跟江一下。
[31:39.570] 灯亮三下就锁上了，如果这车门有虚，
[31:43.120] 这关能锁上，但是没有声音转灯不亮，再没有居所，但他也能锁上，你也拉不开。
[31:51.840] 锁好了一定会有深。
[31:53.890] 后备箱最下面的键长按是独立开。
[31:58.470] 没车的话看一下。
[32:01.380] 三脚架，原车自带在上面，没有备胎底下这点空间给储物用，它没被杀掉。
[32:08.270] 现在的车都没被开，有
[32:10.920] 苹果安卓数据线各有一歌。
[32:13.350] 保养您在这边保险信息，这本书估计那是南北先什么背心，房东没劲儿。
[32:19.550] 绷带、纱布、剪刀结构钢，这是书。
[32:23.460] 最后的说明书，到了救援指南秘书梁介绍，
[32:26.440] 还差那些东西是什么车的？
[32:29.130] 涉及车辆质保，这个我给您解释一下，您拿走。
[32:32.980] 747315这台车生产7月3号
[32:36.720] 开票7月29，
[32:38.290] 质保期，
[32:40.820] 三年不计里程数，今天开票开始算，三年内这车不管开多少公里，这些大件出现质量问题全都管。
[32:48.790] 后边每一个易损件
[32:50.970] 都有对应圈数公里数条件限制，
[32:53.280] 除了对应条件，前面对应易损件不在质保别丢，
[32:57.260] 您带走就行了。
[32:59.370] 5873 4个9是咱们的售后电话预约，保养的时候您打电打这个就行了。
[33:08.260] 这个地址公司邮编这是售后电话保养的时候提前一天预约就行。
[33:16.440] 然后二位跟我进屋，咱们把后边手续办完了，签几个字。
[33:20.880] 这东西不这个可以按着按键来看一看。
[33:27.190] 摄像头
[33:28.410] 都是隐藏的
[33:30.520] 这个位置
[33:31.580] 挂倒档他才翻下来，平常是收
[33:34.760] 雨雪天就不怕污水了。
[33:38.720] 对公司这里来拿来，没有什么觉。
[33:43.760] 很好看。
[33:47.040] 开始
[33:49.810] 有点。
[33:50.680] 这新车您怎么着也是用了16半个月。
[33:54.810] 脉动多少？
[33:55.840] 我觉得我的温度很高，
[33:57.920] 基本上一工作的话8:00百。
[33:59.970] 百。
[34:05.430] 先生我需要用一下这个功能，谢谢。
[34:09.040] 来。
[34:10.810] 来了您
[34:14.980] 因为这些东西你回来的，我在想他那车子通过向东看转身全都在这好像。
[34:24.590] 左右转动没有变化，
[34:26.850] 大灯又TO左边那圆圈里。
[34:30.940] 突然增高
[34:39.080] 大姐两杯茶水，谢谢。
[34:42.960] 我给你要了没查。
[34:47.690] 丁总您几句，第一咱这新车刚开始一定不能开快，
[34:52.320] 车速不超120，上诉不要超3。
[34:56.210] 只要不开手挡肯定不会超不打
[34:59.830] 自动M档，咱不股票这块应该不会窗。
[35:05.430] 离开了我不是我开的话，键盘里面我的手上都有。
[35:11.780] 我开了我不
[35:13.540] 不要那么快不行吗？可以，反正别超3000万。
[35:17.480] 一般的车很少，
[35:19.920] 手动档就靠自己拨片控制，您看5000不换，哪怕也就是5000。
[35:28.430] 95号油95本写的。
[35:31.250] 接着。
[35:32.330] 油箱盖打开能看见写着无所谓，
[35:36.670] 保养的周期一年或1万公里做一次，哪个先到算哪个，
[35:41.620] 奔驰的保养周期要长一点，今天。
[35:46.010] 今天好像是第一排第二排下面还有还是下次。
[35:52.130] 其他的今天交流都没有。
[35:54.370] 我说你告诉工具太快了，已经跑了一点。
[35:59.440] 临了。
[36:01.090] 先生留个您电话。
[36:02.520] 听我电话，136别说。
[36:05.760] 2104518。
[36:09.040] 1362104528. 
[36:11.340] 282。
[36:12.480] 您不是军人。
[36:15.030] 不是军人。
[36:16.860] 保护员了，没事。
