[00:01.530] 介绍带一下NASA5
[07:06.040] 因为购置税正常国税收的保险是根据您上的保险多少，还是也知道咱这也没有要求说你必须得上个缺点或者什么的，
[07:16.330] 电车就2500就没了，什么装饰连钱都没有了。
[07:20.540] 如果去看就是宝马去看奥迪什么的，他们都有试用装，是显示奔驰跟裸车提走都行。
[07:29.330] 不新路车你看还能便宜多一点。
[07:31.540] 谁知这哨来能给您报的东西都到了，反正
[07:39.150] 还争取不多了。
[07:40.720] 肯定我能不给领导几千块钱肯定不用。
[07:45.200] 肯定是不多的，因为报的量已经都能报的都给您报，就是说你看领导那边能
[07:50.480] 能不能再放点优惠。
[07:52.840] 谁知
[07:57.120] 因为这里没有加任何的费用在里边，
[08:03.310] 确实一分钱都没给我加。
[08:06.320] 不是我这身体什么
[08:12.920] 市场就是订下来还是再等等，我想今儿定下来还得等等。
[08:19.220] 看反正
[08:20.980] 合适了，就这一天两天了，我一定
[08:24.220] 我一会就把那个车处理了，远了离咱们这儿。
[08:27.760] 我着不住廊坊去了。
[08:29.680] 没在快不住了，他在南阳以前那块住，现在
[08:33.190] 在孩子那上学学校住着。
[08:35.800] 人
[08:37.710] 也就是说
[08:39.510] 要不然在等这一天，
[08:42.570] 因为我们要说是要做一个国产车的活动，但现在还没什么
[08:48.130] 还没漏听这事儿，可能得等一两天可能得在周五可能会出来，不行周末的活动上。
[08:56.780] 对，就应该是中午开始做这么一个再优惠点是给。
[09:02.360] 但是现在
[09:04.280] 还没出，不知道现在什么价钱，
[09:07.420] 我们再等等一两天就等一两天就行。
[09:10.600] 明天就出价格了，待会再跟您说。
[09:13.570] 还让男生多少次？
[09:15.520] 完了这车我看有没保养我
[09:21.930] 好像没保养是吧？
[09:23.870] 没有保养赠送。
[09:26.180] 没反对不送保养。
[09:29.990] 这车好像是上个月有两次保养没了。
[09:36.020] 小样二手车还要300。
[09:40.840] 俩都其实
[09:42.730] 我也以为这些犹豫，但是好多人说你就要260得了，你说
[09:47.260] 差距不是太大，就是什么动力，反正动力没追求920，
[09:51.400] 动力有三门，反正他184马力其实跟宝马其实都去过大。
[09:56.390] 你宝马的确也不是大队，其实就在525跟他比，因为530他肯定比这快蛋530是什么？跟豪华300是一个对比的。
[10:07.630] 53他肯定转移。
[10:10.920] 滚。
[10:25.520] 等等我
[10:49.230] 对不对？等等。
[10:51.970] 可能这两天出价格我跟您说，
[10:57.600] 等于现在没定，领导没订什么没定，这价格优惠出来。
[11:04.550] 现车都有，这倒没事现车，而且全款分期。
[11:09.220] 还有分期乐分期，我算算我看我看看现在好像利的利率还可以，
[11:15.070] 哪个合适他是你们的金融合适还是外面的肯定金融和左边的内容，这肯定分支金融利息低。
[11:21.520] 他不是说有个两年的那个是吗？
[11:23.940] 对，两年每月还个几百块钱，其实挺合适的。
[11:28.350] 我看现在每月要还到还有两年2.49，每个月咱们假如说以260，
[11:36.750] 以260为例，
[11:39.430] 给你300300这样，
[11:42.620] 300现在直接减7万，
[11:54.810] 首富跟贷款
[11:56.670] 每月还一个410，
[11:58.420] 总共多了一个9800的利息，
[12:02.120] 两年就行了。
[12:04.160] 真不够。
[12:05.670] 这是贷款确实这2.49这肯定要合适现在。
[12:10.220] 现在
[12:12.660] 等于是一年两年之后还20万，
[12:15.790] 说白就20万，说是用两年，
[12:18.480] 对吧？用两年这20万他们觉得
[12:21.320] 只能两年怎么也能收益出那个钱绝对合适，你现在说20万就万一年利息多少钱。
[12:28.110] 对，本比银行利息都低，对，这个肯定是能收一出来，而且现在最近要这么说，股票还不错，最近
[12:36.570] 他今天合适。
[12:40.230] 指标就是自己的事。
[12:42.290] 我收的
[12:43.230] 朋友的人。
[12:44.180] 朋友
[12:46.210] 关系好的应该能给做着分期。
[12:48.640] 我跟说了那就行，因为其实也不需要他做什么，他就做一下手机的验证，这一块他也无所谓，他说了车是在他名下，他有什么损失，
[12:58.570] 但是其实因为这样的话跑不了这个车，在他们影响都不接我的人对吧？
[13:03.730] 好问。
[13:08.060] 看看这利器确实不错。
[13:10.200] 分期。
[13:14.670] 没事先接电话我介绍了。
[13:21.930] 有时候我这边我找的找谁办的车手，
[13:27.930] 个打了。
[13:29.480] 了。
[13:30.690] 了行好勒。
[13:35.870] 稍等我找找。
[13:39.120] 因为
[13:41.240] 数据
[13:48.740] 30。
[14:49.360] 分析现在办的也快，
[14:50.840] 哪怕征信没什么问题，基本上一两天就能批下来了。
[14:55.990] 所以看看想要26还是300，正好这两天
[14:59.640] 您看看小雪儿就行，他买照我看看我们那个价格等等，这两天什么时候出来，也是一两年的事儿出来
[15:06.160] 了，我在别的店也看了看，我说老杨以前一我们俩在一个单位，哎哟说他说我就熟人，你缺，
[15:16.490] 别人给你说白天不去
[15:18.890] 加工是吗？差不多。
[15:21.270] 比如说那天他是
[15:23.550] 换了一个304,800，
[15:26.040] 354,800。
[15:29.960] 亦庄在家中
[15:32.150] 让他不送保险，
[15:35.090] 保险是他买的时候减5，
[15:40.760] 5000装饰装车在那买的减5。
[15:44.740] 那不买能行吗？
[15:46.290] 不买也可以，不买家我就不简单。
[15:49.820] 装是多少钱？9800。
[15:53.300] 9800，然后能给便宜5000，然后或者5000块钱，其实装饰太次了，傻丫头。
[15:58.440] 你看脚垫那太太次了，
[16:01.720] 贴膜也贴的肯定次也没什么好。
[16:05.210] 等于是有了75,000。
[16:16.110] 多了多少？多了1000。
[16:22.000] 还是想要260。
[16:23.670] 2608。
[16:25.240] 这个够用了得了，没必要看看那怎么弄。
[16:32.680] 那天跟我说你装饰什么装饰再弄别的弄，他说
[16:38.180] 你说说你再说，那天逼着我去那看看，
[16:41.420] 你要是定了，我再说第三次保养，
[16:45.570] 我说还等等什么时候上过得去的？
[16:47.980] 没有，就周六去的。
[16:51.520] 这周六去趟亦庄那边。
[16:55.360] 后来等等。
[16:59.340] 真是还挺多的。
[17:09.440] 可以说都没事。
[17:11.700] 对，他中内饰。
[17:14.470] 前面的背板就是说仿木仿木纹的颜色可以选。
[17:20.340] 选不了固定的，他如果买立标就固定是中的。
[17:23.720] 如果买运动的都是黑的，是这样的是吧？那行。
[17:28.840] 我一想他那都是我想那些都选棕色，因为他也立
[17:33.680] 起码得还。
[17:36.800] 您是怎么考虑的？
[17:38.800] 过两天再过来还是？
[17:41.080] 怎么好的都行，反正我也就是这个星期之内肯定把车给订了，人家提了还我问问您是小金定下来，
[17:49.810] 真心之内肯定把车子停定了就了。
[17:53.950] 只定下来吗？这时候准备你不说还有什么都有活动，但是多多以前我确实怎么也得问领导，您这些活动也不能到这么高。
[18:03.960] 像我觉得你了，
[18:07.480] 然后让你钱去，他说肯定会给你钱，你又废了谁，让你闹了之后只能露领导去看看，
[18:17.050] 是吧？
[18:19.360] 就是354,800，
[18:22.550] 而且它全下来给多少钱，剩下来
[18:26.220] 是
[18:30.670] 当时连保险
[18:32.940] 他说我总共算了一下，连保险连装饰下来
[18:37.510] 40万多点，
[18:41.600] 但是我招手我不想要，
[18:44.560] 的
[18:46.520] 后备箱垫，
[18:49.810] 还有
[18:51.990] 行车记录仪这个东西
[18:56.440] 4000
[18:59.640] 多一点。
[19:05.590] 点，
[19:14.710] 要不然
[19:16.880] 帮我问问看能不能
[19:19.380] 人多点药合适就定下来了。
[19:24.120] 比如定位送什么便宜什么，
[19:27.500] 我这是超出我权限，我得问问你了。
[19:33.300] 有些价格反正差不多，每家都差不了太多，
[19:36.810] 是吧？
[19:38.440] 他是不是要让您做装饰才能给到75,000？
[19:44.060] 装饰让我在坐，那不坐装置是不是优惠不到75,000这么多，不是说是就加5000，
[19:51.590] 装饰就优惠再减5000，就坐装置优惠75,000都装是7万，
[19:56.400] 是这意思吗？
[19:58.610] 差不多这个意思吧，装饰就是在车价上减5，
[20:02.910] 然后减到5000是75,000。
[20:05.690] 对，将近75,000，保险再减5。
[20:10.840] 那不做装饰也是7万。
[20:15.190] 我问问能不能多互相问问您，
[20:18.880] 说白不行我问问5000块钱行吗？我问问您。
[20:23.160] 就什么不到杀人劫5000块钱。
[20:25.340] 问剑吗？
[20:26.710] 我也做不了主，我觉得你要说能行，我听说
[20:30.730] 我先给你问我先问，不行先问我结果保养什么这块能不能挣个几次保养，没有送的确实也都点钱了。
[20:38.970] 您多借钱时在这保养一次1000块钱就不少，
[20:43.700] 因为到时候去哪保也不一定，
[20:46.820] 我来保养就都来北京，都互相多多借点钱，还能不能结5000块钱，您介绍来都是通过人什么看，比如你问能不传给你减5000，那行不行？
[20:59.090] 在动车上能不能千五钱，不是保险不保险的是吧？
[21:02.300] 6000 5000万您保险5000保险浪费了，
[21:04.960] 就送5000保险三五千对送5000保险说白了
[21:09.290] 800块钱。
[21:10.640] 我想说什么想就说几千块钱都上保险了。
[21:13.680] 你就这样，假如说你上完之后一万三四千块钱的上面四五千块钱就上了也差不多，这时候因为我上周
[21:19.540] 也是满一层，对，其实跟保险公司上海基本上差不多，反正没要求对保险公司上自己外部上应该是能反映15%，说白就比我能低15%，顶格2530%的样子，薪酬到不了那么高，这是第一年，一年也到不了我上，那客户自己算一下就多了15%，自己他自己跟外部吧朋友他就他报一个平安的，
[21:39.390] 我问他他说
[21:40.480] 这个月他说能返25%商业险，然后再返一个25%的圈，达到58%，
[21:48.610] 续保险了得睡着喜欢他的，我问他就新城
[21:54.210] 这么高就形成这卷卷是叫什么豆，
[21:58.720] 可以在买东西，
[22:01.910] 咱们谁可以充电话费都可以的。
[22:06.670] 跟你说弄哪个平台他可以，他可以说折合成钱，明白。
[22:12.890] 您看看要不让
[22:15.160] 减5000字定下来。
[22:16.790] 有这样。
[22:18.010] 对他们怎么说都介绍来的这东西能行，咱这也是通过人我就问，但是5000不行，我才
[22:24.790] 说5000名有点多，304,800我定我这不一定行，没说实话我这上回麦75,000就7万加一五千块钱卖的，
[22:37.430] 这一块将8万了。
[22:39.340] 我问
[22:41.620] 估计可能
[22:44.380] 然后
[22:46.010] 我说
[22:56.030] 说。
[23:00.370] 坏数据。
[23:03.240] 场。
[23:04.400] 场
[23:05.480] 的。
[23:09.200] 场。
[23:56.810] 场
[23:59.730] 五。
[26:30.100] 好
[26:31.680] 没事。
[26:34.680] 这谁的钥匙这个事。
[26:35.960] 这要是谁的？
[26:50.210] 东西
[26:53.590] 场
[26:57.530] 的。
[27:04.010] 数据
[27:07.390] 数据
[27:09.120] 的。
[27:11.770] 的
[27:21.790] 场
[27:23.200] 数据
[27:25.260] 场。
[27:27.470] 场
[27:29.640] 数据
[27:31.050] 数据、
[27:42.700] 数据
[27:43.880] 坏。
[27:50.120] 这些都不用了。
[27:52.990] 对那个不用，因为当时那局面发给我，只要车的发票完税证明那小本没了是吧？什么？
[27:58.850] 交完税那小本。
[28:00.820] 不知道在哪放了，又找了钥匙，
[28:04.770] 要不是有这一把，可能还有一把就不用，
[28:09.540] 我只能在找找两天拿过来前提是吧？
[28:13.210] 好了就在出口那是吧？
[28:18.440] 好了。
[28:23.090] 应该还有把普通的那种就一个单门的钥匙没拿是吧？对。
[28:28.600] 没事。
[28:29.610] 还有看行车我干嘛，你他对先买咱就去买房子拿出来。
[28:34.780] 车里东西都处理完了，一为什么都没了，这一题都有带玻璃上先生吗？
[28:40.040] 我不知道怎么弄。
[28:42.630] 为什么玩开完水我就开始
[28:45.240] 的
[28:51.760] 场
[28:54.270] 花
[28:57.840] 到
[29:00.280] 数据。
[29:37.940] 只要这车过户，然后那边冲昏了就可以直接上新车了是吧？
[29:42.410] 说了您以前是现在你把警车搁着以后，我这边会约就车给我过去，约好以后送上车主身份证。
[29:51.080] 可是是不是车主身份证我的对，因为以前当天第二天第三天就能办，现在不是疫情在提前预约排队是吧？
[29:58.230] 对排队了，约好以后吴光辉打电话通知您，或者据说会出任你把身份证送过来，值班室给我负责，只要送身份证过户，
[30:05.510] 一周以后指标就出来。
[30:09.760] 谁知
[30:11.280] 参与的
[30:14.350] 为啥做完身份证过户还得等一周正常
[30:18.440] 车管所过户以后，他把所有的信息看完以后会转到指标办公室，指标办公室核实完以后才能打出来。
[30:25.060] 还能信息核实过程。
[30:28.050] 那是你这办，我在上楼
[30:30.120] 先干着耗着。
[30:42.960] 好看。
[30:45.240] 行一会我来晚上我过来。
[32:10.390] 电脑
[32:12.160] 好。
[32:13.510] 三
[32:18.570] 的
[32:20.170] 数据
[32:21.030] 数据
[32:25.200] 远
[32:49.560] 这是我们金融的同事跟您说咱们治疗的需要的东西。
[32:53.940] 别您给我打个电话，那张
[32:58.990] 我这会在别人订车，你看你方便把身份证号或者身份证拍个照片给我行吗？
[33:13.060] 对，我订车一定要以那个指标定，你那车牌车主定吗？
[33:19.110] 单位。
[33:22.810] 回去。
[33:24.330] 你多少号能回去？
[33:26.380] 给他发姓名，你把全名发给我，全名和身份证号码也行。
[33:38.450] 不是你的全名字，全称的名字和身份证号码，
[33:42.470] 你记得吗？
[33:48.200] 行可以，我等会在4S店。
[33:53.200] 好了。
[33:57.530] 您好，等于是您朋友的指标，对行，他也同意谢知道你用他指标贷款给我说，行，我跟您说一下，大概首先您听一下就行，然后具体的待会我会让我们销售同事
[34:08.610] 通过微信给您发一份详细的清单，然后到时候您找清单准备就行了，然后您这边现在主要收入来源是上班吗？还是您自己经营公司？
[34:16.460] 自己
[34:18.310] 自己在做事，您是股东和法人吗还是？
[34:22.420] 也不存在，因为我做工程这块我都是挂靠别的公司，本身你有挂靠的公司是吧？您有名片或工作证之类的。
[34:29.950] 没有，倒是有希望明你带回去，我明白，好谢谢，行，您夫人是上班吗？还是？
[34:35.620] 也是经营公司？
[34:37.480] 暂时是没有单位，前段刚离职，
[34:41.680] 刚离职，刚才是一个月，
[34:45.290] 等于社保都已经
[34:47.680] 就做了减员了，照顾自己。
[34:50.650] 他以前在平安。
[34:52.530] 公司平安上班，他没社保，只是瞌睡，
[34:56.860] 夫人可能做还款人够呛，
[34:59.980] 是吧？对。
[35:01.260] 可能还得
[35:02.430] 那就2万我也没吃饱。
[35:04.590] 但是您不是有实际收入。
[35:06.790] 实际是我都不是按月发的。
[35:09.910] 我一般只吃了两年等于是做工程。
[35:12.770] 是有挂靠的公司，对你公司能给您开个工作收入证明吗？
[35:18.590] 可以用商方便是吧？行。
[35:22.770] 您就算没有公司，但是您不是真实的收入是吧？
[35:28.610] 对开始那个是对您干建筑不也。
[35:31.700] 是真实的收入，虽然不是每个月给您打钱，但您不真实在干嘛？
[35:35.620] 那都没问题，好那就行。
[35:37.790] 然后前期手很简单，
[35:40.120] 指标您这边就是他的身份证照片，您拍个照片中反正剩下就是信息来了，你让他编辑成文字发给您就行，也不需要任何的证明。
[35:48.790] 手机号现在的居住地址，大概的居住年限他要已婚就多一，配偶姓名、身份证手机号要什么名字写
[35:56.290] 什么内容，他的配偶也写了，如果他是已婚的话就提供一信息就行，任何的什么身份证证件其它什么都不用提供。
[36:03.950] 然后您这边跟他差不多，您住然后手机号大概的居住年限，
[36:09.560] 然后您这边我就给您发一个工作收入证明的模板，然后到时候您打印出来您看填一下，然后加盖底下盖一公章，您也不用送过来拍个照片，
[36:18.510] 然后您发寻去就行了，然后指标任这边不是军人吗？
[36:22.970] 我在刚转业。
[36:25.850] 您是刚转业，他也不是军人，他是不是已经落到地方
[36:31.970] 了，他也支持地方，它这个地方您是刚转业，对，我是刚刚讲翻译就是但他等于什么了吧。
[36:38.260] 去作证了。
[36:39.480] 不要人家指标人不是人，是主要是人家地方都等于您现在也有户口本什么的是吧？
[36:46.530] 都有行，然后
[36:50.520] 奔驰下电子申请，就我给您上传到系统以后，您手机和指标人会分别收到一个奔驰发的短信，
[36:57.030] 里边有个链接需要您二位分别点进去登录一下，就里边所有信息都是我们给您填好的，您能看到您买的什么车型？
[37:04.330] 成交价格，选的军方什么首付比例，贷款比例、越供利率，您自己在手机上全都看见。
[37:10.470] 对我们挺好的，到时候您可以拿着我们给您这份订单，您核对一下就行了，然后没问题的话您按流程确认，很简单，顺利的话一般一两分钟
[37:17.920] 就完事了。
[37:19.000] 今天就办贷款吗？还是什么？
[37:20.910] 您回家。
[37:21.720] 您回家虽然今天晚上没事的时候，你就问一下信息，然后您文字信息为您就编成文字，
[37:27.430] 然后顶多您就看看找谁给您盖一章工作收入证明，也给您拍个照片拍过来就行了，拿公司盖个章就行。
[37:34.190] 开我的话和我爱人都开您的看您，因为这不主要是您来从事这行业，
[37:39.530] 因为奔驰后续有可能会给您打电话的，他可能会问您现在可能工程是什么挂靠在哪，他可能会问这些，对问您的话您不就能说上来吗？
[37:48.230] 行就齐了，然后还款卡您是两年首付50%，然后每月还400块钱，应该是410 400多块钱那个方案是吧？
[37:58.320] 然后还款卡那就是您名下工商、农业、中国、建设这4个国有银行之一的储蓄卡，
[38:05.800] 得是您拿身份证办的储蓄卡，您要之前军官证办的储蓄卡用不了，因为它后台系统
[38:11.890] 没法和燕她卡片的信息。
[38:15.450] 最后一步就是新车验完车上完牌以后需要指标，身份证原件大概三个工作日去完成车辆抵押登记，
[38:22.410] 也没有任何费用，也都不用您跑手续，都是我们给您代办，咱就别赶上值班那边什么是真正放着，对新车颜周转不好以后就最后一步了。
[38:30.390] 那就别赶他要坐火车坐飞机耽误那边水，我还找我们这边就说了。
[38:35.980] 行，我就写了，然后具体的到时让我们同事给您发详细清单，行，然后您到这儿发给行您先。
[38:43.690] 然后那个指标您这边您就叮嘱他一下，
[38:47.340] 因为您不是写他指标，后续有可能会有一个6059开头，反正六开头的北京座机给他打电话，是奔驰金融官方的电话回访，留个电话就行，必须得留他的。
[38:57.820] 对，不会问得太多也不会合适，他是视频会议视频吗？还是电话？你给我这电话有必须是接他电话的，对他不留他本人，他身份验证那环节都过不去的手机。
[39:09.090] 我怕他年龄大了，别说不清楚的是吧？
[39:12.420] 不会问他其他的乱七八糟的，单纯的就跟他核实知道且同意您用她的指标购车，就核实具体他什么事工在工作，他们一概不问，等于这个贷款是等于说两人带的，
[39:23.670] 它是指标人，然后您是作为担保人来承担后续还款的义务，提供您的房屋银行主要
[39:31.230] 因为他的主张没办法，您这车都是他的名，所以说他肯定得在合同里。
[39:36.320] 我这些可是这么说的，
[39:37.830] 我贷款因为
[39:39.280] 但是车子是你必须得同意，对我这么说对我到时你就是说对你的事没啥风险，你倒回来吹，
[39:46.650] 吃完车就没见到了，你撑什么，对，反正是这样。
[39:51.140] 他在这个合同还是指借款人，因为它的指标没办法，车载您是在下边会有一行，您是担保人，
[39:58.950] 承担后续的还款义务，包括后续有一个叫划款授权书，就上面有您的卡号，您的身份证号也都是从您卡里来扣，每月400块钱，
[40:08.240] 然后你也可以给他发过去行。
[40:10.820] 行，我这行，实在不行，那天我带她来一趟也行。
[40:15.250] 没事不用来，现在都是手机。
[40:17.550] 手机包括后续签合同也是电子。
[40:20.310] 因为他说我答应时候年龄大了，别整明白，我这呵呵那不拿您看看都行不行，哪天
[40:26.250] 发链接的时候我去找采访也行。
[40:30.130] 您看来。
[40:31.310] 行行，我现在帮您查一下。
[40:34.180] 照办。
[40:35.610] 眼睛发过来了吗？
[40:38.590] 什么？
[40:39.880] 没有事。
[40:50.960] 我叫她姓名跟身份证。
[40:53.950] 没问题，他们就发过来了，我让他在外面让他加入老太太，
[40:59.630] 他找发给我。
[41:55.360] 有吗？
[43:13.740] 他不行您那边先订行。
[43:16.040] 您的身份证就带了，身份证带了，他知道这倒车您跟我说那什么觉醒姓名戴长山。
[43:22.830] 代是对带长江的长，
[43:26.840] 山水的山。
[43:28.760] 小朋友了。
[43:29.740] 对，然后身份证3411341181
[43:34.560] 18119861986060406045019
[43:40.040] 341181198606045019。
[43:45.520] I指标人，他是北京地址，他
[43:48.760] 她户口是北京的是不是？他有居住卡吗？
[43:52.030] 他不知道。
[43:53.000] 到时候您得问他一下，因为办手续得需要居住。
[43:57.080] 他没制度化怎么办？
[43:58.690] 他半夜一样，他在北京她住那个地儿，当时今天一天就出来了，能办出来他是我们单位的临时工，
[44:06.810] 他车买得走，他也不用那能办那话等等他人家能办出来，但是他在北京时间好长，在我们单位都带了小20年。
[44:15.480] 他住哪他住在我们单位，
[44:18.110] 当看看单位街道什么的能不能给他办出来，或者是
[44:22.520] 单位开个证明，让他可以办个居住证。
[44:25.600] 就这样。
[44:26.610] 能办我不知道怎么弄怎么办？
[44:30.490] 我们以前
[44:32.180] 给家属办过居住证的时候，在街道居委会对让着居委会办单位开个证明，当时是就去办事，不让他试一下，待会看看，然后
[44:42.500] 开始准备给办
[44:43.960] 就行。
[44:54.350] 壁纸您说一下。
[44:56.680] 北京市你说现在的对北京市海淀区，我现在住在廊坊行北京直接接北京了，什么北京
[45:09.010] 丰台区
[45:11.300] 警备东路
[45:14.840] 准备东。
[45:18.880] 应该是
[45:21.400] 登录都是既然机场的具体住址
[45:26.880] 你在哪上班呢？
[45:28.440] 我们单位搬到哪里搬到哪里。
[45:31.410] 好，我就住合一。
[45:33.320] 还请。
[45:39.000] 实际我们现在只吃了
[45:45.610] 好
[45:50.580] 我这没什么，这等着过两天我这边说咱们本身车就来半天过去了。
[45:58.390] 原来或者是热实在是顾不过来。
[46:01.420] 行。
[46:02.640] 行，可能。
[46:03.640] 行OK，坐下去拜拜。
[46:12.720] 他们去。
[46:41.960] 276号。
[46:43.050] 二区
[46:45.000] 多少？26号，对那是276行没关系，没有这个都无所谓。
[47:16.300] 上牌是必须在你们这上吗还是？
[47:18.630] 自己上也行。
[47:27.590] 邮箱留一个电子邮箱，624176241726826。
[47:33.950] 5 Q QQ点。
[47:35.670] 他上牌是准备自己上还是？
[47:38.080] 都看看，因为现在地球的时候
[47:42.040] 人少，
[47:42.980] 去了快，但是看不愿接受接触人了。
[47:46.960] 也因为像如果在我们这建筑客户就不用怎么动手，全都是验车人，他就跑排队排，这首你们多少钱？
[47:56.750] 2500，我最低了统一价格实际上没多少钱，有五六块钱搞定，然后统一一下来解决排队。
[48:04.110] 这车
[48:06.280] 用的话，现在假如一年会有走一次保险修车的情况吗？
[48:12.800] 他会有吗？
[48:13.920] 你说。
[48:15.310] 自己开你说是维修，对自己车就需要走保险喷个漆什么的，有过这种
[48:21.210] 会吗？
[48:22.060] 不碰不，因为现在有一个优惠的就是活动就是什么？
[48:28.720] 我们这店里出了一个保险，就这个险就在我们这儿是花1498投一个险，
[48:34.960] 这个险的意义就是保这一年。
[48:37.390] 然后如果说走自己保险修车，只要是来我们店里修，或者是自己就是无责的是
[48:43.310] 对方的责任把咱们的车剐了蹭了需要修车，您那车到时候上我们这修来的时候，只要是店里修，
[48:49.530] 会反映2500一年发展，直接把钱返到我们这儿，跑到这儿来，对就给您假如您的车
[48:54.900] 被谁给蹭了，需要喷个前杠，您就上我们这来走保险，也是走他的保险吗？然后等于修车就在这。
[49:01.120] 走保险修理车然后会给您返2000 5000多一点
[49:04.430] 啊1000多块钱如果自己碰呢自己碰就是您正常走保险这么就走完保险修好就完事了现在等于是您走保险修完之后还能再买一两千五不是他1000你说的是1400块钱是什么意思？
[49:15.040] 就是花1400针对别人，就您自己投险头头显示1498，然后要是的自己花的也是走这1400元，不是你要自己花就走自己什么险，就您商业险，但是保的是您走完险种额外会多给一个2500，这一年给两次，那就然后现在活动是就相当于胡同是那就您花了1498，我们会送您一个，
[49:38.090] 比这价值会稍微的高一点礼品说白了9月冲抵了这3月又没花什么钱，
[49:42.840] 他是能选一个小米电视，
