[00:00.150] 这边需要一下您的驾照，还有咱们车辆行驶本，我帮您核对下信息。
[07:51.160] 比较不错。
[07:54.220] 相当于是交1498，能返5000块钱，我看您6000件不要蹭伤。
[08:00.600] 现在还能把您相当于这次出保险的钱又给飞回来了，能背回来一部分，
[08:06.840] 还得交1000块钱。
[08:09.440] 肯定您保公司还得赔钱。
[08:16.180] 她玫瑰花。
[08:21.600] 您现在好多车主都在保内，因为要有伤羞，
[08:25.690] 他们就都成保险了。
[08:28.900] 了。
[08:30.730] 了。
[08:31.860] 他别说您签字去，我告的时候您报个案修前，
[08:35.890] 公司出钱把这账给您修好了，您不是交了1498吗？
[08:39.670] 他修前杠那次就会返您一个2500，
[08:43.040] 这钱返给您，直接打到您银行卡上，
[08:46.580] 相当于就能把您的1400的成本，包括涨保费全都回来了，车也修好了就
[08:52.930] 完了他还有一次能和你2500的机会，因为一年是两回的，
[08:57.560] 就车欠保险的，
[08:59.640] 就光钱保险的，您不是U型角，那不是剐蹭了吗？他只要是走保险修，不管是什么，
[09:05.770] 只要发生碰撞了，被别人送礼也好，自己仓里也好，都可以有2000块钱的补偿。
[09:15.460] 的
[09:16.590] 大概多少？
[09:19.490] 那是上保险没说，这是新出道也是给你发过。
[09:25.950] 发过来看一下，说我爸过他他
[09:29.880] 它两是两个体系，不是一个一码事，对保险是赔车的，这个是补偿的。
[09:35.910] 别的保险公司没有，保险公司他不给你上，这是店里面算的，这是亏钱的。
[09:45.300] 这相当于是本公司亏得。
[09:47.360] 要是车没事儿了就没事儿是吧？对，但是您现在前面不是有蹭伤吗？
[09:53.400] 放单纯的快乐，那都是上了保险就单独的，另外的对单独剩一片。
[10:00.520] 也是跟公司合作的，这也都是保险公司出的正式的保单的。
[10:06.460] 你说我那钱去盛了，我应该上合适肯定上合适，你要是想修的话修复也是有保险的吗？你没上网。
[10:15.880] 您现在没上险上那些，但他不也得走保险走保险，就装修怎么没有那险种的话，他怎么陪您？您得先上险种之后在修车
[10:26.250] 才能有补偿的反弹吗？不包括咱们现在左后，现在你如果是上
[10:33.320] 大夫车险，
[10:34.830] 不管你挂上换玻璃，还是不管现在光给你补偿粗暴先。
[10:40.470] 那个意思是不是给修车是的。
[10:43.560] 是给您走自己保险修车补偿，使得
[10:47.630] 它是两
[10:48.730] 两块，我的意思是我现在那一块不也得做保险，现在您左后那块不是现在也得走保险吗？
[10:56.050] 对，前面对着前面也得走保险，所以说为什么说让您再单独承保一个这险，就是为了以后走前杠的时候，
[11:03.210] 能把这次的出险涨的保费，包括您成本一下就能完成回来。
[11:08.920] 对，是这个意思。
[11:11.510] 但这次左后的话肯定上不了了，因为您现在没这闲。
[11:15.960] 因为上险的话它是有一个15天的等待期，
[11:19.610] 上完之后15天之后咱们再修又钱才能正常得到理赔的。
[11:24.630] 就像那反弹2500这意思说那也是一年一年一年。
[11:30.950] 对，一年之内都可以。
[11:33.710] 请你们俩上一个事实。
[11:35.530] 您可以没问题。
[11:37.520] 我借因为您要是车上没有浙商的话，
[11:40.940] 那就没必要咱说说您说是不上，但是您要确实要是也需要钱账的话，
[11:45.860] 我建议您咱就给他投保了。
[11:47.890] 这样的话最起码能返给您车还修好了，对吧？
[11:51.350] 你们去听听试试试一试，试一次，没问题，一会我带您去。
[11:59.400] 因为这个险的话有伤的话，就尽量让您先承保的比较合适。
[12:04.890] 好的，帅哥没听明白，我想车项目上
[12:09.640] 这就相当于修车给您钱赚钱，对就这意思，说大白话就是修车折扣在北京修车了，走保险修了，想上险就给我钱，
[12:18.540] 一年能给5000就一共给5000分两次，对没错。
[12:25.360] 上班像前段时间有的车主放到玻璃坏了也是，所以人人先把这条弦保了，
[12:32.280] 之后等15天之后再报案。
[12:34.210] 我一块回来。
[12:35.520] 玻璃只要是走保险，你有险种修车他都管。
[12:44.420] 跟马。
[12:47.740] 保时捷是吗？宝洁也可以。
[12:50.610] 咱保时捷、沃尔沃、奔驰都可以承保的。
[12:55.930] 那而且的话
[12:59.610] 都可以上，那些都可以上的。
[13:02.690] 奥迪咱们院里只有奥迪上不了，其他的鲜品牌的车都可以。
[13:07.720] 保时捷10右前玻璃上石子击杀，
[13:12.440] 夏天的话到时您注意一下，因为夏天的话天比较热，玻璃趟
[13:17.010] 有可能会您开始慢慢就裂开了。
[13:28.070] 这边您在屏幕上帮我签个字。
[13:33.640] 没啥的，保洁。
[13:36.370] 当时也怎么搞的？
[13:40.730] 上
[13:43.240] 的
[13:44.600] 的
[13:50.310] 打仗
[13:51.220] 吃根盘量大一点有关系。
[13:53.960] 有关系，保时捷轿不对有关系。
[13:58.200] 氮氧化物包括您尾气什么的，
[14:03.050] 慢慢悠悠。
[14:16.880] 一会我就让车间师傅安排给您先去把刚摘下来，里边没问题的话差不多三四天，
[14:22.530] 要有问题的话，到时随时我给您再去个电话。
[14:25.440] 跟您说这次咱们都说了算这块
[14:27.560] 了，到时候我们也会给您抓紧时间去维修它。
[14:31.350] 我把我的名片您别在这张取得单上有什么的话，您随时给我打电话给我。
[14:37.670] 好，徐磊。
[14:39.380] 18910086082电话就是我的。
[14:44.140] 你不跟我老婆关系。
[14:46.950] 大哥我先带您去帮助那边能把那个钱给您介绍一下。
[14:52.480] 要。
